Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58),S(463),C2HF(468),C2H2F3(68),S(165),S(464),S(130),C2H2F2(59),C2H3F2(65),C2H2F3(67),CF2(43),CHFCF2(55),CF2CH(73),C2HF2(72),S(179),C2H3F2(64),CHF2(82),CHF3(42),S(1244),S(1385),CF2O2(181),CF2O2(276),CH2F2(41),S(203),S(1542),CHO2(322),C2F(467),S(174),S(413),S(1894),C2H3F2(66),C2HF4(54),CHFO(47),S(2753),S(512),CF2CF2(61),C2HF3(169)
0.0,0.7018615995780709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.948770011974139,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.6222290957245806e-22,0.7018615995780709,2.33898169296017e-26,6.313909676488321e-29,6.616507195028056e-42,1.5756359591598187e-41,0.0,0.0,1.078649456546034e-22,2.7661270233144534e-41,1.5811019057378505e-53,1.8393805012757146e-53,1.3679809649630238e-57,1.1667142050359662e-71,3.817241209332805e-48,1.3611212501209468e-38,3.814471000608669e-55,2.313059169864835e-38,1.271190630263335e-94,2.604358917600103e-78,4.5436143672270266e-91,2.6263031175410996e-90,3.781858433543239e-25,2.777743931045334e-78,2.5378017064127723e-62,5.237802452301927e-99,9.444848323858188e-114,3.0026298004673863e-93,1.5242696782797566e-114,7.122938290867343e-111,4.7427461339819995e-61,5.518825133054027e-115,2.4885125140959783e-113,1.4077390072665848e-127,3.76,0.0,0.948770011974139,0.9999999999999996,2.626971397079699e-54,4.63880087444261e-71,1.641003047138367e-18,1.641003047138367e-18,4.499940157575255e-16,8.906762102258084e-43,2.313059169864834e-38,1.0788833547153299e-22,8.743172651036472e-39,1.0091053341622219e-39,2.5145649723623163e-59,2.0308450114560406e-38,1.8554038339745826e-41,5.665937033060651e-45,5.517698382710563e-41,1.6985694887618486e-39,4.2117117160203884e-39,4.934412436706322e-39,2.9752696950907476e-42,1.3512386464352623e-47,1.1011693779514326e-41,1.2138564508721296e-45,2.7737330892630485e-56,1.1509224782411021e-41,4.966684807837655e-53,3.781858433543376e-25,2.1100694457367076e-72,1.3394704335384972e-76,5.122545769090548e-56,3.295241738915616e-61,6.743148269157638e-63,4.617447798920216e-55,1.0244424533679398e-76,7.950728036573761e-73,1.3628541250580679e-64,4.3122793245030003e-57,7.378535976883308e-65,2.8608018053842016e-78,9.359405500666475e-56,5.1854346960186725e-67,1.1167462679705743e-78,1.5220174025294886e-83,2.1571333975627138e-49,4.9278273839080485e-101,1.3810090405504657e-57
1.0142241468028827e-21,0.7018615995780709,6.549148740288588e-26,1.7678947094175433e-28,3.996370345804701e-41,9.516841193330792e-41,0.0,0.0,3.020218478328893e-22,1.6707407220819284e-40,1.877084182710397e-52,2.1837125311144487e-52,1.6241671574071578e-56,1.3851231042186086e-70,2.3056136904369097e-47,8.221172350730198e-38,4.528539973696243e-54,1.3970877385994443e-37,7.733272971757047e-93,8.188521134361496e-77,2.1705391065966588e-89,1.2546165148867219e-88,1.0589203613920628e-24,6.21370206399533e-77,3.0128781858663385e-61,2.502161086778268e-97,8.229757875496021e-112,1.5956472011439239e-91,1.733746788097408e-112,5.496392952695802e-109,5.630588210267377e-60,4.2625793938844996e-113,1.922054381821514e-111,1.5014515157871088e-125,3.76,0.0,0.948770011974139,0.9999999999999988,3.1187404433014533e-53,1.0376812007976293e-69,4.594808531987426e-18,4.594808531987426e-18,1.259983244119663e-15,5.379684310423301e-42,1.397087738599443e-37,3.0208733932029215e-22,5.280876281226026e-38,6.094996218339331e-39,2.9852915351885347e-58,1.2266303869194234e-37,1.1206639157225893e-40,3.4222259679689505e-44,3.3326898231566153e-40,1.0259359712121615e-38,2.543873876476301e-38,2.980385111770622e-38,1.7970628958350337e-41,8.161513308997914e-47,6.651063042826633e-41,7.331692963286222e-45,3.541740225026451e-55,6.951571768576158e-41,2.9998776522577684e-52,1.0589203613921451e-24,5.060778594372429e-71,3.2125782928809316e-75,3.0940187097386056e-55,3.9121109924378323e-60,1.0190245495065495e-61,5.481903044949806e-54,2.457016971474743e-75,1.903618068577034e-71,1.6179804172689362e-63,6.516712158104354e-56,8.76051955114652e-64,6.545150426032828e-77,1.1111486210391097e-54,6.156151677819702e-66,2.498263902883189e-77,3.404693954300558e-82,1.3029217960248163e-48,2.3540822752373212e-99,8.341297157799535e-57
2.3182266212637315e-21,0.7018615995780709,1.4969482834945872e-25,4.0409021929582195e-28,1.924080292325791e-40,4.581949369244986e-40,0.0,0.0,6.903356521894606e-22,8.043897383798415e-40,1.8429323816380832e-51,2.1439819122867273e-51,1.5946608340031172e-55,1.3599220773896428e-69,1.1100537436738235e-46,3.9581405953512355e-37,4.4461474008279845e-53,6.726376065982889e-37,3.491169077994743e-91,1.826814020084188e-75,1.130195212809065e-87,6.532762182108077e-87,2.4203893974673644e-24,1.2277228180120047e-75,2.958061669035199e-60,1.3028700928748248e-95,8.54490150578385e-110,7.78848120083613e-90,1.5695543790796584e-110,5.990229659014977e-107,5.528144893781427e-59,4.6457911951665495e-111,2.0948497483140203e-109,3.417133093094509e-123,3.76,0.0,0.948770011974139,0.9999999999999971,3.061997861413586e-52,2.050283188912668e-68,1.0502419501685546e-17,1.0502419501685546e-17,2.879961700838305e-15,2.5900864203067484e-41,6.72637606598288e-37,6.904853470178095e-22,2.542514606921405e-37,2.9344783117430065e-38,2.930976931785496e-57,5.905697293313796e-37,5.395514349226654e-40,1.6476544892145047e-43,1.604546689691386e-39,4.939440073319536e-38,1.2247657670187092e-37,1.4349271365942034e-37,8.652084273327235e-41,3.929449810627133e-46,3.2022005510827365e-40,3.5298945591639905e-44,3.586308596906488e-54,3.34688256672498e-40,1.4443119838008192e-51,2.42038939746776e-24,1.0327677782438952e-69,6.556001777396862e-74,1.489637907463164e-54,3.840933770871408e-59,1.0962201037826979e-60,5.382195160082828e-53,5.014105856267603e-74,3.881818746003692e-70,1.5885427681676792e-62,7.010380065183656e-55,8.601446262595239e-63,1.306093253114995e-75,1.0909323051576407e-53,6.044153862468977e-65,4.936290376547126e-76,6.727109753564971e-81,6.273142278566429e-48,1.2257657602032886e-97,4.0159781192168216e-56
4.92623157018543e-21,0.7018615995780709,3.1810151024262227e-25,8.586917160052591e-28,8.40296413780584e-40,2.001057668141477e-39,0.0,0.0,1.4669632609026005e-21,3.5129813196093416e-39,1.6300528210514927e-50,1.8963277215946954e-50,1.4104768784423226e-54,1.2028356768232932e-68,4.8478963358510476e-46,1.728623987653108e-36,3.932567025323697e-52,2.93758514574468e-36,1.3181990163829731e-89,3.421420482193084e-74,4.5103124073516986e-86,2.6070538956721164e-85,5.143327469617261e-24,2.1846671576801018e-74,2.6163720473281823e-59,5.199412545029491e-94,6.837275522953649e-108,3.035316554301668e-88,1.1895825445291034e-108,4.90037720389183e-105,4.889581554315076e-58,3.800603609162448e-109,1.713743299700076e-107,5.774908935777643e-121,3.76,0.0,0.948770011974139,0.9999999999999939,2.708302432517479e-51,3.648369388763377e-67,2.2317641441081784e-17,2.2317641441081784e-17,6.119918614253059e-15,1.1311587879803306e-40,2.937585145744672e-36,1.4672813624128401e-21,1.1103829266816312e-36,1.2815637743852632e-37,2.592415903906614e-56,2.579173164548789e-36,2.3563628691769828e-39,7.19574003199182e-43,7.007476946033679e-39,2.157183250727632e-37,5.34887387934569e-37,6.26670379461708e-37,3.778592512768704e-40,1.7161225019926207e-45,1.3984851099982892e-39,1.541597692636371e-43,3.21534081677799e-53,1.461671547366052e-39,6.307690132911484e-51,5.143327469618989e-24,1.8644074928849223e-68,1.1835244180370207e-72,6.505649637464084e-54,3.397262423134318e-58,1.007615135358356e-59,4.760502678616068e-52,9.051731401221574e-73,7.005348583573124e-69,1.4050480887698566e-61,6.44374651834413e-54,7.608007395072332e-62,2.334649259878204e-74,9.649172694966194e-53,5.345999233865579e-64,8.783980130905498e-75,1.1970561837015898e-79,2.739764385307174e-47,4.891709373886159e-96,1.7538854384308884e-55
1.0142241468028827e-20,0.7018615995780709,6.54914874029021e-25,1.76789470942934e-27,3.508072114912061e-39,8.354021855541923e-39,0.0,0.0,3.0202184783288702e-21,1.4666005477613113e-38,1.370157614158828e-49,1.5939777123165795e-49,1.1855977145789686e-53,1.0110558626558238e-67,2.023901289186801e-45,7.216664868136812e-36,3.305559539845524e-51,1.2263839718769804e-35,4.5734447529897225e-88,5.909653035804655e-73,1.603035671795093e-84,9.26587787187942e-84,1.0589203613914233e-23,3.684760479113127e-73,2.1992183541038787e-58,1.8479526679911782e-92,4.8670354062047555e-106,1.0679582647717105e-86,8.271619463400535e-107,3.5268362325603206e-103,4.109987915815805e-57,2.7353409729431294e-107,1.2334020466494266e-105,8.455807687156101e-119,3.76,0.0,0.948770011974139,0.9999999999999875,2.2764913820413567e-50,6.153508231272598e-66,4.594808531987426e-17,4.594808531987426e-17,1.259983244099244e-14,4.722365275521163e-40,1.2263839718769732e-35,3.0208733932028873e-21,4.635630139579535e-36,5.350276481721277e-37,2.179081772009556e-55,1.076754025073649e-35,9.837351127995504e-39,3.0040798149330534e-42,2.9254836825052796e-38,9.005815429416086e-37,2.2330495518338288e-36,2.6162254739417386e-36,1.5774879923402245e-39,7.164712092578297e-45,5.8384000418982266e-39,6.4358669027829305e-43,2.7198521425587163e-52,6.102190979632997e-39,2.633336667769206e-50,1.0589203613921447e-23,3.165916594391904e-67,2.0097213775551815e-71,2.7159886264185113e-53,2.855603767043567e-57,8.620359614401902e-59,4.001494105345975e-51,1.5370581141838583e-71,1.1893828002702332e-67,1.1810275791093054e-60,5.5127606031483775e-53,6.395038424690319e-61,3.946293410455806e-73,8.110711056387903e-52,4.493657339423017e-63,1.4815558500359304e-73,2.019020160824591e-78,1.143896600750026e-46,1.7385901273277576e-94,7.322145545352805e-55
2.057426126371562e-20,0.7018615995780709,1.3285416016021048e-24,3.586300696298331e-27,1.4331619245634544e-38,3.412890513043357e-38,0.0,0.0,6.126728913181369e-21,5.991541777579941e-38,1.1233379935289765e-48,1.3068392326333392e-48,9.720273872391086e-53,8.289246816265986e-67,8.268297149050933e-45,2.948243072608211e-35,2.7100974243092626e-50,5.010178684417764e-35,1.523148051772622e-86,9.818976905325563e-72,5.399465633481179e-83,3.1210028581092883e-82,2.1480955902496888e-23,6.052230151655068e-72,1.803052078006091e-57,6.224413625539095e-91,3.2810852527559534e-104,3.580364895185946e-85,5.515543101757094e-105,2.390604171581053e-101,3.3696164084361535e-56,1.8541093297807448e-105,8.360428428851966e-104,1.1562646438240058e-116,3.76,0.0,0.948770011974139,0.9999999999999745,1.866405174831953e-49,1.0107155747886986e-64,9.320897307745921e-17,9.320897307745921e-17,2.55596600941107e-14,1.929240305920437e-39,5.010178684417706e-35,6.1280574547829234e-21,1.8938061689051026e-35,2.185762518002964e-36,1.786542891268719e-54,4.3988915286113335e-35,4.018878920763899e-38,1.2272646251127007e-41,1.1951555404819839e-37,3.679169455438367e-36,9.122736045367273e-36,1.0688134714403764e-35,6.444553170380699e-39,2.9272135458957974e-44,2.385176919417694e-38,2.6292616270662708e-42,2.2367295362731042e-51,2.492944124768237e-38,1.075804119432256e-49,2.1480955902526364e-23,5.217065123473425e-66,3.3117888592764444e-70,1.1095764849354356e-52,2.3411964965060526e-56,7.127480027497501e-58,3.280668522708319e-50,2.5328943580877074e-70,1.959820516484969e-66,9.682777640346507e-60,4.5580569918359095e-52,5.243058686889668e-60,6.488726124231452e-72,6.649650952547273e-51,3.684209275097394e-62,2.433467293585171e-72,3.316279337306325e-77,4.6739990989240044e-46,5.856050372954209e-93,2.9913509739741227e-54
4.1438300855089207e-20,0.7018615995780709,2.675795056749417e-24,7.223112670119628e-27,5.793069642345886e-38,1.3795449128237832e-37,0.0,0.0,1.2339749782886203e-20,2.4218769830088443e-37,9.097082316652691e-48,1.0583122926803029e-47,7.871740767405457e-52,6.712846985033779e-66,3.342177906338803e-44,1.191726988297798e-34,2.1947071582453493e-49,2.025194330158496e-34,4.971808926270911e-85,1.6007410537489226e-70,1.772158685400583e-81,1.0243443884261193e-80,4.3264460479617026e-23,9.810925884357968e-71,1.4601583202704913e-56,2.042914939862133e-89,2.1545610802683293e-102,1.1724591675344307e-83,3.6027020778886134e-103,1.5740810484139823e-99,2.7288027308206807e-55,1.2208308218278154e-103,5.504890433336765e-102,1.529273557425128e-114,3.76,0.0,0.9487700119741389,0.9999999999999486,1.5114633004074758e-48,1.6384135014385536e-63,1.877307485926291e-16,1.877307485926291e-16,5.147931539890521e-14,7.798297806926066e-39,2.02519433015845e-34,1.2342425577942761e-20,7.655067328269674e-35,8.835201571103153e-36,1.4467887526016955e-53,1.7781022880879216e-34,1.6244951162108719e-37,4.960799837452029e-41,4.831009783530727e-37,1.4871791187469971e-35,3.687555769536962e-35,4.3203149401336784e-35,2.6049914310189795e-38,1.1833840685498957e-43,9.641266465264346e-38,1.0627895880285034e-41,1.8140863275973336e-50,1.0076878739781196e-37,4.348573606960652e-49,4.326446047973617e-23,8.470706841340722e-65,5.377198076545368e-69,4.485138193282464e-52,1.895961622441932e-55,5.795948387004572e-57,2.656771182727043e-49,4.1125431749192417e-69,3.181954165546514e-65,7.841364376115592e-59,3.706536215244624e-51,4.245972764412515e-59,1.052407965791434e-70,5.385059745213766e-50,2.9836289174509155e-61,3.944761232456628e-71,5.375937603233335e-76,1.8899585996761802e-45,1.9220143688362178e-91,1.2091645057015997e-53
8.316638003783637e-20,0.701861599578071,5.3703019670486205e-24,1.4496736618095477e-26,2.329367824649546e-37,5.547089420093008e-37,0.0,0.0,2.4765791522295223e-20,9.738260830658828e-37,7.322123276708118e-47,8.518218042355741e-47,6.335866177896105e-51,5.403083258019672e-65,1.3438750367022472e-43,4.7918818058756816e-34,1.7664912561705773e-48,8.143217330700265e-34,1.606802733360176e-83,2.5852010775997647e-69,5.742785607931881e-80,3.319448907073867e-79,8.683146963367669e-23,1.5800193683482943e-69,1.1752624474094602e-55,6.620187762399287e-88,1.3966544694864348e-100,3.7952078753909114e-82,2.3293033543749138e-101,1.0217494334596772e-97,2.1963778383398437e-54,7.924523565884147e-102,3.5732742971072126e-100,1.989628671847461e-112,3.76,0.0,0.9487700119741387,0.9999999999998967,1.216557158504809e-47,2.638614434604236e-62,3.767742996229689e-16,3.767742996229689e-16,1.0331862600272622e-13,3.13566127526402e-38,8.143217330699894e-34,2.4771161824261495e-20,3.078068904487992e-34,3.5525956930929446e-35,1.164501455870488e-52,7.149671096612053e-34,6.5320234151371114e-37,1.994715796261328e-40,1.9425277863823852e-36,5.979881827970008e-35,1.4827499564708228e-34,1.7371796359924773e-34,1.047455597253052e-37,4.75960231679653e-43,3.876710841851626e-37,4.273430191015901e-41,1.4612228918614872e-49,4.051868621539463e-37,1.7485434072318994e-48,8.683146963415575e-23,1.365270299768312e-63,8.666725182776213e-68,1.8034966702802047e-51,1.5260348585991265e-54,4.674642346406644e-56,2.1384008836888756e-48,6.628411486763584e-68,5.12843785071971e-64,6.311412233180524e-58,2.989455723099006e-50,3.417531429483449e-58,1.6953179222230674e-69,4.334364572553983e-49,2.4015818797332068e-60,6.35292106027317e-70,8.658122842942305e-75,7.604695305078352e-45,6.2284018630379896e-90,4.862098741535782e-53
1.6662253840333072e-19,0.701861599578071,1.075931578766535e-23,2.9043984515380217e-26,9.341806814539735e-37,2.2246309572703757e-36,0.0,0.0,4.9617875001110646e-20,3.905478147455024e-36,5.875542798315692e-46,6.835333520322016e-46,5.084135340913783e-50,4.335634040223634e-64,5.389539959943647e-43,1.921758926298032e-33,1.4174979833456538e-47,3.265794364240972e-33,5.167236788592442e-82,4.155635228539444e-68,1.849268469566798e-78,1.0689154391731051e-77,1.7396548794107342e-22,2.5362810079357373e-68,9.430740991687874e-55,2.131806207860864e-86,8.995732421646384e-99,1.2214450566873405e-80,1.4983449263882863e-99,6.5854434372303454e-96,1.7624548923885643e-53,5.107565667747474e-100,2.303070079433539e-98,2.567511586294655e-110,3.76,0.0,0.9487700119741383,0.999999999999793,9.762105036053287e-47,4.235560532495657e-61,7.548614016836482e-16,7.548614016836482e-16,2.0699724718729605e-13,1.2575404375189553e-37,3.265794364240675e-33,4.962863431689521e-20,1.2344433006962476e-33,1.4247497666406047e-34,9.344390805957757e-52,2.8673378865890918e-33,2.6196335419545333e-36,7.999702501550975e-40,7.790405240001107e-36,2.3982000697694424e-34,5.946490501570681e-34,6.966867312913212e-34,4.200765431022022e-37,1.909829676495469e-42,1.5547344377121433e-36,1.713836641025744e-40,1.1729743990776836e-48,1.6249805414877288e-36,7.012449825568701e-48,1.7396548794299472e-22,2.1924322517488873e-62,1.391754278288852e-66,7.233167799543972e-51,1.2245468675862578e-53,3.754926950606685e-55,1.715932158068381e-47,1.0644297412571019e-66,8.235476793201494e-63,5.064510838268131e-57,2.4012934049083182e-49,2.7423550057300635e-57,2.721718950192338e-68,3.4780546007223837e-48,1.9272751002091312e-59,1.0197849025855616e-68,1.3899299614706611e-73,3.0540378541130027e-44,2.0056446421577172e-88,1.950000426263716e-52
