Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58),S(463),C2HF(468),C2H2F3(68),S(165),S(464),S(130),C2H2F2(59),C2H3F2(65),C2H2F3(67),CF2(43),CHFCF2(55),CF2CH(73),C2HF2(72),S(179),C2H3F2(64),CHF2(82),CHF3(42),S(1244),S(1385),CF2O2(181),CF2O2(276),CH2F2(41),S(203),S(1542),CHO2(322),C2F(467),S(174),S(413),S(1894),C2H3F2(66),C2HF4(54),CHFO(47),S(2753),S(512),CF2CF2(61),C2HF3(169),C2HF4(69)
0.0,0.865671221523133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6895350613242369,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.093947487696717e-23,0.865671221523133,4.5630212759550735e-25,7.507927731458998e-26,9.675108012359501e-41,1.3481767148222568e-40,0.0,0.0,8.59678204466014e-22,2.772786093967526e-40,1.032177313806504e-52,1.195522813114175e-52,1.2082968180323938e-55,2.5122274704599667e-65,1.161216811326325e-43,5.158972816227414e-37,3.9874694004133116e-52,3.5470213442535563e-37,1.8129888253645758e-91,1.8993272467183784e-72,2.4136612659665383e-88,1.5014985381996123e-87,8.847440037320787e-23,1.3141062067188438e-75,3.2018674079091748e-59,3.72844728264158e-94,3.716894157812074e-109,4.670029004496286e-89,4.138822316407507e-110,3.869365332022196e-107,2.716829441554411e-58,3.8481879667975083e-112,1.0031112579814574e-110,4.6721487406953035e-124,3.76,0.0,0.6895350613242369,0.9999999999999996,1.7023234164658126e-53,3.330124687586041e-68,2.3148885440964684e-17,2.3148885440964684e-17,4.515841651388118e-16,4.176228653004627e-42,3.547021344253556e-37,8.601345065936098e-22,1.8037346670437286e-35,5.710093734794805e-40,1.843867253851516e-54,3.629730807298817e-37,4.115777957908568e-39,6.2894098581070004e-43,1.245238071721508e-37,1.781311655244328e-36,8.238204051860222e-37,1.5709929510237928e-37,7.68025145907438e-39,1.3478825568561062e-45,1.6820430609517902e-39,5.65685276155251e-42,2.6907845554118443e-54,3.853791401604285e-39,7.249875943579268e-48,8.847440037320837e-23,2.13539613889525e-71,1.9049716756439296e-75,2.3758618426840585e-52,9.577514256377555e-58,7.446538331357916e-59,4.1203170666285484e-54,9.199890894610039e-76,1.823367605082851e-71,8.453464738148175e-60,3.857966641184932e-54,7.348979325598027e-61,2.6755515695981356e-74,5.390919861047048e-53,9.740742598966835e-64,9.687277160941337e-76,1.5242726086963341e-81,1.6702062625963193e-47,1.4706421059538576e-80,4.595529359022365e-54,3.82564347790856e-65
1.986305296555081e-22,0.865671221523133,1.277645957267462e-24,2.1022197648086544e-25,5.843765239470496e-40,8.142987357530155e-40,0.0,0.0,2.407098972504838e-21,1.674762800756385e-39,1.2254011482716112e-51,1.4193246837291388e-51,1.4390901750669843e-54,2.9825164529300365e-64,7.013749540410944e-43,3.116019581001337e-36,4.733923673262144e-51,2.1424008919295577e-36,1.102936052302128e-89,5.9717887560420506e-71,1.153034950687398e-86,7.172838696804056e-86,2.4772832104498036e-22,2.939603020182269e-74,3.801256986686512e-58,1.781124008286651e-92,3.491745062992107e-107,2.833619828306251e-87,4.707611759968524e-108,2.98655462235893e-105,3.2254199130139527e-57,3.121766126559126e-110,8.137467372172102e-109,5.231182670283423e-122,3.76,0.0,0.6895350613242369,0.9999999999999988,2.0209983617279756e-52,7.44935572278342e-67,6.481687923470111e-17,6.481687923470111e-17,1.264435662388422e-15,2.522442107192599e-41,2.142400891929557e-36,2.4083766184621074e-21,1.089455738894412e-34,3.4488966158158965e-39,2.189039203772515e-53,2.1923574076084375e-36,2.4859298865777446e-38,3.79880355429666e-42,7.521237953197466e-37,1.0759122397675782e-35,4.975875247323499e-36,9.488797424183692e-37,4.6388718812811583e-38,8.141235752198456e-45,1.0159540088148804e-38,3.416739067978206e-41,3.955086099839765e-53,2.3276900065688953e-38,4.378925071391956e-47,2.477283210449834e-22,5.863273266959995e-70,5.2305842914453265e-74,1.435020940957338e-51,1.1370424925170804e-56,1.1253206576182127e-57,4.891710335123895e-53,2.526064057098787e-74,4.9265365355463757e-70,1.0035953337129517e-58,5.830154066333974e-53,8.725611261449532e-60,6.059259907789272e-73,6.400100059034874e-52,1.1564212090684342e-62,2.173643753651173e-74,3.409737552503549e-80,1.008804717275495e-46,3.2897764415062703e-79,2.7757000869657634e-53,4.5418167647289956e-64
4.540126392125899e-22,0.865671221523133,2.9203336166115366e-24,4.8050737481347025e-25,2.8135214100021734e-39,3.9204978867087095e-39,0.0,0.0,5.5019405085824795e-21,8.06326196125755e-39,1.2031062196480007e-50,1.393501390965852e-50,1.414923044731491e-53,2.928252339568029e-63,3.3768184873368654e-42,1.5002292949589007e-35,4.647794334671521e-50,1.0314738069095369e-35,4.9791814602623445e-88,1.3322732207089196e-69,6.003829083327974e-85,3.7348822385842496e-84,5.662361623885185e-22,5.808160202406511e-73,3.7320966507107875e-57,9.274275784614025e-91,3.4387425893732457e-105,1.2811020086941315e-85,4.2617830378334384e-106,3.254415803181718e-103,3.166736397077511e-56,3.410733988278292e-108,8.890774210970155e-107,1.1937649261094638e-119,3.76,0.0,0.6895350613242368,0.9999999999999971,1.9842281766462134e-51,1.4718671585999338e-65,1.4815286682217393e-16,1.4815286682217393e-16,2.8901386568866385e-15,1.2144472934382124e-40,1.0314738069095362e-35,5.5048608421991e-21,5.2452604117631604e-34,1.6604952580780818e-38,2.149211671089313e-52,1.0555257187624237e-35,1.1968682301612382e-37,1.828960386737563e-41,3.621152312565482e-36,5.180054293450567e-35,2.39566973828084e-35,4.568447501577163e-36,2.2334171242991785e-37,3.919680138518916e-44,4.891381221247792e-38,1.645012783060205e-40,4.216411557216652e-52,1.1206825395863866e-37,2.10826392655927e-46,5.662361623885332e-22,1.26323873459537e-68,1.1269262714997032e-72,6.909012058167524e-51,1.1163550617231727e-55,1.2105685381287543e-56,4.802740850205768e-52,5.4423899717875904e-73,1.0551360276852236e-68,9.853358498785528e-58,6.27181193624826e-52,8.567252570578403e-59,1.2037690639017804e-71,6.283656190035879e-51,1.1353817252647578e-61,4.301154497806563e-73,6.73706983103359e-79,4.856961831639869e-46,6.500082255734696e-78,1.3363804683538841e-52,4.4592098038936703e-63
9.647768583267537e-22,0.865671221523133,6.2057089353003476e-24,1.0210781714788959e-24,1.2287387175779524e-38,1.71218442783004e-38,0.0,0.0,1.1691623580737739e-20,3.521438339338743e-38,1.064133868530273e-49,1.2325361994081267e-49,1.252283963079524e-52,2.5900060329451805e-62,1.474745350384342e-41,6.551895476608492e-35,4.110921454610567e-49,4.504717107208192e-35,1.88004425881802e-86,2.495200296853903e-68,2.3959705809454467e-83,1.490493457215994e-82,1.2032518450755677e-21,1.0335310751380677e-71,3.300997222966899e-56,3.701120007105254e-89,2.700638149811906e-103,4.840220378486355e-84,3.230052287290023e-104,2.6621711835320993e-101,2.800942481068451e-55,2.792387513217626e-106,7.278948637713606e-105,2.0193110780073366e-117,3.76,0.0,0.6895350613242366,0.9999999999999939,1.7550273518702513e-50,2.6191089672962822e-64,3.148248419971195e-16,3.148248419971195e-16,6.141544645879057e-15,5.303810401038253e-40,4.504717107208186e-35,1.1697829289673078e-20,2.290743027145534e-33,7.251819043186848e-38,1.9009533840307296e-51,4.6097581252687485e-35,5.2270380065584945e-37,7.987550519796378e-41,1.5814523510856298e-35,2.2622658021603603e-34,1.0462519145861325e-34,1.9951610478001903e-35,9.753919353028064e-37,1.7118497658279933e-43,2.1361946874087604e-37,7.184203007179286e-40,3.8617301914300276e-51,4.894315080036001e-37,9.207342470551412e-46,1.2032518450756322e-21,2.3328747773683734e-67,2.081140961511895e-71,3.017350553839012e-50,9.874034097750908e-55,1.1127210223048036e-55,4.2479820594903323e-51,1.0050684756626617e-71,1.9438868911837163e-67,8.715184006441285e-57,5.764875068373856e-51,7.577795024240832e-58,2.147404069250986e-70,5.557822739943886e-50,1.0042332116343709e-60,7.658868840939834e-72,1.198826659098599e-77,2.1211640408407576e-45,1.15666862970755e-76,5.8363277683973445e-52,3.944168908675857e-62
1.9863052965550808e-21,0.8656712215231328,1.277645957268062e-23,2.10221976481061e-24,5.129742268227658e-38,7.148032942039574e-38,0.0,0.0,2.4070989725048174e-20,1.47013118702157e-37,8.94468652026011e-49,1.0360209414796202e-48,1.052937534680988e-51,2.1770561302606692e-61,6.156771533651361e-41,2.735287387163484e-34,3.455477184274334e-48,1.8806307167287705e-34,6.522747027580794e-85,4.30983800032439e-67,8.515654710676744e-82,5.297447193681951e-81,2.4772832104495588e-21,1.7432012223004998e-70,2.7746870660130303e-55,1.3154360188742365e-87,1.9082674093405493e-101,1.6797726734674757e-82,2.245978096319173e-102,1.915939766700613e-99,2.3543609247863395e-54,2.0104193307021227e-104,5.240590468203539e-103,2.9579632821963346e-115,3.76,0.0,0.6895350613242363,0.9999999999999873,1.4752062376950006e-49,4.4175100904618887e-63,6.481687923470106e-16,6.481687923470106e-16,1.264435662384783e-14,2.214236442328716e-39,1.8806307167287662e-34,2.4083766184621017e-20,9.563401204665844e-33,3.0274916981859087e-37,1.5978658603116097e-50,1.924483274029159e-34,2.18218547329622e-36,3.3346451067687723e-40,6.60225225626127e-35,9.444514396105998e-34,4.367895788295253e-34,8.329404626327917e-35,4.072069323604479e-36,7.146823584037725e-43,8.918192309166275e-37,2.999263334181981e-39,3.298496507916477e-50,2.043280201129295e-36,3.8438842451935e-45,2.4772832104498285e-21,4.0027380039458546e-66,3.570814044123516e-70,1.2596873612582776e-49,8.299720614341262e-54,9.519562511495052e-55,3.570689705078952e-50,1.7244928116699435e-70,3.331709722391219e-66,7.32563728664348e-56,4.93197174863812e-50,6.369655620646428e-57,3.6262735653012735e-69,4.671684896863462e-49,8.441200942484986e-60,1.2921956911193256e-70,2.0220000250914106e-76,8.855452390376579e-45,1.9509370151363315e-75,2.4365545995003385e-51,3.3153929362854656e-61
4.029362173011735e-21,0.8656712215231331,2.591796084745176e-23,4.26450295147749e-24,2.0956670959723163e-37,2.9202046914176014e-37,0.0,0.0,4.882972201366868e-20,6.0059655909773125e-37,7.333394490765976e-48,8.493925615737127e-48,8.633881161149473e-51,1.7848821477785614e-60,2.515242062004585e-40,1.1174541478858762e-33,2.8330089668353824e-47,7.682990112553735e-34,2.1723471160964985e-83,7.160860296618264e-66,2.8683070355784495e-80,1.7843261114370706e-79,5.0253459411971106e-21,2.8632132421420925e-69,2.2748560964227637e-54,4.4307507948670555e-86,1.2822227810800718e-99,5.595099576037779e-81,1.4976255943479079e-100,1.2986724328349226e-97,1.9302473306411119e-53,1.3629605994525164e-102,3.552852433120595e-101,4.0455728065242447e-113,3.76,0.0,0.6895350613242356,0.9999999999999744,1.2094632019158058e-48,7.255773588616334e-62,1.3148566930467919e-15,1.3148566930467919e-15,2.5649980579721132e-14,9.045878400318237e-39,7.682990112553698e-34,4.88556399745168e-20,3.9069614382033937e-32,1.2368291433295488e-36,1.310026971272448e-49,7.862142117835823e-34,8.914939688058933e-36,1.3623113329057808e-39,2.6972354728664354e-34,3.858392297725911e-33,1.7844279504482536e-33,3.4028335716353785e-34,1.6635731870440923e-35,2.9198640933426294e-42,3.6433725517439154e-36,1.2252969355691112e-38,2.72519046369585e-49,8.347466327519962e-36,1.5703521457063003e-44,5.025345941198212e-21,6.628851337305252e-65,5.913551031394572e-69,5.1462576095894054e-49,6.804612407628843e-53,7.870958334780872e-54,2.9274690718535613e-49,2.855896756049063e-69,5.514744094620506e-65,6.006000043952994e-55,4.077849521412131e-49,5.222253310397094e-56,5.959693120387379e-68,3.830129529759769e-48,6.920632279742593e-59,2.1227673446195553e-69,3.3211530722185657e-75,3.6177494785910865e-44,3.2045720408638215e-74,9.954142178312573e-51,2.718292785509479e-60
8.115475925925044e-21,0.8656712215231332,5.220096339703641e-23,8.589069324825058e-24,8.471021470525176e-37,1.1803934263453909e-36,0.0,0.0,9.834718659090826e-20,2.4277073190009897e-36,5.938773016144971e-47,6.878601183515275e-47,6.992444679818442e-50,1.4454438394651969e-59,1.016701056722576e-39,4.516928331300251e-33,2.2942441120717326e-46,3.105587443956942e-33,7.090902831019478e-82,1.1674009591307177e-64,9.414070892470015e-79,5.85633696113879e-78,1.0121471402690494e-20,4.641392049772707e-68,1.842237446791785e-53,1.4542167757109934e-84,8.406777491928912e-98,1.826454194271076e-79,9.782352812668595e-99,8.55099817820635e-96,1.5631643334037631e-52,8.975095241323689e-101,2.3395540391916145e-99,5.3511778331095166e-111,3.76,0.0,0.6895350613242343,0.9999999999999484,9.79454658381095e-48,1.1761921659716814e-60,2.648232494446352e-15,2.6482324944463526e-15,5.166122849121076e-14,3.656488717621801e-38,3.1055874439569116e-33,9.839938755430797e-20,1.5792562802607988e-31,4.999461149296123e-36,1.0608938060792153e-48,3.178003548864171e-33,3.6035611595818646e-35,5.506680222448926e-39,1.0902657032153303e-33,1.5596238571262614e-32,7.212943081190896e-33,1.375479736282817e-33,6.724428804512236e-35,1.1803798213159189e-41,1.4727094379301366e-35,4.952846121719416e-38,2.2152607289998686e-48,3.374179354082797e-35,6.347614520903768e-44,1.0121471402694943e-20,1.0789093484191178e-63,9.624873398817006e-68,2.080218778460263e-48,5.5105515491776166e-52,6.400532584458267e-53,2.3707411199201538e-48,4.648246809919375e-68,8.973532084450948e-64,4.863814551659854e-54,3.316039469870624e-48,4.229126017600193e-55,9.663758551006589e-67,3.101738196010375e-47,5.6045491586481204e-58,3.441362768107763e-68,5.383771021928287e-74,1.4623588364069842e-43,5.1952426146156925e-73,4.023640893297456e-50,2.2015599579308317e-59
1.6287703431751664e-20,0.8656712215231337,1.0476696849637522e-22,1.7238202071575427e-23,3.40616047660485e-36,4.746310051893918e-36,0.0,0.0,1.9738211574538172e-19,9.7617043552557e-36,4.780041195525301e-46,5.536496657268716e-46,5.62832907494877e-49,1.1634189527726523e-58,4.088110232942198e-39,1.81623701584248e-32,1.8466072561251563e-45,1.2487430523609958e-32,2.2916572711973077e-80,1.8853556672821405e-63,3.050685656927703e-77,1.8977808191107743e-76,2.031372232567037e-20,7.474818810097433e-67,1.4827929686667648e-52,4.712475942142408e-83,5.4454191949887e-96,5.902976930874113e-78,6.32471596870868e-97,5.550511872271084e-94,1.2581706477613707e-51,5.8260520844929704e-99,1.5186876137608352e-97,6.962363245609056e-109,3.76,0.0,0.6895350613242316,0.9999999999998963,7.883503197019954e-47,1.8942212233166243e-59,5.314984097245461e-15,5.314984097245463e-15,1.0368372431316208e-13,1.4702580613379438e-37,1.2487430523609717e-32,1.9748688271388884e-19,6.350120044714099e-31,2.0102613396964738e-35,8.538996308076315e-48,1.2778612496289702e-32,1.4489760932672617e-34,2.2142118981884809e-38,4.383910440983619e-33,6.27117893475712e-32,2.9002926892677454e-32,5.5307435237959825e-33,2.7038632471912868e-34,4.747253117055729e-41,5.921699877802556e-35,1.9915176421542485e-37,1.7863622766250666e-47,1.356742678093069e-34,2.5523479375284617e-43,2.0313722325688265e-20,1.7410238988919134e-62,1.5531550111828722e-66,8.364622390420473e-48,4.4353712939110256e-51,5.162261398305439e-52,1.9081790090075577e-47,7.500823675126562e-67,1.4478700257800699e-62,3.914821093478789e-53,2.6745059491944054e-47,3.403972495444516e-54,1.5565463634171202e-65,2.496548745268668e-46,4.511095890073027e-57,5.5424208942453194e-67,8.670522146341775e-73,5.880134078280959e-43,8.368366777178218e-72,1.6179023573513792e-49,1.7723546724107476e-58
3.26321584434049e-20,0.8656712215231347,2.0989897869573082e-22,3.453646756529707e-23,1.3660226955398614e-35,1.9034826148337288e-35,0.0,0.0,3.9545197405430558e-19,3.9148800493555935e-35,3.835682027146733e-45,4.442689891073532e-45,4.516460073741625e-48,9.335704400321696e-58,1.63951504860708e-38,7.283922765381329e-32,1.4817860277766735e-44,5.008018154074417e-32,7.369626355660084e-79,3.030654171227402e-62,9.823693902420881e-76,6.111156624245173e-75,4.0698224171602595e-20,1.1998739613127964e-65,1.1898479750428614e-51,1.5174923406275408e-81,3.506040320200907e-94,1.8983397133501644e-76,4.068429379604006e-95,3.5774462080286545e-92,1.0096027080320934e-50,3.755120906333341e-97,9.788542907875939e-96,8.984775153201288e-107,3.76,0.0,0.6895350613242263,0.9999999999997923,6.326014829948541e-46,3.0406445701421472e-58,1.0648487302843639e-14,1.0648487302843645e-14,2.07728715952953e-13,5.896392654008063e-37,5.008018154074225e-32,3.9566187303304454e-19,2.5466821539910173e-30,8.062047083489848e-35,6.852006770025782e-47,5.124795148409684e-32,5.811042204697022e-34,8.879980042222086e-38,1.7581441620071218e-32,2.515023238172157e-31,1.1631470871549994e-31,2.218075521591722e-32,1.0843700953705887e-33,1.904661129004901e-40,2.3748665054989366e-34,7.986876473230685e-37,1.4347733826105836e-46,5.441144957117669e-34,1.0236057248152298e-42,4.069822417167435e-20,2.797507214022868e-61,2.4956362465876807e-65,3.3547113567108893e-47,3.559106133409e-50,4.1466090884579103e-51,1.5311936040708865e-46,1.2052452786672922e-65,2.3263198207072408e-61,3.141397380696307e-52,2.14830861822511e-46,2.731475132121772e-53,2.498784181069397e-64,2.0033231409221392e-45,3.6199781081803695e-56,8.896982755065408e-66,1.3918509221760623e-71,2.3582396838977522e-42,1.3438182446964027e-70,6.488624777499683e-49,1.422760999985297e-57
