Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58),S(463),C2HF(468),C2H2F3(68),S(165),S(464),S(130),C2H2F2(59),C2H3F2(65),C2H2F3(67),CF2(43),CHFCF2(55),CF2CH(73),C2HF2(72),S(179),C2H3F2(64),CHF2(82),CHF3(42),S(1244),S(1385),CF2O2(181),CF2O2(276),CH2F2(41),S(203),S(1542),CHO2(322),C2F(467),S(174),S(413),S(1894),C2H3F2(66),C2HF4(54),CHFO(47),S(2753),S(512),CF2CF2(61),C2HF3(169),C2HF4(69),C2HFO(577),S(3833)
0.0,0.6088269718309377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5820444188751266,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.637117908653712e-22,0.6088269718309377,3.8522180565027694e-27,5.4204073206641906e-30,1.5093717348685748e-42,2.1821026799060113e-42,0.0,0.0,3.179481920799049e-23,4.836187433600773e-42,5.269331231434462e-54,6.130501084139746e-54,2.00455753316483e-58,3.816633749486437e-74,5.418075176141099e-50,2.2059704145790306e-39,9.969564094760402e-57,5.1928493538612664e-39,3.807006486015577e-96,7.363705308577411e-81,1.8778455370872944e-92,1.0580040947115652e-91,2.92186441773783e-26,7.405243302459206e-80,7.522504721447136e-64,3.574723571556975e-101,8.44443094035637e-116,9.82671262211691e-95,4.519868942651433e-117,6.830982176340073e-113,1.829905969002871e-62,2.594403790315651e-116,1.3707847951575801e-114,1.7031291990639507e-129,3.76,0.0,0.5820444188751266,0.9999999999999996,8.723348199332959e-55,8.966761970381293e-73,3.397024850769392e-19,3.397024850769392e-19,4.582573176760905e-16,2.772087869275791e-43,5.1928493538612645e-39,3.1798671426046986e-23,3.308633664867318e-40,8.24210227462882e-40,2.683057720196302e-61,4.3926423897874625e-39,1.67223415260416e-42,4.297879211520548e-46,1.9913835558784182e-42,7.300292406523152e-41,2.1094347527406056e-40,8.366640274370992e-40,9.668256625929342e-44,1.8780466245011016e-48,1.0467971730511237e-42,1.2097897888994108e-48,5.058443928984095e-57,4.841719333412892e-43,3.780967510652863e-55,2.921864417738051e-26,9.054276140349287e-73,5.077463118302215e-77,1.3985106496914864e-57,1.0733610780853093e-62,1.617163568744327e-64,7.207225555706573e-56,4.3329549443109656e-77,2.6588800580090438e-73,1.65024601696862e-66,2.4121469608613718e-58,1.0382408102643121e-66,4.339702801791434e-80,3.0162372186473454e-57,1.7073204757361187e-68,4.74548515193922e-80,1.5188324730764266e-84,3.3793856919302113e-50,2.168019587694442e-86,4.996416116879087e-59,7.93275068085263e-70,2.10972591575136e-63,1.4540788270920217e-81
1.8583930144230395e-21,0.6088269718309377,1.078621055820795e-26,1.5177140497870028e-29,9.116605278631984e-42,1.317990018665035e-41,0.0,0.0,8.902549378237332e-23,2.921057209894866e-41,6.255750038010929e-53,7.278130887090167e-53,2.379841622893619e-57,4.531107587389691e-73,3.2725174063889223e-49,1.3324061304056271e-38,1.1835866500119319e-55,3.1364810097362737e-38,2.3159878279379388e-94,2.3152667683016472e-79,8.970693472129607e-91,5.054212520927924e-90,8.181220369665208e-26,1.656523305788769e-78,8.930717605340921e-63,1.7076883708829428e-99,7.348191965097596e-114,4.764042227413179e-93,5.141024857362769e-115,5.2710977095214525e-111,2.1724643664027523e-61,2.00235472626454e-114,1.057968471302923e-112,1.8151719953808505e-127,3.76,0.0,0.5820444188751266,0.9999999999999988,1.0356358982953535e-53,2.0058287868306567e-71,9.511669582154296e-19,9.511669582154296e-19,1.2831204894903826e-15,1.6743410732097453e-42,3.136481009736271e-38,8.90362799929315e-23,1.9984147335798602e-39,4.9782297738753304e-39,3.185326125417043e-60,2.6531560034315716e-38,1.01002942817593e-41,2.595919043758993e-45,1.2027956677502665e-41,4.409376613540014e-40,1.2740985906553198e-39,5.053450725720091e-39,5.839627002061907e-43,1.1343444339979308e-47,6.322654925228755e-42,7.307130326399287e-48,6.2110713172551665e-56,2.9243984773813616e-42,2.283704463190565e-54,8.181220369666542e-26,2.091675127839037e-71,1.1729709976196412e-75,8.447007692007628e-57,1.2742942719008109e-61,2.4438575762091195e-63,8.556524247535465e-55,1.0009783163841129e-75,6.139892212455253e-72,1.9591720713451437e-65,3.645234447770263e-57,1.232694784034193e-65,9.962060970551294e-79,3.580876825978091e-56,2.0269322406152888e-67,1.0615592220555326e-78,3.397569685643007e-83,2.041232025397386e-49,4.849789078270949e-85,3.0178367026367106e-58,9.417794094771307e-69,2.5198120302507885e-62,3.271505699184168e-80
4.247755461538376e-21,0.6088269718309377,2.4654195561619098e-26,3.469060685232288e-29,4.389253005036498e-41,6.345554593193739e-41,0.0,0.0,2.034868429311388e-22,1.406363305691103e-40,6.141932483432971e-52,7.145712063671609e-52,2.3365561663803787e-56,4.4486682983995125e-72,1.5755762612213807e-48,6.41496196559421e-38,1.1620523918536725e-54,1.5100805921088429e-37,1.0455476120693637e-92,5.165232797433825e-78,4.671021492754411e-89,2.6317179811737714e-88,1.869993227351711e-25,3.273010904194876e-77,8.768231503438703e-62,8.891898302642688e-98,7.636240449460181e-112,2.458148613559524e-91,4.654150267862649e-113,5.744697390687832e-109,2.132938397477482e-60,2.182286267199133e-112,1.1530374894186962e-110,4.130952800010928e-125,3.76,0.0,0.5820444188751266,0.9999999999999971,1.0167934662143253e-52,3.963179672782596e-70,2.1740959044924106e-18,2.1740959044924106e-18,2.93284683310828e-15,8.061231526312686e-42,1.5100805921088398e-37,2.0351149712670023e-22,9.621506697434162e-39,2.396803341461344e-38,3.1273720786607905e-59,1.2773804069501105e-37,4.862856915817295e-41,1.2498232747110312e-44,5.79094338048997e-41,2.1229250318169773e-39,6.1342362609696e-39,2.4330189917871004e-38,2.8115290268211292e-42,5.461423676038181e-47,3.0440861792326195e-41,3.5180687082897557e-47,6.1881973359869585e-55,1.4079719821564316e-41,1.0995054797568717e-53,1.8699932273523525e-25,4.196692803157093e-70,2.353424238067213e-74,4.0668740211082343e-56,1.2511096726098244e-60,2.628990457833413e-62,8.40089272400779e-54,2.008341754680811e-74,1.2316593322682164e-70,1.9235267573786173e-64,3.9213761752514973e-56,1.2103088060545196e-64,1.9908268528229032e-77,3.51572610205523e-55,1.9900569991642447e-66,2.0974748381664963e-77,6.713034658142393e-82,9.82849960420612e-49,9.58243506549534e-84,1.45295985885043e-57,9.246514901637326e-68,2.480603028194621e-61,6.482060235310078e-79
9.02648035576905e-21,0.6088269718309377,5.239016556844452e-26,7.371753956139327e-29,1.9169021033230606e-40,2.771270403508594e-40,0.0,0.0,4.324095412286691e-22,6.1419580406729614e-40,5.432469726431572e-51,6.320301397701185e-51,2.0666628493195266e-55,3.9347967303665925e-71,6.880955473694532e-48,2.8015824265137054e-37,1.0278221808886226e-53,6.594918679465127e-37,3.947788843760424e-91,9.673909382204455e-77,1.8640820590106122e-87,1.0502495611914563e-86,3.973735608120948e-25,5.824148027740826e-76,7.755401467874369e-61,3.5485234802596654e-96,6.112094823070869e-110,9.778330735491756e-90,3.527431729240928e-111,4.6995181978156814e-107,1.8865598578192964e-59,1.7852514014529583e-110,9.432592895919342e-109,6.981154372814037e-123,3.76,0.0,0.5820444188751266,0.9999999999999938,8.993423060590147e-52,7.052266476703044e-69,4.619953797046373e-18,4.619953797046373e-18,6.2322995203013315e-15,3.5205515964981097e-41,6.5949186794650984e-37,4.324619313942367e-22,4.2019647543814936e-38,1.0467469888771195e-37,2.7661251872135396e-58,5.578655835029211e-37,2.123737373852757e-40,5.458306598639867e-44,2.5290571159609713e-40,9.271371356284863e-39,2.6789821359804837e-38,1.0625633148451322e-37,1.2278685914939325e-41,2.385185441505012e-46,1.3294324097748764e-40,1.5364330341448637e-46,5.509185312228961e-54,6.148983553433983e-41,4.801830046120766e-53,3.973735608123749e-25,7.519641879479816e-69,4.216869876063816e-73,1.77611374530654e-55,1.106592337049366e-59,2.4164951648175512e-61,7.430512935864099e-53,3.59855044794016e-73,2.2067011181162867e-69,1.701337633653956e-63,3.604420044168752e-55,1.0705210163113396e-63,3.560948511916405e-76,3.109619922936425e-54,1.760188048221962e-65,3.7323547157578106e-76,1.1945520457488403e-80,4.293107374560202e-48,1.7051678275468696e-82,6.345469673074138e-57,8.178560128806385e-67,2.1967009851980363e-60,1.154918128809072e-77
1.8583930144230393e-20,0.6088269718309377,1.0786210558210794e-25,1.5177140498019283e-28,8.002688938632915e-40,1.1569508409113306e-39,0.0,0.0,8.902549378237262e-22,2.5641465772951105e-39,4.566318135922499e-50,5.312594151491757e-50,1.7371567840591537e-54,3.3074337411577964e-70,2.8726634583858115e-47,1.1696055138083047e-36,8.639464740161294e-53,2.7532487274721973e-36,1.3696713431593682e-89,1.6709272726395678e-75,6.625239597316696e-86,3.732751434538197e-85,8.181220369654846e-25,9.823276924249975e-75,6.518882231985809e-60,1.2612010283650342e-94,4.351372039179919e-108,3.470685884676057e-88,2.452757319958798e-109,3.382277048115821e-105,1.5857672342714557e-58,1.28486027539409e-108,6.788715525737886e-107,1.0221965346963619e-120,3.76,0.0,0.5820444188751266,0.9999999999999872,7.559513976861267e-51,1.1894678194588464e-67,9.511669582154295e-18,9.511669582154295e-18,1.2831204894516459e-14,1.4697609905463283e-40,2.753248727472174e-36,8.903627999293053e-22,1.7542375691126519e-37,4.369962626001534e-37,2.3250948913985212e-57,2.328978995064533e-36,8.866185477514792e-40,2.278735557956056e-43,1.0558315613225793e-39,3.8706150339389876e-38,1.1184223059029924e-37,4.435992673471645e-37,5.126109663075893e-41,9.957999258602353e-46,5.550118611516603e-40,6.414305480928184e-46,4.644994350068973e-53,2.5670795905751645e-40,2.004670146029945e-52,8.181220369666543e-25,1.2724454035240404e-67,7.135627968777306e-72,7.414950446447072e-55,9.301575364670509e-59,2.0673624890552058e-60,6.245801163136784e-52,6.089331181106871e-72,3.733946683272371e-68,1.4300767943687121e-62,3.083657136722944e-54,8.998439931392092e-63,6.021016799363214e-75,2.61382291388385e-53,1.4795528097273752e-64,6.295170007301796e-75,2.0147980850516656e-79,1.792909085089347e-47,2.8760981520277848e-81,2.6491189093420125e-56,6.874778513631268e-66,1.847504555913791e-59,1.9491142859333224e-76
3.7698829721153086e-20,0.6088269718309377,2.188059856094849e-25,3.07879135820427e-28,3.269359552899297e-39,4.726521688996665e-39,0.0,0.0,1.805945731013829e-21,1.0475375428676455e-38,3.7437434931472835e-49,4.355585658806469e-49,1.4242269351620243e-53,2.711634007724756e-69,1.1735767554493112e-46,4.7782201567820864e-36,7.083155168644923e-52,1.1247919414901964e-35,4.561577433563561e-88,2.7762706543212046e-74,2.2315631616101284e-84,1.2572934865832302e-83,1.6596189892704348e-24,1.6134761845840525e-73,5.344573508457437e-59,4.248073792154601e-93,2.933621054091687e-106,1.1682958513626502e-86,1.635506658282184e-107,2.2926174066734273e-103,1.3001077867020558e-57,8.709207407670331e-107,4.601615652559009e-105,1.3977684353638196e-118,3.76,0.0,0.5820444188751266,0.999999999999974,6.197746284841285e-50,1.9537044652644904e-66,1.9295101152370144e-17,1.9295101152370144e-17,2.6029015642262817e-14,6.004453227429144e-40,1.1247919414901775e-35,1.806164536999426e-21,7.166632863449205e-37,1.7852723210880567e-36,1.9062532682848903e-56,9.514639121968633e-36,3.622126064251047e-39,9.309378287388392e-43,4.3134164373396824e-39,1.5812725364228896e-37,4.569120051825612e-37,1.812247749989977e-36,2.0941830582097046e-40,4.068428770855594e-45,2.2674045487152698e-39,2.6204530914363822e-45,3.813894630417233e-52,1.0487357744942684e-39,8.189736768244297e-52,1.6596189892752124e-24,2.0933099992101432e-66,1.1738878018835635e-70,3.0292697855662366e-54,7.625993461254796e-58,1.7093352846742116e-59,5.1206880612943834e-51,1.0017606896253345e-70,6.14262605558601e-67,1.1724633576241118e-61,2.5496273146714474e-53,7.377490884187227e-62,9.90163337457804e-74,2.142969945330401e-52,1.213041044763907e-63,1.0339842230376584e-73,3.3093495550915265e-78,7.329695683211801e-47,4.724273767693187e-80,1.082259874512931e-55,5.636696489556726e-65,1.515111710755707e-58,3.202365860176512e-75
7.592862887499847e-20,0.6088269718309377,4.406937456644397e-25,6.200945975114358e-28,1.3215274039712427e-38,1.9105356373615979e-38,0.0,0.0,3.6373273173939856e-21,4.234314235114156e-38,3.0317805438481085e-48,3.527266192676433e-48,1.153376236383678e-52,2.195951523304555e-68,4.743784884290742e-46,1.9314329845334128e-35,5.736122698841708e-51,4.5465888664560634e-35,1.4889748488704397e-86,4.526021861074919e-73,7.324213741330025e-83,4.1265631149181654e-82,3.342612893873016e-24,2.615514424718769e-72,4.32817419522272e-58,1.3942612615591289e-91,1.9264472900881965e-104,3.833317426808223e-85,1.068297920871538e-105,1.509562212366859e-101,1.052860993283219e-56,5.734535196579123e-105,3.029911412755354e-103,1.8486832968050425e-116,3.76,0.0,0.5820444188751266,0.9999999999999476,5.019095628886067e-49,3.1670391290781314e-65,3.8861964292801836e-17,3.8861964292801836e-17,5.2424637135019934e-14,2.427096005433137e-39,4.5465888664559106e-35,3.637768011139598e-21,2.8968675880072497e-36,7.216356162300282e-36,1.543733319610504e-55,3.8459692590882013e-35,1.4641212681272185e-38,3.762999547942975e-42,1.7435518895532766e-38,6.391756415949401e-37,1.8469113788919982e-36,7.325395158945979e-36,8.465022752375988e-40,1.6447350898013126e-44,9.165211712702481e-39,1.0592290441481374e-44,3.0908436750724044e-51,4.239157678928542e-39,3.310426678457357e-51,3.342612893892329e-24,3.3959953297744887e-65,1.904408565541128e-69,1.2244959228533446e-53,6.175727221808172e-57,1.3900030655389157e-58,4.1468671166116587e-50,1.625165228539892e-69,9.965141478436903e-66,9.494912251693013e-61,2.073314573984887e-52,5.974493830598463e-61,1.60607080647097e-72,1.735432621975732e-51,9.823751859181967e-63,1.676133509800997e-72,5.364720305604976e-77,2.9668848039953085e-46,7.659139433232854e-79,4.374735050325239e-55,4.565289940134447e-64,1.2271426360514593e-57,5.19192430749498e-74
1.5238822718268925e-19,0.6088269718309377,8.844692657751516e-25,1.2445255209356147e-27,5.3138035695063e-38,7.682179770137774e-38,0.0,0.0,7.300090490154106e-21,1.7025991307487783e-37,2.4402407406227875e-47,2.8390506970747496e-47,9.283376718592174e-52,1.7674928294039257e-67,1.9074550380374576e-45,7.766207083257474e-35,4.61693057945283e-50,1.8281633867335884e-34,4.812109420402278e-85,7.309537395247514e-72,2.3734550189801097e-81,1.3372373174962846e-80,6.708600703048903e-24,4.212205349511927e-71,3.483691136003717e-57,4.518192413193335e-90,1.2488005208437628e-102,1.242027078037404e-83,6.90700998831844e-104,9.798697215144008e-100,8.47434124297033e-56,3.722336434733388e-103,1.966741725138973e-101,2.4051881232658835e-114,3.76,0.0,0.5820444188751266,0.9999999999998948,4.039804813566055e-48,5.100418883037602e-64,7.799569057366524e-17,7.799569057366524e-17,1.052158801095918e-13,9.759246354290201e-39,1.8281633867334648e-34,7.300974959419673e-21,1.1648177162511988e-35,2.901665074154514e-35,1.2425308773858891e-54,1.5464473238898298e-34,5.887167225902933e-38,1.5130855679769054e-41,7.010745463577303e-38,2.570097142888429e-36,7.42634942440909e-36,2.945509175154221e-35,3.403748418231003e-39,6.615105378790154e-44,3.6852913196108304e-38,4.2591134574284935e-44,2.488679807290832e-50,1.7045466582033564e-38,1.3311113321992364e-50,6.708600703126562e-24,5.471264543583386e-64,3.0681794434585393e-68,4.923778082577139e-53,4.970762543676204e-56,1.1210878286974493e-57,3.3377598887915706e-49,2.6182924378957746e-68,1.6054694386853664e-64,7.642331418859026e-60,1.6722033086796093e-51,4.8087965741793163e-60,2.587308440941522e-71,1.3968271533909614e-50,7.907381965444479e-62,2.6993617666724038e-71,8.640109839308442e-76,1.1962722578800445e-45,1.2337668376034065e-77,1.759116086032091e-54,3.6754230367312903e-63,9.877774172953561e-57,8.36203477689118e-73
3.0530742379807074e-19,0.6088269718309377,1.7720203059997872e-24,2.4933873679526188e-27,2.1310728978674006e-37,3.0808976822882256e-37,0.0,0.0,1.4625616835673565e-20,6.828184020375456e-37,1.958139513335771e-46,2.2781593872112985e-46,7.449325711947775e-51,1.4183016827599912e-66,7.649747832551482e-45,3.1145963924535103e-34,3.70479602588917e-49,7.331752848111528e-34,1.5475022733858833e-83,1.1749867879597155e-70,7.642903340204866e-80,4.306117233643278e-79,1.3440576321283573e-23,6.761522449760027e-70,2.795442743113358e-56,1.4549337356440495e-88,8.043470613908227e-101,3.9992344637761137e-82,4.442995067998126e-102,6.315517742247998e-98,6.800125153179845e-55,2.3991438250727688e-101,1.2676168175032794e-99,3.103768162281952e-112,3.76,0.0,0.5820444188751265,0.9999999999997892,3.241688944842324e-47,8.18730187969127e-63,1.56263143135392e-16,1.56263143135392e-16,2.1079836601496602e-13,3.913894332368662e-38,7.331752848110537e-34,1.4627388855978735e-20,4.6714400196241775e-35,1.1636974748631416e-34,9.970527772405572e-54,6.2019454342510895e-34,2.3610173685041793e-37,6.068149871826943e-41,2.811622494054186e-37,1.0307239047034344e-35,2.978298270782465e-35,1.1812809203549327e-34,1.3650553520981023e-38,2.6543150120521975e-43,1.4779666478457707e-37,1.7080950360500319e-43,1.997368530138039e-49,6.835994476513663e-38,5.3383784622210765e-50,1.344057632159502e-23,8.784285906805761e-63,4.926057811453843e-67,1.974762577999689e-52,3.988723892710071e-55,9.005187114466555e-57,2.67834229145967e-48,4.2037501883121435e-67,2.5776251919402935e-63,6.132489666412264e-59,1.3432046330726868e-50,3.8587580711748894e-59,4.1538280533916535e-70,1.1208658214932185e-49,6.345772766125044e-61,4.33307379155847e-70,1.387055204571424e-74,4.824063245630124e-45,1.981387340085461e-76,7.055278330398202e-54,2.950708645115079e-62,7.926556573882878e-56,1.3423398217765308e-71
