Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58),S(463),C2HF(468),C2H2F3(68),S(165),S(464),C2H2F2(59),S(162),S(130),C2H3F2(65),C2H2F3(67),CF2(43),CHFCF2(55),CF2CH(73),C2HF2(72),S(179),C2H3F2(64),CHF2(82),S(1228),CHF3(42),S(1335),CF2O2(181),CF2O2(276),CH2F2(41),S(203),S(1568),CHO2(322),S(174),CF2CF2(61),C2F(467),S(512),C2H3F2(66),S(413),S(1931),S(1325),C2HF3(169),F(37),C2HF4(69),C2HFO(577),S(4228),S(4234)
0.0,0.7609178370792443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6582334428655954,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4906903049594913e-22,0.7609178370792443,1.1311636240587901e-25,3.2079535530423916e-27,2.511024692337625e-41,4.1057294370123956e-41,0.0,0.0,2.939272015761004e-22,7.18065737395536e-41,4.29337166436613e-53,4.991348905947526e-53,1.4655179602227778e-56,3.3601046624149015e-68,1.027567529966147e-45,9.326292039252595e-38,2.620817581662374e-41,9.598744972143913e-38,9.02074359640372e-82,1.7923152641201277e-62,1.2901691026398214e-89,7.765519389159439e-89,6.751368659197432e-24,5.5426780791038e-77,1.0108297932004234e-59,2.172928398462523e-96,3.9861811126656525e-100,5.627460266363294e-79,2.632908407662034e-97,1.2503416992308818e-96,1.2580154864655046e-59,1.5785348963025356e-112,6.0309652280980105e-112,1.8686126741769147e-113,3.76,0.0,0.6582334428655954,0.9999999999999996,7.100305117348067e-54,2.1616310823553112e-57,6.227069320092335e-18,6.227069320092335e-18,4.608930973827127e-16,2.019865190078128e-42,9.598744972143911e-38,2.940403179385061e-22,5.2290314666346635e-37,6.717143657369234e-40,1.1250219333889735e-56,8.999411428484136e-38,3.3216186178547956e-40,5.52187120188777e-44,7.454467327427812e-38,2.5590140303190492e-42,3.5038592558363206e-39,1.0716213136856835e-25,3.102583189984955e-38,2.3611266806603177e-40,1.5321454722982456e-46,1.6793221171042272e-40,4.597361118387347e-45,2.65561371532679e-55,2.1947324532043316e-40,2.9844608009784625e-48,6.217478625287595e-72,6.751368659197525e-24,4.776442346254844e-76,5.290785871138209e-54,3.0382705015215923e-59,1.054721665259328e-60,2.297416797223339e-42,2.9168361673549446e-76,3.6173512618534463e-72,1.7117207866368283e-55,1.866000419289933e-82,5.767094541352199e-62,2.0869837951430886e-48,3.7324058430887647e-42,1.7195333483925554e-50,6.175979148183833e-64,6.408600586990786e-78,1.0758959938412755e-55,1.0716213136850994e-25,1.1052390431032282e-66,1.1926279128968265e-59,9.122971330294616e-78,9.536878726306785e-76
4.173932853886576e-22,0.7609178370792443,3.1672581473647195e-25,8.982269948519856e-27,1.516658914174072e-40,2.479860579957011e-40,0.0,0.0,8.229961644130805e-22,4.337117053869034e-40,5.0970908741116975e-52,5.925729421140818e-52,1.740858735428538e-55,3.989116255218866e-67,6.206507880995414e-45,5.633080391708482e-37,1.5829738193249046e-40,5.797641963177042e-37,2.0197591852893913e-80,2.127836681564228e-61,6.163292623651637e-88,3.709681798792509e-87,1.8903832245752505e-23,1.2398749155835945e-75,1.2000571304880848e-58,1.0380339710952525e-94,2.1371364860158333e-98,1.769363547109903e-77,1.2584268125570346e-95,5.973095356475343e-95,1.49351598553234e-58,1.2223118742851185e-110,4.69494756130178e-110,1.4545907561204264e-111,3.76,0.0,0.6582334428655954,0.9999999999999988,8.42948223875971e-53,2.566288420973458e-56,1.7435794096258537e-17,1.7435794096258537e-17,1.2905006726710273e-15,1.2199985750475916e-41,5.797641963177038e-37,8.233128902278166e-22,3.158335005847336e-36,4.0571547690507647e-39,1.3356260393193864e-55,5.435644502804304e-37,2.0062576451858544e-39,3.3352102059403026e-43,4.502498265766418e-37,1.5456444743133696e-41,2.116330990524933e-38,3.0005396783217987e-25,1.8739602467509115e-37,1.426120515118921e-39,9.254193049621118e-46,1.0143105587309515e-39,2.776806115545084e-44,3.694168690198946e-54,1.3256184017353796e-39,1.8026143238198934e-47,1.6189955891626433e-70,1.8903832245753066e-23,1.2437580499310295e-74,3.1956357464585813e-53,3.607034739405676e-58,1.5938876233648882e-59,1.3876397455235648e-41,7.595273219033469e-75,9.341200736771527e-71,2.5863342615922208e-54,4.1741818709567213e-81,6.846694639493374e-61,1.260539503325563e-47,2.2543731292270702e-41,1.0385981424296037e-49,7.332122443038223e-63,2.014966562159416e-76,6.498413089465371e-55,3.0005396783182695e-25,1.3121442582786842e-65,1.4172502958832369e-58,2.042648141403764e-76,2.135322681591739e-74
9.540417951740745e-22,0.7609178370792443,7.239447193977006e-25,2.0530902739479417e-26,7.302059805349998e-40,1.1939461202854906e-39,0.0,0.0,1.8811340900870392e-21,2.0881351643462153e-39,5.0043540605152786e-51,5.817916284772168e-51,1.7096217889705596e-54,3.916537994510484e-66,2.988166377141384e-44,2.7120857250145252e-36,7.621337527486647e-40,2.7913150379025678e-36,3.9924922526811384e-79,2.0891226718608604e-60,3.20921369128465e-86,1.9316236215088827e-85,4.3208759418861445e-23,2.449783896401958e-74,1.1782232069560913e-57,5.405021366928724e-93,1.0141441462874546e-96,3.947352741054757e-76,6.550490470233863e-94,3.1101516723952984e-93,1.4663428510256917e-57,1.3323721482885066e-108,5.1188919063998335e-108,1.585992371623717e-109,3.76,0.0,0.6582334428655954,0.9999999999999971,8.27611564967142e-52,2.519597189597174e-55,3.9853243648590937e-17,3.9853243648590937e-17,2.9497158232453818e-15,5.873767976284362e-41,2.7913150379025648e-36,1.881858034806435e-21,1.5206023504973598e-35,1.9533453755625933e-38,1.3113255655581787e-54,2.6170288434030167e-36,9.659266940744672e-39,1.6057601455090948e-42,2.1677590988160366e-36,7.441612800177383e-41,1.0189222715968956e-37,6.858376407601569e-25,9.022311916476232e-37,6.866156387361542e-39,4.4555306288528725e-45,4.8834687165390686e-39,1.3369126132857303e-43,3.8642055506383913e-53,6.382281973917646e-39,8.67881200967082e-47,3.4188572630480426e-69,4.320875941886415e-23,2.626462524632076e-73,1.5385621517635423e-52,3.541408096571216e-57,1.714628901590633e-58,6.680888046335498e-41,1.603905235043675e-73,1.9661198483910227e-69,2.7821164169500034e-53,8.247538659239188e-80,6.722125397400253e-60,6.068968242163166e-47,1.0853836191723976e-40,5.000402977133055e-49,7.198721289897603e-62,4.495279557022482e-75,3.1287074799592006e-54,6.858376407584578e-25,1.2882804741913715e-64,1.392061756797786e-57,4.0377372405121975e-75,4.220928576594484e-73
2.027338814744908e-21,0.7609178370792443,1.5383825287203288e-24,4.362816832141706e-26,3.189001359302038e-39,5.214276385029364e-39,0.0,0.0,3.997409941434949e-21,9.119434864923273e-39,4.426294499966535e-50,5.145881068075096e-50,1.5123144089386453e-53,3.4641335027625853e-65,1.3050107630568298e-43,1.1844390889849462e-35,3.328438328724093e-39,1.2190406114654704e-35,7.105877990093709e-78,1.847805344702346e-59,1.2807129392846492e-84,7.708602803695288e-84,9.181861376507448e-23,4.3592595522017506e-73,1.0421250836014292e-56,2.1570021406964273e-91,3.9072793641104756e-95,7.392954822024082e-75,2.613832891325548e-92,1.241176102335078e-91,1.2969636459295964e-56,1.0900245217135948e-106,4.1881090969280965e-106,1.2976237508267292e-107,3.76,0.0,0.6582334428655954,0.9999999999999938,7.320130568705946e-51,2.228555180673061e-54,8.468814275325574e-17,8.468814275325574e-17,6.268146124384993e-15,2.5652287950221576e-40,1.2190406114654682e-35,3.998948323963662e-21,6.64086996262602e-35,8.530772444855005e-38,1.1598526124466778e-53,1.1429252514173089e-35,4.2184556446990737e-38,7.012776426398811e-42,9.467173505833627e-36,3.2499478185149295e-40,4.449901254908961e-37,1.4574049866191277e-24,3.940280651280877e-36,2.998630884439988e-38,1.9458780650753329e-44,2.1327390887223443e-38,5.838648620958395e-43,3.512067960876462e-52,2.7873102155689343e-38,3.790265217678513e-46,6.262200602266853e-68,9.18186137650863e-23,4.810799029647736e-72,6.719314800856073e-52,3.132335356243761e-56,1.576038397204541e-57,2.917719332484002e-40,2.9378168072154383e-72,3.596355835895856e-68,2.5571921236669075e-52,1.4676264211766859e-78,5.94564378835273e-59,2.6504894312483557e-46,4.7401554207453075e-40,2.1838073524662997e-48,6.367187451638082e-61,8.419161108078282e-74,1.3663899063167342e-53,1.4574049866117067e-24,1.1394863195332264e-63,1.2314999589871978e-56,7.186405475546275e-74,7.512451263648562e-72
4.1739328538865756e-21,0.7609178370792443,3.16725814736627e-24,8.98226994853665e-26,1.3313452919073363e-38,2.1768577475252327e-38,0.0,0.0,8.229961644130741e-21,3.8071845396711007e-38,3.7205672338302685e-49,4.3254231003106046e-49,1.2712600944369371e-52,2.9118129387729202e-64,5.44816304387892e-43,4.944800039210528e-35,1.389557481808981e-38,5.089254584259325e-35,1.1986262865004462e-76,1.553191730851405e-58,4.551854376330157e-83,2.7397581714602374e-82,1.890383224574812e-22,7.352528397578946e-72,8.759689255171807e-56,7.666323446565153e-90,1.3676359560592335e-93,1.2769490957093664e-73,9.289531230052393e-91,4.411328563412608e-90,1.0901760923288583e-55,7.845186370826716e-105,3.0143889199296266e-104,9.339692543132786e-106,3.76,0.0,0.6582334428655953,0.9999999999999871,6.1530108141888595e-50,1.8732349098863637e-53,1.7435794096258532e-16,1.7435794096258532e-16,1.2905006726627823e-14,1.0709325270262933e-39,5.089254584259306e-35,8.233128902278073e-21,2.772432483609698e-34,3.5614295671336363e-37,9.749260071239175e-53,4.771487939380703e-35,1.7611221912076584e-37,2.927696111242099e-41,3.9523585770025006e-35,1.3567892388838493e-39,1.8577461774415683e-36,3.0005396783491338e-24,1.644989607330008e-35,1.251869366087347e-37,8.123915131434342e-44,8.90376586488639e-38,2.4375208655147893e-42,2.989462370908826e-51,1.1636471466884272e-37,1.582361117069445e-45,1.0704930804309107e-66,1.8903832245753056e-22,8.223829608258231e-71,2.805189738936767e-51,2.632916604281627e-55,1.3483336608403817e-56,1.2180903858971395e-39,5.0220565635490635e-71,6.143976371264802e-67,2.1877117919831735e-51,2.4754372854710634e-77,4.997671856023638e-58,1.1065368184598346e-45,1.9789215780259816e-39,9.116965813247118e-48,5.352004694240609e-60,1.4542007116710667e-72,5.704418506336702e-53,3.000539678318152e-24,9.578352224750151e-63,1.0352439255917235e-55,1.2122097395441652e-72,1.2672074544995607e-70
8.467120932169911e-21,0.7609178370792443,6.425009384660887e-24,1.8221176181356186e-25,5.43897992484437e-38,8.893174189926333e-38,0.0,0.0,1.6695065049522204e-20,1.5553591098281997e-37,3.050345806435863e-48,3.5462431886901285e-48,1.0422831741718549e-51,2.3872801715327415e-63,2.2257523726065253e-42,2.0201121608692545e-34,5.676795714682098e-38,2.079126555970443e-34,1.968840052711431e-75,1.2734004208517962e-57,1.5331899162350428e-81,9.22826007621539e-81,3.8347773984221725e-22,1.207654997134846e-70,7.181722489579196e-55,2.5822288749113486e-88,4.573700367425071e-92,2.121670020933167e-72,3.1289016828137386e-89,1.485856062695709e-88,8.937922261613584e-55,5.317787916814401e-103,2.043308299708307e-102,6.33094249939662e-104,3.76,0.0,0.658233442865595,0.9999999999999738,5.044610014821305e-49,1.5357911552239166e-52,3.5369753738124444e-16,3.5369753738124444e-16,2.6178727930967912e-14,4.375108823750067e-39,2.0791265559704273e-34,1.670149005890673e-20,1.132629131798934e-33,1.4549601847578151e-36,7.99303243188521e-52,1.9493085130540342e-34,7.19475879119602e-37,1.1960593898147147e-40,1.614667440990407e-34,5.542926750305537e-39,7.589499302487583e-36,6.086809061857406e-24,6.720319292834885e-35,5.114294835388029e-37,3.3190946410718827e-43,3.637478878532253e-37,9.958068081492986e-42,2.4658079702014075e-50,4.753878282934397e-37,6.464461476652339e-45,1.7697004605677086e-65,3.834777398424188e-22,1.3595337804036027e-69,1.1460181421488004e-50,2.158624106303185e-54,1.1148282006201517e-55,4.976296679536596e-39,8.302282355598619e-70,1.0153987016669376e-65,1.8088346321536907e-50,4.0661458126180755e-76,4.097393334184082e-57,4.5206428666264705e-45,8.084540352536021e-39,3.7245780140112975e-47,4.387896785319481e-59,2.4161762318552404e-71,2.3304489535132793e-52,6.086809061730836e-24,7.853376140757316e-62,8.487929260281136e-55,1.991151966144625e-71,2.081490135115984e-69
1.7053497088736582e-20,0.7609178370792445,1.2940511859261067e-23,3.669898864711387e-25,2.198522647535246e-37,3.594763197265395e-37,0.0,0.0,3.362527186030466e-20,6.287010202451643e-37,2.470249119980523e-47,2.871839676763327e-47,8.440788447811959e-51,1.9332813773236157e-62,8.996846957256915e-42,8.165616342375187e-34,2.294651592070048e-37,8.404161963069377e-34,3.1916487339334317e-74,1.031232675954146e-56,5.032082822380678e-80,3.028807358966635e-79,7.723565746113796e-22,1.9576607917631527e-69,5.815945070881721e-54,8.475133727334058e-87,1.4959339396006777e-90,3.4588576160599014e-71,1.0269260900066978e-87,4.876726968473653e-87,7.238161178818045e-54,3.501491348305551e-101,1.345424430376458e-100,4.168639600666422e-102,3.76,0.0,0.6582334428655947,0.9999999999999473,4.0852559803860465e-48,1.2437234955956996e-51,7.123767302185624e-16,7.123767302185624e-16,5.272617033906583e-14,1.768488949985438e-38,8.404161963069247e-34,3.3638212372163366e-20,4.5782680425490415e-33,5.8811816948977195e-36,6.472964896700395e-51,7.879416677375371e-34,2.9082365377716497e-36,4.8346632870787785e-40,6.526743959596685e-34,2.2405396162779239e-38,3.067796963709137e-35,1.2259347829066995e-23,2.7164605068248405e-34,2.0672797430074628e-36,1.3418010874475985e-42,1.470327120986218e-36,4.0252103362831613e-41,2.002805535434795e-49,1.9215936099345982e-36,2.613038688087677e-44,2.8778834764716998e-64,7.723565746121945e-22,2.210871212103776e-68,4.632441943573269e-50,1.7481097673808796e-53,9.065597210385933e-55,2.0114986820402472e-38,1.35011555572539e-68,1.6510001448726507e-64,1.4709112035913926e-49,6.592151826692261e-75,3.3181753541189692e-56,1.827379920720447e-44,3.2679004712461953e-38,1.5055339841670084e-46,3.553432552276754e-58,3.938977069325924e-70,9.420110846970878e-52,1.2259347828555378e-23,6.360619613086277e-61,6.873894409780973e-54,3.22781814632147e-70,3.3742636141396885e-68
3.422624940186992e-20,0.7609178370792445,2.597151680850521e-23,7.365461357910367e-25,8.840162872052836e-37,1.4454384713380603e-36,0.0,0.0,6.748568548186772e-20,2.5279791511302985e-36,1.9882713987242946e-46,2.3115064162620345e-46,6.793924443763912e-50,1.5560730441458195e-61,3.6175925919380263e-41,3.283358417580267e-33,9.226693129600383e-37,3.379276562584256e-33,5.1401112023367444e-73,8.300257728439357e-56,1.6306763637155941e-78,9.815030365836327e-78,1.550114244148466e-21,3.1527523538822385e-68,4.681178568977938e-53,2.746417486770576e-85,4.839387197767078e-89,5.586064289255711e-70,3.3277979441127765e-86,1.5803321514959002e-85,5.825901822632391e-53,2.272854700845666e-99,8.733324373622755e-99,2.705919750798895e-100,3.76,0.0,0.658233442865594,0.9999999999998942,3.2881694222662624e-47,1.0010568707875583e-50,1.4297351158931977e-15,1.4297351158931977e-15,1.0582105515293258e-13,7.111016379032446e-38,3.3792765625841516e-33,6.751165699867401e-20,1.8409014439545972e-32,2.364797293131517e-35,5.210005284082602e-50,3.1682787910345866e-33,1.169389121008711e-35,1.9439968441161622e-39,2.624375040491827e-33,9.009111254786745e-38,1.2335476664381068e-34,2.460442536425834e-23,1.0922768223668777e-33,8.312440924402304e-36,5.396690020283804e-42,5.9121206861488686e-36,1.6185193742560618e-40,1.6144009735510952e-48,7.72664339077521e-36,1.0506913650267866e-43,4.6420376188678457e-63,1.5501142441517422e-21,3.5661441545136926e-67,1.862727459787648e-49,1.4070308228801983e-52,7.311732346861496e-54,8.088147731823448e-38,2.1777418198378e-67,2.6628791508600214e-63,1.186341948290066e-48,1.0618886667370523e-73,2.6707561997276597e-55,7.348327329940484e-44,1.3140084067975557e-37,6.0536859347441605e-46,2.860111614029458e-57,6.361458488529212e-69,3.787836263427421e-51,2.4604425362201156e-23,5.120790585513242e-60,5.532767846052374e-53,5.198361594033718e-69,5.4342102265687315e-67
6.857175402813661e-20,0.7609178370792447,5.203352670716861e-23,1.4756586344498102e-24,3.545300698325081e-36,5.7968547587085864e-36,0.0,0.0,1.3520651272498638e-19,1.0138327062341868e-35,1.595462580573894e-45,1.8548383254572174e-45,5.4517139152944824e-49,1.2486506198651736e-60,1.450816430146779e-40,1.3167735772414012e-32,3.7003166191710076e-36,1.3552410434997546e-32,8.251064289375649e-72,6.660434095434092e-55,5.251037718241246e-77,3.160596167542841e-76,3.1056295832176846e-21,5.060865757519341e-67,3.756350991511174e-52,8.843901925824937e-84,1.5570391544205743e-87,8.979435198478232e-69,1.0716012317932375e-84,5.088920976188025e-84,4.674919310388047e-52,1.4649167269128964e-97,5.628876044541682e-97,1.7440428302293214e-98,3.76,0.0,0.6582334428655926,0.9999999999997881,2.638548879695565e-46,8.032850945010557e-50,2.8644518872424656e-15,2.8644518872424656e-15,2.1201082477134986e-13,2.8518356898538554e-37,1.35524104349967e-32,1.3525854625168465e-19,7.382838153552666e-32,9.48389482681697e-35,4.180701125803185e-49,1.2706214999335944e-32,4.689773397791438e-35,7.796296818772608e-39,1.0524917692803902e-32,3.613056555715628e-37,4.947077860030136e-34,4.9294580437729697e-23,4.380518590439927e-33,3.333660593720951e-35,2.16541041916697e-41,2.371024821205753e-35,6.490986603720918e-40,1.296401982741339e-47,3.098729582261307e-35,4.213742315846425e-43,7.45733307860805e-62,3.105629583230823e-21,5.728933487764506e-66,7.470714564668134e-49,1.1290536236222976e-51,5.873180959530556e-53,3.2437089919231896e-37,3.4984951528374263e-66,4.277705485621582e-62,9.529338802533513e-48,1.7053464205682993e-72,2.1431136519328414e-54,2.9474194260050597e-43,5.269761416346565e-37,2.4277988177129188e-45,2.2950593733969763e-56,1.0225858726860553e-67,1.5191327620762466e-50,4.9294580429479466e-23,4.111054746792425e-59,4.439721582616254e-52,8.344569593292792e-68,8.723161057912368e-66
