Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58),S(463),C2HF(468),C2H2F3(68),S(165),S(464),C2H2F2(59),S(162),S(130),C2H3F2(65),C2H2F3(67),CF2(43),CHFCF2(55),CF2CH(73),C2HF2(72),S(179),C2H3F2(64),CHF2(82),S(1228),CHF3(42),S(1335),CF2O2(181),CF2O2(276),CH2F2(41),S(203),S(1568),CHO2(322),S(174),CF2CF2(61),C2F(467),S(512),C2H3F2(66),S(413),S(1931),S(1325),C2HF3(169),F(37),C2HF4(69),C2HFO(577),S(4228),S(4234),CHFO(47)
0.0,0.6554745396062709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5819302451390637,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.787070141357278e-22,0.6554745396062709,1.431498262256532e-26,6.11737994173488e-29,4.485160781097508e-42,6.54934310856491e-42,0.0,0.0,7.138440487820309e-23,1.2324052479222808e-41,1.1883552888105732e-53,1.3824887450465229e-53,1.006238532245673e-57,6.866701198640515e-72,2.262500707834069e-48,9.144369236418333e-39,1.756427612632317e-43,1.5664848138481096e-38,5.501279417360888e-84,2.1495408891131487e-66,2.2790381570693184e-91,1.3164914091159592e-90,2.2699401098272167e-25,8.300738047174187e-79,6.419332940006532e-62,2.3545108786666467e-99,2.96199148625204e-104,3.8204955211637735e-82,6.75296713360163e-101,2.4783639174204477e-99,2.0972730677306376e-61,8.429507352931925e-115,1.382252517527356e-113,5.395073655723416e-116,3.76,0.0,0.5819302451390637,0.9999999999999996,1.9663767785404294e-54,1.4458624914071508e-59,1.0093671426463842e-18,1.0093671426463842e-18,4.636787275210046e-16,6.084292786694166e-43,1.566484813848109e-38,7.139871986082564e-23,5.308796336725358e-39,7.527472213775494e-40,1.5240962806885704e-59,1.373628934937686e-38,1.2281662607687673e-41,2.472337656344487e-45,1.0352738276961213e-39,2.7308523504418916e-44,3.3466103932795976e-41,1.9144724207957754e-27,3.3190002837817894e-39,1.976145733606881e-42,9.642470863826821e-48,7.301788560501997e-42,2.8859246793218756e-47,2.0160613958982149e-56,4.6799345957458125e-42,2.135113378913217e-51,1.7219657887676146e-72,2.269940109827308e-25,1.0897009662683769e-76,3.2939341928608456e-56,2.4058837184789754e-61,4.4567723947604225e-63,2.3731657137899124e-43,8.359186599241036e-77,6.449328137524366e-73,2.9055726043544286e-57,6.15794438726659e-85,8.841400987487607e-65,1.5436811168839369e-49,3.3857192590878076e-44,3.5697130006271123e-53,1.3477348326199163e-66,1.1349772895572234e-80,8.934677086626374e-58,1.914472420794073e-27,1.1558439993213157e-68,7.16123807797362e-62,1.8133976505744325e-79,2.340713351649276e-77,5.432463424239473e-79
1.0603796395800377e-21,0.6554745396062709,4.00819513431837e-26,1.712866383686309e-28,2.7090371117887284e-41,3.955803237577295e-41,0.0,0.0,1.9987633365896854e-22,7.443727697450574e-41,1.4108153990202625e-52,1.6412906381191658e-52,1.1946730094182776e-56,8.152147663025425e-71,1.366550427531709e-47,5.523199018796434e-38,1.0608822780308277e-42,9.461568275650242e-38,1.2314100892512174e-82,2.5519349435573203e-65,1.0887238760898846e-89,6.28903744031933e-89,6.3558323075159115e-25,1.8568418982019746e-77,7.621032066381528e-61,1.1247781018268479e-97,1.6368923697019594e-102,1.2012249197848023e-80,3.230138805565044e-99,1.183944799471119e-97,2.4898825860116335e-60,6.506884899434253e-113,1.0675159537651505e-111,4.166622339940045e-114,3.76,0.0,0.5819302451390637,0.9999999999999987,2.3344825117953157e-53,1.7165279497999156e-58,2.826227999409876e-18,2.826227999409876e-18,1.2983004370572953e-15,3.6749128436246085e-42,9.461568275650236e-38,1.9991641561031164e-22,3.2065129873821175e-38,4.546593217120022e-39,1.809407104433468e-58,8.296718767023455e-38,7.418124215056774e-41,1.4932919444322257e-44,6.253053919284611e-39,1.6494348196683254e-43,2.021352677540522e-40,5.360522778233665e-27,2.0046761714042037e-38,1.1935920230986646e-41,5.8240743941188155e-47,4.4102802905431926e-41,1.7430985064367096e-46,2.5627003445277326e-55,2.826680495830432e-41,1.289608481051248e-50,4.11215009041773e-71,6.355832307516463e-25,2.6022665236426473e-75,1.9895370294233534e-55,2.856265150576006e-60,6.735069561148364e-62,1.4333920911302666e-42,1.9962202590825544e-75,1.5376449231273084e-71,4.389944737160059e-56,1.3775120782095319e-83,1.0496511252345295e-63,9.323934900012173e-49,2.0449744324912694e-43,2.156106652380525e-52,1.6000307919527125e-65,3.568550194734555e-79,5.396546793154499e-57,5.3605227782233826e-27,1.372222741203588e-67,8.507577626775889e-61,4.059121512077289e-78,5.239468528198851e-76,1.2152915889965038e-77
2.423724890468658e-21,0.6554745396062709,9.161588878442363e-26,3.9151231627141214e-28,1.3042847551519055e-40,1.9045489759768092e-40,0.0,0.0,4.568601912204991e-22,3.5838344609579876e-40,1.3851469248424856e-51,1.611428881226022e-51,1.1729662391764219e-55,8.00382691713354e-70,6.579352058380439e-47,2.659182573950092e-37,5.1076914975484e-42,4.5553378386815745e-37,2.4338261969240543e-81,2.505504860356848e-64,5.668962651205164e-88,3.274688756641228e-87,1.4527616702892114e-24,3.668806686231136e-76,7.482374474889452e-60,5.856696271404031e-96,7.583179855848477e-101,2.679866716767825e-79,1.6805833155290017e-97,6.164773416637521e-96,2.4445814877523678e-59,7.091649823610873e-111,1.1634813629075322e-109,4.541186578281841e-112,3.76,0.0,0.5819302451390637,0.999999999999997,2.2920087735098253e-52,1.6852973199883468e-57,6.459949712936859e-18,6.459949712936859e-18,2.967543856123806e-15,1.7693123430493438e-41,4.555337838681568e-37,4.569518071092829e-22,1.5437979747197347e-37,2.1889889197653475e-38,1.7764866247705872e-57,3.994512942798534e-37,3.5715074863353225e-40,7.189557904652063e-44,3.010576290940375e-38,7.941318635105379e-43,9.731943023651742e-40,1.2252623493131424e-26,9.65165282523748e-38,5.746631793330437e-41,2.804063515751962e-46,2.1233601133939604e-40,8.392268969362466e-46,2.590230965607997e-54,1.3609249804428233e-40,6.20890970864119e-50,8.375774432027799e-70,1.4527616702894774e-24,5.300389561370303e-74,9.57877228686876e-55,2.8042980622521658e-59,7.24527881454258e-61,6.901165895718456e-42,4.0659728460885605e-74,3.1296806553922295e-70,4.722172924222204e-55,2.721751413272586e-82,1.0305536991015569e-62,4.489176118948281e-48,9.84567160546084e-43,1.0380725405849889e-51,1.570919716767437e-64,7.961239178782276e-78,2.59820684603293e-56,1.2252623493081913e-26,1.3472664757578226e-66,8.355312312169455e-60,8.022669587012763e-77,1.03555719355297e-74,2.4012795629094377e-76
5.150415392245898e-21,0.6554745396062709,1.9468376366691617e-25,8.319636720778427e-28,5.69615419208425e-40,8.317665747940809e-40,0.0,0.0,9.708279063435583e-22,1.5651546648612912e-39,1.2251467687582798e-50,1.4252905965927318e-50,1.0374869494371376e-54,7.079294267746552e-69,2.8733758989481985e-46,1.1613348930247572e-36,2.230663068057118e-41,1.9894357135986445e-36,4.3314864038261375e-80,2.216090675053688e-63,2.262334178446267e-86,1.3068423190875302e-85,3.087118549363978e-24,6.528445474578551e-75,6.61807548786653e-59,2.3372537495291898e-94,2.8929381785893484e-99,5.019093773979314e-78,6.7048847514932705e-96,2.4601988695354205e-94,2.1622046419190996e-58,5.801443139028137e-109,9.518130003942651e-108,3.715023822139088e-110,3.76,0.0,0.5819302451390637,0.9999999999999937,2.0272558040500467e-51,1.4906263941498759e-56,1.3727393139990827e-17,1.3727393139990827e-17,6.30603069423254e-15,7.727051846052471e-41,1.989435713598638e-36,9.710225901072233e-22,6.7421713476412075e-37,9.559889711489028e-38,1.571282301538666e-56,1.7445087473705953e-36,1.559771151196561e-39,3.13986882355985e-43,1.314797761174129e-37,3.468182485081781e-42,4.250195199459582e-39,2.6036824923014843e-26,4.215130360402911e-37,2.509705081682419e-40,1.2246278878755003e-45,9.273271471837328e-40,3.66512434469638e-45,2.320480781814124e-53,5.9435169365965715e-40,2.7115939940484663e-49,1.5107816137778752e-68,3.0871185493651393e-24,9.560585901825021e-73,4.183308467429585e-54,2.4803698783885347e-58,6.659658873060543e-60,3.0139204565311575e-41,7.334004834790714e-73,5.643395518209178e-69,4.3403711181493565e-54,4.843281566551019e-81,9.11513076206025e-62,1.9606314971940528e-47,4.2998634590761243e-42,4.533535510823554e-51,1.389460694355706e-63,1.4910519894454987e-76,1.1347068308820041e-55,2.6036824922798617e-26,1.1916598208529883e-65,7.391180775204572e-59,1.427796458084737e-75,1.8429836565852768e-73,4.2730040409137426e-75
1.0603796395800379e-20,0.6554745396062709,4.008195134319521e-25,1.7128663836941764e-27,2.3780322462192705e-39,3.4724617162181504e-39,0.0,0.0,1.9987633365896698e-21,6.534212624483885e-39,1.0298096797814904e-49,1.198042626636613e-49,8.720748912595381e-54,5.950573391515663e-68,1.1995778752926606e-45,4.84834456914566e-36,9.31257920230322e-41,8.305502483126146e-36,7.306183079348323e-79,1.86275774187575e-62,8.040690005550591e-85,4.64472228463278e-84,6.3558323075116154e-24,1.1011177510592782e-73,5.562891216550417e-58,8.306965976786907e-93,1.0081163811910179e-97,8.669236334314588e-77,2.3827410273518306e-94,8.743931550912582e-93,1.8174632841470967e-57,4.175351639049079e-107,6.850309837885284e-106,2.6737463826778573e-108,3.76,0.0,0.5819302451390637,0.999999999999987,1.7040306546507108e-50,1.2529613012694663e-55,2.8262279994098764e-17,2.8262279994098764e-17,1.2983004370352869e-14,3.2258920417344043e-40,8.305502483126092e-36,1.999164156103093e-21,2.8147238177317858e-36,3.991065767738503e-37,1.3207574513041825e-55,7.282980613037215e-36,6.511737514777281e-39,1.3108334253959546e-42,5.489021834445327e-37,1.4478979162226163e-41,1.7743728305118862e-38,5.36052277831333e-26,1.7597339504611382e-36,1.0477524679598805e-39,5.112744845526425e-45,3.8714082947779716e-39,1.5301172667382958e-44,1.962180745201172e-52,2.4813013226638802e-39,1.1320371160349171e-48,2.5644390317079585e-67,6.355832307516463e-24,1.6228381010861982e-71,1.7464547473011778e-53,2.0849003362679868e-57,5.697478143431535e-59,1.2582524614675833e-40,1.2448925831086025e-71,9.577845221123429e-68,3.713233334017316e-53,8.169139683156233e-80,7.661816633341004e-61,8.186005590481705e-47,1.795108351199502e-41,1.8926618329569037e-50,1.1679254264392346e-62,2.5754215133265567e-75,4.737191359240919e-55,5.36052277822306e-26,1.0016919619751618e-64,6.213129935859448e-58,2.4083516254022973e-74,3.1086732704991703e-72,7.207090220406212e-74
2.1510558402909338e-20,0.6554745396062709,8.130910129622272e-25,3.474671806940733e-27,9.715037658977387e-39,1.4186139147358832e-38,0.0,0.0,4.054634197081865e-21,2.6694390632095355e-38,8.443001939684351e-49,9.82227728002732e-49,7.14981513729813e-53,4.878639584859667e-67,4.9006670331887537e-45,1.9807069540823284e-35,3.804492466173353e-40,3.3930687662749803e-35,1.2000825729272276e-77,1.5272013398936311e-61,2.708325841921115e-83,1.5644703854185275e-82,1.2893259823799305e-23,1.8085892125858868e-72,4.560794315118536e-57,2.7980149773734914e-91,3.3642888328663113e-96,1.4404065829646138e-75,8.0252937218531e-93,2.9451968754432404e-91,1.49006620686858e-56,2.8301928277956092e-105,4.643376876655427e-104,1.8123577981895264e-106,3.76,0.0,0.5819302451390637,0.9999999999999737,1.3970672838863052e-49,1.0272533755279864e-54,5.733205370231463e-17,5.733205370231463e-17,2.6336951722204962e-14,1.3178821600321139e-39,3.393068766274938e-35,4.055447288094792e-21,1.1499065217200597e-35,1.63048059138817e-36,1.0828367553832801e-54,2.975335218230396e-35,2.6602572476287434e-38,5.355182257166221e-42,2.2424445217433217e-36,5.915135425305502e-41,7.248891976217373e-38,1.0874203350477667e-25,7.18908737468299e-36,4.28041070483465e-39,2.0888575108398884e-44,1.5815966093588156e-38,6.251028307315243e-44,1.6133610041934617e-51,1.01369255317646e-38,4.624741004681127e-48,4.225112260311923e-66,1.2893259823819108e-23,2.673751675355291e-70,7.134884982922146e-53,1.7093272600219307e-56,4.7107850165733855e-58,5.140371862834418e-40,2.051057112501551e-70,1.5779133450820707e-66,3.0701553228422402e-52,1.3418616413003012e-78,6.281620183476208e-60,3.344867414501348e-46,7.333603344218257e-41,7.73214114808501e-50,9.575358138131705e-62,4.27910136308522e-74,1.935308443165059e-54,1.0874203350108883e-25,8.212969181166972e-64,5.094057341886351e-57,3.9558559958980065e-73,5.106174558097759e-71,1.1837702805812473e-72
4.3324082417127256e-20,0.6554745396062709,1.6376340120235902e-24,6.998282653489407e-27,3.9269735521350744e-38,5.734264260415008e-38,0.0,0.0,8.166375918066145e-21,1.0790299500078218e-37,6.837361870370141e-48,7.954334801090547e-48,5.790112967237447e-52,3.9508488230822256e-66,1.9809279697359962e-44,8.006334196184332e-35,1.5378366834732203e-39,1.3715326458669213e-34,1.945417388551842e-76,1.236767240449232e-60,8.888996596056996e-82,5.1347484543242475e-81,2.5968114856344343e-23,2.931801051071116e-71,3.6934494830573456e-56,9.183365679194109e-90,1.0992380627829078e-94,2.3482262703390223e-74,2.6339132412670086e-91,9.66643090857542e-90,1.206694246926971e-55,1.863527182144896e-103,3.057412292595258e-102,1.193339508902386e-104,3.76,0.0,0.5819302451390636,0.9999999999999469,1.1313813079088358e-48,8.318964168675206e-54,1.1547160111874633e-16,1.1547160111874633e-16,5.304484642435489e-14,5.327090424052263e-39,1.3715326458668865e-34,8.168013552078026e-21,4.6481060150272143e-35,6.590663241790042e-36,8.769092789480629e-54,1.2026780667251512e-34,1.075318513409432e-37,2.1646502903517373e-41,9.064319292920243e-36,2.39099231385133e-40,2.9301180365806415e-37,2.190156449536893e-25,2.90594406046481e-35,1.730210444778567e-38,8.444582748338093e-44,6.393066370569095e-38,2.5267655934012508e-43,1.3083952002769488e-50,4.0975073754322195e-38,1.8693942662823924e-47,6.859491686664918e-65,2.596811485642439e-23,4.3408497240304036e-69,2.8840729778308995e-52,1.3842575324300785e-55,3.83073210483572e-57,2.077820494489953e-39,3.329901868806957e-69,2.561662079609851e-65,2.4965922778053048e-51,2.1754684161401652e-77,5.087018886580373e-59,1.352547733434999e-45,2.964359726072726e-40,3.125455078443059e-49,7.754373053632134e-61,6.97601521126933e-73,7.822916721913732e-54,2.190156449387825e-25,6.651874339760381e-63,4.125362752100836e-56,6.412717932477931e-72,8.277464394569756e-70,1.9189454746366087e-71
8.695113044556309e-20,0.655474539606271,3.2867200101495672e-24,1.4045504346808985e-26,1.5790187940881685e-37,2.305722439064897e-37,0.0,0.0,1.6389859360034258e-20,4.338731971520016e-37,5.503303670303865e-47,6.402340659387564e-47,4.660389559638533e-51,3.179986848879885e-65,7.96522424190375e-44,3.2193117671391477e-34,6.18357366809214e-39,5.514872447127201e-34,3.133060180662212e-75,9.954578714876958e-60,2.880532208616858e-80,1.663945772279211e-79,5.211782492131306e-23,4.7215752105830386e-70,2.9728094669629763e-55,2.975924493945584e-88,3.5542606639399715e-93,3.792391699855883e-73,8.53524359677434e-90,3.1324643991692066e-88,9.712525100012487e-55,1.2096317853125115e-101,1.9845938779040765e-100,7.746074366079398e-103,3.76,0.0,0.5819302451390634,0.9999999999998935,9.106341045539367e-48,6.695826096840401e-53,2.3175069595160976e-16,2.3175069595160976e-16,1.0646063582243774e-13,2.1419996477875254e-38,5.514872447126921e-34,1.639314608004384e-20,1.8689829855295092e-34,2.6500767027187783e-35,7.058128770803926e-53,4.835915610591977e-34,4.323808448707217e-37,8.70396361278566e-41,3.644722921360064e-35,9.614074934850497e-40,1.178187575367653e-36,4.395628678740179e-25,1.1684673259067019e-34,6.957100101077773e-38,3.396403513019307e-43,2.5706238698779096e-37,1.0160013370065941e-42,1.0538507098841674e-49,1.647589694167586e-37,7.516752197695983e-47,1.1055318341687133e-63,5.211782492163493e-23,6.9960687706897e-68,1.1597039335468041e-51,1.1141708897227394e-54,3.0896242061140478e-56,8.354824822939429e-39,5.366742447540342e-68,4.128513710197135e-64,2.0135893154701714e-50,3.504339302062817e-76,4.094475360561001e-58,5.442546650389381e-45,1.19195600821484e-39,1.2567317408606596e-48,6.241393687293133e-60,1.1266283200149373e-71,3.1456332400418976e-53,4.395628678140785e-25,5.355293322676838e-62,3.3204760244066425e-55,1.03275684155709e-70,1.3330709497562165e-68,3.090404799093413e-70
1.742052265024348e-19,0.6554745396062709,6.584892006414527e-24,2.813994773433709e-26,6.33257159956955e-37,9.246978241519391e-37,0.0,0.0,3.283682624396871e-20,1.7400255751097475e-36,4.41605460943752e-46,5.137475173798688e-46,3.7396702860564965e-50,2.5517391776237468e-64,3.194411174342851e-43,1.2910880058531605e-33,2.479889608286286e-38,2.2117105102322568e-33,5.02927582411669e-74,7.987922502117412e-59,9.275772687045406e-79,5.358170514821544e-78,1.0441724505076505e-22,7.579173884878912e-69,2.3854923764865922e-54,9.582952548266545e-87,1.143270177327581e-91,6.096158899123715e-72,2.7484670692564477e-88,1.0087034448879164e-86,7.793689720057666e-54,7.796395813486792e-100,1.279123350473976e-98,4.9925502332132645e-101,3.76,0.0,0.5819302451390632,0.9999999999997867,7.307265191696039e-47,5.372978754901466e-52,4.643088856173365e-16,4.643088856173365e-16,2.132922145937353e-13,8.590376762122385e-38,2.2117105102320317e-33,3.284341113597286e-20,7.49545769504451e-34,1.062799285355679e-34,5.663703833144953e-52,1.939418451454e-33,1.7340405754035463e-36,3.490678703062387e-40,1.4616969056834105e-34,3.855674049300567e-39,4.72505913438354e-36,8.806573138046889e-25,4.68607658667132e-34,2.7901083044739496e-37,1.3628106885864703e-42,1.0309351457832863e-36,4.074619819355931e-42,8.459447883401338e-49,6.607571576100883e-37,3.014553883922236e-46,1.7752887532646214e-62,1.0441724505205589e-22,1.123445008225259e-66,4.6511790996201684e-51,8.940519708735727e-54,2.4817541777171367e-55,3.3506584330415196e-38,8.618039944971158e-67,6.629606990007848e-63,1.6174233238662803e-49,5.627855529562274e-75,3.285558615799088e-57,2.1859223811498242e-44,4.780276709007739e-39,5.0400563684180714e-48,5.00832478467907e-59,1.8110221200011694e-70,1.2615980395332387e-52,8.806573135643049e-25,4.2993497447846914e-61,2.664482959950662e-54,1.6578101606716545e-69,2.1398827649924674e-67,4.960785940192226e-69
