Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58),S(463),C2HF(468),C2H2F3(68),S(165),S(464),S(130),C2H2F2(59),C2H3F2(65),C2H2F3(67),CF2(43),CHFCF2(55),CF2CH(73),C2HF2(72),S(179),C2H3F2(64),CHF2(82),CHF3(42),S(1244),S(1385),CF2O2(181),CF2O2(276),CH2F2(41),S(203),S(1542),CHO2(322),C2F(467),S(174),S(413),S(1894),C2H3F2(66),C2HF4(54),CHFO(47),S(2753),S(512),CF2CF2(61),C2HF3(169),C2HF4(69),C2HFO(577),S(3833),S(2867),F(37),S(344)
0.0,0.745627404844145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5277506343762726,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.469939946882435e-22,0.745627404844145,9.657293887495195e-26,3.6285396783812765e-27,2.2083123266072995e-41,2.888524563170006e-41,0.0,0.0,2.5350977452696624e-22,5.189323991438838e-41,3.8674378993245695e-53,4.496036117024526e-53,1.3738304854493092e-56,3.5267345353805047e-68,9.968618278412307e-46,8.33808451947938e-38,2.46130243492534e-41,8.460808735889502e-38,2.6285338982355813e-84,1.910403375536953e-62,1.05165935973807e-89,6.337263687410535e-89,5.996296682452996e-24,3.593879682966772e-77,9.69082447217271e-60,1.8686299125134986e-96,3.6599540499110373e-100,4.720612013147593e-79,2.2872952789087084e-97,1.059211006538224e-96,9.799723192385227e-60,1.3636773798829383e-112,5.058525932596096e-112,1.6172451580128272e-113,3.76,0.0,0.5277506343762726,0.9999999999999996,6.387212610812013e-54,1.6848851036538615e-57,5.291522090038025e-18,5.291522090038025e-18,4.663089100453149e-16,1.7469355491218486e-42,8.460808735889501e-38,2.536063474658411e-22,4.863066409242557e-37,5.756114079726396e-40,1.1196277523754054e-56,7.9420461345017e-38,3.053946339815777e-40,4.1446499242785163e-44,3.263117872467717e-39,6.856732703702844e-38,9.691279683136052e-26,2.766072692959528e-38,2.2046684682915873e-40,1.4246384047892472e-46,1.5345444335517708e-40,4.319056654285115e-45,2.4524481873360488e-55,1.6425541996174904e-40,2.9864769201733925e-48,5.996296682453081e-24,5.739063353278358e-72,4.432937321937542e-76,5.100778733783532e-54,2.943787277273072e-59,1.0410725997918975e-60,2.0497094146830907e-42,2.6868649150501833e-76,3.3866230009229764e-72,5.8611315932189655e-62,1.625834463379071e-55,1.7138101907806018e-50,6.224484503783483e-64,3.4747977137235955e-42,1.986966546722365e-65,2.868307937434224e-77,1.2103470150903677e-82,1.9330021489283898e-48,1.579321729246519e-82,1.0323751862262596e-55,8.957681336197073e-67,1.8548404637118924e-59,3.6553278233220137e-78,3.494336912975282e-76,9.691279683131754e-26,8.277789745513543e-76
4.1158318512708175e-22,0.745627404844145,2.7040422884987514e-25,1.015991109946863e-26,1.3338206452727435e-40,1.7446688361560456e-40,0.0,0.0,7.098273686755052e-22,3.1343516908290565e-40,4.5914223078123135e-52,5.33769407813144e-52,1.6319808891776505e-55,4.186939240403625e-67,6.021045440160922e-45,5.036203049765469e-37,1.4866266706955402e-40,5.1103284764791074e-37,5.896087759163886e-83,2.268030887438191e-61,5.0239029606371904e-88,3.027386910960978e-87,1.6789630710868121e-23,8.039365095611859e-76,1.1504946813367718e-58,8.926669327738448e-95,1.9624481269911722e-98,1.4842359467265286e-77,1.0931246437955515e-95,5.0600243499481424e-95,1.1634231374003536e-58,1.0561551770022967e-110,3.939280193377096e-110,1.2593428946274563e-111,3.76,0.0,0.5277506343762726,0.9999999999999987,7.582898814108038e-53,2.0002955950586458e-56,1.481626185210647e-17,1.481626185210647e-17,1.3056649481263154e-15,1.0551490718830989e-41,5.110328476479106e-37,7.100977729043545e-22,2.9372921111825043e-36,3.476692904154526e-39,1.3292220676200788e-55,4.796995865238926e-37,1.8445835892501447e-39,2.5033685542642907e-43,1.9709231949703117e-38,4.1414665530365355e-37,2.713558311279481e-25,1.6707079065475542e-37,1.331619754848182e-39,8.604847414801745e-46,9.26864837865268e-40,2.608710219224624e-44,3.4177161374699385e-54,9.921027365689363e-40,1.8038320598127072e-47,1.6789630710868624e-23,1.4970166027150806e-70,1.1563177405846909e-74,3.0808714057950407e-53,3.4948642555778274e-58,1.5732624459760037e-59,1.2380244864690615e-41,7.008602518359811e-75,8.757199773262176e-71,6.958335427469594e-61,2.45695902970287e-54,1.03514135523188e-49,7.389708001233937e-63,2.098777819090152e-41,2.3589275677757078e-64,6.419945534408533e-76,2.7074988276042434e-81,1.1675344259614997e-47,3.5328908315907775e-81,6.2355473846487225e-55,1.0634594876791255e-65,2.2084028203512193e-58,8.199298315307667e-77,7.838178174029045e-75,2.7135583112768854e-25,2.602669540625506e-74
9.407615660047583e-22,0.745627404844145,6.180668087997605e-25,2.3222653941647547e-26,6.421772245803038e-40,8.399829429718811e-40,0.0,0.0,1.6224625569725812e-21,1.5090554167104113e-39,4.5078856633551463e-51,5.2405796980035434e-51,1.602713272170783e-54,4.110761774439173e-66,2.898874195362132e-44,2.4247149782644884e-36,7.15746748077241e-40,2.4604031803993868e-36,1.1665259337215308e-81,2.2267661745280368e-60,2.6159358559547302e-86,1.576354087975435e-85,3.837629876769729e-23,1.5884430680054298e-74,1.1295625004777748e-57,4.648098212137738e-93,9.311678537382987e-97,3.3112487494452986e-76,5.690406053165161e-94,2.634724588819692e-93,1.1422557353055774e-57,1.1512661952565995e-108,4.295047017567662e-108,1.3731301613282491e-109,3.76,0.0,0.5277506343762726,0.999999999999997,7.444935022786247e-52,1.9639020768213654e-55,3.386574137624336e-17,3.386574137624336e-17,2.9843770242860504e-15,5.080088579987723e-41,2.4604031803993845e-36,1.6230806237813792e-21,1.4141797118077356e-35,1.673877974384109e-38,1.3050381081687645e-54,2.309547015912942e-36,8.880875956205109e-39,1.2052641979802906e-42,9.489146773133283e-38,1.9939378702368148e-36,6.202418997216782e-25,8.043739391126293e-37,6.411175905792889e-39,4.1428956559391697e-45,4.462455212768527e-39,1.2559816751207329e-43,3.5773345093967985e-53,4.7765476124872426e-39,8.684674884276058e-47,3.8376298767699706e-23,3.163423954945064e-69,2.4434753986419393e-73,1.4833080316688337e-52,3.4312784503871274e-57,1.6924417211320723e-58,5.960554977905552e-41,1.481024395924475e-73,1.844187203097254e-69,6.831734985056136e-60,2.6430837142991137e-53,4.983760034795942e-49,7.2552591324707745e-62,1.0104711751524722e-40,2.316010945731025e-63,1.2688253947311705e-74,5.3495656197137185e-80,5.62118716921504e-47,6.98044578659416e-80,3.002148931202455e-54,1.044118370829139e-64,2.1709994795077782e-57,1.6222102603579834e-75,1.5507635614005164e-73,6.202418997204286e-25,5.806412572484638e-73
1.9991183277601115e-21,0.745627404844145,1.3133919686996861e-24,4.9348139626022217e-26,2.8045566548212464e-39,3.668426195247022e-39,0.0,0.0,3.447732933566728e-21,6.590441469127298e-39,3.9871738249272014e-50,4.635233395207092e-50,1.4177504289802303e-53,3.6359222365951633e-65,1.2660145213581896e-43,1.0589367339737615e-35,3.125854092365022e-39,1.0745227094607525e-35,2.0770352013991773e-80,1.969549464048066e-59,1.0439513293108228e-84,6.290815357009913e-84,8.154963488135131e-23,2.82654956933192e-73,9.990852397858965e-57,1.8549339795514925e-91,3.587463964145217e-95,6.201602444726439e-75,2.2706855279089834e-92,1.0514466400233512e-91,1.0103122622445518e-56,9.418633591656633e-107,3.51408047173664e-106,1.1234707082726668e-107,3.76,0.0,0.5277506343762726,0.9999999999999937,6.584960716891842e-51,1.737049146468077e-54,7.196470042451715e-17,7.196470042451715e-17,6.341801176596459e-15,2.2186081506023115e-40,1.0745227094607505e-35,3.4490463255354186e-21,6.176094339738049e-35,7.310264881249148e-38,1.1542914275889304e-53,1.008639859081558e-35,3.8785118515873725e-38,5.2637054038347197e-42,4.1441596980310694e-37,8.708050533702897e-36,1.3180140369113578e-24,3.512912320058584e-36,2.799928954731302e-38,1.8093395213881176e-44,1.9488714306107258e-38,5.485201951506518e-43,3.2521985819448524e-52,2.086043833513778e-38,3.7928256890421066e-46,8.154963488136186e-23,5.795966035591028e-68,4.4768897944225064e-72,6.478005276045316e-52,3.0349269313724813e-56,1.5556447168517046e-57,2.6031309566548876e-40,2.713505119422207e-72,3.3740728060954845e-68,6.042592227345254e-59,2.4294490456933903e-52,2.1765389422975153e-48,6.417194533228166e-61,4.412993096446025e-40,2.048488782638903e-62,2.2580929306246868e-73,9.519281170118961e-79,2.454930213274716e-46,1.2421504945912198e-78,1.3111184391026115e-53,9.235242870287904e-64,1.921327121698224e-56,2.88839508174691e-74,2.761182044748425e-72,1.3180140369059004e-24,1.0874768140136805e-71
4.115831851270818e-21,0.745627404844145,2.7040422885001586e-24,1.0159911099483899e-25,1.1708471955941677e-38,1.5314957234117404e-38,0.0,0.0,7.098273686754994e-21,2.751379580260849e-38,3.351459847423727e-49,3.896192962434651e-49,1.1917715445474316e-52,3.056211720606871e-64,5.285361411212648e-43,4.420852412226889e-35,1.3049825510062713e-38,4.4859207917935823e-35,3.5042351770745324e-79,1.6555249987944148e-58,3.7103665319824854e-83,2.2358543069872006e-82,1.6789630710864203e-22,4.767388985861209e-72,8.397913434443718e-56,6.592725890660627e-90,1.2556737558023084e-93,1.0711725993704603e-73,8.070065289435915e-91,3.737001853942918e-90,8.492283322993389e-56,6.778842561166516e-105,2.529261922582461e-104,8.086239821947665e-106,3.76,0.0,0.5277506343762725,0.999999999999987,5.535056256370921e-50,1.4600944726740175e-53,1.481626185210647e-16,1.481626185210647e-16,1.3056649481181026e-14,9.262252310279814e-40,4.485920791793565e-35,7.10097772904346e-21,2.5783978101804035e-34,3.051891685067897e-37,9.702514961644561e-53,4.2108728605113794e-35,1.619202349389445e-37,2.1974933898533685e-41,1.7301050959797445e-36,3.6354396795035034e-35,2.7135583112995948e-24,1.4665717418071265e-35,1.1689152218890875e-37,7.553871547944552e-44,8.136154586691284e-38,2.2899638386099465e-42,2.7685939844325374e-51,8.708822366368013e-38,1.5834300634540724e-45,1.6789630710868616e-22,9.909194821297702e-67,7.654008476578784e-71,2.704447540378041e-51,2.5510389538794003e-55,1.3308864993642614e-56,1.0867559316716009e-39,4.639200904860997e-71,5.764815442778018e-67,5.0791628605784746e-58,2.0784447115244095e-51,9.086621631574117e-48,5.394038659646096e-60,1.8423377478316023e-39,1.721883853025018e-61,3.808832525392454e-72,1.6055709601395118e-77,1.0248934750839274e-45,2.0951273000251063e-77,5.473670810515716e-53,7.763003729191518e-63,1.6154284063738644e-55,4.873107289094175e-73,4.658481948624206e-71,2.7135583112768108e-24,1.8783457598250528e-70
8.34925889829223e-21,0.7456274048441452,5.485342928103586e-24,2.06101053732742e-25,4.783292832152876e-38,6.256659744969648e-38,0.0,0.0,1.4399355193131428e-20,1.1240283338415984e-37,2.7477292705187317e-48,3.194334388666878e-48,9.77112931508249e-52,2.505667017087084e-63,2.1592425935759007e-42,1.8060624592563986e-34,5.331279526220668e-38,1.832645015449705e-34,5.756525508671749e-78,1.357299416626208e-57,1.249753634903771e-81,7.530973080881878e-81,3.405896515631543e-22,7.830450724891294e-71,6.885116814160033e-55,2.2206116501202918e-88,4.1992410668891094e-92,1.7797692946116358e-72,2.718172678203347e-89,1.2587244918252027e-88,6.96248695037528e-55,4.594979790914148e-103,1.714465726090601e-102,5.4812917549933246e-104,3.76,0.0,0.5277506343762723,0.9999999999999736,4.537973533055771e-49,1.1970736638986866e-52,3.005584547141598e-16,3.005584547141598e-16,2.6486346090205166e-14,3.783932301183625e-39,1.832645015449691e-34,1.4404840536059387e-20,1.053359636507575e-33,1.2467973341224833e-36,7.95470796681898e-52,1.7202789609164018e-34,6.614969930056113e-37,8.977477521991827e-41,7.068043836457629e-36,1.4851957305530675e-34,5.504646860111579e-24,5.991424095857924e-35,4.775400089065827e-37,3.0861952247796957e-43,3.3238846248503047e-37,9.355249479748615e-42,2.283758727128141e-50,3.557838098536146e-37,6.468828471367478e-45,3.4058965156333453e-22,1.638252364666585e-65,1.2654103297033595e-69,1.1048614853670579e-50,2.091495861664122e-54,1.1004025741329253e-55,4.439752580636264e-39,7.669827861460935e-70,9.527819363957832e-66,4.1642045831971937e-57,1.7184982432190142e-50,3.712181425685292e-47,4.4223587700332695e-59,7.526550839963842e-39,1.4117135988951646e-60,6.256201661193298e-71,2.6371717269899782e-76,4.187093203778585e-45,3.4414464943003425e-76,2.236180826880824e-52,6.364949494209788e-62,1.3245997838748578e-54,8.005217542780527e-72,7.652645264243717e-70,5.504646860018498e-24,3.120899572988799e-69
1.6816112992335054e-20,0.745627404844145,1.1047944207320377e-23,4.151049392096265e-25,1.933483441124245e-37,2.529041904366716e-37,0.0,0.0,2.900151820588388e-20,4.5435022420561285e-37,2.225182403326582e-47,2.586854806652864e-47,7.91302002620517e-51,2.0291541142396638e-62,8.72800379641649e-42,7.300393224853624e-34,2.1549884243556916e-37,7.4078441672639315e-34,9.332223130120488e-77,1.0991762579591652e-56,4.10181656676302e-80,2.4717407722760345e-79,6.85976340471902e-22,1.26934980622116e-69,5.575746104886685e-54,7.288269786478475e-87,1.3734534646942965e-90,2.9014731408464837e-71,8.921239852928052e-88,4.131258784377279e-87,5.63840244713984e-54,3.025560226271912e-101,1.1288972314978267e-100,3.6091850567033e-102,3.76,0.0,0.527750634376272,0.9999999999999467,3.674968622004599e-48,9.694212892689332e-52,6.053501271003498e-16,6.053501271003498e-16,5.334573930767347e-14,1.529525946183128e-38,7.407844167263819e-34,2.901256615009064e-20,4.2578480684795016e-33,5.0397541702551244e-36,6.441928751260904e-51,6.9536426089607875e-34,2.673876610065775e-36,3.6288399519084443e-40,2.857016326984983e-35,6.003398605263398e-34,1.1086823957877589e-23,2.421829414175219e-34,1.9302930680819468e-36,1.2476448572939919e-42,1.3435673097072441e-36,3.7815414190838475e-41,1.854991190551357e-49,1.4381350443639605e-36,2.6148038971295653e-44,6.859763404726304e-22,2.6642023379959034e-64,2.0578692462898794e-68,4.466078688845922e-50,1.6937475744548272e-53,8.948290506531643e-55,1.7946189786530998e-38,1.2473031482196629e-68,1.5492243066529055e-64,3.3722808357682946e-56,1.3974542164602907e-49,1.5005230849561353e-46,3.5813407614536e-58,3.0423521887621887e-38,1.143257149330683e-59,1.0141718620937975e-69,4.2750228443430203e-75,1.692545757180285e-44,5.579360786761888e-75,9.039062682865786e-52,5.155100434526977e-61,1.072764649304932e-53,1.2977701253756866e-70,1.2406126817988133e-68,1.1086823957501338e-23,5.087853978360957e-68
3.374982118042071e-20,0.7456274048441454,2.2173146765793692e-23,8.331127101677077e-25,7.774451879837944e-37,1.0169166266695985e-36,0.0,0.0,5.820584423138715e-20,1.8269222684818758e-36,1.7910203848369546e-46,2.082125799673989e-46,6.369129344841952e-50,1.6332397635552943e-61,3.5094919393793664e-41,2.9354560074147033e-33,8.665113674752352e-37,2.9786615588453756e-33,1.5029777619888316e-75,8.847126785972724e-56,1.3292180514137267e-78,8.009822963662737e-78,1.37674971828829e-21,2.044248731088133e-68,4.487845544276523e-53,2.3618071682287165e-85,4.4431516163638375e-89,4.685886872866844e-70,2.8909689001211303e-86,1.3387588127510055e-85,4.5382768194840335e-53,1.963923165667887e-99,7.327819848111858e-99,2.342770988636786e-100,3.76,0.0,0.5277506343762715,0.999999999999893,2.9579344620432907e-47,7.8027459137093e-51,1.2149334718727291e-15,1.2149334718727291e-15,1.0706452574029011e-13,6.150156640411836e-38,2.9786615588452845e-33,5.822801737815067e-20,1.712061981639478e-32,2.0264629862068293e-35,5.185024694149263e-50,2.7960291098278238e-33,1.0751540248251237e-35,1.4591405844470041e-39,1.1487936994588392e-34,2.413940175270843e-33,2.2251178153977777e-23,9.738069558470836e-34,7.761623529409417e-36,5.017974849797066e-42,5.402425060095199e-36,1.5205411742372597e-40,1.4952728840266754e-48,5.782677761899182e-36,1.0514011477833079e-43,1.3767497182912188e-21,4.2974324550924755e-63,3.319400317747053e-67,1.795832346486237e-49,1.363275400609303e-52,7.217120278254376e-54,7.216083983142726e-38,2.0119346619871947e-67,2.4987553058733455e-63,2.7143049984293923e-55,1.1270974459070787e-48,6.0335373293635115e-46,2.8825745694882164e-57,1.2233164343939723e-37,9.202167617098546e-59,1.6333042041519385e-68,6.884965887490739e-74,6.806100295765476e-44,8.987410390332546e-74,3.634617407728762e-51,4.1502380748885407e-60,8.63482040462051e-53,2.0900906391808918e-69,1.998037173476828e-67,2.225117815246489e-23,8.21689776542623e-67
6.761723755659201e-20,0.7456274048441454,4.442355188289924e-23,1.669128252101122e-24,3.117902925290388e-36,4.078290500457029e-36,0.0,0.0,1.1661449628238715e-19,7.326775407567475e-36,1.4371810643637727e-45,1.670774826532307e-45,5.110842138021796e-49,1.3105720524007705e-60,1.407463233550978e-40,1.1772491504496762e-32,3.475098140459473e-36,1.1945765090481686e-32,2.4126545313471537e-74,7.099262073456705e-55,4.280293919166482e-77,2.5792906204105984e-76,2.7582964739166363e-21,3.2814719463367116e-67,3.601213414827389e-52,7.605395414976909e-84,1.4295518515115845e-87,7.532426292100681e-69,9.309361474710973e-85,4.311016428747567e-84,3.641681337104302e-52,1.2658020516518085e-97,4.722988897318529e-97,1.5099832597700556e-98,3.76,0.0,0.5277506343762702,0.9999999999997855,2.3735561215860892e-46,6.261212196318691e-50,2.4341001614174847e-15,2.4341001614174847e-15,2.1450209859624367e-13,2.4664879508983024e-37,1.194576509048096e-32,1.16658919834261e-19,6.866134284811095e-32,8.127022932342938e-35,4.160655775604272e-49,1.1213327284961393e-32,4.311848514374529e-35,5.851806360230003e-39,4.607176545309828e-34,9.680979763973437e-33,4.4579886548450806e-23,3.905401438752673e-33,3.11275818241048e-35,2.0134347643048418e-41,2.1666140784642158e-35,6.098050198959932e-40,1.2007475383800862e-47,2.3191124190968703e-35,4.216588861873022e-43,2.7582964739283815e-21,6.903782938982053e-62,5.332583937151458e-66,7.202425773935076e-49,1.0939426528699698e-51,5.797183415855672e-53,2.893972424636085e-37,3.232153230612056e-66,4.014076810718901e-62,2.1780588202831744e-54,9.053459603380788e-48,2.4197183257539284e-45,2.3130844816950383e-56,4.906046043918648e-37,7.38454429699497e-58,2.6218243162951857e-67,1.1052451692952538e-72,2.729910163866805e-43,1.44332751113397e-72,1.4576842939753418e-50,3.3318530050611415e-59,6.929010384935099e-52,3.3551158361955787e-68,3.207347105737496e-66,4.457988654238345e-23,1.3208423174284528e-65
