Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58),S(463),C2HF(468),C2H2F3(68),S(165),S(464),S(130),C2H2F2(59),C2H3F2(65),C2H2F3(67),CF2(43),CHFCF2(55),CF2CH(73),C2HF2(72),S(179),C2H3F2(64),CHF2(82),CHF3(42),S(1244),S(1385),CF2O2(181),CF2O2(276),CH2F2(41),S(203),S(1542),CHO2(322),C2F(467),S(174),S(413),S(1894),C2H3F2(66),C2HF4(54),CHFO(47),S(2753),S(512),CF2CF2(61),C2HF3(169),C2HF4(69),C2HFO(577),S(3833),S(2867),F(37),S(344),CFO(51),C1OO1(180)
0.0,0.7756520555994474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5853379587430199,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2453827721469356e-22,0.7756520555994474,1.5331611498589544e-25,7.929027576923996e-27,3.3817171050699836e-41,4.799260463721903e-41,0.0,0.0,3.631107237922911e-22,8.733599108533347e-41,5.430050896234724e-53,6.3098412365663105e-53,2.572775652975156e-56,2.036562030587277e-67,3.5812909703610536e-45,1.4248124578915719e-37,7.05286238154367e-41,1.3109276817455935e-37,1.0910526965496947e-83,1.2277435915929733e-61,2.7422401460124514e-89,1.6657408125735436e-88,1.255342144829835e-23,1.0595128650392778e-76,2.8590515848676664e-59,8.43473782762365e-96,2.952167325919572e-99,2.296821826783378e-78,1.317275328905231e-96,4.441313608517239e-96,2.5732502301745195e-59,4.958880291593212e-112,1.2833302512017872e-111,5.980080981470422e-113,3.76,0.0,0.5853379587430199,0.9999999999999996,8.96894939473804e-54,5.313912866058664e-57,8.162114965605131e-18,8.162114965605131e-18,4.715578010786936e-16,2.367500111222991e-42,1.3109276817455931e-37,3.632640399072769e-22,1.3064496948727555e-36,6.147971860583373e-40,4.475770412072635e-56,1.2514634987920068e-37,6.336649844974851e-40,9.065340143909145e-44,8.84463124303963e-39,1.7008060095649282e-37,2.2999099767345448e-25,4.6336202133926465e-38,6.074721343939613e-40,2.677517754381881e-46,3.044281433653625e-40,1.237445400596045e-44,4.7769922019082796e-55,4.091963388505753e-40,1.328070919653217e-47,1.2553421448298493e-23,8.678467133961217e-72,6.954375532579648e-76,1.462721527084795e-53,8.148707611279998e-59,3.345688285019769e-60,3.4495539874360134e-42,3.997871032016486e-76,5.60715239444382e-72,2.26270103198651e-61,3.968291437375291e-55,6.207960472980674e-50,2.274548042156911e-63,9.371793684067881e-42,5.90048725505137e-65,8.757658616853825e-77,2.596351567119468e-82,3.540314613612762e-48,5.726642500138223e-82,2.8818191346937597e-55,2.5930743572208526e-66,6.159834880445461e-59,1.0322556690266376e-77,9.453932147405282e-76,2.2999099767335405e-25,2.7324011686220935e-75,1.320807760547642e-60,8.996305933352257e-51
3.4870717620114196e-22,0.7756520555994474,4.292851219605268e-25,2.2201277215389333e-26,2.0425571314650135e-40,2.898753320089981e-40,0.0,0.0,1.0167100266184146e-21,5.27509386155414e-40,6.446556532422282e-52,7.491043516051428e-52,3.057222070831259e-55,2.417806442713162e-66,2.1630997460980427e-44,8.605867245664985e-37,4.25992887845417e-40,7.91800319774587e-37,2.4467656882827203e-82,1.4575771919396021e-60,1.3100010246659634e-87,7.957443752837106e-87,3.514958005523491e-23,2.3700878985789034e-75,3.394266041556128e-58,4.029375477124735e-94,1.578308328280115e-97,7.221575314902494e-77,6.295232786401022e-95,2.1217044775361405e-94,3.054962673264054e-58,3.8513176988672763e-110,1.0045630983176925e-109,4.680393587679735e-111,3.76,0.0,0.5853379587430199,0.9999999999999987,1.0647936726159314e-52,6.308677354587275e-56,2.2853921903694366e-17,2.2853921903694366e-17,1.3203618430198626e-15,1.4299700675038765e-41,7.918003197745865e-37,1.0171393117403745e-21,7.890956157031442e-36,3.713375003792135e-39,5.3136346332126204e-55,7.558839532703557e-37,3.8273365063673347e-39,5.475465446921236e-43,5.342157270795473e-38,1.0272868297772205e-36,6.439747934859969e-25,2.7987066088891556e-37,3.6691316917397056e-39,1.6172265970474728e-45,1.8387459859267867e-39,7.474170219677343e-44,6.771050438687866e-54,2.4715458866573947e-39,8.021548354788197e-47,3.5149580055235774e-23,2.300985682761137e-70,1.8438646233260474e-74,8.834841012241702e-53,9.67414567611001e-58,5.055971639974859e-59,2.0835306084121394e-41,1.0599848872152048e-74,1.470949512449885e-70,2.686278665174408e-60,5.996876987290228e-54,3.74960812568174e-49,2.700343435173286e-62,5.660563385179909e-41,7.005060855062534e-64,1.9606151823442094e-75,5.80793649128851e-81,2.1383513185159923e-47,1.2810310907854532e-80,1.7406190744582182e-54,3.07850811559112e-65,7.332165506062542e-58,2.31490902955838e-76,2.1201136064965515e-74,6.439747934853898e-25,8.59110645833524e-74,1.568062973322671e-59,5.433768786038356e-50
7.970449741740387e-22,0.7756520555994474,9.812231359098682e-25,5.0745776492328594e-26,9.834033341584665e-40,1.3956249428532553e-39,0.0,0.0,2.323908632270659e-21,2.5397306207614934e-39,6.329267478596698e-51,7.354750945341403e-51,3.002835699288525e-54,2.373816702852366e-65,1.0414394141809443e-43,4.143354627548527e-36,2.050972380555588e-39,3.812177698519843e-36,4.840301740393008e-81,1.4310579303620447e-59,6.821148176179069e-86,4.14342446364091e-85,8.034189726910619e-23,4.6828942936250085e-74,3.332510527325575e-57,2.098087457191986e-92,7.506430294603271e-96,1.6110937269261132e-75,3.277124424930995e-93,1.104752011522487e-92,2.999380468294052e-57,4.198740081466013e-108,1.095502072227861e-107,5.104600706214651e-109,3.76,0.0,0.5853379587430199,0.999999999999997,1.045420742121794e-51,6.193896836685514e-55,5.223753577987283e-17,5.223753577987283e-17,3.017969926900282e-15,6.88469032822123e-41,3.81217769851984e-36,2.3248898554065663e-21,3.7991557126899727e-35,1.7878302170573115e-38,5.216957992311829e-54,3.639255854486909e-36,1.8426977749224023e-38,2.6362009138489427e-42,2.572018765475232e-37,4.945943875814876e-36,1.4719423851123789e-24,1.3474567580545773e-36,1.7665289668179084e-38,7.786309730754765e-45,8.852770409064702e-39,3.5984912250491465e-43,7.129785631687956e-53,1.1899429533773542e-38,3.862030234473405e-46,8.034189726911033e-23,4.893120561643665e-69,3.92103782690901e-73,4.253598683736662e-52,9.498133591703e-57,5.438972386379035e-58,1.0031302995475739e-40,2.2540921855876412e-73,3.115236271841079e-69,2.637404322883546e-59,6.4511648772308335e-53,1.805274905544899e-48,2.6512131964643485e-61,2.7253176033313034e-40,6.877615340671067e-63,3.875351003514011e-74,1.1475511957183534e-79,1.029525427479418e-46,2.5311191628786555e-79,8.38033479968431e-54,3.0225192107420534e-64,7.207181077772328e-57,4.579456913511983e-75,4.194103867035556e-73,1.4719423851094567e-24,1.9166285912441724e-72,1.539533525695884e-58,2.6161257688591038e-49
1.6937205701198323e-21,0.7756520555994474,2.0850991638088645e-24,1.0783477504624143e-25,4.2947807234814036e-39,6.095060788957049e-39,0.0,0.0,4.938305843575139e-21,1.1091670867837305e-38,5.598165427011516e-50,6.505193921249799e-50,2.656465413531138e-53,2.099613991053916e-64,4.5482395323580235e-43,1.8095118215221273e-35,8.95713522458824e-39,1.6648781558206507e-35,8.617850497190219e-80,1.2657545331913366e-58,2.7221411754850314e-84,1.653531934478212e-83,1.7072653169684138e-22,8.332960189433182e-73,2.947567821943192e-56,8.372916273926211e-91,2.894683274848537e-94,3.0174002473417822e-74,1.3077036078196184e-91,4.408753841518669e-91,2.652918057306201e-56,3.4351891295897803e-106,8.96359557583257e-106,4.176833603649164e-107,3.76,0.0,0.5853379587430197,0.9999999999999936,9.246628074757493e-51,5.478431608407662e-54,1.1100476353222975e-16,1.1100476353222975e-16,6.413186094653444e-15,3.0067251461540274e-40,1.6648781558206475e-35,4.9403909427389375e-21,1.659191112488399e-34,7.80792426293744e-38,4.61434026403033e-53,1.5893586434655923e-35,8.047545303156114e-38,1.1512981982766283e-41,1.123268167865317e-36,2.160023632147527e-35,3.127877568370331e-24,5.884697671008616e-36,7.71489610680609e-38,3.4005385857776545e-44,3.8662374207400633e-38,1.571555658876686e-42,6.497609454582175e-52,5.196793503401078e-38,1.6866500680844243e-45,1.7072653169685938e-22,8.988444388100467e-68,7.202771729572658e-72,1.8576609718041257e-51,8.400991598914794e-56,4.999348620765714e-57,4.3809335640559415e-40,4.140666881294721e-72,5.7129100456522765e-68,2.3327542559369566e-58,5.9297313320225355e-52,7.884109800707349e-48,2.3449680464472105e-60,1.19021779788113e-39,6.083181872452454e-62,6.897202024605199e-73,2.042008960742498e-78,4.496219583643418e-46,4.504054234427332e-78,3.659915215331061e-53,2.67342259324781e-63,6.378013004846112e-56,8.153432584403929e-74,7.467335926013016e-72,3.12787756835757e-24,3.5896332340053776e-71,1.3616999688174262e-57,1.1425308570906238e-48
3.487071762011419e-21,0.7756520555994475,4.292851219608112e-24,2.220127721542043e-25,1.792986409146376e-38,2.54456789789256e-38,0.0,0.0,1.016710026618406e-20,4.6305542473443384e-38,4.705595363654044e-49,5.468007458147489e-49,2.2331140151190583e-52,1.764852070713822e-63,1.898800472484967e-42,7.554355651739598e-35,3.739427634719456e-38,6.950538568648719e-35,1.453909863787294e-78,1.0639429525817782e-57,9.674916089721925e-83,5.876911477369835e-82,3.5149580055228218e-22,1.4054755330577655e-71,2.4776083586355135e-55,2.9758655836423377e-89,1.0136127695615857e-92,5.211808552857743e-73,4.6476187007122545e-90,1.566936939276532e-89,2.2299374774754522e-55,2.472447983775893e-104,6.451726785997396e-104,3.0064092374251038e-105,3.76,0.0,0.5853379587430196,0.9999999999999868,7.77234804829626e-50,4.6049518671492875e-53,2.2853921903694357e-16,2.2853921903694357e-16,1.3203618430129077e-14,1.2552485633625601e-39,6.950538568648694e-35,1.017139311740363e-20,6.9267962822153465e-34,3.259654680478205e-37,3.87863102677542e-52,6.635259470592917e-35,3.3596917478397696e-37,4.806443344302124e-41,4.689423485053167e-36,9.017673462713865e-35,6.4397479349069904e-24,2.45674543714074e-35,3.2208172565592868e-37,1.4197018473146721e-43,1.6140780161231159e-37,6.560935515037607e-42,5.537517542233979e-51,2.169558988584645e-37,7.041432017120308e-45,3.5149580055235736e-22,1.5385432071024154e-66,1.2328913701136586e-70,7.755391228261035e-51,7.061539636594538e-55,4.277046452458206e-56,1.8289535241495584e-39,7.0875388754780395e-71,9.7712619147756e-67,1.9608205111032579e-57,5.0730097572376357e-51,3.2914606427940556e-47,1.9710869349495041e-59,4.968925011333372e-39,5.113296026889376e-61,1.163411688697277e-71,3.444156437592862e-77,1.8770928300571762e-45,7.596958137294588e-77,1.5279449279470543e-52,2.2472376780461574e-62,5.362429670341673e-55,1.375558254976548e-72,1.2598075067645652e-70,6.439747934853716e-24,6.200198733006116e-70,1.1445908723722494e-56,4.7698414378571114e-48
7.073774145794594e-21,0.7756520555994474,8.708355331211629e-24,4.503687663706791e-25,7.32493451858981e-38,1.0395390135070545e-37,0.0,0.0,2.0624689111401755e-20,1.8917325013047224e-37,3.857931382196602e-48,4.483002877284011e-48,1.830919295873868e-51,1.4469323554415664e-62,7.757219493436934e-42,3.086200776290178e-34,1.5276782033130535e-37,2.8395217957966e-34,2.388357910457658e-77,8.722847132563992e-57,3.2587781951695134e-81,1.9795056411340256e-80,7.130343382630454e-22,2.308497783436769e-70,2.031293023214219e-54,1.0023534867339431e-87,3.390409297688333e-91,8.659497859835667e-72,1.5654204292259598e-88,5.277870125243044e-88,1.8282374711907023e-54,1.6759438571984279e-102,4.373373420384738e-102,2.037943252530901e-103,3.76,0.0,0.5853379587430194,0.9999999999999732,6.372240515612533e-49,3.775417760187401e-52,4.636081300463711e-16,4.636081300463711e-16,2.678448310095755e-14,5.1280999780232074e-39,2.8395217957965805e-34,2.063339746673281e-20,2.829822297082182e-33,1.3316752968871771e-36,3.179936052766684e-51,2.7107199969214894e-34,1.372543703049747e-36,1.96358893653256e-40,1.9157825057619005e-35,3.68401384895854e-34,1.3063488668063328e-23,1.0036606727016658e-34,1.3158089419848167e-36,5.800304264071846e-43,6.594035356550793e-37,2.6803562364192376e-41,4.5701892481255235e-50,8.863356378029655e-37,2.876654735751134e-44,7.130343382633528e-22,2.54505025043129e-65,2.0394425556416e-69,3.1683486354631987e-50,5.78947683431821e-54,3.536344112024325e-55,7.471871919038901e-39,1.172417031033876e-69,1.6157689112073115e-65,1.607599122788072e-56,4.1944624759733797e-50,1.3446690703061881e-46,1.6160161523862095e-58,2.0299679991781972e-38,4.1922138170339036e-60,1.9109853108000983e-70,5.657069679936959e-76,7.668615651256498e-45,1.2478724152613805e-75,6.242172963856596e-52,1.842527655479691e-61,4.396971272246878e-54,2.25964838120649e-71,2.069503042132053e-69,1.3063488667845688e-23,1.0301722926713513e-68,9.384047504436383e-56,1.9486358774757712e-47
1.4247178913360942e-20,0.7756520555994474,1.753936355443874e-23,9.070807548058248e-25,2.9608556481763488e-37,4.201982900680269e-37,0.0,0.0,4.1539866801836544e-20,7.646685232277871e-37,3.124252858114629e-47,3.6304519597215993e-47,1.482756834384989e-50,1.171763335690336e-61,3.135592146514454e-41,1.2474916978809952e-33,6.1751195526099265e-37,1.1477801099203081e-33,3.8718768337260596e-76,7.063987763102143e-56,1.0695636335859929e-79,6.496935720749106e-79,1.436111413684099e-21,3.7421743869080035e-69,1.644993755047686e-53,3.2898245088987496e-86,1.1090144185081425e-89,1.4117167056179205e-70,5.137826286256239e-87,1.7322490255807908e-86,1.4805541044416472e-53,1.1035289733832911e-100,2.879684483412638e-100,1.3419059577905211e-101,3.76,0.0,0.585337958743019,0.999999999999946,5.160405581085967e-48,3.0574311865562204e-51,9.33745952065226e-16,9.33745952065226e-16,5.3946212442123336e-14,2.0728600178755637e-38,1.147780109920292e-33,4.155740616539036e-20,1.1438594174464506e-32,5.3828444665684704e-36,2.5751946609399586e-50,1.095716363438742e-33,5.548041098704818e-36,7.937140432329752e-40,7.743899195535989e-35,1.4891373000629845e-33,2.6310970134708084e-23,4.056956910595219e-34,5.318710123261086e-36,2.344865945069941e-42,2.665414520672313e-36,1.0834428463514071e-40,3.713104099110959e-49,3.5827103608717476e-36,1.1627898383374963e-43,1.4361114136853414e-21,4.140015635816411e-64,3.317547096467454e-68,1.28071194381788e-49,4.688468442727216e-53,2.875696062540194e-54,3.020250094668126e-38,1.9071626736269396e-68,2.627893241466865e-64,1.3018754494560375e-55,3.4108671884960063e-49,5.435367376334506e-46,1.308691770245974e-57,8.205455216780889e-38,3.395003610855775e-59,3.097851985625212e-69,9.170458740299957e-75,3.0998408932697874e-44,2.0230811305025876e-74,2.5232017813734623e-51,1.4922990573636643e-60,3.5609917408673623e-53,3.663219073493984e-70,3.3549657901223647e-68,2.631097013382835e-23,1.679440839118653e-67,7.599444967036746e-55,7.876697890154442e-47
2.859398844849364e-20,0.7756520555994476,3.5201380000973295e-23,1.8205047316849e-24,1.1905470339244958e-36,1.6895988434488426e-36,0.0,0.0,8.337022218270374e-20,3.074698500555369e-36,2.514670504538642e-46,2.9221035793637456e-46,1.1934640476482436e-49,9.431370736684363e-61,1.2608078112768738e-40,5.016109250497036e-33,2.482988413013214e-36,4.6151733408816645e-33,6.235736891101203e-75,5.685711904899778e-55,3.465984560153728e-78,2.105370656708078e-77,2.882265564524312e-21,6.026656485417187e-68,1.3240340853180668e-52,1.066087196541596e-84,3.587856528395162e-88,2.2799262505358887e-69,1.6649367557116947e-85,5.613454714527353e-85,1.1916787485732709e-52,7.1631403170310516e-99,1.869246783376137e-98,8.710530975784264e-100,3.76,0.0,0.5853379587430181,0.9999999999998918,4.1535433568163927e-47,2.4608866095080343e-50,1.874021596102934e-15,1.874021596102934e-15,1.0826967112249025e-13,8.334879088783145e-38,4.615173340881537e-33,8.340542356270221e-20,4.599408408787324e-32,2.1644180853883146e-35,2.0727406999963283e-49,4.405827306024217e-33,2.2308429247147317e-35,3.19148925903221e-39,3.113787807600677e-34,5.987755588917209e-33,5.2805933069325894e-23,1.631284530605503e-33,2.1386299480334655e-35,9.430936800424556e-42,1.0717514558432899e-35,4.356476036700502e-40,2.9934410795043606e-48,1.4405920787707694e-35,4.675526801774845e-43,2.8822655645293094e-21,6.67886609022026e-63,5.3520215270424404e-67,5.149805160984438e-49,3.7736872901994844e-52,2.319352958523971e-53,1.2144292795548478e-37,3.076723671997716e-67,4.2390677677976597e-63,1.0478626223271692e-54,2.7509879398643823e-48,2.1855373164660405e-45,1.0533489774193244e-56,3.299377453880072e-37,2.732658931784533e-58,4.989045057260847e-68,1.4769079321696518e-73,1.2464837267405642e-43,3.258838277209419e-73,1.0145809371166087e-50,1.201409620835185e-59,2.8662799980220964e-52,5.899686643772246e-69,5.403238644894485e-67,5.280593306578853e-23,2.7123014411994263e-66,6.116694446374505e-54,3.1671856697918006e-46
5.728760751875904e-20,0.7756520555994479,7.052541289436371e-23,3.6473526854781864e-24,4.774626092087097e-36,6.776047054404176e-36,0.0,0.0,1.6703093294442856e-19,1.233091617974173e-35,2.017864711661864e-45,2.344804094779965e-45,9.576846732346244e-49,7.568081049184231e-60,5.056403233285871e-40,2.0116841604154677e-32,9.957894080464913e-36,1.8508909284427414e-32,1.000990433358018e-73,4.562425730228563e-54,1.116102254327631e-76,6.779628978027907e-76,5.774573866197167e-21,9.674118362527897e-67,1.0624539687672266e-51,3.432970641844824e-83,1.1543941763216965e-86,3.664914860176856e-68,5.36135142276269e-84,1.8076216590076057e-83,9.562471464601906e-52,4.616844763039981e-97,1.20478474444275e-96,5.614199622023442e-98,3.76,0.0,0.5853379587430162,0.9999999999997831,3.332956962827399e-46,1.9747065230106773e-49,3.754572884178344e-15,3.754572884178344e-15,2.1691658847536552e-13,3.342659401121581e-37,1.8508909284426396e-32,1.6710145835731288e-19,1.8445684854926684e-31,8.680284581985498e-35,1.66324387509686e-48,1.7669338051529742e-32,8.94667789776675e-35,1.2799299357212261e-38,1.248768178396701e-33,2.4013578000714807e-32,1.0579585894387476e-22,6.542180577565927e-33,8.576862617294242e-35,3.784099519752067e-41,4.2982026904853126e-35,1.7471417413315793e-39,2.4039713473308986e-47,5.777418556400718e-35,1.8750953681054536e-42,5.774573866217207e-21,1.073025591370839e-61,8.598549493946815e-66,2.0653974586986773e-48,3.0281463917911446e-51,1.863030390168805e-52,4.870404578036801e-37,4.943059484794098e-66,6.8101826647777324e-62,8.408437623356256e-54,2.209743112452919e-47,8.764982144935133e-45,8.452461960979247e-56,1.3231979273619885e-36,2.1928904786402525e-57,8.008562163486862e-67,2.370872903766502e-72,4.9993690184911525e-43,5.233495918768699e-72,4.0690243898887776e-50,9.645009315870307e-59,2.3000427813396396e-51,9.470451818074483e-68,8.673530365159338e-66,1.0579585892968834e-22,4.359945350948493e-65,4.908262077468522e-53,1.2701831825276608e-45
