Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58),S(463),C2HF(468),C2H2F3(68),S(165),S(464),S(130),C2H2F2(59),C2H3F2(65),C2H2F3(67),CF2(43),CHFCF2(55),CF2CH(73),C2HF2(72),S(179),C2H3F2(64),CHF2(82),CHF3(42),S(1244),S(1385),CF2O2(181),CF2O2(276),CH2F2(41),S(203),S(1542),CHO2(322),C2F(467),S(174),S(413),S(1894),C2H3F2(66),C2HF4(54),CHFO(47),S(2753),S(512),CF2CF2(61),C2HF3(169),C2HF4(69),C2HFO(577),S(3833),S(2867),F(37),S(344),CFO(51),C1OO1(180),CH2O2(318)
0.0,0.8205057939881706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5890809212707251,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.036882381044651e-23,0.8205057939881706,2.874096583065882e-25,3.3318558934102685e-26,6.265207315820515e-41,8.2106174596935e-41,0.0,0.0,5.899198357661097e-22,1.610328099171816e-40,8.320870163103744e-53,9.654473243680981e-53,6.876002221014268e-56,4.705628005161129e-64,2.780372927491111e-43,3.1289813775799086e-37,3.9233862733975304e-40,2.4004673746412583e-37,1.1940925661173446e-82,3.04726867947931e-60,1.0764954962726162e-88,6.636985961317709e-88,4.002474613571375e-23,4.497298097505917e-76,1.668344209169293e-58,8.159375885929131e-94,4.2194860267392676e-97,2.772870121887973e-77,2.1160081332740587e-95,4.660353508777391e-95,1.0459359952329016e-58,3.886431840450479e-111,4.995690632332235e-111,4.37342790734555e-112,3.76,0.0,0.5890809212707251,0.9999999999999994,1.3726359214332518e-53,2.97650086599634e-56,1.474824532019778e-17,1.474824532019778e-17,4.738828742623552e-16,3.33669583579602e-42,2.400467374641258e-37,5.902072454244164e-22,6.536195917186498e-36,5.81380886644674e-40,4.58528716509044e-55,2.377743526526844e-37,2.002015303346848e-39,2.7219730356457526e-43,4.485182511270848e-38,7.2119277128820766e-37,9.278729984892958e-25,9.778450207813982e-38,3.151125363683557e-39,7.261912452646286e-46,8.73933364408018e-40,6.795143055603089e-44,1.4029257364766018e-54,1.508859293788701e-39,1.6784270821932053e-46,4.002474613571406e-23,1.5901896857629397e-71,1.3630760700291456e-75,8.258499143142487e-53,4.235426313132262e-58,2.3518171805480027e-59,7.336337890005928e-42,7.049399257667546e-76,2.3080969681098174e-51,2.2086597419891603e-60,1.6658380334353477e-54,5.5142356754697386e-49,2.033100842850626e-62,4.652028362048e-41,3.165964729990733e-64,4.260974911916267e-76,7.631910919614414e-82,9.200477734578988e-48,4.241223345319044e-81,1.5903674526204544e-54,1.3060852206985973e-65,4.592545668918081e-58,5.6764490482427346e-77,4.787400848094641e-75,9.278729984889705e-25,1.5672442655521307e-74,9.511712109265083e-60,4.865525787422916e-50,1.2007477758555465e-56
2.5303270666925023e-22,0.8205057939881706,8.047470432585134e-25,9.329196501549413e-26,3.784185218759952e-40,4.959212945658037e-40,0.0,0.0,1.6517755401451063e-21,9.726381718997766e-40,9.878537819724001e-52,1.146179063494045e-51,8.17957782643592e-55,5.586521567727202e-63,1.679345248204613e-42,1.8899047520582353e-36,2.3697253091329086e-39,1.4498822942836651e-36,2.6767831558953603e-81,3.6177173762785997e-59,5.142548166102431e-87,3.1705678430015674e-86,1.120692891799975e-22,1.0060275952198901e-74,1.9806582451263607e-57,3.8978317732223595e-92,2.068814286002589e-95,8.718347322438356e-76,1.0111396181620485e-93,2.2263911363567452e-93,1.2417352135407676e-57,3.053735678373307e-109,3.984387520695138e-109,3.481128908266428e-110,3.76,0.0,0.5890809212707251,0.9999999999999987,1.6295933669129503e-52,3.5337018281119474e-55,4.1295086896553785e-17,4.1295086896553785e-17,1.3268720479342534e-15,2.0153642853896065e-41,1.4498822942836648e-36,1.6525802871883647e-21,3.947862333980645e-35,3.5115405553336424e-39,5.44365292239536e-54,1.4361570900221808e-36,1.209217243222089e-38,1.6440717135300547e-42,2.709050236807403e-37,4.356004338580791e-36,2.598044395771077e-24,5.906183925519634e-37,1.9032797196649484e-38,4.386209921664302e-45,5.2785575210244226e-39,4.104266405609131e-43,2.0384872384900686e-53,9.113510134483402e-39,1.0137699576496782e-45,1.1206928917999935e-22,4.31807481484307e-70,3.701359970703028e-74,4.988135129822961e-52,5.0282981189501224e-57,3.5540226216567085e-58,4.431148085564894e-41,1.9142265647193826e-74,2.740172720539508e-50,2.622120845689577e-59,2.517412250737666e-53,3.330598347984699e-48,2.4136973203664528e-61,2.8098251306781372e-40,3.758634320389463e-63,9.547214864532e-75,1.707228375922563e-80,5.557089907218682e-47,9.487474980775733e-80,9.605820865086941e-54,1.5505891654145005e-64,5.464333671449834e-57,1.2724828529868562e-75,1.0731859720403854e-73,2.5980443957691143e-24,4.9276667299785886e-73,1.1292304616122305e-58,2.9387776113114697e-49,1.4255277594956091e-55
5.783604723868577e-22,0.8205057939881706,1.8394218131626297e-24,2.132387771783035e-25,1.8219222874471438e-39,2.3876475572836157e-39,0.0,0.0,3.7754869489030965e-21,4.682834112391636e-39,9.698807344277354e-51,1.1253254012965948e-50,8.03793913411719e-54,5.484880002815528e-62,8.085324473143866e-42,9.099077846001923e-36,1.1409207283052012e-38,6.980559125461854e-36,5.294316024489723e-80,3.551896372803377e-58,2.6777141681720546e-85,1.6509081002717207e-84,2.5615837526856094e-22,1.9877409980062877e-73,1.9446220102095113e-56,2.0295929232724515e-90,1.0547263030960827e-93,1.9450153280759096e-74,5.264024798203643e-92,1.159241519826775e-91,1.219142996044281e-56,3.3311659982225855e-107,4.3437049507157434e-107,3.799844489708793e-108,3.76,0.0,0.5890809212707251,0.999999999999997,1.5999444314246734e-51,3.4694094094087193e-54,9.438877004926578e-17,9.438877004926578e-17,3.0328503952766846e-15,9.703111498864299e-41,6.980559125461849e-36,3.777326370716258e-21,1.9007257727178335e-34,1.6906556183624287e-38,5.344610719629381e-53,6.914478175139574e-36,5.821860502141363e-38,7.915497587658143e-42,1.304291074277278e-36,2.0972285789061344e-35,5.938387190338834e-24,2.8435733204322904e-36,9.163472557592983e-38,2.1117863416284586e-44,2.541398223698509e-38,1.9760276006066778e-42,2.164816240322306e-52,4.387762826337014e-38,4.880865955091226e-45,2.561583752685699e-22,9.265408664167495e-69,7.942107122337213e-73,2.401574021873086e-51,4.936812910585418e-56,3.8232403818195657e-57,2.133407058415695e-40,4.107407156762667e-73,2.6903178260273544e-49,2.5744137952627017e-58,2.7081164709403822e-52,1.6035397344280646e-47,2.3697823416026718e-60,1.3528098476852765e-39,3.6902515674050335e-62,1.8878713160379867e-73,3.3731974412978557e-79,2.67550095851503e-46,1.874577288940277e-78,4.624790728339091e-53,1.522387786589775e-63,5.370201335395828e-56,2.5167994241302358e-74,2.1226170789467567e-72,5.938387190329386e-24,1.0993353404015005e-71,1.1086851634567867e-57,1.4148949525445782e-48,1.3995916075369272e-54
1.2290160038220725e-21,0.8205057939881706,3.9087713529719245e-24,4.531324015040281e-25,7.956813291159597e-39,1.0427484173859783e-38,0.0,0.0,8.02290976641906e-21,2.0451166859481994e-38,8.578485393137444e-50,9.953375735581268e-50,7.112318074982589e-53,4.851314248200317e-61,3.531073617913414e-41,3.973806349526017e-35,4.982700567227256e-38,3.048593565799596e-35,9.425370102153117e-79,3.141612117800749e-57,1.0686054319366096e-83,6.588340845868208e-83,5.443365474456714e-22,3.537078901361234e-72,1.7199961458889174e-55,8.099572569389915e-89,4.1772279809473195e-92,3.642798450475256e-73,2.100599850448069e-90,4.626177927682536e-90,1.0783181736469985e-55,2.725892060619388e-105,3.553344847503631e-105,3.1100479155848377e-106,3.76,0.0,0.589080921270725,0.9999999999999936,1.4151327309727256e-50,3.068653332814694e-53,2.0057613635468976e-16,2.0057613635468976e-16,6.444807089956088e-15,4.237603720033482e-40,3.048593565799592e-35,8.02681853777203e-21,8.300968814826854e-34,7.383537260384431e-38,4.7272476557215664e-52,3.0197342786885873e-35,2.542559435259437e-37,3.456905755270409e-41,5.6961817893110356e-36,9.159148195360516e-35,1.2619072779491132e-23,1.2418631763923599e-35,4.001929211879357e-37,9.222858218982942e-44,1.1098953727981747e-37,8.629831681001356e-42,1.9796556572029462e-51,1.9162513031111053e-37,2.1316023944605713e-44,5.443365474457108e-22,1.708263599268739e-67,1.4642864648860134e-71,1.0488319445945433e-50,4.366555111783592e-55,3.5142111692805853e-56,9.317149120327895e-40,7.572827478622659e-72,2.3795556502394532e-48,2.277039847601427e-57,2.489225331490578e-51,7.003079307861701e-47,2.0960456432148397e-59,5.908076019818713e-39,3.2639894620996966e-61,3.3605854624492786e-72,6.002431278238315e-78,1.16846277336764e-45,3.335753423584035e-77,2.019768913124621e-52,1.3465528111527536e-62,4.75198162107453e-55,4.4806100644530064e-73,3.778854745328706e-71,1.2619072779449864e-23,2.0589334267731348e-70,9.806194716185581e-57,6.179218303500822e-48,1.237922926995408e-53
2.5303270666925023e-21,0.8205057939881708,8.047470432594766e-24,9.329196501559005e-25,3.3218129189088203e-38,4.3532693771736276e-38,0.0,0.0,1.6517755401450927e-20,8.537959581808898e-38,7.210733918034433e-49,8.366412041902636e-49,5.979462643557236e-52,4.0778219392234576e-60,1.4741537261555186e-40,1.6589859263924467e-34,2.080179402166523e-37,1.272727802039453e-34,1.5900798617995259e-77,2.6407142813464873e-56,3.7979910740727514e-82,2.341599525220454e-81,1.1206928917998277e-21,5.965800557476833e-71,1.4457603981655515e-54,2.87871494974596e-87,1.4798462868129713e-90,6.292028423219731e-72,7.465661111842247e-89,1.6442084611238666e-88,9.063913984959532e-55,1.9621031154509083e-103,2.5573240448285923e-103,2.238827443934852e-104,3.76,0.0,0.5890809212707248,0.9999999999999868,1.1895043285941387e-49,2.5793880264714665e-52,4.1295086896553773e-16,4.1295086896553773e-16,1.3268720479293056e-14,1.7691161398217952e-39,1.2727278020394496e-34,1.6525802871883515e-20,3.465491075292281e-33,3.0824814609874245e-37,3.9735364926726e-51,1.260679617764078e-34,1.0614685138425105e-36,1.4431901034996489e-40,2.3780437674731554e-35,3.823764073370328e-34,2.5980443957862847e-23,5.184534300182833e-35,1.6707266678261376e-36,3.850472446102999e-43,4.633594698091239e-37,3.602784848427648e-41,1.689751861482229e-50,7.999971975662786e-37,8.899020390462478e-44,1.1206928917999922e-21,2.928860739750815e-66,2.5105558302516994e-70,4.378679226432981e-50,3.670352676133521e-54,3.0064795712915655e-55,3.8897263492994735e-39,1.2983802441555792e-70,2.0001599030069536e-47,1.9139891938524418e-56,2.1295845742491147e-50,2.9236477551476737e-46,1.7618526576613472e-58,2.466505437573825e-38,2.743586107241332e-60,5.669093993141199e-71,1.0124000162839444e-76,4.878112204558757e-45,5.626381827363543e-76,8.432148466923012e-52,1.131889146132566e-61,3.995159245138141e-54,7.558883657424925e-72,6.375007636772201e-70,2.5980443957690564e-23,3.556295474169571e-69,8.242697526527244e-56,2.5797022706178825e-47,1.040548810590866e-52
5.132949192433362e-21,0.8205057939881709,1.632486859185745e-23,1.892494147461339e-24,1.3570689654874477e-37,1.7784525842768182e-37,0.0,0.0,3.35074466715144e-20,3.4880350759300567e-37,5.911795341121536e-48,6.85929006971713e-48,4.902774710865024e-51,3.343244797398767e-59,6.022398975860569e-40,6.777498823089622e-34,8.498211603724404e-37,5.199508352207309e-34,2.611993502657034e-76,2.1650171130921715e-55,1.2792679939313973e-80,7.887152098380607e-80,2.2734055805078792e-21,9.798845329867201e-70,1.1853217235861833e-53,9.696304775575506e-86,4.97703224462539e-89,1.0454299330490749e-70,2.5146092933967945e-87,5.538135021977095e-87,7.431144303513657e-54,1.3300613687668152e-101,1.733420988166069e-101,1.5177135053269998e-102,3.76,0.0,0.5890809212707243,0.9999999999999731,9.752275154329249e-49,2.1147381441731964e-51,8.377003341872332e-16,8.377003341872332e-16,2.6916547257879646e-14,7.227416713080372e-39,5.1995083522072784e-34,3.352377154010624e-20,1.4157661804462633e-32,1.2592942557055966e-36,3.257745287655922e-50,5.150287588194352e-34,4.336445227729098e-36,5.895902474132412e-40,9.715084726690683e-35,1.562132390321321e-33,5.270318631487476e-23,2.1180514288132204e-34,6.825463582762578e-36,1.5731340908340775e-42,1.892974624642281e-36,1.4718551667095513e-40,1.3956004626905317e-49,3.2682495847139226e-36,3.635540197683391e-43,2.273405580508551e-21,4.848719559751506e-65,4.156217123867889e-69,1.7888434054267026e-49,3.0091768772574705e-53,2.4858146394824225e-54,1.589080132342364e-38,2.1494643293782199e-69,1.6398519330515784e-46,1.569203979477054e-55,1.7607816674335644e-49,1.1944055042609773e-45,1.4444732526415725e-57,1.0076479513465704e-37,2.249367973191147e-59,9.312283372451464e-70,1.6628774514210743e-75,1.9928762894206943e-44,9.241829065704576e-75,3.444816647153673e-51,9.280409160504574e-61,3.2758041577220995e-53,1.2416831509966815e-70,1.0472101343035127e-68,5.2703186314170945e-23,5.908838119234494e-68,6.757861435083524e-55,1.053892769405808e-46,8.531047822325426e-52
1.0338193443915081e-20,0.8205057939881709,3.287966491045083e-23,3.8116431420789895e-24,5.485489735375316e-37,7.1887896959071044e-37,0.0,0.0,6.748682921164036e-20,1.409919546573632e-36,4.78752514922979e-47,5.554830938275047e-47,3.970573574366405e-50,2.7074463164067772e-58,2.434349955917113e-39,2.7395733871744012e-33,3.435113004978324e-36,2.1017244089647457e-33,4.2343803041014386e-75,1.7532869900534538e-54,4.198685648329891e-79,2.5886422921016633e-78,4.5788309579229415e-21,1.5884350540735338e-68,9.599042633107439e-53,3.1824243158440243e-84,1.6323257817368994e-87,1.7043146437828926e-69,8.253150611337594e-86,1.817669483927018e-85,6.0179333224552855e-53,8.75799198196493e-100,1.141356606274092e-99,9.993833740897105e-101,3.76,0.0,0.5890809212707234,0.9999999999999458,7.897645264889486e-48,1.7125697774587618e-50,1.6871992646306232e-15,1.6871992646306232e-15,5.42122008147034e-14,2.9214374189808526e-38,2.101724408964721e-33,6.751970887655071e-20,5.722753262900797e-32,5.0902687253813404e-36,2.638206596693903e-49,2.0818285891603557e-33,1.7528604948703506e-35,2.3832180474154457e-39,3.926992577359721e-34,6.314388885160223e-33,1.0614867102997256e-22,8.561502522550136e-34,2.758961509930182e-35,6.359590843927476e-42,7.651706093406598e-36,5.9494739144630916e-40,1.1342782459195806e-48,1.3210787369546914e-35,1.4695434754282012e-42,4.5788309579256566e-21,7.89040520577208e-64,6.763484013931611e-68,7.230872457505426e-49,2.4369094533738005e-52,2.0214228611923446e-53,6.423315967046574e-38,3.497860481520843e-68,1.327994611409755e-45,1.2707820669418094e-54,1.4318383935330915e-48,4.827978017281024e-45,1.1697718860116836e-56,4.0730741284456595e-37,1.8216132219156808e-58,1.509623572828839e-68,2.6956199489248093e-74,8.055591576361182e-44,1.4982959457524407e-73,1.392457133020497e-50,7.516322687693107e-60,2.6529632709958038e-52,2.012929204159542e-69,1.6976632569675482e-67,1.0614867102712762e-22,9.632897448103892e-67,5.472691399565417e-54,4.260004841334399e-46,6.908663708854109e-51
2.074868194687852e-20,0.8205057939881713,6.598925754790963e-23,7.649941131341386e-24,2.205691296707211e-36,2.8905807194042544e-36,0.0,0.0,1.3544559429188822e-19,5.6692244862579076e-36,3.853416748705219e-46,4.471011199642257e-46,3.195934745522067e-49,2.1791883379478052e-57,9.788414106134348e-39,1.1015704099001382e-32,1.3812438311576875e-35,8.45094141138172e-33,6.8195212018927384e-74,1.411197902135455e-53,1.3606090533603857e-77,8.388649290452263e-77,9.189681712748899e-21,2.5581256858965242e-67,7.72614460911605e-52,1.0312835250255273e-82,5.287761331418865e-86,2.752472702234699e-68,2.6744747677704563e-84,5.890263060158262e-84,4.843756286348152e-52,5.684974370395976e-98,7.408624862901038e-98,6.487251977354454e-99,3.76,0.0,0.5890809212707218,0.9999999999998912,6.356711988832059e-47,1.3784251471317807e-49,3.3861971255173975e-15,3.386197125517398e-15,1.088035079269533e-13,1.1746971590190298e-37,8.450941411381526e-33,1.3551158354943578e-19,2.301093917429169e-31,2.0467746666531396e-35,2.1234581878056096e-48,8.370941194853107e-33,7.048174956495655e-35,9.582814950927525e-39,1.5790264438079836e-33,2.538987999032403e-32,2.1303964046446387e-22,3.442542509460949e-33,1.1093662887925536e-34,2.557751639361361e-41,3.076717366732583e-35,2.3922572952568678e-39,9.145974721598529e-48,5.311999498127147e-35,5.908969683739484e-42,9.189681712759818e-21,1.2731581100214835e-62,1.0913234871641346e-66,2.907567475450297e-48,1.9614367343927168e-51,1.630350641226864e-52,2.582787099631695e-37,5.6439806620496196e-67,1.0688855961699824e-44,1.022835963017135e-53,1.1548295298721357e-47,1.9413087265687522e-44,9.415341745116e-56,1.6377651930626882e-36,1.466219710794953e-57,2.4312520501340227e-67,4.341289942078297e-73,3.2391718091121283e-43,2.4134607018910897e-72,5.599066521143637e-50,6.051089078347988e-59,2.1353884231730396e-51,3.2418462372976446e-68,2.734106709011668e-66,2.1303964045302467e-22,1.5557155109505225e-65,4.404898151834404e-53,1.712930629478348e-45,5.56069359301855e-50
4.1569658952805395e-20,0.8205057939881717,1.3220844282391543e-22,1.532653710997456e-23,8.845808620728682e-36,1.159252152964479e-35,0.0,0.0,2.713631244523679e-19,2.2736125812517384e-35,3.092124262452228e-45,3.587704915106465e-45,2.56456502066125e-48,1.7486614007112974e-56,3.9255918540748835e-38,4.417790033097645e-32,5.539405539599749e-35,3.389205483662885e-32,1.0946991827255569e-72,1.1323974423556355e-52,4.3813779471777485e-76,2.701278733712613e-75,1.8411383222384152e-20,4.1063582653577044e-66,6.199744473473943e-51,3.3208972723624805e-81,1.702442205869506e-84,4.424519480012768e-67,8.612222506453573e-83,1.8967580808906523e-82,3.886809370790309e-51,3.664143199861581e-96,4.775047397861569e-96,4.181258532782566e-97,3.76,0.0,0.5890809212707183,0.9999999999997821,5.100861039311085e-46,1.1060993704372052e-48,6.784192847290927e-15,6.784192847290928e-15,2.1798612214586254e-13,4.71106117862998e-37,3.389205483662728e-32,2.7149533289519047e-19,9.228415798300062e-31,8.208481855562924e-35,1.7039414649879792e-47,3.357121818621383e-32,2.826633395066743e-34,3.8431373972022865e-38,6.33260227644771e-33,1.0182477466263336e-31,4.268215793506296e-22,1.380613517770491e-32,4.449054994283401e-34,1.0262445407431092e-40,1.2339012736071554e-34,9.5940217251323e-39,7.345590796927875e-47,2.1303493837221694e-34,2.369761129842289e-41,1.841138322242794e-20,2.0456464174979496e-61,1.7534836908764666e-65,1.1661171089419976e-47,1.5739294523576793e-50,1.3095862464944014e-51,1.0358131449706127e-36,9.068464262651982e-66,8.577133748425359e-44,8.207614443641722e-53,9.276218781320957e-47,7.785516265401343e-44,7.555218677318014e-55,6.568170932932303e-36,1.176592170697988e-56,3.9027378325914827e-66,6.968979383352097e-72,1.2990959764284382e-42,3.8757482309925076e-71,2.2455223252797734e-49,4.857702111990838e-58,1.713535824889235e-50,5.2039498030363884e-67,4.3889046637848285e-65,4.268215793047534e-22,2.500767247449276e-64,3.5346533561681656e-52,6.869629332508682e-45,4.462106408105351e-49
