Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58),S(463),C2HF(468),C2H2F3(68),S(165),S(464),C2H2F2(59),S(162),S(130),C2H3F2(65),C2H2F3(67),CF2(43),CHFCF2(55),CF2CH(73),C2HF2(72),S(179),C2H3F2(64),CHF2(82),S(1228),CHF3(42),S(1335),CF2O2(181),CF2O2(276),CH2F2(41),S(203),S(1568),CHO2(322),S(174),CF2CF2(61),C2F(467),S(512),C2H3F2(66),S(413),S(1931),S(1325),C2HF3(169),F(37),C2HF4(69),C2HFO(577),S(4228),S(4234),CHFO(47),C2HF4(54),S(5148),C1OO1(180),CH2O2(318),CFO(51),C2H2O(623)
0.0,0.7573466059752766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.9750233542716189,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.322332529054063e-22,0.7573466059752766,7.640969691244135e-26,5.857624543594029e-28,1.8897125726960488e-41,4.647889076057898e-41,0.0,0.0,2.4054713932854944e-22,7.615530578034003e-41,3.805201474696754e-53,4.425852148639821e-53,6.962849426569412e-57,4.5194533565576664e-66,5.9683558295344e-45,5.384168186018266e-38,5.025939561902329e-42,6.91952624305939e-38,1.6673957767045536e-82,6.020736908618042e-64,5.46786292079481e-90,3.232212303324232e-89,2.5024635023133207e-24,3.2163953711060267e-77,1.9390727859331226e-60,1.4394985626808181e-95,2.9192932900633773e-100,6.3201831855275206e-80,2.099961259883023e-98,2.1304148880041477e-97,5.075214356420109e-60,3.7363435531002685e-113,2.7558846585628745e-112,3.781236028664006e-114,3.76,0.0,0.9750233542716189,0.9999999999999994,6.318551475128473e-54,6.240925176500488e-58,4.600151891509788e-18,4.600151891509788e-18,4.795390257369625e-16,1.9332974773653783e-42,6.919526243059388e-38,2.4062354902546187e-22,1.1839057532279808e-37,1.0487954695429709e-39,1.0990061230331681e-57,6.290507162640351e-38,1.243818381848965e-40,3.244695139696927e-44,1.9722267252603836e-38,5.556697032812167e-43,7.744463157427721e-40,3.0026836162805553e-26,1.8658774359556436e-38,4.970591113312252e-41,6.722074763531002e-47,6.839561103770528e-41,8.670190084509895e-46,1.2792396401169799e-55,1.0080700645238992e-40,2.1345035341535666e-49,5.179972814731779e-72,2.502463502313374e-24,3.657992851039e-76,9.267977139035126e-55,6.142296066331152e-60,1.5763551112240026e-61,1.3643729548091473e-42,2.489980495201177e-76,1.0550456475670087e-51,4.736735555825599e-56,3.5685169649748744e-83,5.598380895121975e-63,9.777158867812107e-49,8.188801974909146e-43,1.8249525721412007e-51,6.9125177462990026e-65,1.1255893881153159e-78,2.080037483695345e-56,3.002683616277435e-26,3.3630908364316274e-67,2.0827814477282825e-60,2.643886024369461e-78,3.04148797377621e-76,1.3739521464661634e-77,7.744175949796855e-66,9.754019625418649e-83,6.608973218258149e-52,6.038340968592935e-57,5.692595568263353e-62,6.750642111486871e-103
6.502531081351376e-22,0.7573466059752766,2.139471513548408e-25,1.6401348722067928e-27,1.1413863939102934e-40,2.807325001940314e-40,0.0,0.0,6.735319901199381e-22,4.599780469132537e-40,4.517535195867552e-52,5.254371670916685e-52,8.268132124532502e-56,5.3654950249050425e-65,3.604886921038676e-44,3.252037584354896e-37,3.0356674953920375e-41,4.179393850810118e-37,3.7328445655732877e-81,7.147818857917124e-63,2.612063731620694e-88,1.5440666038638444e-87,7.006897806477122e-24,7.19494778935268e-76,2.302067211461697e-59,6.875725389900406e-94,1.404681353525966e-98,1.9871667164631436e-78,1.0042637119807625e-96,1.0177293635640243e-95,6.025294483944883e-59,2.8864704202308268e-111,2.1339325496690078e-110,2.927688194420191e-112,3.76,0.0,0.9750233542716189,0.9999999999999987,7.501384314252532e-53,7.409226369548151e-57,1.2880425296227405e-17,1.2880425296227405e-17,1.342709272062553e-15,1.1677116765214106e-41,4.179393850810115e-37,6.7374593727129285e-22,7.150790749497004e-37,6.33472463603908e-39,1.3047400692649742e-56,3.799466326234692e-37,7.512663026376523e-40,1.959795864377038e-43,1.1912249420572776e-37,3.356245007820594e-42,4.677655747085734e-39,8.407514125595603e-26,1.1269899713172092e-37,3.0022370324409257e-40,4.060150273600021e-46,4.131094906677391e-40,5.236794811190064e-45,1.7139394577274248e-54,6.0887431897242194e-40,1.2892401346815324e-48,1.301033033125406e-70,7.006897806477448e-24,9.18763419105726e-75,5.597860268420361e-54,7.292133889945666e-59,2.3821799552056528e-60,8.240812647055091e-42,6.253984319916585e-75,1.2525501927909867e-50,7.156828963919749e-55,7.9826591502923e-82,6.6463977986888376e-62,5.905422072829988e-48,4.946036392851299e-42,1.102271353574336e-50,8.206541064948435e-64,3.539033130537025e-77,1.256342948583523e-55,8.407514125576764e-26,3.9926768552078787e-66,2.474723162421812e-59,5.918940011466601e-77,6.809062378806843e-75,3.074110405536391e-76,9.38101403780507e-65,2.2243600428462855e-81,3.991821135271294e-51,7.168718397912502e-56,6.75824945864625e-61,2.78781893059599e-101
1.4862928185946002e-21,0.7573466059752766,4.890220602396597e-25,3.7488797079034294e-27,5.495284161428302e-40,1.3516061433196519e-39,0.0,0.0,1.5395016917027138e-21,2.2145962920922855e-39,4.435342846158978e-51,5.158773264614185e-51,8.11850623675517e-55,5.2678748324029275e-64,1.7355978752284495e-43,1.565716108493905e-36,1.4615432246057432e-40,2.0121982314849743e-36,7.378313140827131e-80,7.017770940702522e-62,1.3600961696825825e-86,8.039922794409507e-86,1.601576641480403e-23,1.4216004379375849e-74,2.260183239289506e-58,3.579433122977393e-92,7.271360740574584e-97,4.433259630553456e-77,5.225674870595572e-95,5.299276181638673e-94,5.9156698538521804e-58,3.14600122692408e-109,2.325998833243601e-108,3.191291462529007e-110,3.76,0.0,0.9750233542716189,0.9999999999999969,7.364903603641061e-52,7.274422385749966e-56,2.9440972105662634e-17,2.9440972105662634e-17,3.0690497647099655e-15,5.622029067014021e-41,2.0121982314849723e-36,1.5399907137629524e-21,3.442797930386968e-36,3.0498972254302605e-38,1.2810015370074523e-55,1.8292794828956927e-36,3.617023854429696e-39,9.435573466240046e-43,5.735235317057284e-37,1.6158874971447217e-41,2.2520898861790664e-38,1.9217175144265893e-25,5.425971583759017e-37,1.4454478957516903e-39,1.9548050158757586e-45,1.9889443689764573e-39,2.5212912767946096e-44,1.7683028674316038e-53,2.9314677476353013e-39,6.207136278095404e-48,2.707817265523e-69,1.6015766414805593e-23,1.9122062129416238e-73,2.695130866695849e-53,7.159460294907285e-58,2.5626377750118164e-59,3.9675965525967565e-41,1.3016308032606833e-73,1.2297612068023497e-49,7.698533610955873e-54,1.5772516592775238e-80,6.525472771354258e-61,2.843224973766971e-47,2.3813036143128424e-41,5.306962079802368e-50,8.057230674367023e-63,7.895388232289286e-76,6.048753628941033e-55,1.9217175144175191e-25,3.920066462953081e-65,2.4305939947813665e-58,1.1699333335496175e-75,1.3458742666356976e-73,6.074534971249713e-75,9.292341225182138e-64,4.435868722611605e-80,1.9218913790343653e-50,7.038290232988728e-55,6.635289394379883e-60,1.103268133014728e-99
3.1583722395135257e-21,0.7573466059752766,1.0391718780093771e-24,7.96636937930413e-27,2.399934967353112e-39,5.90281912661435e-39,0.0,0.0,3.27144109486826e-21,9.671723834103152e-39,3.923010519656278e-50,4.56287653149689e-50,7.181046562828431e-54,4.6593756324752436e-63,7.579811903507096e-43,6.837893596241062e-36,6.38294324366293e-40,8.787798328719264e-36,1.3131619756107884e-78,6.207138923344767e-61,5.427786775049759e-85,3.2085221316341185e-84,3.403350363145505e-23,2.5296620234949507e-73,1.9991064793979038e-57,1.4283587091244647e-90,2.8957418797867667e-95,8.303004649724904e-76,2.0849385006255643e-93,2.114799245762572e-92,5.232342992913397e-57,2.5736719891293006e-107,1.9028917295984503e-106,2.610818030741728e-108,3.76,0.0,0.9750233542716189,0.9999999999999934,6.51417383305896e-51,6.434144220009038e-55,6.256206572453309e-17,6.256206572453309e-17,6.521730749989715e-15,2.455287799158228e-40,8.787798328719245e-36,3.272480266746263e-21,1.5035603065995351e-35,1.331970246318851e-37,1.133031352602257e-54,7.988944096551992e-36,1.5796493449614033e-38,4.120762827416513e-42,2.5047279410807795e-36,7.057005231701291e-41,9.835468209923747e-38,4.083649718176725e-25,2.3696643436636728e-36,6.312650713911597e-39,8.537300254307455e-45,8.686242601788439e-39,1.101114140959193e-43,1.5980183038537769e-52,1.2802489819451478e-38,2.7108194891708336e-47,4.929750695702234e-68,3.403350363146188e-23,3.4812910119873807e-72,1.1770363151439116e-52,6.332461552527315e-57,2.3555046345106303e-58,1.7327536526197654e-40,2.3697002894561305e-72,1.0877098608119956e-48,7.0761133008068e-53,2.806680568678068e-79,5.771706767635129e-60,1.2417272570529215e-46,1.0399778508230333e-40,2.3176897666356054e-49,7.126529273214243e-62,1.4787188359540075e-74,2.64165238480481e-54,4.083649718137115e-25,3.4673124751451423e-64,2.150188750946934e-57,2.082199464841309e-74,2.3953319367660457e-72,1.0809806173368487e-73,8.251551798530109e-63,7.926600567590673e-79,8.393416314557675e-50,6.225288004973864e-54,5.8688383270819835e-59,3.938196832181857e-98
6.5025310813513765e-21,0.7573466059752766,2.139471513549132e-24,1.640134872213525e-26,1.0019256060696611e-38,2.4643107881446337e-38,0.0,0.0,6.735319901199327e-21,4.037754312473596e-38,3.297526721238451e-49,3.835372658985002e-49,6.036229097144105e-53,3.916485967536539e-62,3.164422260817705e-42,2.854685972224963e-35,2.6647531557628898e-39,3.668732814100416e-35,2.215024058469144e-77,5.217474273282625e-60,1.929120431905972e-83,1.1403590186705856e-82,7.006897806474592e-23,4.2666447458153775e-72,1.6803694511473593e-56,5.0764635229045057e-89,1.0282781584369988e-93,1.4341375721131292e-74,7.409467205889049e-92,7.516323579244211e-91,4.398099557877416e-56,1.8523059897610768e-105,1.36955074442199e-104,1.8790716171882713e-106,3.76,0.0,0.9750233542716188,0.9999999999999866,5.47555561530845e-50,5.4082859032325e-54,1.2880425296227403e-16,1.2880425296227403e-16,1.3427092720488908e-14,1.0250343251018355e-39,3.6687328141004e-35,6.737459372712849e-21,6.277068303614753e-35,5.560713579510331e-37,9.523811221225423e-54,3.3352268976307846e-35,6.594725060681666e-38,1.720337363068579e-41,1.0456746097331385e-35,2.9461607668236173e-40,4.106114366059667e-37,8.407514125741306e-25,9.892882165436869e-36,2.635407408282688e-38,3.5642828137849097e-44,3.626335297219014e-38,4.596934784845075e-43,1.3567010498063325e-51,5.344787482103878e-38,1.131713774521476e-46,8.403808226132051e-67,7.006897806477444e-23,5.934600723231224e-71,4.913910445493918e-52,5.3228154943138575e-56,2.0151834311734254e-57,7.233905406507431e-40,4.039657989855518e-71,9.142856774445184e-48,6.0537007916142185e-52,4.734030608612424e-78,4.851467309618703e-59,5.184102359281031e-46,4.3417028071829726e-40,9.675898537639169e-49,5.990277237818824e-61,2.5541190577090224e-73,1.1028401762922305e-53,8.40751412557594e-25,2.914582766470178e-63,1.8075043083117527e-56,3.512226209006187e-73,4.040413874689287e-71,1.8232714793601245e-72,6.948866037543209e-62,1.3395976619626103e-77,3.504095894952991e-49,5.232729669914967e-53,4.933112237973425e-58,1.3307419593370812e-96
1.3190848765027078e-20,0.7573466059752768,4.340070784629919e-24,3.3271307407916345e-26,4.0931930211845097e-38,1.0067513654463078e-37,0.0,0.0,1.3663077513861358e-20,1.6495543853244483e-37,2.7035116343826392e-48,3.144470229826936e-48,4.9489157545758285e-52,3.210971820299634e-61,1.2927697460992542e-41,1.1662323657626732e-34,1.0886386129020846e-38,1.49879706237726e-34,3.638331065130961e-76,4.277600635811977e-59,6.497808912297435e-82,3.841043240317473e-81,1.42139926931283e-22,7.007976806988918e-71,1.3776683997162548e-55,1.70986992169865e-87,3.4620983546165015e-92,2.3828410254615744e-73,2.4955992845036884e-90,2.531704137788507e-89,3.605827739560237e-55,1.2555583642726118e-103,9.283343811490864e-103,1.2737111549381193e-104,3.76,0.0,0.9750233542716187,0.9999999999999728,4.489191312645947e-49,4.4340395384117e-53,2.612886274377558e-16,2.612886274377558e-16,2.7237816661246083e-14,4.1875996898630577e-39,1.498797062377246e-34,1.366741758464588e-20,2.5643872177219347e-34,2.2717329388433518e-36,7.80819584359814e-53,1.3625490134555938e-34,2.6941603679202136e-37,7.028139460399845e-41,4.2719219759837043e-35,1.203602804117671e-39,1.6774816977442688e-36,1.705524294112771e-24,4.0415651613774e-35,1.076649917511724e-37,1.456230444202655e-43,1.48147629332101e-37,1.877997854790628e-42,1.117665893569788e-50,2.1835200825597916e-37,4.6234200411446186e-46,1.38744510919165e-65,1.4213992693139954e-22,9.797858931179383e-70,2.0075054450896132e-51,4.363965733177318e-55,1.666192483895447e-56,2.9552863951273714e-39,6.669361758329861e-70,7.495866371770874e-47,5.005292204738256e-51,7.776164089282862e-77,3.977526013734543e-58,2.1179856954103423e-45,1.7737272630461547e-39,3.952920269484779e-48,4.9111911609256383e-60,4.2437070144726805e-72,4.5054808183857885e-53,1.705524294045213e-24,2.3897112792612517e-62,1.4819573879600828e-55,5.76907581002089e-72,6.636660784368678e-70,2.9947605852742986e-71,5.702284436791855e-61,2.2024323918011087e-76,1.4315455244229873e-48,4.290107931595999e-52,4.044463458818125e-57,4.375371388417461e-95
2.656748413237848e-20,0.7573466059752768,8.741269326796608e-24,6.701122477995394e-26,1.6545340637814595e-37,4.069449984894828e-37,0.0,0.0,2.7518592739185036e-20,6.667762566536277e-37,2.1893738148485134e-47,2.546473518876875e-47,4.0077804115285827e-51,2.60032823014119e-60,5.225582009827191e-41,4.714097686918534e-34,4.4004513318388807e-38,6.058377363268724e-34,5.898009276012124e-75,3.464111899258194e-58,2.132645947146016e-80,1.2606688515828689e-79,2.8628182466417846e-22,1.136023239852916e-69,1.1156715885873069e-54,5.6119283163451094e-86,1.1360698196548622e-90,3.884632269700421e-72,8.190627934012484e-89,8.309305449709168e-88,2.9200927909406847e-54,8.26717633786399e-102,6.112597058994299e-101,8.386735265206531e-103,3.76,0.0,0.9750233542716185,0.9999999999999452,3.635463515154913e-48,3.590800178558109e-52,5.262573763887195e-16,5.262573763887195e-16,5.485926454179555e-14,1.6926947577827172e-38,6.058377363268611e-34,2.752733400851138e-20,1.0365663144272518e-33,9.182707757628807e-36,6.323279435293357e-52,5.507640965227563e-34,1.0890226966733388e-36,2.840886340180168e-40,1.726779164848858e-34,4.865154973868671e-39,6.78064922850026e-36,3.435070057292948e-24,1.6336652572961229e-34,4.351991108109875e-37,5.887162061553924e-43,5.9883640452832476e-37,7.591167602305664e-42,9.072531635940929e-50,8.826137288524923e-37,1.8688603052734878e-45,2.254797537920706e-64,2.8628182466464955e-22,1.5922927724097986e-68,8.114760584928408e-51,3.5340525941340415e-54,1.3549199984104125e-55,1.1945740119133828e-38,1.0838670569544192e-68,6.0703469312243296e-46,4.070210733861846e-50,1.2607133062294455e-75,3.2211036902485553e-57,8.562132017612116e-45,7.169689192127699e-39,1.5978335747351272e-47,3.977209875127445e-59,6.918313489962365e-71,1.821202623046965e-52,3.435070057019868e-24,1.9355096835797444e-61,1.2001499147025974e-54,9.352107320894024e-71,1.0758528047255373e-68,4.85466130910544e-70,4.6199823525191364e-60,3.5719901163693385e-75,5.786600696561105e-48,3.474240631548451e-51,3.2753113688118003e-56,1.4191705053889488e-93
5.332075486708128e-20,0.7573466059752769,1.7543666411150432e-23,1.3449105952593083e-25,6.65280870216027e-37,1.636307940888327e-36,0.0,0.0,5.522962318983083e-20,2.681078002118989e-36,1.762198517424751e-46,2.0496234275768798e-46,3.225818382811437e-50,2.0929703830548455e-59,2.101183543202798e-40,1.8955179465496165e-33,1.769402126764769e-37,2.4360468921447304e-33,9.498656360470707e-74,2.788218627594919e-57,6.910966017306225e-79,4.085272383828633e-78,5.745656201292548e-22,1.8295304061954347e-68,8.979895557807662e-54,1.8185730268201142e-84,3.681142913163846e-89,6.273691492513841e-71,2.654193272335375e-87,2.6926796817704537e-86,2.3503447205568087e-53,5.366300039253795e-100,3.967747531332961e-99,5.443917295710567e-101,3.76,0.0,0.9750233542716179,0.9999999999998899,2.9261373151826573e-47,2.8901883764424525e-51,1.0561948742906462e-15,1.0561948742906462e-15,1.1010216029903501e-13,6.806251247460101e-38,2.43604689214464e-33,5.524716685624016e-20,4.167987560469232e-33,3.6923264023080807e-35,5.089525402401381e-51,2.214598208629801e-33,4.3789123667012794e-36,1.1423079027179987e-39,6.9433030753528875e-34,1.9562574173387666e-38,2.726469232376987e-35,6.894161584064886e-24,6.568896148379537e-34,1.74991648383163e-36,2.3678821431785122e-42,2.4078948448261553e-36,3.0523751115243047e-41,7.310904287131086e-49,3.548950984948599e-36,7.51460511227837e-45,3.635831300121633e-63,5.745656201311487e-22,2.567551100915358e-67,3.262992054665962e-50,2.8445129833134553e-53,1.092792040980651e-54,4.803329562941403e-38,1.747721338345117e-67,4.885943318343297e-45,3.2827685271808673e-49,2.030866853369594e-74,2.5926244796004873e-56,3.4435155451691387e-44,2.882900490961286e-38,6.424818529153661e-47,3.201204423220754e-58,1.1173094766121794e-69,7.323098206241232e-52,6.894161582966844e-24,1.558284369322186e-60,9.659940095270576e-54,1.5061429926864512e-69,1.7326449616708182e-67,7.818302647768019e-69,3.719503122625633e-59,5.754117018942851e-74,2.326818803692642e-47,2.796371112346149e-50,2.6362555353728222e-55,4.5720936918972515e-92
1.068272963364869e-19,0.7573466059752769,3.5148460579939887e-23,2.694507290254912e-25,2.6680738443070137e-36,6.562326700004244e-36,0.0,0.0,1.1065168409111614e-19,1.0752321929941183e-35,1.414053330848382e-45,1.6446937220953186e-45,2.5885193105808523e-49,1.679476921721176e-58,8.426685785519352e-40,7.601874756742613e-33,7.096093913736143e-37,9.769637586792761e-33,1.5247522544149483e-72,2.237369853006479e-56,2.2254411748169524e-77,1.3155228010870944e-76,1.1511332110565485e-21,2.9368014819940688e-67,7.205800651892794e-53,5.856085795319773e-83,1.1853293996642678e-87,1.008477584584241e-69,8.546879926993356e-86,8.670857358597462e-85,1.8860036188292358e-52,3.4587230301115046e-98,2.5573202578544844e-97,3.5087527684979387e-99,3.76,0.0,0.9750233542716168,0.9999999999997794,2.348040913740313e-46,2.31919415468354e-50,2.116069870094499e-15,2.116069870094499e-15,2.205879517980761e-13,2.729611226481629e-37,9.769637586792032e-33,1.1068683255168887e-19,1.671549429548065e-32,1.4807880306453187e-34,4.0840236083119184e-50,8.881529319837504e-33,1.7561397109591808e-35,4.5811655996247296e-39,2.7845750800385675e-33,7.845467201645747e-38,1.093436106480604e-34,1.3812344639255105e-23,2.634421156561364e-33,7.017947769545083e-36,9.501722046409727e-42,9.65673528504156e-36,1.2241389451911618e-40,5.869954490453726e-48,1.423288075672555e-35,3.013692765182938e-44,5.839953107547335e-62,1.1511332110641439e-21,4.124057689307086e-66,1.3086719381450656e-49,2.282542527822068e-52,8.777899867106755e-54,1.9263499891547964e-37,2.807228888687698e-66,3.9206618067619117e-44,2.6368966563084203e-48,3.261682778597901e-73,2.0804178670940563e-55,1.3815811889236457e-43,1.1561720379482168e-37,2.5766395875574352e-46,2.5687647944115257e-57,1.7960423514024667e-68,2.936988217277941e-51,1.3812344634851465e-23,1.2510955709633267e-59,7.751529330669754e-53,2.4177050127120714e-68,2.7812926327123047e-66,1.255012345610345e-67,2.9851879575204225e-58,9.238297099096712e-73,9.33200209976791e-47,2.243911708311707e-49,2.115429041729038e-54,1.4680109057119137e-90
