Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58),S(463),C2HF(468),C2H2F3(68),S(165),S(464),S(130),C2H2F2(59),C2H3F2(65),C2H2F3(67),CF2(43),CHFCF2(55),CF2CH(73),C2HF2(72),S(179),C2H3F2(64),CHF2(82),CHF3(42),S(1244),S(1385),CF2O2(181),CF2O2(276),CH2F2(41),S(203),S(1542),CHO2(322),C2F(467),S(174),S(413),S(1894),C2H3F2(66),C2HF4(54),CHFO(47),S(2753),S(512),CF2CF2(61),C2HF3(169),C2HF4(69),C2HFO(577),S(3833),S(2867),F(37),S(344),CFO(51),C1OO1(180),CH2O2(318),C2H2O(623),S(3850),S(970)
0.0,0.45765157784473043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6616097584592247,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2394555921113348e-20,0.45765157784473043,2.701316578362103e-30,3.7989292496337534e-35,3.6456847039227445e-45,6.363242864019046e-45,0.0,0.0,7.228858474189589e-25,9.362771822764403e-44,9.060935235762099e-56,1.0541966846673146e-55,9.510287922933734e-62,4.196987525631647e-75,6.641677743952049e-53,1.7363639673492664e-42,1.1153819889262456e-51,2.2877603149479618e-41,3.3057913738501675e-98,1.6016361853721796e-80,7.038547262736407e-98,3.507493742906972e-97,9.565411709986006e-31,1.0067513808768334e-84,1.8890270510052586e-69,5.125690197406258e-105,6.155335243843308e-116,5.175334255909536e-94,1.0140505518869384e-114,2.142880744435441e-109,1.3878468585323839e-67,2.1716824063331445e-121,2.002485370675617e-119,8.847563720080329e-126,3.76,0.0,0.6616097584592247,0.9999999999999994,1.5017341071779286e-56,2.5502421540707723e-67,1.4382812485100793e-21,1.4382812485100793e-21,4.821825380288123e-16,3.612496904619187e-45,2.2877603149479575e-41,7.2288854873553575e-25,4.1364638288268854e-46,1.4879355143744974e-39,5.7422378251127007e-70,1.5236080444543635e-41,1.0233388764528559e-46,1.5161038023535197e-49,1.8955382558087636e-48,9.92475437993064e-47,8.924662276702839e-34,7.869592883521143e-43,3.8161972631738003e-50,9.215171499720186e-52,5.635504525836216e-47,8.971855214127162e-56,7.990976586737535e-60,8.174830201997635e-48,5.565719849203877e-63,9.56541171000337e-31,4.796299337826165e-74,1.456727460862822e-78,1.3549462806650298e-64,2.3765434463271794e-69,1.838416802239122e-71,3.544910708467006e-47,1.5651651150292968e-78,2.5589933936078393e-54,4.455684743301228e-75,1.3897110781608394e-63,6.63558568040195e-63,3.943411136745845e-76,5.904904218304818e-52,1.2726530354716543e-73,6.155893225917941e-85,1.310246709241238e-87,3.360147355868196e-53,1.6667836781294178e-91,3.966980516147633e-65,2.7081382565447766e-75,1.1606889177532186e-70,6.452428161541997e-88,1.319871242682605e-85,8.92466227662728e-34,1.9171933456188375e-87,1.3709640430110499e-72,1.6206771406576815e-60,1.8820003702749999e-59,8.848490079368603e-121,1.316699316052919e-131,6.721428078454755e-57
3.4704756579117374e-20,0.45765157784473043,7.56368641941412e-30,1.0637001900188842e-34,2.2019935612134795e-44,3.843398689898276e-44,0.0,0.0,2.024080372773084e-24,5.655114180949697e-43,1.0757142311864056e-54,1.2515423046485977e-54,1.1290613911119421e-60,4.982663590414912e-74,4.011573357338938e-52,1.0487638362754751e-41,6.736907213169819e-51,1.3818072302497205e-40,7.553127886246008e-97,1.9014624793122198e-79,3.362398489962486e-96,1.6755718509040257e-95,2.6783152787904556e-30,2.2520625689958336e-83,2.24265291498324e-68,2.4486038795092266e-103,2.9416586237015638e-114,1.6272105871129413e-92,5.588230870099515e-113,1.0236798462014214e-107,1.647651790472305e-66,1.6757676363561872e-119,1.5452076088049044e-117,6.827177356586899e-124,3.76,0.0,0.6616097584592247,0.9999999999999987,1.7828587320393195e-55,3.027647485335578e-66,4.027187495828222e-21,4.027187495828222e-21,1.3501111064270677e-15,2.1819481305056041e-44,1.381807230249715e-40,2.0240879364594945e-24,2.4984241526114388e-45,8.987130506820328e-39,6.817184745973793e-69,9.202592588503805e-41,6.180966814028685e-46,9.15726696628552e-49,1.1449051065069647e-47,5.99455164547826e-46,2.498905437501367e-33,4.7532341016467173e-42,2.3049831469575394e-49,5.566849653793688e-51,3.403844733604604e-46,5.419000758974091e-55,9.495211332315115e-59,4.937597442006399e-47,3.361697276892886e-62,2.6783152788009437e-30,1.0738122822163338e-72,3.2613724230522507e-77,8.183883583080304e-64,2.821432379341287e-68,2.7782154693961303e-70,2.1411260679315636e-46,3.504146438242219e-77,3.038036956820452e-53,5.289788927247169e-74,2.1001310821263267e-62,4.007893750995442e-62,4.681617380839936e-75,3.566562147904934e-51,1.6272857771067674e-72,1.3770587276419852e-83,3.1466639654042096e-86,2.0549131476522178e-52,3.729047680206085e-90,2.3960607364326103e-64,3.215570451116425e-74,1.4085761562110165e-69,1.4740083710599523e-86,3.0151459447719935e-84,2.498905437455729e-33,6.027962629562358e-86,1.6276085118878875e-71,1.2378007243375816e-59,2.234310839555686e-58,3.727599820271565e-119,1.14537257365849e-129,7.97967941474007e-56
7.932515789512543e-20,0.45765157784473043,1.7288426101519083e-29,2.4313147206156347e-34,1.0601651119669474e-43,1.8504310249028964e-43,0.0,0.0,4.62646942348133e-24,2.7226940460598848e-42,1.05614261107029e-53,1.2287716575440638e-53,1.108519172962444e-59,4.892008659829807e-73,1.931399887929105e-51,5.049346416999441e-41,3.243530823880462e-50,6.652806996179903e-40,1.508028867541e-95,1.8668671377844351e-78,1.7507939227254447e-94,8.724667889328041e-94,6.1218634943516636e-30,4.4496961314597364e-82,2.2018499307424917e-67,1.2749832085831532e-101,1.5312153122513634e-112,3.630240741600896e-91,2.6698557218963385e-111,5.3302797360746e-106,1.6176742983742672e-65,1.826333554787315e-117,1.6840428493968538e-115,7.440591894361932e-122,3.76,0.0,0.6616097584592247,0.9999999999999969,1.7504212753147112e-54,2.9725622548554372e-65,9.204999990464508e-21,9.204999990464508e-21,3.08596824300915e-15,1.0505141000316843e-43,6.652806996179851e-40,4.626486711907387e-24,1.2028836814228584e-44,4.326916475798582e-38,6.69315240895134e-68,4.430652193272465e-40,2.9758694530978176e-45,4.4088298573474174e-48,5.51222524786896e-47,2.88611857368406e-45,5.711783857261819e-33,2.288477610527869e-41,1.109750164131787e-48,2.681100974062671e-50,1.6388047161124642e-45,2.609015810730105e-54,9.326102288023684e-58,2.3772406227406466e-46,1.61851499302478e-61,6.121863494402157e-30,2.122539198901028e-71,6.446555813074435e-76,3.94019585595042e-63,2.7700990406101015e-67,2.9886774245712813e-69,1.030860034048442e-45,6.926432390741806e-76,2.982762699369895e-52,5.1935461367917573e-73,2.259225080506597e-61,1.9296283159098825e-61,4.596439026805733e-74,1.7171461467562756e-50,1.6487690487955921e-71,2.720844866495007e-82,6.425569350424958e-85,1.0152070681482034e-51,7.370215201021893e-89,1.1536046911149165e-63,3.1580589619626315e-73,1.3963599142667432e-68,2.941920783258635e-85,6.017822350598001e-83,5.711783857042093e-33,1.3448053028799308e-84,1.597995688610195e-70,8.596605100054768e-59,2.1936596314846757e-57,1.4904476184908326e-117,1.190528131322368e-127,7.834496568242476e-55
1.6856596052714154e-19,0.45765157784473043,3.673790546573273e-29,5.1665437837520675e-34,4.630019574666091e-43,8.081318437781157e-43,0.0,0.0,9.831247524897802e-24,1.1890720214910753e-41,9.341461790448345e-53,1.0868346180058825e-52,9.804726565086434e-59,4.3269262593276753e-72,8.434930734693543e-51,2.2051822384796017e-40,1.4165351260220354e-49,2.9054556003026967e-39,2.697618205518812e-94,1.6512228419085136e-77,6.986958945411772e-93,3.4817859237304215e-92,1.3008959925384066e-29,7.917996520022373e-81,1.9475113286933751e-66,5.088125258210668e-100,6.109969555192834e-111,6.7991259781504665e-90,1.0318527077453723e-109,2.1271747177969384e-104,1.4308145974159594e-64,1.494054248131723e-115,1.3776516160768802e-113,6.086866169648374e-120,3.76,0.0,0.6616097584592247,0.9999999999999934,1.5482277951068644e-53,2.6291976513089456e-64,1.956062497973708e-20,1.956062497973708e-20,6.5576825153156036e-15,4.58787107058344e-43,2.9054556003026497e-39,9.831284262803075e-24,5.253309062610146e-44,1.889678103253073e-37,5.920017508178139e-67,1.934982216456188e-39,1.299640373477091e-44,1.9254518290948604e-47,2.4073335848534426e-46,1.2604438062514281e-44,1.2137540697175872e-32,9.994382962071035e-41,4.846570524239467e-48,1.1717001858066388e-49,7.157090747804688e-45,1.1394259371381403e-53,8.250280439660957e-57,1.0382034356534224e-45,7.068501705817737e-61,1.3008959925604585e-29,3.777648738617898e-70,1.1473438722733183e-74,1.7207942506049257e-62,2.450121230524865e-66,2.7471094578669987e-68,4.502036600024207e-45,1.2327512534200868e-74,2.638219828613192e-51,4.59363274295351e-72,2.0766170414635394e-60,8.427193814616758e-61,4.0654970577505644e-73,7.499228358003873e-50,1.47876085390221e-70,4.841605318032982e-81,1.1604145614538551e-83,4.660841384923661e-51,1.3122931709456507e-87,5.038135078039593e-63,2.7950335382488826e-72,1.2403908291888198e-67,5.258953494191652e-84,1.0757409942610196e-81,1.213754069621627e-32,2.5186714998103516e-83,1.4134090899418847e-69,6.071391818433178e-58,1.940267101512199e-56,5.348218748877522e-116,9.529809272564312e-126,6.929523491754508e-54
3.4704756579117377e-19,0.45765157784473043,7.563686419417487e-29,1.0637001917796658e-33,1.9329420306356243e-42,3.373791366932168e-42,0.0,0.0,2.0240803727730673e-23,4.96414162042965e-41,7.852061499961305e-52,9.135499870088975e-52,8.241463464141059e-58,3.637042237735033e-71,3.521417539730372e-50,9.206201754400107e-40,5.9137553060582825e-49,1.212970519271108e-38,4.566106232698278e-93,1.3879522924921663e-76,2.4832746414808727e-91,1.2374812502816842e-90,2.6783152787088816e-29,1.3354858451207562e-79,1.637000618309805e-65,1.8084008089061274e-98,2.1714725023400648e-109,1.1744098236090012e-88,3.6173495012662765e-108,7.560312113480764e-103,1.2026858823134497e-63,1.0752816942895065e-113,9.915058745407157e-112,4.3807617940342835e-118,3.76,0.0,0.6616097584592247,0.9999999999999865,1.3013787494778311e-52,2.2099990471120376e-63,4.0271874958282225e-20,4.0271874958282225e-20,1.3501111056497665e-14,1.9153458603644627e-42,1.2129705192710684e-38,2.024087936459407e-23,2.193153122044015e-43,7.88903409719074e-37,4.976131423437368e-66,8.078169851689354e-39,5.425742726376234e-44,8.038382361027359e-47,1.0050143832084876e-45,5.262104772241355e-44,2.4989054378576563e-32,4.172458146842176e-40,2.0233477889426153e-47,4.8982445772312144e-49,2.987944499591788e-44,4.75688055902614e-53,6.935432167585748e-56,4.334294973096641e-45,2.95097826947656e-60,2.6783152788009436e-29,6.37211963471956e-69,1.9353340984959415e-73,7.184037447492232e-62,2.0594745242580394e-65,2.3502099797586105e-67,1.8795116578732044e-44,2.0793988554848906e-73,2.2175827301703286e-50,3.86122510758836e-71,1.7765895843364235e-59,3.518187528204765e-60,3.4172932086818635e-72,3.130780217226292e-49,1.2513465642885616e-69,8.16608093570582e-80,1.9712090847727623e-82,2.1356589467549492e-50,2.21608335116401e-86,2.1033559099413107e-62,2.352365251520282e-71,1.0447350431956522e-66,8.889162971443003e-83,1.818315569303906e-80,2.4989054374570426e-32,4.3503786665645105e-82,1.1880555045362586e-68,4.471101700897585e-57,1.6309114084634264e-55,1.8136861629652334e-114,6.784763735900982e-124,5.824682029922932e-53
7.040107763192383e-19,0.45765157784473043,1.534347816511186e-28,2.1577918216972742e-33,7.89669890129847e-42,1.3783038576814295e-41,0.0,0.0,4.105991613339613e-23,2.02801382789803e-40,6.437594418902152e-51,7.489834800726967e-51,6.756849680168387e-57,2.981866967175916e-70,1.4386139659553124e-49,3.761033807425976e-39,2.4159620039468632e-48,4.955380355003803e-38,7.528577853472576e-92,1.1379271463046899e-75,8.364352908558629e-90,4.168177664326469e-89,5.433153850905811e-29,2.193539511312545e-78,1.3421120106012432e-64,6.091201406845233e-97,7.313954009524726e-108,1.951398744725167e-87,1.2106659948581498e-106,2.5465213380040798e-101,9.860345497679777e-63,7.288609458215456e-112,6.720749672939795e-110,2.9694229913129624e-116,3.76,0.0,0.6616097584592247,0.9999999999999726,1.06694892476114e-51,1.8118907415774324e-62,8.169437491537251e-20,8.169437491537251e-20,2.7387968125138394e-14,7.8248128082395e-42,4.955380355003477e-38,4.106006956817452e-23,8.959746111792187e-43,3.2229278415363956e-36,4.0797331861312296e-65,3.3001959686034246e-38,2.21659294284426e-43,3.2839414808516405e-46,4.1058116834315155e-45,2.149741497712299e-43,5.069208174766831e-32,1.7045852969415915e-39,8.266035919991579e-47,2.0065083562327506e-48,1.2206728223086615e-43,1.9433422028740108e-52,5.686314865633092e-55,1.770700921071371e-44,1.205585576052623e-59,5.433153851281914e-29,1.0466675438249185e-67,3.1789286819878365e-72,2.9349628948280998e-61,1.6884816417584454e-64,1.9431990632591236e-66,7.67841839303372e-44,3.415565644915733e-72,1.8181083021631622e-49,3.1656656285953835e-70,1.4689186174806238e-58,1.4372944011035673e-59,2.8017001028124592e-71,1.2790258738783412e-48,1.0296677916094688e-68,1.3412817234261666e-78,3.2501621837571696e-81,1.027633491013614e-49,3.6488235973672337e-85,8.593170524915071e-62,1.9334835822205093e-70,8.573773022374693e-66,1.4615795418655456e-81,2.9897222576936157e-79,5.06920817313019e-32,7.228219219942451e-81,9.740396821610775e-68,3.409051661825164e-56,1.3371197078135722e-54,5.986684732778937e-113,4.5742471331885264e-122,4.775426240581732e-52
1.417937197375367e-18,0.45765157784473043,3.0903061656524377e-28,4.345975093967254e-33,3.191971955438799e-41,5.571324566095801e-41,0.0,0.0,8.26981409447259e-23,8.197556143877471e-40,5.213330865782608e-50,6.06546251167932e-50,5.471872057684272e-56,2.414793179888674e-69,5.815107664574708e-49,1.520269998546447e-38,9.765704701775897e-48,2.0030439702156722e-37,1.2278139996025052e-90,9.21522906437105e-75,2.7452643757815424e-88,1.3680376448412643e-87,1.0942830994723586e-28,3.555822075456574e-77,1.0868771032733608e-63,1.999199484042357e-95,2.400488728151948e-106,3.1815960332816624e-86,3.961289321872359e-105,8.357938014041775e-100,7.985163434418089e-62,4.7991477563027686e-110,4.425243374560228e-108,1.955201437624529e-114,3.76,0.0,0.6616097584592247,0.9999999999999448,8.64042901704414e-51,1.4673160993523349e-61,1.645393748295531e-19,1.645393748295531e-19,5.516168220752631e-14,3.1629144504878597e-41,2.0030439702154083e-37,8.269844997532928e-23,3.621672632401722e-42,1.3027589637236539e-35,3.303873708354689e-64,1.3339919761005789e-37,8.959823089772751e-43,1.3274216526019086e-45,1.6596347286483767e-44,8.689598847854343e-43,1.0209813651101325e-31,6.89020630997606e-39,3.341263881432079e-46,8.154410909152232e-48,4.9341547165410594e-43,7.855310256717607e-52,4.605016379225366e-54,7.157456233681132e-44,4.873288205924533e-59,1.0942830996243854e-28,1.6967291487428935e-66,5.153289587929305e-71,1.1863986949440642e-60,1.3673762080095028e-63,1.5801772119783434e-65,3.1037394826761954e-43,5.536896423420316e-71,1.4723512395409968e-48,2.5636381014596523e-69,1.1945002204702761e-57,5.809773774477946e-59,2.2688839824921008e-70,5.170027083271712e-48,8.360068906100801e-68,2.1742758585895754e-77,5.282660934912026e-80,5.4081668762075504e-49,5.94375536484678e-84,3.47371950913409e-61,1.5736769559653547e-69,6.946616440728493e-65,2.370508045689001e-80,4.848973644033866e-78,1.020981364448576e-31,1.1783821636935486e-79,7.888025887063454e-67,2.6573550760539366e-55,1.0828342059710695e-53,1.9539815188937773e-111,3.003842500523849e-120,3.867263980885509e-51
2.8457900394876245e-18,0.45765157784473043,6.202222863944451e-28,8.72234168824626e-33,1.2834778862333872e-40,2.2402051056743015e-40,0.0,0.0,1.659745905673808e-22,3.2962012712912914e-39,4.1961422294300725e-49,4.8820120784714565e-49,4.404238678632363e-55,1.9436356330270335e-68,2.3382292158309332e-48,6.112938798868048e-38,3.9267469116516366e-47,8.054151715268028e-37,1.999669688168142e-89,7.41721806757037e-74,8.89619246352959e-87,4.4332073416647556e-86,2.19621852800548e-28,5.726541837739242e-76,8.7481324966576e-63,6.478564945805959e-94,7.77889850940921e-105,5.1393311843637804e-85,1.2817343069060995e-103,2.7084395177719477e-98,6.427154231455795e-61,3.1151678249936853e-108,2.8724632953902005e-106,1.2691379643128997e-112,3.76,0.0,0.6616097584592247,0.9999999999998893,6.954568971866798e-50,1.1810236509911487e-60,3.3022937465791424e-19,3.3022937465791424e-19,1.1070911015272796e-13,1.2717939938841537e-40,8.054151715265905e-37,1.6597521078961421e-22,1.4562586367938203e-41,5.238336495646958e-35,2.659244991000178e-63,5.363923064779971e-37,3.602705467375449e-42,5.3375040856792624e-45,6.673318249900689e-44,3.49404947848413e-42,2.049102461383488e-31,2.770521653011007e-38,1.3435075113338256e-45,3.3140632438601416e-47,1.984001910301604e-42,3.1585940360212876e-51,3.706554228143002e-53,2.8779816719198785e-43,1.959623090759077e-58,2.1962185286167734e-28,2.7325587390821906e-65,8.299301337705338e-70,4.770776776990036e-60,1.1005833274979602e-62,1.274470176317055e-64,1.2479999959369843e-42,8.917094795049763e-70,1.1850763673271825e-47,2.0634389755275687e-68,9.634076976431081e-57,2.3360844837021907e-58,1.8261865251972018e-69,2.0788451535184784e-47,6.748181882651716e-67,3.501604552636657e-76,8.53180975610247e-79,3.183312764677944e-48,9.665175471985156e-83,1.396946343222334e-60,1.2793362402760333e-68,5.592580982633151e-64,3.818609708000964e-79,7.811126362434895e-77,2.0491024587233986e-31,1.9030903420142314e-78,6.34896948322189e-66,2.0973717926696163e-54,8.71559172469272e-53,6.368722286125288e-110,1.947230105821466e-118,3.112710496140845e-50
5.7014957237121396e-18,0.45765157784473043,1.2426056260566514e-27,1.747507507576046e-32,5.147320387380584e-40,8.984224439784489e-40,0.0,0.0,3.3252748981267207e-22,1.3219241359928446e-38,3.367139873887681e-48,3.9175075006152134e-48,3.5341241770887755e-54,1.559645188955935e-67,9.377344951477353e-48,2.4515618651065107e-37,1.574801141382834e-46,3.230075075063391e-36,3.2803383809532114e-88,5.951850394803015e-73,2.8647157203338476e-85,1.427563400244392e-84,4.400089384149988e-28,9.192367903665631e-75,7.019825402951341e-62,2.0862269838112335e-92,2.50493158585491e-103,8.264684652458585e-84,4.124286642612211e-102,8.72160680689133e-97,5.157386512205332e-60,2.0078075050885327e-106,1.8513780596587978e-104,8.179927619430896e-111,3.76,0.0,0.6616097584592247,0.9999999999997782,5.580603614243305e-49,9.476971026387142e-60,6.616093743146365e-19,6.616093743146365e-19,2.2180396516483443e-13,5.100462774101433e-40,3.2300750750616876e-36,3.325287324180858e-22,5.840248461137708e-41,2.1008072250283275e-34,2.1338766318775112e-62,2.151173056281895e-36,1.4448460351472798e-41,2.1405778662217506e-44,2.676299089176785e-43,1.4012701160594688e-41,4.105344657956028e-31,1.1111030974652812e-37,5.388066019049453e-45,1.3573296039199035e-46,7.956735026701837e-42,1.2667441620007484e-50,2.9742908946828216e-52,1.1541993713104869e-42,7.85972974073852e-58,4.40008938660155e-28,4.3863849430406195e-64,1.3322286500507528e-68,1.9135513780664256e-59,8.831488019824702e-62,1.023723768755769e-63,5.005038170923013e-42,1.4313986936596714e-68,9.509491481987044e-47,1.655779827011131e-67,7.738614498839919e-56,9.368743629379001e-58,1.4653857272958249e-68,8.337098867390474e-47,5.439784371156112e-66,5.620851052976615e-75,1.3756671867058835e-77,2.085730350281403e-47,1.5813128144797295e-81,5.603815432359375e-60,1.0469753008464107e-67,4.4882303228578164e-63,6.130498754127456e-78,1.2540192475871067e-75,4.10534464728788e-31,3.0591621429972805e-77,5.0946481766986246e-65,1.6663803569344857e-53,6.993713455135989e-52,2.0914018649561777e-108,1.2542201279396612e-116,2.4977541414317487e-49
