Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58),S(463),C2HF(468),C2H2F3(68),S(165),S(464),S(130),C2H2F2(59),C2H3F2(65),C2H2F3(67),CF2(43),CHFCF2(55),CF2CH(73),C2HF2(72),S(179),C2H3F2(64),CHF2(82),CHF3(42),S(1244),S(1385),CF2O2(181),CF2O2(276),CH2F2(41),S(203),S(1542),CHO2(322),C2F(467),S(174),S(413),S(1894),C2H3F2(66),C2HF4(54),CHFO(47),S(2753),S(512),CF2CF2(61),C2HF3(169),C2HF4(69),C2HFO(577),S(3833),S(2867),F(37),S(344),CFO(51),C1OO1(180),CH2O2(318),C2H2O(623),S(3850),S(970),S(2764)
0.0,0.7624653782707768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7960240080854364,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8175722469995974e-22,0.7624653782707768,1.0683266206945308e-25,1.7787856292578863e-27,2.534311658675977e-41,5.058254036859527e-41,0.0,0.0,2.9490044294655746e-22,8.544566779193853e-41,4.754466665946861e-53,5.528603963479439e-53,1.288151496831823e-56,1.5670127244505979e-65,1.6407764941593766e-44,8.548809178520345e-38,1.6121914787952918e-41,9.545689920444287e-38,1.2479215631862264e-84,6.005641115540373e-63,1.2219755188860277e-89,7.306353888380531e-89,5.095153774376882e-24,5.9252464837731275e-77,6.413699732257e-60,4.213685229746938e-95,2.0272272472417016e-99,3.1899300087526505e-79,1.3872870919349118e-97,8.4506092869758e-97,1.0914634577777717e-59,1.2317587277057331e-112,6.044458776307888e-112,1.403482818399904e-113,3.76,0.0,0.7960240080854364,0.9999999999999994,7.876264919515049e-54,1.665953788711042e-57,6.056291436713658e-18,6.056291436713658e-18,4.846923175249153e-16,2.23559425566169e-42,9.545689920444283e-38,2.95007275608627e-22,3.4090036901516314e-37,8.821780017896844e-40,5.586311955615957e-57,8.846143102446788e-38,2.5943460705269114e-40,5.28696860870428e-44,2.2654277884474044e-39,5.164528090639756e-38,7.293043662150521e-26,2.888774561921915e-38,1.5016539733595574e-40,1.2602180519572597e-46,1.3561796221298747e-40,2.817496966955735e-45,2.3209671890040357e-55,1.933172780645273e-40,1.2761654620346595e-48,5.0951537743769675e-24,6.867731313019734e-72,5.1163625246204834e-76,3.1380530746149037e-54,1.9686017552906042e-59,6.072258247241359e-61,2.129906202078033e-42,3.2567274811330787e-76,1.318522589703963e-51,2.8465082229119616e-62,1.2390857904695696e-55,8.450156047527696e-51,3.2039729683232135e-64,2.4132928427752905e-42,1.974740473256205e-65,3.264070217690659e-77,1.6340903465106925e-82,1.7566833439335523e-48,1.2693547614980826e-82,6.58138678325977e-56,8.583942044815302e-67,1.0469193069369972e-59,2.385732707498285e-78,2.375622699202249e-76,7.293043662145064e-26,8.099641776632234e-76,2.294211962385491e-61,2.081195768182721e-51,7.366743468965166e-57,5.922503017502222e-105,1.8330745630581045e-117,1.8712857722796426e-55,1.5515612321094808e-83
5.089202291598873e-22,0.7624653782707768,2.9913145379447754e-25,4.9805997619230006e-27,1.5307242418426542e-40,3.0551854382648405e-40,0.0,0.0,8.257212402503606e-22,5.160918334633085e-40,5.644502845487729e-52,6.5635586254928264e-52,1.5299140767932248e-55,1.8603575064676887e-64,9.91029002472241e-44,5.163480743826116e-37,9.73763653193057e-41,5.765596711950865e-37,2.7999308820414693e-83,7.129897132373384e-62,5.837523690800605e-88,3.490332928883525e-87,1.4266430568254993e-23,1.3254539374346131e-75,7.614344322140154e-59,2.0129274340335677e-93,9.779010857913776e-98,1.002965033632775e-77,6.6318642024133904e-96,4.0369904123099376e-95,1.2957854170742815e-58,9.526443975168506e-111,4.6939858583905366e-110,1.0897292861456677e-111,3.76,0.0,0.7960240080854364,0.9999999999999987,9.350701716419232e-53,1.9778203379590525e-56,1.6957616022798242e-17,1.6957616022798242e-17,1.357138489069027e-15,1.3502989306772118e-41,5.7655967119508625e-37,8.260203717041548e-22,2.059038228851585e-36,5.328355130809328e-39,6.632069553707249e-56,5.343070433877742e-37,1.5669850265997193e-39,3.193329039657494e-43,1.3683183842220792e-38,3.1193749667464273e-37,2.0420522254039053e-25,1.7448198354008358e-37,9.069989999092429e-40,7.611748037386735e-46,8.191324917664431e-40,1.7017681680730204e-44,3.187583140949797e-54,1.1676363595097143e-39,7.70803939086899e-48,1.426643056825551e-23,1.7664452254300093e-70,1.3159766655475053e-74,1.8953847430473917e-53,2.3371240038803752e-58,9.176355983704368e-60,1.2864633460559987e-41,8.376610043939026e-75,1.5653500184959935e-50,3.379374562241101e-61,1.8725049580084996e-54,5.10389425271017e-50,3.8037567068600094e-63,1.4576288770375748e-41,2.3797675785986182e-64,7.30426620823041e-76,3.7080568015791777e-81,1.0610384340144973e-47,2.83950594879576e-81,3.975158497087219e-55,1.0190894007998434e-65,1.2468083916136483e-58,5.352809651969815e-77,5.330126075635459e-75,2.0420522254006093e-25,2.5466569688417915e-74,2.7236884417453317e-60,1.2570424163815899e-50,8.745797846354424e-56,2.4510963921853096e-103,1.5945540392412418e-115,2.2215904688502186e-54,3.47079278534896e-82
1.1632462380797423e-21,0.7624653782707768,6.837290372445619e-25,1.13842280272569e-26,7.369778303465194e-40,1.4709402739212795e-39,0.0,0.0,1.8873628348579646e-21,2.4847600193895687e-39,5.541806373766738e-51,6.444140779986738e-51,1.5023506647595507e-54,1.826510031619426e-63,4.771378045015128e-43,2.4859937091134572e-36,4.688252820347222e-40,2.775886628868901e-36,5.540271742405711e-82,7.000175284285416e-61,3.0395864833475306e-86,1.8174091197897442e-85,3.26089841560101e-23,2.6188736222814445e-74,7.475808407933129e-58,1.0481266861179875e-91,5.051791948672996e-96,2.2375598170094928e-76,3.451705715663421e-94,2.102038580231021e-93,1.2722098063873245e-57,1.0383585533847381e-108,5.11695402392181e-108,1.1880165137184615e-109,3.76,0.0,0.7960240080854364,0.9999999999999969,9.180574395825204e-52,1.9418357361256315e-55,3.876026519496741e-17,3.876026519496741e-17,3.102030832154309e-15,6.501108099253634e-41,2.775886628868898e-36,1.888046563895208e-21,9.913382730960945e-36,2.5653736292038527e-38,6.5114052154659146e-55,2.5724584141913516e-36,7.544358373113814e-39,1.5374504714113657e-42,6.587864008802759e-38,1.5018447687580633e-36,4.66754794378865e-25,8.400556426068921e-37,4.366809754530646e-39,3.66476060043904e-45,3.943770341153655e-39,8.193281180383629e-44,3.318945225214351e-53,5.621666446115996e-39,3.711089163861235e-47,3.2608984156012587e-23,3.712112277821887e-69,2.765471052925315e-73,9.125468630679244e-53,2.2946022059647745e-57,9.871491022450291e-59,6.193767235655916e-41,1.760310285479187e-73,1.5368699305572295e-49,3.317889984626243e-60,2.014354874108872e-53,2.4573053786262144e-49,3.73455088836425e-62,7.017855586810033e-41,2.3519642594649062e-63,1.4434573706330188e-74,7.377275501126738e-80,5.108460578338247e-47,5.610429012411699e-80,1.9138685965046776e-54,1.0005560685857199e-64,1.225835366561668e-57,1.0591696804581838e-75,1.0546812420762241e-73,4.667547943772782e-25,5.681451606082771e-73,2.674133463360403e-59,6.052119879863345e-50,8.586676187422627e-55,9.710784352555388e-102,1.6574118166029166e-113,2.1811706961686153e-53,6.857755148120078e-81
2.4718982559194526e-21,0.7624653782707768,1.4529242041448732e-24,2.4191484557939387e-26,3.218575806555121e-39,6.423982626837731e-39,0.0,0.0,4.010646024073166e-21,1.0851599809576148e-38,4.901664982059814e-50,5.699769542514484e-50,1.3289201534256998e-53,1.6155274383991883e-62,2.0837861475820583e-42,1.0856987656718168e-35,2.0474831780808844e-39,1.2123026199002168e-35,9.86517518181165e-81,6.191575764501457e-60,1.213019173473276e-84,7.252802709844438e-84,6.92940913315159e-23,4.6601456849765245e-73,6.612267875997832e-57,4.182797853262395e-90,2.0103484681746333e-94,4.190701901731987e-75,1.3772760599089309e-92,8.38866437547054e-92,1.125255166433805e-56,8.49472819063013e-107,4.1862651776871805e-106,9.719687638787361e-108,3.76,0.0,0.7960240080854364,0.9999999999999934,8.120114087100789e-51,1.7175317180180226e-54,8.236556353930576e-17,8.236556353930576e-17,6.591815518313105e-15,2.839204708571648e-40,1.2123026199002144e-35,4.0120989482773035e-21,4.329434686492572e-35,1.1203660622723315e-37,5.759264173761734e-54,1.123460174010562e-35,3.2948195095912554e-38,6.714450133056084e-42,2.8770932913258345e-37,6.558950675112721e-36,9.91853938058629e-25,3.668743693640825e-36,1.9071005461677267e-38,1.6005249815112934e-44,1.722348120104919e-38,3.5782211485260117e-43,3.010771511824579e-52,2.455129431419024e-38,1.6207301370549319e-46,6.929409133152674e-23,6.78558981872713e-68,5.055168275167648e-72,3.985338037449654e-52,2.0295496656302993e-56,9.073595881973552e-58,2.7049808766525307e-40,3.217775394965266e-72,1.3593440490776082e-48,2.9346361174934425e-59,1.85153898635171e-52,1.0731698180413507e-48,3.303167964044576e-61,3.064881910344759e-40,2.0864421707998193e-62,2.5687642023437362e-73,1.3168693747031395e-78,2.2310141081144042e-46,9.98361508509572e-79,8.358374853742761e-54,8.849948351205803e-64,1.0849172089844728e-56,1.885989382735114e-74,1.87799713438582e-72,9.918539380516988e-25,1.0640730079765448e-71,2.365240764749002e-58,2.643121297779461e-49,7.594817846757672e-54,3.468081175029751e-100,1.3267046849202983e-111,1.9292207797882957e-52,1.2203200075137844e-79
5.089202291598873e-21,0.7624653782707768,2.991314537946065e-24,4.98059976193631e-26,1.343692041462969e-38,2.6818862903664404e-38,0.0,0.0,8.257212402503538e-21,4.530329306328543e-38,4.120144766248755e-49,4.7909997376788194e-49,1.1170802844447843e-52,1.3579481548045704e-61,8.699396972029867e-42,4.532578626449088e-35,8.547839220670406e-39,5.061124795853546e-35,1.6644307557425435e-79,5.20439250051265e-59,4.3112601301831315e-83,2.577759679209261e-82,1.4266430568250978e-22,7.860016838950765e-72,5.558009568832885e-56,1.4866317794113985e-88,7.136524412794118e-93,7.238395381334655e-74,4.8947437496223324e-91,2.9814597242470154e-90,9.458447691007332e-56,6.113819059013472e-105,3.012974037101221e-104,6.995648618002357e-106,3.76,0.0,0.7960240080854363,0.9999999999999865,6.8254451640582065e-50,1.4436888980517664e-53,1.6957616022798244e-16,1.6957616022798244e-16,1.3571384890583625e-14,1.1853120778302345e-39,5.061124795853526e-35,8.260203717041452e-21,1.807453756518395e-34,4.677307765483798e-37,4.841008559745331e-53,4.6902250729156643e-35,1.3755222866131547e-37,2.803150756336487e-41,1.2011298134326813e-36,2.7382327936574064e-35,2.0420522254294168e-24,1.531628272730993e-35,7.961769366762169e-38,6.68210861120755e-44,7.190464356532394e-38,1.493836892322936e-42,2.5605513969864548e-51,1.0249682082976977e-37,6.766229282135939e-46,1.4266430568255502e-22,1.1588949223932063e-66,8.633602976945454e-71,1.663805309580527e-51,1.7059587834993082e-55,7.762650372514593e-57,1.1292762683538586e-39,5.495562900545703e-71,1.1426105798695075e-47,2.4667384818441667e-58,1.5840305135485802e-51,4.4802727364471816e-48,2.776511697395723e-60,1.2795278652575844e-39,1.7562261551526292e-61,4.33276344291687e-72,2.2243965533280566e-77,9.314171441404831e-46,1.6839353955959202e-77,3.4894635474574824e-53,7.439155797346273e-63,9.122077803183527e-56,3.181999527290402e-73,3.168515182848606e-71,2.042052225400485e-24,1.837921505011855e-70,1.9881273792264146e-57,1.1034524012590619e-48,6.383902022297638e-53,1.1721673441007357e-98,9.44548407939886e-110,1.621626309683141e-51,2.0583125822441175e-78
1.0323810362957715e-20,0.7624653782707768,6.0680952055507256e-24,1.0103502374244552e-25,5.489420425437623e-38,1.0956380574198335e-37,0.0,0.0,1.675034515936416e-20,1.8507873426404725e-37,3.3779436085710014e-48,3.927951045481247e-48,9.158669489527876e-52,1.1133279410799588e-60,3.5539875174063106e-41,1.8517062633021894e-34,3.4920712308125295e-38,2.0676346195566286e-34,2.734252462645797e-78,4.2668754081088656e-58,1.45215114794378e-81,8.682604538451865e-81,2.8940473438442656e-22,1.2910101260211937e-70,4.556792045371455e-55,5.007385125406807e-87,2.4024411631903902e-91,1.2026702185628158e-72,1.6486362559048236e-89,1.0042372822062428e-88,7.754606872478656e-55,4.144178562669885e-103,2.0423203200863976e-102,4.74198189742062e-104,3.76,0.0,0.796024008085436,0.9999999999999725,5.595912321629504e-49,1.1836233826457142e-52,3.439973536053357e-16,3.439973536053357e-16,2.753052363493638e-14,4.842386610922925e-39,2.0676346195566115e-34,1.6756413254569572e-20,7.384038353016039e-34,1.910832838992202e-36,3.968951298696872e-52,1.9161099805610091e-34,5.619457362771288e-37,1.14517854852103e-40,4.907007206870558e-36,1.1186574425451094e-34,4.1424488002160324e-24,6.257201252105289e-35,3.25264257246403e-37,2.7300488923663705e-43,2.937539308718023e-37,6.102811134055576e-42,2.1111599321185723e-50,4.187329569785274e-37,2.7642254394372513e-45,2.894047343846114e-22,1.915000320470449e-65,1.4266481065850624e-69,6.797229502825088e-51,1.3986480803945616e-54,6.418308685800392e-56,4.613462030051425e-39,9.081068966883831e-70,9.367811869948154e-47,2.0223812414777718e-57,1.3097070330308226e-50,1.830337600559327e-47,2.2763520275148323e-59,5.227288829318452e-39,1.4408414880823733e-60,7.11671055172252e-71,3.656237549966027e-76,3.805246501543033e-45,2.7660423634961436e-76,1.4255650955583917e-52,6.099464528850399e-62,7.479902944783839e-55,5.227245098725184e-72,5.205093626770941e-70,4.1424488000978364e-24,3.0537340690222415e-69,1.6299869430994318e-56,4.5079736437815083e-48,5.2339085769834355e-52,3.8544411696243176e-97,6.3680775509527434e-108,1.3295072232113642e-50,3.3809965718831585e-77
2.0793026505675397e-20,0.7624653782707769,1.2221656540769152e-23,2.0349307598955026e-25,2.2189115043600215e-37,4.428744205628081e-37,0.0,0.0,3.3736610673084904e-20,7.481178354389346e-37,2.7355463135356077e-47,3.1809565964811655e-47,7.416995984807457e-51,9.016018316616315e-60,1.4365785779060608e-40,7.48489277861842e-34,1.411551024944349e-37,8.357709718701108e-34,4.432678710730495e-77,3.455426331763352e-57,4.766105470485676e-80,2.849717747861065e-79,5.828855917879763e-22,2.0927830477100686e-69,3.6902083412316606e-54,1.6434739147690635e-85,7.88293778084648e-90,1.960655994606531e-71,5.410913155861642e-88,3.296006578165599e-87,6.279881697176248e-54,2.728723866603642e-101,1.3447645169468296e-100,3.122367163428054e-102,3.76,0.0,0.7960240080854357,0.9999999999999446,4.5317148819204126e-48,9.585289027969625e-52,6.928397403600421e-16,6.928397403600421e-16,5.5448801122888747e-14,1.9573701035064915e-38,8.35770971870097e-34,3.3748832329625123e-20,2.9847463629048793e-33,7.723891851073962e-36,3.2141596636958527e-51,7.74522290104977e-34,2.2714745134950707e-36,4.62899479142407e-40,1.9834907693046943e-35,4.521792240704901e-34,8.343241949969428e-24,2.5292607901415634e-34,1.3147701330738362e-36,1.1036826100897234e-42,1.1874003557964268e-36,2.466853837509476e-41,1.7144052522528403e-49,1.6925855617454352e-36,1.11734411963952e-44,5.828855917887237e-22,3.1135004038583326e-64,2.3195136880749344e-68,2.7475827397500664e-50,1.1326614778931781e-53,5.219261731252177e-55,1.8648351155011858e-38,1.4764442383199368e-68,7.586296929115335e-46,1.637776763123546e-56,1.0650319972178773e-49,7.398517227435057e-47,1.8434488712112908e-58,2.112953722032455e-38,1.167234934800993e-59,1.1536601274560976e-69,5.929107170488281e-75,1.538225196054805e-44,4.48443611668868e-75,5.7624055239029725e-52,4.940144537725832e-61,6.057847142411311e-54,8.474230118642447e-71,8.438318913658083e-69,8.343241949491656e-24,4.978357255202245e-68,1.3200056868078854e-55,1.8222035418829249e-47,4.2385548638675037e-51,1.2502773106252961e-95,4.1818118823654436e-106,1.0766694191561523e-49,5.4814283893096237e-76
4.173145879111076e-20,0.762465378270777,2.4528779211242436e-23,4.084091804875194e-25,8.922145568697329e-37,1.7807785668254e-36,0.0,0.0,6.770914170052446e-20,3.0081489128820883e-36,2.2018056603654386e-46,2.5603106071736714e-46,5.969870786156811e-50,7.256875917062376e-59,5.776419278730061e-40,3.0096424665212465e-33,5.67578458931025e-37,3.360598319443379e-33,7.138968657422443e-76,2.781227727198588e-56,1.5444848210991428e-78,9.234679830816546e-78,1.169847306593941e-21,3.370362581516356e-68,2.970200714018679e-53,5.325774921359279e-84,2.5541763416167367e-88,3.1664646686578496e-70,1.7534264888893807e-86,1.0680904155292798e-85,5.05459512738102e-53,1.771241389555011e-99,8.729010594970044e-99,2.026765919970091e-100,3.76,0.0,0.796024008085435,0.9999999999998888,3.647518387266447e-47,7.715074511362097e-51,1.3905245138694544e-15,1.3905245138694544e-15,1.1128535609578092e-13,7.870499196613855e-38,3.3605983194432674e-33,6.773367047973345e-20,1.2001533851326412e-32,3.1057429423917935e-35,2.587035322913093e-50,3.11432006377963e-33,9.133499116246504e-36,1.8612984465770892e-39,7.975529146220143e-35,1.8181927724232595e-33,1.6744828250196863e-23,1.0170046396228212e-33,5.286632879426592e-36,4.439091250063089e-42,4.7744846068919614e-36,9.919110797071685e-41,1.3817931558396336e-48,6.805812101148796e-36,4.492791569380007e-44,1.169847306596946e-21,5.021555063168127e-63,3.740987375468509e-67,1.1048181947474038e-49,9.11664496712882e-53,4.209523547904968e-54,7.498419981346494e-38,2.381257452541168e-67,6.106111761319239e-45,1.3182252223205406e-55,8.589868847988063e-49,2.9749112374274513e-46,1.4837679972601258e-57,8.496093985728024e-38,9.39674104547219e-59,1.8579426096045894e-68,9.550595482497745e-74,6.185809130513421e-44,7.223857091570761e-74,2.3170728832569923e-51,3.9772884047671577e-60,4.876053287503463e-53,1.364799857996847e-69,1.3590162521137241e-67,1.6744828248275762e-23,8.04006026505949e-67,1.0624554146755674e-54,7.327068806303216e-47,3.4115577003521695e-50,4.028097190120465e-94,2.7108277183280318e-104,8.66597216654706e-49,8.829885031587305e-75
8.360832336198148e-20,0.7624653782707771,4.9143024552334706e-23,8.182413894984963e-25,3.578179426514683e-36,7.141718526187912e-36,0.0,0.0,1.356542037553957e-19,1.206402256814132e-35,1.7668103775930594e-45,2.054488021703388e-45,4.790456190569912e-49,5.8231859013340824e-58,2.3166024874303287e-39,1.2070012386188615e-32,2.2762434762070606e-36,1.3477502326076203e-32,1.145986672933521e-74,2.2317600956310114e-55,4.9734872174939124e-77,2.9737140481236506e-76,2.34377073620133e-21,5.410178366327743e-67,2.3833990164941332e-52,1.7149843786658178e-82,8.224317770122194e-87,5.089999475325335e-69,5.646293387465707e-85,3.4394211377870776e-84,4.0559942626552936e-52,1.1416127007271505e-97,5.626085997965637e-97,1.306307314545653e-98,3.76,0.0,0.7960240080854336,0.9999999999997771,2.926903793096056e-46,6.190861417513867e-50,2.7858940608882764e-15,2.7858940608882764e-15,2.229584660295149e-13,3.1564222736715033e-37,1.3477502326075308e-32,1.3570334677993908e-19,4.813151856102939e-32,1.2455418276355964e-34,2.0759329208434154e-49,1.2489816369412124e-32,3.6629416517973874e-35,7.464639256884861e-39,3.1985439018451113e-34,7.291766224015155e-33,3.35480008535343e-23,4.078643471329886e-33,2.1201762351070915e-35,1.7812623241889295e-41,1.914781871406513e-35,3.9780070828212095e-40,1.10955772006506e-47,2.729435049936953e-35,1.801810369861373e-43,2.343770736213381e-21,8.066593532388615e-62,6.009497892112086e-66,4.431033748219351e-49,7.315533439601297e-52,3.3813181899406524e-53,3.0072017878266785e-37,3.825236549779313e-66,4.899770138732261e-44,1.0577927219883717e-54,6.899849777913019e-48,1.1930724624752089e-45,1.1906303240582865e-56,3.4073136857821405e-37,7.541347700821517e-58,2.982416191005478e-67,1.5333026352459586e-72,2.4813261529882184e-43,1.160170450459712e-72,9.292779057891361e-51,3.193176964525451e-59,3.9127939873660284e-52,2.1908469978847816e-68,2.181562856067423e-66,3.354800084582985e-23,1.2924162057231402e-65,8.5255355922562e-54,2.9385372520063614e-46,2.737560202088873e-49,1.2933664445435908e-92,1.7460354657425124e-102,6.953896899715056e-48,1.4181027620920712e-73
