Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58),S(463),C2HF(468),C2H2F3(68),S(165),S(464),C2H2F2(59),S(162),S(130),C2H3F2(65),C2H2F3(67),CF2(43),CHFCF2(55),CF2CH(73),C2HF2(72),S(179),C2H3F2(64),CHF2(82),S(1228),CHF3(42),S(1335),CF2O2(181),CF2O2(276),CH2F2(41),S(203),S(1568),CHO2(322),S(174),CF2CF2(61),C2F(467),S(512),C2H3F2(66),S(413),S(1931),S(1325),C2HF3(169),F(37),C2HF4(69),C2HFO(577),S(4228),S(4234),CHFO(47),C2HF4(54),S(5148),C1OO1(180),CH2O2(318),CFO(51),C2H2O(623),S(1319),S(2245),S(344)
0.0,0.7665258172012082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,1.005454462389562,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.254186471029407e-22,0.7665258172012082,8.809869308404281e-26,7.244141311415917e-28,2.1673902385230673e-41,5.494986088358981e-41,0.0,0.0,2.6757040379616383e-22,8.939624139720841e-41,4.323314707001916e-53,5.028285368634075e-53,8.482077602898025e-57,6.158032046424226e-66,7.7798388087315e-45,6.364758190593591e-38,6.814273921144747e-42,7.976508252846089e-38,2.336176415038667e-82,1.0131739263534082e-63,7.501662800158201e-90,4.443492666405973e-89,3.0828754161082577e-24,4.4895818094807986e-77,2.673561704336089e-60,2.0721496753731767e-95,4.957954363134949e-100,1.0113305669706624e-79,3.5819868291134614e-98,3.271193971384581e-97,6.792991458987144e-60,5.542217325395823e-113,3.779441488826187e-112,5.7662153937208294e-114,3.76,0.0,1.005454462389562,0.9999999999999994,7.180495150904327e-54,8.778598587320482e-58,5.242553667977398e-18,5.242553667977398e-18,4.872833172412682e-16,2.1609595986915895e-42,7.976508252846088e-38,2.6765850248924783e-22,1.573337564129548e-37,1.0942163633573483e-39,1.6399449715343325e-57,7.277040337581993e-38,1.5434077300528968e-40,4.071080055802086e-44,2.579131420602424e-38,7.332750220475426e-43,1.0322303527473282e-39,3.8170511234313995e-26,2.1960213437749802e-38,6.666514513828079e-41,8.090082270443814e-47,8.415763488334812e-41,1.1789320790229874e-45,1.5581456403840003e-55,1.317020895704471e-40,3.233621678768498e-49,5.986187832417085e-72,3.0828754161083213e-24,4.268013261167092e-76,1.255241130482227e-54,8.355661457078037e-60,2.214006125235187e-61,1.6083744580103605e-42,2.8717861226852106e-76,1.1987318405754028e-51,6.209239982989586e-56,5.240257045803397e-83,8.264372478003698e-63,1.1674982498643787e-48,1.0936682241142068e-42,2.611369692559294e-51,1.0030912192628391e-64,1.7162946178607489e-78,2.779627556783124e-56,3.817051123427385e-26,4.58750996484619e-67,2.8743644454620927e-60,3.4784381104823352e-78,3.9595488121108157e-76,1.8765047502896753e-77,1.0559578661775253e-65,1.2378972671680632e-82,8.826452141300412e-52,6.831895243437405e-57,8.062302917035741e-62,1.043603782065383e-102,3.2072237854493126e-78,1.6781942218162052e-94,3.9706357509650225e-76
6.31172211888234e-22,0.7665258172012082,2.4667634063532587e-25,2.0283595671970273e-27,1.3091037040700701e-40,3.3189715973703556e-40,0.0,0.0,7.491971306292583e-22,5.399532980391385e-40,5.132639227326368e-52,5.9695803896991034e-52,1.0072444215611595e-55,7.3108156455145526e-65,4.6990226404737e-44,3.844313947118375e-37,4.1158214483755884e-41,4.817810984721568e-37,5.230134690179547e-81,1.2028400853677341e-62,3.5836343395927686e-88,2.1227097686867008e-87,8.632051165102917e-24,1.0043014924540726e-75,3.1740524553904423e-59,9.897556483122175e-94,2.3865712879901935e-98,3.1797851154501507e-78,1.7129677714869333e-96,1.5626970289790148e-95,8.064639460113368e-59,4.282219838298448e-111,2.9277895216313763e-110,4.466516011048284e-112,3.76,0.0,1.005454462389562,0.9999999999999987,8.524683846818956e-53,1.0421952242876525e-56,1.4679150270336714e-17,1.4679150270336714e-17,1.364393288274624e-15,1.3052195978337434e-41,4.817810984721565e-37,7.494438069698935e-22,9.502958887342471e-37,6.6090668346779e-39,1.9469426702055557e-56,4.39533236389943e-37,9.322182689530107e-40,2.458932353704572e-43,1.557795378043872e-37,4.4289811331698046e-42,6.23467133059306e-39,1.0687743145620855e-25,1.3263968916400883e-37,4.026574766352605e-40,4.88643070968826e-46,5.083121146954217e-40,7.120749757484255e-45,2.098131252340246e-54,7.954806210054825e-40,1.9531074940488324e-48,1.5107951804806755e-70,8.6320511651033e-24,1.0771619678018707e-74,7.581659267015842e-54,9.91984128183961e-59,3.345793579185333e-60,9.714581726391935e-42,7.247819071139377e-75,1.4231344411304956e-50,9.381691381540221e-55,1.1722289511792009e-81,9.811463005886042e-62,7.051708981810889e-48,6.60575607365815e-42,1.577267294307336e-50,1.1908698950304566e-63,5.396304885693866e-77,1.6788954503170307e-55,1.0687743145596608e-25,5.446313283609794e-66,3.415317359032282e-59,7.787382712818006e-77,8.864473361502382e-75,4.1986364027843166e-76,1.2781244780105112e-64,2.8208066517110605e-81,5.331178596236219e-51,8.110826033007758e-56,9.571566023110391e-61,4.3098385924808395e-101,1.0084024737259152e-76,8.016935180921108e-93,1.248431410275552e-74
1.4426793414588207e-21,0.7665258172012082,5.6383163573791605e-25,4.63625043931018e-27,6.30277081365714e-40,1.5979419544970887e-39,0.0,0.0,1.7124505842954458e-21,2.5996426998308167e-39,5.03925563266775e-51,5.860969425855732e-51,9.89029044728639e-55,7.177802153311175e-64,2.2623771255789273e-43,1.8508716818243824e-36,1.981590856275133e-40,2.319568599931365e-36,1.0337915746469644e-79,1.1809555285604319e-61,1.865990970977641e-86,1.105290575706007e-85,1.9730402663091408e-23,1.9843305098152742e-74,3.116303522582304e-58,5.1525601109598304e-92,1.235016352488493e-96,7.093925672854016e-77,8.913551752708132e-95,8.136895385676831e-94,7.917910844607062e-58,4.667281993215948e-109,3.1913584949793456e-108,4.8687792821155576e-110,3.76,0.0,1.005454462389562,0.9999999999999969,8.36958515309855e-52,1.0232334513410664e-55,3.3552343475055345e-17,3.3552343475055345e-17,3.118613230337626e-15,6.284070516291194e-41,2.3195685999313623e-36,1.7130144159311825e-21,4.575265636488726e-36,3.18198118464244e-38,1.9115198588204058e-55,2.116163330168701e-36,4.488229679009433e-39,1.183870080227411e-42,7.500114171111968e-37,2.132363764118068e-41,3.0017258657880277e-38,2.4429127190051498e-25,6.38603006769765e-37,1.9386224206218717e-39,2.3526274517553543e-45,2.447304022407749e-39,3.428334486076967e-44,2.1687616206986397e-53,3.829896764708331e-39,9.403371842928292e-48,3.15063300775522e-69,1.9730402663093257e-23,2.2463283536385098e-73,3.6502454657967324e-53,9.739358994359506e-58,3.5992477599504774e-59,4.677152923908162e-41,1.511470138028513e-73,1.397241833372757e-49,1.0091806100855651e-53,2.3161459442289764e-80,9.632952560361261e-61,3.3951142395506747e-47,3.1803871957366216e-41,7.593863065985254e-50,1.169203123689755e-62,1.2038859349669814e-75,8.083163025236761e-55,2.4429127189934756e-25,5.347268120392351e-65,3.354437280557158e-58,1.539258759701271e-75,1.752157146378074e-73,8.296732477964009e-75,1.2656031583524253e-63,5.623271131547206e-80,2.5667345370261025e-50,7.963257095747126e-55,9.397420280113716e-60,1.7056131022364645e-99,2.249690446740315e-75,4.174401527868492e-91,2.785181800209438e-73
3.0656936005999937e-21,0.7665258172012082,1.1981422259431923e-24,9.852032183545615e-27,2.7525856029574222e-39,6.978632332239641e-39,0.0,0.0,3.638957491627814e-21,1.1353322657445424e-38,4.457164540588087e-50,5.183961084016277e-50,8.74828873570277e-54,6.34868471857962e-63,9.880395287087005e-43,8.08324290205144e-36,8.654127879918314e-40,1.0130165481152657e-35,1.8399056086499414e-78,1.0445417911193167e-60,7.446680124831153e-85,4.410924538357106e-84,4.1927105659065095e-23,3.5310101198507346e-73,2.7563351747194504e-57,2.056107814953925e-90,4.917754673443287e-95,1.3286137685364535e-75,3.5563468250886633e-93,3.247216292365384e-92,7.003302474581616e-57,3.8182063357157895e-107,2.610850977332946e-106,3.983210352464429e-108,3.76,0.0,1.005454462389562,0.9999999999999933,7.402803286016807e-51,9.050383999646729e-55,7.129872988449262e-17,7.129872988449262e-17,6.6270531144487934e-15,2.7444186937142365e-40,1.0130165481152633e-35,3.6401556338537506e-21,1.9981387064445261e-35,1.389654781463078e-37,1.6907176678530086e-54,9.241841228727657e-36,1.9601278171831662e-38,5.17027167087033e-42,3.2754969041652005e-36,9.31259278004247e-41,1.3109325479878635e-37,5.191189527911972e-25,2.7889471065942304e-36,8.466473432568543e-39,1.0274730267736667e-44,1.0688019630185055e-38,1.4972437406465842e-43,1.9614558991552918e-52,1.6726165375443982e-38,4.106699533131624e-47,5.740732799041575e-68,4.1927105659073164e-23,4.093009508057565e-72,1.5941606360118203e-52,8.614352735766793e-57,3.308327230325234e-58,2.042635561687658e-40,2.754032657809106e-72,1.2358445783555583e-48,9.27589484624135e-53,4.121526149293469e-79,8.520237449923001e-60,1.482753083904323e-46,1.3889586446379666e-40,3.3164395095738883e-49,1.0341469202968836e-61,2.2547451195569215e-74,3.530133290141569e-54,5.191189527860989e-25,4.729678934629852e-64,2.967461570528901e-57,2.7395181911325256e-74,3.1184271948967667e-72,1.4764350552042247e-73,1.123675977740892e-62,1.0046765232622416e-78,1.1209617514255285e-49,7.043410720166844e-54,8.31191181538221e-59,6.088330860941249e-98,4.2134212286807284e-74,1.665894067769744e-89,5.216337269753045e-72
6.3117221188823405e-21,0.7665258172012082,2.4667634063541286e-24,2.0283595672052993e-26,1.1491503044947443e-38,2.9134416240692925e-38,0.0,0.0,7.491971306292523e-21,4.739788718879951e-38,3.746515361168263e-49,4.357431648562389e-49,7.353637799687867e-53,5.33645204291504e-62,4.1248705363876407e-42,3.374594792650541e-35,3.61292803304898e-39,4.229144675693162e-35,3.1035327123400547e-77,8.780003138058757e-60,2.6466667490909698e-83,1.5677116665008112e-82,8.632051165099927e-23,5.95556467044017e-72,2.316865796021424e-56,7.307516010217749e-89,1.746209584099701e-93,2.294849882262251e-74,1.2638597021230018e-91,1.1541107680860312e-90,5.886697710538675e-56,2.7480169260105066e-105,1.87908735281378e-104,2.8668260656589474e-106,3.76,0.0,1.005454462389562,0.9999999999999863,6.222502214507948e-50,7.607393078308476e-54,1.4679150270336715e-16,1.4679150270336715e-16,1.364393288261178e-14,1.1457407822517479e-39,4.2291446756931416e-35,7.494438069698847e-21,8.341835765014865e-35,5.801535158513868e-37,1.4211500732120592e-53,3.8582867869846447e-35,8.183147784883736e-38,2.158486645587771e-41,1.3674554792035147e-35,3.887824166930566e-40,5.472885330255144e-37,1.068774314580839e-24,1.164330516469499e-35,3.53458599523784e-38,4.2896548256350286e-44,4.462037801514975e-38,6.2506978855663896e-43,1.6658543324228724e-51,6.982844789022588e-38,1.7144662150650485e-46,9.790059266508999e-67,8.632051165103298e-23,6.980085481231845e-71,6.6553280765105574e-52,7.240882528079913e-56,2.8303430038273077e-57,8.527601376501435e-40,4.696637848431292e-71,1.0388018333258295e-47,7.935641828606222e-52,6.951786400240524e-78,7.161772959478911e-59,6.190348479969991e-46,5.7986289243698365e-40,1.3845482110161636e-48,8.692627955033697e-61,3.894511478528445e-73,1.4737641942929557e-53,1.0687743145595543e-24,3.975716120826942e-63,2.4945284100542826e-56,4.620989402358984e-73,5.260128976821419e-71,2.4902842035343434e-72,9.462110607373175e-62,1.6977751379860411e-77,4.679805890640442e-49,5.92041110762556e-53,6.98666271111977e-58,2.0572891350544582e-96,7.277637368691664e-73,5.92084843549033e-88,9.009925422041969e-71
1.2803779155447034e-20,0.7665258172012082,5.004005767177536e-24,4.1146722649213777e-26,4.69465395250293e-38,1.190235966700994e-37,0.0,0.0,1.5197998935621835e-20,1.93635834716006e-37,3.0716196482046997e-48,3.572485731012565e-48,6.029025795265257e-52,4.3751457996309576e-61,1.6851442053249523e-41,1.3786320831134861e-34,1.4759989884647725e-38,1.7277435936283403e-34,5.097771948873303e-76,7.198377038121687e-59,8.914702527479864e-82,5.280484655085935e-81,1.751073236348148e-22,9.782032854714226e-71,1.899506558741114e-55,2.4613395854328285e-87,5.879160272964243e-92,3.812927401846043e-73,4.256838875803595e-90,3.887361731998491e-89,4.8262704424331716e-55,1.8627038183185384e-103,1.2737191282834566e-102,1.9432542289040618e-104,3.76,0.0,1.0054544623895618,0.9999999999999724,5.101583263301112e-49,6.237000465028093e-53,2.9777704834111625e-16,2.9777704834111625e-16,2.767769241870037e-14,4.680724954712401e-39,1.7277435936283245e-34,1.5203002941388888e-20,3.4079120974071663e-34,2.3701164116807983e-36,1.1651446922900885e-52,1.576236045280485e-34,3.3430828797248332e-37,8.818122244082265e-41,5.586501822282603e-35,1.5883030287849325e-39,2.235852233255349e-36,2.168085038193232e-24,4.7566700714703917e-35,1.4439937097584603e-37,1.7525924277232522e-43,1.8228880346271528e-37,2.5536140426368633e-42,1.3725857236890412e-50,2.85271994092958e-37,7.004153909377051e-46,1.616608507123457e-65,1.751073236349525e-22,1.1526044186457398e-69,2.718936028550164e-51,5.936512972179951e-55,2.340182096807056e-56,3.483803411139253e-39,7.75544304062113e-70,8.516725047172617e-47,6.561310257720343e-51,1.1419086081367858e-76,5.871654168278252e-58,2.5290788452496363e-45,2.3689291202588118e-39,5.656331209050844e-48,7.126741534266115e-60,6.470789068937735e-72,6.020832425484875e-53,2.168085038106277e-24,3.259755293069333e-62,2.0452439583090854e-55,7.590301864496801e-72,8.640133812081352e-70,4.090347781744069e-71,7.764397857582989e-61,2.7912076226099454e-76,1.9118625902541692e-48,4.853910722192515e-52,5.728088207012793e-57,6.764204409281339e-95,1.2091903334371428e-71,1.994304818720474e-86,1.4970125843582534e-69
2.578789322857642e-20,0.7665258172012082,1.0078490488830492e-23,8.28729766041195e-26,1.8976541887660348e-37,4.8111240798392966e-37,0.0,0.0,3.061005419428e-20,7.827070036284023e-37,2.4874772283087243e-47,2.893091568876471e-47,4.8824890225875867e-51,3.543106501851205e-60,6.811622309294699e-41,5.572651304242633e-34,5.966223903514618e-38,6.983815848000087e-34,8.263876005414605e-75,5.8294323561523715e-58,2.9258946318447393e-80,1.7331079369411013e-79,3.5268094760223466e-22,1.5857096794147135e-69,1.538269659346024e-54,8.078310811703824e-86,1.9291951724294548e-90,6.216033998470554e-72,1.3971073756137415e-88,1.2758708564854422e-87,3.908438933855668e-54,1.2264905645375325e-101,8.386778943927483e-101,1.2795342792486554e-102,3.76,0.0,1.0054544623895616,0.9999999999999443,4.1313943941363294e-48,5.050884681899139e-52,5.997481396166143e-16,5.997481396166143e-16,5.5745211489928004e-14,1.8920238757208134e-38,6.983815847999958e-34,3.062013268476835e-20,1.3775325575984975e-33,9.580389485000671e-36,9.435643802325577e-52,6.371398113479983e-34,1.35132755133183e-36,3.564426000707852e-40,2.258153357046373e-34,6.420174790275434e-39,9.037672208794244e-36,4.3667064855504554e-24,1.9227220954995238e-34,5.836853449596273e-37,7.085297388564161e-43,7.36840489068357e-37,1.0322116257257976e-41,1.1142751863550386e-49,1.1531150111905041e-36,2.8311910004207754e-45,2.6274573619165677e-64,3.5268094760279142e-22,1.873316236918006e-68,1.099051442671052e-50,4.8075421193060524e-54,1.9029971245171953e-55,1.4082090400529423e-38,1.2604842682555858e-68,6.897064754103538e-46,5.335535928930265e-50,1.8513281812262446e-75,4.755017778387076e-57,1.0223907212494054e-44,9.575590263677486e-39,2.286379511728729e-47,5.771419987152501e-59,1.0549019325258255e-70,2.433736792731834e-52,4.3667064851989694e-24,2.6401955658307527e-61,1.656323040339679e-54,1.230445653180439e-70,1.4006313954225692e-68,6.630668792281384e-70,6.290595880014555e-60,4.526805578173318e-75,7.72812853273908e-48,3.9308227489462176e-51,4.638754340844397e-56,2.193999552474851e-93,1.9712854273902494e-70,6.545508103436421e-85,2.4405083389803066e-68
5.175612137483519e-20,0.7665258172012083,2.0227459932160972e-23,1.6632548451626755e-25,7.63038403201419e-37,1.9345318324717986e-36,0.0,0.0,6.143416471159457e-20,3.147230436885052e-36,2.002138078996962e-46,2.3286117894474042e-46,3.9298629653289574e-50,2.8518003559811237e-59,2.7389233719589784e-40,2.2407385800189022e-33,2.398992391362523e-37,2.8081616366397707e-33,1.3308851916900935e-73,4.692034309631844e-57,9.481535553504133e-79,5.616239335247345e-78,7.078281955362293e-22,2.553736554070117e-68,1.238133248348692e-53,2.617816369346592e-84,6.251028610814807e-89,1.003891151228631e-70,4.52736222381728e-87,4.1345350860133585e-86,3.145851680569474e-53,7.961263832402522e-100,5.443942793994169e-99,8.305593447736156e-101,3.76,0.0,1.005454462389561,0.9999999999998881,3.3253056316010193e-47,4.065391409290165e-51,1.2036903221676099e-15,1.2036903221676099e-15,1.1188024962858507e-13,7.607744875869258e-38,2.8081616366396674e-33,6.14543921715248e-20,5.538997828020638e-33,3.8522324758156893e-35,7.594627014568924e-51,2.5619111589995808e-33,5.4336286507668776e-36,1.433240017973815e-39,9.07993533149383e-34,2.5815240463125816e-38,3.634008245997864e-35,8.76394938079465e-24,7.731180981613789e-34,2.3469731006862106e-36,2.849802142410357e-42,2.9628031991214126e-36,4.150477556094773e-41,8.979519750724965e-49,4.63662474414919e-36,1.138409452024862e-44,4.2369289083072265e-63,7.078281955384681e-22,3.020832167847374e-67,4.419350324979803e-50,3.869528144236121e-53,1.5348360852126582e-54,5.662346615140985e-38,2.032604719612475e-67,5.551357745006078e-45,4.3032980052009374e-49,2.9822964789380526e-74,3.8272519852445804e-56,4.11176510425884e-44,3.850302730380051e-38,9.193431458641707e-47,4.645340778186396e-58,1.7036694388329665e-69,9.786109938415984e-52,8.763949379381341e-24,2.1256405603080593e-60,1.333165444922119e-53,1.9816147928796097e-69,2.2556964506792218e-67,1.067851868435909e-68,5.064455646257941e-59,7.292163417516868e-74,3.1075062151856323e-47,3.1638681221715206e-50,3.7336730561630196e-55,7.068335539347897e-92,3.1836312308235375e-69,2.12111082615732e-83,3.941427486410327e-67
1.0369257766735274e-19,0.7665258172012084,4.052539881892021e-23,3.332305003499099e-25,3.060125274785921e-36,7.758337889209495e-36,0.0,0.0,1.2308238574621664e-19,1.2621801685125165e-35,1.6065897181472062e-45,1.8685643126510228e-45,3.153471945822698e-49,2.28839018554905e-58,1.098430773493314e-39,8.986363900650592e-33,9.621032466261446e-37,1.1261984144692432e-32,2.1363762366644484e-72,3.7650620398770167e-56,3.0532055241521035e-77,1.8085185534088654e-76,1.4181226914008394e-21,4.0993127368683127e-67,9.93523957005729e-53,8.429772605283582e-83,2.0128281938233882e-87,1.6137257061174966e-69,1.4578752286080873e-85,1.331386128581275e-84,2.524347854998781e-52,5.131246500858722e-98,3.5087682844684926e-97,5.353181860428122e-99,3.76,0.0,1.0054544623895598,0.9999999999997758,2.6683483489243557e-46,3.2622205769669985e-50,2.4115746872696004e-15,2.4115746872696004e-15,2.2415032589070638e-13,3.0510460287719566e-37,1.1261984144691602e-32,1.2312291114502776e-19,2.2213858667691228e-32,1.544917518095136e-34,6.094209886286896e-50,1.0274409590329492e-32,2.179128114264747e-35,5.747933504374818e-39,3.641460177965012e-33,1.0353066041344337e-37,1.4573998416109163e-34,1.7558435173402035e-23,3.100549359148009e-33,9.41241184326854e-36,1.1435680460478838e-41,1.1882165974592445e-35,1.6645271405495633e-40,7.209841512531852e-48,1.8594939005083074e-35,4.565531091038327e-44,6.805600076973266e-62,1.4181226914098174e-21,4.852235210586657e-66,1.7724476261359685e-49,3.1050526412295434e-52,1.232863797075878e-53,2.2708542476118943e-37,3.264887170505932e-66,4.454614977797086e-44,3.456640980442361e-48,4.789781026667514e-73,3.071128686249892e-55,1.6496249192239003e-43,1.5441436041467413e-37,3.686977201672127e-46,3.72759321305479e-57,2.738598865403015e-68,3.924797184747879e-51,1.7558435167734033e-23,1.7066258802041676e-59,1.0697863324362791e-52,3.18094660135437e-68,3.6209105749170913e-66,1.7141412224446564e-67,4.064600294375237e-58,1.1707598219804715e-72,1.2462968811651144e-46,2.5388049145387564e-49,2.996037489286949e-54,2.269506114386514e-90,5.117594222082828e-68,6.830314831516204e-82,6.335729570683385e-66
