Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58),S(463),C2HF(468),C2H2F3(68),S(165),S(464),S(130),C2H2F2(59),C2H3F2(65),C2H2F3(67),CF2(43),CHFCF2(55),CF2CH(73),C2HF2(72),S(179),C2H3F2(64),CHF2(82),CHF3(42),S(1244),S(1385),CF2O2(181),CF2O2(276),CH2F2(41),S(203),S(1542),CHO2(322),C2F(467),S(174),S(413),S(1894),C2H3F2(66),C2HF4(54),CHFO(47),S(2753),S(512),CF2CF2(61),C2HF3(169),C2HF4(69),C2HFO(577),S(3833),S(2867),F(37),S(344),CFO(51),C1OO1(180),CH2O2(318),C2H2O(623),S(3850),S(970),S(2764),CHF2O(206),CF3(45),S(1375),C3HF3(994),CH2F(46)
0.0,0.7717001766984924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.897454041298134,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9403655912058683e-22,0.7717001766984924,1.1406225237643482e-25,1.5395519961105952e-27,3.8750973321032725e-40,6.221790458717487e-41,0.0,0.0,3.167058165671757e-22,1.0307191288970555e-40,5.311512082831126e-53,6.176590540973391e-53,1.359783735299335e-56,2.2782614931059182e-65,2.4377817363950745e-44,9.071503162394222e-38,1.8327707684741344e-22,1.038775828509359e-37,1.1399044025115736e-84,4.993672634704311e-63,1.422151438418452e-89,1.8346691780031633e-79,5.128349465954501e-24,3.5130416543341676e-74,6.348900890583635e-41,1.3531780631323989e-92,3.547346456671114e-80,3.8535047583582795e-60,1.9443376419874388e-59,5.225150682012725e-60,5.690596423763953e-57,1.393391971133034e-93,2.331696156023774e-95,1.8286409690237016e-94,3.76,0.0,0.897454041298134,0.9999999999999994,9.865819498777382e-54,2.1586832796621953e-38,6.521427010912311e-18,6.521427010912311e-18,4.974082246796556e-16,2.4930590955736667e-42,1.035176738274965e-37,3.168198788195522e-22,3.3421664830933213e-37,1.0188848742077725e-39,5.156877768067884e-57,9.567200557275108e-38,2.6385859619867685e-40,6.019369613194977e-44,2.215864510404211e-39,5.142271873432318e-38,7.14203545576379e-26,3.077858829967525e-38,1.2537330775290354e-38,1.2853372393524399e-46,1.3909338335658056e-40,2.7142621656010694e-45,2.4583305768488312e-55,2.174603293221182e-40,1.1178489644953287e-48,5.128349465954592e-24,7.748669010741376e-72,5.725311621576107e-76,2.9637653068029676e-54,1.6529004522788528e-57,6.752271749047797e-60,2.26655408838165e-42,3.6836914857603736e-76,1.472934435717389e-51,2.593457977173445e-62,1.2508730212306364e-55,7.596678970064099e-51,2.9596240745704384e-64,2.3592441323447194e-42,2.1283576093516295e-65,8.893165883455614e-56,1.907043136850718e-82,1.8031172401267448e-48,1.1170307509327862e-79,6.273731514911899e-56,9.2514150257599e-67,9.783024523534093e-60,2.3270088403745087e-78,2.3383523825940007e-76,7.142035455757551e-26,7.736562729596056e-74,2.1669434780916774e-61,1.985817859387895e-51,8.260895694003824e-57,4.005589471814654e-101,5.51829894694609e-115,2.160916463410569e-55,1.8105260955466512e-83,5.400985809260447e-61,1.8327707684741344e-22,3.9546002059461326e-76,1.873027266467373e-93,1.2376970543577096e-38
5.433023655376431e-22,0.7717001766984924,3.193743066540267e-25,4.310745589110812e-27,2.340558788590633e-39,3.75796143706725e-40,0.0,0.0,8.867762863880915e-22,6.2255435385382125e-40,6.3058271634887256e-52,7.332848290303347e-52,1.6149373576389646e-55,2.704752044615266e-64,1.4724201687825984e-43,5.479187910085917e-37,5.131758151727575e-22,6.274206004199425e-37,2.557801656611572e-83,5.928488151924715e-62,6.793798018747208e-88,5.174060630698977e-78,1.4359378504672305e-23,7.86534548112368e-73,3.834736137912447e-40,8.222646728098912e-91,1.1118605260135733e-78,5.823416390831619e-59,2.938283044571415e-58,7.896247710657606e-59,6.755876074293569e-56,8.500605034912619e-92,1.3748959625520321e-93,1.1249651086068554e-92,3.76,0.0,0.897454041298134,0.9999999999999987,1.1712700913751136e-52,1.3038447009159655e-37,1.8259995630554472e-17,1.8259995630554472e-17,1.3927430291022282e-15,1.5058076940149878e-41,6.252467499183682e-37,8.87095660694745e-22,2.018668555788366e-36,6.154064640214504e-39,6.122245286250179e-56,5.778589136594033e-37,1.5937059210415932e-39,3.635699246369897e-43,1.338382164283986e-38,3.1059322115531355e-37,1.9997699276158723e-25,1.8590267333003835e-37,7.572547788275411e-38,7.763470080349007e-46,8.401240354737463e-40,1.6394143480560735e-44,3.366147891836424e-54,1.31346038910556e-39,6.751807745729479e-48,1.435937850467286e-23,1.9873070772118173e-70,1.468375057577962e-74,1.7901715521109553e-53,1.9623234169447416e-56,8.20324812814282e-59,1.368998669383601e-41,9.447591773199817e-75,1.748667762083026e-50,3.0789533105003354e-61,1.8903178179483363e-54,4.588394097922355e-50,3.5136657002171153e-63,1.424983455937696e-41,2.5672877303486923e-64,1.0557966536838535e-54,4.331301347238254e-81,1.0890847936293188e-47,3.5109110980707447e-78,3.789334700131197e-55,1.0983322873032004e-65,1.1651981889224443e-58,5.221513560318608e-77,5.246967034537624e-75,1.9997699276121038e-25,2.4324991071886874e-72,2.572595297191739e-60,1.199434178078894e-50,9.807335367920123e-56,2.436682013341388e-99,6.090979437151035e-113,2.5654400253608184e-54,4.05008959060459e-82,6.412050352756576e-60,5.131758151727577e-22,1.243389578352766e-74,9.2613185327764e-92,7.475690208320597e-38
1.2418339783717558e-21,0.7717001766984924,7.299984152092474e-25,9.853132775115827e-27,1.126878304176016e-38,1.809296665397879e-39,0.0,0.0,2.0269172260299212e-21,2.9973312268326336e-39,6.191098510374906e-51,7.199433934743777e-51,1.585818913936094e-54,2.655541596364012e-63,7.0890692894364796e-43,2.6379931196239515e-36,1.1729732918234455e-21,3.020760109309478e-36,5.061385411707728e-82,5.8206248230226044e-61,3.537508852932442e-86,1.1254712040279902e-76,3.282143658210674e-23,1.5546620045205106e-71,1.8462603789816176e-39,3.714475297690898e-89,2.478810729240931e-77,6.264565615569834e-58,3.160870817826135e-57,8.494422960734345e-58,6.632959191540442e-55,3.8379140175425507e-90,6.180381954603725e-92,5.080380384737146e-91,3.76,0.0,0.897454041298134,0.9999999999999969,1.1499599214594308e-51,6.277450977257661e-37,4.173713286983879e-17,4.173713286983879e-17,3.1834126379441434e-15,7.249815854172912e-41,3.010293954907858e-36,2.0276472244451288e-21,9.719020132835376e-36,2.9629172141955424e-38,6.010856726459882e-55,2.782141922055403e-36,7.673007977480845e-39,1.750432683517295e-42,6.443733996253084e-38,1.495372660794141e-36,4.570902691702904e-25,8.950413477545546e-37,3.6458557894544956e-37,3.7378104240273034e-45,4.0448355880093576e-39,7.893074378063324e-44,3.5010474403949876e-53,6.323746376686684e-39,3.2507047890139873e-47,3.28214365821094e-23,4.171444915615288e-69,3.0821837945356775e-73,8.619489114211736e-53,1.9266207671740242e-55,8.135918523586871e-58,6.591139289030105e-41,1.983091044106385e-73,1.7168523782701505e-49,3.0229346181934303e-60,2.0335171348878376e-53,2.2091142445000992e-49,3.449737817866748e-62,6.860681936880724e-41,2.538327799892142e-63,1.0365874153755969e-53,8.620909349455976e-80,5.243494643180054e-47,7.831886954981539e-77,1.824402422159288e-54,1.0783582512820285e-64,1.1456450132983481e-57,1.0332342307567078e-75,1.038270969732025e-73,4.570902691684762e-25,5.426771696549052e-71,2.525789318067604e-59,5.774761200228671e-50,9.6289000209271e-55,1.1000213628626852e-97,5.5140959120986014e-111,2.518764229750714e-53,8.002359967421949e-81,6.2953890592817995e-59,1.172973291823446e-21,2.7739337505398908e-73,4.689482018777949e-90,3.5992230340722682e-37
2.638897204039981e-21,0.7717001766984924,1.5512466323198368e-24,2.0937907147144185e-26,4.921373611775128e-38,7.901673882600491e-39,0.0,0.0,4.307199105313572e-21,1.3090132936992555e-38,5.475956523729339e-50,6.367817784510832e-50,1.402743652888582e-53,2.348796468931962e-62,3.095982805221336e-42,1.1520809016237683e-35,2.49256824512482e-21,1.319245302211251e-35,9.012638068722938e-81,5.148276739498088e-60,1.4117258444988158e-84,2.08643393840646e-75,6.97455527369709e-23,2.766930123935648e-70,8.063104131040149e-39,1.4028997392873688e-87,4.641281756839612e-76,5.758215090323817e-57,2.9053848516689825e-56,7.80783816111774e-57,5.866777289044376e-54,1.449152775237812e-88,2.328291552791149e-90,1.9184091125877903e-89,3.76,0.0,0.897454041298134,0.9999999999999933,1.017126527732625e-50,2.7415277651709848e-36,8.869140734840743e-17,8.869140734840743e-17,6.764751855615053e-15,3.166185055726137e-40,1.3146744576135684e-35,4.3087503519458845e-21,4.2445514335285174e-35,1.2939837902431896e-37,5.316534703767177e-54,1.215034470773734e-35,3.3510041717470836e-38,7.644599408759626e-42,2.814147928210907e-37,6.53068527925928e-36,9.713168219909147e-25,3.90888071405874e-36,1.5922410084619386e-36,1.632429683701021e-44,1.7664859686285672e-38,3.4471129508252853e-43,3.1745339898337466e-52,2.761746182390369e-38,1.419668185177039e-46,6.974555273698253e-23,7.621569167070123e-68,5.63140049811716e-72,3.7648701950691014e-52,1.7040742502767732e-54,7.228662166373254e-57,2.8785236922615063e-40,3.62326864263325e-72,1.5185364858429194e-48,2.673751436146866e-59,1.869152404976487e-52,9.64778229203782e-49,3.0512540286667246e-61,2.996240048100818e-40,2.2521746566573713e-62,9.168498299207624e-53,1.5391584598044054e-78,2.2899895941488298e-46,1.4667705751858772e-75,7.967652432410891e-54,9.538118468425978e-64,1.0139639462915632e-56,1.8398438662514647e-74,1.8488126102565305e-72,9.713168219829919e-25,1.016374279517728e-69,2.234032048181598e-58,2.521991642055397e-49,8.516653024682296e-54,4.153451762322092e-96,4.174308268578669e-109,2.227818437116406e-52,1.4240005923829482e-79,5.568200329931427e-58,2.4925682451248227e-21,5.195270917565507e-72,1.852607759606153e-88,1.5718752590343426e-36
5.433023655376431e-21,0.7717001766984923,3.1937430665416072e-24,4.3107455891274225e-26,2.0545766054847304e-37,3.298793301238368e-38,0.0,0.0,8.867762863880841e-21,5.464872821412143e-38,4.602871410619257e-49,5.352534538064471e-49,1.1791321065911063e-52,1.9743049577407653e-61,1.2925118766363013e-41,4.8097109766987354e-35,5.131758151727563e-21,5.507589442795743e-35,1.5206087758684132e-79,4.3274368065146855e-59,5.017493134549347e-83,3.5860468694134955e-74,1.435937850466804e-22,4.667232618077788e-69,3.366187252186485e-38,4.867915620253411e-86,8.015620366883286e-75,4.926274241035868e-56,2.4856179094650247e-55,6.679769930076438e-56,4.931379811290793e-53,5.027830437571473e-87,8.068017411427814e-89,6.656094396231886e-88,3.76,0.0,0.8974540412981339,0.9999999999999861,8.549561330630481e-50,1.1445338748768934e-35,1.825999563055447e-16,1.825999563055447e-16,1.3927430290905187e-14,1.3218199363694382e-39,5.488507066372963e-35,8.870956606947352e-21,1.7720166693360787e-34,5.4021276030434825e-37,4.468867763763179e-53,5.072529735465424e-35,1.398978277066793e-37,3.191469768917776e-41,1.174851363414116e-36,2.7264325472940277e-35,1.9997699276450358e-24,1.631880751648767e-35,6.647292777059521e-36,6.81532055055744e-44,7.374731185565848e-38,1.4391018006624216e-42,2.6992722077974454e-51,1.1529746660653915e-37,5.92683521215604e-46,1.4359378504672894e-22,1.3013846999121094e-66,9.615629389002609e-71,1.5721877955532194e-51,1.432377085529212e-53,6.089025519234043e-56,1.2017269776750818e-39,6.186739596284546e-71,1.2764214150339538e-47,2.247449187691108e-58,1.5990991638559935e-51,4.0277591899787595e-48,2.564762855877973e-60,1.2508712389898926e-39,1.895890273828987e-61,7.706675263948914e-52,2.6001138473714156e-77,9.56040389984278e-46,2.533438789179502e-74,3.3263445167044373e-53,8.017635573690354e-63,8.525570571079804e-56,3.1041725531793e-73,3.1193045594910407e-71,1.9997699276119585e-24,1.7555338134341906e-68,1.8778385470334083e-57,1.0528832936168739e-48,7.158760034078304e-53,1.4410222974660904e-94,2.900359048987018e-107,1.8726156325257285e-51,2.4018640790668883e-78,4.680407886561545e-57,5.131758151727575e-21,8.973538537462023e-71,6.556079164473897e-87,6.562269782205043e-36
1.1021276558049331e-20,0.7717001766984926,6.478735934987514e-24,8.744655337982754e-26,8.393615825259243e-37,1.347664700542358e-37,0.0,0.0,1.7988890381015238e-20,2.232578861956137e-37,3.773712076715658e-48,4.388331201441944e-48,9.667402734524762e-52,1.6186544868364003e-60,5.280332752298081e-41,1.9649238709849673e-34,1.0410137964933031e-20,2.2500299956174663e-34,2.498006431461833e-78,3.547894146736987e-58,1.690029619298178e-81,5.943609749063285e-73,2.9129024966602417e-22,7.666267517752933e-68,1.3751973285031665e-37,1.6213152176751223e-84,1.3317214349802354e-73,4.07313880729854e-55,2.0551569546831235e-54,5.5229629522718996e-55,4.043043110713541e-52,1.6744849323600902e-85,2.6852926197523805e-87,2.2167964458343264e-86,3.76,0.0,0.8974540412981337,0.9999999999999718,7.009446921719305e-49,4.675794331079481e-35,3.7041705421981913e-16,3.7041705421981913e-16,2.825278716127872e-14,5.4000657562965144e-39,2.24223422220614e-34,1.7995369116950108e-20,7.239266289039455e-34,2.2069453929238152e-36,3.663847790350841e-52,2.0722939095064614e-34,5.715282737282701e-37,1.303819535698005e-40,4.799651164097339e-36,1.1138366568731143e-34,4.0566761390047645e-24,6.666765340062733e-35,2.71563599525148e-35,2.784483463619438e-43,3.0128183208568307e-37,5.879200425079426e-42,2.225316865143836e-50,4.710277717244751e-37,2.4213055730848852e-45,2.9129024966622245e-22,2.150230588758777e-65,1.5887554574565892e-69,6.426402711518063e-51,1.1743492752878492e-52,4.997284197202877e-55,4.909446817726297e-39,1.022212473021784e-69,1.0464873941716652e-46,1.8425946292299936e-57,1.3221660844438399e-50,1.6454710516747531e-47,2.1027475341101645e-59,5.110217160599403e-39,1.5554893813168465e-60,6.318397999093209e-51,4.2739937003597635e-76,3.90585799461566e-45,4.209312926209458e-73,1.3589255581518542e-52,6.573788574070941e-62,6.990809564507309e-55,5.099417403651327e-72,5.124275692011794e-70,4.056676138869634e-24,2.9168456872501644e-67,1.5395654950972594e-56,4.30138347616924e-48,5.86918398998847e-52,4.799201039251469e-93,1.9331933209146156e-105,1.535283434213522e-50,3.945328309474821e-77,3.837281163762724e-56,1.041013796493308e-20,1.49096684906152e-69,2.203840719503235e-85,2.6809013276213677e-35
2.2197782363395132e-20,0.7717001766984926,1.304872167188879e-23,1.7612474835810728e-25,3.392833718953258e-36,5.447476192732745e-37,0.0,0.0,3.6231145415283504e-20,9.024440718675253e-37,3.05604988001897e-47,3.553784383103144e-47,7.828979328693911e-51,1.3108283698903427e-59,2.1343949237346797e-40,7.942536450809262e-34,2.096689759134389e-20,9.094980991268745e-34,4.049716384888884e-77,2.87317666545479e-57,5.546846027920418e-80,9.67762786293405e-72,5.866831789044106e-22,1.2427610714743618e-66,5.55876747694205e-37,5.2923961969407986e-83,2.170972012862773e-72,3.312208833128885e-54,1.6712195043653484e-53,4.4911817497393646e-54,3.2741611340246884e-51,5.465809743340541e-84,8.762452097756079e-86,7.236055760223267e-85,3.76,0.0,0.8974540412981333,0.9999999999999432,5.676431849441219e-48,1.890030828141659e-34,7.460512500483681e-16,7.460512500483681e-16,5.690350090119885e-14,2.1827929320630035e-38,9.063469228703155e-34,3.6244194136954906e-20,2.92622717993939e-33,8.920826138385993e-36,2.967078932294613e-51,8.376543313508309e-34,2.3102086619942283e-36,5.27024702610613e-40,1.940095740340089e-35,4.5023058542414055e-34,8.170488561930173e-24,2.6948131428603057e-34,1.0977034885647945e-34,1.1256965633424278e-42,1.2178293361108358e-36,2.3764668137764787e-41,1.8070221274056967e-49,1.9039695641698817e-36,9.787304268336516e-45,5.8668317890521205e-22,3.4957703674365774e-64,2.5829435588408338e-68,2.6004864291785895e-50,9.510184901771632e-52,4.048978013758776e-54,1.9844768990797566e-38,1.6618776102581969e-68,8.474726238070595e-46,1.4921809032426097e-56,1.0751634908872132e-49,6.6512570792353e-47,1.7028594517719922e-58,2.0656314817304741e-38,1.2601385983276726e-59,5.116802515196821e-50,6.931042673112714e-75,1.5789081178486165e-44,6.862216248547446e-72,5.493037124059024e-52,5.324347657704339e-61,5.66175040180239e-54,8.26701858918563e-71,8.307318081517138e-69,8.170488561383955e-24,4.755194644058254e-66,1.246780053881751e-55,1.7386974125875852e-47,4.7530173639431385e-51,1.566538381548708e-91,1.2624864129689718e-103,1.243312329933657e-49,6.396388042166706e-76,3.1075297746893456e-55,2.0966897591344074e-20,2.430652264573402e-68,7.226222428070569e-84,1.0836631805491091e-34
4.4550793974086733e-20,0.7717001766984926,2.6188693145729206e-23,3.534811383193589e-25,1.3642435161764825e-35,2.1904062183022198e-36,0.0,0.0,7.271565548381788e-20,3.628687922046965e-36,2.4597748138464807e-46,2.860394845394489e-46,6.301470013110179e-50,1.0550687115764357e-58,8.582308114227595e-40,3.193658974318389e-33,4.20804168441653e-20,3.6570518555205415e-33,6.522276592117355e-76,2.3125825411747313e-56,1.7974883772838545e-78,1.5619730926626332e-70,1.1774690373799792e-21,2.0014493159407907e-65,2.2351559541281214e-36,1.7104354974758228e-81,3.5060689890580467e-71,2.6714164169417315e-53,1.3478990743549423e-52,3.6223007853960863e-53,2.635329726240108e-50,1.7664571922852723e-82,2.831420669958829e-84,2.3385782859933205e-83,3.76,0.0,0.8974540412981326,0.9999999999998859,4.568886190855638e-47,7.599730833381813e-34,1.4973196417054653e-15,1.4973196417054653e-15,1.1420492837773137e-13,8.776914487637978e-38,3.644381114386621e-33,7.274184417696167e-20,1.1766230790389353e-32,3.5870249550088203e-35,2.3881632547435764e-50,3.368171224980553e-33,9.289247423817898e-36,2.1191431498138745e-39,7.801039643334366e-35,1.8103573821305477e-33,1.6398113408604796e-23,1.0835725125253053e-33,4.41381744876734e-34,4.5276938679006234e-42,4.89683819842145e-36,9.55566855051207e-41,1.456407032887229e-48,7.655777877889826e-36,3.935432006984519e-44,1.1774690373832016e-21,5.637949969027778e-63,4.165750328768251e-67,1.0479214078857323e-49,7.654624176140447e-51,3.2597877070465714e-53,7.979494331165882e-38,2.6802626706349975e-67,6.821196960740752e-45,1.2010370077348422e-55,8.671583014698043e-49,2.674441218413771e-46,1.370609402007831e-57,8.305813338855475e-38,1.0144775370715782e-58,4.118447815989516e-49,1.1164650887359352e-73,6.34950714497571e-44,1.1082478167144169e-70,2.208760443398425e-51,4.286662451435143e-60,4.55723368367299e-53,1.3314292936771362e-69,1.3379196534526353e-67,1.6398113406408476e-23,7.679652051926083e-65,1.0035170548111323e-54,6.991301728116133e-47,3.8256418776338854e-50,5.062780163248058e-90,8.161684616305332e-102,1.0007259288530744e-48,1.0303894043218062e-74,2.5012103117174894e-54,4.208041684416604e-20,3.925509899889044e-67,2.340585829102137e-82,4.357361987751131e-34
8.925681719546994e-20,0.7717001766984927,5.246863609356146e-23,7.0819391826063105e-25,5.471226672775313e-35,8.784508619119826e-36,0.0,0.0,1.45684675620878e-19,1.4552661537747572e-35,1.973814376928827e-45,2.2952867246525788e-45,5.056543363080184e-49,8.466261951301206e-58,3.441889406909097e-39,1.2808000885843427e-32,8.430745534980689e-20,1.4666413597947244e-32,1.0470160729794355e-74,1.855701848085625e-55,5.788198878366196e-77,2.510049000709759e-69,2.3590407543262982e-21,3.21278617134606e-64,8.96397507396612e-36,5.500543403064428e-80,5.63585797001323e-70,2.1458269439734123e-52,1.0827058384180443e-51,2.9096289799956737e-52,2.114686138032314e-49,5.680664696345777e-81,9.104696031479027e-83,7.520533485787383e-82,3.76,0.0,0.897454041298131,0.9999999999997713,3.666243429759375e-46,3.0478319704552705e-33,2.999856425019657e-15,2.999856425019657e-15,2.2880778331756545e-13,3.5199353552953205e-37,1.4615598258872226e-32,1.4573714425696385e-19,4.7187848044805546e-32,1.4385574405568306e-34,1.9163506106627895e-49,1.3507873063529787e-32,3.725403689183743e-35,8.498711840733888e-39,3.1285658069527005e-34,7.260342804477567e-33,3.285336310524927e-23,4.345610414877512e-33,1.7701382097674138e-33,1.8168644995615863e-41,1.9638511340083085e-35,3.832250487004118e-40,1.1694577417999923e-47,3.0703093420574185e-35,1.5782842567650921e-43,2.3590407543392226e-21,9.056652457091433e-62,6.691750220790416e-66,4.220899178720307e-49,6.142353829651053e-50,2.616101291291363e-52,3.200134118750032e-37,4.305502466906104e-66,5.473580976729087e-44,9.637565600393433e-55,6.965487040343244e-48,1.0725705460070088e-45,1.099827678675064e-56,3.331002635935644e-37,8.141751810954982e-58,3.3047950015493527e-48,1.7924473258595815e-72,2.547067636472093e-43,1.7814749288470427e-69,8.858392989724063e-51,3.44164512770996e-59,3.65695874058595e-52,2.1372800225367975e-68,2.1476986880343567e-66,3.285336309644102e-23,1.2344816380622726e-63,8.052592372436358e-54,2.803885567549398e-46,3.0698366762386327e-49,1.628114061696761e-88,5.249805215745381e-100,8.030195343779291e-48,1.6548726726994667e-73,2.007063754537713e-53,8.430745534980985e-20,6.310142515153891e-66,7.535280760887394e-81,1.7474970448674517e-33
