Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CHF2(1),O2(2),H2O(3),CH4(4),HF(38),CH2CHF(56),C2H3F(124),C2H3F(139),O2(143),S(285),S(141),S(377),S(145),CHFO(47),S(284),CH2CF(70),C2H2F(71),CH2CFO(79),CH2F(46),C2H4F(63),C2H4F(62),C1OO1(734),CH2O2(778),CHO2(166),C2H2O(133),S(338),S(376),CH2F2(41),C2H2O(373),CH3O2(183),CHF2(81),S(1537),C2H3F2(64),CH2CF2(57),CH3F(39),C2H3F2(65),S(140),S(2988),F(37),C2HF(58),C2HF(3940),CF2CH(73),C2HF2(72),S(3117),CF2(43),CF2O(49),S(4341),S(4409),C2F(3939),C2H3F2(66),S(4619),CHF3(42),S(4047),CHO2(165),C2H2F3(67),C2H2F3(68),S(5214),CFO(51),CHF2O(615),S(3044),CFO3(5914),CHFO2(172),S(459),C2H4(456),C2H2F2(59),C#CC(5603),C3H4(6319),CHF(40),CHFO2(735),CF(50),S(3734),CHFO2(782),CHO3(1596),S(3113),S(1075),S(6101),S(6880),S(2986),S(1341),S(6104),S(1340),S(9415),S(7364)
0.0,0.6509643357599132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5087099936696928,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.1944753455832833e-22,0.6509643357599132,9.331500147697144e-28,8.850317851793883e-29,8.550894962327783e-40,1.1098302168920987e-42,0.0,0.0,1.9207751185182045e-22,2.809822173016475e-40,1.3315071935448526e-53,6.146259700058321e-46,5.61123350752387e-51,2.8504547801447794e-67,4.280642176078096e-46,9.060416115338958e-39,9.373564380564303e-25,1.2541778006754762e-38,4.53393758738781e-65,9.595130605783469e-64,6.468949803798176e-38,2.4624350489005905e-58,2.0154472123523662e-25,1.6809257685076894e-59,3.3736071230256094e-43,1.1809725749987658e-57,2.963040062015536e-36,1.2977579164030693e-44,2.0948705196565408e-63,3.238034690966082e-64,4.527480212722527e-59,2.1803110312001907e-63,2.769044689364189e-51,8.407513358730806e-64,3.76,0.0,0.5087099936696928,0.9999999999999993,6.695794660827376e-54,2.5518506630615207e-22,1.4737854598600656e-17,1.413265136911526e-17,6.052032294853998e-19,5.267843446936182e-37,5.404467573547975e-16,2.3649327097016813e-41,8.660713539140149e-43,2.0245223849233052e-44,9.118362965708974e-57,1.2539175337108492e-38,1.206011697456459e-38,4.610760213478598e-38,2.776082903030998e-38,7.454788399627003e-43,2.7770640695230016e-44,4.244316659266619e-27,3.3507767325661135e-40,1.1286494504552637e-54,2.18104992585789e-57,6.323851595496215e-48,9.162445345708435e-68,4.587932820906986e-44,5.962638129881683e-52,2.0154472123524574e-25,4.4575133371551244e-61,3.840562924058385e-42,9.373564380564111e-25,2.5760816731102515e-60,3.6672807154877874e-23,1.850442497866384e-36,1.280324211531132e-29,1.5540563784695336e-22,2.6161219098310866e-44,2.0743621431194652e-38,4.244316662225543e-27,6.45380173936403e-55,2.413973702645316e-75,1.704050507830549e-59,1.2212510010181604e-74,6.776321466861848e-62,2.5518506630615207e-22,1.3487774205422512e-41,6.381403316132532e-78,3.85338548911586e-82,1.4120580278180943e-80,8.281824159370653e-38,7.378997312958805e-61,1.0047375574030935e-45,3.832129480174999e-64,2.2492785147001602e-48,2.018905638145295e-65,3.375258184865669e-59,3.644575171692889e-82,5.251931095467489e-47,2.9164446259566324e-42,7.310504966186576e-57,1.244075643390411e-65,1.331740615249171e-51,2.1467486437442953e-62,3.0252214425880905e-66,2.263257540288262e-52,7.405875468403259e-76,6.849299590762781e-80,1.2803242115311357e-29,1.8442993728485417e-50,5.384952881194685e-40,8.669741442250911e-81,2.2407182439784416e-49,1.239526832604199e-91,8.374127362844861e-40,2.010475418028723e-58,2.6318331824701735e-76,6.512577302052971e-84,7.591656095372093e-61,4.480874737924686e-75,9.808958765675176e-75,8.730139710114588e-59,1.0663536589908815e-75,1.1896295600676825e-91
1.1744530967633195e-21,0.6509643357599132,2.612820047202162e-27,2.478088998503199e-28,5.164740557249766e-39,6.703374522589295e-42,0.0,0.0,5.378170331850972e-22,1.6971325925019513e-39,1.580765342011358e-52,3.7123409481379126e-45,6.661656420130703e-50,3.3840599149875245e-66,2.5855078743509586e-45,5.472491333664246e-38,2.6245980265580677e-24,7.575233916096927e-38,5.382690706739504e-64,1.1391339055186834e-62,3.907245681494366e-37,2.923402890054992e-57,5.643252194586333e-25,1.9955950723723212e-58,2.0376587023074592e-42,1.4041229349642816e-56,1.789676197456911e-35,7.838458034569509e-44,3.1657683293051014e-62,4.892183448714872e-63,5.375024508544219e-58,3.2948862148788432e-62,3.2874098552123723e-50,9.98222695984231e-63,3.76,0.0,0.5087099936696928,0.9999999999999984,7.949247421398728e-53,7.145181856572258e-22,4.126599287608184e-17,3.957142383352326e-17,1.6945690425585916e-18,3.1817774419483924e-36,1.5132509205914774e-15,1.4284193566606371e-40,5.2310709776453986e-42,1.2228115204932324e-43,1.0825320512878938e-55,7.573661903627307e-38,7.284310652628458e-38,2.784899168940333e-37,1.6767540734302852e-37,4.502692195176359e-42,1.677346697991887e-43,1.1884086645959927e-26,2.023869146469948e-39,6.817455665686208e-54,2.5893424719741953e-56,3.8198224012253343e-47,1.118779713684335e-66,2.7711114277905517e-43,3.6014334328768797e-51,5.643252194586881e-25,5.293323420372532e-60,2.3197000061312816e-41,2.6245980265579512e-24,3.0583241663213376e-59,1.0268386003365487e-22,1.1176672687112781e-35,3.584907792287171e-29,4.35135785971466e-22,1.5801376335399965e-43,1.252914734444081e-37,1.1884086663831819e-26,7.661953424971165e-54,5.399962613868235e-74,2.0230499128240007e-58,2.731890367496775e-73,8.044848845465222e-61,7.145181856572259e-22,8.146615620075625e-41,1.4274943962067096e-76,8.619869203737434e-81,3.158717325907256e-79,5.0022217922597085e-37,8.760345609942467e-60,6.068614846754047e-45,4.5495041188637485e-63,1.3585642302651566e-47,3.0509703111977294e-64,4.007106517072825e-58,8.152768876067059e-81,3.1721663816625316e-46,1.761532554077373e-41,8.679031495856581e-56,1.4769666038315625e-64,8.043713316104937e-51,2.549722682434186e-61,3.591542988739447e-65,2.68693935184085e-51,2.328520387405922e-74,2.153529380127862e-78,3.584907792287192e-29,1.1139568212021486e-49,3.252511540240746e-39,2.7259054253068906e-79,1.3533938193612015e-48,3.8972707731026553e-90,5.057972927158264e-39,2.3868364171207022e-57,7.422339124312633e-75,2.0476585050784967e-82,9.012814116424638e-60,1.2636783771841273e-73,2.766283315345703e-73,1.319298712992467e-57,3.007287935008925e-74,6.157865250119389e-90
2.6844642211733017e-21,0.6509643357599132,5.9721601354549014e-27,5.664203425154471e-28,2.486600255050592e-38,3.227386289563749e-41,0.0,0.0,1.229296075851651e-21,8.170962879131912e-39,1.5520047874053848e-51,1.7873324547309904e-44,6.5404537763647526e-49,3.322490091735644e-65,1.244810744803192e-44,2.6347690063398407e-37,5.999081203561595e-24,3.6471490443897217e-37,5.28475766112871e-63,1.1184084234103368e-61,1.88117060294491e-36,2.8702142929991825e-56,1.289886215905309e-24,1.95928707577254e-57,9.810449513758345e-42,1.3794842956095325e-55,8.616520500334089e-35,3.773880350142579e-43,3.405589106395706e-61,5.262397138281462e-62,5.277230935949328e-57,3.544488747638165e-61,3.2275984899204203e-49,9.80236158204357e-62,3.76,0.0,0.5087099936696928,0.9999999999999964,7.804618256757642e-52,1.633184424359373e-21,9.432226943104421e-17,9.044896876234136e-17,3.8733006687028625e-18,1.5318888743674472e-35,3.458859247057013e-15,6.877224319824585e-40,2.518535497188893e-41,5.88731109535031e-43,1.0628363872797037e-54,3.646392188051676e-37,3.507082016190544e-37,1.3408090700784655e-36,8.072849082007574e-37,2.1678524693138711e-41,8.075702314172799e-43,2.7163626619400106e-26,9.744058738302485e-39,3.282732079328259e-53,2.542231793566651e-55,1.8393001002887287e-46,1.1607215940142329e-65,1.3341708702637557e-42,1.7339351718121067e-50,1.289886215905573e-24,5.197613838618844e-59,1.116835698316204e-40,5.99908120356103e-24,3.002680810592145e-58,2.347059657911961e-22,5.381086783795178e-35,8.194074953799253e-29,9.945960822204773e-22,7.607682513818453e-43,6.032245112190261e-37,2.7163626705445575e-26,7.522551307397095e-53,1.0669416153471354e-72,1.9862429048243825e-57,5.397755705437868e-72,7.898480301795045e-60,1.6331844243593736e-21,3.922244738937505e-40,2.8204883735298182e-75,1.7031408974411387e-79,6.241093146595499e-78,2.4083544655447373e-36,8.600959267977861e-59,2.921776816986114e-44,4.466730122091945e-62,6.540902031541968e-47,3.282094944525367e-63,3.9342009402799266e-57,1.6108497440037898e-79,1.5272615625621993e-45,8.481020972275387e-41,8.521124588586688e-55,1.4500945699311106e-63,3.872701709144503e-50,2.503816043455022e-60,3.526198398986856e-64,2.638052988974949e-50,5.194798295651789e-73,4.804405581572329e-77,8.194074953799355e-29,5.363222576267995e-49,1.5659442978501483e-38,6.081345052012332e-78,6.516008653462654e-48,8.6945971178874e-89,2.435196237115237e-38,2.3434101498489827e-56,1.6145289119553584e-73,4.568213483707557e-81,8.848834344762258e-59,2.748776496096786e-72,6.017270442781907e-72,1.4192413523937436e-56,6.541508132521099e-73,2.68876496635613e-88
5.7044864699932655e-21,0.6509643357599132,1.2690840405511757e-26,1.2036432278471615e-27,1.0859636602214891e-37,1.4094843949225419e-40,0.0,0.0,2.612254161184759e-21,3.568474159730924e-38,1.3727306588928174e-50,7.805751203265718e-44,5.784957296906162e-48,2.9387048601357272e-64,5.436415563615894e-44,1.1506728466472952e-36,1.2748047557569651e-23,1.592805806884074e-36,4.674308314552793e-62,9.892195849343045e-61,8.215566250827825e-36,2.538672038015926e-55,2.741008208798191e-24,1.7329672303006383e-56,4.28448104624239e-41,1.2204988807984511e-54,3.763060878752406e-34,1.6481528940490984e-42,3.130323120113375e-60,4.836908034489024e-61,4.667651000108162e-56,3.257996787470676e-60,2.8547743129416804e-48,8.673194395641644e-61,3.76,0.0,0.5087099936696927,0.9999999999999926,6.903096463636044e-51,3.470516901763668e-21,2.0043482254096895e-16,1.9220405861998597e-16,8.230763920982955e-18,6.690161177592475e-35,7.350075899956788e-15,3.003464541333528e-39,1.0999106194778817e-40,2.5711434288457133e-42,9.400667483057303e-54,1.5924752678339243e-36,1.5316348557564332e-36,5.8556654711063416e-36,3.525625286842581e-36,9.467581295449824e-41,3.52687136829412e-42,5.772270656649473e-26,4.255486450359196e-38,1.4340249287292282e-52,2.2485752315345073e-54,8.034640108237284e-46,1.1366300879200207e-64,5.826674743972804e-42,7.572550462589038e-50,2.7410082087993427e-24,4.597467878765302e-58,4.87751491355441e-40,1.2748047557567184e-23,2.6558371877807093e-57,4.987501773062276e-22,2.3500619722900314e-34,1.7412409276823424e-28,2.113516674718443e-21,3.3224748255158166e-42,2.6344399217605375e-36,5.772270694227789e-26,6.653611441202946e-52,1.898565598036541e-71,1.7568095559492313e-56,9.605018446654395e-71,6.9861163795194735e-59,3.47051690176367e-21,1.712947324089318e-39,5.018908362597693e-74,3.030648228534689e-78,1.1105691794028327e-76,1.0517916682398155e-35,7.607451069753462e-58,1.2760166979612529e-43,3.950772208881145e-61,2.856583828156235e-46,3.016811289840034e-62,3.4797561782697613e-56,2.8664210520781534e-78,6.669952491246329e-45,3.703884674958206e-40,7.536838199938884e-54,1.2825922252997978e-62,1.6913105813663575e-49,2.214788834690548e-59,3.1188828980133415e-63,2.3333279937503652e-49,9.729280356428222e-72,8.998119940390943e-76,1.741240927682387e-28,2.3422602035428978e-48,6.838890159104169e-38,1.1389686246925466e-76,2.845712169825078e-47,1.6284019700774292e-87,1.0635141750812468e-37,2.07271974241977e-55,2.9930706275369896e-72,8.555758282570824e-80,7.826693768077543e-58,5.0957683687629906e-71,1.1155005295861366e-70,1.3045273166026476e-55,1.2126853621533976e-71,1.0009597821900412e-86
1.1744530967633193e-20,0.6509643357599132,2.6128201319830977e-26,2.4780889985164305e-27,4.533684509078934e-37,5.884319985188089e-40,0.0,0.0,5.378170331850978e-21,1.4897677161333351e-37,1.1538628321677244e-49,3.2587481387434052e-43,4.862605177864746e-47,2.4701585051927463e-63,2.2695964817536454e-43,4.80383262434594e-36,2.624598026558978e-23,6.649650699417068e-36,3.929037805528761e-61,8.314986660890448e-60,3.429837185977518e-35,2.13390681441896e-54,5.643252194582074e-24,1.4566633761763779e-55,1.788686496628058e-40,1.0260458537295891e-53,1.571003840874045e-33,6.880715534723875e-42,2.6780573338845262e-59,4.1380226471977073e-60,3.923441912661354e-55,2.787286506299926e-59,2.3996098230784855e-47,7.295585438779688e-60,3.76,0.0,0.5087099936696925,0.9999999999999848,5.802468520476185e-50,7.145181856572254e-21,4.1265992876081834e-16,3.9571423833530894e-16,1.694569042550934e-17,2.7930105955507345e-34,1.5132509205631158e-14,1.2538873226949396e-38,4.591910318515486e-40,1.0734017684801406e-41,7.901827452148903e-53,6.648270763924953e-36,6.394274019794705e-36,2.444625065176021e-35,1.4718791551809266e-35,3.9525288346131406e-40,1.4723993696610118e-41,1.1884086646154107e-25,1.7765818236067604e-37,5.989860526172767e-52,1.8900629688989364e-53,3.3559198396934514e-45,1.1402026044482232e-63,2.432522036923533e-41,3.1613907703386383e-49,5.6432521945868846e-24,3.8645428561968476e-57,2.0362664623359896e-39,2.624598026557948e-23,2.2323912079105835e-56,1.0268386003360865e-21,9.811046123685085e-34,3.5849077922871806e-28,4.351357859714148e-21,1.3870678366196162e-41,1.0998268082808752e-35,1.1884086803036177e-25,5.592761326483638e-51,3.202208381263806e-70,1.476704366835399e-55,1.620026796511296e-69,5.8722517621178735e-58,7.145181856572263e-21,7.151217883720947e-39,8.465122532646332e-73,5.111631206305455e-77,1.873137245262924e-75,4.391023169296002e-35,6.394521007426689e-57,5.327118529882869e-43,3.320862093447839e-60,1.1925675715323526e-45,2.580946571487235e-61,2.924944738874468e-55,4.834638069221655e-77,2.784573866819219e-44,1.5462989406761608e-39,6.3351666356163195e-53,1.0780960473337289e-61,7.060888742050293e-49,1.8617395542415955e-58,2.6216095863816455e-62,1.961302772305806e-48,1.680491071594958e-70,1.5542014522536329e-74,3.584907792287367e-28,9.778475275070207e-48,2.8551020175976484e-37,1.9672850576639259e-75,1.1880288129325812e-46,2.8126599837052494e-86,4.439962327779889e-37,1.7422458395428234e-54,5.144328796556877e-71,1.4777944771740322e-78,6.578807705738723e-57,8.758323853903268e-70,1.9172603987431043e-69,1.1160505843727424e-54,2.0842962950739758e-70,3.448458217753418e-85
2.3824619962913048e-20,0.6509643357599134,5.300292464529145e-26,5.026980539878328e-27,1.8521580524647013e-36,2.4039367913551278e-39,0.0,0.0,1.091000267318342e-20,6.0861872196406005e-37,9.460064633417348e-49,1.3313054908254683e-42,3.986657511027018e-46,2.0251851832441153e-62,9.27204217904712e-43,1.96252237224114e-35,5.32418456816461e-23,2.716599283574547e-35,3.221262606502828e-60,6.817128434939289e-59,1.4012004033050537e-34,1.7495057316822225e-53,1.144774016614232e-23,1.1942606436835914e-54,7.307367972757369e-40,8.412713115134218e-53,6.418063295872314e-33,2.8109981497007676e-41,2.214269592208394e-58,3.421376029876395e-59,3.21667472437516e-54,2.3045851353695246e-58,1.9673451112703667e-46,5.989959703422607e-59,3.76,0.0,0.508709993669692,0.9999999999999692,4.757214263505278e-49,1.449451176618942e-20,8.371101412005166e-16,8.027345977660897e-16,3.43755434344269e-17,1.141035961967608e-33,3.069737581647917e-14,5.122538846616093e-38,1.875945195485423e-39,4.3851964665868127e-41,6.478395553465966e-52,2.716035534879824e-35,2.6122695770574577e-35,9.987091052715696e-35,6.013106611229542e-35,1.614737007790193e-39,6.015231857148896e-41,2.410771862550619e-25,7.257916433809252e-37,2.449577620744685e-51,1.549587814653479e-52,1.3723231704421073e-44,1.2377860266430842e-62,9.937646475422483e-41,1.291531298166038e-48,1.1447740166161973e-23,3.1684231598957173e-56,8.318812916029396e-39,5.324184568160403e-23,1.8302492292713656e-55,2.0830154463949886e-21,4.008132468076396e-33,7.272241521496874e-28,8.827040229704646e-21,5.666624701800066e-41,4.4931513764734636e-35,2.4107719266420643e-25,4.585283635839354e-50,5.259636881834415e-69,1.2106914902252544e-54,2.660898914329489e-68,4.814426781161263e-57,1.4494511766189462e-20,2.9215058439963584e-38,1.39039891792311e-71,8.395869605703768e-76,3.0766335500111608e-74,1.7938762402143583e-34,5.242614662551664e-56,2.1763017392866107e-42,2.7226433822451876e-59,4.872028106372306e-45,2.1339781883107547e-60,2.398046414647471e-54,7.940907546150249e-76,1.1375892830046347e-43,6.317135717555917e-39,5.19395236252333e-52,8.83888275407898e-61,2.884603442253624e-48,1.5263968504094736e-57,2.1493548872916383e-61,1.6079945096581296e-47,2.792160917265555e-69,2.5823289579371583e-73,7.272241521497634e-28,3.9948262137572463e-47,1.1664023338683249e-36,3.2686735465481255e-74,4.8534853449771844e-46,4.673278409091673e-85,1.81386948330126e-36,1.4283984100180704e-53,8.526351963740108e-70,2.4553776279115864e-77,5.393704031972821e-56,1.4516279484788422e-68,3.1777185056898314e-68,9.2277220546099e-54,3.4545682539592823e-69,1.1444175532741797e-83
4.7984797953472765e-20,0.6509643357599134,1.0675237728350051e-25,1.0124763622695559e-26,7.48671898284348e-36,9.717097487759988e-39,0.0,0.0,2.197366735584834e-20,2.460134183940224e-36,7.661005609474946e-48,5.381354064069223e-42,3.228498613478058e-45,1.640047467856668e-61,3.747907695960194e-42,7.932829208905582e-35,1.0723357651382298e-22,1.09809286518982e-34,2.608662025934149e-59,5.520687352615783e-58,5.663876062841821e-34,1.4167951005189889e-52,2.3056716109232734e-23,9.671432325529756e-54,2.953754969349987e-39,6.813060659250643e-52,2.5942838001716624e-32,1.1362514806942324e-40,1.8006072587277548e-57,2.7821978153501205e-58,2.60494658972207e-53,1.8740548338883416e-57,1.5932070779596823e-45,4.864750737179896e-58,3.76,0.0,0.5087099936696912,0.9999999999999382,3.852515449753297e-48,2.9193171585423733e-20,1.6860105660799118e-15,1.6167753166281908e-15,6.923524945172118e-17,4.6122497941747896e-33,6.182710903617226e-14,2.0706121041910222e-37,7.582870418206629e-39,1.7725665250316754e-40,5.246372682762906e-51,1.097864988937672e-34,1.0559211296014183e-34,4.03694188331879e-34,2.430593833540439e-34,6.52702524873982e-39,2.431452891942144e-40,4.855498258558165e-25,2.9337658666462343e-36,9.921991241943701e-51,1.2548963880112675e-51,5.557824744477024e-44,1.4930990578053215e-61,4.0169557904675535e-40,5.2205761252672054e-48,2.3056716109312168e-23,2.5658861573781095e-55,3.362597187035095e-38,1.0723357651365295e-22,1.482183345708153e-54,4.1953691385095295e-21,1.620151228120184e-32,1.4646908979916323e-27,1.7778404969682017e-20,2.290540306097385e-40,1.8162036256765394e-34,4.855498517626034e-25,3.713281569778497e-49,8.526098038524589e-68,9.804493706757605e-54,4.3134318351592e-67,3.8988476299400834e-56,2.9193171585423896e-20,1.1809193730050571e-37,2.2538965623710904e-70,1.3610066433685873e-74,4.987355565668495e-73,7.251134579072513e-34,4.245605277660721e-55,8.796959592783012e-42,2.204867200238524e-58,1.9693520226007883e-44,1.7353183105473883e-59,1.942000160134107e-53,1.2872553329065657e-74,4.598317766790778e-43,2.5534872593249736e-38,4.206197285477934e-51,7.157956417505783e-60,1.1660028321996133e-47,1.236127830383352e-56,1.7406048642032228e-60,1.3021956439928777e-46,4.551926892439029e-68,4.2098479475127e-72,1.4646908979919402e-27,1.614772627457052e-46,4.7147847251422416e-36,5.328762851488891e-73,1.9618563769061947e-45,7.618629082892031e-84,7.331950464280897e-36,1.1567540802550612e-52,1.3882957335549484e-68,4.0028852446835066e-76,4.367961366293213e-55,2.3635998042751628e-67,5.1740908167425894e-67,7.503830324669738e-53,5.624868862972153e-68,3.7289179796843667e-82
9.630515393459219e-20,0.6509643357599136,2.1425130650907116e-25,2.0320329788703772e-26,3.010376775365275e-35,3.9072026616293703e-38,0.0,0.0,4.410099672117831e-20,9.892091352991385e-36,6.166243807645296e-47,2.1638223498086387e-41,2.5985765571142995e-44,1.3200528830263612e-60,1.5070172006402638e-41,3.189755735031246e-34,2.1521703817843378e-22,4.415383115720141e-34,2.0996782279354434e-58,4.443529470348849e-57,2.2774196542474e-33,1.1403599552914374e-51,4.627466799529324e-23,7.784410131180631e-53,1.187691882088977e-38,5.483835385374106e-51,1.0431501059555747e-31,4.56882595198534e-40,1.452254985645827e-56,2.243940010147082e-57,2.0966876406381622e-52,1.5115003353618734e-56,1.2823516622033556e-44,3.93799256323879e-57,3.76,0.0,0.5087099936696895,0.9999999999998759,3.1008395953231283e-47,5.859049122389225e-20,3.383811415838697e-15,3.2448567543545503e-15,1.3895466148414648e-16,1.8545653567838902e-32,1.2408657546754685e-13,8.325840202438498e-37,3.049038844664721e-38,7.12741203666786e-40,4.22273715890402e-50,4.414466835202539e-34,4.245812420688594e-34,1.6232365761376193e-33,9.773310903091667e-34,2.6244882172053596e-38,9.776765139313797e-40,9.744951051121776e-25,1.1796543518079975e-35,4.0060001947268034e-50,1.0100497864734993e-50,2.2433617643251237e-43,1.9917000056852184e-60,1.6152004135995727e-39,2.099170795539207e-47,4.627466799561265e-23,2.065254372439923e-54,1.3520855396677674e-37,2.1521703817775e-22,1.1929902122079347e-53,8.420076522725559e-21,6.514556831424463e-32,2.9396243896755482e-27,3.5681134449622216e-20,9.210161829965587e-40,7.3028748992775965e-34,9.74495209282228e-25,2.988772055504136e-48,1.3731018045865092e-66,7.891509557175382e-53,6.946649018097985e-66,3.1381317648342204e-55,5.859049122389291e-20,4.748424860149318e-37,3.6298309301352387e-69,2.191859241731027e-73,8.031982386776094e-72,2.9156493225899822e-33,3.417232486712176e-54,3.5372187633324796e-41,1.7746689418628654e-57,7.918680802773915e-44,1.39960141990541e-58,1.5630906790726555e-52,2.073085029717126e-73,1.8489633498970205e-42,1.0267459963123855e-37,3.3855135062427577e-50,5.761346052527462e-59,4.688446105604709e-47,9.949480566609743e-56,1.400992720178928e-59,1.0481203427439481e-45,7.351374002909478e-67,6.798915679979857e-71,2.9396243896767866e-27,6.492929715371845e-46,1.8957942015696006e-35,8.605966239031564e-72,7.888538205255546e-45,1.2304125058266062e-82,2.948145034596391e-35,9.310563418061414e-52,2.240715192390826e-67,6.464670381380636e-75,3.515715311613014e-54,3.8148596135434746e-66,8.351003438539087e-66,6.052111001752975e-52,9.078561021864131e-67,1.2040450195092794e-80
1.9294586589683105e-19,0.6509643357599141,4.292492607568227e-25,4.0711462122215173e-26,1.2072957294340672e-34,1.5669634215861785e-37,0.0,0.0,8.835565545183876e-20,3.9671710671488917e-35,4.948022320215444e-46,8.677923879754956e-41,2.085194034377805e-43,1.059259304586302e-59,6.04381300441681e-41,1.2792347150441899e-33,4.311839615086834e-22,1.7707661127782362e-33,1.6848596747916336e-57,3.5656525562738276e-56,9.13347141445327e-33,9.150670467691067e-51,9.271057176693297e-23,6.2464988852430896e-52,4.763175655351634e-38,4.40047002534342e-50,4.183498485019367e-31,1.832310548536975e-39,1.1665301814917022e-55,1.802453325986455e-56,1.6824597868341768e-51,1.2141308666799513e-55,1.0290064491963922e-43,3.1959690525826608e-56,3.76,0.0,0.5087099936696861,0.9999999999997513,2.488228491338182e-46,1.1738513050082891e-19,6.779413115356244e-15,6.5010196298159e-15,2.7839348554034387e-16,7.437636554993646e-32,2.4860550829824936e-13,3.339034303735141e-36,1.2228009484499577e-37,2.8584110078569473e-39,3.3884806308554146e-49,1.7703986432046952e-33,1.7027606790250523e-33,6.509904680378928e-33,3.919534794014079e-33,1.0525372156231562e-37,3.920920097371311e-39,1.9523856638443055e-24,4.7309415640590964e-35,1.6197484939536777e-49,8.105013427445974e-50,9.065742601429316e-43,2.8659405064816355e-59,6.477677337596632e-39,8.418614541193398e-47,9.271057176821394e-23,1.6572389533714164e-53,5.422467749111093e-37,4.311839615059413e-22,9.572996875992319e-53,1.6869491291105388e-20,2.612628660071236e-31,5.889491373043483e-27,7.148659340944448e-20,3.693686828990209e-39,2.9287794636490156e-33,1.9523860816127986e-24,2.398301348173842e-47,2.20413249246881e-65,6.3324394498160185e-52,1.1150910143311927e-64,2.5181531089338854e-54,1.1738513050083159e-19,1.904330747426066e-36,5.826682529786073e-68,3.518419506843261e-72,1.2893110546140295e-70,1.169305783956499e-32,2.742113860704396e-53,1.4185829312820403e-40,1.424060061098381e-56,3.175747527821418e-43,1.1242429403400985e-57,1.2542818299451518e-51,3.3277605915880897e-72,7.41517000221118e-42,4.1177106684453246e-37,2.716661376560978e-49,4.6231173695857246e-58,1.8802765842229014e-46,7.983851060740765e-55,1.124212432703857e-58,8.410505667349314e-45,1.1817118934062593e-65,1.0929058384551703e-69,5.889491373048448e-27,2.6039552197626033e-45,7.602982662705718e-35,1.3833839382434817e-70,3.1636566432357247e-44,1.9778581920276091e-81,1.1823380178815575e-34,7.471141148278389e-51,3.600769386898251e-66,1.0391768891095939e-73,2.8211401255042313e-53,6.130376986378116e-65,1.3419838336842715e-64,4.8613846844989e-51,1.4589003839219717e-65,3.8702951257509736e-79
