Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CHF2(1),O2(2),H2O(3),CH4(4),HF(38),CH2CHF(56)
0.0,0.8756565971377127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6347290429793944,1.0,0.0,0.0,0.0,0.0
3.0548113569103664e-23,0.8756565971377128,1.5368152723107656e-58,6.077380225848375e-26,1.019552819469312e-74,9.63821677354527e-93,0.0,0.0,6.105358984273146e-60,8.764258060236755e-135,6.427051612005267e-74,1.9334146087605612e-92,1.3474829605967801e-70,2.817120887947182e-118,6.958249138311478e-94,1.9472435335387244e-76,2.8171209436101395e-118,8.399317449712653e-93,7.335124404332723e-76,1.5978688621534964e-58,1.740941604826571e-35,1.7173935872175305e-55,2.1220059484920364e-92,4.1845723953780055e-202,5.412476847271746e-137,1.0259162092451351e-125,9.872848287411321e-95,-5.8525374029474e-165,0.0,0.0,1.2099301788466623e-153,3.625563516755076e-130,6.5446843201058186e-111,0.0,3.76,0.0,0.6347290429793941,1.0,2.729778171156612e-93,1.547388145324599e-203,2.236067977499789e-16,2.236067977499789e-16
8.553471799349027e-23,0.8756565971377127,1.8245070912873412e-57,1.7016664632375454e-25,2.2806988750400732e-73,5.551119384863269e-91,0.0,0.0,7.2482821861290834e-59,9.338997069607741e-133,1.4394722767334968e-72,1.1132919661312668e-90,3.0142654835365726e-69,2.1738166841627022e-116,4.0076011684747195e-92,6.122445228411116e-75,2.1738167691797363e-116,4.8375768059810614e-91,2.3062804747126786e-74,1.896989913148631e-57,1.0515287293152488e-34,2.038889666744652e-54,1.222166779626848e-90,7.874189642344315e-188,7.571842219741739e-135,1.4691775819993666e-123,4.716378101075839e-93,1.9606982119979574e-162,1.8991044824987289e-249,1.960617934864484e-231,3.0588598155720694e-151,5.713115422309305e-128,5.693100467868557e-109,2.92634386311134e-200,3.76,0.0,0.6347290429793937,1.0,1.5722124619438446e-91,4.355144627553545e-169,6.260990336999407e-16,6.260990336999407e-16
1.9550792684226346e-22,0.8756565971377128,1.791311881405428e-56,3.889523344542961e-25,4.5062766464483554e-72,2.489354927196028e-89,0.0,0.0,7.116406432068781e-58,2.12533722732852e-130,2.8457165654619427e-71,4.992126735457221e-89,5.9556806482914294e-68,2.369131759019299e-114,1.7971769079815666e-90,1.3658838509343624e-73,2.369131937297172e-114,2.1693724855738804e-89,5.145184870772286e-73,1.862475945726113e-56,5.062658186835667e-34,2.0017939652607506e-53,5.480708815262349e-89,1.9486169265147857e-184,1.6462071459761052e-132,3.146990357349821e-121,2.455808299161241e-91,2.1298181859875395e-159,3.4085281943038546e-245,2.1119256351476665e-227,1.3278616711555753e-148,1.1858461551931102e-125,5.91754615472813e-107,1.3478343065424335e-196,3.76,0.0,0.6347290429793929,1.0,7.050460578115113e-90,5.3643980214486083e-166,1.4310835055998632e-15,1.4310835055998632e-15
4.1545434453980987e-22,0.8756565971377132,1.5843950731415042e-55,8.265237107153792e-25,8.018678522917413e-71,9.365575400430055e-88,0.0,0.0,6.294380898426236e-57,3.591725956313006e-128,5.0650769017348524e-70,1.8781133999723621e-87,1.0597815502838443e-66,1.938096878706639e-112,6.761429377400642e-89,2.5581492875056477e-72,1.9380971659486098e-112,8.161721481856258e-88,9.636361834314914e-72,1.647338882125762e-55,2.2109958381297414e-33,1.7705640926777774e-52,2.061979635622233e-87,2.9827965650835576e-181,2.697473110344021e-130,5.122044498667872e-119,9.800486248970081e-90,1.5635740721265744e-156,6.065021567509145e-241,1.5914257418211424e-223,4.354919301279074e-146,1.9011777028440764e-123,4.736810780898717e-105,4.3429041664003764e-193,3.76,0.0,0.6347290429793913,1.0,2.652559481603284e-88,4.107064258328405e-163,3.0410524493997048e-15,3.0410524493997048e-15
8.553471799349027e-22,0.8756565971377137,1.3317795259401466e-54,1.7016664632375456e-24,1.3524673363592396e-69,3.243001412472292e-86,0.0,0.0,5.29080641002734e-56,5.259077975414508e-126,8.54403126248827e-69,6.503233825383204e-86,1.78747648548151e-65,1.3948623994482572e-110,2.341268452676051e-87,4.418566727366883e-71,1.3948628098175206e-110,2.8261450217623452e-86,1.664441867483392e-70,1.3846875900404127e-54,9.230472388790444e-33,1.4882658043853003e-51,7.139980817948272e-86,3.6947706456374534e-178,3.8860615267021117e-128,7.355361212552757e-117,3.4832463118156906e-88,9.526691208666219e-154,7.109580863664694e-237,8.69593273881245e-220,1.2552947535011967e-143,2.7092177389304664e-121,3.3723778185999705e-103,1.1067176585226223e-189,3.76,0.0,0.634729042979388,1.0,9.184971320727621e-87,2.5436170318200907e-160,6.26099033699937e-15,6.26099033699937e-15
1.7351328507250885e-21,0.8756565971377148,1.0918733180955754e-53,3.451951968281878e-24,2.221431661175173e-68,1.0789669969232965e-84,0.0,0.0,4.3377227519996594e-55,7.1913442862813396e-124,1.4034437060732611e-67,2.1636547407300287e-84,2.935935494859154e-64,9.454831534577034e-109,7.789547834483802e-86,7.341514702775057e-70,9.454837077241754e-109,9.40276250042088e-85,2.7654950566573474e-69,1.13525054561556e-53,3.770949153718512e-32,1.220170223667621e-50,2.37551659139067e-84,4.1510276969456025e-175,5.270491520114341e-126,9.960153626663965e-115,1.1732532896511975e-86,5.3123733340476695e-151,6.9201642247868905e-233,4.0972989520462475e-216,3.405740493857298e-141,3.654528151237876e-119,2.2736334670728126e-101,2.5224110389191647e-186,3.76,0.0,0.6347290429793816,1.0,3.0558978126367856e-85,1.4287876793022692e-157,1.2700866112198637e-14,1.2700866112198637e-14
3.49470419230546e-21,0.8756565971377169,8.842273217212403e-53,6.952522978370543e-24,3.601036450753633e-67,3.52013552820793e-83,0.0,0.0,3.512800347626237e-54,9.511241245132741e-122,2.2751103362482623e-66,7.058915727015256e-83,4.7592779552156053e-63,6.225485640616687e-107,2.5413441330393046e-84,1.1968521868160692e-68,6.22549292630226e-107,3.0676562337323994e-83,4.508454917264257e-68,9.193553251974836e-53,1.524277940222666e-31,9.881254821753707e-50,7.75013543050525e-83,4.449751086442182e-172,6.942190355313597e-124,1.3109196310549394e-112,3.850734773718553e-85,2.8374105404019254e-148,6.169654965852296e-229,1.7983656648411537e-212,8.972940531094374e-139,4.800701029888487e-117,1.493057910593934e-99,5.446478453532711e-183,3.76,0.0,0.6347290429793687,1.0,9.969882759630298e-84,7.657783582278352e-155,2.5580617662596904e-14,2.5580617662596904e-14
7.013846875466203e-21,0.8756565971377211,7.117030745596604e-52,1.3953664998547874e-23,5.799358190169876e-66,1.1373563198030226e-81,0.0,0.0,2.827407326492914e-53,1.2374385620200474e-119,3.6640493182029715e-65,2.2807336542538253e-81,7.664670426509287e-62,4.0410159331460435e-105,8.211086783849373e-83,1.9329194786622375e-67,4.041025382906902e-105,9.911601915494738e-82,7.281166734075582e-67,7.399771478245583e-52,6.129054557455906e-31,7.953293530287956e-49,2.5040699258817017e-81,4.66137439020629e-169,9.013480106889558e-122,1.701395133667088e-110,1.2478535032299029e-83,1.4836467149007907e-145,5.270627102632729e-225,7.624686300874899e-209,2.3301551931538842e-136,6.224662757571406e-115,9.67863480074527e-98,1.1451633252687393e-179,3.76,0.0,0.634729042979343,1.0,3.2212706225357903e-82,4.010911963957573e-152,5.13401207633924e-14,5.13401207633924e-14
1.405213224178769e-20,0.8756565971377294,5.710968958400593e-51,2.795594903890253e-23,9.309254259321089e-65,3.65709946356934e-80,0.0,0.0,2.2688163156167354e-52,1.596848912054031e-117,5.8816540983438444e-64,7.333554204935956e-80,1.2303493502990119e-60,2.604540931401816e-103,2.6402245855507595e-81,3.1071116088665135e-66,2.604553107088646e-103,3.1870147830669556e-80,1.170426287037949e-65,5.937850589961764e-51,2.4580250062048207e-30,6.382017177124437e-48,8.051683208886914e-80,4.8276801560552755e-166,1.1619522704447863e-119,2.192891207854046e-108,4.018287109644396e-82,7.676421456853569e-143,4.408777458752712e-221,3.1783809952901515e-205,6.007900078952358e-134,8.018975288017445e-113,6.233977905199325e-96,2.3762519281950168e-176,3.76,0.0,0.6347290429792914,1.0,1.0357798044967605e-80,2.076984722825001e-149,1.0285912696497922e-13,1.0285912696497922e-13
2.812870297443066e-20,0.8756565971377461,4.575724809390395e-50,5.596051711961184e-23,1.491908023724953e-63,1.1730892136069542e-78,0.0,0.0,1.817813960982326e-51,2.0522813323038444e-115,9.42601749292452e-63,2.352386239473673e-78,1.9717670358585922e-59,1.6727825442024803e-101,8.469058660415985e-80,4.982961275910431e-65,1.6727981804633836e-101,1.0222999682849225e-78,1.8770451785430836e-64,4.757506205487821e-50,9.844921015173112e-30,5.113379978780182e-47,2.5827415463568676e-78,4.97162548305171e-163,1.4925906001698683e-117,2.8166061252736446e-106,1.2898901911847615e-80,3.9509837550339748e-140,3.649498932311461e-217,1.3142779804815756e-201,1.5435160636116947e-131,1.0297303583482946e-110,4.0024779399319167e-94,4.89853371913104e-173,3.76,0.0,0.6347290429791884,1.0,3.322474896925997e-79,1.069451257777683e-146,2.0589713936813612e-13,2.058971393681361e-13
5.62818444397166e-20,0.8756565971377797,3.663362084086222e-49,1.1196965328103045e-22,2.3889966515766885e-62,3.7583996356288965e-77,0.0,0.0,1.4553564774959769e-50,2.632254712007622e-113,1.5093937053209114e-61,7.536686898650783e-77,3.1573962814360604e-58,1.0724649976443442e-99,2.7133577432067263e-78,7.982016358567013e-64,1.0724850450023701e-99,3.2752938001122955e-77,3.006767360070414e-63,3.808897731834527e-49,3.940534066530507e-29,4.093813136957504e-46,8.274711568520363e-77,5.105407352817259e-160,1.9139228695430842e-115,3.6114794378393765e-104,4.134120636305291e-79,2.0282092827786087e-137,3.0052999539987446e-213,5.416724222126827e-198,3.95847491441635e-129,1.3201715127767921e-108,2.565667131298215e-92,1.006507489732038e-169,3.76,0.0,0.6347290429789824,1.0,1.0644704850364961e-77,5.491131663846073e-144,4.1197316417438306e-13,4.1197316417438296e-13
