Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CHF2(1),O2(2),H2O(3),CH4(4),HF(38),CH2CHF(56),C2H3F(124)
0.0,0.9284026736375605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7669619891505868,1.0,0.0,0.0,0.0,0.0,0.0
1.441995996977622e-23,0.9284026736375607,1.6807471564195002e-58,7.591599856661269e-26,5.670455228756074e-75,2.1562211081594404e-93,0.0,0.0,4.7140094301625724e-60,2.549723941734856e-135,3.0578429738098688e-74,4.3268753888556465e-93,3.45387818061706e-71,2.6518203361093233e-118,2.6291875678081397e-94,9.699910776215597e-77,2.6518203467760707e-118,1.8790597892457002e-93,3.653885660884339e-76,1.727887250721126e-58,1.458063911090577e-35,9.883245661618899e-56,5.0989751021992565e-93,8.363884735454897e-204,2.9003407036413654e-137,2.2000663253339918e-126,7.07246762467723e-95,-2.8528294085630503e-166,0.0,0.0,3.275475421780925e-154,6.981076850138485e-131,2.158670241984202e-111,0.0,3.76,0.0,0.7669619891505866,1.0,6.106944315048526e-94,3.621805433538677e-205,2.3054970530524364e-16,2.219759540421998e-16,8.573751263043868e-18
4.037588791537341e-23,0.9284026736375605,1.995383024101232e-57,2.125647959865156e-25,1.2684581528518192e-73,1.2418729597791007e-91,0.0,0.0,5.596471995489012e-59,2.7169287184963685e-133,6.849072177750816e-73,2.491238632963689e-91,7.726187334913144e-70,2.0462633728991258e-116,1.5142809892897102e-92,3.049807146614605e-75,2.04626338912547e-116,1.0822422307443146e-91,1.1488401139526112e-74,2.0513477440561217e-57,8.806706022987091e-35,1.1733389249473966e-54,2.9367485913415377e-91,1.961032378003768e-188,4.057462502736679e-135,3.1283358198912507e-124,3.3786026539198126e-93,9.559777178176209e-164,6.19142885710632e-250,3.745509312469084e-232,8.280824932485776e-152,1.100068930871995e-128,1.8777875239696054e-109,2.6070575277684403e-201,3.76,0.0,0.7669619891505861,1.0,3.5172872499190226e-92,1.9458608062846513e-169,6.455391748546819e-16,6.215326713181596e-16,2.4006503536522352e-17
9.22877438065678e-23,0.9284026736375608,1.9590788855225713e-56,4.858623908263213e-25,2.506259556554892e-72,5.56907959826515e-90,0.0,0.0,5.4946493917975e-58,6.183094079995084e-131,1.3540392925757778e-71,1.1170664419050846e-89,1.526564419986939e-68,2.2301179208774937e-114,6.790673551187282e-91,6.803951974440398e-74,2.2301179549687795e-114,4.853228408074204e-90,2.5629990966218853e-73,2.0140253794405457e-56,4.240049853451403e-34,1.1519911143182992e-53,1.3169613313895808e-89,4.852944809292013e-185,8.82139825498827e-133,6.71714369961443e-122,1.7592313973241107e-91,1.0384617129596906e-160,1.111242645071372e-245,4.0345271476278974e-228,3.5947347639901575e-149,2.283364531771801e-126,1.9518177141923886e-107,1.2006378307754842e-197,3.76,0.0,0.7669619891505853,1.0,1.5772992326241165e-90,2.3967910257036618e-166,1.4755181139535578e-15,1.42064610587008e-15,5.487200808347741e-17
1.961114555889566e-22,0.9284026736375611,1.7327830883822522e-55,1.0324575805059328e-24,4.459754971955117e-71,2.0952269328383286e-88,0.0,0.0,4.859955162120417e-57,1.0449155650164013e-128,2.4100763551335918e-70,4.202524662033994e-88,2.7164398213427476e-67,1.8243749277118107e-112,2.5548215189341002e-89,1.2743049040173346e-72,1.8243749826883472e-112,1.8259058238242515e-88,4.800213655367387e-72,1.7813826400034546e-55,1.851741167085038e-33,1.018923094730263e-52,4.954737676749376e-88,7.428523317705432e-182,1.4454732060400576e-130,1.0945200230797803e-119,7.020630691784891e-90,7.62386080690451e-158,1.9773079858545673e-241,3.040147217324759e-224,1.1789465154577584e-146,3.6607461400105967e-124,1.5623690883337814e-105,3.868487190841444e-194,3.76,0.0,0.7669619891505837,1.0,5.934193927428817e-89,1.8350193541576348e-163,3.135475992151306e-15,3.0188729749739253e-15,1.1660301717737986e-16
4.0375887915373417e-22,0.9284026736375616,1.456508593798644e-54,2.125647959865156e-24,7.522028611692686e-70,7.255105652486367e-87,0.0,0.0,4.085085148028023e-56,1.5299865582692348e-126,4.065463470578086e-69,1.4551763146003956e-86,4.581672801885741e-66,1.3130158853873295e-110,8.846536560688903e-88,2.201044824440902e-71,1.3130159639643327e-110,6.322532159029514e-87,8.291175360817108e-71,1.4973594452789207e-54,7.730654856602288e-33,8.564662558428371e-52,1.7156683489398914e-86,9.201662312474624e-179,2.082392273607157e-128,1.572648220943806e-117,2.4952421076403158e-88,4.6451790408376384e-155,2.3178530177386506e-237,1.6611645319033166e-220,3.398283876340899e-144,5.216639331190122e-122,1.112330447990476e-103,9.858042117716188e-191,3.76,0.0,0.7669619891505803,1.0,2.054822951684592e-87,1.1364774579800151e-160,6.455391748546787e-15,6.215326713181632e-15,2.4006503536515423e-16
8.190537262832893e-22,0.9284026736375627,1.1941337437388546e-53,4.312028718583602e-24,1.2354954581943019e-68,2.4138193489890877e-85,0.0,0.0,3.349199614802326e-55,2.092127202778297e-124,6.677954419880001e-68,4.841424425574632e-85,7.525411334999363e-65,8.900049211643932e-109,2.943298569022058e-86,3.657068895218323e-70,8.900050273179045e-109,2.1035462736288335e-85,1.3775911867013865e-69,1.2276257398868722e-53,3.158224753978674e-32,7.021827820516055e-51,5.708136663316472e-85,1.033794787146722e-175,2.8242548918449305e-126,2.130182564866936e-115,8.404662631334924e-87,2.590304405294015e-152,2.2560989444804717e-233,7.826553091196177e-217,9.219882660059777e-142,7.03684868762736e-120,7.499253847082997e-102,2.2468080169700815e-187,3.76,0.0,0.7669619891505737,1.0,6.836525389293708e-86,6.383762167115716e-158,1.3095223261337693e-14,1.260823418959711e-14,4.869890717405807e-16
1.6496434205423996e-21,0.9284026736375649,9.670404656877642e-53,8.684790236020495e-24,2.002791378846521e-67,7.875098379544336e-84,0.0,0.0,2.7122686819308376e-54,2.7670385047604945e-122,1.0825588677494975e-66,1.5795110921113943e-83,1.2199016066022764e-63,5.860192047340786e-107,9.602527351415665e-85,5.961945295736762e-69,5.860193442852726e-107,6.862830831846905e-84,2.2458213203862753e-68,9.941631525070635e-53,1.2766049412275668e-31,5.686458222234188e-50,1.8622826023134544e-83,1.1081899945983761e-172,3.7200526574904357e-124,2.8040659337459375e-113,2.7584944309406066e-85,1.3835195385462073e-149,2.011417908331213e-229,3.434817486615612e-213,2.4291169776656447e-139,9.243821731246352e-118,4.924637344626749e-100,4.85136544694469e-184,3.76,0.0,0.7669619891505604,1.0,2.2304200203502443e-84,3.4214633434244204e-155,2.6374886286919266e-14,2.5394049142428325e-14,9.808371444909442e-16
3.31082280906062e-21,0.9284026736375693,7.783582974046501e-52,1.743031327089428e-23,3.225433773014127e-66,2.5444454735541426e-82,0.0,0.0,2.183069797260451e-53,3.599992955848297e-120,1.7434547115717998e-65,5.1033928439012056e-82,1.964613929961711e-62,3.8039007399039406e-105,3.1025780702950173e-83,9.628557577778737e-68,3.80390255002485e-105,2.2173816762998998e-82,3.6270074313169704e-67,8.001889953772403e-52,5.133172321551098e-31,4.576956287938742e-49,6.017037895352564e-82,1.1608927347022783e-169,4.829972650276656e-122,3.639552155513127e-111,8.939065247450632e-84,7.234259194462609e-147,1.7183163181201462e-225,1.4559726133295952e-209,6.308092965875743e-137,1.1985681364011546e-115,3.19235885269846e-98,1.0200340280539656e-180,3.76,0.0,0.7669619891505338,1.0,7.206490447974674e-83,1.792055824861554e-152,5.2934212338081506e-14,5.09656790480918e-14,1.968533289989714e-15
6.633181586097061e-21,0.9284026736375782,6.245835143739097e-51,3.492135934064185e-23,5.177535531515928e-65,8.181508305179941e-81,0.0,0.0,1.751776027368039e-52,4.645600203023408e-118,2.7986525868767728e-64,1.640963078328173e-80,3.153640453941802e-61,2.4517139600484125e-103,9.976149482871366e-82,1.5477625093449144e-66,2.4517162923893703e-103,7.129854732182914e-81,5.830308515019504e-66,6.421012746475668e-51,2.058631687685543e-30,3.672719174432219e-48,1.9347416175768715e-80,1.202308168473117e-166,6.226437755463853e-120,4.691104740434437e-109,2.878521442071047e-82,3.7430238846210644e-144,1.4373342591975684e-221,6.066642093661735e-206,1.6264290991931486e-134,1.544065701409703e-113,2.056188187993431e-96,2.1166019992363154e-177,3.76,0.0,0.7669619891504807,1.0,2.3172027879594464e-81,9.279849016402196e-150,1.060528644404023e-13,1.0210893885942288e-13,3.9439255809794254e-15
