Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CHF2(1),O2(2),H2O(3),CH4(4),HF(38),CH2CHF(56),C2H3F(124),C2H3F(139)
0.0,0.8631777887729413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.8698945694240683,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5.865653407556889e-23,0.8631777887729414,3.4608966776649004e-59,2.1318843063489243e-26,3.5479023875396995e-75,7.880357705748288e-93,0.0,0.0,2.338193826527237e-60,2.1368473667059278e-135,2.9524955727613616e-74,1.580188761990382e-92,1.8218966740150507e-70,2.0059951292241744e-119,2.458307020674208e-94,8.29798876808334e-77,2.0059954338134187e-119,6.867414122656461e-93,3.125791862768894e-76,3.6947160603176214e-59,1.2158635672921649e-35,1.192452551359624e-55,1.532147154115945e-92,6.49132353066575e-202,4.8933460325514067e-138,4.677377061955872e-126,2.206655674294634e-95,-8.59741361371578e-165,0.0,0.0,1.8467714248656205e-154,1.964632279407049e-130,2.6940425991352204e-111,0.0,3.76,0.0,0.8698945694240681,1.0,2.2319095898633484e-93,1.843440839051497e-203,2.3377486123779086e-16,2.241813525806674e-16,9.593508657123448e-18,2.678540795549143e-35
1.642382954115929e-22,0.8631777887729413,4.108776535723782e-58,5.969276057776989e-26,7.936515724830827e-74,4.538682564196485e-91,0.0,0.0,2.7759037108531435e-59,2.2769766885808282e-133,6.612142431872549e-73,9.099965198698697e-91,4.075509983904716e-69,1.5479157102937806e-117,1.4158599150712696e-92,2.6090204365056957e-75,1.5479161784653613e-117,3.955278923047047e-91,9.827989743243473e-75,4.38636690680909e-58,7.3438159464447e-35,1.4156796689741494e-54,8.824383148364917e-91,6.588496188778161e-189,6.845599521119814e-136,6.7801778993590285e-124,1.0541458954786417e-93,2.8801543069979117e-162,2.5634068267702276e-251,6.456050095188953e-233,4.668877371698348e-152,3.0958417699141286e-128,2.3434980866039085e-109,7.051918900411517e-201,3.76,0.0,0.8698945694240676,1.0,1.2854656499902901e-91,2.771539927254165e-170,6.545696114658143e-16,6.277077872258707e-16,2.686182423994363e-17,1.617838640511544e-34
3.7540181808364093e-22,0.8631777887729414,4.034021167486239e-57,1.364405956063312e-25,1.5681217654981777e-72,2.0353357621833203e-89,0.0,0.0,2.7253987242001696e-58,5.181866196048989e-131,1.3071135167629182e-71,4.08065769255903e-89,8.0525209460255e-68,1.6869942604922103e-115,6.34931066121065e-91,5.8205810718305e-74,1.6869952400654033e-115,1.7737130825126975e-89,2.192570448021572e-73,4.3065610399062453e-57,3.535731253685646e-34,1.389922693864786e-53,3.957223786205564e-89,1.6304481966975983e-185,1.4883138408107068e-133,1.4463633063965169e-121,5.488915823039535e-92,3.1285680186033374e-159,4.6008251798297217e-247,6.956048434123854e-229,2.0267763749747616e-149,6.425902136692698e-126,2.435888523180723e-107,3.248962885717153e-197,3.76,0.0,0.8698945694240667,1.0,5.7645675181662675e-90,3.41381243825433e-167,1.4961591119218602e-15,1.4347606565162847e-15,6.139845540557587e-17,7.789196633454835e-34
7.97728863427737e-22,0.8631777887729418,3.5680460388054662e-56,2.8993626566345376e-25,2.790388897279569e-71,7.657441828671292e-88,0.0,0.0,2.4105843073965625e-57,8.757124789031677e-129,2.3264825554465007e-70,1.5352239021061462e-87,1.432903077890906e-66,1.3800660508684928e-113,2.3887694666670093e-89,1.0901304171351341e-72,1.380067627489063e-113,6.673151920410713e-88,4.106441792671817e-72,3.8091044695451015e-56,1.5441467304610787e-33,1.229370882349732e-52,1.4888064912394367e-87,2.4957689557128456e-182,2.4387505120677847e-131,2.3495602937600878e-119,2.190482215726168e-90,2.296783300303972e-156,8.186561153723199e-243,5.243652279220334e-225,6.647116967207224e-147,1.0302164247392629e-123,1.949852644317938e-105,1.04694740643091e-193,3.76,0.0,0.8698945694240651,1.0,2.1687743741334817e-88,2.613667693192299e-164,3.179338112833949e-15,3.0488663950971416e-15,1.304717177368079e-16,3.4017468103452696e-33
1.6423829541159292e-21,0.8631777887729423,2.999157686517668e-55,5.969276057776989e-25,4.706398727077444e-70,2.6515289882953274e-86,0.0,0.0,2.0262413589673542e-56,1.282235968615782e-126,3.9243955248328267e-69,5.3159596334990884e-86,2.4168004783798334e-65,9.932435598350472e-112,8.271550453264603e-88,1.8829291993121616e-71,9.932458110646586e-112,2.310700643394621e-86,7.092856996888185e-71,3.2017818224143683e-55,6.446508633783317e-33,1.0333603017674529e-51,5.155264196330782e-86,3.091495713881993e-179,3.5133413324688253e-129,3.370730975780757e-117,7.785316876321478e-89,1.399403533869946e-153,9.596520649107647e-239,2.8674503438759923e-221,1.9160169434694273e-144,1.4680798163506249e-121,1.3881998060283402e-103,2.6680815977498253e-190,3.76,0.0,0.8698945694240617,1.0,7.509777091032519e-87,1.6187173246518516e-161,6.545696114658113e-15,6.277077872258971e-15,2.6861824239914205e-16,1.4201623297982272e-32
3.331691135492313e-21,0.8631777887729433,2.458890672882451e-54,1.2109102860061892e-24,7.730274041655519e-69,8.82180395837443e-85,0.0,0.0,1.661235086428039e-55,1.7533492276929792e-124,6.446189415689307e-68,1.7686479837967783e-84,3.969602042936394e-64,6.732528265698133e-110,2.7519969714665666e-86,3.128515026245404e-70,6.732558663769119e-110,7.687846586818674e-85,1.178488798297929e-69,2.625014181525197e-54,2.6336091212977376e-32,8.472112083887195e-51,1.7151888700599114e-84,3.473262726258962e-176,4.764997069658035e-127,4.562207041273503e-115,2.622309138787426e-87,7.803494695987494e-151,9.340873520295344e-235,1.3531416977936897e-217,5.198356135448811e-142,1.9803277307773358e-119,9.35914570592377e-102,6.081173934576872e-187,3.76,0.0,0.869894569424055,1.0,2.4985501407160695e-85,9.092594523848865e-159,1.327841211830639e-14,1.27335008265831e-14,5.449112917232908e-16,5.801826504774937e-32
6.710307498245081e-21,0.8631777887729454,1.9912734179461483e-53,2.4388756464631695e-24,1.2531107341646634e-67,2.8781182024392675e-83,0.0,0.0,1.3453112434176835e-54,2.318972201535489e-122,1.0449838943133292e-66,5.770214997675481e-83,6.434895973364548e-63,4.43299892651444e-108,8.978404717180287e-85,5.10026908920267e-69,4.433038878566198e-108,2.5081640108403196e-83,1.9212341764405987e-68,2.125804542287823e-53,1.0645469146156984e-31,6.860936019871164e-50,5.595812750807958e-83,3.7232260378721525e-173,6.276387223792993e-125,6.003158360366337e-113,8.606681163597949e-86,4.1679506647509584e-148,8.327881584441143e-231,5.957349750820917e-214,1.3695911948048937e-139,2.60141965890743e-117,6.145997908195473e-100,1.3130829383675964e-183,3.76,0.0,0.8698945694240415,1.0,8.1515330352310385e-84,4.873319571149076e-156,2.6743844125602733e-14,2.5646346735233224e-14,1.0974973903695104e-15,2.3451910364480295e-31
1.3467540223750618e-20,0.8631777887729493,1.602750083635423e-52,4.894806367377131e-24,2.0180962061208667e-66,9.299204250671083e-82,0.0,0.0,1.0828235281357482e-53,3.017046411163036e-120,1.6829374691200346e-65,1.8643559951981379e-81,1.0363201588313818e-61,2.8774974881948903e-106,2.900923926895342e-83,8.236948202573163e-68,2.8775493037464387e-106,8.103881699931227e-82,3.102798326828865e-67,1.7110324364488473e-52,4.2804963231962e-31,5.522278196736603e-49,1.8080079433206032e-81,3.9003271206041664e-170,8.149089770491923e-123,7.79034021039927e-111,2.7890462138504253e-84,2.179369217175868e-145,7.114446245766069e-227,2.541226451807226e-210,3.556676715421997e-137,3.373040721928886e-115,3.984096585772918e-98,2.7608723600646095e-180,3.76,0.0,0.8698945694240146,1.0,2.6337615524776482e-82,2.5525148803425954e-153,5.367470814019459e-14,5.1472038552540954e-14,2.2026695876536366e-15,9.42991001225363e-31
2.6982005674761693e-20,0.8631777887729577,1.2861060044432539e-51,9.806667809205054e-24,3.2394913517156702e-65,2.990102071323771e-80,0.0,0.0,8.688976874853864e-53,3.8933385681954434e-118,2.701505880984823e-64,5.994720171969035e-80,1.663523365219207e-60,1.854622726562164e-104,9.327742915115694e-82,1.32406536663227e-66,1.8546894868353822e-104,2.605753439062107e-80,4.987657689671412e-66,1.372995773191551e-51,1.716670475479564e-30,4.4312804719489695e-48,5.813538611004889e-80,4.0395432262544924e-167,1.0505377370180279e-120,1.0040194097680976e-108,8.981173206883991e-83,1.1276104305492324e-142,5.9512375150791024e-223,1.072181874041363e-206,9.170415297250414e-135,4.345348695676603e-113,2.5661439448040893e-96,5.728921421372348e-177,3.76,0.0,0.8698945694239607,1.0,8.46869867695185e-81,1.3217981958575887e-150,1.0753643616937496e-13,1.0312342218718631e-13,4.413013982188641e-15,3.781815677903301e-30
5.401093657678384e-20,0.8631777887729744,1.0304498579675628e-50,1.9630390692860902e-23,5.191632977019944e-64,9.591362013524578e-79,0.0,0.0,6.961755061903088e-52,5.003745816864634e-116,4.3294682907058276e-63,1.9229283723988652e-78,2.6659749396578397e-59,1.1911429325885292e-102,2.9920637157540162e-80,2.1234404422034947e-65,1.1912286660208842e-102,8.358485414836223e-79,7.998845311583692e-65,1.100067408586207e-50,6.875636007577892e-30,3.550416775256348e-47,1.864811035464148e-78,4.160117736743352e-164,1.3495146795173495e-118,1.2895495747296486e-106,2.8830013657065105e-81,5.803707257927125e-140,4.926550456638504e-219,4.5397430006457964e-203,2.3560850956828562e-132,5.579936723634317e-111,1.6475731364420972e-94,1.1809939157497724e-173,3.76,0.0,0.869894569423853,1.0,2.716507759821772e-79,6.806224146110209e-148,2.1525989222772234e-13,2.0642618945659671e-13,8.83370277112565e-15,1.5146988557094496e-29
1.0806879838082814e-19,0.8631777887730073,8.249864440030821e-50,3.9277836460172596e-23,8.313376964999232e-63,3.072926686114814e-77,0.0,0.0,5.573637094645427e-51,6.4178011546666526e-114,6.932802031466024e-62,6.1607698436996565e-77,4.269033414092289e-58,7.636731425863049e-101,9.586117622746597e-79,3.401458572048955e-64,7.637830610837443e-101,2.677931752605495e-77,1.2813046417894072e-63,8.807228149489168e-50,2.7520462454912826e-29,2.8424922256028246e-46,5.974571272928578e-77,4.272327205707425e-161,1.730567028595647e-116,1.6534479279828443e-104,9.24006983070893e-80,2.9792915891623936e-137,4.057314690521553e-215,1.958325668871306e-199,6.042751640723911e-130,7.153788801052568e-109,1.0561268059508591e-92,2.426610207161925e-170,3.76,0.0,0.8698945694236375,1.0,8.70327819596786e-78,3.494893175749644e-145,4.307068043443638e-13,4.1303172399589613e-13,1.767508034846768e-14,6.062742841696252e-29
