Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CHF2(1),O2(2),H2O(3),CH4(4),HF(38),CH2CHF(56),C2H3F(124),C2H3F(139),O2(143),S(285),S(141),S(377),S(145),CHFO(47),S(284)
0.0,0.8705840396285432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6064403113960647,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.849426653195256e-23,0.8705840396285432,3.669211063679073e-57,5.578967725745157e-26,1.5322396438435619e-71,9.44771930663949e-56,0.0,0.0,1.9576165528700055e-56,7.256763306557832e-110,1.2653618229726781e-54,2.088989412280693e-71,2.312573218470919e-56,7.778203687891862e-103,5.907765931916149e-81,2.2446276135478416e-55,1.491587582822817e-103,1.3081897801311767e-37,9.168269280878126e-74,1.196444076699812e-58,1.4205209997429362e-35,1.2990528776871072e-55,7.10124732309666e-60,-1.3458572155847052e-148,3.6741839670227125e-95,1.7795186665590036e-57,4.009888914844262e-91,3.9568496459827085e-110,6.88220883051518e-223,-2.3089839852465395e-164,3.2183542117702086e-93,-1.715648587994226e-114,2.1496001384260262e-105,-1.3695291275102739e-176,3.76,0.0,0.6064403113960645,0.9999999999999998,2.951792122812208e-72,-4.55275505794896e-134,2.0551479603894437e-16,1.9747549913865225e-16,8.039296900292097e-18,2.2778904562830084e-35,2.0298390466821399e-16,3.86167929762515e-39,8.219538692207519e-40,1.1765286252179861e-92,1.2100540748982498e-104,1.3081897801311767e-37,1.206836894260874e-37
7.978394628946716e-23,0.8705840396285432,4.35608737480033e-56,1.562110963208796e-25,3.438364853638914e-70,1.1216332360843714e-54,0.0,0.0,2.3240823715675413e-55,5.599643670338468e-108,1.5022375562333388e-53,4.676515366357128e-70,2.7454869249690048e-55,3.608910347299331e-101,1.4899954990694953e-79,2.6669289213309136e-54,1.7834222289429438e-101,7.901466271993315e-37,2.8826502246549354e-72,1.420418407858018e-57,8.579946838447346e-35,1.5422355763901353e-54,9.555502965660287e-59,2.3723700971547227e-145,1.755201771255109e-93,2.6892086089042164e-56,2.4018214702595836e-89,3.0905112579215922e-108,9.721597115957716e-211,1.3930024751379122e-161,1.537446427213835e-91,5.1180130689181803e-113,2.5685089488893146e-103,8.655559755010804e-174,3.76,0.0,0.6064403113960641,0.9999999999999994,6.6080284003723265e-71,5.3635381354552763e-132,5.754414289090441e-16,5.529313975882271e-16,2.2510031320816933e-17,1.3758458355948714e-34,5.683549330709544e-16,2.3324542957657053e-38,4.9646013700937635e-39,7.157397773188748e-91,1.4467376393809991e-102,7.901466271993315e-37,7.289294841335105e-37
1.8236330580449638e-22,0.8705840396285436,4.276832415825966e-55,3.570539344477961e-25,6.803386713879678e-69,1.1012261623823008e-53,0.0,0.0,2.281797854026108e-54,6.102765589789009e-106,1.4749057408574916e-52,9.243409443151818e-69,2.695535343450713e-54,1.5084536865344683e-99,3.106396030199939e-78,2.6193299126599163e-53,1.6175009794017592e-99,3.804215880622955e-36,6.431033916981464e-71,1.394575215801304e-56,4.130875067252473e-34,1.5141760342320948e-53,9.87457492386885e-58,1.3774299041170997e-142,9.139299233811513e-92,2.8929279058524576e-55,1.0938159776176309e-87,3.3702687721453044e-106,7.624013371301778e-207,1.4575971076279104e-158,8.005451671926033e-90,6.6026877051623514e-111,2.3297165535837504e-101,1.8980912494466368e-170,3.76,0.0,0.6064403113960634,0.9999999999999987,1.306115935514524e-69,1.3528327879286206e-129,1.3152946946492425e-15,1.2638431944873797e-15,5.145150016186284e-17,6.624105446870005e-34,1.2990969898762558e-15,1.1229763397495615e-37,2.390241851694564e-38,3.231191485577352e-89,1.3121333922824855e-100,3.804215880622955e-36,3.509481688509755e-36
3.875220248345548e-22,0.8705840396285437,3.782809838214004e-54,7.587396107018713e-25,1.2114222422599878e-67,9.740220696381455e-53,0.0,0.0,2.0182243613485975e-53,4.992441174298171e-104,1.3045374250130379e-51,1.645091489359817e-67,2.3841704853168905e-53,5.515775549547055e-98,5.6594670840120846e-77,2.31713432095778e-52,1.2267317697465132e-97,1.661401020768133e-35,1.2044614671274018e-69,1.2334859853144443e-55,1.804061669673544e-33,1.3392715547803061e-52,8.929712005808693e-57,5.135591264976193e-140,3.6472544089400356e-90,2.6590991530675475e-54,4.1454242240584266e-86,2.7576276909722777e-104,2.729376628690491e-203,1.031959398089049e-155,3.194765611565613e-88,5.66696818121692e-109,1.7669307739598714e-99,2.801877378631289e-167,3.76,0.0,0.6064403113960619,0.9999999999999972,2.3245537567278823e-68,2.3630931133531465e-127,2.795001226129636e-15,2.6856667882856963e-15,1.093344378439396e-16,2.8929208794784043e-33,2.760581103486141e-15,4.90433270798566e-37,1.0438814139109878e-37,1.2200364241238866e-87,9.95134433160611e-99,1.661401020768133e-35,1.5326828557104144e-35
7.978394628946717e-22,0.8705840396285442,3.1796796004134715e-53,1.5621109632109905e-24,2.0438856904167172e-66,8.1872423876401e-52,0.0,0.0,1.6964391828554454e-52,3.593096171821234e-102,1.0965423100009927e-50,2.7749081702862636e-66,2.004038949959227e-52,1.8848952391901227e-96,9.650954162883355e-76,1.947836396408546e-51,8.532619209658749e-96,6.936022214269317e-35,2.080407646208296e-68,1.0368192937628415e-54,7.531602340637183e-33,1.1257384389576151e-51,7.583577935118395e-56,1.5695195115030005e-137,1.2962913416211355e-88,2.2749153091082655e-53,1.4406593195511728e-84,1.9848608107948393e-102,7.297577045403791e-200,6.170187309351699e-153,1.1354697359828865e-86,4.16540593666524e-107,1.2290139496781277e-97,3.426223145544986e-164,3.76,0.0,0.6064403113960589,0.9999999999999943,3.921011846826276e-67,3.5105092395825965e-125,5.7544142890904075e-15,5.529313975882375e-15,2.2510031320803293e-16,1.2077375199203358e-32,5.683549330703044e-15,2.047462363602395e-36,4.357999414614098e-37,4.232873119279612e-86,6.92171689911583e-97,6.936022214269317e-35,6.398649213363085e-35
1.6184743390149055e-21,0.8705840396285451,2.606893444574236e-52,3.168853668233105e-24,3.3576084965085726e-65,6.712395961750924e-51,0.0,0.0,1.3908433366459928e-51,2.4355175826419673e-100,8.990116360364973e-50,4.5579715421159306e-65,1.6430322101134188e-51,6.231135914641871e-95,1.593597547043003e-74,1.597011814366347e-50,5.690458461842829e-94,2.8335913913670236e-34,3.4566284111714185e-67,8.500470990100225e-54,3.076905306283304e-32,9.229483865091693e-51,6.248362270658961e-55,4.3793569685195106e-135,4.366266249245214e-87,1.88094397012224e-52,4.801840302609836e-83,1.3454604503029766e-100,1.7062460919293433e-196,3.408370753527929e-150,3.824574789693149e-85,2.851633274288648e-105,8.19641128580152e-96,3.828392631690533e-161,3.76,0.0,0.606440311396053,0.9999999999999885,6.440523191018311e-66,4.83300205682785e-123,1.1673240415011896e-14,1.1216608351075916e-14,4.566320639359787e-16,4.934001843919496e-32,1.1529485785125372e-14,8.364551825840988e-36,1.7803849588917093e-36,1.4097234783026115e-84,4.616133793729271e-95,2.8335913913670236e-34,2.6140569864379895e-34
3.2597440912553727e-21,0.8705840396285471,2.1111298997018163e-51,6.3823390782928345e-24,5.4432459725019935e-64,5.435872280465113e-50,0.0,0.0,1.1263409940690283e-50,1.603654140516661e-98,7.280429313159327e-49,7.388809407872273e-64,1.3305700822420005e-50,2.026497055130462e-93,2.5900253829271745e-73,1.2933246511395327e-49,3.717240158926808e-92,1.145382945623903e-33,5.635176711533556e-66,6.883901797376602e-53,1.2437343202830229e-31,7.474275324479846e-50,5.072407012851313e-54,1.1697690336133306e-132,1.433052302150592e-85,1.529552398581131e-51,1.568013874568756e-81,8.859299998283345e-99,3.7498872115643653e-193,1.811905729591564e-147,1.2552637412033456e-83,1.886727392722168e-103,5.354242983728492e-94,4.093603723441544e-158,3.76,0.0,0.6064403113960412,0.9999999999999768,1.044056504482948e-64,6.413153076405633e-121,2.351089266685464e-14,2.2591197101463735e-14,9.196955653909064e-16,1.9944024332112977e-31,2.3221358693924126e-14,3.3810855856877935e-35,7.196600662924286e-36,4.6015722272382935e-83,3.0154461850197773e-93,1.1453829456239025e-33,1.056643629090698e-33
6.542283595736308e-21,0.8705840396285508,1.6992210074446052e-50,1.28093098984743e-23,8.766514926852897e-63,4.3752629215535775e-49,0.0,0.0,9.065772214858285e-50,1.0409456076635735e-96,5.859922894312754e-48,1.1899562614815977e-62,1.0709585591781077e-49,6.537339385490597e-92,4.176541733285244e-72,1.0409894145710858e-48,2.403448940177041e-90,4.605534448620952e-33,9.100825436050666e-65,5.540763052450196e-52,5.001001000435765e-31,6.015947028398943e-49,4.0876361256110757e-53,3.0584661047735446e-130,4.643891206896465e-84,1.23363942130414e-50,5.0685299043064855e-80,5.750706506685433e-97,8.035649449138169e-190,9.451985173046116e-145,4.067756802290666e-82,1.2276081840292744e-101,3.461886542219412e-92,4.283116977192544e-155,3.76,0.0,0.6064403113960175,0.9999999999999534,1.6814367598774303e-63,8.357199256213642e-119,4.71861971705392e-14,4.534037460224229e-14,1.8458225682969065e-15,8.019404466910849e-31,4.660510451133801e-14,1.359519643454789e-34,2.8937214747783507e-35,1.4871486298405682e-81,1.949690959959492e-91,4.605534448620949e-33,4.248717559675577e-33
1.3107362604698177e-20,0.8705840396285587,1.3635178452959754e-49,2.566325153908526e-23,1.4072466337023448e-61,3.510872950168534e-48,0.0,0.0,7.274711260148009e-49,6.70916791086851e-95,4.702219077707551e-47,1.9101523609729237e-61,8.593767971403067e-49,2.1003960511840683e-90,6.708582018573431e-71,8.353321308512363e-48,1.5460691578968965e-88,1.8470253014913009e-32,1.462931108419711e-63,4.446113404523139e-51,2.005625076411671e-30,4.8274186191804907e-48,3.2820378537843635e-52,7.912437738082092e-128,1.4954069630372123e-82,9.90926271393236e-50,1.6301199768352016e-78,3.706500388568381e-95,1.717272041694133e-186,4.884738622605387e-142,1.3098825047960587e-80,7.921609485220133e-100,2.226932643363155e-90,4.433297065670022e-152,3.76,0.0,0.6064403113959702,0.9999999999999066,2.699091135431094e-62,1.0793183756330491e-116,9.453680617790463e-14,9.083872960381113e-14,3.698076574093491e-15,3.21613986784157e-30,9.337259614543131e-14,5.452281830310934e-34,1.1605117362552723e-34,4.782447123593733e-80,1.254179657651606e-89,1.8470253014912976e-32,1.7039257699488286e-32
