Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CHF2(1),O2(2),H2O(3),CH4(4),HF(38),CH2CHF(56),C2H3F(124),C2H3F(139),O2(143),S(285),S(141),S(377),S(145),CHFO(47),S(284),CH2CF(70)
0.0,0.811203622609423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5298971179944137,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.674781892909167e-23,0.811203622609423,8.213291118148505e-37,2.0746081858697902e-26,8.674539640299368e-53,6.71615802059447e-56,0.0,0.0,1.1352694047811788e-39,8.414645903709836e-74,1.4007012477646567e-54,2.500136377038359e-71,2.033303341941192e-56,2.827377734107201e-97,1.591182309718469e-81,1.2758039666901566e-55,1.3248431506625187e-84,1.135110514509723e-37,6.5278448759620785e-74,2.0726909745487133e-59,6.979571402244639e-36,6.637480172429942e-56,3.336707115275277e-60,-7.49434442584168e-129,3.2240166564802235e-77,9.095947841604731e-58,5.0337728371701135e-71,3.1997468672531945e-110,1.5056549551028833e-184,-1.0956216558761568e-145,5.029511316608108e-76,-9.885997592805663e-95,2.087597271043311e-86,-6.0647166649603275e-120,3.76,0.0,0.5298971179944136,0.9999999999999997,3.532754115741712e-72,-4.235660605140585e-118,1.3827481572425033e-16,1.3255503796552458e-16,5.719777758725787e-18,1.548890977725119e-35,2.971136506267411e-16,2.004807043875165e-39,3.1044157762344187e-40,5.176856609506441e-76,1.1514176905436515e-85,1.135110514509723e-37,1.0568324826795676e-37,8.224643812196318e-37
1.5889389300145667e-22,0.811203622609423,4.9608278353613935e-36,5.808902920436161e-26,1.0298420681668375e-51,7.97342280205485e-55,0.0,0.0,6.857027204878357e-39,2.645699306460844e-72,1.6629125213465892e-53,5.596169184635151e-70,2.413937727553156e-55,1.3506722444013077e-95,3.95211513752391e-80,1.5156165468758075e-54,8.059825446744605e-83,6.856067507640478e-37,2.0524586971943084e-72,2.460698724984236e-58,4.215661126955772e-35,7.880016460708838e-55,4.418838498078937e-59,1.3024815679966346e-126,1.0136824210646623e-75,1.3745796378234758e-56,1.5826987203715873e-69,2.493703885140153e-108,9.035472110392685e-182,3.5274384592260953e-143,1.58135883012387e-74,9.767998327288633e-94,1.2494806103258948e-84,6.0378846810328605e-118,3.76,0.0,0.5298971179944134,0.9999999999999991,7.907524591398077e-71,4.2866517415948136e-116,3.871694840279008e-16,3.711541063034698e-16,1.6015377724431032e-17,9.355301505458945e-35,8.319182217547408e-16,1.210903454500712e-38,1.8750671288459063e-39,1.6276865477351249e-74,7.004752918636039e-84,6.856067507640478e-37,6.383268195383584e-37,4.967684862566274e-36
3.631860411461867e-22,0.811203622609423,2.388425057157131e-35,1.3277492389571894e-25,1.0111053658133017e-50,7.828353788820308e-54,0.0,0.0,3.3013634291037233e-38,5.902409612998686e-71,1.6326573743956801e-52,1.1060427263960866e-68,2.3700183753684168e-54,7.032921726996113e-94,8.187346315781777e-79,1.4884716537966066e-53,3.6385918072415613e-81,3.3009013761968796e-36,4.578922361831131e-71,2.4159285999339915e-57,2.0296593637727566e-34,7.736646888984376e-54,4.5389155449789954e-58,3.3865103173218873e-124,2.261469718804377e-74,1.478710048714555e-55,3.530913781013588e-68,2.719135858941592e-106,5.198500075266503e-178,1.8420688128090944e-140,3.527924559580514e-73,5.387489067301215e-92,5.6298598207898316e-83,1.2621988529182155e-115,3.76,0.0,0.529897117994413,0.999999999999998,1.5628655612337518e-69,8.976910014329509e-114,8.849588206352014e-16,8.483522429793645e-16,3.660657765583684e-17,4.504174963223486e-34,1.9015273640102025e-15,5.829978883590637e-38,9.02764107729436e-39,3.631279149087704e-73,3.162280789908672e-82,3.3009013761968796e-36,3.0732688596306725e-36,2.3917264205862357e-35
7.717703374356468e-22,0.8112036226094231,1.0430879720043903e-34,2.821467132785533e-25,8.943113713168183e-50,6.924090272944074e-53,0.0,0.0,1.4417921440721546e-37,1.1054559972819523e-69,1.4440669583979545e-51,1.9684149776995795e-67,2.0962544134113836e-53,2.806654352605162e-92,1.4876207536010602e-77,1.3167072284984236e-52,1.373863015493361e-79,1.4415903534300316e-35,8.575814760564438e-70,2.1368614871207645e-56,8.86405568085085e-34,6.842976558568443e-53,4.094236297175362e-57,5.932840108752771e-122,4.235482501622342e-73,1.3591892940765158e-54,6.613010738037958e-67,2.224778361656241e-104,1.7541841495009334e-174,6.49891446935652e-138,6.607412257125881e-72,2.1203293995754282e-90,2.123521613158874e-81,2.0263153068216273e-113,3.76,0.0,0.529897117994412,0.9999999999999959,2.781418756393102e-68,1.4426399451989713e-111,1.8805374938498002e-15,1.8027485163311707e-15,7.778897751862972e-17,1.9670915417097023e-33,4.040745648518976e-15,2.5461049457231587e-37,3.9426080358224946e-38,6.800983964801566e-72,1.1940169214474608e-80,1.4415903534300316e-35,1.3421772530014894e-35,1.0445297641484635e-34
1.588938930014567e-21,0.8112036226094236,4.354686950838112e-34,5.808902920447009e-25,7.517226437159072e-49,5.820115082176628e-52,0.0,0.0,6.019198384150329e-37,1.909400327813262e-68,1.2138252900974216e-50,3.320236391867828e-66,1.762028143279451e-52,9.975289026714959e-91,2.5336695696003206e-76,1.1068395253292142e-51,4.766568920580904e-78,6.018355947954659e-35,1.481258729139772e-68,1.7961608354883643e-55,3.70056875747025e-33,5.7519341177451525e-52,3.473019258616421e-56,8.815670951330833e-120,7.315742731457256e-72,1.1628150569355537e-53,1.1422331510328506e-65,1.601305699866319e-102,4.567013555485666e-171,1.9390617000284747e-135,1.1412661526826188e-70,7.491601985392546e-89,7.363328228092444e-80,2.895409279089318e-111,3.76,0.0,0.52989711799441,0.9999999999999916,4.691575652969812e-67,2.0625617376842256e-109,3.871694840278992e-15,3.711541063034851e-15,1.6015377724414052e-16,8.212219963887786e-33,8.319182217527925e-15,1.0629486946641354e-36,1.645961244563774e-37,1.1747008513961458e-70,4.142599066567943e-79,6.018355947954658e-35,5.60332582315301e-35,4.36070614922227e-34
3.223276115172407e-21,0.8112036226094242,1.779031709351861e-33,1.1783774495789115e-24,6.163076603130358e-48,4.771681980961307e-51,0.0,0.0,2.459038941532666e-36,3.1724972021595055e-67,9.951673090609401e-50,5.453671507687964e-65,1.4446171291227826e-51,3.35995205244573e-89,4.1812016810827823e-75,9.074808806019916e-51,1.5874664416852097e-76,2.458694778869036e-34,2.4611335281850203e-67,1.4726011724002148e-54,1.5118030840119183e-32,4.715783106949478e-51,2.8599527790827992e-55,1.2136405645273634e-117,1.2155215964553831e-70,9.614379757146911e-53,1.8978374639809497e-64,1.0854549712989138e-100,1.051919000490115e-167,5.350111587189717e-133,1.8962307817691336e-69,2.516865054605421e-87,2.451583957838778e-78,3.9127181031188658e-109,3.76,0.0,0.529897117994406,0.999999999999983,7.706171927908488e-66,2.788061879475113e-107,7.854009533137344e-15,7.529126156442482e-15,3.248833766948623e-16,3.354959813382577e-32,1.687605535551142e-14,4.342492249328232e-36,6.724288747991011e-37,1.9517830337430411e-69,1.3796583937085396e-77,2.458694778869035e-34,2.289141430771347e-34,1.7814907482934e-33
6.4919504854880874e-21,0.8112036226094254,7.19113061188326e-33,2.3733517646549926e-24,4.991019300846224e-47,3.8642317824742467e-50,0.0,0.0,9.939828568177146e-36,5.171971136471692e-66,8.059122883388556e-49,8.840775031744574e-64,1.1698884054014915e-50,1.1027699033556286e-87,6.7936093013653105e-74,7.349123020104145e-50,5.181754826381052e-75,9.938437407747289e-34,4.0122688053868367e-66,1.1925506091734178e-53,6.110949782093476e-32,3.81896342494143e-50,2.3210749840397108e-54,1.610383654745299e-115,1.981606984049172e-69,7.818253946965499e-52,3.093954055726455e-63,7.1472448548225495e-99,2.2832246070693293e-164,1.4213274308426221e-130,3.0913347582474228e-68,8.250632809816277e-86,8.001205465036539e-77,5.144990319108723e-107,3.76,0.0,0.529897117994398,0.9999999999999659,1.2492232488933006e-64,3.66667586762996e-105,1.5818638918853925e-14,1.5164296343258817e-14,6.543425755951066e-16,1.3561283977577538e-31,3.398980163134084e-14,1.7553047976613893e-35,2.718065024080248e-36,3.181898949639667e-68,4.503434689730951e-76,9.938437407747282e-34,9.253075665353379e-34,7.201070440451488e-33
1.3029299226119447e-20,0.8112036226094278,2.891521991284785e-32,4.7633003948378e-24,4.017206573763153e-46,3.1102699192345514e-49,0.0,0.0,3.996761350311278e-35,8.352747200441753e-65,6.486683224499994e-48,1.4237906396519429e-62,9.416279666734713e-50,3.573591446919166e-86,1.0953453794480861e-72,5.915256533751279e-49,1.6746536143127296e-73,3.996201970888059e-33,6.479824835073871e-65,9.598684798210673e-53,2.4571860304466337e-31,3.0738340067022644e-49,1.8702047298717857e-53,2.0985012772078243e-113,3.2003005724332247e-68,6.305705043979061e-51,4.996744064349018e-62,4.6393768686659193e-97,4.813140189741327e-161,3.706269499375227e-128,4.992513892026855e-67,2.672105322064594e-84,2.585661147812413e-75,6.674548360499614e-105,3.76,0.0,0.5298971179943821,0.9999999999999317,2.011851181369837e-63,4.757097222123485e-103,3.174789769028661e-14,3.0434636716895814e-14,1.3132609733907987e-15,5.452932642659408e-31,6.821729418244932e-14,7.058003390330017e-35,1.0929219917105545e-35,5.138775303067911e-67,1.4554322581356532e-74,3.9962019708880525e-33,3.7206210284933e-33,2.8955187526351365e-32
2.6103996707382166e-20,0.8112036226094328,1.1596296449774903e-31,9.54319765532599e-24,3.2235552932146005e-45,2.495795732440065e-48,0.0,0.0,1.6028800609964914e-34,1.3426797173367179e-63,5.205154770787779e-47,2.2855081569832583e-61,7.555971416220773e-49,1.1507533856151198e-84,1.7592761271709692e-71,4.7466380137158874e-48,5.385435043324613e-72,1.602655724882728e-32,1.0416129169323949e-63,7.702340046512044e-52,9.854414985407236e-31,2.4665582070750437e-48,1.5015216169156801e-52,2.7101486181607795e-111,5.144389701986898e-67,5.065085210357505e-50,8.032120147859174e-61,2.9902128253238613e-95,1.0000377240394132e-157,9.575640015332542e-126,8.02532026972928e-66,8.60213307880652e-83,8.314792488739682e-74,8.600830404510954e-103,3.76,0.0,0.5298971179943502,0.9999999999998632,3.229479222473112e-62,6.130228274510646e-101,6.360641523315009e-14,6.097531746418707e-14,2.6310977689629955e-15,2.1868698780551068e-30,1.3667227928246492e-13,2.8305750364741334e-34,4.38310600816498e-35,8.260431216356338e-66,4.6804520003836175e-73,1.6026557248827236e-32,1.492135441236407e-32,1.161232525038519e-31
