Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CHF2(1),O2(2),H2O(3),CH4(4),HF(38),CH2CHF(56),C2H3F(124),C2H3F(139),O2(143),S(285),S(141),S(377),S(145),CHFO(47),S(284),CH2CF(70),C2H2F(71),CH2CFO(79)
0.0,0.6840194016890836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7730439013969601,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.781745355889006e-22,0.6840194016890836,5.292058702208341e-38,6.002031681914333e-29,4.871850219654042e-43,4.084343622668777e-58,0.0,0.0,1.0961737482708158e-40,1.6197589285610183e-75,6.640435546751007e-56,3.506650024865449e-73,4.112580872024934e-58,1.1662794121936892e-102,1.2080027782253542e-84,3.2868145852728796e-58,5.245260679485881e-75,8.12824569861091e-39,1.4070189001914683e-65,4.336883266104701e-64,4.436619266293483e-38,1.1299007493187306e-58,4.4596389329775884e-63,-9.063456527136499e-132,5.269496466576417e-81,1.3734192822843653e-60,9.326960904973228e-74,1.2105462246744993e-113,4.077019941870351e-164,-8.722029367325371e-139,1.607512382015678e-79,1.1904540981861004e-96,1.9462440134871197e-77,-6.866689091815554e-112,3.76,0.0,0.7730439013969601,0.9999999999999998,6.131597619507538e-74,-5.866843106611707e-109,1.5040014499374125e-17,1.4422060498220115e-17,6.179540011540102e-19,3.5998452536286084e-37,3.599519693896741e-16,1.543171424852122e-41,5.676136060219228e-43,3.7621775044911334e-78,5.700398461348308e-76,8.12824569861091e-39,7.817085408654867e-39,3.407736375824781e-38,1.895284063866254e-38,4.87185022097209e-43
7.788886996489218e-22,0.6840194016890836,3.196403456133285e-37,1.6805688709365313e-28,2.942597532742529e-42,4.8489327488434917e-57,0.0,0.0,6.620889439555927e-40,5.092781232824568e-74,7.883525081111506e-55,7.846207413355132e-72,4.8824560112733944e-57,5.571454596749166e-101,2.7068753958487837e-83,3.903132939548513e-57,1.649193881846057e-73,4.909460401966913e-38,1.6704128387638354e-64,5.148747813519511e-63,2.679718036841284e-37,1.3414181695911996e-57,5.576739310009523e-62,1.5751858199207952e-129,1.6568140010418566e-79,2.075511219388746e-59,2.932545739897579e-72,9.378722860986633e-112,1.2386774590121812e-161,1.5158473965474104e-136,5.054276131055726e-78,6.863892955107335e-95,6.11930257762611e-76,3.5584479305713615e-110,3.76,0.0,0.7730439013969601,0.999999999999999,1.4786341208015025e-72,3.0403088639244485e-107,4.2112040598247555e-17,4.0381769395016684e-17,1.7302712032308707e-18,2.1743065331911978e-36,1.007865514290224e-15,9.320755406110317e-41,3.4283861803751105e-42,1.1828888022680601e-76,1.7922964826711896e-74,4.909460401966913e-38,4.721519586823861e-38,2.058272770997805e-37,1.144751574575021e-37,2.9425975343073165e-42
1.780317027768964e-21,0.6840194016890836,1.5389306706013562e-36,3.841300276428798e-28,1.4167340439825683e-41,4.760710926616453e-56,0.0,0.0,3.187673259971833e-39,1.1361714776928209e-72,7.740091673319802e-54,1.5504684579091543e-70,4.793624264448874e-56,2.9010431681324806e-99,5.352785542799402e-82,3.832568943354427e-56,3.679260828553852e-72,2.363693849164879e-37,1.6400212314761416e-63,5.055071134971672e-62,1.290168882638175e-36,1.3170123134059206e-56,5.5989586163005754e-61,4.095553566554191e-127,3.6962608951319713e-78,2.2327402588260728e-58,6.542348226593436e-71,1.0223490428541621e-109,1.7771538239118151e-158,3.941271012420901e-134,1.1275812013074586e-76,3.078170730884224e-93,1.3651827429072168e-74,3.7347358575374245e-108,3.76,0.0,0.7730439013969601,0.9999999999999977,3.016178082974481e-71,3.190927829652708e-105,9.625609279599442e-17,9.230118718861126e-17,3.9549056073831584e-18,1.0468349997544767e-35,2.3036926040878674e-15,4.487542503475121e-40,1.6506203663157175e-41,2.6389598473053014e-75,3.9985148589435777e-73,2.363693849164879e-37,2.2732084368313154e-37,9.909697380893011e-37,5.511486057720118e-37,1.4167340455188852e-41
3.783173684009048e-21,0.6840194016890836,6.720914551796027e-36,8.162763087421612e-28,6.187249780067812e-41,4.210794901296801e-55,0.0,0.0,1.392140660304246e-38,2.1279234351854555e-71,6.846023431334587e-53,2.7591300409136104e-69,4.239906375857603e-55,1.1577299478634808e-97,9.528611872820957e-81,3.3900424942415806e-55,6.890848340887285e-71,1.0322872037326784e-36,1.4505802083067844e-62,4.4711531720233694e-61,5.634506468193032e-36,1.1648824765176552e-55,5.001335390773503e-60,7.17501563360131e-125,6.922687583531724e-77,2.0522729651362592e-57,1.2253094172695197e-69,8.363993978595191e-108,1.4539678139966737e-155,6.904727449011323e-132,2.1118347982309318e-75,1.158095247047405e-91,2.556836190046552e-73,2.981790342726655e-106,3.76,0.0,0.77304390139696,0.9999999999999951,5.444466267789884e-70,2.547617328142862e-103,2.045441971914881e-16,1.961400227758061e-16,8.404174415682002e-18,4.5718034721008644e-35,4.895346783669334e-15,1.9598277095674703e-39,7.208692796519025e-41,4.94247973491121e-74,7.488775807323923e-72,1.0322872037326784e-36,9.927698468934628e-37,4.3278251972918365e-36,2.407010761107095e-36,6.187249793656362e-41
7.788886996489218e-21,0.6840194016890837,2.8058495239031506e-35,1.680568870944037e-27,2.5830549874569155e-40,3.5394268340336536e-54,0.0,0.0,5.811913213334654e-38,3.6754585570983394e-70,5.7544951979474234e-52,4.6537994997189266e-68,3.563896782465855e-54,4.114753228239423e-96,1.607428933358428e-79,2.8496058204253867e-54,1.1902226878311315e-69,4.309595869485221e-36,1.2193000719821214e-61,3.758273648274195e-60,2.352295534989081e-35,9.791539109476528e-55,4.223399083648825e-59,1.0661432931335736e-122,1.1957221249966665e-75,1.755762729448997e-56,2.1164173053981635e-68,6.01980512946059e-106,9.293420119210026e-153,1.0259808809258423e-129,3.64766943775866e-74,4.0101329441182905e-90,4.4162986790274506e-72,2.1239679725406095e-104,3.76,0.0,0.7730439013969598,0.9999999999999899,9.245827542280298e-69,1.8147008975171918e-101,4.211204059824755e-16,4.0381769395021866e-16,1.7302712032256763e-17,1.908637953467166e-34,1.0078655142776982e-14,8.181894894613227e-39,3.009487339164619e-40,8.536904635027934e-73,1.2934997882675764e-70,4.3095958694852195e-36,4.144618683617458e-36,1.8067818264572257e-35,1.004879610659145e-35,2.5830549988789096e-40
1.5800313621449557e-20,0.6840194016890837,1.1462810831266057e-34,3.409153995361042e-27,1.0552622458214654e-39,2.901835961814225e-53,0.0,0.0,2.374356185706879e-37,6.106829363754989e-69,4.717882835322563e-51,7.643978264702561e-67,2.9218979038950818e-53,1.3859621595065852e-94,2.64043801430809e-78,2.33630720707606e-53,1.97757279791075e-68,1.760610531371055e-35,9.99655870751177e-61,3.081259802185076e-59,9.609894795564676e-35,8.027695341824638e-54,3.4703477556940085e-58,1.4677439254665061e-120,1.9867101942969327e-74,1.4516985778376836e-55,3.516459006607458e-67,4.080477673293976e-104,5.300894576040331e-150,1.4124529181169715e-127,6.06065732647632e-73,1.3341992243692063e-88,7.337746309784144e-71,1.432906982608212e-102,3.76,0.0,0.7730439013969593,0.9999999999999796,1.5237198521379647e-67,1.2242640288878468e-99,8.542728235644498e-16,8.191730362991352e-16,3.509978726531458e-17,7.797408813112797e-34,2.044527186077114e-14,3.3425710331266364e-38,1.2294737752184648e-39,1.4184194734212778e-71,2.1491692449769968e-69,1.760610531371054e-35,1.6932119678127983e-35,7.381293299448552e-35,4.105261093673637e-35,1.0552622551859066e-39
3.182316687137023e-20,0.6840194016890837,4.633451412547396e-34,6.866324244248062e-27,4.265538723056102e-39,2.349981997235256e-52,0.0,0.0,9.597527329529586e-37,9.955673147081225e-68,3.820663839561748e-50,1.2391296996697776e-65,2.3662286779828106e-52,4.548866501112966e-93,4.2804486213637804e-77,1.8920133944161032e-52,3.223942776784114e-67,7.116669265495893e-35,8.095472496285593e-60,2.495284074864768e-58,3.884473125366649e-34,6.501035819866859e-53,2.81346918895968e-57,1.947554241592472e-118,3.238839036720736e-73,1.1804971743093369e-54,5.732715689165772e-66,2.686788339000166e-102,2.8626315391790343e-147,1.8741884218431121e-125,9.880401073506136e-72,4.352836438739277e-87,1.1962378447077982e-69,9.413614103326142e-101,3.76,0.0,0.7730439013969584,0.9999999999999588,2.474111969276432e-66,8.042915044361243e-98,1.7205776587283975e-15,1.649883720997334e-15,7.06939377310634e-17,3.1518373120772035e-33,4.1178505295874884e-14,1.3511206547192514e-37,4.9697295755054116e-39,2.3123817332145474e-70,3.50368829437674e-68,7.116669265495889e-35,6.844233495019283e-35,2.9836367683452997e-34,1.6594121715308672e-34,4.265538798891774e-39
6.386887337121159e-20,0.684019401689084,1.863090434303688e-33,1.3780664742234143e-26,1.7151543628578535e-38,1.891469955478194e-51,0.0,0.0,3.859123527753092e-36,1.607843872552802e-66,3.0752026485542943e-49,1.9955864846283694e-64,1.9045466974274294e-51,1.474087228163908e-91,6.893678425528388e-76,1.522861473204036e-51,5.206676204449746e-66,2.8615814116398082e-34,6.515940678599657e-59,2.008421708259721e-57,1.561929559177246e-33,5.232599205163523e-52,2.2657597015495785e-56,2.5378704380742466e-116,5.23073369650286e-72,9.521137375462259e-54,9.258351150760543e-65,1.7440232491599641e-100,1.5049906257524985e-144,2.442266966564143e-123,1.5956874126965492e-70,1.4064028218106572e-85,1.9319273179356095e-68,6.103714272849147e-99,3.76,0.0,0.7730439013969567,0.9999999999999174,3.9877685351798716e-65,5.214963647829568e-96,3.4531873290562893e-15,3.311305090395196e-15,1.4188223866109376e-16,1.267339920882992e-32,8.264497216254415e-14,5.43279672831501e-37,1.998306404749189e-38,3.734502678886474e-69,5.658465963141435e-67,2.861581411639805e-34,2.7520361861684683e-34,1.199707222025956e-33,6.672423358048745e-34,1.715154423897e-38
1.279602863708943e-19,0.6840194016890845,7.471825928944803e-33,2.7609345739054465e-26,6.878536139360251e-38,1.51778551911975e-50,0.0,0.0,1.547681138153766e-35,2.5845620662565945e-65,2.4676564563409686e-48,3.2033633054599244e-63,1.5282787807557763e-50,4.746795730487049e-90,1.1065999163878913e-74,1.2220022213855407e-50,8.369579958692893e-65,1.1476221336107983e-33,5.2286322330062785e-58,1.6116319348977669e-56,6.264036122376737e-33,4.198831324557464e-51,1.818623102294848e-55,3.277580129298923e-114,8.408251650319318e-71,7.64789532193399e-53,1.4882529073981407e-63,1.1240707179329308e-98,7.807903788712725e-142,3.1541112404484543e-121,2.5650209125061077e-69,4.522203137391519e-84,3.1055167504682404e-67,3.9318575501551296e-97,3.76,0.0,0.7730439013969532,0.9999999999998345,6.403885889823434e-64,3.359346992534802e-94,6.918406669712057e-15,6.634147829196772e-15,2.842588405152854e-16,5.082599914220822e-32,1.6557790588172973e-13,2.178794475934471e-36,8.01410244825617e-38,6.003103995805749e-68,9.095818802503436e-66,1.1476221336107958e-33,1.1036895983630454e-33,4.8113625423778784e-33,2.6759401979435625e-33,6.878536629160961e-38
