Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CHF2(1),O2(2),H2O(3),CH4(4),HF(38),CH2CHF(56),C2H3F(124),C2H3F(139),O2(143),S(285),S(141),S(377),S(145),CHFO(47),S(284),CH2CF(70),C2H2F(71),CH2CFO(79),CH2F(46),C2H4F(63),C2H4F(62)
0.0,0.822977671223376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5841555021595728,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.54108197513817e-23,0.822977671223376,1.5595308650854064e-36,2.304420772550561e-26,1.2843177313497645e-40,8.13508229343373e-56,0.0,0.0,6.922776217853276e-39,1.3225025248136953e-72,1.6550525758255763e-54,2.4681828489584242e-59,2.401476477282368e-56,3.488433625291633e-66,3.879633465512575e-44,1.5714354108042984e-55,2.1788019150236137e-72,1.3147279260713665e-37,6.814118269650368e-62,2.8200882788337772e-59,8.522399017696644e-36,8.319547687924563e-56,4.1677050430904745e-60,-7.518278592128564e-128,7.823673686463618e-77,1.1297957305907053e-57,1.1287216486933278e-70,-1.3393877516187778e-105,3.8309941330275294e-160,-2.2049273122317215e-133,1.205828519402088e-75,1.5815592235181586e-93,2.4411694803716694e-74,-1.6888780749569345e-107,3.76,0.0,0.5841555021595726,0.9999999999999997,1.9326341605853746e-71,-3.45744431526112e-105,1.6009778057557846e-16,1.5349802800301853e-16,6.59975257255993e-18,1.845573585050853e-35,2.9709173552947495e-16,2.415124022061281e-39,3.832622453746214e-40,4.105109698039191e-75,1.8841063899405e-73,1.3147279260713665e-37,1.2232328449275749e-37,9.65818722086279e-37,6.006349192169803e-37,1.2843177313548914e-40,3.879633465515819e-44,2.9972437618534443e-54,3.997965691405316e-55
1.5515029530386876e-22,0.822977671223376,9.41956642511529e-36,6.452378163142478e-26,7.757279097363129e-40,9.65796969877964e-55,0.0,0.0,4.1813568355833916e-38,4.158159538418239e-71,1.964878418020659e-53,2.930226678286397e-58,2.8510328738302887e-55,4.141468399945984e-65,2.3432986131694533e-43,1.866836461653072e-54,6.850501829154838e-71,7.940956673473036e-37,8.089721209783474e-61,3.348008804631467e-58,5.147529006688788e-35,9.876967015104062e-55,5.52600026951169e-59,1.3066412127463528e-125,2.4598881858050015e-75,1.7073473080689028e-56,3.548881458955411e-69,3.9960588607256324e-104,1.163930063069994e-157,3.8320592433864355e-131,3.79131779756612e-74,1.0130047985518618e-91,7.675427433424806e-73,8.752085044627702e-106,3.76,0.0,0.5841555021595723,0.9999999999999991,5.6967246021294103e-70,1.791712920720306e-103,4.482737856116196e-16,4.2979447840845317e-16,1.8479307203166474e-17,1.1147264453706245e-34,8.318568594823991e-16,1.4587349093251472e-38,2.3149039620630928e-39,1.290712170818862e-73,5.923931947007002e-72,7.940956673473036e-37,7.38832638336142e-37,5.833545081400772e-36,3.627834912070346e-36,7.757279097423997e-40,2.3432986131738403e-43,4.166297682357166e-53,6.041725752854136e-54
3.546292464088429e-22,0.8229776712233761,4.535115755667512e-35,1.4748292944329927e-25,3.7347959627809056e-39,9.48225192127171e-54,0.0,0.0,2.013143324151751e-37,9.27662519017449e-70,1.9291292823839367e-52,2.8769139287550987e-57,2.799160981922361e-54,4.066118233639172e-64,1.1281974117708436e-42,1.8334093603975597e-53,1.5283092735308414e-69,3.82322880901848e-36,7.942536255271753e-60,3.287094897808668e-57,2.4783136343462034e-34,9.69726478504492e-54,5.6787801944225485e-58,3.397325579677866e-123,5.487875224273796e-74,1.8366863233074503e-55,7.917359311232204e-68,5.155198186251435e-102,1.6699123304021662e-154,9.963525383679797e-129,8.45822144627372e-73,4.5581545666689e-90,1.712345637936326e-71,9.185669280678415e-104,3.76,0.0,0.5841555021595718,0.999999999999998,1.2470219855623916e-68,1.8804755954400967e-101,1.0246257956837014e-15,9.82387379219327e-16,4.223841646437423e-17,5.366927985326516e-34,1.901387107387723e-15,7.023180656156167e-38,1.114526609549957e-38,2.879507851119892e-72,1.3215966298765827e-70,3.82322880901848e-36,3.557161113047682e-36,2.808600843826368e-35,1.7466463450826555e-35,3.734795962840666e-39,1.1281974117753855e-42,4.3569045701808026e-52,6.499412865211757e-53
7.535871486187911e-22,0.8229776712233764,1.9806041986575883e-34,3.1340122506719296e-25,1.6310835188305016e-38,8.386944441332468e-53,0.0,0.0,8.791925796673847e-37,1.7374092317197164e-68,1.7062930035765797e-51,2.5445977899814103e-56,2.475826189023285e-53,3.5964355303290736e-63,4.927134501198764e-42,1.6218435801072453e-52,2.8623541280751867e-68,1.669704466113669e-35,7.025083371628533e-59,2.9073982119465047e-56,1.082344675247493e-33,8.577120884342796e-53,5.123421395950942e-57,5.951787407409985e-121,1.0278182940157712e-72,1.688231164308704e-54,1.482833775880355e-66,4.424598671839988e-100,1.3662288247503971e-151,1.7455137437566627e-126,1.5841312679383864e-71,1.7163216756809132e-88,3.207033870916117e-70,7.333782359610357e-102,3.76,0.0,0.5841555021595707,0.9999999999999959,2.318247455393128e-67,1.5013602523767134e-99,2.1773298158278624e-15,2.087573180841094e-15,8.975663498676844e-17,2.3438784530131736e-33,4.040447603196277e-15,3.0672075080198335e-37,4.867430516263405e-38,5.392999523840942e-71,2.4752042238389677e-69,1.669704466113669e-35,1.5535057130562563e-35,1.2265897770490254e-34,7.628063474052308e-35,1.6310835188833595e-38,4.927134501239871e-42,3.959435368967864e-51,5.9740801733703276e-52
1.5515029530386877e-21,0.8229776712233767,8.268632646674918e-34,6.45237816315559e-25,6.809452611763091e-38,7.049732154342603e-52,0.0,0.0,3.6704559507059756e-36,3.000942384634076e-67,1.4342420813754685e-50,2.1388877660166794e-55,2.0810810915969705e-52,3.023020764736841e-62,2.0569816634127807e-41,1.363342006652899e-51,4.944004939105341e-67,6.97068746405764e-35,5.905005867220119e-58,2.443843381024948e-55,4.5185759591829304e-33,7.209586913592573e-52,4.3464326780246185e-56,8.843824946351153e-119,1.7753005025577393e-71,1.4443173044413785e-53,2.561226593114974e-65,3.252219174789914e-98,8.732613144121565e-149,2.5936776526601612e-124,2.736192819744842e-70,5.945366590245022e-87,5.539353479093984e-69,5.223948385308026e-100,3.76,0.0,0.5841555021595684,0.9999999999999916,3.9908283627988545e-66,1.0694383991173994e-97,4.482737856116176e-15,4.297944784084704e-15,1.847930720314716e-16,9.785231147926933e-33,8.318568594805005e-15,1.2804987564986893e-36,2.0320564249813625e-37,9.315065533175196e-70,4.275299756907604e-68,6.970687464057638e-35,6.485580543790123e-35,5.120770864496512e-34,3.184566341685422e-34,6.809452612207393e-38,2.0569816634477044e-41,3.370093216132426e-50,5.1109513643358665e-51
3.1473345618784806e-21,0.8229776712233775,3.378006235002897e-33,1.308910998814607e-24,2.781883578936971e-37,5.779796347155223e-51,0.0,0.0,1.4995010198920334e-35,4.986110654959601e-66,1.1758783115737933e-49,1.7535894167669705e-54,1.7061960125215948e-51,2.4784550661503543e-61,8.403441271622033e-41,1.1177838737991668e-50,8.214538150356723e-66,2.8477532770106787e-34,4.841280575931066e-57,2.003610454562299e-54,1.8459857168293073e-32,5.910854936657712e-51,3.5793412616824816e-55,1.2175164839897879e-116,2.949688336876726e-70,1.1941894776729075e-52,4.2555162908401345e-64,2.22646489570257e-96,4.981014635004605e-146,3.570678202850509e-122,4.546225293249549e-69,1.9784338219091765e-85,9.203718653836046e-68,3.524267885301821e-98,3.76,0.0,0.5841555021595637,0.999999999999983,6.620264076409656e-65,7.214825123248583e-96,9.093553936692763e-15,8.71868799057223e-15,3.748659461205367e-16,3.997586208152804e-32,1.687481057798894e-14,5.2312552367608094e-36,8.301613539755706e-37,1.5477120701974333e-68,7.103474488765532e-67,2.8477532770106774e-34,2.649571271413477e-34,2.0920019847835805e-33,1.3009992604182003e-33,2.7818835793012357e-37,8.403441271909831e-41,2.779699309176057e-49,4.225833424169483e-50
6.338997779558067e-21,0.8229776712233788,1.3654441298582886e-32,2.636257363821964e-24,1.1244818211499166e-36,4.680628933506577e-50,0.0,0.0,6.061222871990173e-35,8.128618796936686e-65,9.52256743425323e-49,1.4201021746234929e-53,1.3817217670698345e-50,2.0071171708513797e-60,3.3968053214487636e-40,9.05223815750866e-50,1.33917704280633e-64,1.1511074062348903e-33,3.9205945299655814e-56,1.6225756932136407e-53,7.461769415147441e-32,4.786763576968749e-50,2.904975392504911e-54,1.615526625083077e-114,4.808736452045251e-69,9.71095050650961e-52,6.937565590910569e-63,1.47309647126564e-94,2.6898874086093374e-143,4.7379446465685384e-120,7.411494636075426e-68,6.455253087971544e-84,1.5004384305321208e-66,2.315300172623846e-96,3.76,0.0,0.5841555021595545,0.9999999999999659,1.0784301841195083e-63,4.739845663465024e-94,1.83151860978458e-14,1.7560174403548498e-14,7.550116942973025e-16,1.6158882612352642e-31,3.3987294544222754e-14,2.114557007280195e-35,3.355644924168136e-36,2.5231612967836367e-67,1.15804562415577e-65,1.1511074062348893e-33,1.0709990708995867e-33,8.456206504817563e-33,5.2588470224849294e-33,1.1244818214449079e-36,3.396805321682418e-40,2.257731767498876e-48,3.436377559714631e-49
1.2722324214917238e-20,0.8229776712233816,5.490390791723092e-32,5.290950093873725e-24,4.521491946754144e-36,3.7673773715874876e-49,0.0,0.0,2.437191058601068e-34,1.3127741069699398e-63,7.664590715873423e-48,1.143021776314042e-52,1.1121298852324522e-49,1.6155025143420376e-59,1.365840480056338e-39,7.286082538570555e-49,2.162774501450385e-63,4.628552253005023e-33,3.15563556318283e-55,1.3059900787934684e-52,3.0003446637771307e-31,3.8528037657642574e-49,2.340706230534276e-53,2.105203115027007e-112,7.76612221496827e-68,7.832233386910955e-51,1.1204186960454713e-61,9.584770883107511e-93,1.4141726831867162e-140,6.174046083666551e-118,1.1969583634562952e-66,2.0857900571487574e-82,2.423212073481385e-65,1.5012226474723826e-94,3.76,0.0,0.584155502159536,0.9999999999999317,1.7409973451510332e-62,3.073279110596884e-92,3.675845042015129e-14,3.524314722950591e-14,1.5153031906453766e-15,6.497415629043224e-31,6.821226247615411e-14,8.502540724728833e-35,1.3492900653599863e-35,4.074912234026865e-66,1.8702467764634496e-64,4.628552253005017e-33,4.3064401597916e-33,3.4002034438257163e-32,2.1145592584831497e-32,4.521491949128488e-36,1.3658404802446371e-39,1.819878934400371e-47,2.771562993309524e-48
2.5488977085635583e-20,0.8229776712233873,2.2018922711928998e-31,1.0600335554125431e-23,1.8133204996533252e-35,3.0230830801809693e-48,0.0,0.0,9.77422620533739e-34,2.110246035914419e-62,6.150351350654935e-47,9.172029906234457e-52,8.924141934336507e-49,1.2963390269542595e-58,5.4776312120659837e-39,5.846643857805177e-48,3.4765968454511427e-62,1.8562564705764276e-32,2.5321988067969963e-54,1.0479747898496988e-51,1.2032724038699482e-30,3.091632380920537e-48,1.8792803541517635e-52,2.7188038320372074e-110,1.2483814642659198e-66,6.291275791601749e-50,1.801040330793568e-60,6.184937963285187e-91,7.336739518444069e-138,7.973586987715741e-116,1.9240756108061874e-65,6.7068852048388345e-81,3.895242636449979e-64,9.670494583750898e-93,3.76,0.0,0.5841555021594992,0.9999999999998632,2.798066795612203e-61,1.979728259594957e-90,7.364497906475992e-14,7.060909288144023e-14,3.035886183319695e-15,2.6057542712340298e-30,1.3666219833787174e-13,3.4098991160856954e-34,5.411256646941618e-35,6.550302403863024e-65,3.006367071007475e-63,1.8562564705764227e-32,1.7270751142838972e-32,1.3636336587788015e-31,8.480328386192468e-32,1.8133205015585868e-35,5.477631213577903e-39,1.4614014848705045e-46,2.226270120405408e-47
