Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CHF2(1),O2(2),H2O(3),CH4(4),HF(38),CH2CHF(56),C2H3F(124),C2H3F(139),O2(143),S(285),S(141),S(377),S(145),CHFO(47),S(284),CH2CF(70),C2H2F(71),CH2CFO(79),CH2F(46),C2H4F(63),C2H4F(62),C1OO1(734),CH2O2(778),CHO2(166),C2H2O(133)
0.0,0.5885581441261036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6067854461890567,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.646915492167565e-22,0.5885581441261036,2.5845743591132692e-39,1.2006963655799454e-30,8.903734166630962e-45,7.565004585062493e-60,0.0,0.0,4.479155340602333e-42,8.248566881321816e-78,4.985077495955459e-57,1.1586609104472907e-63,2.1711258425223373e-59,4.643920101309817e-74,1.749623756724433e-49,3.7864249062550626e-60,4.2393229523873044e-77,8.79845343761066e-40,2.9971667464170595e-68,4.2999690902932606e-67,8.997618637078983e-40,9.012888937105851e-61,3.6227786631623815e-65,-1.8355427865042957e-121,4.5023417782158945e-84,2.155923561371583e-62,3.051066521618283e-76,-3.580342756811936e-113,1.4199413026546728e-167,-7.510908283310034e-143,2.0947498597437e-82,4.123783542163235e-99,8.225829963855012e-80,-2.908204534031666e-115,3.76,0.0,0.6067854461890567,0.9999999999999997,1.8004193061979877e-75,-6.408282217523018e-112,2.063442214883393e-18,1.9930064438378086e-18,7.043577104558413e-20,1.5673955784122977e-38,3.840465664079389e-16,3.9434055767095275e-43,5.470876483171008e-45,2.4010775474182027e-80,5.020154738111861e-78,8.79845343761066e-40,8.592411834005702e-40,1.708727658297703e-39,8.80325856156146e-40,8.903734188703399e-45,1.7496237567485533e-49,3.6449470212935874e-58,1.96893856672034e-61,5.8607314311477145e-80,1.9661168047967036e-78,2.9481040180111297e-73,1.25461421475235e-71
2.1411363378069182e-21,0.5885581441261036,1.5610829129038967e-38,3.3619498236251415e-30,5.377855437215105e-44,8.981173443416409e-59,0.0,0.0,2.7054098257241636e-41,2.593481404558019e-76,5.918284003221385e-56,1.37556223289556e-62,2.5775606002497196e-58,5.513261944272914e-73,1.0567727490611866e-48,4.4956712531913515e-59,1.3329109655474152e-75,5.3142658763330785e-39,3.558236369642323e-67,5.104923303996135e-66,5.434561656795771e-39,1.0700101746132025e-59,4.4059291892210877e-64,9.512129270498752e-120,1.4156082925714236e-82,3.258031685945953e-61,9.593041314608263e-75,1.0708983695924935e-111,4.3140561241828393e-165,1.3053602881112062e-140,6.586228719071929e-81,2.3753627661095345e-97,2.586332554218808e-78,1.507086496611995e-113,3.76,0.0,0.6067854461890567,0.999999999999999,4.0764838583604095e-74,3.320892833857602e-110,5.7776382016735006e-18,5.5804180427459416e-18,1.972201589275573e-19,9.46706929360642e-38,1.0753303859396333e-15,2.3818169683347503e-42,3.3044093958417984e-44,7.549371982187357e-79,1.5784169723137098e-76,5.3142658763330785e-39,5.189816747729116e-39,1.0320715056114578e-38,5.317168171181371e-39,5.377855463419502e-44,1.056772749089864e-48,4.3322536816474454e-57,2.9754599632336543e-60,1.3454065172559683e-78,4.3989443301662e-77,6.595390269732021e-72,3.9447078294241256e-70
4.8940259149872414e-21,0.5885581441261036,7.515942236293619e-38,7.68445673972071e-30,2.5892058965110044e-43,8.817769344441445e-58,0.0,0.0,1.3025383730476899e-40,5.785914346357856e-75,5.810606329356851e-55,1.3505351572562251e-61,2.5306642820662154e-57,5.412953270080209e-72,5.087905884549088e-48,4.414064069112619e-58,2.9736510414542797e-74,2.558590259681378e-38,3.4934975853241575e-66,5.012043971645749e-65,2.6165074996626645e-38,1.0505423345090445e-58,4.3717630423108284e-63,9.983366614128895e-118,3.158144228408285e-81,3.5048418152545643e-60,2.1401547460411166e-73,1.3811440549832559e-109,6.189457379638367e-162,3.3939951190919837e-138,1.469351396444732e-79,1.0652165103262706e-95,5.769965655828919e-77,1.5817485853626157e-111,3.76,0.0,0.6067854461890567,0.9999999999999977,8.097813636614026e-73,3.485412120568863e-108,1.3206030175253716e-17,1.2755241240562524e-17,4.507889346911905e-19,4.557986342017174e-37,2.4578980249926395e-15,1.146742341710362e-41,1.5909308813156901e-43,1.6842233604968608e-77,3.5213614373945247e-75,2.558590259681378e-38,2.4986733613133607e-38,4.968980030324395e-38,2.5599875896994447e-38,2.589205922238637e-43,5.0879058848308275e-48,4.255611308733901e-56,3.2008640531271037e-59,2.6887070241088016e-77,8.692329413939716e-76,1.3031957760879737e-70,8.800426169299456e-69
1.0399805069347889e-20,0.5885581441261036,3.282409436065825e-37,1.6329470571932545e-29,1.1307742400452105e-42,7.799217127209534e-57,0.0,0.0,5.688527282570452e-40,1.0836377231188215e-73,5.1394154953793627e-54,1.194533052316351e-60,2.2383438986532603e-56,4.787695867632691e-71,2.2220221710342804e-47,3.9042640958046214e-57,5.569319302740695e-73,1.1174035866014833e-37,3.0899590828431032e-65,4.433096133328578e-64,1.1426975669091298e-37,9.291927978598355e-58,3.8850417884904975e-62,7.970659048884214e-116,5.9148546219000324e-80,3.2215534592949855e-59,4.0082729838151304e-72,1.1853215473037699e-107,5.063867685354317e-159,5.945952763650772e-136,2.75193254932049e-78,4.00761458865815e-94,1.0806507103862663e-75,1.2628584290827824e-109,3.76,0.0,0.6067854461890567,0.9999999999999949,1.4445063263103496e-71,2.78273179184165e-106,2.8062814122414145e-17,2.7104887636196937e-17,9.579264862172043e-19,1.990592384577637e-36,5.223033303057121e-15,5.008125082454201e-41,6.948013133725029e-43,3.1543639587577866e-76,6.595120258470635e-74,1.1174035866014833e-37,1.0912363029027077e-37,2.170084126032579e-37,1.1180138373155892e-37,1.1307742628010106e-42,2.222022171283549e-47,3.764905367566553e-55,2.942145530082128e-58,4.8092597570820944e-76,1.5468151927238152e-74,2.319014159644656e-69,1.6482224252832144e-67
2.1411363378069184e-20,0.5885581441261036,1.3703413251946309e-36,3.361949823643903e-29,4.720759863094874e-42,6.555711933692063e-56,0.0,0.0,2.3748481615922963e-39,1.8717146850201236e-72,4.319988397025323e-53,1.004077006567122e-59,1.8814629172004894e-55,4.024346857048648e-70,9.276505158101194e-47,3.2817987263415284e-56,9.619614111999598e-72,4.664940012845212e-37,2.5972968456593805e-64,3.7262844141423987e-63,4.770537401380165e-37,7.8104253466724e-57,3.272854274530493e-61,5.677603920523437e-114,1.0216440441228095e-78,2.7561068097906122e-58,6.923294792428143e-71,8.712219721825025e-106,3.236705064888184e-156,8.835155194192167e-134,4.7532791218273616e-77,1.3877103107980102e-92,1.866555365056547e-74,8.995504548555069e-108,3.76,0.0,0.6067854461890567,0.9999999999999893,2.4392546930715776e-70,1.9821759837307735e-104,5.7776382016735e-17,5.580418042747078e-17,1.9722015892642216e-18,8.310331356688167e-36,1.0753303859019959e-14,2.090793636801058e-40,2.9006587114649247e-42,5.448379307839057e-75,1.1391430165785533e-72,4.664940012845211e-37,4.555696754245665e-37,9.059674044244882e-37,4.667487689315439e-37,4.720760054371083e-42,9.276505160196738e-47,3.1649729160974533e-54,2.5170674522562102e-57,8.131742031431821e-75,2.608979622281834e-73,3.9113938572755765e-68,2.8468943556293005e-66
4.3434479995511773e-20,0.5885581441261036,5.5982914447525404e-36,6.819955356578323e-29,1.9285844421572747e-41,5.374768722980456e-55,0.0,0.0,9.702029634000092e-39,3.1098819430291512e-71,3.5417874908244375e-52,8.232029938916107e-59,1.5425369727964016e-54,3.299402694182597e-69,3.789755041971576e-46,2.690628614770948e-55,1.5983132748541876e-70,1.9057802085897725e-36,2.1294209622786853e-63,3.055033095335342e-62,1.9489201872666076e-36,6.4034585852250575e-56,2.6861657815587294e-60,3.8303206110182175e-112,1.6974768600721533e-77,2.2788024082288694e-57,1.1503157844189372e-69,5.96428932947646e-104,1.8461914062471448e-153,1.2163229339951858e-131,7.89764435278035e-76,4.617000624174723e-91,3.101309661442901e-73,6.068698522867324e-106,3.76,0.0,0.6067854461890566,0.9999999999999782,4.0088150178030714e-69,1.337248888989128e-102,1.172035178053767e-16,1.1320276601003849e-16,4.0007517953382155e-18,3.395041518618593e-35,2.1813844970281132e-14,8.541574215626565e-40,1.18501372983482e-41,9.052563720678265e-74,1.8927031626456913e-71,1.905780208589772e-36,1.8611507727709118e-36,3.701172456937213e-36,1.9068210174477596e-36,1.9285845989770664e-41,3.789755043689744e-46,2.5949725503350202e-53,2.0811600588349186e-56,1.3372764497703248e-73,4.285296827112845e-72,6.424506140587067e-67,4.730157550527319e-65
8.748071323039696e-20,0.5885581441261037,2.262918910922591e-35,1.373596642257966e-28,7.795646697470488e-41,4.3526270626572393e-54,0.0,0.0,3.921715500188086e-38,5.0698924608363307e-70,2.868231337496246e-51,6.666511276434058e-58,1.2491864336619894e-53,2.6719418445052172e-68,1.5318795809165226e-45,2.1789454952496666e-54,2.6056540405693654e-69,7.703468311951815e-36,1.72446044374212e-62,2.4740450076839665e-61,7.877847002463409e-36,5.185686783189647e-55,2.176476416818905e-59,2.5163643253346004e-110,2.767315705508475e-76,1.8530842730019604e-56,1.875305053295973e-68,3.9461271234640934e-102,9.96995071919543e-151,1.6139429053578055e-129,1.2875153559377638e-74,1.5062990604494529e-89,5.055917496895428e-72,3.9868872756893274e-104,3.76,0.0,0.6067854461890565,0.9999999999999561,6.500338549120039e-68,8.785179489301406e-101,2.3605778938266007e-16,2.279999371752541e-16,8.057852207406038e-18,1.3723300638502365e-34,4.393492719014549e-14,3.452640866082854e-39,4.790014963695819e-41,1.4757963657178804e-72,3.0855838594055875e-70,7.703468311951813e-36,7.523068995435972e-36,1.496073083732735e-35,7.707675426887744e-36,7.795647967437823e-41,1.531879582307985e-45,2.101530515966248e-52,1.692364819578935e-55,2.1690989237736018e-72,6.9466828775571044e-71,1.0414425273946673e-65,7.71135063664528e-64
1.755731797001673e-19,0.5885581441261036,9.099097413824532e-35,2.7567988555112314e-28,3.134595273189725e-40,3.5033729308249007e-53,0.0,0.0,1.5769045543083114e-37,8.187889866697439e-69,2.308602111523362e-50,5.365788252045356e-57,1.0054539187674821e-52,2.150611250087742e-67,6.159620420206299e-45,1.7538067696076002e-53,4.208138265017549e-68,3.097530727788626e-35,1.3879960143919278e-61,1.9913266592345727e-60,3.167647631663217e-35,4.1738918676638216e-54,1.752276832441107e-58,1.6315910850893747e-108,4.469222264516072e-75,1.4945795988010243e-55,3.02862267020178e-67,2.567557441599627e-100,5.241569616020235e-148,2.1031393745070265e-127,2.0793407395591256e-73,4.866854830491394e-88,8.165320322607522e-71,2.5850667593428132e-102,3.76,0.0,0.6067854461890563,0.999999999999912,1.0470100875417798e-66,5.696242179454413e-99,4.737663325372267e-16,4.575942795060058e-16,1.6172053031221023e-17,5.518078829319511e-34,8.817709161924224e-14,1.3882917070698848e-38,1.9260439498994986e-40,2.3834150866923417e-71,4.983226209450067e-69,3.097530727788624e-35,3.02499295499464e-35,6.015644069863543e-35,3.0992223894938497e-35,3.134596295369922e-40,6.159620431406184e-45,1.6915163442938794e-51,1.3649535738398748e-54,3.494323205114851e-71,1.1187444299672275e-69,1.6772130012106393e-64,1.245385187354097e-62
3.51758112639708e-19,0.5885581441261037,3.649145029857144e-34,5.523203282229756e-28,1.2571129209059027e-39,2.811236143553633e-52,0.0,0.0,6.3240925506891076e-37,1.3161793824450594e-67,1.852507804809218e-49,4.30570715217902e-56,8.068134488441968e-52,1.7257300873383545e-66,2.4702832841412063e-44,1.4073202298604485e-52,6.764459452272403e-67,1.2422483628022998e-34,1.1137797490694645e-60,1.597914234662135e-59,1.2703683768020372e-34,3.3492853612700487e-53,1.4062753974089408e-57,1.0510294946528076e-106,7.184144288063207e-74,1.2005276125416181e-54,4.868422487815762e-66,1.6568114139514465e-98,2.719330688900681e-145,2.7161386141254934e-125,3.3424795112634126e-72,1.5649073744210993e-86,1.3125514134403448e-69,1.6652343005797e-100,3.76,0.0,0.6067854461890558,0.9999999999998235,1.6808037456562933e-65,3.6693744254583974e-97,9.491834188463597e-16,9.167829641687916e-16,3.2400454677568357e-17,2.2129964125418818e-33,1.7666142043490775e-13,5.5676706746675e-38,7.724297685302023e-40,3.831270186573532e-70,8.010390701884098e-68,1.2422483628022979e-34,1.2131574707401507e-34,2.4125423281591526e-34,1.242926794240477e-34,1.2571137411411359e-39,2.4702832931284845e-44,1.3573440346412276e-50,1.0964049988646235e-53,5.6100089944246243e-70,1.7958346306552526e-68,2.69229984669624e-63,2.001920314930465e-61
