Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CHF2(1),O2(2),H2O(3),CH4(4),HF(38),CH2CHF(56),C2H3F(124),C2H3F(139),O2(143),S(285),S(141),S(377),S(145),CHFO(47),S(284),CH2CF(70),C2H2F(71),CH2CFO(79),CH2F(46),C2H4F(63),C2H4F(62),C1OO1(734),CH2O2(778),CHO2(166),C2H2O(133),S(338),S(376)
0.0,0.7357049982738202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6353444976911293,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5022213531854056e-22,0.7357049982738202,3.6382946217531827e-37,1.178336323088145e-27,9.32780854079268e-42,7.616392435423648e-57,0.0,0.0,1.0178798572144196e-39,6.434182535834534e-74,4.552376796106331e-55,2.047561873780251e-60,4.066961662314424e-57,2.193966872157e-68,1.3172841295097894e-45,9.053438504232435e-57,1.6249676231925544e-73,3.863686211387923e-38,1.3843332564615315e-63,1.084940662921426e-61,6.789914094301363e-37,3.82538929070596e-57,1.5127253764568181e-61,-1.7027291953729873e-114,8.08522472110894e-79,1.0170997914685083e-58,4.581027408516808e-72,-2.0492250036794286e-107,1.2432394112550146e-161,-8.371354932289857e-136,1.794439879134078e-77,7.647575791198524e-95,1.0008789874582785e-75,-1.8138467499331768e-109,3.76,0.0,0.6353444976911292,0.9999999999999997,1.303962266048619e-72,-7.808487185512611e-107,5.025968024837766e-17,4.808821062028429e-17,2.1714696280933674e-18,3.0206130011403745e-36,3.8426133458911757e-16,2.137303777263158e-40,1.5834982538159084e-41,6.909795581297071e-73,1.610662847839544e-74,3.8636862113879235e-38,3.6637278070520185e-38,2.298985922418987e-37,1.3494874979063356e-37,8.634435711019724e-42,1.3172841295122391e-45,2.2260997574680563e-55,7.099442054102612e-57,2.6335047273431834e-77,5.897905502520121e-76,1.2026717140254921e-70,7.097106158249491e-69,6.933728302840455e-43,4.4985197583957395e-63
4.206219788919136e-22,0.7357049982738202,2.1975299515386555e-36,3.2993417046475484e-27,5.633996358679914e-41,9.042181099353605e-56,0.0,0.0,6.147994337575166e-39,2.0230099361869698e-72,5.404581732342217e-54,2.4308654565568924e-59,4.828296885502668e-56,2.6046774706244676e-67,7.956396142238138e-45,1.0751223344979867e-55,5.109158202186603e-72,2.3336664716798753e-37,1.6434804421747594e-62,1.28804155502032e-60,4.101108112958045e-36,4.541502165926127e-56,1.91028643686145e-60,8.823864165709756e-113,2.542124015917315e-77,1.53704120486754e-57,1.4403483136760526e-70,6.114603467019714e-106,3.777201660600063e-159,1.4549018405192479e-133,5.642006090389122e-76,4.484588000604552e-93,3.1469236772394195e-74,9.399696312513332e-108,3.76,0.0,0.6353444976911292,0.999999999999999,3.4586432934549384e-71,4.046505483813041e-105,1.4072710469545744e-16,1.3464698973679688e-16,6.0801149586605455e-18,1.8244502526884938e-35,1.075931736849046e-15,1.290931481467234e-39,9.564329453052295e-41,1.617328058282956e-71,5.064181699715765e-73,2.3336664716798753e-37,2.212891595458479e-37,1.3885874971408968e-36,8.15090448735328e-37,5.21519916974172e-41,7.956396142268387e-45,2.770807815060114e-54,1.0728676832224337e-55,6.148275382937332e-76,1.3206916611269262e-74,2.6910414916597577e-69,2.2314437289679267e-67,4.187971895449601e-42,5.3406426572370735e-62
9.614216660386596e-22,0.7357049982738204,1.0580160760054249e-35,7.541352467769324e-27,2.71252672372415e-40,8.877667022786044e-55,0.0,0.0,2.9599946247796386e-38,4.513223882012142e-71,5.306250393556291e-53,2.3866381200936915e-58,4.740450513602876e-55,2.5572877861851967e-66,3.830662248612978e-44,1.0556921157452377e-54,1.1398250894868868e-70,1.1235599502739459e-36,1.6135788440518648e-61,1.2646068367012242e-59,1.974507018622869e-35,4.4588737572469e-55,1.9256506941673173e-59,9.261004388139574e-111,5.671338837474332e-76,1.6534787889956183e-56,3.2133378543604374e-69,7.888162427951893e-104,5.419222178365621e-156,3.7828098414406063e-131,1.2587005221354727e-74,2.0122849381904923e-91,7.02061361201639e-73,9.865363650659077e-106,3.76,0.0,0.635344497691129,0.9999999999999977,7.312712109910851e-70,4.246972113238659e-103,3.216619535896169e-16,3.077645479698255e-16,1.389740561979136e-17,8.783942607311822e-35,2.459272541366971e-15,6.21527938428548e-39,4.604812922102849e-40,3.264623762815175e-70,1.1297910792034551e-71,1.1235599502739459e-36,1.0654120462893155e-36,6.685451062391844e-36,3.9243096439101426e-36,2.5108939051931857e-40,3.830662248643193e-44,2.7764765771569475e-53,1.1541420958726437e-54,1.2375502824368727e-74,2.610689060442667e-73,5.317731924589514e-68,4.978228207344762e-66,2.0163281912668906e-41,5.243474630601872e-61
2.043021040332152e-21,0.7357049982738205,4.6206341696224043e-35,1.602537399402475e-26,1.1846316847443335e-39,7.852195945341179e-54,0.0,0.0,1.2927074186624236e-37,8.452768842845408e-70,4.693318381744696e-52,2.1109543894248932e-57,4.192874795398904e-54,2.2618920865168762e-65,1.6729508444758936e-43,9.33799600878378e-54,2.134766245793989e-69,4.906881488486746e-36,1.4271922147534465e-60,1.1185304258454951e-58,8.623190899763074e-35,3.9438233431462867e-54,1.7231211383139205e-58,7.393929450147034e-109,1.0621789983395307e-74,1.5198318763979288e-55,6.018226174224045e-68,6.770221032856134e-102,4.4337043360709737e-153,6.627118729635513e-129,2.3574067748807537e-73,7.571838921039381e-90,1.3148832309413327e-71,7.876446201535483e-104,3.76,0.0,0.6353444976911287,0.9999999999999949,1.3404005303539326e-68,3.3907566465670216e-101,6.835316513779358e-16,6.539996644358969e-16,2.9531986942038844e-17,3.836178511443744e-34,5.225954150395092e-15,2.7143757971285337e-38,2.0110427823525408e-39,5.86526358638858e-69,2.115973655027978e-70,4.906881488486745e-36,4.652934314941478e-36,2.91971212146946e-35,1.7138491223395155e-35,1.0965733357424167e-39,1.6729508445028217e-43,2.478034327642714e-52,1.0608554273064597e-53,2.2207477979365618e-73,4.646580715860397e-72,9.463177676623378e-67,9.323670480825465e-65,8.80583495288292e-41,4.6377939305687315e-60
4.206219788919136e-21,0.7357049982738205,1.9290238084498138e-34,3.2993417046583115e-26,4.94560408890112e-39,6.600243822470071e-53,0.0,0.0,5.396799002951851e-37,1.4600056120862016e-68,3.945016893533037e-51,1.7743843588867786e-56,3.5243639052099127e-53,1.9012565879374837e-64,6.9842404546470535e-43,7.849353997946011e-53,3.687277810984307e-68,2.0485264292995205e-35,1.1996410519358026e-59,9.401922194371415e-58,3.6000124527988934e-34,3.3150211530972657e-53,1.4562791517285543e-57,5.266791938709165e-107,1.83465007438178e-73,1.3002481682201979e-54,1.0394989088810351e-66,4.976318013226632e-100,2.833919475733117e-150,9.847307024943686e-127,4.0718339579674673e-72,2.6220667480939656e-88,2.2711337932466715e-70,5.61049488533733e-102,3.76,0.0,0.6353444976911279,0.9999999999999893,2.292637304469429e-67,2.4152799798463624e-99,1.4072710469545724e-15,1.3464698973680953e-15,6.080114958647723e-17,1.6015290132005486e-33,1.0759317368420419e-14,1.1331984627088018e-37,8.395707741788746e-39,9.937455531677262e-68,3.6548182838560465e-69,2.0485264292995205e-35,1.9425084832858514e-35,1.2189223360641586e-34,7.15498271388562e-35,4.577977817968748e-39,6.984240454874209e-43,2.0917677868152267e-51,9.07584152950651e-53,3.7607464205979853e-72,7.837946801669507e-71,1.5961478571261198e-65,1.610432212218611e-63,3.676262753613876e-40,3.8983452471314895e-59
8.532617286093103e-21,0.7357049982738205,7.880691682470732e-34,6.692950315188989e-26,2.0204406416548103e-38,5.411278655781243e-52,0.0,0.0,2.2047684859215672e-36,2.4258211607127946e-67,3.2343631972490874e-50,1.454747501254645e-55,2.8894864626200604e-52,1.5587650198725205e-63,2.8532901158716577e-42,6.43545650028319e-52,6.126467231677838e-67,8.368898881497812e-35,9.835382147083095e-59,7.708263855159052e-57,1.4707225524823152e-33,2.71785462645127e-52,1.1970861811344428e-56,3.553171723526492e-105,3.0482985381383195e-72,1.0750703298225177e-53,1.7271429841236702e-65,3.4067783134272524e-98,1.6164456331103763e-147,1.355664398639581e-124,6.765413020666603e-71,8.724073311637527e-87,3.7735227656960007e-69,3.785046384236756e-100,3.76,0.0,0.6353444976911264,0.9999999999999782,3.791426075978621e-66,1.6294367861291282e-97,2.8547498381078427e-15,2.7314103632327148e-15,1.233394748751276e-16,6.54276858495557e-33,2.1826043804347412e-14,4.62948547373584e-37,3.4299205577434e-38,1.6358126240154503e-66,6.072535241989922e-68,8.368898881497809e-35,7.935780979075794e-35,4.979695467376204e-34,2.9230438999533806e-34,1.8702533161245583e-38,2.853290116058216e-42,1.7184716701179484e-50,7.504081286911415e-52,6.1892730057615796e-71,1.2874503530664355e-69,2.621713308630379e-64,2.6757572066042152e-62,1.5018732916142635e-39,3.196098962421012e-58
1.718541228044104e-20,0.7357049982738211,3.1855015794608174e-33,1.3480167536326358e-25,8.166944116262861e-38,4.382193752624324e-51,0.0,0.0,8.912026732250661e-36,3.954700737612147e-66,2.619271173740798e-49,1.1780922434758061e-54,2.3399810524748363e-51,1.2623283267995922e-62,1.1533454850143906e-41,5.211632177551193e-51,9.987687830809255e-66,3.382842735158846e-34,7.96494747957025e-58,6.242351920144659e-56,5.944895705439526e-33,2.200989141640108e-51,9.706842380581819e-56,2.3342888146693986e-103,4.969495968122743e-71,8.742293379017363e-53,2.815678972491997e-64,2.254026757615379e-96,8.729259146741338e-145,1.798835547718448e-122,1.1029330726014383e-69,2.846280702543169e-85,6.151794497807886e-68,2.4866210044123238e-98,3.76,0.0,0.6353444976911236,0.9999999999999561,6.166799292343953e-65,1.070473470168026e-95,5.749707420414369e-15,5.501291294962847e-15,2.4841612545152284e-16,2.644691671894051e-32,4.395949667570677e-14,1.871312047602116e-36,1.3864287291714457e-37,2.6545866128037532e-65,9.89976507624201e-67,3.3828427351588437e-34,3.207769553917341e-34,2.0128725263854673e-33,1.1815410798073067e-33,7.559862945672497e-38,1.1533454851655992e-41,1.3930647236336802e-49,6.102194279105963e-51,1.0042925541552729e-69,2.0870649120697717e-68,4.249938756677471e-63,4.362159572910583e-61,6.070811999965515e-39,2.5882838054014393e-57
3.449100226913691e-20,0.7357049982738219,1.2808761747456566e-32,2.705460197890515e-25,3.2838923112555902e-37,3.5271707748340773e-50,0.0,0.0,3.5834867525232936e-35,6.386852254792315e-65,2.1082173121971365e-48,9.482311293930671e-54,1.8834203248622486e-50,1.0160316574819904e-61,4.637551469226152e-41,4.19478802149347e-50,1.6130142533894492e-64,1.360226185586073e-33,6.410882694274211e-57,5.024387897676691e-55,2.3904164165569215e-32,1.771547542919997e-50,7.817915538737902e-55,1.5135347353728055e-101,8.025749263138996e-70,7.050976321605892e-52,4.5473290615992933e-63,1.466592782510714e-94,4.589292398722456e-142,2.344074150153328e-120,1.781239858414828e-68,9.19641307297131e-84,9.935164551899441e-67,1.6123057447618702e-96,3.76,0.0,0.6353444976911178,0.9999999999999118,9.948079982028037e-64,6.940866832721854e-94,1.1539622585027372e-14,1.1041053158426681e-14,4.985694266006914e-16,1.0634188894804372e-31,8.822640241644693e-14,7.524463440224222e-36,5.5747689428087535e-37,4.277419996306731e-64,1.5988147051562905e-65,1.3602261855860709e-33,1.2898300293097222e-33,8.093671899178043e-33,4.7509247158013886e-33,3.0397876523241914e-37,4.637551470443723e-41,1.1218196310954246e-48,4.92164075523251e-50,1.6181724574747898e-68,3.361195720553766e-67,6.8444181441989005e-62,7.044899361879527e-60,2.4410468260005736e-38,2.0832759840749007e-56
6.910218224652866e-20,0.7357049982738234,5.13688634651612e-32,5.420347086527897e-25,1.3169876937954832e-36,2.830332414121211e-49,0.0,0.0,1.43713846312644e-34,1.0266678464413341e-63,1.691711622355629e-47,7.608957640438419e-53,1.5113261971610897e-49,8.15301417676496e-61,1.8598655586870697e-40,3.3660584225096728e-49,2.592873305219278e-63,5.455115380724854e-33,5.14432966371543e-56,4.0317548629898084e-54,9.586638970273622e-32,1.4215553350265471e-49,6.275385203884835e-54,9.749805922100288e-100,1.2901157540843106e-68,5.663727630217936e-51,7.309698656558319e-62,9.46374698178897e-93,2.380928676518132e-139,3.0272982897201613e-118,2.8632910495492245e-67,2.9570623619522614e-82,1.597048686775329e-65,1.0386063660998627e-94,3.76,0.0,0.6353444976911062,0.9999999999998234,1.5982204938138537e-62,4.471129934033268e-92,2.3119452914253165e-14,2.2120576885368623e-14,9.988760288845403e-16,4.264785372446528e-31,1.7676021389001302e-13,3.0176463794708967e-35,2.2357316838306104e-36,6.868038054661044e-63,2.5700479465173302e-64,5.4551153807248376e-33,5.172795307812457e-33,3.2459244298391724e-32,1.9053333013063137e-32,1.2190908155150084e-36,1.8598655596642984e-40,9.004134266885828e-48,3.9533295080645455e-49,2.5981583899164974e-67,5.395497178342452e-66,1.0986825163201015e-60,1.1324469969129808e-58,9.789689727308281e-38,1.6716977801079204e-55
