Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CHF2(1),O2(2),H2O(3),CH4(4),HF(38),CH2CHF(56),C2H3F(124),C2H3F(139),O2(143),S(285),S(141),S(377),S(145),CHFO(47),S(284),CH2CF(70),C2H2F(71),CH2CFO(79),CH2F(46),C2H4F(63),C2H4F(62),C1OO1(734),CH2O2(778),CHO2(166),C2H2O(133),S(338),S(376),CH2F2(41)
0.0,0.5628450794286138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.8281718244654352,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6669587591525774e-21,0.5628450794286138,3.304522461924192e-40,5.352624649168776e-32,5.9857890256488866e-46,4.835976774635306e-55,0.0,0.0,5.211523179989185e-43,2.796504764932311e-79,8.340540534420097e-55,9.693016102208333e-55,3.0354165584732783e-60,1.5874938431046522e-76,3.839306694383905e-51,1.347359780835088e-40,4.473544203596871e-75,2.3002769477550985e-40,3.864766812047975e-70,3.7631861054302837e-69,6.638235680418336e-41,3.093242559831503e-62,6.650880232225954e-28,5.741127146802988e-97,3.901220331227766e-86,6.759713663289161e-64,7.364834056653034e-78,3.624783427810147e-97,-1.9029009254180952e-144,-5.817828433008389e-132,2.511842257066624e-84,1.0594512792173737e-100,2.602640458005388e-81,-2.303999606836646e-117,3.76,0.0,0.8281718244654352,0.9999999999999997,1.3696653186124112e-55,2.4219361019250665e-99,7.016452783431542e-19,6.825059743331126e-19,1.9139304010041622e-20,2.0369849303665445e-39,3.936991764174299e-16,3.3449280060444044e-44,2.1226485777953422e-46,1.5609573088216577e-76,2.668357539592044e-79,2.3002769477550944e-40,2.2675859931587375e-40,2.230798134886948e-40,1.078935850216429e-40,5.805048378071152e-46,3.7920518308981955e-51,3.832492918773096e-59,3.5152411792164216e-63,4.3990797831077896e-60,1.7254049425318826e-58,2.310784851275994e-53,1.037459622822079e-72,1.8074072317787517e-47,6.605924117050598e-67,6.650880232227301e-28
4.667484525627217e-21,0.5628450794286138,1.9959315670012724e-39,1.4987349017683467e-31,3.6154165765373915e-45,5.741271626845034e-54,0.0,0.0,3.147760000714676e-42,8.792658421712888e-78,9.901889722460173e-54,1.1507548717342095e-53,3.6036465382394857e-59,1.8846726905325963e-75,2.31894124340654e-50,8.138053076240842e-40,1.4065538743185765e-73,1.389367276452521e-39,4.588251262330061e-69,4.4676545443667334e-68,4.009494350972735e-40,3.6722975670318865e-61,1.8622464650228304e-27,3.4926078104036304e-95,1.2266061138828935e-84,1.0215279287969688e-62,2.315621664755557e-76,1.7316025408820583e-95,1.9257851815244896e-142,1.0111110282963139e-129,7.897633951145453e-83,6.101963335415058e-99,8.183118033728597e-80,1.193976097466827e-115,3.76,0.0,0.8281718244654352,0.9999999999999989,1.6260666662560877e-54,1.4733819213071767e-97,1.964606779360832e-18,1.9110167281327503e-18,5.359005122808175e-20,1.2303388979405985e-38,1.102357693962949e-15,2.020336515654576e-43,1.2820797409932597e-45,3.492561880809262e-75,8.38974305947884e-78,1.3893672764525162e-39,1.3696219398625179e-39,1.3474020734709476e-39,6.516772535303626e-40,3.5062492603546945e-45,2.2903993059585043e-50,4.5509613171888e-58,5.312232481135784e-62,5.2225875186727065e-59,2.0484007477711478e-57,2.7433637754258603e-52,3.26193904767432e-71,1.091674059351829e-46,7.842553112282863e-66,1.862246465023644e-27
1.0668536058576495e-20,0.5628450794286138,9.609551319261466e-39,3.4256797754756446e-31,1.7406674562264944e-44,5.636814528508714e-53,0.0,0.0,1.515510940742666e-41,1.961593725539336e-76,9.721734046909642e-53,1.1298179571215164e-52,3.5380815406180794e-58,1.8503828235189173e-74,1.1164703867248321e-49,3.918122242663803e-39,3.137944319186461e-72,6.689205364197593e-39,4.504772515577727e-68,4.3863697244892286e-67,1.9303989358657426e-39,3.605483527739374e-60,4.256563348621555e-27,1.5767301157547272e-93,2.736490875322563e-83,1.0989131308159382e-61,5.166024551894854e-75,9.016418530611967e-94,4.032890262262238e-140,2.6289338851269127e-127,1.761918689727721e-81,2.7363774852106685e-97,1.8256086233152962e-78,1.2531264876386812e-113,3.76,0.0,0.8281718244654352,0.9999999999999974,1.5964818953728712e-53,6.651550284110216e-96,4.490529781396187e-18,4.3680382357321644e-18,1.224915456640228e-19,5.923552177493998e-38,2.5196747290305686e-15,9.727050641632406e-43,6.172662064300277e-45,6.901448349004561e-74,1.8717055345769237e-76,6.689205364197544e-39,6.594140068025204e-39,6.487160976239701e-39,3.1375454524239675e-39,1.688108128342281e-44,1.1027286725691798e-49,4.46861027423099e-57,5.714657316885917e-61,5.127567395708572e-58,2.0111320010067823e-56,2.693450822619401e-51,7.27720657623799e-70,5.255941600373595e-46,7.699865152447353e-65,4.256563348625472e-27
2.267063912447505e-20,0.5628450794286138,4.1967435266291707e-38,7.27956952290768e-31,7.601952140772815e-44,4.985698615565e-52,0.0,0.0,6.618634438604981e-41,3.6738479541577114e-75,8.598763669343855e-52,9.993111885943082e-52,3.129393055252621e-57,1.6366426524790545e-73,4.875919501846814e-49,1.7111469216557742e-38,5.877022426818834e-71,2.9213517237785363e-38,3.984420663361249e-67,3.879694347253758e-66,8.43055931413223e-39,3.189009349483414e-59,9.045197115812018e-27,5.953432908001639e-92,5.125144972523244e-82,1.0100904932830427e-60,9.675392250666667e-74,3.598215946099254e-92,6.481081628622827e-138,4.605639119560776e-125,3.2998787107281012e-80,1.0294936990528262e-95,3.4191629272320256e-77,1.0004885546756006e-111,3.76,0.0,0.8281718244654352,0.9999999999999946,1.412070156872965e-52,2.511498826322246e-94,9.542375785466897e-18,9.282081250931549e-18,2.602945345353482e-19,2.5869708615532e-37,5.3543087990721326e-15,4.248058567733023e-42,2.695763693873107e-44,1.2281354794973467e-72,3.5054973584919434e-75,2.9213517237784925e-38,2.8798342112285057e-38,2.833113631294494e-38,1.3702485297692757e-38,7.372412060140188e-44,4.815905826728517e-49,3.952613684884991e-56,5.252754668493683e-60,4.535275294280887e-57,1.778823479535072e-55,2.382326750212915e-50,1.3629402532843551e-68,2.2954086003982556e-45,6.810443531102115e-64,9.04519711582913e-27
4.667484525627217e-20,0.5628450794286138,1.7520578092991086e-37,1.4987349017841507e-30,3.1736654117771033e-43,4.1907800972469524e-51,0.0,0.0,2.7631495900471113e-40,6.345658719365804e-74,7.227778978440206e-51,8.399812675369232e-51,2.630443423141708e-56,1.3756967645182734e-72,2.0356004093436752e-48,7.143701557944552e-38,1.0151094730099477e-69,1.2196068378161867e-37,3.3491463000632417e-66,3.261116867987022e-65,3.51959255775865e-38,2.6805545104681664e-58,1.8622464650165008e-26,2.065522440585121e-90,8.85241484524525e-81,8.641536830678147e-60,1.6711834012838116e-72,1.2788623039190435e-90,9.266089796724025e-136,6.843568721481833e-123,5.699719851548549e-79,3.5648100142197897e-94,5.905753739412228e-76,7.126609945188933e-110,3.76,0.0,0.8281718244654352,0.9999999999999889,1.1869300504577311e-51,8.71355613751672e-93,1.9646067793608318e-17,1.9110167281332547e-17,5.35900512275772e-19,1.080009410069261e-36,1.102357693878056e-14,1.773480828855497e-41,1.1254282760124762e-43,2.0714776986840424e-71,6.054875062490374e-74,1.2196068378161502e-37,1.202274093497978e-37,1.182769171106322e-37,5.720517877797205e-38,3.0778372080433932e-43,2.0105458820812372e-48,3.322480738745174e-55,4.493842286311078e-59,3.812172156738774e-56,1.4952083166871225e-54,2.0024891794518703e-49,2.3541403481090135e-67,9.582885887242213e-45,5.72458815119627e-63,1.8622464650236442e-26
9.46832575198664e-20,0.5628450794286138,7.1577278333153785e-37,3.040290800798819e-30,1.296545905698084e-42,3.435854719971065e-50,0.0,0.0,1.12883676689264e-39,1.054340686964929e-72,5.92576989050299e-50,6.886673934893797e-50,2.1565964431946425e-55,1.1278793236367607e-71,8.316091872145229e-48,2.9184351796435546e-37,1.6866195716621581e-68,4.982491880900551e-37,2.745833554801649e-65,2.6736606367570127e-64,1.4378684013220524e-37,2.1976805399631068e-57,3.777699971875922e-26,6.87905211749123e-89,1.4708424445721e-79,7.144989762624472e-59,2.7766962158735076e-71,4.307560450486353e-89,1.2525410323165428e-133,9.421441263272285e-121,9.470169782012515e-78,1.1860347970102819e-92,9.812498393337723e-75,4.807873525481195e-108,3.76,0.0,0.8281718244654352,0.9999999999999776,9.731169666525155e-51,2.901977999644525e-91,3.985345180989116e-17,3.8766339342143455e-17,1.0871124677477118e-18,4.4121908384773314e-36,2.2362113216698627e-14,7.245247858641263e-41,4.597741726000044e-43,3.4024464671198914e-70,1.00602659113115e-72,4.982491880900251e-37,4.911681963988367e-37,4.8319979919996085e-37,2.3370182089602045e-37,1.2573971713149952e-42,8.213735959135665e-48,2.7239986091709725e-54,3.715595833590302e-58,3.1254490575724316e-55,1.2258621146734956e-53,1.6417616145213916e-48,3.9114393970785827e-66,3.91492715053867e-44,4.693363236808278e-62,3.7776999719051066e-26
1.9070008204705484e-19,0.5628450794286138,2.893268032401581e-36,6.123402598939767e-30,5.2408460999739584e-42,2.7824442327481174e-49,0.0,0.0,4.5629386973104954e-39,1.7188414216248538e-71,4.798842093232142e-49,5.577007115032082e-49,1.746467713570291e-54,9.133859185062388e-71,3.361497297524401e-47,1.1796781613605932e-36,2.7496155826414555e-67,2.014002881863115e-36,2.223648938092651e-64,2.1651997029772813e-63,5.81209397352483e-37,1.7797386799766623e-56,7.608606985550064e-26,2.2454371839692895e-87,2.3978459650771305e-78,5.8101870141133245e-58,4.5267156337434315e-70,1.4137844714039892e-87,1.6472597125099199e-131,1.2501341383803055e-118,1.5438766899109062e-76,3.869445007231123e-91,1.59968496689481e-73,3.1585768390190055e-106,3.76,0.0,0.8281718244654352,0.9999999999999549,7.880553493467954e-50,9.472539526115507e-90,8.026821984245684e-17,7.807868346380089e-17,2.1895363786559604e-18,1.7834780817353935e-35,4.5039185766539567e-14,2.9286450261885673e-40,1.8584807174452417e-42,5.515542824195429e-69,1.6400773939413933e-71,2.014002881862872e-36,1.9853803806172975e-36,1.9531708453292116e-36,9.446601257502609e-37,5.082602383450341e-42,3.3201234057647797e-47,2.2059759330579495e-53,3.021461034434421e-57,2.5310696823752705e-54,9.92734923038679e-53,1.329541120832205e-47,6.376633412096811e-65,1.582480662792454e-43,3.80080724158807e-61,7.608606985668032e-26
3.8273373110143174e-19,0.5628450794286137,1.1633703507362696e-35,1.2289626195668106e-29,2.107321367197414e-41,2.2395531856389146e-48,0.0,0.0,1.8347375817030763e-38,2.775933487255535e-70,3.8625256063687543e-48,4.4888605365246593e-48,1.4057091556740384e-53,7.351724499590307e-70,1.3516432788791562e-46,4.7434340025777774e-36,4.440636510665071e-66,8.098217012218852e-36,1.7897889112291672e-63,1.742741089070364e-62,2.3370174242387966e-36,1.4324885234090893e-55,1.5270421012719537e-25,7.256864972444984e-86,3.872532674033649e-77,4.686126315578336e-57,7.310657839740894e-69,4.5814526569775755e-86,2.137133173632906e-129,1.6290578200507607e-116,2.493364980367447e-75,1.2502183854037404e-89,2.5834957338837054e-72,2.0479968766314924e-104,3.76,0.0,0.8281718244654351,0.9999999999999095,6.3429550440487504e-49,3.0613610926245104e-88,1.6109775590758822e-16,1.5670337170725827e-16,4.394384200329932e-18,7.171286926126674e-35,9.039333084224071e-14,1.1775952845256492e-39,7.472869227749245e-42,8.882636055186344e-68,2.6487298320412724e-70,8.098217012216895e-36,7.983127188130382e-36,7.8536140651883e-36,3.798436817836791e-36,2.043693653773645e-41,1.3350070228390697e-46,1.775565834220587e-52,2.436918122338274e-56,2.037225082991607e-53,7.990394319746508e-52,1.0701303612652198e-46,1.029827998863428e-63,6.363121448551888e-43,3.0592203448911435e-60,1.5270421013193884e-25
7.668010292101855e-19,0.5628450794286138,4.665635436259997e-35,2.462207339091057e-29,8.451302812983161e-41,1.797100389255181e-47,0.0,0.0,7.358118309454207e-38,4.4622320067450905e-69,3.0994335455987515e-47,3.602027916814098e-47,1.1279930698174448e-52,5.899295914941978e-69,5.420694085110855e-46,1.9023291902063278e-35,7.1381934974530695e-65,3.247747226164774e-35,1.436197366337518e-62,1.3984399699745057e-61,9.37248512780723e-36,1.1494818250566033e-54,3.059404906634325e-25,2.333699020707702e-84,6.224999360576543e-76,3.7641514995015226e-56,1.1751668960690955e-67,1.475300756018511e-84,2.7540143973388186e-127,2.1038771087672412e-114,4.008011391675685e-74,4.020001253896774e-88,4.152894707897821e-71,1.3192677575757682e-102,3.76,0.0,0.828171824465435,0.9999999999998188,5.089821957247313e-48,9.844878491787707e-87,3.227568280378509e-16,3.1395274819474305e-16,8.804079843107776e-18,2.876006800770723e-34,1.8110162089772012e-13,4.7226837844667677e-39,2.996954794059243e-41,1.4258617560493525e-66,4.257757324626054e-69,3.247747226163204e-35,3.201591054821827e-35,3.1496505013694513e-35,1.5233430530765837e-35,8.196138365084452e-41,5.353975288663445e-46,1.4247815545423616e-51,1.9574657043551755e-55,1.6347448364169226e-52,6.411788222963608e-51,8.587122200678002e-46,1.6554184293620845e-62,2.5519254171435537e-42,2.454831686442955e-59,3.059404906824558e-25
