Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CHF2(1),O2(2),H2O(3),CH4(4),HF(38),CH2CHF(56),C2H3F(124),C2H3F(139),O2(143),S(285),S(141),S(377),S(145),CHFO(47),S(284),CH2CF(70),C2H2F(71),CH2CFO(79),CH2F(46),C2H4F(63),C2H4F(62),C1OO1(734),CH2O2(778),CHO2(166),C2H2O(133),S(338),S(376),CH2F2(41),CH3O2(183),C2H2O(373),S(1537),CHF2(81)
0.0,0.6591175151656103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5269698564594477,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.9486802855647125e-22,0.6591175151656103,5.510514010880087e-38,8.786940710330809e-29,2.3837367694737206e-42,3.52800596374252e-48,0.0,0.0,1.2188438451989766e-40,1.8651586276258092e-75,6.281329276888774e-54,7.214284742547672e-54,5.3614226856356575e-58,1.729728692325065e-70,4.83564925439155e-47,6.129632631697296e-39,8.710706532710719e-25,8.498850731372694e-39,2.486750799025797e-65,6.986150643585165e-64,4.934757397411546e-38,1.5126635810563763e-58,1.9623284219405796e-25,3.983288372574084e-80,2.3714915688273164e-43,3.933160997499747e-60,1.053643273972211e-73,1.264904093926527e-63,1.2025031215421081e-63,1.532445790104248e-64,2.315495620316705e-59,7.734400150001985e-96,9.457810899858964e-77,4.06458176481692e-82,3.76,0.0,0.5269698564594477,0.9999999999999997,1.0194097807868086e-54,3.356342747055471e-59,1.302579067814401e-17,1.2486457203170855e-17,5.39333474973157e-19,3.79996615534721e-37,4.0580059916523937e-16,1.7748626591244847e-41,6.95516645299631e-43,5.529473381728824e-74,2.6326151027741937e-75,8.49707601138548e-39,8.162329459438542e-39,3.5424030978357634e-38,1.980299309397937e-38,5.7284428660984155e-43,4.2418162712288504e-47,1.5597144468766553e-56,1.046350923328829e-58,3.2489282580926194e-59,9.624356771152977e-58,1.726533080009485e-52,6.608688884730756e-70,3.6172495830452875e-44,4.3276259684576846e-64,1.962328421940641e-25,2.4031366691661433e-42,5.90355073926091e-64,1.389161166558846e-60,8.710706532710719e-25
8.256304799581195e-22,0.6591175151656103,3.328350462570958e-37,2.4603433988932303e-28,1.4397770087737294e-41,2.130917701528651e-47,0.0,0.0,7.361816825002044e-40,5.864357150636147e-74,7.457194117522438e-53,8.564798846460209e-53,6.365081012394129e-57,2.0535339035279465e-69,2.9207321496519875e-46,3.70229810954494e-38,2.4389978291590004e-24,5.133305841755697e-38,2.9522705496118796e-64,8.293958044064319e-63,2.9805934680365965e-37,1.795834203430133e-57,5.494519581433424e-25,1.2524095969528446e-78,1.4323809075716731e-42,5.943792899423035e-59,3.3128230362916134e-72,1.911523066742087e-62,1.8172227172744337e-62,2.3158320780055334e-63,2.7489564004399805e-58,4.4928066712417493e-94,2.973687071918004e-75,1.1462770909866017e-80,3.76,0.0,0.5269698564594477,0.9999999999999988,1.21024329175003e-53,5.0721051593502706e-58,3.6472213898803227e-17,3.4962080168878727e-17,1.5101337299245002e-18,2.2951795578291615e-36,1.1362416776616402e-15,1.072017046111618e-40,4.200920537613286e-42,1.2507633634619709e-72,8.277363101624822e-74,5.132233910883418e-38,4.930046993496795e-38,2.13961147109239e-37,1.1961007828761289e-37,3.459979492084391e-42,2.562057027831368e-46,1.8732470963169738e-55,1.581245515392418e-57,3.857127628013554e-58,1.1426036358710707e-56,2.0497400725860623e-51,2.0778774955391253e-68,2.1848187500984222e-43,5.13775754985281e-63,5.494519581433794e-25,1.451494548176336e-41,7.895284086304916e-63,1.6492121382789887e-59,2.4389978291590004e-24
1.887155382761416e-21,0.6591175151656103,1.602457474363008e-36,5.623642054615946e-28,6.931906525803541e-41,1.0259472833985796e-46,0.0,0.0,3.5443979018389654e-39,1.308305820523406e-72,7.32151740514126e-52,8.408970296247187e-52,6.249274282399963e-56,2.0161717637729468e-68,1.4062068031763004e-45,1.7824971692972345e-37,5.574852180934859e-24,2.4714657926930003e-37,2.8985567344670486e-63,8.143057190162919e-62,1.4350274511673134e-36,1.7631606700793233e-56,1.255890190041832e-24,2.794056915852822e-77,6.896297482149454e-42,6.394061170420068e-58,7.390725955823091e-71,2.056329287415531e-61,1.954885274628576e-61,2.491266472056654e-62,2.698941695041019e-57,2.0168159225594557e-92,6.634132275270593e-74,2.493403051132557e-79,3.76,0.0,0.5269698564594477,0.9999999999999973,1.188224040484892e-52,5.456339277033288e-57,8.336506034012166e-17,7.991332610029584e-17,3.4517342398258295e-18,1.1050301579741385e-35,2.597123834650322e-15,5.161300612740328e-40,2.0225624045364974e-41,2.4846367004211057e-71,1.8466341743026488e-72,2.470949704120716e-37,2.3736054067986024e-37,1.0301308208500245e-36,5.7587103917258275e-37,1.6658311869027685e-41,1.2335201716870478e-45,1.848609988358646e-54,1.7010317692283635e-56,3.786950777651352e-57,1.1218150252449396e-55,2.0124469580553444e-50,4.635630371512434e-67,1.0518961816581198e-42,5.044280829143747e-62,1.2558901900420102e-24,6.988321433934937e-41,8.140134622776796e-62,1.6192062598959337e-58,5.574852180934859e-24
4.010205188368009e-21,0.6591175151656103,6.998352793808196e-36,1.195023936607104e-27,3.027345697411351e-40,4.480600115089632e-46,0.0,0.0,1.5479316834030538e-38,2.450312008830409e-71,6.475799231300107e-51,7.437638998877561e-51,5.527412332031176e-55,1.7832810926370373e-67,6.141274553069395e-45,7.784633442252068e-37,1.1846560884486573e-23,1.0793540428944495e-36,2.5637406103180972e-62,7.202441867510676e-61,6.267141894713035e-36,1.5594956455259056e-55,2.6687666538384927e-24,5.2329593791478706e-76,3.011794292410297e-41,5.877243815354026e-57,1.384201176775821e-69,1.8901208894748077e-60,1.796876364457942e-60,2.2899030952369282e-61,2.387183364721343e-56,7.591904829661357e-91,1.2424995538384799e-72,4.62234903757519e-78,3.76,0.0,0.5269698564594476,0.9999999999999944,1.0509707075995234e-51,5.015315840070373e-56,1.771507532227585e-16,1.6981581796313546e-16,7.33493525962306e-18,4.825957017282378e-35,5.5188881486112044e-15,2.2540755770945768e-39,8.833061395358262e-41,4.432103417703321e-70,3.458541437660753e-71,1.0791286534560703e-36,1.0366158413423648e-36,4.4988519342450575e-36,2.5149801229318947e-36,7.27512245483859e-41,5.3871066646021144e-45,1.638825576282052e-53,1.5635412581248974e-55,3.3495150770022184e-56,9.9223268567742e-55,1.7799865441587874e-49,8.682022638169522e-66,4.59390700052229e-42,4.461609269090963e-61,2.6687666538392714e-24,3.0519835698407878e-40,7.354146437739631e-61,1.4321696050008167e-57,1.1846560884486573e-23
8.256304799581195e-21,0.6591175151656103,2.9216745285600565e-35,2.4603433989019906e-27,1.2638572353367042e-39,1.8705780489992528e-45,0.0,0.0,6.462310067248159e-38,4.232304645694059e-70,5.443299450080857e-50,6.251783730607048e-50,4.646123116696277e-54,1.4989552091054478e-66,2.563861234671313e-44,3.249931221322759e-36,2.4389978291589996e-23,4.506090657864728e-36,2.154978466312285e-61,6.054086369320818e-60,2.616408372107937e-35,1.3108500567262023e-54,5.494519581430542e-24,9.038635982473823e-75,1.2573648297918876e-40,5.02810582129029e-56,2.3908633063547217e-68,1.6170382148307316e-59,1.5372655605419722e-59,1.9590603087196997e-60,2.006571456635787e-55,2.6296163112834556e-89,2.1461089915931762e-71,7.944636980308622e-77,3.76,0.0,0.5269698564594474,0.9999999999999886,8.834042054725489e-51,4.290708291723346e-55,3.6472213898803207e-16,3.496208016888363e-16,1.5101337299195803e-17,2.014742055557369e-34,1.1362416776467052e-14,9.410321818736113e-39,3.68762925342609e-40,7.484050823090622e-69,5.973770255583566e-70,4.5051497013274794e-36,4.3276670793373396e-36,1.8781821224667962e-35,1.0499546938396496e-35,3.0372204210094746e-40,2.24901098713283e-44,1.3790188516712934e-52,1.337642464932302e-54,2.815469245681787e-55,8.340313588148026e-54,1.4961859425928047e-48,1.4996035030945541e-64,1.9178657559798026e-41,3.7502514234288535e-60,5.4945195814337925e-24,1.2741430619916964e-39,6.242776786303547e-60,1.2038248561913694e-56,2.4389978291589996e-23
1.6748504022007566e-20,0.6591175151656106,1.1935993768054178e-34,4.9909823235072264e-27,5.1632691935201715e-39,7.642050001165986e-45,0.0,0.0,2.640064522457488e-37,7.03203746829521e-69,4.462745759474379e-49,5.125590020333906e-49,3.80917243807968e-53,1.228934043479993e-65,1.0474209710922277e-43,1.327702946553497e-35,4.947681310579683e-23,1.840885063895179e-35,1.766781555460149e-60,4.96350577806141e-59,1.0688881913092147e-34,1.0747140747287594e-53,1.1146025436609552e-23,1.501782886940523e-73,5.13674559773971e-40,4.157335127092162e-55,3.9724551418819306e-67,1.3369984664788e-58,1.2710408932572701e-58,1.6197889477612116e-59,1.6451085120903919e-54,8.750238358725469e-88,3.565792187819602e-70,1.3167653162752982e-75,3.76,0.0,0.526969856459447,0.9999999999999769,7.242681406796962e-50,3.547640589760248e-54,7.398649105185792e-16,7.092307691403247e-16,3.063414137825442e-17,8.230878691062892e-34,2.304947403191507e-14,3.8444235142190875e-38,1.5065168744248994e-39,1.2299497194570117e-67,9.925508626731537e-69,1.840500652447046e-35,1.7679932101839845e-35,7.672986805987697e-35,4.289407516101751e-35,1.2408036499171203e-39,9.187943717210165e-44,1.1311947912980989e-51,1.105988658147158e-53,2.3082917911593177e-54,6.837892980064513e-53,1.2266636314723036e-47,2.491613648024861e-63,7.835107515875459e-41,3.0746826986119186e-59,1.1146025436622831e-23,5.205290150878999e-39,5.142549009638508e-59,9.869683630726837e-56,4.947681310579683e-23
3.373290246686031e-20,0.6591175151656107,4.824719521138381e-34,1.005226017277956e-26,2.087075962165522e-38,3.089142535486676e-44,0.0,0.0,1.0671562909784924e-36,1.146399586795266e-67,3.6140472205154545e-48,4.1508356901737474e-48,3.0847665999459754e-52,9.952226506705882e-65,4.233843033334661e-43,5.36678759139539e-35,9.965048273421039e-23,7.441151760784472e-35,1.4307855274625845e-59,4.019575666651971e-58,4.320616969791222e-34,8.703313215594372e-53,2.2449037146947224e-23,2.4482851362371815e-72,2.0763547001011436e-39,3.380675882103554e-54,6.476104477138819e-66,1.0872249486379714e-57,1.0335893454838538e-57,1.3171854715452142e-58,1.3322515254081084e-53,2.8549907448610632e-86,5.81314122729695e-69,2.1440109684236335e-74,3.76,0.0,0.5269698564594463,0.9999999999999535,5.865311182408838e-49,2.8848824098699995e-53,1.490150453579672e-15,1.4284507040436478e-15,6.169974953602419e-17,3.32705276732816e-33,4.642358854175638e-14,1.5539774515114638e-37,6.089582077917414e-39,1.9943547884745773e-66,1.6181084136433377e-67,7.439597908248924e-35,7.146511233155666e-35,3.1015439474640288e-34,1.7338470997229004e-34,5.015526787879021e-39,3.7139137535282565e-43,9.163069560087737e-51,8.993716101036365e-53,1.8693145390879268e-53,5.5375030195683625e-52,9.933840121484442e-47,4.061959096294249e-62,3.1670758263201246e-40,2.4899577675486686e-58,2.244903714700089e-23,2.1040615044137354e-38,4.174280475020364e-58,7.992725918657101e-55,9.965048273421044e-23
6.770169935656581e-20,0.6591175151656108,1.9399984995379898e-33,2.0174815871571677e-26,8.392040655538817e-38,1.2422140538471892e-43,0.0,0.0,4.2909885107948056e-36,1.8514383948677657e-66,2.9088996180663027e-47,3.340953680912511e-47,2.482888528465686e-51,8.010417716634481e-64,1.7024096625655332e-42,2.1579616865017864e-34,1.9999782199103715e-22,2.99205439589568e-34,1.1516206953086148e-58,3.2353041917017023e-57,1.7373010807902205e-33,7.005183647048645e-52,4.505506056754114e-23,3.953987035029447e-71,8.348930927699239e-39,2.726637572354131e-53,1.0458926029008458e-64,8.768863085148715e-57,8.33627251478195e-57,1.0623578011216891e-57,1.072311930909802e-52,9.22483769531635e-85,9.388238615171746e-68,3.460442347036517e-73,3.76,0.0,0.5269698564594447,0.9999999999999067,4.7209127101246176e-48,2.326762175604039e-52,2.990721539701854e-15,2.8668905738516795e-15,1.238309658501739e-16,1.3377932848109848e-32,9.317181755722012e-14,6.248474986281153e-37,2.448594170710205e-38,3.2122893521049373e-65,2.6132494121043183e-66,2.991429598625153e-34,2.873580735191298e-34,1.2471171801731265e-33,6.971722930530627e-34,2.0167213005003895e-38,1.4933483862701328e-42,7.37617858621928e-50,7.253757872860569e-52,1.5045869679100157e-52,4.45706418196656e-51,7.995618754004972e-46,6.560074789487987e-61,1.2734673375097012e-39,2.0041346354584904e-57,4.5055060567756937e-23,8.460338769255283e-38,3.363703082989843e-57,6.433241534048528e-54,1.9999782199103732e-22
1.3563929313597679e-19,0.6591175151656112,7.780261668487752e-33,4.04199272701457e-26,3.3655836497582867e-37,4.982503109340773e-43,0.0,0.0,1.7208783119878647e-35,2.976133146429017e-65,2.334208747388329e-46,2.6809049277002764e-46,1.9923616775573654e-50,6.427855738951391e-63,6.827424168057461e-42,8.654391534754457e-34,4.006925005046893e-22,1.199947635865262e-33,9.241031252265788e-58,2.596127861500377e-56,6.967354360876255e-33,5.621218705701933e-51,9.026710740840335e-23,6.355918679161486e-70,3.3482947170617014e-38,2.1901835790963043e-52,1.6812418126561492e-63,7.043627701379074e-56,6.696147429819946e-56,8.53343559356213e-57,8.604627927055432e-52,2.966247669359269e-83,1.509131939720137e-66,5.560837953605001e-72,3.76,0.0,0.5269698564594417,0.9999999999998133,3.788235137147803e-47,1.8689819142026377e-51,5.9918637119462e-15,5.743770313473286e-15,2.4809339847291387e-16,5.365149414586414e-32,1.8666827557127216e-13,2.5059179395052756e-36,9.819957786137269e-38,5.1567897046728186e-64,4.200722113131027e-65,1.1996970642149799e-33,1.152434398721174e-33,5.001497679155181e-33,2.7959727130003663e-33,8.08795472191207e-38,5.988994948241376e-42,5.9192957303996456e-49,5.826612828086086e-51,1.2073362864312633e-51,3.576513309839209e-50,6.415980503087937e-45,1.0545128627519712e-59,5.107174213628124e-39,1.6081918333064308e-56,9.026710740926877e-23,3.39297424436689e-37,2.7007104017769672e-56,5.162271762683105e-53,4.0069250050468997e-22
