Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CHF2(1),O2(2),H2O(3),CH4(4),HF(38),CH2CHF(56),C2H3F(124),C2H3F(139),O2(143),S(285),S(141),S(377),S(145),CHFO(47),S(284),CH2CF(70),C2H2F(71),CH2CFO(79),CH2F(46),C2H4F(63),C2H4F(62),C1OO1(734),CH2O2(778),CHO2(166),C2H2O(133),S(338),S(376),CH2F2(41),C2H2O(373),CH3O2(183),CHF2(81),S(1537),C2H3F2(64),CH2CF2(57),CH3F(39),C2H3F2(65),S(140),S(2988),F(37),C2HF(58)
0.0,0.9161336080955946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7212463263590583,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0479784932862614e-23,0.9161336080955949,1.1981811612248264e-26,9.376327080982627e-26,5.219987876587618e-40,2.8953718401225204e-42,0.0,0.0,8.804280008282906e-22,8.313325269893857e-40,5.59083916614868e-54,4.8366170635695567e-54,3.7345233055757063e-50,7.45073933114391e-65,4.436404866100941e-43,7.551519718474165e-38,5.309410913660593e-23,1.6009981528346068e-37,3.132291417561362e-61,3.423265677019944e-58,2.349788851177227e-35,2.1436560568266845e-55,4.73102957173653e-23,1.3989236864512942e-58,8.067783900867323e-42,5.857512708614592e-55,7.222385672149721e-34,4.636840895360621e-41,4.880737827000363e-62,8.778702677982801e-62,1.762942557178477e-58,4.2893878883296727e-60,3.1572512627439994e-50,1.885681256003023e-62,3.76,0.0,0.721246326359058,0.9999999999999999,1.0239271494057248e-54,1.6902746545729484e-39,2.844942913439142e-16,2.7377882385623866e-16,1.071546748767557e-17,3.1783483695771444e-35,1.702742862438851e-16,6.138640367652075e-39,1.533478712667246e-39,3.0004334723357034e-42,1.0630323942805034e-56,1.6007105800478579e-37,1.469397597589371e-37,1.2289182476761575e-36,7.907298347060933e-37,3.859740372553433e-40,2.46155879407498e-43,2.3707897664201523e-24,1.2588537629126652e-37,2.70227718943722e-59,4.24926211574205e-58,1.175925401763466e-52,1.3592947301714405e-62,4.822307256736372e-41,2.049358797137127e-48,4.731029571736537e-23,7.523356919250464e-58,2.8013222297069147e-42,5.309410913660593e-23,5.561128385481764e-59,2.1760093395084007e-22,8.48517675030447e-36,8.474604127751223e-43,6.628390486890451e-22,9.276749755213961e-41,7.178611863379037e-40,2.3707897671413434e-24,8.57329528819527e-54
5.734339781201532e-23,0.916133608095595,3.354907254847553e-26,2.625371582675385e-25,3.152872677462048e-39,1.748804592891413e-41,0.0,0.0,2.4651984023192113e-21,5.021248463015882e-39,6.637473924110096e-53,5.742031777874534e-53,4.433626068379361e-49,8.845517733933943e-64,2.6795885391249366e-42,4.561117909958379e-37,1.486635055824965e-22,9.670028843124074e-37,3.7186563709367537e-60,4.0641010117581447e-57,1.4192724661110706e-34,2.5449484706647282e-54,1.3246882800862254e-22,1.6608022005549673e-57,4.87294147612384e-41,6.973729175563813e-54,4.36232094597831e-33,2.8006519021759815e-40,7.375771004162951e-61,1.2765997391604945e-60,2.0929654038982083e-57,6.482122977865249e-59,3.748288699130189e-49,2.23868078712756e-61,3.76,0.0,0.7212463263590574,0.9999999999999994,1.2156063118995345e-53,1.0209258913620596e-38,7.965840157629594e-16,7.665807067974689e-16,3.000330896549062e-17,1.9197224152245222e-34,4.767680014828514e-16,3.707738782061988e-38,9.262211424510653e-39,1.812261817291444e-41,1.2620320584902041e-55,9.668291903489934e-37,8.875161489439288e-37,7.422666215963788e-36,4.7760082016246754e-36,2.3312831850240992e-39,1.4867815116224855e-42,6.63821134597979e-24,7.603476727992428e-37,3.2081434792998934e-58,5.04472398380887e-57,1.3960586369735353e-51,1.6137619145921584e-61,2.9126735830716045e-40,1.2378127134714345e-47,1.3246882800862298e-22,8.939320513796674e-57,1.6919986267429702e-41,1.486635055824965e-22,6.602171619249706e-58,6.092826150623395e-22,5.125046757183841e-35,5.1186608931621046e-42,1.8559493363293126e-21,5.603156852149846e-40,4.335881565480853e-39,6.638211350335785e-24,1.0178216166145267e-52
1.3107062357032072e-22,0.916133608095595,7.668359455765167e-26,6.000849331830632e-25,1.5179724745163647e-38,8.419741332937456e-41,0.0,0.0,5.634739205301047e-21,2.4175149884851256e-38,6.516724257909639e-52,5.6375608493114204e-52,4.352960364978686e-48,8.684581764381018e-63,1.2901065350621068e-41,2.195981934132262e-36,3.398022984742773e-22,4.655702628447605e-36,3.6509988763337368e-59,3.99015847313466e-56,6.833185979223763e-34,2.4986454998374596e-53,3.0278589259113585e-22,1.6305854489276026e-56,2.3461115583721833e-40,6.855476738321404e-53,2.1002697534609575e-32,1.3483933344381173e-39,7.934517870597935e-60,1.3560824475516112e-59,2.0548858446701016e-56,6.973172106232079e-58,3.680092071854966e-48,2.1979500719995143e-60,3.76,0.0,0.7212463263590564,0.9999999999999988,1.1934894855255061e-52,4.915318695498117e-38,1.8207634646010484e-15,1.7521844726799315e-15,6.857899192111685e-17,9.242637058729243e-34,1.0897554319606781e-15,1.7851166189134218e-37,4.45935609643707e-38,8.725260537562416e-41,1.2390705587745609e-54,4.654866366780472e-36,4.273008213789123e-36,3.5736942642419623e-35,2.2994423593251283e-35,1.1224125003412736e-38,7.158212973187795e-42,1.517305450511252e-23,3.660746742549928e-36,3.149774292008105e-57,4.952939922108653e-56,1.3706586482953368e-50,1.584415501774294e-60,1.4023269502631833e-39,5.959535382083913e-47,3.0278589259113796e-22,8.780004299631486e-56,8.14624504398762e-41,3.398022984742774e-22,6.482051246135357e-57,1.392645977285288e-21,2.467489398988451e-34,2.464414880350594e-41,4.242169911609799e-21,2.697678828817122e-39,2.0875403298704985e-38,1.5173054526084762e-23,9.993032987919927e-52
2.7852507508693157e-22,0.9161336080955954,1.629526391228903e-25,1.2751804830145136e-24,6.629384603314674e-38,3.677122259545476e-40,0.0,0.0,1.197382081126469e-20,1.055792309276512e-37,5.763973969328673e-51,4.986358727888632e-51,3.8501441471155836e-47,7.6814142208354485e-62,5.634234179947712e-41,9.59043004246192e-36,7.220798842578377e-22,2.0332676541046673e-35,3.2292671598996734e-58,3.5292499823809314e-55,2.9842318409954795e-33,2.2100236483466194e-52,6.434200217561574e-22,1.4422343637837727e-55,1.0246085554101152e-39,6.067018128814972e-52,9.172429803628278e-32,5.888787958469559e-39,7.293188920130058e-59,1.2402299165484627e-58,1.8175232587722794e-55,6.409546542738559e-57,3.25499976183878e-47,1.944061947693897e-59,3.76,0.0,0.7212463263590544,0.9999999999999976,1.0556279341320044e-51,2.146648811307627e-37,3.86912236227722e-15,3.723392004444867e-15,1.4573035783235387e-16,4.036502429361848e-33,2.3157302929159054e-15,7.79607326692016e-37,1.947517965088137e-37,3.810550509876873e-40,1.0959438772099556e-53,2.0329024366621204e-35,1.8661349489377075e-35,1.5607261745484077e-34,1.004226890076541e-34,4.901870273171111e-38,3.12617966849347e-41,3.224274082343181e-23,1.5987442788989814e-35,2.785939691222365e-56,4.380819270844832e-55,1.2123320522017277e-49,1.4014231408153009e-59,6.124330216099032e-39,2.6026856723736052e-46,6.434200217561669e-22,7.76713543581696e-55,3.5576792317276925e-40,7.22079884257838e-22,5.733300920333654e-56,2.959372701730983e-21,1.0776174472885761e-33,1.0762747242249569e-40,9.014611062170567e-21,1.1781472189130972e-38,9.116837066490078e-38,3.224274091502308e-23,8.838724510316795e-51
5.734339781201532e-22,0.9161336080955963,3.35490730440913e-25,2.6253715826790175e-24,2.767637572210305e-37,1.5351261699638476e-39,0.0,0.0,2.4651984023191864e-20,4.407725058097653e-37,4.84496947379299e-50,4.191334961472533e-50,3.2362781442376667e-46,6.456691492538787e-61,2.352181860006285e-40,4.0038157547347594e-35,1.486635055824954e-21,8.488492206371513e-35,2.714393625887631e-57,2.96654726345547e-54,1.2458580488945272e-32,1.8576580403501494e-51,1.3246882800861813e-21,1.2122848838996119e-54,4.2775390242395424e-39,5.1010528969762773e-51,3.829308883372105e-31,2.458453061945615e-38,6.23947666918325e-58,1.0586607608603291e-57,1.5277378129918282e-54,5.483502020654888e-56,2.7360234282733462e-46,1.6341012055612333e-58,3.76,0.0,0.7212463263590503,0.9999999999999951,8.873188850033878e-51,8.961836218545621e-37,7.965840157629543e-15,7.665807067974776e-15,3.0003308965476597e-16,1.68516030554879e-32,4.767680014824656e-15,3.2547071229309467e-36,8.130504134568322e-37,1.5908298270418684e-39,9.21206864369758e-53,8.486967495425787e-35,7.7907460624117e-35,6.515724549176182e-34,4.192449583609933e-34,2.0464343455532495e-37,1.3051184726349326e-40,6.638211346028569e-23,6.674442650962021e-35,2.3417501759315688e-55,3.682342561307133e-54,1.0190381383611831e-48,1.178023558692341e-58,2.5567873075610626e-38,1.0865700342506139e-45,1.3246882800862215e-21,6.529269121356682e-54,1.4852610461905273e-39,1.4866350558249548e-21,4.819184880872108e-55,6.092826150621565e-21,4.4988407130106064e-33,4.493235108538642e-40,1.855949336329129e-20,4.918532720222722e-38,3.806100009962399e-37,6.638211384266124e-23,7.429480524023603e-50
1.1632517841865964e-21,0.9161336080955974,6.805669218271401e-25,5.3257537820144396e-24,1.1306702540572543e-36,6.27149139271383e-39,0.0,0.0,5.000831044704577e-20,1.8006995067600315e-36,3.97219951016526e-49,3.436309631256904e-49,2.6532963503346574e-45,5.293585782451232e-60,9.609430396165615e-40,1.635689377100173e-34,3.015745398959168e-21,3.4678260390017895e-34,2.2254238913384816e-56,2.4321546778179155e-53,5.089736643206984e-32,1.5230202964514179e-50,2.687224796746151e-21,9.939043909884857e-54,1.7475142640632043e-38,4.1826919985229365e-50,1.5643976261288985e-30,1.0043583015762088e-37,5.158919969728891e-57,8.743898556235959e-57,1.2525317611236317e-53,4.533865526436429e-55,2.243157310070383e-45,1.3397348965635027e-57,3.76,0.0,0.7212463263590421,0.9999999999999902,7.274776314819628e-50,3.6612025127910635e-36,1.6159275748334093e-14,1.5550637195034748e-14,6.086385532993424e-16,6.88442970243031e-32,9.671579458635349e-15,1.3296540581964458e-35,3.3215762307913264e-36,6.49905891849828e-39,7.552610443888188e-52,3.4672031448170556e-34,3.182773972276433e-34,2.6618860811940888e-33,1.7127524511652847e-33,8.360352036780837e-37,5.331834810456658e-40,1.3466085873485465e-22,2.7267276046185625e-34,1.9199082768153233e-54,3.0190069095253857e-53,8.354690335190384e-48,9.658853318008205e-58,1.04453104107151e-37,4.438993129022949e-45,2.6872247967463152e-21,5.353297741632043e-53,6.067776002433707e-39,3.015745398959171e-21,3.9510589282852465e-54,1.2359733048399505e-20,1.8379232248222544e-32,1.8356331524916044e-39,3.764925796552952e-20,2.0093811039853623e-37,1.5549160440543667e-36,1.3466086029698353e-22,6.091137003899715e-49
2.3428873963194828e-21,0.9161336080956002,1.3707193396003211e-24,1.0726518180710937e-23,4.570349945673808e-36,2.535037165470385e-38,0.0,0.0,1.0072096329475187e-19,7.278715313404558e-36,3.2167904749352016e-48,2.782812631815497e-48,2.148708175852429e-44,4.2868830121068275e-59,3.8842854077019314e-39,6.611717986468934e-34,6.073966085227519e-21,1.4017507307475765e-33,1.802205965347008e-55,1.969621915966422e-52,2.057352929073039e-31,1.233381323035593e-49,5.412297830065777e-21,8.048895445338319e-53,7.063732058834436e-38,3.3874680964000134e-49,6.323545330467667e-30,4.059776906146906e-37,4.195148042208753e-56,7.106709140209837e-56,1.0143326942395854e-52,3.686864174335481e-54,1.8165669474739682e-44,1.084952054222949e-56,3.76,0.0,0.7212463263590256,0.9999999999999805,5.8913024711285876e-49,1.479916593261933e-35,3.254614692974282e-14,3.1320297449155295e-14,1.2258494805875042e-15,2.7827965582794824e-31,1.947937834622949e-14,5.374674296629657e-35,1.342634219922954e-35,2.6270235259025957e-38,6.116299752174999e-51,1.4014989469481237e-33,1.2865281277692033e-33,1.0759769139144104e-32,6.923219253160157e-33,3.379387963885421e-36,2.1552128791486066e-39,2.712183492874373e-22,1.1021868944100115e-33,1.5547914995489904e-53,2.4448700683720164e-52,6.765844843403072e-47,7.823130777006618e-57,4.222161474295608e-37,1.7943119961750816e-44,5.4122978300664406e-21,4.3353224522810354e-52,2.4526920755748886e-38,6.073966085227532e-21,3.199669958342318e-53,2.489354684394247e-20,7.429179533369862e-32,7.419922694878665e-39,7.582878716999303e-20,8.122239694735573e-37,6.285219259749683e-36,2.7121835560181224e-22,4.9327606691467774e-48
4.702158620585256e-21,0.9161336080956057,2.751024315149591e-24,2.152804697820655e-23,1.83771761215016e-35,1.019327352651604e-37,0.0,0.0,2.021462689901571e-19,2.926739414566834e-35,2.5891529591763125e-47,2.2398497054414254e-47,1.729467273309448e-43,3.450456398533947e-58,1.5618540787278556e-38,2.6585427229663373e-33,1.2190407457763922e-20,5.6363780372199556e-33,1.450572149496656e-54,1.585323071205679e-51,8.272525642143928e-31,9.927325905314962e-49,1.0862443896703779e-20,6.478451292484107e-52,2.8402955934342056e-37,2.726615180713048e-48,2.5426697654135265e-29,1.6324184931795824e-36,3.3835388757159255e-55,5.730352933184248e-55,8.164231972783253e-52,2.9735895623876128e-53,1.4621311170770442e-43,8.732638019550198e-56,3.76,0.0,0.7212463263589929,0.9999999999999608,4.7418327605996983e-48,5.950679532409418e-35,6.531988929255878e-14,6.285961795739888e-14,2.4602713351598652e-15,1.1189502568973963e-30,3.9094976121308797e-14,2.161132896003615e-34,5.398673147130613e-35,1.0563146057232199e-37,4.922930146708077e-50,5.63536562554966e-33,5.173073018176932e-33,4.3264558476579715e-32,2.7837960122661754e-32,1.3588370372624938e-35,8.666016197815861e-39,5.443333304063821e-22,4.4318450264793104e-33,1.2514314626411612e-52,1.96784412991218e-51,5.445740545155214e-46,6.298572886684233e-56,1.6977125591857787e-36,7.214849620153841e-44,1.086244389670645e-20,3.489477887056311e-51,9.862166962567997e-38,1.2190407457763972e-20,2.5753727476245636e-52,4.9961174434976754e-20,2.9872404156470563e-31,2.983518281619168e-38,1.5218784557886838e-19,3.26591685836871e-36,2.5272590209434703e-35,5.443333557962057e-22,3.9703149270046194e-47
9.420701069116801e-21,0.9161336080956165,5.5116348262597605e-24,4.313110457360826e-23,7.370069565008203e-35,4.087959053961094e-37,0.0,0.0,4.049968803809399e-19,1.173753406860849e-34,2.0776322435977647e-46,1.7973383280163694e-46,1.387788568781445e-42,2.7687739576652593e-57,6.263733411999033e-38,1.0661945381384364e-32,2.4423290202835525e-20,2.2604396861912687e-32,1.163992796464895e-53,1.2721219244859234e-50,3.3176527802604975e-30,7.966053837906577e-48,2.1762736029974785e-20,5.198549163603795e-51,1.139085568291717e-36,2.1879714104178165e-47,1.0197242996117872e-28,6.546728713934707e-36,2.717842429712233e-54,4.602346561860923e-54,6.551281992856467e-51,2.388548911442493e-52,1.1732681396486082e-42,7.007392048691996e-55,3.76,0.0,0.7212463263589274,0.9999999999999216,3.805022160345178e-47,2.3864886431429517e-34,1.3086737401818475e-13,1.2593825897389588e-13,4.9291150442887354e-15,4.487490992869715e-30,7.832617167103152e-14,8.667109503328159e-34,2.1651093935724584e-34,4.2362940174212695e-37,3.950341407590597e-49,2.2600336637608404e-32,2.0746336516183436e-32,1.7351023003717158e-31,1.1164267092344578e-31,5.449544274722394e-35,3.4754600927451773e-38,1.0905632926993887e-21,1.777368074729592e-32,1.0041949363700234e-51,1.5790709837561007e-50,4.369863826704597e-45,5.0571556435046376e-55,6.808586683736473e-36,2.8934773899123395e-43,2.1762736029985498e-20,2.800099520612684e-50,3.955170048186285e-37,2.4423290202835723e-20,2.066574438907861e-51,1.0009642961683881e-19,1.1980170142657071e-30,1.196524272057138e-37,3.0490596239641233e-19,1.3097787319263444e-35,1.0135439018180752e-34,1.090563394523938e-21,3.1859276872143146e-46
