Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CHF2(1),O2(2),H2O(3),CH4(4),HF(38),CH2CHF(56),C2H3F(124),C2H3F(139),O2(143),S(285),S(141),S(377),S(145),CHFO(47),S(284),CH2CF(70),C2H2F(71),CH2CFO(79),CH2F(46),C2H4F(63),C2H4F(62),C1OO1(734),CH2O2(778),CHO2(166),C2H2O(133),S(338),S(376),CH2F2(41),CH3O2(183),C2H2O(373),S(1537),CHF2(81),C2H3F2(64),CH2CF2(57),CH3F(39),C2H3F2(65),S(3087),CF2CH(73),C2HF2(72),C2HF(58),C2HF(4088),S(3189),S(4414)
0.0,0.869021670675738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5616775000921272,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.4585695898032355e-23,0.8690216706757381,1.180660993071981e-26,8.186191818840899e-26,5.490853237860564e-40,3.542028067604725e-42,0.0,0.0,9.026003839175328e-22,9.82100161617296e-40,1.2907287408510024e-53,1.1918914924073662e-53,4.943802386297146e-56,4.447840573666025e-65,2.4485639886925502e-43,1.0514613945397725e-37,4.5973105709299055e-23,2.1095642448150924e-37,3.796294436444665e-61,3.0086933815807654e-58,2.417949751546792e-35,2.8879418313252627e-55,3.7058910256856443e-23,2.179774757050104e-58,1.0528030189833226e-41,8.5604513966636e-55,2.977016339159683e-53,1.0781858892929174e-60,7.425285211306268e-62,9.050972932137517e-62,3.270029898624066e-58,2.6253957351350184e-75,2.2667757835794206e-69,5.3914492479572654e-80,3.76,0.0,0.5616775000921269,0.9999999999999997,2.1468166665389387e-54,1.7388795072538404e-39,2.5728219338611953e-16,2.4729681441947817e-16,9.985378966641382e-18,3.734035826220084e-35,2.5504989854918746e-16,6.600166894082219e-39,1.4560591988421981e-39,1.8630561378064594e-54,1.305328440529681e-68,2.109172641628318e-37,1.9436472265798164e-37,1.5787101640652804e-36,1.0065698182582273e-36,3.962577246953403e-40,1.5179339011923509e-43,9.50124242715395e-37,1.0346048918077034e-37,6.499235096526606e-59,1.0828028948089203e-57,2.8936100613698012e-52,8.891108129736192e-68,4.737250742384441e-41,1.1284931342161781e-60,3.705891025685655e-23,4.643088295871782e-42,4.392049820493411e-60,1.0132854634547214e-58,4.5973105709299055e-23,2.1940028812204075e-22,1.2330990932441046e-35,7.277960573541044e-43,6.832119024053965e-22,1.4628334712374786e-39,6.349920916509433e-58,2.2420327085979008e-73,1.3918872474628898e-53,1.1097711217069438e-72,6.063101490596901e-73,2.146990913725381e-90
9.68399485144906e-23,0.8690216706757381,3.305850785424701e-26,2.292133709275712e-25,3.3164753556748537e-39,2.1393849554046178e-41,0.0,0.0,2.5272810749690906e-21,5.931884976168465e-39,1.532357078673849e-52,1.4150135797880187e-52,5.869282193013283e-55,5.28047632905616e-64,1.4789326491702593e-42,6.350826823020185e-37,1.287246959860373e-22,1.2741768038685124e-36,4.5069607549593667e-60,3.5719207826126896e-57,1.460441649934265e-34,3.428564542149357e-54,1.0376494871919768e-22,2.5878285915698665e-57,6.358930234659228e-41,1.0190074424405208e-53,4.4985157336001404e-52,1.6293545174574417e-59,1.1221091011326017e-60,1.367783029504618e-60,3.8821794956680735e-57,5.8878691327638695e-74,6.391093665360225e-68,1.5204749511153213e-78,3.76,0.0,0.5616775000921266,0.9999999999999993,2.5487007467403488e-53,1.050283222381319e-38,7.203901414811345e-16,6.924310803745401e-16,2.795906110659443e-17,2.255357639036799e-34,7.141397159376567e-16,3.9865008040258987e-38,8.794597561007772e-39,2.212108082915747e-53,2.920392063817722e-67,1.2739402755437005e-36,1.1739629248540964e-36,9.535409390953882e-36,6.079681702279435e-36,2.3933966571638783e-39,9.168320763214157e-43,5.7387504260007693e-36,6.249013546518463e-37,7.715891906596532e-58,1.2855035967171136e-56,3.4352938648580075e-51,2.795498124340721e-66,2.8612994484066183e-40,1.3398211632461213e-59,1.0376494871919832e-22,2.804425330706544e-41,6.133803228215962e-59,1.2029725022158798e-57,1.287246959860373e-22,6.143208067416951e-22,7.447918523194267e-35,4.395888186419331e-42,1.912993326735092e-21,8.83551416627412e-39,7.538626112079885e-57,5.015337487825071e-72,1.6524485401879024e-52,2.482513608413505e-71,1.8514423340687566e-71,1.2015678795331497e-88
2.213484537474071e-22,0.8690216706757383,7.556230389422753e-26,5.239162764059996e-25,1.5967401215804513e-38,1.0300217659164988e-40,0.0,0.0,5.7766424570721975e-21,2.855947269983089e-38,1.504478983236473e-51,1.3892687235562042e-51,5.762496061471959e-54,5.184402972664669e-63,7.120424079117319e-42,3.057649735321597e-36,2.942278765395135e-22,6.13461282392521e-36,4.424960795157313e-59,3.5069330055705507e-56,7.031397877498104e-34,3.3661849985927355e-53,2.3717702564387853e-22,2.540745456817546e-56,3.0615511792034388e-40,1.0016553415278385e-52,4.839176993689208e-51,1.752785241872397e-58,1.207113766231633e-59,1.4713985676317173e-59,3.811546849866971e-56,1.16478649262558e-72,1.3900809813788974e-66,3.307365131964316e-77,3.76,0.0,0.5616775000921257,0.9999999999999984,2.5023295068395185e-52,5.056661607094152e-38,1.6466060376711628e-15,1.5826996122846681e-15,6.390642538649476e-17,1.0858576182646017e-33,1.6323193507143226e-15,1.9193285327994587e-37,4.234220150234425e-38,2.171986961505717e-52,5.770607007372495e-66,6.13347404185807e-36,5.65212613489241e-36,4.590889157101216e-35,2.9271050314945374e-35,1.1523174634200775e-38,4.414151784685684e-42,2.762961297816039e-35,3.008631025376701e-36,7.575508428511854e-57,1.2621150541891619e-55,3.3727918875319524e-50,6.2365971874456985e-65,1.3775925158950042e-39,1.3154768395556287e-58,2.3717702564388163e-22,1.350210076439494e-40,6.425150858252097e-58,1.181085536210358e-56,2.942278765395136e-22,1.404161843980927e-21,3.5858521631536636e-34,2.116430934786527e-41,4.372556175394402e-21,4.2539197343582016e-38,7.401467820283033e-56,9.909461719292105e-71,1.622383775642618e-51,4.9050285509027804e-70,4.0959347896422767e-70,5.341604135447259e-87
4.7036546421324e-22,0.8690216706757385,1.60569896745893e-25,1.113322087363272e-24,6.973383612192405e-38,4.4983756857141255e-40,0.0,0.0,1.2275365221278374e-20,1.2472672052539564e-37,1.3306953047438104e-50,1.2287924530252722e-50,5.0968625081852655e-53,4.585545717825783e-62,3.109676265638902e-41,1.335355971065448e-35,6.252342376464647e-22,2.679146590918174e-35,3.913827712275069e-58,3.101842528674527e-55,3.0707961844644585e-33,2.9773525104231113e-52,5.04001179493234e-22,2.2472605835282572e-55,1.3370598341087528e-39,8.864245304496311e-52,4.447993533142278e-50,1.6111116224102314e-57,1.109545518555064e-58,1.352468783303412e-58,3.3712700243166726e-55,2.0738461445350335e-71,2.5768863696997213e-65,6.131297556501432e-76,3.76,0.0,0.5616775000921238,0.9999999999999966,2.2132821108625666e-51,2.2083769742123593e-37,3.4990378300512134e-15,3.363236676104941e-15,1.358011539462724e-16,4.742225499297452e-33,3.468678620266565e-15,8.382211955487996e-37,1.8491951825309353e-37,1.9211479614717346e-51,1.0268815341077522e-64,2.67864925487097e-35,2.468431977754613e-35,2.004961908362266e-34,1.278343669187548e-34,5.032473103693082e-38,1.9277760545331297e-41,1.2066577882482105e-34,1.3139482125956786e-35,6.700451415116e-56,1.1163264724319613e-54,2.9831962288683668e-49,1.1680452443048467e-63,6.016308442927467e-39,1.1635372651090514e-57,5.040011794932474e-22,5.896722135756954e-40,5.843000887237781e-57,1.0446567814190921e-55,6.252342376464648e-22,2.983843918459084e-21,1.5660358484198138e-33,9.243009928405224e-41,9.29168187271271e-21,1.8577985084711974e-37,6.546514468083803e-55,1.7633357668970672e-69,1.4349800766440753e-50,8.728236231660619e-69,7.646242115498544e-69,2.0028831428925292e-85
9.68399485144906e-22,0.8690216706757391,3.3058508553604185e-25,2.292133709279479e-24,2.9112503868121942e-37,1.8779833173145357e-39,0.0,0.0,2.52728107496906e-20,5.207095056894814e-37,1.118529854349793e-49,1.032874097079883e-49,4.28422004714205e-52,3.854427475688087e-61,1.2982286268042166e-40,5.574848313849305e-35,1.2872469598603625e-21,1.1184909626036626e-34,3.289808018053234e-57,2.6072855453838226e-54,1.2819969582701375e-32,2.502644183957203e-51,1.0376494871919198e-21,1.8889579280632928e-54,5.581961606648972e-39,7.452802608041803e-51,3.805335387592406e-49,1.3783399243851567e-56,9.492395510711235e-58,1.1570655184768801e-57,2.83375558969738e-54,3.498781247231613e-70,4.42894066515539e-64,1.0538133946519374e-74,3.76,0.0,0.5616775000921201,0.9999999999999929,1.8603969744535128e-50,9.219539147459698e-37,7.203901414811291e-15,6.9243108037455555e-15,2.7959061106573547e-16,1.9797857950600374e-32,7.14139715936669e-15,3.499408487245598e-36,7.720025872273375e-37,1.6148604798205173e-50,1.7320121394233698e-63,1.1182833345940343e-34,1.0305217595310393e-34,8.370321289868358e-34,5.3368331764015175e-34,2.1009584563907167e-37,8.048085544291031e-41,5.0375587348739536e-34,5.4854751363635e-35,5.6321331468900986e-55,9.383396637946515e-54,2.5075561814194668e-48,2.0175073875966554e-62,2.511690343701507e-38,9.780282935066849e-57,1.0376494871919756e-21,2.4617654144710305e-39,4.974842998619365e-56,8.780969700911252e-55,1.2872469598603635e-21,6.143208067414172e-21,6.537891392378452e-33,3.858774696098716e-40,1.912993326734808e-20,7.755943064497505e-37,5.50273986751103e-54,2.974123505445384e-68,1.2061872184548987e-49,1.4721446150519657e-67,1.3187657886746173e-67,6.9248740148746345e-84
1.9644675270082378e-21,0.8690216706757403,6.706154754636108e-25,4.6497569531185455e-24,1.1893407748169587e-36,7.672174779258183e-39,0.0,0.0,5.126770180651449e-20,2.1272682340694503e-36,9.17038460889195e-49,8.468125884312947e-49,3.512462436333104e-51,3.1600925192669345e-60,5.303687542062755e-40,2.2775074390284457e-34,2.6112724042881393e-21,4.569400536862127e-34,2.6971833751526313e-56,2.137610215663329e-53,5.23737587984065e-32,2.051818905401015e-50,2.1049461025891897e-21,1.548681835457097e-53,2.2804134512381222e-38,6.111002132436064e-50,3.1463183467367387e-48,1.1396381232868431e-55,7.848496173186781e-57,9.566841461298725e-57,2.3232840407366e-53,5.7475071508599e-69,7.340590612904036e-63,1.7466184186806816e-73,3.76,0.0,0.5616775000921127,0.9999999999999856,1.5252658401250088e-49,3.766482567891966e-36,1.4613628584331348e-14,1.4046459059027053e-14,5.671695253042929e-16,8.088070961010079e-32,1.4486834237549494e-14,1.4296225499284925e-35,3.153882467070325e-36,1.3239680903489673e-49,2.844856223164508e-62,4.56855230869544e-34,4.210017638647567e-34,3.4195493637670836e-33,2.1802704891369993e-33,8.583100820465215e-37,3.2879055474817527e-40,2.058007114688652e-33,2.2409955798503567e-34,4.6175630329740863e-54,7.693075484730683e-53,2.0558460576886316e-47,3.352118462128511e-61,1.026107459879015e-37,8.018487199879859e-56,2.104946102589418e-21,1.0057114972388508e-38,4.103925639199321e-55,7.19916948490292e-54,2.6112724042881423e-21,1.2461936365319437e-20,2.670941959928942e-32,1.5764353720774105e-39,3.88064360566138e-20,3.1685558120361705e-36,4.511478604923762e-53,4.885006788426187e-67,9.889051564511396e-49,2.4180019507953084e-66,2.1896230486850568e-66,2.302292388885573e-82
3.956603610734901e-21,0.8690216706757428,1.3506763047078341e-24,9.365003440823278e-24,4.807505571388421e-36,3.101215840355918e-38,0.0,0.0,1.0325748392016012e-19,8.59875832303636e-36,7.426415643659762e-48,6.857707892441933e-48,2.84448314770242e-50,2.5591248530312605e-59,2.1438353031677892e-39,9.206049210661114e-34,5.2593232931436165e-21,1.8470247554381464e-33,2.18424902660079e-55,1.731092173931641e-52,2.1170310690674836e-31,1.6616161465912865e-49,4.239539333383325e-21,1.2541627026409078e-52,9.217795776643869e-38,4.949144867712314e-49,2.5585312400079857e-47,9.267348266551964e-55,6.382266743509406e-56,7.779596594245024e-56,1.8814556513962935e-52,9.317555058345502e-68,1.195220634965621e-61,2.843915313750835e-72,3.76,0.0,0.5616775000920979,0.9999999999999709,1.2351998225408835e-48,1.5224724748169666e-35,2.943308292337107e-14,2.829075556959114e-14,1.142327353779933e-15,3.2693275995624484e-31,2.9177708393845336e-14,5.778762923802145e-35,1.2748497194362457e-35,1.0721868384694711e-48,4.6116514003220496e-61,1.8466818880511685e-33,1.701756441926499e-33,1.3822365267230175e-32,8.81300191233844e-33,3.469426583805659e-36,1.3290239914387806e-39,8.318793804588374e-33,9.058462438117915e-34,3.739422262511e-53,6.230051983979784e-52,1.664877438920991e-46,5.464798935851395e-60,4.1476904136148345e-37,6.493586945710607e-55,4.239539333384248e-21,4.0652466712726226e-38,3.333537500752426e-54,5.8300741003564745e-53,5.25932329314363e-21,2.5099392961110326e-20,1.0796374448904394e-31,6.372203824293049e-39,7.815944163512518e-20,1.280780920072515e-35,3.653512342246936e-52,7.918806513266522e-66,8.00841034791028e-48,3.919685361013327e-65,3.5684240590711576e-65,7.508602277471811e-81
7.940875778188229e-21,0.8690216706757475,2.7107981607526224e-24,1.8795496416339145e-23,1.9330768463582374e-35,1.2469853519448869e-37,0.0,0.0,2.0723704814744264e-19,3.457522902979629e-35,5.977425564989333e-47,5.519679919480415e-47,2.2894875017465367e-49,2.059806320546091e-58,8.620267464719261e-39,3.701711897929826e-33,1.0555425070854268e-20,7.426805306593631e-33,1.7580736423023404e-54,1.3933335831957219e-51,8.5124888183121e-31,1.3374132321144163e-48,8.508725794969974e-21,1.009459252774101e-51,3.70643514044811e-37,3.9836209518885914e-48,2.063547105195397e-46,7.474452616700727e-54,5.1475293421309444e-55,6.274526488498357e-55,1.5143591911880082e-51,1.5006113598443168e-66,1.9290875382225276e-60,4.590090782856124e-71,3.76,0.0,0.5616775000920683,0.9999999999999415,9.941962771664684e-48,6.121794860466465e-35,5.907199160144897e-14,5.677934859072364e-14,2.292643010725314e-15,1.314582248753627e-30,5.855945670615793e-14,2.3236151557472547e-34,5.126114651959657e-35,8.629905050808284e-48,7.426935907230163e-60,7.425426651910433e-33,6.842687806974028e-33,5.557912280965849e-32,3.543669307950457e-32,1.3950411704153395e-35,5.3439470174574725e-39,3.3449504014318866e-32,3.64236790579934e-33,3.009812359257098e-52,5.0144878389698424e-51,1.3400382039012975e-45,8.825664728160194e-59,1.6677680733635967e-36,5.226606945952352e-54,8.508725794973688e-21,1.6346178069137689e-37,2.687144257863164e-53,4.69255084160843e-52,1.055542507085432e-20,5.037430615261355e-20,4.341174681719458e-31,2.5622351317982226e-38,1.5686545279206776e-19,5.149963748809975e-35,2.940664581427386e-51,1.2752993766395557e-64,6.445865363941247e-47,6.312532436733695e-64,5.7620455037854145e-64,2.4256091639464303e-79
1.5909420113094885e-20,0.8690216706757573,5.431042663067563e-24,3.7656482367796517e-23,7.752502745898318e-35,5.000969808710396e-37,0.0,0.0,4.1519617660197273e-19,1.3866213255860647e-34,4.796507639323471e-46,4.429195518950648e-46,1.837169533320644e-48,1.6528648501609921e-57,3.4571128042249716e-38,1.484552034179739e-32,2.114762862627436e-20,2.9784810999916283e-32,1.4107433788560042e-53,1.1180624514306565e-50,3.413888746511656e-30,1.0731898914285859e-47,1.704709871813679e-20,8.100274768272711e-51,1.4864462656816696e-36,3.196652339649729e-47,1.657552844915574e-45,6.0038876343726745e-53,4.1347755022533047e-54,5.0400408989478916e-54,1.2151778799207435e-50,2.408851832663631e-65,3.0999891849423886e-59,7.376152665856876e-70,3.76,0.0,0.561677500092009,0.9999999999998828,7.977799001779806e-47,2.4551135430138695e-34,1.1834980895759846e-13,1.1375653463300596e-13,4.593274324592479e-15,5.2720627787409315e-30,1.1732295332966678e-13,9.318736036898536e-34,2.0558012465446596e-34,6.924960344570071e-47,1.192188774642118e-58,2.9779281978018156e-32,2.7442238572527647e-32,2.228971408356579e-31,1.4211698869634784e-31,5.59473904205868e-35,2.1431617682582216e-38,1.3414747175304165e-31,1.4607524391096328e-32,2.415184866948565e-51,4.023810689343675e-50,1.0752962659628419e-44,1.4186998166637652e-57,6.688495903729322e-36,4.194024210230335e-53,1.7047098718151684e-20,6.555548506402923e-37,2.1578722178096777e-52,3.7654765249172036e-51,2.1147628626274564e-20,1.0092413253530575e-19,1.7410052111486208e-30,1.0275708866347736e-37,3.1427747510563204e-19,2.0653658010229195e-34,2.359698130003851e-50,2.0471379357089327e-63,5.1724010081239625e-46,1.0133012575973178e-62,9.26154567836926e-63,7.798723888618437e-78
