Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CHF2(1),O2(2),H2O(3),CH4(4),HF(38),CH2CHF(56),C2H3F(124),C2H3F(139),O2(143),S(285),S(141),S(377),S(145),CHFO(47),S(284),CH2CF(70),C2H2F(71),CH2CFO(79),CH2F(46),C2H4F(63),C2H4F(62),C1OO1(734),CH2O2(778),CHO2(166),C2H2O(133),S(338),S(376),CH2F2(41),CH3O2(183),C2H2O(373),S(1537),CHF2(81),C2H3F2(64),CH2CF2(57),CH3F(39),C2H3F2(65),S(3087),CF2CH(73),C2HF2(72),C2HF(58),C2HF(4088),S(3189),S(4414),CF2(43),CF2O(49)
0.0,0.4654321856566846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7920356336465848,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2343593438631247e-20,0.4654321856566846,3.72495131429953e-31,2.54169822537537e-35,1.3082460859870342e-44,3.8831598092926583e-45,0.0,0.0,3.1782123265378712e-24,5.6183825929077684e-42,7.400718737862344e-56,8.60941658518489e-56,1.723331807106011e-62,4.4921496478357705e-83,1.0331749245944476e-55,1.4531051847214795e-42,4.17378267313211e-29,4.8828091677952216e-42,2.418620822868644e-75,2.3521085026010524e-74,5.353156936283253e-44,3.896969316861956e-66,8.181737503885159e-31,1.5949947409703342e-63,6.59568887434236e-48,1.5985615583405854e-65,8.743853965906534e-66,1.6248621028029553e-71,6.182153839005465e-70,3.5432068931723656e-72,2.1875879916845912e-63,4.898410602230589e-89,2.481328306252859e-79,8.901771006175774e-89,3.76,0.0,0.7920356336465848,0.9999999999999996,1.3551307348312034e-56,1.2610102268606575e-26,2.3483651365237144e-20,2.3187369913237575e-20,2.962814519995654e-22,6.071556277366209e-42,4.444097196251194e-16,4.547579898353084e-47,3.982299753387442e-50,8.373744306225592e-62,3.6733302850103163e-72,4.8824810364118667e-42,4.887465954293892e-42,4.984589293940327e-43,2.0446180451044554e-43,4.126943484946148e-49,1.0255634639443292e-55,1.3401282790284123e-44,6.690152977712228e-46,4.53040308975918e-61,1.9352252414703207e-59,2.0662432354844993e-54,1.3115999410558287e-75,5.851103480769899e-51,3.676777374750163e-70,8.181737503899703e-31,2.591979311296486e-44,2.364977525337906e-72,2.3180537553355697e-65,4.173782673131819e-29,3.6639916311927854e-25,2.391795335039832e-37,1.5345979333298115e-51,2.8118135359131312e-24,1.1317189409289496e-37,7.459653845414167e-63,4.200607512690634e-79,5.722665004176824e-59,6.132728979917192e-83,1.040909607236999e-75,5.918059276700887e-90,1.2610102268606578e-26,1.228239168578876e-44
3.4562061628167494e-20,0.4654321856566846,1.0429863711298366e-30,7.116755031220378e-35,7.901806360102223e-44,2.345428530703541e-44,0.0,0.0,8.898994514306804e-24,3.393503086116535e-41,8.786133285564238e-55,1.0221099374829008e-54,2.0459395214581616e-61,5.333080061894002e-82,6.240376544536896e-55,8.7767553156894e-42,1.1686591484770852e-28,2.94921673744604e-41,2.8713901659406125e-74,2.7924232142871326e-73,3.233306789515165e-43,4.626481972977285e-65,2.2908865010831365e-30,1.8935777564800095e-62,3.9837960801028514e-47,1.900279479109032e-64,1.3212143139235927e-64,2.4554916107757224e-70,9.342470881506439e-69,5.354494256962868e-71,2.5971044637272988e-62,1.0971156828816537e-87,6.91838222104144e-78,2.5104418520781516e-87,3.76,0.0,0.7920356336465848,0.9999999999999988,1.6088112084031135e-55,3.53082863520984e-26,6.5754223822664e-20,6.492463575706713e-20,8.295880655968647e-22,3.667219991521321e-41,1.2443472149011274e-15,2.7467382586379425e-46,2.4053090510813074e-49,9.941800192163887e-61,8.217482000796939e-71,2.949018546090472e-41,2.95202943633609e-41,3.0106919335333474e-42,1.2349492992405341e-42,2.4926746653254336e-48,6.19440332930112e-55,8.094374805331255e-44,4.0408523985380736e-45,5.378494551000928e-60,2.2974994066374616e-58,2.453043969110666e-53,4.123880067659978e-74,3.534085121221099e-50,4.36507012527253e-69,2.2908865010919212e-30,1.565555504023165e-43,2.932813961010311e-71,2.752006695664508e-64,1.1686591484769088e-28,1.0259176567338942e-24,1.4446443823639026e-36,9.268971517363635e-51,7.873077900555709e-24,6.835582403209858e-37,8.856101045273715e-62,9.39659098158641e-78,6.793947892945784e-58,1.3718669418890583e-81,2.3313127217391296e-74,2.4450096994386867e-88,3.530828635209842e-26,7.418564578216402e-44
7.899899800723998e-20,0.4654321856566846,2.3839688630334773e-30,1.626686864358775e-34,3.8043796191611e-43,1.1292228813784687e-43,0.0,0.0,2.0340558889847742e-23,1.633825658017945e-40,8.626277760771937e-54,1.0035135986873784e-53,2.0087155545532243e-60,5.23604962946584e-81,3.0044726807003047e-54,4.225629877127561e-41,2.6712209108052102e-28,1.4199209061403003e-40,2.8191553581411335e-73,2.7416176706291795e-72,1.5566980370712894e-42,4.542307435730489e-64,5.236312002453546e-30,1.859125870075111e-61,1.9180263246588576e-46,1.8667867722425351e-63,1.4212480572154292e-63,2.641505826794851e-69,1.0050203852999016e-67,5.760120582095086e-70,2.5498525631055487e-61,2.169027774586019e-86,1.498461067109342e-76,5.46075937736619e-86,3.76,0.0,0.7920356336465848,0.9999999999999972,1.5795403845521408e-54,8.070465451908206e-26,1.502953687375177e-19,1.483991674447339e-19,1.8962012927837903e-21,1.7656085654462903e-40,2.8442222052563154e-15,1.322436234489166e-45,1.1580527683358738e-48,9.761133514146109e-60,1.6236734698839537e-69,1.419825485533988e-40,1.4212750994225269e-40,1.449518566667933e-41,5.94574927512541e-42,1.200116366047431e-47,2.9823385637661624e-54,3.89709303541409e-43,1.9454964859185462e-44,5.280637850223678e-59,2.2556985413458876e-57,2.408413115105486e-52,9.200149573942624e-73,1.7015288204605043e-49,4.285651753096663e-68,5.2363120024958406e-30,7.537475837251493e-43,2.9342777563257744e-70,2.701964616940371e-63,2.6712209108043605e-28,2.3449546439627824e-24,6.955340834293494e-36,4.462610790198995e-50,1.7995606629836615e-23,3.29103868021989e-36,8.69497252220861e-61,1.8566080318598e-76,6.670338328828396e-57,2.7105778978103544e-80,4.608791733860893e-73,9.677632237747621e-87,8.070465451908214e-26,3.5717195022273603e-43
1.6787287076538497e-19,0.4654321856566846,5.065933896856254e-30,3.4567095871031936e-34,1.661472530351364e-42,4.931613049108705e-43,0.0,0.0,4.3223687640941886e-23,7.1353458929966485e-40,7.629844989817678e-53,8.875964154544988e-53,1.7766861602525243e-59,4.631226600824547e-80,1.3121321542139219e-53,1.845443584552361e-40,5.676344435462967e-28,6.201167644597589e-40,2.493524269777357e-72,2.424929781836095e-71,6.798509309080967e-42,4.0176194869040067e-63,1.1127163005119035e-29,1.6443757781509616e-60,8.376524870415814e-46,1.6515811160665152e-62,1.306352247129186e-62,2.427998950664513e-68,9.23786883855908e-67,5.294543196335309e-69,2.2553157159029209e-60,3.860733782906504e-85,2.7731715764366474e-75,1.0123327570708647e-84,3.76,0.0,0.7920356336465848,0.999999999999994,1.3970855824480693e-53,1.7149739085304936e-25,3.193776585672251e-19,3.153482308200982e-19,4.0294277471269496e-21,7.710876472133118e-40,6.0439721851793766e-15,5.775426471400994e-45,5.0575206873170876e-48,8.633697488726401e-59,2.8892706211393885e-68,6.2007509177403896e-40,6.20708176106313e-40,6.330428403201772e-41,2.596664917243033e-41,5.241230632332253e-47,1.30246561017923e-53,1.7019629143655324e-42,8.496494281692768e-44,4.670664387898919e-58,1.9951398147112138e-56,2.1302141256870812e-51,1.7230861947095993e-71,7.431190012514473e-49,3.7906104642389367e-67,1.1127163005303746e-29,3.291813725347893e-42,2.617108308404838e-69,2.3899071350132e-62,5.676344435459257e-28,4.983028618419187e-24,3.03758007549817e-35,1.9489393754066136e-49,3.824066408838147e-23,1.4372830549782204e-35,7.690604728455285e-60,3.303734794504844e-75,5.899838712621904e-56,4.8233285434935114e-79,8.203150222311067e-72,3.454766760003433e-85,1.7149739085304973e-25,1.5598637440951613e-42
3.4562061628167496e-19,0.4654321856566846,1.0429864164563792e-29,7.116755033675805e-34,6.936320758233731e-42,2.0588514130632955e-42,0.0,0.0,8.898994514317928e-23,2.9788664507631035e-39,6.4133444464252795e-52,7.460782719900325e-52,1.4934117714508837e-58,3.892825010223774e-79,5.477893450010524e-53,7.704363688998018e-40,1.1686591484784505e-27,2.5888654221106368e-39,2.0959797378076907e-71,2.0382995946080683e-70,2.8382438076184927e-41,3.3770512584689965e-62,2.29088650101487e-29,1.3821969226093734e-59,3.497034241177234e-45,1.3884236771321733e-61,1.1176043817754025e-61,2.077204228094447e-67,7.903191281956922e-66,4.529593173759341e-68,1.8957287521783335e-59,6.512543584380331e-84,4.762793301570345e-74,1.7399413572704494e-83,3.76,0.0,0.7920356336465848,0.9999999999999876,1.1743346128314022e-52,3.53082863520984e-25,6.5754223822664e-19,6.492463575709495e-19,8.295880655690499e-21,3.2191391381497954e-39,1.2443472141876244e-14,2.411126862548263e-44,2.1114153297052888e-47,7.257176830822717e-58,4.8732015529884426e-67,2.5886914468508776e-39,2.591334448165508e-39,2.642829243554963e-40,1.0840564874787197e-40,2.1881166015203304e-46,5.437537584562461e-53,7.105360135403682e-42,3.5471191087814343e-43,3.92597486466531e-57,1.6770352302279086e-55,1.7905733273114088e-50,2.9762028988409155e-70,3.102514798244225e-48,3.186236529046087e-66,2.290886501091984e-29,1.3742674308506162e-41,2.208469851930304e-68,2.008945114045821e-61,1.1686591484769022e-27,1.0259176567326509e-23,1.2681298866359448e-34,8.13643824321152e-49,7.873077900540332e-23,6.000373824791381e-35,6.464416667950984e-59,5.572231614950923e-74,4.9591699298267444e-55,8.135248580992265e-78,1.3837481537425182e-70,1.1674327038174156e-83,3.530828635209855e-25,6.5121240718051e-42
7.011161073142549e-19,0.4654321856566846,2.115772550022679e-29,1.4436845931156128e-33,2.8337133608378257e-41,8.411080169079854e-42,0.0,0.0,1.8052246014785047e-22,1.2169641431570772e-38,5.258047254860539e-51,6.116800486191252e-51,1.2243891990083798e-57,3.1915731377893124e-78,2.237898213508337e-52,3.147483953979456e-39,2.3707085583451685e-27,1.057635998119457e-38,1.7184474632925942e-70,1.6711211565253683e-69,1.159515205027639e-40,2.7687106545232468e-61,4.647226901900276e-29,1.1332085459761152e-58,1.4286525929388272e-44,1.1383813585864596e-60,9.240539949290502e-61,1.717472637613207e-66,6.534511384672626e-65,3.745155229817058e-67,1.554232966136013e-58,1.0697553064284952e-82,7.891199250152621e-73,2.8838251984237395e-82,3.76,0.0,0.7920356336465848,0.9999999999999748,9.627904660104799e-52,7.162538088568532e-25,1.3338713975454696e-18,1.317042611073143e-18,1.682878647232652e-20,1.3151233758096933e-38,2.5242472042672962e-14,9.850239966758696e-44,8.625820561698162e-47,5.949885501610189e-57,8.004267634353898e-66,1.0575649235490387e-38,1.0586446748855928e-38,1.0796819793465902e-39,4.4287244701161124e-40,8.939219203240075e-46,2.2214115690334873e-52,2.9027714575025007e-41,1.4491138955830327e-42,3.2187514209737265e-56,1.3749348035664384e-54,1.4680201950260236e-49,4.945005625420314e-69,1.2675923254006547e-47,2.6122692622056903e-65,4.6472269022153126e-29,5.614330867450964e-41,1.8140722827679188e-67,1.6471926020419752e-60,2.370708558338844e-27,2.081147246511919e-23,5.180724367491267e-34,3.324000508098507e-48,1.5971100883917554e-22,2.451348494797964e-34,5.299919347970062e-58,9.152407159886042e-73,4.065827128764541e-54,1.3362170222473758e-76,2.2729455297132938e-69,3.838498521559188e-82,7.162538088568594e-25,2.660415168708504e-41
1.4121070893794147e-18,0.4654321856566846,4.261345137254449e-29,2.907702774345718e-33,1.1454322512884527e-40,3.399893377024939e-41,0.0,0.0,3.6358749015797843e-22,4.919163642478925e-38,4.2581029906302413e-50,4.9535437049401485e-50,9.915421188177391e-57,2.5846186738233813e-77,9.045942387470253e-52,1.2722633379972393e-38,4.7748073780882475e-27,4.27513381060471e-38,1.39170265577115e-69,1.3533172392818585e-68,4.6869458492566736e-40,2.242173671683502e-60,9.359907703188982e-29,9.177016609475457e-58,5.774842202559079e-44,9.219177626839246e-60,7.514242072395359e-60,1.3966202463903988e-65,5.3137561356235665e-64,3.045498034938341e-66,1.2586581521768546e-57,1.734173869104394e-81,1.2846580949794175e-71,4.695561752771269e-81,3.76,0.0,0.7920356336465848,0.9999999999999492,7.796926815696489e-51,1.4425956995285919e-24,2.6865297161831292e-18,2.6526351180794943e-18,3.389459810363424e-20,5.315938954770945e-38,5.084047179387832e-14,3.98162448790833e-43,3.4866945876557687e-46,4.818376910223074e-56,1.2975278293668602e-64,4.274846515826154e-38,4.279211035770675e-38,4.364247186488754e-39,1.7901612399067434e-39,3.613414878746142e-45,8.97930108491003e-52,1.1733466344433124e-40,5.857550059318903e-42,2.60662840026862e-55,1.1134578509122914e-53,1.188840813974051e-48,8.061607211948968e-68,5.124730863222818e-47,2.1154834587204027e-64,9.359907704462412e-29,2.2694023020555086e-40,1.4704531461243173e-66,1.3341628287670645e-59,4.774807378062683e-27,4.191606426061673e-23,2.09413162198831e-33,1.3436141518148986e-47,3.216714685056341e-22,9.908742552827718e-34,4.292012097641123e-57,1.483644641006099e-71,3.292612222342541e-53,2.166065374424597e-75,3.6846513292733625e-68,1.245045704023798e-80,1.4425956995286176e-24,1.0753823475708286e-40
2.8340890535097342e-18,0.4654321856566846,8.552491592114671e-29,5.8357391437420955e-33,4.605732733917617e-40,1.367082407714508e-40,0.0,0.0,7.29717550181377e-22,1.977974065382788e-37,3.427291732743907e-49,3.987043055041845e-49,7.980793610926343e-56,2.0803259649852334e-76,3.637333647962743e-51,5.115714924786511e-38,9.583005017612975e-27,1.7190125063493852e-37,1.1202589073085818e-68,1.089267450090086e-67,1.884600312052546e-39,1.8046964356384721e-59,1.8785269303837972e-28,7.38646134971476e-57,2.3220386509728964e-43,7.420504154662022e-59,6.060503858394597e-59,1.1264248579009476e-64,4.285736827459086e-63,2.4563044959452877e-65,1.0130775816388042e-56,2.7928770936413794e-80,2.0732693984927214e-70,7.578655600151831e-80,3.76,0.0,0.7920356336465848,0.999999999999898,6.275645021244812e-50,2.8952794808720694e-24,5.391846353458447e-18,5.323820132100055e-18,6.802622135839247e-20,2.1375156730518033e-37,1.0203647109473674e-13,1.6009936960196588e-42,1.4019845599529926e-45,3.878251062341648e-55,2.0896298050131622e-63,1.718896986381628e-37,1.720651934547434e-37,1.754844598768045e-38,7.198159610497467e-39,1.4529700372062883e-44,3.61053775509814e-51,4.717975211422656e-40,2.355295116406509e-41,2.0980413850263008e-54,8.962077460794276e-53,9.568825123673959e-48,1.3019517140841e-66,2.061371614121669e-46,1.7027252630624557e-63,1.8785269308958384e-28,9.125166844660621e-40,1.1840960086356683e-65,1.0742101863553887e-58,9.583005017510178e-27,8.412524785126051e-23,8.420411148698291e-33,5.402613412127511e-47,6.455923878342078e-22,3.984261800219422e-33,3.4545847327413935e-56,2.38936395608802e-70,2.6501807669799816e-52,3.488381508988723e-74,5.934104591506155e-67,4.011141471419277e-79,2.8952794808721715e-24,4.3240651225481145e-40
5.678052981770374e-18,0.4654321856566846,1.7134789623421836e-28,1.1691811910279527e-32,1.8471048463356882e-39,5.482613775078364e-40,0.0,0.0,1.4619776702407443e-21,7.932560672785879e-37,2.7501857711043864e-48,3.199351169506724e-48,6.4040842864769625e-55,1.669330571824534e-75,1.458733476124266e-50,2.051630489878565e-37,1.9199400296816707e-26,6.894009028290484e-37,8.990905427902812e-68,8.740685289927223e-67,7.558090159447308e-39,1.4481552337348823e-58,3.7635992497422273e-28,5.927170050071322e-56,9.312413547592384e-43,5.9545304135776904e-58,4.8681244503814936e-58,9.048057567239449e-64,3.442536888250759e-62,1.9730373507513064e-64,8.129309578393642e-56,4.4832211625383734e-79,3.3315496633905617e-69,1.2178696095265728e-78,3.76,0.0,0.7920356336465848,0.9999999999997956,5.035809907514921e-49,5.800647043559024e-24,1.0802479628009086e-17,1.0666190160172604e-17,1.3628946783647995e-19,8.572393873680873e-37,2.0442846889024437e-13,6.420700793016124e-42,5.622585148730915e-45,3.112053072613545e-54,3.3543195912130775e-62,6.893545741545244e-37,6.900583819617964e-37,7.037711712383295e-38,2.88678394855195e-38,5.827314825786319e-44,1.4479873506499783e-50,1.8921190763679617e-39,9.445786848241593e-41,1.6835462049387167e-53,7.191502734659314e-52,7.678379513600897e-47,2.0928493425489848e-65,8.272956603194919e-46,1.3663300023960647e-62,3.7635992517957407e-28,3.6596000377991326e-39,9.503812748725006e-65,8.625635734915171e-58,1.9199400296404449e-26,1.6854361503114295e-22,3.3769614826717805e-32,2.1666896176396516e-46,1.2934342264739814e-21,1.5978671823206402e-32,2.77208668579162e-55,3.835458313699084e-69,2.1266031623837192e-51,5.599624880459105e-73,9.525621961585331e-66,1.287903166615618e-77,5.8006470435594384e-24,1.7341435126810516e-39
