Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CHF2(1),O2(2),H2O(3),CH4(4),HF(38),CH2CHF(56),C2H3F(124),C2H3F(139),O2(143),S(285),S(141),S(377),S(145),CHFO(47),S(284),CH2CF(70),C2H2F(71),CH2CFO(79),CH2F(46),C2H4F(63),C2H4F(62),C1OO1(734),CH2O2(778),CHO2(166),C2H2O(133),S(338),S(376),CH2F2(41),C2H2O(373),CH3O2(183),CHF2(81),S(1537),C2H3F2(64),CH2CF2(57),CH3F(39),C2H3F2(65),S(140),S(2988),F(37),C2HF(58),C2HF(3940),CF2CH(73),C2HF2(72),S(3117),CF2(43),CF2O(49)
0.0,0.4654321856566846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7920356336465848,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2421471772322482e-20,0.4654321856566846,3.7484528161265667e-31,2.557734428586859e-35,1.3248061970781027e-44,3.932313726728204e-45,0.0,0.0,3.1982644547517057e-24,5.689501567168974e-42,7.541682433183567e-56,8.773402707638511e-56,1.0773136532189238e-55,2.120028516491507e-80,4.845402917182325e-53,1.471498915060458e-42,4.200115947815066e-29,4.944620065763855e-42,2.4647602689368604e-75,2.396909819091939e-74,5.420918416489525e-44,3.9711960689452016e-66,8.233357776384433e-31,1.62537508759753e-63,6.679178606519515e-48,1.6290399054851617e-65,1.0401888218741138e-42,2.7484062922991193e-53,6.299907249607682e-70,3.610697401642644e-72,2.229255642049984e-63,1.0218987457822673e-71,2.7143974928654273e-56,8.116874795497373e-70,3.76,0.0,0.7920356336465848,0.9999999999999996,1.3809423177894381e-56,1.2689657544173477e-26,2.3631814647705055e-20,2.3333663919152724e-20,2.981507285523323e-22,6.14822681491943e-42,4.47213594251374e-16,4.605180707270052e-47,4.0327567326291687e-50,2.877267710900345e-50,1.2701378338226052e-60,4.944287780818597e-42,4.949335750280275e-42,5.047690627077976e-43,2.0705017217617816e-43,4.17921922298216e-49,1.0385984971772468e-55,4.5767172620396784e-33,6.794652207300689e-46,4.616681831645026e-61,1.972086171754979e-59,2.1055995791143758e-54,1.358982401121892e-75,5.92580406638458e-51,3.239631804273075e-62,8.23335777639916e-31,1.7668470394028275e-69,2.6247892515783546e-44,4.2001159478147704e-29,2.36256108165096e-65,3.6871086612758846e-25,2.4220713173835904e-37,1.5540232235298954e-51,2.8295539634688e-24,2.885022528270617e-52,1.146044557326343e-37,4.576717263063386e-33,5.831673121909887e-59,6.2890577983865114e-83,7.601740691743493e-63,4.3076253941069097e-79,1.0674288108286409e-75,1.268965754417348e-26,1.243786533445857e-44
3.478012096250295e-20,0.4654321856566846,1.0495667916809765e-30,7.161656400214695e-35,8.001829431106383e-44,2.3751174969468155e-44,0.0,0.0,8.955140473305554e-24,3.4364589465703095e-41,8.953485384650066e-55,1.0415783699530719e-54,1.2789867690989704e-54,2.516897854771288e-79,2.926623361972313e-52,8.887853446936292e-42,1.1760324653883138e-28,2.986550519821019e-41,2.9261670065215607e-74,2.8456113372251415e-73,3.2742347235598152e-43,4.714603973050569e-65,2.305340177382873e-30,1.9296453039958167e-62,4.034223878337854e-47,1.9365275790155963e-64,6.282740484106653e-42,1.660090677331277e-52,9.52041983560857e-69,5.456485272978095e-71,2.6465722982410753e-62,1.5443401550032992e-70,3.2225327035237094e-55,9.636353757034077e-69,3.76,0.0,0.7920356336465848,0.9999999999999988,1.6394547196914126e-55,3.553104112368574e-26,6.616908101357416e-20,6.533425897362957e-20,8.348220399445879e-22,3.7135289962033173e-41,1.2521980638540175e-15,2.7815291472244766e-46,2.435785066479853e-49,1.7378696973013048e-49,1.50790763623792e-59,2.986349819713998e-41,2.989398793110772e-41,3.048805138748362e-42,1.2505830399415106e-42,2.524249226345872e-48,6.273134930162808e-55,1.281480833375395e-32,4.103969933209498e-45,5.480924673440126e-60,2.3412607030704894e-58,2.499767820266615e-53,4.260094812832332e-74,3.579204629593293e-50,1.9567376316332898e-61,2.3053401773917686e-30,2.0977283008755652e-68,1.5853727079534154e-43,1.1760324653881353e-28,2.804846132327247e-64,1.0323904251571607e-24,1.4629310756995301e-36,9.386300270173123e-51,7.922751097711567e-24,1.7425536070757984e-51,6.922109126250099e-37,1.2814808339937137e-32,6.92336233031815e-58,1.406837073265292e-81,9.024786549235843e-62,9.6359857015993e-78,2.390707639839451e-74,3.5531041123685756e-26,7.51247066201297e-44
7.949741934286389e-20,0.4654321856566846,2.399009824479768e-30,1.6369500344156341e-34,3.852536422235084e-43,1.1435168407370319e-43,0.0,0.0,2.0468892510416357e-23,1.6545070557331105e-40,8.7905850440398e-54,1.0226278211592517e-53,1.2557167941841158e-53,2.4711052387994723e-78,1.409043168307905e-51,4.279118844952501e-41,2.6880742066023096e-28,1.4378955152724428e-40,2.872935776110362e-73,2.793838085131049e-72,1.5764030755153684e-42,4.628826137958889e-64,5.2693489768526625e-30,1.8945372021037713e-61,1.9423051387759753e-46,1.9024324232805612e-63,3.0248690939904283e-41,7.993164649744972e-52,1.0241633217546965e-67,5.86983764267417e-70,2.5984203763713976e-61,1.6614604189768547e-69,3.1639017176649496e-54,9.461029261072416e-68,3.76,0.0,0.7920356336465848,0.9999999999999971,1.6096263656490823e-54,8.121380828271025e-26,1.5124361374531236e-19,1.4933544908259103e-19,1.9081646627213285e-21,1.7879043577665427e-40,2.8621670028599843e-15,1.3391865497232311e-45,1.1727256578041415e-48,8.367094502060647e-49,1.4804726588671699e-58,1.4377988868102342e-40,1.4392668360937264e-40,1.467868434344172e-41,6.021019006844181e-42,1.215318173538299e-47,3.020244440609789e-54,2.9290990477353893e-32,1.9758848618828644e-44,5.381204351990016e-59,2.298663641682835e-57,2.454286869236005e-52,9.495986273399527e-73,1.723252282748615e-49,9.42084961461139e-61,5.2693489768954925e-30,2.0596179527986043e-67,7.63288714359119e-43,2.68807420660145e-28,2.7538434069629666e-63,2.359749543215958e-24,7.043383390949098e-36,4.519099534102282e-50,1.8109145366192806e-23,8.389645512206572e-51,3.332697572703482e-36,2.929099050712328e-32,6.797398190857028e-57,2.7796729844383037e-80,8.860588950289914e-61,1.9039083943882598e-76,4.726210203411698e-73,8.121380828271034e-26,3.616931239260541e-43
1.6893201610358576e-19,0.4654321856566846,5.097895940725955e-30,3.478518823478352e-34,1.6825038714588844e-42,4.994038525991009e-43,0.0,0.0,4.3496396584650394e-23,7.225666990308452e-40,7.7751729211490765e-53,9.045027288162043e-53,1.110667283906072e-52,2.1856645993137253e-77,6.153661704731498e-51,1.868803622082027e-40,5.712157689031827e-28,6.27966748504725e-40,2.5410927803110915e-72,2.4711181470857336e-71,6.884566388943914e-42,4.094144299232104e-63,1.1197366575715958e-29,1.67569670030974e-60,8.482556830280823e-46,1.6831823266741342e-62,1.3210398037599801e-40,3.4913017813503136e-51,9.413825404954038e-67,5.395391997932131e-69,2.298273396723518e-60,1.5274134014813285e-68,2.798435239204656e-53,8.368173237991337e-67,3.76,0.0,0.7920356336465848,0.9999999999999939,1.4236962920163702e-53,1.725793426007593e-25,3.2139267920878876e-19,3.17337829300545e-19,4.05484990824373e-21,7.80824805482339e-40,6.082104880074637e-15,5.848579498735908e-45,5.1216010499698834e-48,3.6541299915646307e-48,1.3094613006611903e-57,6.279245483165455e-40,6.285656401948883e-40,6.410567096284634e-41,2.6295371865970817e-41,5.307621055961113e-47,1.3190201025940802e-53,6.224335476523937e-32,8.629208303270048e-44,4.7596143201043635e-58,2.0331419593914984e-56,2.170788941706363e-51,1.7779097944537995e-71,7.52606525348906e-49,4.114332730138269e-60,1.1197366575903009e-29,1.8217309419281146e-66,3.333482349505892e-42,5.712157689028072e-28,2.435794614136953e-62,5.014467779332163e-24,3.076030573074698e-35,1.9736094939621996e-49,3.848193390313809e-23,3.66397861089469e-50,1.4554765878028813e-35,6.224335489525009e-32,6.0122217216778355e-56,4.9462795584104013e-79,7.83709058354664e-60,3.3879032623754675e-75,8.412142511034585e-72,1.7257934260075967e-25,1.5796088974762273e-42
3.478012096250295e-19,0.4654321856566846,1.0495668375812751e-29,7.161656402701344e-34,7.024122467435346e-42,2.084912821652865e-42,0.0,0.0,8.95514047331682e-23,3.016573730916461e-39,6.535501329377023e-52,7.60289047131436e-52,9.335827748311142e-52,1.8371827918475388e-76,2.5690326266090206e-50,7.801887247247754e-40,1.1760324653896964e-27,2.6216375602401122e-39,2.135964508905838e-71,2.077123698658362e-70,2.8741709444247443e-41,3.441374974196947e-62,2.3053401773137418e-29,1.4085240449109636e-59,3.54130049717758e-45,1.4150987498833253e-61,5.515081133395253e-40,1.45794822729437e-50,8.053725829030359e-66,4.615871416699437e-68,1.9318372713023815e-59,1.3071555699615554e-67,2.352253436884932e-52,7.033953825650128e-66,3.76,0.0,0.7920356336465848,0.9999999999999875,1.1967025176406854e-52,3.553104112368574e-25,6.616908101357416e-19,6.533425897365773e-19,8.348220399164208e-21,3.2597898571584256e-39,1.2521980631314826e-14,2.441666811445333e-44,2.1381676192133922e-47,1.5255273391684368e-47,1.1006811236844224e-56,2.6214613827609497e-39,2.6241378139822295e-39,2.6762855703827875e-40,1.0977800128417546e-40,2.2158334105177654e-46,5.506649332644801e-53,1.2814808334375272e-31,3.6025246003091804e-43,4.0007426427779007e-57,1.7089783226268467e-55,1.824678904982551e-50,3.0704457612243894e-70,3.1421259962566194e-48,1.7176530874659048e-59,2.3053401773918325e-29,1.5312834204531484e-65,1.3916632611880865e-41,1.1760324653881288e-27,2.0475184532016987e-61,1.0323904251559013e-23,1.2841822124745637e-34,8.239431131865636e-49,7.922751097695996e-23,1.5296389444790735e-49,6.076328242930096e-35,1.2814808388652188e-31,5.0536346205204394e-55,8.342623438543573e-78,6.5875468555898375e-59,5.71419403833628e-74,1.4190020221956608e-70,3.5531041123685895e-25,6.594556200329835e-42
7.05539596667917e-19,0.4654321856566846,2.1291214056364028e-29,1.4527931565537545e-33,2.869583224032121e-41,8.517549533654329e-42,0.0,0.0,1.8166142103040267e-22,1.2323687974580068e-38,5.358198847917213e-51,6.23330900788623e-51,7.654075634756614e-51,1.5062334505884188e-75,1.0495336534047405e-49,3.187325509636523e-39,2.3856658583651654e-27,1.0710244858854783e-38,1.7512303320805965e-70,1.7029515026796794e-69,1.1741926126869884e-40,2.8214471229527995e-61,4.6765472166759823e-29,1.1547931114566988e-58,1.4467368028873427e-44,1.160431413771855e-60,2.2530905955787055e-39,5.959450486165167e-50,6.658976259246077e-65,3.816491738328584e-67,1.5838369116985722e-58,1.0814787982241165e-66,1.928519484661227e-51,5.766860317982376e-65,3.76,0.0,0.7920356336465848,0.9999999999999746,9.811290257876261e-52,7.207725485090536e-25,1.3422870719896472e-18,1.3253521106091392e-18,1.6934961380507873e-20,1.3317305209241033e-38,2.540173212103873e-14,9.975005622983739e-44,8.73511238951429e-47,6.232276942774072e-47,9.024048847560496e-56,1.0709525116361908e-38,1.0720459201625073e-38,1.0933499805080499e-39,4.4847895490971955e-40,9.052452343636917e-46,2.249645974010256e-52,2.5995754051174897e-31,1.471748846708765e-42,3.2800505635011167e-56,1.4011236806258812e-54,1.495982008158066e-49,5.10123510935066e-69,1.283776959946949e-47,7.017174654309077e-59,4.676547216995007e-29,1.2554421636876466e-64,5.685398510499301e-41,2.3856658583587602e-27,1.6788208785571617e-60,2.0942777195990482e-23,5.24630335628679e-34,3.366076463694712e-48,1.6071866512432877e-22,6.249074197042644e-49,2.48237835293915e-34,2.5995754272913804e-31,4.1432749895080234e-54,1.3702784048695807e-76,5.4008689150084686e-58,9.385580866581854e-73,2.330853563127239e-69,7.2077254850906e-25,2.6940913829049784e-41
1.421016370753692e-18,0.4654321856566846,4.288230865897732e-29,2.9260481908770826e-33,1.1599314235710554e-40,3.442930002028948e-41,0.0,0.0,3.658814536256672e-22,4.98143171815583e-38,4.339208347300764e-50,5.047895328596972e-50,6.198468893910701e-50,1.2197868999007891e-74,4.2423828327686985e-49,1.288367931802828e-38,4.804932644325866e-27,4.3292522188837305e-38,1.4182525915939854e-69,1.3790942788555809e-68,4.7462742777344854e-40,2.2848810311039475e-60,9.418961294912254e-29,9.351814016913854e-58,5.847941470587445e-44,9.400647927606031e-60,9.10735242487971e-39,2.4115377382236434e-49,5.4149689045670444e-64,3.103507695374937e-66,1.2826321948272563e-57,8.80574921512883e-66,1.561765078819649e-50,4.6701529984144924e-64,3.76,0.0,0.7920356336465848,0.9999999999999488,7.945437227406775e-51,1.4516968230534461e-24,2.7034795956974586e-18,2.669371152356252e-18,3.4108443341206034e-20,5.383067690570054e-38,5.116123504946063e-14,4.032056761018505e-43,3.5308720887469e-46,2.519185981727729e-46,7.307908708177507e-55,4.328961287456212e-38,4.3333810118006864e-38,4.419495432502526e-39,1.8128236412319818e-39,3.659186277919837e-45,9.093429070783579e-52,5.235764548916196e-31,5.949044150786237e-42,2.6562700363925833e-55,1.1346662825320322e-53,1.2114850151830915e-48,8.316017085956273e-68,5.190169268635586e-47,2.836455270033132e-58,9.418961296201803e-29,1.016691007983529e-63,2.29812897964958e-40,4.8049326442999776e-27,1.3597819325853205e-59,4.2180523084764486e-23,2.1206396977771344e-33,1.3606219258082171e-47,3.237009734179668e-22,2.5259757045028617e-48,1.0034170200680924e-33,5.2357646385466096e-31,3.3553315079384516e-53,2.2212803434553753e-75,4.373763674322244e-57,1.521443103674843e-71,3.7785255224132415e-68,1.451696823053472e-24,1.0889948117853829e-40
2.8519699189252418e-18,0.4654321856566846,8.606451083024686e-29,5.872558266548095e-33,4.66403326852971e-40,1.3843872498054057e-40,0.0,0.0,7.343215188193787e-22,2.0030117847477102e-37,3.492572379811504e-49,4.062985453548457e-49,4.989067019738289e-49,9.8179061590076e-74,1.7058434781478747e-48,5.180470788151569e-38,9.643466216286327e-27,1.7407732803723564e-37,1.1416310502683778e-68,1.1100150540915945e-67,1.9084560122100898e-39,1.839071033957821e-59,1.8903789449431967e-28,7.527153510252139e-57,2.3514315451448907e-43,7.571234591226154e-59,3.662026353936539e-38,9.717858257663283e-49,4.36736859229745e-63,2.5030913886222507e-65,1.032373976857972e-56,7.120454247835088e-65,1.257044405759107e-49,3.7589454223616164e-63,3.76,0.0,0.7920356336465848,0.9999999999998973,6.395179120771077e-50,2.9135453721422307e-24,5.425864643113081e-18,5.357409235858434e-18,6.845540725464567e-20,2.1645078424677704e-37,1.0268024070220085e-13,1.62127229125444e-42,1.4197481363183452e-45,1.0129536001917298e-45,5.882040681355764e-54,1.740656298121533e-37,1.7424334436174212e-37,1.7770596754945664e-38,7.289284129478278e-39,1.4713751213737155e-44,3.656428121624566e-51,1.0508142838268736e-30,2.392084488179736e-41,2.1379972944638175e-54,9.132781369139165e-53,9.751085354623769e-48,1.3430163433217684e-66,2.0876982026092524e-46,1.1405270572636634e-57,1.8903789454617189e-28,8.183219276372595e-63,9.240675551821863e-40,9.64346621618223e-27,1.0948398544998669e-58,8.465601486195674e-23,8.526998955576445e-33,5.47100092336323e-47,6.496655900008443e-22,1.0156837211020682e-47,4.034695705769605e-33,1.0508143198668686e-30,2.700662704473164e-52,3.577303514415847e-74,3.520385513879421e-56,2.4502372149531894e-70,6.085288313041178e-67,2.913545372142335e-24,4.378800242456906e-40
5.713877015268342e-18,0.4654321856566846,1.7242896703695772e-28,1.176557844598756e-32,1.870485968719863e-39,5.552013967405806e-40,0.0,0.0,1.471201649219531e-21,8.032973125834385e-37,2.8025693791648076e-48,3.260290167050545e-48,4.0034120817707817e-48,7.878251379239696e-73,6.841195302664342e-48,2.0776004873475286e-37,1.932053336036348e-26,6.98127946547131e-37,9.16244265173974e-68,8.907171745667847e-67,7.653762186821978e-39,1.4757386840519421e-58,3.7873445750660066e-28,6.040066648420107e-56,9.430292199515711e-43,6.082970138474009e-58,1.468636355646162e-37,3.914276936853706e-48,3.5081079610964927e-62,2.0106191295797697e-64,8.284150997575042e-56,5.748933180862924e-64,1.008698969463728e-48,3.016316963482279e-62,3.76,0.0,0.7920356336465848,0.9999999999997943,5.131728494499261e-49,5.837242470319801e-24,1.0870634737944325e-17,1.0733485402894627e-17,1.3714933504969815e-19,8.680644545534027e-37,2.0571825119126689e-13,6.502027029942543e-42,5.693825014667455e-45,4.0623969650429346e-45,4.71996717562543e-53,6.980810314296796e-37,6.98793741265799e-37,7.126804105952433e-38,2.9233289562914594e-38,5.901132304799717e-44,1.4663914444232845e-50,2.1052899423994323e-30,9.593328683499676e-41,1.715608309072943e-53,7.328481870149372e-52,7.824631869963224e-47,2.158841448968613e-65,8.378651040446867e-46,4.57403057791709e-57,3.787344577145513e-28,6.5665202812668574e-62,3.705924195624518e-39,1.9320533359946003e-26,8.791323230793355e-58,1.6960699841491827e-22,3.419707960485153e-32,2.1941160683815766e-46,1.3015948231490056e-21,4.0733459969955644e-47,1.6180934341572158e-32,2.1052900869359323e-30,2.1671117379662838e-51,5.742364392377343e-73,2.824887668664242e-55,3.933173375567193e-69,9.768307101640316e-66,5.8372424703202204e-24,1.7560947438525453e-39
