Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CHF2(1),O2(2),H2O(3),CH4(4),HF(38),CH2CHF(56),C2H3F(124),C2H3F(139),O2(143),S(285),S(141),S(377),S(145),CHFO(47),S(284),CH2CF(70),C2H2F(71),CH2CFO(79),CH2F(46),C2H4F(63),C2H4F(62),C1OO1(734),CH2O2(778),CHO2(166),C2H2O(133),S(338),S(376),CH2F2(41),CH3O2(183),C2H2O(373),S(1537),CHF2(81),C2H3F2(64),CH2CF2(57),CH3F(39),C2H3F2(65),S(3087),CF2CH(73),C2HF2(72),C2HF(58),C2HF(4088),S(3189),S(4414),CF2(43),CF2O(49),S(4555),S(5169),C2F(4087)
0.0,0.6587035840149533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6082460346127478,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.6948712236040365e-22,0.6587035840149533,1.053653664671544e-27,5.968447832268562e-29,1.3155379199076554e-41,1.26164189203787e-42,0.0,0.0,1.7722717472921438e-22,2.5326213923658112e-40,8.454528239949961e-54,9.729405461492058e-54,5.7237931873091516e-58,8.303907303872876e-70,2.8043170265790275e-46,6.628521200753168e-39,8.171147556069442e-25,9.168955148556402e-39,1.8405967535596386e-65,4.490621427155284e-64,4.4083348850168143e-38,1.3306166464643029e-58,1.6947885425200532e-25,1.1877499771451948e-59,2.3958523818237502e-43,6.306991792061062e-58,3.3265619170207084e-57,1.2883544774054668e-63,1.4292834649019892e-63,1.594638503056839e-64,2.751998891600687e-59,2.4743484678993393e-79,2.7036437510112073e-72,4.9844859227058027e-82,3.76,0.0,0.6082460346127478,0.9999999999999996,1.4458848075281502e-54,2.2212377638169996e-22,1.3362887851898753e-17,1.2817894765934708e-17,5.44993085964047e-19,3.74788467552357e-37,4.5239013891110395e-16,1.5976986871914117e-41,5.551957979725187e-43,1.2810151034830482e-56,5.260321978803502e-69,9.167062459338845e-39,8.825158164685493e-39,3.5944770851195095e-38,1.9906204326206435e-38,4.9451711990252134e-43,3.220719970655519e-47,3.250159562285248e-39,2.617483682420739e-40,4.360122549123293e-59,1.3269461278995407e-57,2.3270792637127767e-52,7.378154174009952e-70,2.982722165635924e-44,5.1756583982512676e-64,1.6947885425201195e-25,2.983894037562988e-42,4.8325473100672826e-64,1.474636978199584e-60,8.171147556069312e-25,3.3598783960883796e-23,1.380137943260199e-36,1.8553741996420505e-45,1.4362944442199243e-22,1.728558891911878e-38,9.692898257352205e-60,2.9156504549902964e-75,4.019044490301038e-55,1.1257321297284888e-75,2.60040216070915e-74,2.153842889576571e-90,2.2212377638169996e-22,1.0103896309957354e-41,1.289010313160968e-94,1.235064564345251e-94,6.498443358395533e-81
1.0345639426091303e-21,0.6587035840149533,2.9502302654167428e-27,1.6711653930357514e-28,7.945849036479508e-41,7.620317037283098e-42,0.0,0.0,4.962360892418003e-22,1.5297033209889504e-39,1.0037215936040553e-52,1.1550750164065324e-52,6.795287271983437e-57,9.858398751156983e-69,1.6938074840536135e-45,4.003626805254608e-38,2.2879213156994848e-24,5.538048909736912e-38,2.1851564669492018e-64,5.331265758318766e-63,2.662634270550181e-37,1.5797080826824234e-57,4.745407919055934e-25,1.4100967728667684e-58,1.4470948386215372e-42,7.498612661255082e-57,5.026626066132467e-56,1.9469612868093765e-62,2.1599331721599606e-62,2.4098177058195787e-63,3.267173084108346e-58,5.542752559366918e-78,7.61528984102313e-71,1.405704959478904e-80,3.76,0.0,0.6082460346127478,0.9999999999999988,1.7165544435549986e-53,6.219465738687599e-22,3.741608598531651e-17,3.589010534461759e-17,1.5259806406989204e-18,2.263722344015585e-36,1.2666923889496461e-15,9.650100070640906e-41,3.353382619757501e-42,1.5209450560418547e-55,1.1768063089949193e-67,5.536905725449505e-38,5.330395531464534e-38,2.1710641594116843e-37,1.2023347413025973e-37,2.9868834054334003e-42,1.9453148622848313e-46,1.9630963756202524e-38,1.5809601441821372e-39,5.1763374903304216e-58,1.5753504430419727e-56,2.7627085018777865e-51,2.319809610423718e-68,1.8015641905406875e-43,6.144576190218086e-63,4.7454079190563355e-25,1.8022719986880516e-41,6.427595172720483e-63,1.7506890227401737e-59,2.2879213156994077e-24,9.407659509047246e-23,8.336033177291501e-36,1.12064601658511e-44,4.0216244438157617e-22,1.0440495707147203e-37,1.1507408811128386e-58,6.522193441794947e-74,4.771409618884413e-54,2.5182177449169422e-74,6.430705758158163e-73,9.80286815841541e-89,6.219465738687599e-22,6.102753371214238e-41,5.8667223203250395e-93,5.621196954516613e-93,1.4536757854993607e-79
2.3647175831065833e-21,0.6587035840149533,6.743383484252815e-27,3.81980661265576e-28,3.825584271447357e-40,3.6688546361076675e-41,0.0,0.0,1.1342539182669724e-21,7.364863008999783e-39,9.854598130077087e-52,1.1340595006479211e-51,6.67165333915838e-56,9.67903435339145e-68,8.154953913290024e-45,1.927573965178565e-37,5.229534435884733e-24,2.6663321572133807e-37,2.145399579427597e-63,5.234268335492234e-62,1.2819437845629277e-36,1.5509667631188012e-56,1.084664667212684e-24,1.384441373360418e-57,6.967138726343349e-42,7.366981480954561e-56,5.407251667188096e-55,2.0944521087376036e-61,2.323557543222108e-61,2.5923719216497136e-62,3.207729908049712e-57,1.095900191316838e-76,1.6557671003050903e-69,3.057716186182222e-79,3.76,0.0,0.6082460346127478,0.9999999999999971,1.6853233317402583e-52,1.4215921688428797e-21,8.552248225215202e-17,8.203452650198499e-17,3.487955750167024e-18,1.0898848636412779e-35,2.895296889020951e-15,4.646107782359663e-40,1.6145093805092138e-41,1.4933271783823183e-54,2.3252607994383296e-66,2.665781763188911e-37,2.566355994282283e-37,1.0452739363520041e-36,5.788724218056762e-37,1.4380557865097115e-41,9.365853674799587e-46,9.451464007124937e-38,7.611642548479675e-39,5.082158843292982e-57,1.546688406678584e-55,2.712443589777345e-50,5.175367558571092e-67,8.67375609511758e-43,6.032796475736881e-62,1.0846646672128768e-24,8.677163861233287e-41,6.6131780534351595e-62,1.718836868676388e-58,5.229534435884359e-24,2.150322173496411e-22,4.0134411390005073e-35,5.395428172578387e-44,9.19228444300733e-22,5.026649257678931e-37,1.1298042208769245e-57,1.2886755157390653e-72,4.6845982578918565e-53,4.9755739079701037e-73,1.3248614094925506e-71,4.048477627770867e-87,1.4215921688428801e-21,2.938213046935592e-40,2.4228923288925376e-91,2.3214930307990712e-91,2.872218386824663e-78
5.0250248641014894e-21,0.6587035840149533,1.4329689991307658e-26,8.117089051904647e-28,1.670733158650476e-39,1.6022852174183536e-40,0.0,0.0,2.410289576317318e-21,3.2164291683045824e-38,8.71628044794437e-51,1.003062785576439e-50,5.901001824452785e-55,8.560996273994948e-67,3.5614826237535163e-44,8.418221924951808e-37,1.1112760676255894e-23,1.1644573038802393e-36,1.8975816363518573e-62,4.629651066540086e-61,5.598585303971747e-36,1.3718125378388585e-55,2.304912417826521e-24,1.224522716437565e-56,3.042732524916041e-41,6.517917626139822e-55,4.9701366882632447e-54,1.9251623326799226e-60,2.1357496959342663e-60,2.382836422348353e-61,2.8372007772844635e-56,1.9507009666737048e-75,3.068979185457717e-68,5.668493669197708e-78,3.76,0.0,0.6082460346127477,0.9999999999999939,1.490649401262699e-51,3.0208833587911197e-21,1.8173527478582306e-16,1.7432336881672637e-16,7.41190596909666e-18,4.759813537904848e-35,6.152505889140444e-15,2.029077332740305e-39,7.050986634303513e-41,1.3208525440956634e-53,4.137750269912946e-65,1.1642169323496057e-36,1.120795086906523e-36,4.564985898094031e-36,2.528087949424013e-36,6.280367441704504e-41,4.0903143628702255e-45,4.1277026441016806e-37,3.3242042766745105e-38,4.495111943317377e-56,1.368028380016956e-54,2.3991256377041623e-49,9.692890617592755e-66,3.7880571890539644e-42,5.335946174797335e-61,2.3049124178273636e-24,3.7895454277051166e-40,5.969427833679021e-61,1.5202917535071492e-57,1.111276067625426e-23,4.569434618679437e-22,1.7527751879402971e-34,2.3563252335651784e-43,1.953360444139005e-21,2.1952697927272487e-36,9.992990387398813e-57,2.293129226588811e-71,4.143474107714389e-52,8.853767925331203e-72,2.401860470495926e-70,1.4728500178906626e-85,3.020883358791121e-21,1.2831948313645775e-39,8.814565221935773e-90,8.44567110480197e-90,5.110959157310473e-77
1.0345639426091302e-20,0.6587035840149535,2.9502303282948135e-26,1.671165393043789e-27,6.974982054660152e-39,6.6892254423571074e-40,0.0,0.0,4.962360892418009e-21,1.3427958622323534e-37,7.326558912449877e-50,8.431347104590715e-50,4.9601475955480267e-54,7.196033207008783e-66,1.486848887490535e-43,3.514441940635083e-36,2.287921315700087e-23,4.8613800198866104e-36,1.5950317103324344e-61,3.891500678830068e-60,2.337299156036269e-35,1.1530910959596592e-54,4.7454079190528185e-24,1.0292851261943091e-55,1.2702809328428423e-40,5.479458174436395e-54,4.252033997030595e-53,1.6470169113962025e-59,1.8271788301300802e-59,2.0385667266468872e-60,2.384838207478495e-55,3.2906263802202602e-74,5.274381643442572e-67,9.742703261553658e-77,3.76,0.0,0.6082460346127475,0.9999999999999873,1.2529806401432672e-50,6.219465738687597e-21,3.74160859853165e-16,3.5890105344623533e-16,1.5259806406929636e-17,1.9871284549535175e-34,1.2666923889286962e-14,8.47099843955351e-39,2.9436481208973607e-40,1.1102647013318993e-52,6.978978963210921e-64,4.8603765160634264e-36,4.679098858839427e-36,1.9057917505233918e-35,1.055426953371681e-35,2.621929786771244e-40,1.7076257285654714e-44,1.723234599923112e-36,1.3877898484196304e-37,3.778412439242309e-55,1.1499102832954225e-53,2.01660965664139e-48,1.6742058050807793e-64,1.5814393270467666e-41,4.4851866587428744e-60,4.7454079190563384e-24,1.582060618716006e-39,5.065300231067101e-60,1.2778968373551423e-56,2.287921315699406e-23,9.407659509044096e-22,7.31749137516417e-34,9.837194006679378e-43,4.0216244438153766e-21,9.164819244909246e-36,8.399710543447449e-56,3.8676976114551933e-70,3.482839650571481e-51,1.4933173699970393e-70,4.087175436058102e-69,5.022112747111136e-84,6.2194657386876046e-21,5.3570858235393305e-39,3.005583720238325e-88,2.8797984857751676e-88,8.62037965228428e-76
2.098686855007093e-20,0.6587035840149537,5.984753097635228e-26,3.390078368764627e-27,2.8495077588390365e-38,2.732766914550272e-39,0.0,0.0,1.0066503524619404e-20,5.485759240720043e-37,6.006755648729314e-49,6.912527758770959e-49,4.0666286784281764e-53,5.899742789110408e-65,6.074262852237137e-43,1.4357642061643436e-35,4.6412118118501437e-23,1.9860323611011356e-35,1.3077033755437394e-60,3.190487371072945e-59,9.548629694344818e-35,9.453737472973979e-54,9.626398921499915e-24,8.438701332420252e-55,5.189512093124582e-40,4.492691580060731e-53,3.515655107001641e-52,1.3617854394007504e-58,1.5107467909264993e-58,1.6855263916077976e-59,1.955234448346037e-54,5.405250541358792e-73,8.741580004891599e-66,1.6147852461828656e-75,3.76,0.0,0.6082460346127472,0.9999999999999744,1.0272692307154605e-49,1.261663049848055e-20,7.590120299878487e-16,7.280564227053583e-16,3.0955607282490406e-17,8.118068122494198e-34,2.5695759889210125e-14,3.460679264458708e-38,1.2025763062801594e-39,9.102654841673681e-52,1.146304053833401e-62,1.985622397045826e-35,1.911564559038493e-35,7.78578114539323e-35,4.311763481841577e-35,1.0711438768276298e-39,6.976208286287716e-44,7.039975618287879e-36,5.6695743554719286e-37,3.097770799872059e-54,9.427659248948562e-53,1.6533384349171852e-47,2.781717981829194e-63,6.46069581451881e-41,3.6772279560037325e-59,9.626398921514295e-24,6.463233841123866e-39,4.171795620349998e-59,1.047697057632613e-55,4.6412118118473625e-23,1.9084109289767847e-21,2.9894339906181313e-33,4.018814731542411e-42,8.158152443167439e-21,3.7441277022304284e-35,6.886590192652063e-55,6.352704940781356e-69,2.8554423698369e-50,2.4527782643629106e-69,6.7423821505584215e-68,1.6585666507450225e-82,1.2616630498480579e-20,2.1885443563219525e-38,9.926023519204264e-87,9.510614296811032e-87,1.4158999464207334e-74
4.2269326798030183e-20,0.6587035840149535,1.2053799080365328e-25,6.827904320263065e-27,1.151816597004389e-37,1.1046281263665664e-38,0.0,0.0,2.0274788789022242e-20,2.2174315948431032e-36,4.864426460095027e-48,5.597944201501146e-48,3.2932613384260054e-52,4.77776467176775e-64,2.455314163975616e-42,5.803588480247457e-35,9.347792804154503e-23,8.027860343257068e-35,1.059012116894473e-59,2.5837393920661493e-58,3.859708791909169e-34,7.655881710310722e-53,1.93883809263721e-23,6.833879127099505e-54,2.0976837612002545e-39,3.638418081678688e-52,2.8588688545037444e-51,1.1073813145405885e-57,1.2285142005350415e-57,1.3706420691430704e-58,1.583399549146322e-53,8.762453279118941e-72,1.4233142974572543e-64,2.629270989421625e-74,3.76,0.0,0.6082460346127464,0.9999999999999483,8.31909256824281e-49,2.5410960018066437e-20,1.5287143702572153e-15,1.466367161224024e-15,6.234720903319124e-17,3.281452931822075e-33,5.1753431887576953e-14,1.3988618902179533e-37,4.8610057055591844e-39,7.371579466513939e-51,1.8582119970945355e-61,8.026203202997767e-35,7.72684958023901e-35,3.1471372228736563e-34,1.742883738513781e-34,4.329734871694925e-39,2.8198949297303668e-43,2.845670704436057e-35,2.2917326031771937e-36,2.508655109057425e-53,7.63476288830987e-52,1.3389163302555268e-46,4.534902377030546e-62,2.6115166692280777e-40,2.9779149176589918e-58,1.9388380926430226e-23,2.6125424568009665e-38,3.385990269306088e-58,8.484522780564888e-55,9.347792804143262e-23,3.8437008851193095e-21,1.2083770159446021e-32,1.6244691698712492e-41,1.6431208441868855e-20,1.5134362806904186e-34,5.576939284914971e-54,1.0298008465637969e-67,2.3124112634202763e-49,3.976059263895236e-68,1.0953180337336428e-66,5.391457400178575e-81,2.5410960018066555e-20,8.846446206390133e-38,3.226625407700573e-85,3.0915894640662935e-85,2.295234828402807e-73
8.483424329394868e-20,0.6587035840149538,2.419189282202262e-25,1.370355622348697e-26,4.6314038872484555e-37,4.44166148532737e-38,0.0,0.0,4.069135931782808e-20,8.916194916679545e-36,3.9153136106513864e-47,4.505712508438757e-47,2.6507032326943682e-51,3.8455606639467824e-63,9.872710264658448e-42,2.333597402785964e-34,1.8760954788780214e-22,3.2279673365582313e-34,8.523851140406226e-59,2.0796182429821038e-57,1.5519719296117104e-33,6.162119647114742e-52,3.8912344936028454e-23,5.500500455535075e-53,8.434694144299565e-39,2.928563324655631e-51,2.3057799116950354e-50,8.931431658545662e-57,9.908412087170157e-57,1.1054724836852651e-57,1.2744577097994063e-52,1.4111908145502421e-70,2.2972148028644203e-63,4.243692138206439e-73,3.76,0.0,0.6082460346127448,0.9999999999998962,6.695929444214951e-48,5.099961905723815e-20,3.0681190507959437e-15,2.9429886382630336e-15,1.2513041253291007e-16,1.3194577915054832e-32,1.0386877587839262e-13,5.6247621365687576e-37,1.9545890148590678e-38,5.933293889100884e-50,2.9925961170515955e-60,3.2273010077482326e-34,3.1069322320762017e-34,1.2654500356852757e-33,7.0080588576444845e-34,1.7409673976053843e-38,1.1338673492490217e-42,1.1442316745377958e-34,9.21495600331827e-36,2.01918388013625e-52,6.14512138177354e-51,1.0776763456229963e-45,7.323879449471071e-61,1.0500794660356167e-39,2.3968851528042204e-57,3.891234493626219e-23,1.050491831500823e-37,2.7283601593523384e-57,6.829082672738184e-54,1.8760954788735012e-22,7.714280797395451e-21,4.85883083475732e-32,6.531919085805408e-41,3.297732043926079e-20,6.085460721288922e-34,4.488805919247711e-53,1.658462516396978e-66,1.8612297600073785e-48,6.403320869336272e-67,1.765860938294648e-65,1.738846974096999e-79,5.0999619057238605e-20,3.557117111505394e-37,1.0406477154879455e-83,9.970960698268478e-84,3.6964049329440574e-72
1.6996407628578567e-19,0.6587035840149542,4.846808741012554e-25,2.7454860030842944e-26,1.857400110950554e-36,1.781305212574562e-37,0.0,0.0,8.152450037544045e-20,3.575792948152943e-35,3.1417925947059588e-46,3.615550536074816e-46,2.1270224092085342e-50,3.0858202478270746e-62,3.959398383848986e-41,9.358769312022939e-34,3.758727875809959e-22,1.2945592766060197e-33,6.839854214535888e-58,1.668762670211396e-56,6.224101574162043e-33,4.944712940070931e-51,7.796027295498911e-23,4.413805206145088e-52,3.3826896027776537e-38,2.350006787187319e-50,1.8521272646519826e-49,7.174211909958968e-56,7.958975431015375e-56,8.87975617072577e-57,1.02267204956931e-51,2.265293566370251e-69,3.691546390265482e-62,6.819621988126475e-72,3.76,0.0,0.6082460346127417,0.9999999999997919,5.373061685030413e-47,1.021769371355813e-19,6.1469284118733855e-15,5.89623159234777e-15,2.506968195256163e-16,5.291615885650513e-32,2.08099463836352e-13,2.2557811905464884e-36,7.838776161959325e-38,4.7610968467678145e-49,4.803781911627793e-59,1.294292048950845e-33,1.2460187858274638e-33,5.075020629300445e-33,2.8105450449222757e-33,6.982058320614248e-38,4.547315207886113e-42,4.5888807850092035e-34,3.695609506314805e-35,1.6202679005396083e-51,4.931072902489217e-50,8.647673975889052e-45,1.1772922308761513e-59,4.2112891140503454e-39,1.9233494501301775e-56,7.796027295592646e-23,4.212942088275975e-37,2.1905446035505384e-56,5.479909730628149e-53,3.7587278757918307e-22,1.5455440621912125e-20,1.9486084812550195e-31,2.6195917010327774e-40,6.606954443400114e-20,2.4405419281027775e-33,3.601984055067056e-52,2.6621996328513567e-65,1.4935196662073871e-47,1.0278748116654296e-65,2.8361083351942244e-64,5.586146467865106e-78,1.0217693713558313e-19,1.4265630576648253e-36,3.34314097019471e-82,3.2032287893995565e-82,5.9335485474171496e-71
