Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CHF2(1),O2(2),H2O(3),CH4(4),HF(38),CH2CHF(56),C2H3F(124),C2H3F(139),O2(143),S(285),S(141),S(377),S(145),CHFO(47),S(284),CH2CF(70),C2H2F(71),CH2CFO(79),CH2F(46),C2H4F(63),C2H4F(62),C1OO1(734),CH2O2(778),CHO2(166),C2H2O(133),S(338),S(376),CH2F2(41),C2H2O(373),CH3O2(183),CHF2(81),S(1537),C2H3F2(64),CH2CF2(57),CH3F(39),C2H3F2(65),S(140),S(2988),F(37),C2HF(58),C2HF(3940),CF2CH(73),C2HF2(72),S(3117),CF2(43),CF2O(49),S(4341),S(4409),C2F(3939),C2H3F2(66),S(4619),CHF3(42),S(4047)
0.0,0.6567789957921892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5339694485482662,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.5087258714365465e-22,0.6567789957921892,8.946047138721285e-28,8.67300576672109e-29,1.460631666426049e-41,9.444817285649983e-43,0.0,0.0,1.7953617373912224e-22,2.3734839357457175e-40,9.20386028949911e-54,1.0578077109989989e-53,4.0863601681898084e-51,2.221683912746002e-67,3.8112568121218285e-46,7.538676805233338e-39,9.204648657169754e-25,1.0442133644577357e-38,3.0257193454426783e-65,8.11723768197006e-64,5.704718130837687e-38,1.9332550258339236e-58,2.0218642330293338e-25,1.2724855690900716e-59,2.8567723183822213e-43,9.187926131543441e-58,2.6132385351910445e-36,1.1943449658188827e-44,1.6441000857713846e-63,2.010268590447685e-64,3.2631141046300224e-59,1.7246024462176311e-63,2.0331294795710653e-51,6.260203080262752e-64,3.76,0.0,0.5339694485482662,0.9999999999999996,1.5629426748943784e-54,2.508173645136568e-22,1.414193758312794e-17,1.3558953414868728e-17,5.8298416825921e-19,4.5280576953031865e-37,4.659568869676273e-16,2.0633598250039875e-41,7.794667418707523e-43,1.7593937754563128e-44,6.492985531740655e-57,1.0439960292564617e-38,1.0035428375074692e-38,4.259332175351592e-38,2.374312944311885e-38,6.574945697887425e-43,4.739856316834282e-47,4.312420113949982e-27,3.0700939538808465e-40,4.7561931499860265e-59,1.4208010534719242e-57,2.5310906077691688e-52,7.638475383161093e-68,4.09466371962653e-44,1.3011190276459533e-52,2.021864233029409e-25,3.522292778978074e-61,3.083301494296301e-42,9.204648657169596e-25,1.8932386546090004e-60,3.44222642093373e-23,1.521107961923946e-36,2.1356197022649952e-45,1.4511480413449563e-22,2.3820410058720836e-44,1.5728015856281893e-38,4.312420116559446e-27,4.750655863800888e-55,1.636421226591866e-75,1.2560216319488707e-59,3.989669418035344e-75,3.2669004423791475e-74,2.508173645136568e-22,1.1066319228556696e-41,2.5380444631385297e-90,1.6075276141350606e-94,9.495444605354272e-81,6.768437155642783e-38,2.9885895325352236e-66,9.186419271493235e-46,3.581204876115771e-79
9.82443244002233e-22,0.6567789957921892,2.50489320368725e-27,2.428441614682618e-28,8.822215265480567e-41,5.704669649770523e-42,0.0,0.0,5.0270128646954235e-22,1.4335842971904131e-39,1.0926822950156845e-52,1.2558293145167917e-52,4.851326791673931e-50,2.6375831412118166e-66,2.3019991145214243e-45,4.553360790360604e-38,2.5773016240075817e-24,6.307048721336722e-38,3.592134008711204e-64,9.636784576035367e-63,3.445649751026166e-37,2.2951603666701795e-57,5.6612198524818895e-25,1.5106948676237266e-58,1.725490480302854e-42,1.0924131378283176e-56,1.578396075255038e-35,7.213843765928123e-44,2.48456404961781e-62,3.03692643928596e-63,3.8739690650168014e-58,2.606219334469796e-62,2.413731318146277e-50,7.432660248315268e-63,3.76,0.0,0.5339694485482662,0.9999999999999987,1.8555255436821042e-53,7.022886206382389e-22,3.9597425232758224e-17,3.796506956163287e-17,1.6323556711253573e-18,2.7349468479623505e-36,1.3046792835079476e-15,1.2462693343030102e-40,4.7079791209029444e-42,1.0626738403753579e-43,7.708472423276529e-56,6.305736016718642e-38,6.061398738539151e-38,2.5726366339117823e-37,1.4340850183640612e-37,3.971267202903751e-42,2.86287321538001e-46,1.2074776319072199e-26,1.8543367481440425e-39,5.646552507674215e-58,1.6867750106814986e-56,3.0049107695414684e-51,9.269642818875964e-67,2.4731768894489943e-43,7.858758927022456e-52,5.661219852482345e-25,4.1827612220481685e-60,1.862314102554976e-41,2.5773016240074873e-24,2.247652933077478e-59,9.638233978614182e-23,9.187492090020508e-36,1.2899143001695181e-44,4.0632145157658485e-22,1.4387527675482923e-43,9.499721577193753e-38,1.2074776334833357e-26,5.639978641503284e-54,3.660608827036233e-74,1.4911497881069822e-58,8.924735904182539e-74,8.147668369462599e-73,7.02288620638239e-22,6.68405681404824e-41,1.16476197532713e-88,7.377282259733608e-93,2.1240929764389256e-79,4.088136042008131e-37,3.548053493025731e-65,5.548597240012805e-45,8.011012059767976e-78
2.2455845577193896e-21,0.6567789957921892,5.725470202698655e-27,5.550723690706489e-28,4.247516886367787e-40,2.746552880523915e-41,0.0,0.0,1.1490315119303825e-21,6.902091285148547e-39,1.072801957400255e-51,1.2329806679986523e-51,4.763061412038913e-49,2.5895947686960063e-65,1.1083134809647877e-44,2.192247214961359e-37,5.890975140588998e-24,3.036572463860997e-37,3.5267784746278206e-63,9.461452242105886e-62,1.6589320324479045e-36,2.2534020581124733e-56,1.2939931091386024e-24,1.4832091793313692e-57,8.307493901855389e-42,1.07324869041203e-55,7.599297660330267e-35,3.4731554191744214e-43,2.672780627437128e-61,3.2666455767227725e-62,3.803485800356748e-57,2.8036521580877818e-61,2.3698157213864945e-49,7.298588879778984e-62,3.76,0.0,0.5339694485482662,0.999999999999997,1.821765981927909e-52,1.6052311328874033e-21,9.05084005320188e-17,8.677730185516287e-17,3.7310986768559305e-18,1.3167591777930053e-35,2.9821240765829513e-15,6.000250371120457e-40,2.2666892853654094e-41,5.116317099023132e-43,7.568223935778375e-55,3.0359404530921134e-37,2.9183025714627723e-37,1.2386137965913736e-36,6.904502042054209e-37,1.9119942110151825e-41,1.3783502169535453e-45,2.7599488729365635e-26,8.92783321788567e-39,5.54381873565721e-57,1.656085707925731e-55,2.95023921240927e-50,9.505222920931301e-66,1.1907282138591798e-42,3.7836541324557806e-51,1.2939931091388223e-24,4.107139696656092e-59,8.966240745413795e-41,5.890975140588541e-24,2.2067589830217198e-58,2.2030249093974033e-22,4.4233819532746427e-35,6.210382094208112e-44,9.287347464607517e-22,6.9269752450988325e-43,4.573707011006014e-37,2.759948880524883e-26,5.537364474842816e-53,7.232746176874965e-73,1.4640201016529072e-57,1.7633779023593044e-72,1.684089404681697e-71,1.6052311328874036e-21,3.21808563166428e-40,4.826585339741709e-87,3.05702651324615e-91,4.1968497811617286e-78,1.9682615248607573e-36,3.483499959122784e-64,2.671410724195687e-44,1.5828409859480483e-76
4.771867185153703e-21,0.6567789957921892,1.2166624278246103e-26,1.1795287842765649e-27,1.8550022167752754e-39,1.199491809596344e-40,0.0,0.0,2.441691962852063e-21,3.01432459839706e-38,9.488811824818024e-51,1.090557437853788e-50,4.2128738789904e-48,2.2904672466830795e-64,4.840296151392244e-44,9.574119542641208e-37,1.2518322173752643e-23,1.3261509728797777e-36,3.1193956280909104e-62,8.368547360607178e-61,7.24499202616702e-36,1.9931086014346912e-55,2.749735356919038e-24,1.3118817223090613e-56,3.6281008443453064e-41,9.49558684688058e-55,3.3188129396871607e-34,1.5168183737821958e-42,2.4567458761671158e-60,3.002486369662679e-61,3.3641401173092385e-56,2.577039976888267e-60,2.0960751682553417e-48,6.4575809234196e-61,3.76,0.0,0.5339694485482661,0.9999999999999937,1.6113313801878356e-51,3.411116157385731e-21,1.923303511305399e-16,1.8440176644222975e-16,7.92858468831019e-18,5.750633273023045e-35,6.337013662710412e-15,2.6204669777641453e-39,9.89922762181229e-41,2.2344300948255654e-42,6.694008363764431e-54,1.3258749571704618e-36,1.2744994036252379e-36,5.409351862687536e-36,3.0153774392711835e-36,8.3501810577016e-41,6.019617522566851e-45,5.864891355014849e-26,3.899019321428848e-38,4.9034448899799405e-56,1.4647890540850124e-54,2.6094531729721087e-49,9.120931876045333e-65,5.200222967240475e-42,1.6524211651737545e-50,2.749735356919997e-24,3.632909149240461e-58,3.915792897756461e-40,1.2518322173750647e-23,1.9518533384954635e-57,4.681427932468954e-22,1.931807111643213e-34,2.7122370218985745e-43,1.9735613362290394e-21,3.02519207748089e-42,1.9974580137470153e-36,5.864891388155033e-26,4.897736169336816e-52,1.2870285377592574e-71,1.2949093581938067e-56,3.137837151761976e-71,3.057418303466619e-70,3.411116157385734e-21,1.405422542026693e-39,1.7584807461080505e-85,1.1137733792086602e-89,7.46806994874761e-77,8.59591518766464e-36,3.081116264461942e-63,1.1666752475261984e-43,2.8165809637561697e-75
9.82443244002233e-21,0.6567789957921893,2.504893273943956e-26,2.4284416146929623e-27,7.744269099118628e-39,5.007642253720785e-40,0.0,0.0,5.0270128646954256e-21,1.2584211827323784e-37,7.975918083650313e-50,9.166792376501714e-50,3.541174339978686e-47,1.9252757318402918e-63,2.0207283617847637e-43,3.9970064421301e-36,2.577301624008318e-23,5.536419258520801e-36,2.6220399944989755e-61,7.034268299398373e-60,3.024641552972983e-35,1.6753278733089868e-54,5.6612198524783456e-24,1.1027156344042804e-55,1.5146606832061515e-40,7.98273255071679e-54,1.3855390713533717e-33,6.332419413501646e-42,2.1017978204503025e-59,2.5686431048496655e-60,2.8277624732463717e-55,2.204713016743739e-59,1.7618774769187145e-47,5.431454231614592e-60,3.76,0.0,0.5339694485482659,0.999999999999987,1.3544211150634585e-50,7.022886206382386e-21,3.959742523275821e-16,3.7965069561639095e-16,1.632355671119115e-17,2.4007761900389475e-34,1.304679283487515e-14,1.0939933792252542e-38,4.132732665446816e-40,9.3283057974338e-42,5.626717373967343e-53,5.535266947250364e-36,5.3207841243813624e-36,2.2582979193633268e-35,1.258860723069742e-35,3.486036228265826e-40,2.5130718193540766e-44,1.2074776319249812e-25,1.6277638143477802e-37,4.121640884815121e-55,1.2312434601175571e-53,2.193402623218376e-48,8.865799328145412e-64,2.1709907431291478e-41,6.89853308514939e-50,5.661219852482348e-24,3.053754609058755e-57,1.6347664522760418e-39,2.5773016240074844e-23,1.6406503537334468e-56,9.638233978610375e-22,8.064914414118965e-34,1.1323055661606452e-42,4.0632145157654285e-21,1.262958141334288e-41,8.338994006993593e-36,1.2074776457603562e-25,4.116842361062702e-51,2.1707617449730844e-70,1.0884494022619462e-55,5.292421305496466e-70,5.206160465312341e-69,7.022886206382395e-21,5.867362454980695e-39,6.000143135264942e-84,3.8003257700063996e-88,1.2595991524592937e-75,3.5886253799202794e-35,2.589863871461464e-62,4.870639498162966e-43,4.75057547594482e-74
1.9929562949759584e-20,0.6567789957921896,5.0813550902220735e-26,4.9262672755440204e-27,3.163786617901603e-38,2.0457853124501532e-39,0.0,0.0,1.0197654668382148e-20,5.1410611441826416e-37,6.539139530196605e-49,7.515490226476151e-49,2.903268672646094e-46,1.5784573652204984e-62,8.255334705309488e-43,1.6329075507168535e-35,5.228240437275726e-23,2.2618079160904044e-35,2.1497068231725304e-60,5.76711814444196e-59,1.2356647660143723e-34,1.3735350095869601e-53,1.1484188843590704e-23,9.040729003570107e-55,6.187883112507761e-40,6.545172141137049e-53,5.660379196723553e-33,2.587001005767006e-41,1.7378070827340443e-58,2.123785339027746e-59,2.3183705217795554e-54,1.8229011126712747e-58,1.4444936037262983e-46,4.458722152606535e-59,3.76,0.0,0.5339694485482654,0.9999999999999736,1.1104362608294251e-49,1.4246426304375693e-20,8.032620547216661e-16,7.701485539648235e-16,3.3113500756842855e-17,9.807954090243058e-34,2.6466351178843877e-14,4.469319915420418e-38,1.6883561416023232e-39,3.810917293359276e-41,4.613122855061172e-52,2.2613371593228573e-35,2.1737139276841978e-35,9.225883865030085e-35,5.142856809859898e-35,1.4241595542399977e-39,1.026671837794254e-43,2.449454624803332e-25,6.649946307865381e-37,3.379170216537291e-54,1.0094477771971342e-52,1.79828399029745e-47,9.23468637606385e-63,8.869205733316692e-41,2.8182758591253025e-49,1.1484188843607054e-23,2.503682600892643e-56,6.678554368706766e-39,5.228240437272321e-23,1.345104308085306e-55,1.9551846070886497e-21,3.294780689844223e-33,4.6258377000609026e-42,8.242520874837463e-21,5.159596100535794e-41,3.4067511465281e-35,2.4494546813253527e-25,3.3752360967264016e-50,3.5654826844955794e-69,8.923766062115687e-55,8.692818136645309e-69,8.591067129096386e-68,1.4246426304375726e-20,2.3970090101822374e-38,1.9822207013546e-82,1.2554841181890818e-86,2.068895390246912e-74,1.466070561659559e-34,2.1233268748076275e-61,1.9898151602350642e-42,7.802834485775433e-73
4.013982396923409e-20,0.6567789957921896,1.0234279218936009e-25,9.921918597319196e-27,1.2788531368721578e-37,8.269391782327631e-39,0.0,0.0,2.0538938275755606e-20,2.078099112974283e-36,5.295564730595366e-48,6.086238840804928e-48,2.3511422434152854e-45,1.2782756986223836e-61,3.336938279324117e-42,6.600473399436294e-35,1.0530118063815741e-22,9.142589229396754e-35,1.7408883506037917e-59,4.6703617960128175e-58,4.9947545500384675e-34,1.1123242620659228e-52,2.313012682579039e-23,7.321416743818251e-54,2.501241289814208e-39,5.300628123970873e-52,2.288015772975182e-32,1.0457080209108284e-40,1.4131558589113835e-57,1.7270196686502615e-58,1.8774765563513212e-53,1.4823557665371676e-57,1.1697883713148699e-45,3.620001307309845e-58,3.76,0.0,0.5339694485482647,0.9999999999999467,8.992600740602217e-49,2.869350650036228e-20,1.617837659509833e-15,1.5511442706621277e-15,6.669338884770539e-17,3.964531858932083e-33,5.330546786533837e-14,1.8065705681191141e-37,6.824605469448034e-39,1.5404337012884512e-40,3.735826491214687e-51,9.140686355156898e-35,8.786499242360122e-35,3.7292497674084065e-34,2.078824949735603e-34,5.75668068993139e-39,4.149971719665224e-43,4.933408610685463e-25,2.688014621133547e-36,2.736539652438053e-53,8.174769816690216e-52,1.4562969989686528e-46,1.06625902896046e-61,3.5850749018897013e-40,1.1391921628147163e-48,2.3130126825856487e-23,2.027559078840434e-55,2.699578456729131e-38,1.0530118063801978e-22,1.089300382028343e-54,3.937907025541186e-21,1.3318030338453368e-32,1.8698375592158073e-41,1.660113359297857e-20,2.085591238754412e-40,1.37706328268867e-34,4.933408839156511e-25,2.733353700015305e-49,5.7798010786071926e-68,7.226697220664297e-54,1.4091432998476929e-67,1.3958629228443442e-66,2.869350650036242e-20,9.689093667923892e-38,6.444604663244538e-81,4.0818354874189845e-85,3.353768582322405e-73,5.926091614738112e-34,1.7195251541845403e-60,8.043151023214355e-42,1.2648730953110315e-71
8.05603460081831e-20,0.6567789957921897,2.0540129460994682e-25,1.991322124116177e-26,5.14221222797732e-37,3.3250864326636555e-38,0.0,0.0,4.122150549050257e-20,8.355945135150164e-36,4.26233119935643e-47,4.898734514982477e-47,1.8924038222256453e-44,1.0288674897173279e-60,1.3417682057221452e-41,2.6540213239635455e-34,2.1133873316916568e-22,3.6761949190442017e-34,1.4012184471825934e-58,3.759113485738337e-57,2.008368836849984e-33,8.952953361383549e-52,4.642200279008964e-23,5.892913144284668e-53,1.0057381217751604e-38,4.26647814515076e-51,9.200010792403542e-32,4.2047528102747554e-40,1.1397613953015259e-56,1.39290102680795e-57,1.5111564693194749e-52,1.1955782344306897e-56,9.415474505089153e-45,2.9285221217045995e-57,3.76,0.0,0.533969448548263,0.9999999999998931,7.238027415198324e-48,5.758766689233537e-20,3.2469888690861616e-15,3.1131357040584944e-15,1.3385316502766705e-16,1.5941208238012476e-32,1.0698370123255547e-13,7.26414079877778e-37,2.744143843695977e-38,6.194016162044036e-40,3.0069181695269126e-50,3.6754297815866898e-34,3.533012700688279e-34,1.49951492961554e-33,8.358863692718115e-34,2.3147360414431905e-38,1.6686853767186705e-42,9.901316582951449e-25,1.0808388568404434e-35,2.202605186144216e-52,6.579765937273126e-51,1.172154519688918e-45,1.370783389676742e-60,1.4415429613644543e-39,4.580641584811696e-48,4.642200279035542e-23,1.631960732155455e-54,1.0854886242737956e-37,2.1133873316861228e-22,8.767637774815311e-54,7.903351862435512e-21,5.355121424261587e-32,7.518534587723446e-41,3.3318359029248904e-20,8.38607064398933e-40,5.537110894227563e-34,9.901317501623478e-25,2.2000408541393162e-48,9.308191455630446e-67,5.816674671301563e-53,2.2693818589281385e-66,2.2505734768716273e-65,5.758766689233592e-20,3.895941949689922e-37,2.07867577655184e-79,1.3165761120936263e-83,5.401140910832979e-72,2.382855374384056e-33,1.3840234393928117e-59,3.23411565255487e-41,2.037039127648665e-70
1.6140139008608114e-19,0.6567789957921901,4.115183788363522e-25,3.989582653001583e-26,2.0622571029992073e-36,1.3335086720681942e-37,0.0,0.0,8.258663991999666e-20,3.3511077279757143e-35,3.4202523558930007e-46,3.930925944919117e-46,1.5185348878623622e-43,8.256013646766666e-60,5.381090625392499e-41,1.064381254903811e-33,4.234138382320144e-22,1.4743185847517297e-33,1.124389636451275e-57,3.0164518316291233e-56,8.054457300750252e-33,7.184181235265592e-51,9.300575471828768e-23,4.728691675579179e-52,4.0334596956853255e-38,3.4236091919174346e-50,3.6896158081811426e-31,1.686299433492636e-39,9.155183355942692e-56,1.1188526991064113e-56,1.2126078973170896e-51,9.603608570236777e-56,7.555325324244134e-44,2.3737551029585274e-56,3.76,0.0,0.5339694485482598,0.9999999999997857,5.808061166578142e-47,1.1537598767628118e-19,6.5052912882388e-15,6.237118570858263e-15,2.681727173805365e-16,6.393137491160872e-32,2.1434016794390214e-13,2.913245357133209e-36,1.100524416264534e-37,2.484077515042263e-39,2.4128624616935748e-49,1.4740117303336104e-33,1.416896110640963e-33,6.013725542017827e-33,3.3522781999951905e-33,9.283127256917961e-38,6.692174702267937e-42,1.983713252949031e-24,4.334647232927699e-35,1.7674519471214225e-51,5.279847785316567e-50,9.405801822463691e-45,1.922569004227168e-59,5.7812329116162784e-39,1.8370421510153296e-47,9.300575471935357e-23,1.3095476256344088e-53,4.3532948799944736e-37,4.234138382297949e-22,7.0354781593614e-53,1.5834241536181158e-20,2.1476432047844775e-31,3.0152686448047893e-40,6.675280990174209e-20,3.3631894048921107e-39,2.220629121906786e-33,1.983713621377603e-24,1.7653942316643407e-47,1.4941708739327817e-65,4.6675151181903214e-52,3.642860488628445e-65,3.6147356140937e-64,1.1537598767628342e-19,1.5624469720880796e-36,6.678136613090922e-78,4.229748206605484e-82,8.670027333929873e-71,9.556315809359776e-33,1.110591647357235e-58,1.297025026981905e-40,3.269898940855776e-69
