Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CHF2(1),O2(2),H2O(3),CH4(4),HF(38),CH2CHF(56),C2H3F(124),C2H3F(139),O2(143),S(285),S(141),S(377),S(145),CHFO(47),S(284),CH2CF(70),C2H2F(71),CH2CFO(79),CH2F(46),C2H4F(63),C2H4F(62),C1OO1(734),CH2O2(778),CHO2(166),C2H2O(133),S(338),S(376),CH2F2(41),CH3O2(183),C2H2O(373),S(1537),CHF2(81),C2H3F2(64),CH2CF2(57),CH3F(39),C2H3F2(65),S(3087),CF2CH(73),C2HF2(72),C2HF(58),C2HF(4088),S(3189),S(4414),CF2(43),CF2O(49),S(4555),S(5169),C2F(4087),F(37),C2H3F2(66),S(4570),CHF3(42),CHO2(165),S(459)
0.0,0.6735370485297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7368643191526402,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.866595190583844e-22,0.6735370485297,1.0411995088603173e-27,5.913105633731356e-29,1.6262826446103174e-41,1.5352741872590222e-42,0.0,0.0,2.1437378370156007e-22,3.749231988226139e-40,1.0714156295947098e-53,1.2328753156477013e-53,4.2625997723641355e-51,1.0167261328769072e-69,3.4049917942965465e-46,8.211076629786039e-39,9.964660311455137e-25,1.1357075153387861e-38,2.7330541235498393e-65,5.507894552974037e-64,5.490126616567765e-38,1.6971818686037826e-58,2.0516110654750139e-25,1.7965115087829783e-59,2.949826561908419e-43,7.867431143314698e-58,2.5128744303400993e-36,1.0092553241524659e-44,2.189070270135465e-63,2.4173340596212976e-64,3.526311099913993e-59,1.4050711417936218e-63,2.074933115588501e-51,6.121064607438244e-64,3.76,0.0,0.7368643191526402,0.9999999999999996,1.8505850854425363e-54,2.7080039544875226e-22,1.6428825468457112e-17,1.5759764258658718e-17,6.690612097983954e-19,4.7088528839941515e-37,4.684882878799197e-16,1.9472444385668176e-41,6.694220167869361e-43,1.6796958253139103e-44,7.268476133561732e-57,1.1354733450239024e-38,1.0933329693323246e-38,4.526916244947301e-38,2.504637448997696e-38,6.004573902007978e-43,4.0044815076190564e-47,4.210337911674584e-27,3.948248240937568e-40,5.522803215687454e-59,1.684743670161983e-57,2.9486424349640356e-52,5.1236177250991365e-68,3.6068520329536147e-44,9.934556659592924e-53,2.0516110654750967e-25,3.7420311638275075e-42,5.979583543299353e-64,1.8292319001502855e-60,9.964660311454965e-25,4.058209523922768e-23,1.7141117199531094e-36,2.7339001818674784e-45,1.7379272966183762e-22,2.15596529965567e-38,1.1990461449677407e-59,3.751168963476096e-75,5.1560049194655725e-55,1.461817049893489e-75,3.3039852300321116e-74,2.8065735248045683e-90,2.7080039544875226e-22,1.2577101805436333e-41,1.6765456450766163e-94,1.6103664710080523e-94,8.250324018059946e-81,4.210337914182398e-27,7.798678511781859e-38,3.494953864558075e-66,1.2017527756429799e-45,1.129058051097449e-71,8.272153917265411e-63
1.0826466533634762e-21,0.6735370485297,2.915358630198335e-27,1.655669577445454e-28,9.822747173745924e-41,9.273056105384279e-42,0.0,0.0,6.002465943643682e-22,2.264536120888588e-39,1.271984636645093e-52,1.4636695747611277e-52,5.060558449749581e-50,1.2070572649513517e-68,2.056615043754965e-45,4.959490284390384e-38,2.7901048872074933e-24,6.859673392660208e-38,3.2446818571686477e-64,6.538972413291131e-63,3.3160364764071235e-37,2.0148943144065444e-57,5.744510983329774e-25,2.1328184632271415e-58,1.7816952433926758e-42,9.353846763570388e-57,1.517776155925059e-35,6.095902387210338e-44,3.308122992228834e-62,3.652121444305493e-63,4.1864365378179095e-58,2.123343627432619e-62,2.4633605948261317e-50,7.267673477735113e-63,3.76,0.0,0.7368643191526402,0.9999999999999987,2.1970146135085826e-53,7.582411072565063e-22,4.6000711311679916e-17,4.4127339924244935e-17,1.8733713874349815e-18,2.8441471419316138e-36,1.3117672060622084e-15,1.1761356408949672e-40,4.043308981397492e-42,1.014536278489539e-43,8.629134865758788e-56,6.858259003955823e-38,6.60373113476011e-38,2.7342574119475134e-37,1.512801019194252e-37,3.6267626383880517e-42,2.4187068306132197e-46,1.1788946152705059e-26,2.3847419375263092e-39,6.556671977679209e-58,2.0001276852158292e-56,3.500628298786624e-51,6.274259974363119e-67,2.1785386311248882e-43,6.000472222433757e-52,5.744510983330271e-25,2.2601868229518258e-41,7.950830759362968e-63,2.171664114798578e-59,2.79010488720739e-24,1.1362986666983456e-22,1.0353234788516644e-35,1.6512757098499756e-44,4.866196430531421e-22,1.3022030409919551e-37,1.423508773956428e-58,8.391221321444185e-74,6.121209040388215e-54,3.2700262679290637e-74,8.174631163804804e-73,1.2779764716370296e-88,7.582411072565064e-22,7.59656949048354e-41,7.634169812751293e-93,7.3328221850257184e-93,1.8455644815435624e-79,1.1788946167852261e-26,4.710401821116122e-37,4.1492092280032406e-65,7.25858676492477e-45,2.5256576979807916e-70,9.827476196014836e-62
2.47462092197366e-21,0.6735370485297,6.663676894432155e-27,3.7843876055927863e-28,4.7292299309762004e-40,4.464577358058913e-41,0.0,0.0,1.3719922156899848e-21,1.0902766621761608e-38,1.2488420595483794e-51,1.4370394679939074e-51,4.968486294664164e-49,1.185095980480974e-67,9.901716137812113e-45,2.3877810839412023e-37,6.377382599331672e-24,3.3026374546259875e-37,3.1856478916451066e-63,6.420001890947636e-62,1.5965288200981975e-36,1.9782351860449855e-56,1.3130310819038226e-24,2.0940138146374088e-57,8.578095642029547e-42,9.189635935663856e-56,7.307438843423594e-35,2.9349148266295392e-43,3.558727756754221e-61,3.928457257283897e-62,4.110268218059708e-57,2.2841965079139907e-61,2.418542039528283e-49,7.137024191361743e-62,3.76,0.0,0.7368643191526401,0.999999999999997,2.1570419756987216e-52,1.7331225308720143e-21,1.0514448299812549e-16,1.0086249125541945e-16,4.28199174270605e-18,1.3693344186642192e-35,2.998325042420521e-15,5.6625868273612735e-40,1.9466792248228776e-41,4.884555460011909e-43,8.47213578126189e-55,3.3019564873465722e-37,3.1794122748076986e-37,1.3164272440296913e-36,7.28348570167996e-37,1.7461300930666708e-41,1.1645032224325658e-45,2.6946162634830924e-26,1.1481505884646722e-38,6.437379428251991e-57,1.9637372219393276e-55,3.436937622185774e-50,6.544749727744998e-66,1.0488725760142014e-42,2.888969076669073e-51,1.3130310819040618e-24,1.088182662441057e-40,8.179456809072244e-62,2.1321527119295437e-58,6.377382599331176e-24,2.597254095310365e-22,4.984636881623437e-35,7.950181728900336e-44,1.112273469835738e-21,6.2695470913976425e-37,1.3976098772983944e-57,1.6579645457138567e-72,6.0098393341250115e-53,6.461020858869786e-73,1.6844659611754508e-71,5.278934249576339e-87,1.7331225308720146e-21,3.657421205020878e-40,3.1534446357978313e-91,3.0289670457633663e-91,3.646524411314278e-78,2.6946162707758174e-26,2.267855711225983e-36,4.073718224528564e-64,3.4946970716303695e-44,4.990274001477771e-69,9.651643204972324e-61
5.2585694591940274e-21,0.6735370485297,1.4160313509130934e-26,8.041823661898234e-28,2.0653789591194747e-39,1.949798240045625e-40,0.0,0.0,2.9154834583412184e-21,4.761524625047194e-38,1.1045866591969647e-50,1.2710451355775414e-50,4.394569861309242e-48,1.0482039739500424e-66,4.324339578754293e-44,1.0428067319822292e-36,1.3551938023580913e-23,1.4423485445016962e-36,2.817669490205678e-62,5.6784189683364156e-61,6.972460803044073e-36,1.7497266192566307e-55,2.7901910490450874e-24,1.8521315050948368e-56,3.7462797336235553e-41,8.13050139334356e-55,3.1913505265263323e-34,1.2817546171342727e-42,3.2710839232588866e-60,3.610810024393594e-61,3.635485691567152e-56,2.0995707411425735e-60,2.1391730448435973e-48,6.315426466041153e-61,3.76,0.0,0.73686431915264,0.9999999999999937,1.9078791998071745e-51,3.682885378103029e-21,2.2343202637101663e-16,2.1433279391777685e-16,9.099232453239777e-18,5.980243162659347e-35,6.371440715112085e-15,2.4730004369890476e-39,8.501659613260312e-41,2.1332136981476935e-42,7.493508154619713e-54,1.4420511481979356e-36,1.3885328710409923e-36,5.7491836310729035e-36,3.180889560221557e-36,7.625808879964756e-41,5.085691514851193e-45,5.726059559934229e-26,5.014275265990992e-38,5.693789203343197e-56,1.7369033341870908e-54,3.0399324047330797e-49,6.467839127622516e-65,4.58070213177411e-42,1.2616886958297342e-50,2.7901910490461317e-24,4.75237957806112e-40,7.38288437258265e-61,1.8858649389189945e-57,1.3551938023578742e-23,5.519164952533933e-22,2.176921884340236e-34,3.472053231002132e-43,2.363581123400876e-21,2.738075930561621e-36,1.2361703162463734e-56,2.9502598249030028e-71,5.315634831763704e-52,1.1497041407328396e-71,3.054042794961398e-70,1.9206563091254708e-85,3.682885378103032e-21,1.5972919292904058e-39,1.1473307014012428e-89,1.1020415090447788e-89,6.488795356876221e-77,5.726059591783476e-26,9.904321709961082e-36,3.603157636204104e-63,1.5262260251286383e-43,8.879925956279454e-68,8.537948164524435e-60
1.0826466533634762e-20,0.6735370485297,2.915358708345305e-26,1.655669577455227e-27,8.622550585903229e-39,8.14002394088734e-40,0.0,0.0,6.00246594364369e-21,1.9878428001574985e-37,9.28471643485988e-50,1.068390022820793e-49,3.6939007611211835e-47,8.8107859913167e-66,1.8053266493339398e-43,4.353512829107177e-36,2.790104887208291e-23,6.021521246518953e-36,2.368420994539757e-61,4.7730532932986284e-60,2.9108651321069407e-35,1.4707506524237287e-54,5.7445109833259135e-24,1.5568281293270758e-55,1.563998043123721e-40,6.835117061708269e-54,1.3323260229612868e-33,5.3510749278021434e-42,2.7984811644995253e-59,3.0890785923205265e-60,3.0558447782074647e-55,1.79622803498517e-59,1.7981038390327446e-47,5.313222647362115e-60,3.76,0.0,0.7368643191526397,0.9999999999999869,1.6036874258099788e-50,7.582411072565059e-21,4.600071131167989e-16,4.412733992425252e-16,1.8733713874273583e-17,2.496633799081797e-34,1.3117672060394968e-14,1.0324290013363628e-38,3.5492755330636778e-40,8.9057472658056e-42,6.29874512165917e-53,6.020279675474716e-36,5.79685140330044e-36,2.4001709930619092e-35,1.3279587754536137e-35,3.183625104817595e-40,2.123176095497075e-44,1.178894615294036e-25,2.0933612173453533e-37,4.785972902041206e-55,1.4599719086580142e-53,2.555246355829228e-48,6.577599596656262e-64,1.9123529928025894e-41,5.267301941469064e-50,5.7445109833302745e-24,1.9840249230615118e-39,6.264537148985131e-60,1.5851831316852578e-56,2.7901048872073873e-23,1.1362986666979182e-21,9.088220339189467e-34,1.4495138764534153e-42,4.8661964305309415e-21,1.1430928018764645e-35,1.0390757178075761e-55,4.976044814127956e-70,4.4681113671146945e-51,1.939144077632368e-70,5.197174662949173e-69,6.549298665591554e-84,7.582411072565068e-21,6.668379377242269e-39,3.9123144499950255e-88,3.7578815898780773e-88,1.0944301791619962e-75,1.1788946285904698e-25,4.134859346945052e-35,3.0286710997629462e-62,6.371693217015216e-43,1.4977293042416177e-66,7.177127376597291e-59
2.1962260682516234e-20,0.6735370485297,5.914013561179553e-26,3.358644000003287e-27,3.522593263070218e-38,3.325465469937736e-39,0.0,0.0,1.2176430914248646e-20,8.120986455777347e-37,7.612171492726267e-49,8.75930690366149e-49,3.028483020039273e-46,7.223614680937647e-65,7.375348426100402e-43,1.7785520423136187e-35,5.659927056910102e-23,2.4599879066874914e-35,1.941774642838467e-60,3.9132374655834214e-59,1.1891833856573405e-34,1.2058102438700304e-53,1.165315085188075e-23,1.2763817600160016e-54,6.389442326155074e-40,5.604216429168955e-53,5.442986531051249e-33,2.1860901109372926e-41,2.3138383441292058e-58,2.55409216582584e-59,2.505366175539057e-54,1.4851578335347303e-58,1.4741941640915485e-46,4.36385144298103e-59,3.76,0.0,0.7368643191526393,0.9999999999999734,1.3147998424299353e-49,1.5381462461489116e-20,9.33157286608363e-16,8.951546098921565e-16,3.800267671620661e-17,1.0199563700745914e-33,2.6610134750559753e-14,4.2178093437828635e-38,1.4499948652913111e-39,3.6382883454555334e-41,5.16409180482819e-52,2.4594806843892416e-35,2.368202944808303e-35,9.805481663128179e-35,5.425144899984937e-35,1.300614744074231e-39,8.673867126096096e-44,2.391471933936805e-25,8.552063619802573e-37,3.923829741553378e-54,1.196973178500267e-52,2.0949453439631842e-47,7.263399782936906e-63,7.812586157870568e-41,2.1518647111625846e-49,1.165315085189857e-23,8.105389182098357e-39,5.15943616292305e-59,1.2996289346495512e-55,5.659927056906409e-23,2.3050630095862143e-21,3.712834549885608e-33,5.921737150162723e-42,9.871427044790227e-21,4.6699070776579375e-35,8.51897084461251e-55,8.173168869281404e-69,3.6632276506653884e-50,3.1850499703847024e-69,8.573645181170866e-68,2.1629657062819444e-82,1.5381462461489152e-20,2.7242505594646673e-38,1.2920775825903471e-86,1.2410747199124614e-86,1.7976048556352306e-74,2.391471988257076e-25,1.6892249603645675e-34,2.48308755218506e-61,2.6030445826236118e-42,2.4600248795793845e-65,5.884428710414988e-58
4.423384898027918e-20,0.6735370485297001,1.1911323818727342e-25,6.764592845168426e-27,1.4238885198339615e-37,1.3442063834244463e-38,0.0,0.0,2.452436085545861e-20,3.282632568827421e-36,6.164533834076632e-48,7.093513835023182e-48,2.452544068333607e-45,5.849870453462225e-64,2.981233755498203e-42,7.189191721018421e-35,1.139957139631937e-22,9.94366443773941e-35,1.5724994780960604e-59,3.169041157168102e-58,4.806869378901563e-34,9.764963982299541e-53,2.347043058896317e-23,1.0336470416926513e-53,2.5827147466249413e-39,4.538589388097397e-52,2.2001421817003565e-32,8.836537086012751e-41,1.8815749141934118e-57,2.076938311859088e-58,2.028910484955414e-53,1.2077085460952029e-57,1.1938406551369635e-45,3.546513461155395e-58,3.76,0.0,0.7368643191526383,0.9999999999999464,1.0647590009464645e-48,3.0979565239337205e-20,1.8794576335914904e-15,1.8029170311919557e-15,7.654060239953433e-17,4.1228267247924175e-33,5.359506012928539e-14,1.7049059737554898e-37,5.861111079949658e-39,1.4706543204558494e-40,4.182015431575418e-51,9.941614163989017e-35,9.572654945636451e-35,3.963532464367395e-34,2.1929303091604606e-34,5.25729282378534e-39,3.506115776129211e-43,4.816626571388513e-25,3.456880850858188e-36,3.177619057119541e-53,9.693399135668248e-52,1.6965410546222021e-46,8.91187117167356e-62,3.157972396667565e-40,8.69818121804392e-49,2.3470430589035198e-23,3.276327901428019e-38,4.187575841265977e-58,1.0524732559375779e-54,1.1399571396304436e-22,4.642591695359792e-21,1.5007870881801685e-32,2.393660836623113e-41,1.9881888273305404e-20,1.887651106176153e-34,6.898883589612078e-54,1.3249059198611653e-67,2.9665767270773202e-49,5.1631032550767215e-68,1.392824444774363e-66,7.03116052734154e-81,3.097956523933736e-20,1.1011856331545644e-37,4.200161320413339e-85,4.034366128163263e-85,2.9139949350157476e-73,4.816626790959736e-25,6.828117373621822e-34,2.0108686781499287e-60,1.052192239594789e-41,3.987806339346732e-64,4.765437203225841e-57
8.877702557580505e-20,0.6735370485297004,2.3905946541340103e-25,1.357649053577477e-26,5.725393125265299e-37,5.404995317238147e-38,0.0,0.0,4.922022073787872e-20,1.3199321183829654e-35,4.96175313246336e-47,5.709477062735808e-47,1.9740208326763053e-44,4.70848466814327e-63,1.1987409811374746e-41,2.890742371792287e-34,2.287886007516047e-22,3.998303737138335e-34,1.2656844300814764e-58,2.550720023648169e-57,1.9328210358844705e-33,7.85969254565773e-52,4.710499006301898e-23,8.319690644142587e-53,1.0384982404254164e-38,3.653111724738255e-51,8.846674946705184e-32,3.553141810854715e-40,1.51755833303305e-56,1.6751232006554195e-57,1.6330436695139683e-52,9.740653095174289e-57,9.609068210291867e-45,2.8747508559261726e-57,3.76,0.0,0.7368643191526364,0.9999999999998924,8.570106759950245e-48,6.217577079503331e-20,3.772058327557739e-15,3.618441873793703e-15,1.536164537640364e-16,1.6577704931544405e-32,1.0756491088032097e-13,6.85535193621567e-37,2.3567269873130616e-38,5.913436340801203e-40,3.366049846297346e-50,3.99747933098182e-34,3.8491224512908485e-34,1.5937189716469888e-33,8.817676324413914e-34,2.1139343846217616e-38,1.4097937335725628e-42,9.666935846956613e-25,1.38999658621648e-35,2.5576242641882078e-52,7.802090930922046e-51,1.3655238364233348e-45,1.2050283758585267e-60,1.2698069394215148e-39,3.4975004133596354e-48,4.710499006330859e-23,1.3173970393510805e-37,3.3742524458091364e-57,8.471221191712325e-54,2.287886007510042e-22,9.317649066894882e-21,6.034598874552879e-32,9.624804947807255e-41,3.99028107303222e-20,7.59016207599486e-34,5.552821754315153e-53,2.1337201598106462e-66,2.3877590362587275e-48,8.315018622575099e-67,2.2455081149001745e-65,2.2676929585564353e-79,6.217577079503392e-20,4.427818999010654e-37,1.3546378601264692e-83,1.301165522364644e-83,4.692899009317049e-72,9.666936729842838e-25,2.7455559647773097e-33,1.6185220537934233e-59,4.2308187198924766e-41,6.422239171911588e-63,3.835668185271551e-56
1.778633787668568e-19,0.6735370485297009,4.7895200816634355e-25,2.7200285918091735e-26,2.296138727246675e-36,2.1676453235945917e-37,0.0,0.0,9.861194050271976e-20,5.293518148784559e-35,3.9814944092049974e-46,4.581495783056076e-46,1.5840273986844312e-43,3.778262416129169e-62,4.807487484321461e-41,1.1593169826890191e-33,4.5837437432932945e-22,1.6034986275376923e-33,1.015632118537508e-57,2.0467921802569684e-56,7.751476829295758e-33,6.306908281801959e-51,9.437410901069447e-23,6.676027786105058e-52,4.16484242379357e-38,2.931416724981084e-50,3.5479123307215593e-31,1.4249760938185612e-39,1.2189853814605597e-55,1.3455489428260699e-56,1.3104146992852387e-51,7.824296424402065e-56,7.710672080545158e-44,2.339238306860356e-56,3.76,0.0,0.7368643191526326,0.9999999999997845,6.876970949889825e-47,1.2456818190642517e-19,7.557259715490217e-15,7.249491559005791e-15,3.0776815648442703e-16,6.64840113325244e-32,2.1550461235672936e-13,2.7493027397192386e-36,9.451529292383297e-38,2.3715524575459418e-39,2.7010430149910627e-49,1.603168003717125e-33,1.5436702589494927e-33,6.39152588432727e-33,3.536282586189259e-33,8.477822864636562e-38,5.653903420881151e-42,1.9367554400751556e-24,5.574508001901953e-35,2.0523323991163178e-51,6.260686613333364e-50,1.0957468809258106e-44,1.7496929660897798e-59,5.0924947887007916e-39,1.4026540965497915e-47,9.4374109011856e-23,5.283351348028737e-37,2.709114881724973e-56,6.797622786379489e-53,4.583743743269212e-22,1.8667763809916817e-20,2.420144052722743e-31,3.8599772646141754e-40,7.994465564430156e-20,3.0439944707478093e-33,4.45578977415245e-52,3.425093420575224e-65,1.9160262507291502e-47,1.3347446387689223e-65,3.6064667742514134e-64,7.28511193854581e-78,1.2456818190642763e-19,1.775753457648127e-36,4.351862720078333e-82,4.1800793373784987e-82,7.533142230092834e-71,1.9367557941520197e-24,1.1010907398636887e-32,1.2987620172060717e-58,1.6967475359345562e-40,1.0309116181105685e-61,3.0778941629441192e-55
