Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CHF2(1),O2(2),H2O(3),CH4(4),HF(38),CH2CHF(56),C2H3F(124),C2H3F(139),O2(143),S(285),S(141),S(377),S(145),CHFO(47),S(284),CH2CF(70),C2H2F(71),CH2CFO(79),CH2F(46),C2H4F(63),C2H4F(62),C1OO1(734),CH2O2(778),CHO2(166),C2H2O(133),S(338),S(376),CH2F2(41),C2H2O(373),CH3O2(183),CHF2(81),S(1537),C2H3F2(64),CH2CF2(57),CH3F(39),C2H3F2(65),S(140),S(2988),F(37),C2HF(58),C2HF(3940),CF2CH(73),C2HF2(72),S(3117),CF2(43),CF2O(49),S(4341),S(4409),C2F(3939),C2H3F2(66),S(4619),CHF3(42),S(4047),CHO2(165),C2H2F3(67),C2H2F3(68),S(5214),CFO(51),CHF2O(615)
0.0,0.8506920390574543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.9229356958067433,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.08658712755673e-23,0.8506920390574543,1.0326518725255227e-26,1.3948859165048464e-26,3.28670534698058e-40,8.29333681558873e-42,0.0,0.0,1.0727150181100686e-21,2.2513357994181226e-39,3.001401090727334e-53,3.1530273151875104e-53,9.602660283163357e-50,1.3669450187954445e-64,1.2451859530197985e-43,1.1919930311201355e-37,3.233212131852627e-23,2.001160443593948e-37,7.318666874064577e-62,2.0208711356140173e-59,1.0309621761389884e-35,1.0436362528917165e-55,1.769740841366061e-23,4.2446698071711064e-58,9.149671817301284e-42,3.470832574015903e-55,3.9961661741513495e-34,1.0594201618747449e-41,1.4409889268500938e-61,8.591970926447476e-62,4.871120748257336e-58,1.492748158844847e-60,6.665634195764259e-50,3.3424154104752458e-62,3.76,0.0,0.9229356958067431,0.9999999999999997,5.289480649238012e-54,9.479508348663476e-21,2.244741778023276e-16,2.1502626799960489e-16,9.447909802722637e-18,2.634259833933338e-35,3.684912270174342e-16,2.8116977613991005e-39,3.773098400999491e-40,1.7815333098305295e-42,5.158225920957601e-56,2.0007518879618227e-37,1.8699986098604352e-37,1.2681379558683966e-36,9.314645742162542e-37,1.4064995772207932e-40,4.527488371726309e-44,6.568875196073987e-25,7.41520053283012e-38,1.5849086657556394e-58,3.24609918237392e-57,7.614443969165484e-52,1.145841429040411e-63,1.4062035598480139e-41,2.715285283515638e-49,1.7697408413660727e-23,2.8086997882193945e-58,1.0297439122380441e-41,3.233212131852601e-23,8.375397249282885e-59,2.439390718490605e-22,1.6355809518078176e-35,5.425556629445146e-43,8.287862727796986e-22,1.83449838206573e-41,6.344845679829243e-39,6.568875200062225e-25,1.0316074443440517e-53,4.138944451076379e-73,5.820992723712194e-58,2.397321657315488e-73,7.047759709968436e-73,9.479508348663476e-21,9.869889472380545e-41,7.179601403043796e-90,5.333874405718179e-94,1.916684720903237e-78,6.041588608269664e-37,2.7091543531799126e-57,1.7501282603914327e-43,3.962919316927402e-77,3.0155940334885448e-71,1.5948319982017194e-61,5.692950410519482e-57,3.506952395884441e-94,2.5758923094262123e-58,6.224747780243e-41
2.2642443957158845e-22,0.8506920390574544,2.8914252490695715e-26,3.9056805662146293e-26,1.985170029590635e-39,5.009175445081796e-41,0.0,0.0,3.0036020507081903e-21,1.359806822848545e-38,3.5632644733992474e-52,3.743274028603302e-52,1.1400278288170646e-48,1.6228371263138945e-63,7.52092315623934e-43,7.199637907965516e-37,9.052993969187435e-23,1.2087009079317447e-36,8.688721313222304e-61,2.3991782122010677e-58,6.227011543879779e-35,1.2390049594331447e-54,4.9552743558249305e-23,5.039271995073519e-57,5.526401777649957e-41,4.129452273507717e-54,2.4136843691872128e-33,6.398897800562549e-41,2.177622466255894e-60,1.288350838318398e-60,5.782994552337931e-57,2.255841021758117e-59,7.913440917211036e-49,3.9683687087368733e-61,3.76,0.0,0.9229356958067426,0.999999999999999,6.279671427338654e-53,2.654262337625772e-20,6.285276978465169e-16,6.020735503988961e-16,2.6454147447620778e-17,1.5910929396955584e-34,1.031775435648576e-15,1.698265447885281e-38,2.2789514342041693e-39,1.076046119138657e-41,6.123845813365289e-55,1.2084541403293811e-36,1.1294791603554483e-36,7.659553253444481e-36,5.6260460282657146e-36,8.49525744648853e-40,2.734602976527108e-43,1.8392850549032664e-24,4.4787811218293525e-37,1.8816035679852918e-57,3.853768949314095e-56,9.039867880191875e-51,1.3605082162920734e-62,8.493469501634212e-41,1.640032311245719e-48,4.955274355825002e-23,3.3363319691243336e-57,6.219653229917789e-41,9.052993969187279e-23,9.943271614511367e-58,6.830294011773417e-22,9.878908948919002e-35,3.2770362041858436e-42,2.3206015637831285e-21,1.1080370227681042e-40,3.8322867906166993e-38,1.8392850573121636e-24,1.2247243579251891e-52,9.258653179279302e-72,6.910692776269069e-57,5.362719150056028e-72,2.079971659873772e-71,2.654262337625772e-20,5.9614132413184755e-40,3.885782658256955e-88,2.8868283214542192e-92,4.287547053271547e-77,3.6491195193947656e-36,3.2163080480946474e-56,1.0570774692800838e-42,8.864891995216056e-76,6.745763229151229e-70,2.4101101156993395e-60,6.758670727368584e-56,1.898051721573405e-92,3.0593998415388985e-57,3.759747659266138e-40
5.175415761636307e-22,0.8506920390574545,6.608972026150102e-26,8.92726986563843e-26,9.557739149234938e-39,2.4117023586725088e-40,0.0,0.0,6.865376115904426e-21,6.546884504707885e-38,3.4984346712300216e-51,3.6751686386219e-51,1.1192860826052452e-47,1.5933111139077953e-62,3.6210007513812106e-42,3.4663157344972e-36,2.0692557643857379e-22,5.8193745699861586e-36,8.530638109438808e-60,2.3555273956720305e-57,2.9980380082126153e-34,1.2164624163708925e-53,1.132634138474251e-22,4.947587127238586e-56,2.660724564471185e-40,4.0582118246774673e-53,1.1620851234429092e-32,3.08079386499039e-40,2.342586878601773e-59,1.382483242290719e-59,5.677778344178967e-56,2.4267308427009798e-58,7.76946321858135e-48,3.896704116053997e-60,3.76,0.0,0.9229356958067418,0.9999999999999977,6.16541864556259e-52,6.06688534314462e-20,1.436634737934895e-15,1.3761681151974885e-15,6.046662273740665e-17,7.660427597075476e-34,2.358343852909899e-15,8.176417090151891e-38,1.0972170150113518e-38,5.180698865002437e-41,6.012428133481899e-54,5.818186490199537e-36,5.437955957470324e-36,3.687745175664347e-35,2.7086989818201764e-35,4.090100770670426e-39,1.3165936185045713e-42,4.2040801255052015e-24,2.15634031494694e-36,1.847369540805384e-56,3.7836532069743484e-55,8.875395890454985e-50,1.3360870134760505e-61,4.089239952266253e-40,7.896049604497574e-48,1.1326341384742857e-22,3.276438357530201e-56,2.9944952967882356e-40,2.0692557643856626e-22,9.762363034268401e-57,1.5612100598337943e-21,4.756269407856812e-34,1.577751867844084e-41,5.3042321457898786e-21,5.3347212950530695e-40,1.845081123694098e-37,4.204080137103008e-24,1.2024416371272137e-51,1.829353846575342e-70,6.784963623601393e-56,1.0595835607807598e-70,4.554778112781119e-70,6.066885343144621e-20,2.8701638585692015e-39,1.7092520174934166e-86,1.2698386828499536e-90,8.471470463791493e-76,1.756893967284651e-35,3.1577903140648148e-55,5.089372981272123e-42,1.7515532720569965e-74,1.3328491382470315e-68,2.5926864829016445e-59,6.63570299850106e-55,8.349022628713441e-91,3.0043067742079863e-56,1.8101566544937136e-39
1.0997758493477153e-21,0.8506920390574548,1.4044065676280886e-25,1.897044846450297e-25,4.174115790887898e-38,1.0532537887023844e-39,0.0,0.0,1.4588924246296863e-20,2.859196465260998e-37,3.094326039411234e-50,3.250645040948323e-50,9.899958645524311e-47,1.4092656365769845e-61,1.5813861603347691e-41,1.513831149522412e-35,4.397168499319857e-22,2.541473763379747e-35,7.545252802644625e-59,2.0834373059733253e-56,1.3093219636969678e-33,1.0759472312818908e-52,2.4068475442577025e-22,4.376084784401007e-55,1.1620083207972337e-39,3.5909877279215485e-52,5.075131041169082e-32,1.3454636409815128e-39,2.153240933613807e-58,1.269484066646389e-58,5.021930646634733e-55,2.2305837548904926e-57,6.872002230461514e-47,3.4475444901520674e-59,3.76,0.0,0.9229356958067402,0.999999999999995,5.453242970976866e-51,1.28921313541823e-19,3.0528488181116485e-15,2.924357244794712e-15,1.2849157331693667e-16,3.345509989092578e-33,5.011480687428702e-15,3.570856156980245e-37,4.791834969276512e-38,2.2625473035005386e-40,5.317924595499262e-53,2.5409548977182665e-35,2.374898234518801e-35,1.610535203951881e-34,1.1829600092539283e-34,1.7862544631864877e-38,5.749910232159899e-42,8.933670266749873e-24,9.417304676693644e-36,1.6339774380487163e-55,3.346598413058758e-54,7.850187154441806e-49,1.1823399403931193e-60,1.7858785212427758e-39,3.448412310100097e-47,2.406847544257855e-22,2.898293453850437e-55,1.3077747685423201e-39,4.397168499319527e-22,8.63469954917948e-56,3.3175713771462574e-21,2.0771878087955946e-33,6.890456919410045e-41,1.1271493309802934e-20,2.329812945229543e-39,8.057954013380601e-37,8.933670317400539e-24,1.063546010820496e-50,3.25523742797903e-69,6.0012252654270915e-55,1.8854728413028235e-69,8.468700919475965e-69,1.2892131354182305e-19,1.2534759629932994e-38,6.382454488217824e-85,4.741657472226847e-89,1.5074529061384253e-74,7.672817532500744e-35,2.79302977195081e-54,2.2226628907522612e-41,3.116795462524673e-73,2.3717338276523525e-67,2.38312555842123e-58,5.869204155228224e-54,3.117577537042678e-89,2.657501638588144e-55,7.90542968089878e-39
2.2642443957158844e-21,0.8506920390574554,2.8914253360421375e-25,3.905680566229981e-25,1.7426111751693964e-37,4.397127297728689e-39,0.0,0.0,3.003602050708161e-20,1.1936582408514727e-36,2.6009675591455725e-49,2.7323630230543277e-49,8.321511758814336e-46,1.1845726821671659e-60,6.601975922907597e-41,6.31994705099752e-35,9.052993969188615e-22,1.0610152672073913e-34,6.3422396183096956e-58,1.7512545921862044e-55,5.4661614578929926e-33,9.043984785770889e-52,4.955274355824349e-22,3.6783629401773537e-54,4.851155997532875e-39,3.019054262079388e-51,2.118767305532226e-31,5.617046016865178e-39,1.8421429522184982e-57,1.0855910700653557e-57,4.221235302519811e-54,1.9083114011993094e-56,5.776331943895186e-46,2.8994734749027157e-58,3.76,0.0,0.922935695806737,0.9999999999999897,4.583779299723567e-50,2.654262337625762e-19,6.285276978465144e-15,6.020735503989315e-15,2.6454147447582997e-16,1.3966845639489704e-32,1.0317754356450942e-14,1.490762153096839e-36,2.0004967722163415e-37,9.445689608863367e-40,4.4700360515394e-52,1.060798651003425e-34,9.914732629444455e-35,6.723667442005391e-34,4.938625172488149e-34,7.457260759469261e-38,2.400474334749894e-41,1.839285054940243e-23,3.9315393225059823e-35,1.373456491207512e-54,2.813017613855675e-53,6.598555312558899e-48,9.948127383568374e-60,7.45569127643619e-39,1.4396442573517048e-46,4.955274355824984e-22,2.436317488155542e-54,5.459702222686145e-39,9.05299396918724e-22,7.257985251793367e-55,6.830294011769418e-21,8.671850206482048e-33,2.8766301249449994e-40,2.3206015637827286e-20,9.726510421766836e-39,3.36403717944318e-36,1.8392850760858993e-23,8.939745055486338e-50,5.490433717788941e-68,5.0443921413396247e-54,3.180125939920833e-68,1.4579714912280166e-67,2.654262337625763e-19,5.233015398264897e-38,2.2025782221481304e-83,1.6363409256560722e-87,2.5425396601503842e-73,3.20325028010302e-34,2.3477098159896145e-53,9.279180037089563e-41,5.256931108055982e-72,4.0002757602328454e-66,2.0388140887962616e-57,4.933419738547908e-53,1.0758726758826137e-87,2.2338799861450908e-54,3.300361273075993e-38
4.593181488452223e-21,0.8506920390574563,5.8654630264218e-25,7.9229520058164495e-25,7.119135251469578e-37,1.7963700275981162e-38,0.0,0.0,6.093021302865057e-20,4.8764833949714935e-36,2.132430379148314e-48,2.2401562888523962e-48,6.822478104430672e-45,9.711842537070178e-60,2.697122581676148e-40,2.5819045851262436e-34,1.8364644908928207e-21,4.334593567359712e-34,5.199751224512959e-57,1.4357843210212375e-54,2.233105312007544e-32,7.414805141930957e-51,1.005212797895662e-21,3.015744175685372e-53,1.981855514314503e-38,2.475446912983354e-50,8.655855779834924e-31,2.294746717179645e-38,1.5231194164465183e-56,8.974003029455999e-57,3.4608237373039714e-53,1.5778288309363075e-55,4.735785918875219e-45,2.3797949386238335e-57,3.76,0.0,0.9229356958067305,0.999999999999979,3.758059210276596e-49,5.384360742040806e-19,1.2750133299172091e-14,1.221349202237914e-14,5.366412767929495e-16,5.705912170671924e-32,2.0930301694433953e-14,6.090249819126559e-36,8.172682060555087e-37,3.858872410545465e-39,3.664805623300917e-51,4.333708619452149e-34,4.050491788871976e-34,2.74683753792169e-33,2.0175895263299306e-33,3.0465343451277242e-37,9.806720913206628e-41,3.731121111536038e-23,1.6061620962126718e-34,1.12604261224e-53,2.3062817952022257e-52,5.409894313141359e-47,8.172221565188447e-59,3.045893160569766e-38,5.8814165357747205e-46,1.0052127978959215e-21,1.9974908928403741e-53,2.2304665036641236e-38,1.8364644908922595e-21,5.950534820109471e-54,1.3855739281008666e-20,3.5427337648512643e-32,1.175197268175476e-39,4.7075060293868943e-20,3.9735968755355513e-38,1.3743189536317999e-35,3.7311211979229426e-23,7.329343113126973e-49,9.018053868199788e-67,4.1356977272736114e-53,5.223366730522469e-67,2.4186618766119065e-66,5.384360742040811e-19,2.1378575392829088e-37,7.316311501985825e-82,5.4354391663152104e-86,4.176129026562823e-72,1.3086322589043246e-33,1.9247943497952495e-52,3.7908478175558065e-40,8.634525130906623e-71,6.570464948236084e-65,1.6857309156674735e-56,4.044715566326129e-52,3.573729892567141e-86,1.8315054861316416e-53,1.3483052681842658e-37
9.251055673924899e-21,0.8506920390574583,1.181353902138738e-24,1.59574948850978e-24,2.8776682945330338e-36,7.261215284749125e-38,0.0,0.0,1.2271859807178646e-19,1.9711525565088256e-35,1.7268974203140012e-47,1.8141366429002447e-47,5.525019653642837e-44,7.864901883031492e-59,1.0902200707922296e-39,1.0436471144101744e-33,3.698794678841571e-21,1.752112024164413e-33,4.210893359844189e-56,1.162735368387137e-53,9.026568713969776e-32,6.004701445757767e-50,2.024583522521707e-21,2.4422278219175174e-52,8.010976860292666e-38,2.0047783656897242e-49,3.498835301426234e-30,9.275734257822724e-38,1.238575414127851e-55,7.296769018841813e-56,2.8026647903887994e-52,1.2830643011198346e-54,3.8351622206360767e-44,1.9314817042763675e-56,3.76,0.0,0.9229356958067176,0.9999999999999578,3.043373782862028e-48,1.0844557550870818e-18,2.56798459405858e-14,2.459900505916128e-14,1.0808408814245202e-15,2.3064209290633547e-31,4.2155396370154106e-14,2.461776351618539e-35,3.303528758842795e-36,1.5598179264543305e-38,2.9678546103258386e-50,1.7517543140433995e-33,1.637273542841307e-33,1.1103156509784998e-32,8.155419450214144e-33,1.2314578925639821e-36,3.964033389309636e-40,7.514793224988761e-23,6.492363996114534e-34,9.11898502021501e-53,1.8676867921444354e-51,4.381072675740361e-46,6.644226630508422e-58,1.2311987158956092e-37,2.3773625996324207e-45,2.024583522522755e-21,1.6176401065273635e-52,9.015902228722205e-38,3.698794678839303e-21,4.818897378096226e-53,2.7906629819458916e-20,1.432029631191341e-31,4.750335255888978e-39,9.481314960592402e-20,1.6061913894585993e-37,5.555216945267233e-35,7.514793574178446e-23,5.935492079051273e-48,1.4618653934645528e-65,3.3491953566314315e-52,8.467302820026585e-66,3.940022201912302e-65,1.084455755087084e-18,8.641561987824662e-37,2.3850703158233677e-80,1.7719180772305898e-84,6.769685113665721e-71,5.289700822782451e-33,1.5587483681185025e-51,1.5323212984723134e-39,1.3996937325277603e-69,1.0651006821573567e-63,1.370808385120158e-55,3.275515531941126e-51,1.1650128731078317e-84,1.483214872182103e-52,5.450065469434599e-37
1.8566804044870253e-20,0.850692039057462,2.3709693468143575e-24,3.202658064409414e-24,1.1570977653572961e-35,2.9197030664417756e-37,0.0,0.0,2.462953681580499e-19,7.925917735282563e-35,1.3899572857683442e-46,1.4601749968710365e-46,4.4470164830742455e-43,6.330357266448348e-58,4.383726955025269e-39,4.196459145771588e-33,7.423455054742398e-21,7.045165388873862e-33,3.389293324426795e-55,9.358705801717525e-53,3.6295435796073753e-31,4.833106120792116e-49,4.063324971772156e-21,1.965717420097335e-51,3.2211785619666947e-37,1.6136589122332513e-48,1.4068662862587555e-29,3.7297328564866174e-37,9.989559419709718e-55,5.884813731690565e-55,2.255828449639592e-51,1.0348380019150612e-53,3.0868722067234013e-43,1.5614855057044014e-55,3.76,0.0,0.9229356958066918,0.9999999999999154,2.4495719881608176e-47,2.176495116853054e-18,5.1539271223412495e-14,4.93700311327355e-14,2.1692400906769883e-15,9.274017115615254e-31,8.460558572061094e-14,9.898694437086886e-35,1.3283343845015432e-35,6.271959279392398e-38,2.3887875880259136e-49,7.04372705198735e-33,6.58340490575708e-33,4.464530399102931e-32,3.2792582920749655e-32,4.9516380274894215e-36,1.5939203915614545e-39,1.5082137452938745e-22,2.6105510083818832e-33,7.339752478089492e-52,1.5032768153904434e-50,3.526268434106941e-45,5.389946526555685e-57,4.9505958925738175e-37,9.559270453819658e-45,4.063324971776371e-21,1.3020255552797216e-51,3.625254632790729e-37,7.423455054733275e-21,3.878667848896409e-52,5.600841089624638e-20,5.7581281640605405e-31,1.9100889136968932e-38,1.9028932822992131e-19,6.458424934303419e-37,2.233728300953707e-34,1.5082138857015103e-22,4.777400401342345e-47,2.3542891493663112e-64,2.69572384111532e-51,1.3636330366897324e-64,6.360746724051337e-64,2.1764951168530623e-18,3.474734068358794e-36,7.703163523448796e-79,5.722839535781587e-83,1.0902369177765194e-69,2.126965435886978e-32,1.2546162946901892e-50,6.161396548620084e-39,2.254163606446608e-68,1.7153118133664078e-62,1.1056066242048253e-54,2.636419863513265e-50,3.7626918623003614e-83,1.1938260558483418e-51,2.1914473549757053e-36
3.7198300786760964e-20,0.8506920390574699,4.750201218895609e-24,6.4164752163821374e-24,4.6404795682832856e-35,1.17093178640138e-36,0.0,0.0,4.934489083305435e-19,3.1786475071829106e-34,1.115353187961463e-45,1.1716984769317584e-45,3.5684506643128034e-42,5.079713034325098e-57,1.7580705759375886e-38,1.6829678086738134e-32,1.487277580655735e-20,2.8254264239788243e-32,2.719694457028585e-54,7.509772015220688e-52,1.4556093107361255e-30,3.8782632835871936e-48,8.140807870266499e-21,1.5773644330683733e-50,1.291836674080476e-36,1.294875215121658e-47,5.642163044158978e-29,1.4957904197902208e-36,8.024157381474123e-54,4.7268848517714945e-54,1.810160263735991e-50,8.312384184783593e-53,2.4770205414470954e-42,1.2640048264787744e-54,3.76,0.0,0.92293569580664,0.9999999999998305,1.9656272521268704e-46,4.360573840384875e-18,1.03258121789063e-13,9.891208327992372e-14,4.346038509139231e-15,3.7192956538583665e-30,1.6950596441759065e-13,3.9698191992704455e-34,5.327214994071219e-35,2.5153361915955838e-37,1.916851598995864e-48,2.824849586377617e-32,2.640239817108398e-32,1.7904763710225826e-31,1.3151292435192227e-31,1.985828318833493e-35,6.392333669862382e-39,3.021682591301685e-22,1.0469477141074737e-32,5.889689122287388e-51,1.2062849712741413e-49,2.829608341681483e-44,4.392649555573224e-56,1.9854103785832656e-36,3.8336950015271114e-44,8.140807870283399e-21,1.0447967335717411e-50,1.4538892512255858e-36,1.4872775806520766e-20,3.1123866858441054e-51,1.1221197304936919e-19,2.3092669323580908e-30,7.660310852371461e-38,3.812416854774643e-19,2.5901172588945146e-36,8.958249546172942e-34,3.021683154399106e-22,3.8335629518793014e-46,3.779155481099993e-63,2.163148629595522e-50,2.1889330396513216e-63,1.022279715135899e-62,4.360573840384911e-18,1.3935237727114644e-35,2.4764250533742794e-77,1.8397874015795556e-81,1.7500717040775838e-68,8.530082706413488e-32,1.0067505634907746e-49,2.4709955923171663e-38,3.618431811450056e-67,2.7534553446409436e-61,8.88083367091192e-54,2.115560904539665e-49,1.20963606281181e-81,9.579724996965342e-51,8.78868404203594e-36
