Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CHF2(1),O2(2),H2O(3),CH4(4),HF(38),CH2CHF(56),C2H3F(124),C2H3F(139),O2(143),S(285),S(141),S(377),S(145),CHFO(47),S(284),CH2CF(70),C2H2F(71),CH2CFO(79),CH2F(46),C2H4F(63),C2H4F(62),C1OO1(734),CH2O2(778),CHO2(166),C2H2O(133),S(338),S(376),CH2F2(41),CH3O2(183),C2H2O(373),S(1537),CHF2(81),C2H3F2(64),CH2CF2(57),CH3F(39),C2H3F2(65),S(3087),CF2CH(73),C2HF2(72),C2HF(58),C2HF(4088),S(3189),S(4414),CF2(43),CF2O(49),S(4555),S(5169),C2F(4087),F(37),C2H3F2(66),S(4570),CHF3(42),CHO2(165),S(459),C2H2F2(59),CHF2O(616),CHFO2(172),S(4185),S(3185),CFO(51),C#CC(5436),CFO3(6311)
0.0,0.7210121567821578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.9214404666389384,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.115359842159969e-22,0.7210121567821577,2.199632865078894e-27,1.821521812839639e-28,3.620476197071887e-41,3.6137568258872493e-42,0.0,0.0,3.6962384015486994e-22,8.384736705256258e-40,1.927110389441259e-53,2.2044048294877457e-53,1.1920460825037215e-50,9.084396860551091e-67,1.4254777723788386e-45,1.927795475325135e-38,2.5846925166462325e-24,2.688020544355964e-38,1.9436357915680796e-64,5.663442938589456e-63,2.0989998829733606e-37,8.860527111574001e-58,6.3801177241376765e-25,5.7927347996270035e-59,8.035646843229218e-43,3.8254542382813453e-57,9.59043460851048e-36,5.524815265943649e-44,9.452730618682779e-63,1.393188180724236e-63,8.960644919525162e-59,7.878463071898082e-63,6.172909159303671e-51,2.0477135556557099e-63,3.76,0.0,0.9214404666389383,0.9999999999999994,3.367653821467001e-54,7.083050006208085e-22,3.5127208583190296e-17,3.365205690987767e-17,1.475151673312628e-18,1.4475854073557296e-36,4.874745554475671e-16,6.854573344095218e-41,3.0649613771825074e-42,5.706378545476322e-44,1.6640229662022554e-56,2.6874535234377026e-38,2.575167830904569e-38,1.1891571988123303e-37,7.359043776787765e-38,2.3168208108511964e-42,2.1945185125480597e-46,1.4591824197916242e-26,1.755543038733676e-39,9.991803417509499e-59,2.8687012163056287e-57,5.279343859005701e-52,5.0945596995160207e-67,1.5382187452495844e-43,6.296180625699754e-52,6.380117724137868e-25,6.482655789171718e-42,3.5708125848931546e-63,5.538041259788505e-60,2.5846925166461917e-24,7.249770418115458e-23,3.6528870882855e-36,1.2579279850148563e-44,2.971283356065727e-22,2.3222827542626216e-38,3.732074883836206e-59,2.6254417848062272e-74,1.274018151658217e-54,6.56669568274546e-75,8.497199220497548e-74,5.152420485104542e-90,7.083050006208085e-22,2.62275020034474e-41,3.21860478636476e-94,2.903754088692882e-94,3.486703569635394e-80,1.4591824207484697e-26,1.5769319424001449e-37,1.632097677308544e-60,5.20577576918481e-45,2.2140763612250144e-71,3.955363510942786e-62,4.55947871403943e-52,6.681845294539192e-42,1.9512275965839342e-81,4.253207642325761e-68,6.486090325725725e-59,6.946825961457735e-60,2.12953864342677e-77,1.0398538279891964e-78
8.723007558047913e-22,0.7210121567821577,6.158972034206354e-27,5.100261075953574e-28,2.186767623091415e-40,2.182709126386311e-41,0.0,0.0,1.0349467524336356e-21,5.064380969974779e-39,2.2878654608355805e-52,2.617069413602669e-52,1.4151971091481408e-49,1.078499595284538e-65,8.609885745167623e-45,1.1643884670963125e-37,7.237139046609582e-24,1.623564408793917e-37,2.3074844123604896e-63,6.7236394566938175e-62,1.2677959293159896e-36,1.0519217786861513e-56,1.7864329627584865e-24,6.877134754117146e-58,4.853530693310423e-42,4.548587012278796e-56,5.792622503539107e-35,3.3369885208222288e-43,1.4284966510953888e-61,2.104357468277754e-62,1.0638077648460593e-57,1.190593378462994e-61,7.328477753923917e-50,2.431325962700925e-62,3.76,0.0,0.9214404666389383,0.9999999999999987,3.998078617038714e-53,1.9832540017382635e-21,9.835618403293282e-17,9.422575934765849e-17,4.130424685274329e-18,8.743415860426252e-36,1.364928755251887e-15,4.140162299835299e-40,1.8512366718198846e-41,3.446652641469381e-43,1.9755280654752027e-55,1.6232219281585912e-37,1.555401369864994e-37,7.1825094808249526e-37,4.444862441178883e-37,1.3993597700659325e-41,1.3254891815837614e-45,4.085710775423565e-26,1.0603479953951454e-38,1.186226901728455e-57,3.4057220839973944e-56,6.267637029407732e-51,6.121503344961504e-66,9.290841228101878e-43,3.802893097939771e-51,1.7864329627586033e-24,3.915524096659733e-41,4.7833988867730625e-62,6.574762588023614e-59,7.237139046609336e-24,2.0299357170722643e-22,2.2063438013244066e-35,7.597885029497613e-44,8.319593396983972e-22,1.4026587835745468e-37,4.4307246531503835e-58,5.873011522005002e-73,1.5125143496483534e-53,1.4689435574471636e-73,2.175942373958277e-72,2.4264792444951844e-88,1.983254001738264e-21,1.5841411210083023e-40,1.5157687018991729e-92,1.3674930156991201e-92,7.799616417130235e-79,4.085710781202916e-26,9.524668932096566e-37,1.9376263625003055e-59,3.1442885646054853e-44,4.9528002570024625e-70,4.700446124112801e-61,5.413013129307451e-51,4.03583455790087e-41,6.134971760141889e-80,5.0494081161218746e-67,7.700286434713289e-58,8.249614283239285e-59,6.695610221117167e-76,2.3267425773805376e-77
1.9938302989823803e-21,0.7210121567821577,1.4077650420403072e-26,1.165773960219178e-27,1.052834478198494e-39,1.0508804902936308e-40,0.0,0.0,2.365592576991167e-21,2.4382814338885184e-38,2.2462398791562726e-51,2.5694542693588498e-51,1.389448913765477e-48,1.0588772980655642e-64,4.1452893620768204e-44,5.606029242244457e-37,1.6542032106536797e-23,7.816763743030637e-37,2.2655018805429826e-62,6.601309089221147e-61,6.103891659687729e-36,1.0327830401253318e-55,4.083275343447674e-24,6.752011682445129e-57,2.3367661020110166e-41,4.4689004621385015e-55,2.788898384153013e-34,1.6066164296248087e-42,1.5367115112181786e-60,2.263417676999541e-61,1.0444527718198926e-56,1.2807861349674247e-60,7.195142916079953e-49,2.387684251694339e-61,3.76,0.0,0.9214404666389382,0.9999999999999969,3.925337294588446e-52,4.533152003973173e-21,2.248141349324179e-16,2.1537316422322426e-16,9.440970709193611e-18,4.2095783645869253e-35,3.1198371548553236e-15,1.993309928465519e-39,8.912907684871005e-41,1.659414881027038e-42,1.939585169404992e-54,7.815114846189896e-37,7.488588052249993e-37,3.4580691341439735e-36,2.1400099302884913e-36,6.737314922632109e-41,6.381659834560584e-45,9.338767486715514e-26,5.105119156637607e-38,1.1646446063502615e-56,3.34375813772383e-55,6.153603202045145e-50,6.15724068653394e-65,4.473140121377122e-42,1.830929325979166e-50,4.083275343448236e-24,1.8851563034911576e-40,4.934804013058925e-61,6.455140906057526e-58,1.6542032106535622e-23,4.639853067593449e-22,1.0622595652733698e-34,3.658054580434803e-43,1.9016213478820187e-21,6.753198249394547e-37,4.3501140831046095e-57,1.1604084230396597e-71,1.4849955575719426e-52,2.9023849313539915e-72,4.542577094397657e-71,1.0158734391101608e-86,4.533152003973175e-21,7.62695758260369e-40,6.345939976971153e-91,5.725166765660418e-91,1.541072769246584e-77,9.338767514540601e-26,4.5857180884991555e-36,1.902373052669598e-58,1.5138395937052215e-43,9.785898689596832e-69,4.616958470610507e-60,5.31452838908386e-50,1.943080611650792e-40,1.368678451279362e-78,4.957538837668146e-66,7.560186883700884e-57,8.100546693243511e-58,1.4937538078310995e-74,4.597859786230238e-76
4.236889385337558e-21,0.7210121567821578,2.99150073845637e-26,2.4772696654709538e-27,4.598004771211169e-39,4.589471223908196e-40,0.0,0.0,5.0268842261062255e-21,1.0648615615675432e-37,1.9867737363998386e-50,2.272653203235346e-50,1.2289518292162282e-47,9.365649787348066e-64,1.810356770920255e-43,2.4483002536618515e-36,3.515181822639331e-23,3.413786091376911e-36,2.0038107596446024e-61,5.838783131970862e-60,2.665729851377404e-35,9.134849030953923e-55,8.676960104825049e-24,5.972077869023229e-56,1.020527149090069e-40,3.9539114018654074e-54,1.2179851952789352e-33,7.01651694072852e-42,1.4125026308888687e-59,2.0803424653006295e-60,9.238066486233946e-56,1.1772633225746448e-59,6.364022426866402e-48,2.112936362905099e-60,3.76,0.0,0.921440466638938,0.9999999999999933,3.471916384092996e-51,9.632948008442991e-21,4.777300367313879e-16,4.576679739743722e-16,2.006206275701569e-17,1.8384334673381216e-34,6.629653954041386e-15,8.705308147027872e-39,3.892500949046641e-40,7.247100752780999e-42,1.7155411172351264e-53,3.4130659747999335e-36,3.2704631452276186e-36,1.5102296424892998e-35,9.345985596506083e-36,2.9423624346135955e-40,2.7870385110091396e-44,1.984488090941169e-25,2.229539659191848e-37,1.030114965142803e-55,2.957516205958227e-54,5.442792344855525e-49,5.705733985145507e-64,1.9535378169978966e-41,7.996149394904022e-50,8.676960104827504e-24,8.23297285224831e-40,4.459471108498233e-60,5.709499045852124e-57,3.515181822638819e-23,9.859687768634802e-22,4.639166602122032e-34,1.597568540980752e-42,4.0409453642491534e-21,2.9492990979123337e-36,3.8476275742552494e-56,2.0648850440386532e-70,1.313461753631716e-51,5.164638911508441e-71,8.282070483856415e-70,3.7174082902238486e-85,9.632948008442996e-21,3.330892754439043e-39,2.322183942549117e-89,2.0950230194171396e-89,2.7422566536700483e-76,1.9844881030931152e-25,2.0027035668477017e-35,1.682627421395404e-57,6.611335227133873e-43,1.7413483859523404e-67,4.084454716145843e-59,4.700640175025037e-49,8.485943524052312e-40,2.563383264758104e-77,4.384886971455747e-65,6.686899682282583e-56,7.165249470845434e-57,2.7976355651318292e-73,8.182139662269259e-75
8.723007558047913e-21,0.7210121567821578,6.158972207995376e-26,5.100261075991045e-27,1.919576480524392e-38,1.9160139186136694e-39,0.0,0.0,1.0349467524336332e-20,4.445587401126853e-37,1.6700030380139109e-49,1.9103019551680358e-49,1.0330080623571238e-46,7.872392968993495e-63,7.557883149144775e-43,1.0221171610164244e-35,7.237139046611465e-23,1.425188492657839e-35,1.6843236860005773e-60,4.907849035499452e-59,1.1128897379535883e-34,7.678391026466381e-54,1.78643296275758e-23,5.019891293599555e-55,4.260499956279754e-40,3.323984338904094e-53,5.084848429415191e-33,2.929258451685398e-41,1.2084257390162875e-58,1.7797278163127166e-59,7.765151516941847e-55,1.007173909715662e-58,5.349344310889073e-47,1.7778279558703208e-59,3.76,0.0,0.9214404666389374,0.9999999999999863,2.9183549195448834e-50,1.9832540017382623e-20,9.835618403293277e-16,9.422575934767337e-16,4.1304246852593935e-17,7.675097829767178e-34,1.3649287552330258e-14,3.634294787063436e-38,1.6250425222044403e-39,3.025521904835006e-41,1.442015678142051e-52,1.4248878581572705e-35,1.3653539839265348e-35,6.304911468081732e-35,3.90176501043993e-35,1.22837839826256e-39,1.1635337154187394e-43,4.0857107755253124e-25,9.30788919136666e-37,8.658736972963048e-55,2.4859705748233343e-53,4.5749949186672553e-48,5.232401020381185e-63,8.155635882091115e-41,3.3382349679848072e-49,1.7864329627586043e-23,3.4371040994190514e-39,3.78599851948696e-59,4.799177999070733e-56,7.237139046609328e-23,2.0299357170713447e-21,1.9367607342084737e-33,6.669534176655288e-42,8.319593396982989e-21,1.2312743163089657e-35,3.2341631823308376e-55,3.4827306412019926e-69,1.1040437459332465e-50,8.710918403738047e-70,1.4130714750467249e-68,1.2710233837671714e-83,1.983254001738264e-20,1.390582156223882e-38,7.939806074426018e-88,7.163117525166715e-88,4.625216663066158e-75,4.085710826257297e-25,8.360893158601222e-35,1.4143497335880034e-56,2.7601023130630136e-42,2.937038573721438e-66,3.433550356840414e-58,3.951171301925231e-48,3.5427143751534645e-39,4.427607121785716e-76,3.685761728752672e-64,5.620742098959193e-55,6.022985548874786e-56,4.832219715938036e-72,1.3800769515428132e-73
1.7695243903468622e-20,0.7210121567821578,1.2493915453900899e-25,1.0346243897097383e-26,7.842096268991124e-38,7.827542254483997e-39,0.0,0.0,2.0994634120796505e-20,1.8161675093053133e-36,1.3691693881154995e-48,1.566180958791495e-48,8.469224212358145e-46,6.454263385921345e-62,3.0876418740768343e-42,4.17568211136511e-35,1.4681053494559058e-22,5.822360020237868e-35,1.3809103266701565e-59,4.02375115905596e-58,4.5465177065250366e-34,6.2952088723519355e-53,3.6239068673061277e-23,4.115610171549913e-54,1.7405532488305035e-39,2.725395666035558e-52,2.0773264979273557e-32,1.1966982692352818e-40,9.991497696817445e-58,1.4714942328812107e-58,6.366340364282515e-54,8.327514473953244e-58,4.385715659822186e-46,1.4604859261032086e-58,3.76,0.0,0.9214404666389364,0.9999999999999724,2.392643682701861e-49,4.0231724035261873e-20,1.9952254475252064e-15,1.9114368324817193e-15,8.378861504348671e-17,3.135527895720948e-33,2.768855474857501e-14,1.4847280046448083e-37,6.638828941620591e-39,1.2360244184842168e-40,1.1822515758572901e-51,5.821131830165897e-35,5.577916528291084e-35,2.575762058897475e-34,1.5939983182163785e-34,5.018326585959564e-39,4.753414879476205e-43,8.288156144873242e-25,3.802576443619291e-36,7.098955709467838e-54,2.038148873249267e-52,3.750857243834064e-47,5.005308288196178e-62,3.331843411205424e-40,1.3637779084512519e-48,3.623906867310315e-23,1.4041691745579258e-38,3.1189307319916478e-58,3.93465612352537e-55,1.468105349455033e-22,4.1178695974854485e-21,7.912299548705706e-33,2.7247223327515837e-41,1.6876889462448935e-20,5.030157337033898e-35,2.651562523709483e-54,5.720395699564685e-68,9.051617664267005e-50,1.4307709635344544e-68,2.3340586988458295e-67,4.203154745637068e-82,4.023172403526195e-20,5.68098184396404e-38,2.6256191669856605e-86,2.368775571208222e-86,7.596932257718849e-74,8.28815635212995e-25,3.415697664512732e-34,1.1595693630029368e-55,1.1275918549123239e-41,4.824094676653025e-65,2.8151594010382774e-57,3.2394089530317545e-47,1.4473144181688713e-38,7.35653545435414e-75,3.0218101823478033e-63,4.6082239637749053e-54,4.938071765563597e-55,8.028805329999988e-71,2.266812105565947e-72
3.563971659431005e-20,0.7210121567821582,2.516380317302201e-25,2.0838209539574685e-26,3.169900699222306e-37,3.1640179063322216e-38,0.0,0.0,4.228496731371669e-20,7.341239452813596e-36,1.108788868745075e-47,1.2683339469990477e-47,6.858597346586703e-45,5.2268298279829855e-61,1.248074212645297e-41,1.6878774728232717e-34,2.956888239046755e-22,2.353491011850259e-34,1.118296995317847e-58,3.258538011404106e-57,1.837775149545306e-33,5.098023359156877e-52,7.298854676396822e-23,3.332927821319951e-53,7.035594522293033e-39,2.2071729317380994e-51,8.396885840493286e-32,4.837250690645784e-40,8.124919992466439e-57,1.1965871016935666e-57,5.155627485515728e-53,6.771805938174373e-57,3.551666248656907e-45,1.1874610200461365e-57,3.76,0.0,0.9214404666389344,0.9999999999999443,1.9376248878540743e-48,8.103009207102027e-20,4.018552661916958e-15,3.84979531049274e-15,1.6875735142421753e-16,1.2674305082165802e-32,5.5767089139732515e-14,6.001507982443577e-37,2.6835208040240303e-38,4.996208322898092e-40,9.574179780693106e-51,2.3529945577517182e-34,2.254683043880023e-34,1.0411642070909435e-33,6.443196060588829e-34,2.0284878575892835e-38,1.9214062950822213e-42,1.6693046884287654e-24,1.537062196477685e-35,5.748918386673674e-53,1.6505458001243184e-51,3.037541443533335e-46,5.212210313789551e-61,1.3467844119736942e-39,5.512608356133276e-48,7.298854676413744e-23,5.675876310899154e-38,2.5317509217120078e-57,3.186386615805551e-54,2.9568882390432277e-22,8.293737358307156e-21,3.198277984370723e-32,1.1013763314977481e-40,3.3991481593373894e-20,2.0332700209216345e-34,2.1473041367106154e-53,9.273008068193635e-67,7.330234663511592e-49,2.3193413879809232e-67,3.7941405691825086e-66,1.3672009451357298e-80,8.10300920710206e-20,2.296343692419101e-37,8.54060633949708e-85,7.705146242920111e-85,1.2314954563721018e-72,1.6693047722052412e-24,1.3806796083015361e-33,9.390493340189498e-55,4.5579065648330666e-41,7.82006535501471e-64,2.279839892776009e-56,2.6233573575111375e-46,5.850276283865085e-38,1.1993009487672968e-73,2.44714028446576e-62,3.731859242324314e-53,3.999004201904506e-54,1.3088979053768344e-69,3.674625341863979e-71
7.15286619759929e-20,0.7210121567821589,5.050358352050447e-25,4.1822140825587806e-26,1.2746031318114286e-36,1.2722378253658129e-37,0.0,0.0,8.486563369955636e-20,2.9518800960321963e-35,8.924497441497674e-47,1.0208655040481208e-46,5.520395828941449e-44,4.207007369455087e-60,5.018451516726386e-41,6.786881082646811e-34,5.934454018233776e-22,9.463283849501671e-34,9.001027279918271e-58,2.6227548779891867e-56,7.389613048065865e-33,4.103332717481217e-51,1.4648750294552594e-22,2.6826302687646017e-52,2.8289816137440914e-38,1.7765556225211578e-50,3.3763508655681495e-31,1.9450412091375564e-39,6.553042319379087e-56,9.650878374429036e-57,4.149697529796398e-52,5.461722087792284e-56,2.858689984860449e-44,9.633727688391328e-57,3.76,0.0,0.9214404666389304,0.9999999999998881,1.5595690795000548e-47,1.6262682814253673e-19,8.065207090700447e-15,7.726512266518986e-15,3.3869482418145984e-16,5.096282329826276e-32,1.1192415791671959e-13,2.413179964218052e-36,1.0790319128079751e-37,2.0089533925816473e-39,7.706132822286662e-50,9.461287629129794e-34,9.065981354335514e-34,4.1864754845867566e-33,2.590780797720122e-33,8.156460583120341e-38,7.725890207878914e-42,3.35028283659907e-24,6.180459489587452e-35,4.627229662659227e-52,1.3285028541617737e-50,2.4448776137847468e-45,6.060606066392826e-60,5.415361156798133e-39,2.2165955753490655e-47,1.464875029462064e-22,2.2822449012022236e-37,2.040154077464621e-56,2.564681277097241e-53,5.934454018219594e-22,1.664547287992458e-20,1.2860135109764484e-31,4.428585788963808e-40,6.822066585519612e-20,8.175689327630933e-34,1.7283372038725007e-52,1.4933893727335367e-65,5.900010573120534e-48,3.7352278039844755e-66,6.118797747547422e-65,4.410912564601312e-79,1.6262682814253812e-19,9.23349699038384e-37,2.7554009486150956e-83,2.485861825499814e-83,1.9832854675731212e-71,3.350283173460595e-24,5.5516519804728636e-33,7.558285994532535e-54,1.8327141840023822e-40,1.259397417445084e-62,1.8350338059248003e-55,2.1115062282526267e-45,2.3523703632603385e-37,1.9368742368514907e-72,1.9696714827798844e-61,3.0037249829368025e-52,3.218756736384639e-53,2.1138736134379427e-68,5.917891010056113e-70
1.433065527393586e-19,0.7210121567821599,1.0118316385243034e-24,8.379000340184804e-26,5.1117286578690263e-36,5.102243833629692e-37,0.0,0.0,1.70026966471233e-19,1.1838359445730353e-34,7.161347153365392e-46,8.191802766493727e-46,4.429769990219026e-43,3.3758584658801123e-59,2.0126235139194364e-40,2.7218428647949357e-33,1.1889585576629108e-21,3.795200080285113e-33,7.222757792365786e-57,2.1045956142714232e-55,2.963565340821397e-32,3.292666086947885e-50,2.934854153076167e-22,2.152641844528955e-51,1.1345481564057136e-37,1.4255865272281009e-49,1.3540677080371783e-30,7.800517124287585e-39,5.263759960677534e-55,7.75209837683882e-56,3.329870928838172e-51,4.387176738873307e-55,2.293918678781211e-43,7.8524437153735905e-56,3.76,0.0,0.9214404666389223,0.9999999999997757,1.2514559683882528e-46,3.258203002855682e-19,1.615851594826735e-14,1.547994617858828e-14,6.785697696790678e-16,2.043837150983394e-31,2.242382954493819e-13,9.677930978182824e-36,4.327400579685282e-37,8.05680163115426e-39,6.183686274541469e-49,3.794399506411082e-33,3.6358640085794245e-33,1.6789639139632695e-32,1.0390189753595e-32,3.271105599818959e-37,3.098427523746274e-41,6.712239134089369e-24,2.4786406831330635e-34,3.713060392290083e-51,1.0660398742492656e-49,1.9618603118813522e-44,7.85692746336872e-59,2.1718022483740168e-38,8.889539659207798e-47,2.934854153103456e-22,9.152822812806191e-37,1.6380467683875533e-55,2.0579953983895907e-52,1.1889585576572227e-21,3.3348943923055467e-20,5.1574893626050925e-31,1.7760609749574352e-39,1.3667903437872976e-19,3.2788170869978956e-33,1.3868817685875384e-51,2.3972206874373573e-64,4.734386915119129e-47,5.995867853417839e-65,9.828797498708894e-64,1.4172603227324754e-77,3.2582030028557384e-19,3.703045271415613e-36,8.853316361191253e-82,7.987266310691619e-82,3.1836124068515415e-70,6.712240485054747e-24,2.2264607478633416e-32,6.065048506212118e-53,7.350003584791823e-40,2.021611769256303e-61,1.4725072135449116e-54,1.694350770148281e-44,9.434057279777725e-37,3.113468770679534e-71,1.580537456488235e-60,2.410300131292666e-51,2.582853667871967e-52,3.397990095584496e-67,9.499541826437267e-69
