Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CHF2(1),O2(2),H2O(3),CH4(4),HF(38),CH2CHF(56),C2H3F(124),C2H3F(139),O2(143),S(285),S(141),S(377),S(145),CHFO(47),S(284),CH2CF(70),C2H2F(71),CH2CFO(79),CH2F(46),C2H4F(63),C2H4F(62),C1OO1(734),CH2O2(778),CHO2(166),C2H2O(133),S(338),S(376),CH2F2(41),C2H2O(373),CH3O2(183),CHF2(81),S(1537),C2H3F2(64),CH2CF2(57),CH3F(39),C2H3F2(65),S(140),S(2988),F(37),C2HF(58),C2HF(3940),CF2CH(73),C2HF2(72),S(3117),CF2(43),CF2O(49),S(4341),S(4409),C2F(3939),C2H3F2(66),S(4619),CHF3(42),S(4047),CHO2(165),C2H2F3(67),C2H2F3(68),S(5214),CFO(51),CHF2O(615),S(3044),CFO3(5914),CHFO2(172),S(459)
0.0,0.709741647207629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.9837864909503229,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.8085345344026526e-22,0.709741647207629,1.642539904591424e-27,8.071123770507661e-29,2.59396828148056e-41,3.147849585958902e-42,0.0,0.0,3.0995546228019095e-22,7.310049345369486e-40,1.6293131266998974e-53,1.8717537246646226e-53,7.480474546588269e-51,3.537500130872368e-67,6.370743876961066e-46,1.3298304146270029e-38,1.6510331639337186e-24,1.8408314315190655e-38,6.0683817244287195e-65,1.3439072115591098e-63,1.0366062477711253e-37,3.5889788236038904e-58,3.552041815569418e-25,3.978285518084253e-59,4.953967762695904e-43,1.57870556160302e-57,4.748098353930364e-36,2.0820241731845898e-44,5.409730391888153e-63,6.400907560078832e-64,6.052037670491364e-59,2.9159299067625486e-63,3.695714238462137e-51,1.1226111808658637e-63,3.76,0.0,0.9837864909503229,0.9999999999999994,2.866365003562594e-54,4.4948695592254025e-22,2.5942265671957655e-17,2.487684275512628e-17,1.0654229168313755e-18,8.435420725552108e-37,4.91128299346815e-16,3.4756326112849967e-41,1.273915635480172e-42,2.9750288282206044e-44,1.215960261369275e-56,1.8404493888136007e-38,1.770107677700605e-38,7.381069136075864e-38,4.442824165193348e-38,1.0959227894233315e-42,8.261285657375387e-47,7.482845425279705e-27,9.397895007089836e-40,8.40539928446964e-59,2.528067298857665e-57,4.478007155386662e-52,1.2256366319361897e-67,6.746889512541382e-44,2.0480972554362433e-52,3.552041815569552e-25,5.9612794610415024e-61,5.631385134558681e-42,1.6510331639336914e-24,3.154291659837134e-60,5.918574535162102e-23,2.7004706842370476e-36,6.592412804167284e-45,2.507713594684688e-22,3.8493216930130257e-44,2.786014643725936e-38,7.482845430015651e-27,8.65080957002191e-55,2.945813403178139e-75,2.0755120775265547e-59,7.069479592493998e-75,5.503566598475656e-74,4.4948695592254025e-22,1.978885303703656e-41,4.315490161324833e-90,2.6062737310658766e-94,1.580491415616401e-80,1.2188818401860938e-37,9.848068251693388e-61,2.855483415142546e-45,2.731694058208502e-72,1.8200292410557413e-71,5.228322260556062e-65,7.955035442018509e-59,2.464549323790814e-94,3.421768675342277e-60,4.281927929372756e-42,1.7219978420735273e-56,6.748505131609591e-79,1.0039721577837486e-81,2.861113328330344e-62
1.0663896696327428e-21,0.709741647207629,4.599111741467929e-27,2.259914655743487e-28,1.566756842061003e-40,1.9013011528953099e-41,0.0,0.0,8.678752943845348e-22,4.4152698046031704e-39,1.9343205464714584e-52,2.222146021957999e-52,8.880819381707616e-50,4.1997201553712876e-66,3.847929301684205e-45,8.032175704346508e-38,4.622892859014502e-24,1.1118621846397888e-37,7.204382786874178e-64,1.595486641563072e-62,6.261101736537985e-37,4.2608356593828725e-57,9.945717083593939e-25,4.7230205670696025e-58,2.9921965286683096e-42,1.8770099343859362e-56,2.867851405773253e-35,1.257542657285999e-43,8.175184568221664e-62,9.670112930078681e-63,7.184979122407422e-58,4.406553498957666e-62,4.387551943901289e-50,1.3329419484156831e-62,3.76,0.0,0.9837864909503229,0.9999999999999987,3.40294853238094e-53,1.2585634765831129e-21,7.263834388148145e-17,6.965515971435444e-17,2.983184167127007e-18,5.094994118231928e-36,1.3751592381694686e-15,2.0992820972172365e-40,7.694450438306584e-42,1.7969174122458884e-43,1.4435880222972101e-55,1.1116314308452514e-37,1.0691450373300255e-37,4.458165758188749e-37,2.683465795776146e-37,6.619373650518829e-42,4.98981653707692e-46,2.0951967190821867e-26,5.676328584282306e-39,9.978890030543712e-58,3.0013214972031236e-56,5.316290094871056e-51,1.492669094289861e-66,4.0751212708557135e-43,1.2370507422914864e-51,9.945717083594745e-25,7.079055395060889e-60,3.401356621273459e-41,4.622892859014336e-24,3.744775063002295e-59,1.6572008698453427e-22,1.631084293279154e-35,3.9818173337219e-44,7.021598065117077e-22,2.3249903025825797e-43,1.6827528448103716e-37,2.0951967219426983e-26,1.0270241121527809e-53,6.589666750372004e-74,2.4640509083526782e-58,1.5814160166405954e-73,1.3760631278736262e-72,1.2585634765831129e-21,1.195246723437065e-40,1.985367503241671e-88,1.1990320859916051e-92,3.5354960770765504e-79,7.362046314723808e-37,1.1691626628407697e-59,1.724711982756262e-44,3.2430678228750754e-71,4.071332611068626e-70,7.901040671217291e-64,9.44421807676447e-58,1.1338309102026417e-92,4.063384665731834e-59,2.586284469340567e-41,2.0443558381096655e-55,1.5099902223626143e-77,3.1566490996558247e-80,3.3981894306852335e-61
2.4374621020176977e-21,0.709741647207629,1.051225544966871e-26,5.165519213134295e-28,7.543259763246623e-40,9.153946640610478e-41,0.0,0.0,1.983714958593223e-21,2.1257623496334475e-38,1.899127383969673e-51,2.1817161415811762e-51,8.719241131497153e-49,4.123310152543629e-65,1.8526123194198597e-44,3.867146845734441e-37,1.0566612249176426e-23,5.353137802891351e-37,7.073305749244969e-63,1.5664582457935962e-61,3.014450968519014e-36,4.183313716793724e-56,2.273306761964126e-24,4.63708959987893e-57,1.440613825391943e-41,1.8440735905652678e-55,1.3807470013219188e-34,6.054527145858387e-43,8.794490503485695e-61,1.0401654626924609e-61,7.054255108724752e-57,4.740369792678284e-61,4.3077245163484636e-49,1.309067251341611e-61,3.76,0.0,0.9837864909503228,0.9999999999999969,3.3410350483793e-52,2.8767165179042577e-21,1.6603050030052905e-16,1.5921179363281412e-16,6.818706667714893e-18,2.453020346988234e-35,3.1432211158083194e-15,1.0107139633632932e-39,3.704546667985609e-41,8.651383832475163e-43,1.417323280650806e-54,5.3520268226973095e-37,5.147473126736249e-37,2.1464149047692493e-36,1.2919732672372709e-36,3.186943475245723e-41,2.402381869197981e-45,4.7890210722060946e-26,2.7329078680617905e-38,9.797333406044017e-57,2.946715243546334e-55,5.219565140306322e-50,1.5410182798075234e-65,1.961995478167984e-42,5.955866818928523e-51,2.273306761964514e-24,6.95105801464324e-59,1.6376067971296878e-40,1.0566612249175624e-23,3.676642372481264e-58,3.7878877025034205e-22,7.852968749760985e-35,1.9170736434589987e-43,1.604936700598165e-21,1.1193827483321688e-42,8.10173058395361e-37,4.7890210859782266e-26,1.0083383634810706e-52,1.302007104490872e-72,2.4192210948415642e-57,3.124613205947148e-72,2.847017926663052e-71,2.8767165179042584e-21,5.7545984631710836e-40,8.235252482648581e-87,4.973553735925764e-91,6.98554446625614e-78,3.5445083912608583e-36,1.1478908354165443e-58,8.303745771384086e-44,3.184064568852545e-70,8.044267161234079e-69,8.499579206140848e-63,9.272389311217065e-57,4.7031009638682924e-91,3.989920037988136e-58,1.245184641860731e-40,2.0071606847208197e-54,2.9838493479196966e-76,7.042310494445012e-79,3.337009172476035e-60
5.179606966787608e-21,0.7097416472076291,2.2338543003861337e-26,1.0976728327937383e-27,3.294339718204827e-39,3.997769020297861e-40,0.0,0.0,4.2153942870105975e-21,9.283762668619244e-38,1.6797566646244996e-50,1.9297032202156327e-50,7.712070038537762e-48,3.647021134921649e-64,8.09084472373623e-44,1.6888846265753802e-36,2.24540510295017e-23,2.337855918064166e-36,6.256258846235993e-62,1.3855145788296042e-60,1.31648993466993e-35,3.7000936079848305e-55,4.8307768691729004e-24,4.101453237723979e-56,6.291539058623526e-41,1.6315443924392495e-54,6.030084909480908e-34,2.6441715785232813e-42,8.083651929992711e-60,9.560545989295574e-61,6.239408756769618e-56,4.357217706068153e-60,3.810133551278596e-48,1.1585257067666262e-60,3.76,0.0,0.9837864909503226,0.9999999999999933,2.955107664324847e-51,6.113022600546546e-21,3.528148131386242e-16,3.3832506146974704e-16,1.448975166887715e-17,1.071298432142721e-34,6.679344871060199e-15,4.414053416348504e-39,1.6178728570692815e-40,3.7782866118501323e-42,1.2536063910587036e-53,2.337370723821457e-36,2.248036750662084e-36,9.373957802799681e-36,5.6423866897856844e-36,1.3918219462903096e-40,1.049183278520972e-44,1.0176669778515815e-25,1.1935326659004765e-37,8.665630446455843e-56,2.6063362624257616e-54,4.616646256891452e-49,1.4963187720152326e-64,8.568549762776786e-42,2.601083514527952e-50,4.830776869174593e-24,6.1484495921929116e-58,7.151859120889766e-40,2.2454051029498195e-23,3.2519485585531925e-57,8.049261367818828e-22,3.429597768980686e-34,8.372364261365711e-43,3.410490488770997e-21,4.888638550167273e-42,3.538238597530477e-36,1.0176669838662334e-25,8.91863863429543e-52,2.3168520764667166e-71,2.139774178422389e-56,5.56008359026893e-71,5.1708331191018205e-70,6.113022600546551e-21,2.5131843357045223e-39,3.001653839252262e-85,1.812802545836962e-89,1.243040314148295e-76,1.5479799370360246e-35,1.015296444474822e-57,3.626463937384224e-43,2.816271452918803e-69,1.4314343609817736e-67,7.812578011301676e-62,8.201323339304e-56,1.714225652979779e-89,3.529223712504322e-57,5.438048470294443e-40,1.775310895263945e-53,5.309895164644093e-75,1.3189468169007295e-77,2.95180363288749e-59
1.0663896696327427e-20,0.7097416472076293,4.599111866341088e-26,2.259914655762943e-27,1.3753219834930524e-38,1.6689898919924587e-39,0.0,0.0,8.678752943845348e-21,3.875788162914897e-37,1.4119366897347169e-49,1.6220318301618367e-49,6.482459554457274e-47,3.065541013407311e-63,3.3777684035608628e-43,7.050760858344144e-36,4.622892859015796e-23,9.760088250228285e-36,5.258762551127638e-61,1.1646084870228697e-59,5.496086325687913e-35,3.110151624877876e-54,9.945717083587689e-24,3.4475185774032265e-55,2.6265937077811226e-40,1.3716025659766787e-53,2.5174417472442894e-33,1.1038900073434368e-41,6.915734416228948e-59,8.179108490143137e-60,5.244599012644633e-55,3.7276934989596503e-59,3.202646827611972e-47,9.749387080612697e-60,3.76,0.0,0.9837864909503222,0.9999999999999862,2.4839460505132247e-50,1.2585634765831121e-20,7.263834388148141e-16,6.965515971436667e-16,2.983184167114762e-17,4.472460068666157e-34,1.3751592381460671e-14,1.8427804105181452e-38,6.754300699400545e-40,1.5773602847315317e-41,1.053731707133779e-52,9.758062659742982e-36,9.385110907009428e-36,3.913442855932425e-35,2.3555853723766317e-35,5.810582663026245e-40,4.380133655848989e-44,2.0951967191382877e-25,4.9827639327596335e-37,7.283984533785059e-55,2.190782672105038e-53,3.880569352696455e-48,1.4817254140944154e-63,3.5772008932134907e-41,1.0859011649438269e-49,9.945717083594757e-24,5.168268236889919e-57,2.9857603983432274e-39,4.622892859014331e-23,2.7334587362308615e-56,1.6572008698446661e-21,1.4317895567821541e-33,3.495297268835153e-42,7.02159806511633e-21,2.0409103616719888e-41,1.4771449641021742e-35,2.095196744248275e-25,7.496653160401812e-51,3.9077096651725726e-70,1.798609332950481e-55,9.37789472401795e-70,8.806590265986994e-69,1.2585634765831138e-20,1.0492049880244694e-38,1.0244052547534226e-83,6.18673755613677e-88,2.0965691763992166e-75,6.462511516663835e-35,8.534178377793523e-57,1.5139773068458687e-42,2.3672498869779848e-68,2.4143232726225087e-66,6.683825611761777e-61,6.893706433487251e-55,5.850314062753357e-88,2.9665983825552484e-56,2.2702781881453733e-39,1.4922557779751207e-52,8.95615003504276e-74,2.27815262746485e-76,2.481270637466563e-58
2.163247615540707e-20,0.7097416472076293,9.329627218716712e-26,4.5843983017357056e-27,5.618639061938904e-38,6.81836846868144e-39,0.0,0.0,1.7605470257514842e-20,1.583385928404408e-36,1.1575910039615402e-48,1.3298396937779933e-48,5.3147119964332365e-46,2.5133157349741265e-62,1.3799286067219776e-42,2.880465871291711e-35,9.37786837114933e-23,3.987314514193423e-35,4.311451298170174e-60,9.548164003434363e-59,2.2453305969267453e-34,2.5498902095248073e-53,2.017559751240623e-23,2.826484020054116e-54,1.0730492332707752e-39,1.124598764235608e-52,1.0284570958466128e-32,4.5097543348556035e-41,5.718062952532347e-58,6.762590378101548e-59,4.2998391358914364e-54,3.0821324089367683e-58,2.6257233650373965e-46,8.011635516033789e-59,3.76,0.0,0.9837864909503214,0.9999999999999721,2.0364890459864068e-49,2.5530859096400265e-20,1.4735206901671941e-15,1.4130046684917213e-15,6.051602167547237e-17,1.827145870819225e-33,2.789608740184846e-14,7.528359261473142e-38,2.759352223146957e-39,6.444031443154875e-41,8.639129172923887e-52,3.9864869943600924e-35,3.834124034071838e-35,1.5987690991378775e-34,9.623334854700201e-35,2.3738126271688615e-39,1.7894275187913344e-43,4.250256201810746e-25,2.0356216501161952e-36,5.971850600828255e-54,1.7961359960984177e-52,3.181525209424095e-47,1.5820282281985759e-62,1.4614033183433047e-40,4.436260580109412e-49,2.017559751243511e-23,4.237308648019319e-56,1.21978054568613e-38,9.377868371143345e-23,2.241054666774626e-55,3.3617503359690388e-21,5.84932752088203e-33,1.427942983089328e-41,1.4243813217805682e-20,8.337784760242099e-41,6.034619158884977e-35,4.2502563043932375e-25,6.146209189580968e-50,6.418424859139993e-69,1.474608680097328e-54,1.5403221099392724e-68,1.4533774111970385e-67,2.5530859096400325e-20,4.286344723240962e-38,3.3845782306650566e-82,2.0440638267033203e-86,3.443621167826505e-74,2.640146821114285e-34,6.996835047426846e-56,6.185091297695356e-42,1.940821102058258e-67,3.965533224982612e-65,5.526317327819545e-60,5.65187703437343e-54,1.932911367557546e-86,2.4322257178174703e-55,9.274827172070305e-39,1.223441445080336e-51,1.471069169887068e-72,3.7851846637775024e-75,2.034336105499561e-57
4.3569635073566345e-20,0.7097416472076294,1.879065880533082e-25,9.233365593818636e-27,2.2711437454549984e-37,2.7560936984333073e-38,0.0,0.0,3.545890488485384e-20,6.40029908423953e-36,9.374472076538148e-48,1.0769386630526112e-47,4.303991567891957e-45,2.035348244286315e-61,5.5778920599583834e-42,1.164330359860116e-34,1.8887819395425534e-22,1.6117362784222885e-34,3.4915251042518898e-59,7.732350762866215e-58,9.075985270272781e-34,2.0649672020468802e-52,4.063535836999916e-23,2.288960040986302e-53,4.3374365666911566e-39,9.10759642587315e-52,4.157188017520229e-32,1.8229176077723502e-40,4.649833829818528e-57,5.499204557819754e-58,3.482121213101879e-53,2.506344317415528e-57,2.1263788574662904e-45,6.517992742567297e-58,3.76,0.0,0.98378649095032,0.9999999999999438,1.649201629102802e-48,5.1421307757538507e-20,2.967795192871951e-15,2.845910811188694e-15,1.218843816832571e-16,7.385615745265462e-33,5.618507744097143e-14,3.043083181648396e-37,1.1153742868721141e-38,2.6047805405533416e-40,6.996190788716861e-51,1.6114017816531716e-34,1.5498142368845396e-34,6.462480319848486e-34,3.889905812124848e-34,9.59533029767567e-39,7.233152136892052e-43,8.560375167551852e-25,8.228308177671674e-36,4.83615944759278e-53,1.4545574975991858e-51,2.5764816011357872e-46,1.875920905794651e-61,5.90722613195976e-40,1.7932074565794478e-48,4.063535837011589e-23,3.431502385960565e-55,4.930547991794078e-38,1.8887819395401342e-22,1.8148642472364866e-54,6.770849268213011e-21,2.3643917066400885e-32,5.771973846318943e-41,2.868824352317913e-20,3.370265909927367e-40,2.4392895492757854e-34,8.560375582206687e-25,4.977359552919711e-49,1.04045432852933e-67,1.1941763734839512e-53,2.496928585552994e-67,2.3615345519814059e-66,5.1421307757538753e-20,1.7326090698926364e-37,1.1004485154228987e-80,6.645989101770746e-85,5.582258308716852e-73,1.0671895574092787e-33,5.666218426559569e-55,2.500112794114441e-41,1.5717379724140664e-66,6.428300243933587e-64,4.493911195768085e-59,4.577036557244725e-53,6.284592347498546e-85,1.9696910662584964e-54,3.749033434650311e-38,9.907746020870916e-51,2.3846815751519307e-71,6.1708063351628625e-74,1.647474295633753e-56
8.74439529098849e-20,0.7097416472076297,3.7712725506010487e-25,1.853130017853412e-26,9.13216913051818e-37,1.108213272664841e-37,0.0,0.0,7.116577413953182e-20,2.5735321122346824e-35,7.545390688674492e-47,8.668139285510043e-47,3.4642268525896943e-44,1.638225338286443e-60,2.2428458648376496e-41,4.6817211678644974e-34,3.7907721444014466e-22,6.480720689693239e-34,2.81028325803063e-58,6.223668593293654e-57,3.6494137595586965e-33,1.662065252302771e-51,8.155488008500842e-23,1.842354176008102e-52,1.744064166726751e-38,7.330708108088125e-51,1.671587017840423e-31,7.32989405046236e-40,3.750259435556199e-56,4.435299104007387e-57,2.8027140900019674e-52,2.021466248787226e-56,1.711494695242149e-44,5.294480866525144e-57,3.76,0.0,0.983786490950317,0.9999999999998872,1.3274209485905775e-47,1.0320220507981485e-19,5.956344198281457e-15,5.711723096586088e-15,2.4462110169536756e-16,2.969723607991663e-32,1.127630575126069e-13,1.2236103634168636e-36,4.484870951809321e-38,1.0473707991410284e-39,5.631143001495251e-50,6.479375692722767e-34,6.231734882752799e-34,2.598534913547319e-33,1.564114018602805e-33,3.8582402063371664e-38,2.9084186625641024e-42,1.718061310061881e-24,3.308566528829397e-35,3.892561860364556e-52,1.170754417691273e-50,2.0737765413193242e-45,2.467317196717999e-60,2.3752698565749828e-39,7.210408317953862e-48,8.15548800854778e-23,2.7619796363402276e-54,1.982551662163132e-37,3.7907721443917196e-22,1.4607607562352907e-53,1.3589047132681858e-20,9.507115062665314e-32,2.3208852977278967e-40,5.757710413390497e-20,1.355169099517262e-39,9.808275993748523e-34,1.718061476792766e-24,4.0062119886246037e-48,1.6756196206521618e-66,9.61177049369304e-53,4.021226565667664e-66,3.807630346623785e-65,1.0320220507981583e-19,6.966744867145542e-37,3.5495278190829875e-79,2.1436825867905992e-83,8.990054914624636e-72,4.291122273632728e-33,4.5606655394840074e-54,1.0052843590073638e-40,1.2650887228816817e-65,1.0352579368786312e-62,3.6245049628537075e-58,3.683997214454147e-52,2.0271130411615977e-83,1.585383371163828e-53,1.507469855201855e-37,7.974615952012661e-50,3.8404682024102977e-70,9.965868720563363e-73,1.3260371130358105e-55
1.75192588582522e-19,0.7097416472076306,7.555687301717558e-25,3.7127169350163574e-26,3.6624082824834146e-36,4.4444318324820144e-37,0.0,0.0,1.4257951264888764e-19,1.0321014810430883e-34,6.054700836769628e-46,6.955635892006285e-46,2.779823879730499e-43,1.3145726621299005e-59,8.994815055240839e-41,1.8775795833919586e-33,7.594752554133847e-22,2.5990588546013365e-33,2.2550754868868487e-57,4.994102093202443e-56,1.463578141615164e-32,1.3337026917740127e-50,1.633939235143205e-22,1.4783731988321756e-51,6.99447736033255e-38,5.882481546276014e-50,6.703811576887749e-31,2.939633418414017e-39,3.01241232651019e-55,3.562670028513584e-56,2.2490015484562802e-51,1.6237656934503957e-55,1.3733667067184119e-43,4.325895859727799e-56,3.76,0.0,0.983786490950311,0.9999999999997741,1.06517171349611e-46,2.067639997243669e-19,1.1933442209100432e-14,1.1443347667394678e-14,4.900945417057523e-16,1.190991990890108e-31,2.2591901762943606e-13,4.9072248307503397e-36,1.7986338426238955e-37,4.2004253527997044e-39,4.518637621529623e-49,2.5985194505205107e-33,2.4992044087750262e-33,1.0421287226128151e-32,6.27279678148734e-33,1.5473269633017366e-37,1.1664059665969815e-41,3.442108897309173e-24,1.326883157316741e-34,3.123535748888287e-51,9.394566886291071e-50,1.66407507235043e-44,3.516391486499901e-59,9.525896173369441e-39,2.8916962314419037e-47,1.6339392351620295e-22,2.2163179053460063e-53,7.95091888318234e-37,7.594752554094837e-22,1.1721687046682107e-52,2.722544286154317e-20,3.812778356235214e-31,9.307788086703285e-40,1.153548253552724e-19,5.4348342040878054e-39,3.933557359328867e-33,3.4421095659745924e-24,3.2147328183570294e-47,2.6897405848364956e-65,7.7128405449495e-52,6.454959248935913e-65,6.115657135307476e-64,2.067639997243708e-19,2.7939762870233527e-36,1.1403661105603445e-77,6.887065261359627e-82,1.443102913439218e-70,1.7209319568547974e-32,3.6596468746350413e-53,4.031639907162442e-40,1.0151817351033582e-64,1.6618182635412584e-61,2.911403961923854e-57,2.956175754562865e-51,6.512559224493899e-82,1.2721721670172744e-52,6.045628351546977e-37,6.399127077707961e-49,6.164811631364456e-69,1.6019842923906848e-71,1.0640638794932355e-54
