Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3F(1),O2(2),H2O(3),CH4(4),CH2F(45),HF(38),C1OO1(156),CH2O2(158),CHO2(146),CHF(39),CHFO(46),S(139),CHFO2(186),CHFO2(165),CFO2(148),F(37),CH2FO(131),CH2CHF(55),O2(128)
0.0,0.7758280822050694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.899018110463071,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.373852587533106e-22,0.7758280822050693,2.078530502450932e-25,1.2991207065591117e-27,2.3451667552740847e-39,4.751072100010168e-21,0.0,0.0,2.639890171181194e-22,8.950421318393791e-40,1.0010492387729117e-49,1.1971436437556512e-49,4.135542710413281e-56,7.93681775399105e-64,4.591991849694702e-41,2.4250595373844363e-34,4.885328064804024e-24,6.959315654082646e-42,3.1523000478705735e-86,1.7773149684077707e-82,1.0201791094771318e-57,1.588100713215681e-77,1.9458323734951505e-20,8.48186664254271e-78,1.2452129291528465e-42,4.378064607605889e-92,1.2447684204959359e-61,2.74267857050475e-58,9.333468844391517e-63,2.6592191616937155e-63,8.017162235185536e-59,3.703715731232081e-92,3.54578078735355e-77,1.0260467520462515e-95,3.76,0.0,0.899018110463071,0.9999999999999997,1.6463506034426387e-50,6.659682688811304e-40,2.641968701683634e-22,1.9458323734951743e-20,5.489600864362044e-55,1.359351200003535e-53,5.191612163971887e-40,4.751072100010166e-21,3.269475144876414e-39,6.886654812633947e-40,2.207892648808992e-42,2.6230303996528364e-41,1.3287021264664486e-36,4.8853280648039545e-24,7.087118040768834e-40,3.9419997128682697e-38,3.640054933615268e-16
3.846787245092697e-22,0.7758280822050693,5.819885406905696e-25,3.637537978371055e-27,1.4164807202344544e-38,1.3303001880028469e-20,0.0,0.0,7.391692479307343e-22,5.406054476309848e-39,1.1884456562716083e-48,1.4212489338747396e-48,4.909716305803086e-55,9.422590037537949e-63,2.7735630772155527e-40,1.4647359605801628e-33,1.3678918581451267e-23,4.203426684597946e-41,1.9176979513828828e-84,3.9757824917294364e-81,1.2111566387712504e-56,4.1489754774789606e-76,5.448330645786342e-20,2.666834590685402e-76,7.521086092083097e-42,2.0705413260659183e-90,1.4777890688127724e-60,4.144735855747052e-57,1.4104738117644427e-61,4.0186119971523615e-62,9.517975005614729e-58,2.253099586142258e-90,7.931769790078367e-76,6.241943281876525e-94,3.76,0.0,0.899018110463071,0.999999999999999,1.9545474364075914e-49,4.0224483440420276e-39,7.3975123647141805e-22,5.448330645786488e-20,6.517254146172997e-54,1.6138217446440546e-52,3.1357337633631123e-39,1.3303001880028459e-20,1.9747629875054099e-38,4.159539506830869e-39,1.3335671598809857e-41,1.5843103613901016e-40,8.025360843857325e-36,1.3678918581450838e-23,4.280619296623814e-39,2.380967826572434e-37,1.0192153814118576e-15
8.79265656021188e-22,0.7758280822050694,1.3302595215987576e-24,8.31437252201711e-27,6.819744925070643e-38,3.0406861440065066e-20,0.0,0.0,1.689529709555962e-21,2.602782519388911e-38,1.166822992714236e-47,1.3953906311864796e-47,4.8203885832590816e-54,9.251154774051272e-62,1.3353512298911485e-39,7.052073134713381e-33,3.1266099614745744e-23,2.023769036505272e-40,8.657405231311188e-83,7.855476227006837e-80,1.1891207700065433e-55,8.773327260229956e-75,1.2453327190368408e-19,5.949561309170758e-75,3.621079197976331e-41,8.649441742735703e-89,1.450902070930054e-59,4.458717698499077e-56,1.5173233630950353e-60,4.3230394067849614e-61,9.344804301336836e-57,1.017150795431792e-88,1.5671840487669109e-74,2.8179115710548523e-92,3.76,0.0,0.899018110463071,0.9999999999999977,1.918986263373396e-48,1.9366357259063266e-38,1.6908599690775281e-21,1.2453327190369114e-19,6.398678767507762e-53,1.5844597587236776e-51,1.5097208417691645e-38,3.0406861440065023e-20,9.50763372130144e-38,2.002639219513896e-38,6.420551822741865e-41,7.62777240218727e-40,3.8638657837643954e-35,3.126609961474367e-23,2.0609339262547347e-38,1.1463335165020915e-36,2.329635157510848e-15
1.8684395190450244e-21,0.7758280822050694,2.8268014834840745e-24,1.7668041609397884e-26,2.978361779956146e-37,6.461458056013827e-20,0.0,0.0,3.590250632806412e-21,1.1367035074360075e-37,1.032041723205759e-46,1.234207211018601e-46,4.26357911273054e-53,8.182541631653156e-61,5.831829649111543e-39,3.0798256124776585e-32,6.644046168133467e-23,8.838331338431355e-40,3.268871488348086e-81,1.3978400229474111e-78,1.0517638547065412e-54,1.6080658936763114e-73,2.646332027953129e-19,1.1142870030788248e-73,1.581420420023963e-40,3.163604568721095e-87,1.283306450794472e-58,4.0983297343358276e-55,1.3946815824797296e-59,3.97361800894158e-60,8.265373577993679e-56,3.840558991160495e-87,2.78872028045822e-73,1.0639897922184437e-90,3.76,0.0,0.899018110463071,0.999999999999995,1.6973216181258058e-47,8.457797014790349e-38,3.593077434289753e-21,2.646332027953437e-19,5.65955890713816e-52,1.4014367131547156e-50,6.593347701267742e-38,6.461458056013809e-20,4.152233433993901e-37,8.746051612044531e-38,2.804023663992914e-40,3.3312486075558184e-39,1.6874517006123514e-34,6.644046168132558e-23,9.00063991176772e-38,5.0063396353426904e-36,4.950474709702147e-15
3.846787245092697e-21,0.7758280822050693,5.819885407530471e-24,3.637537978451412e-26,1.2434074143285731e-36,1.330300188002847e-19,0.0,0.0,7.391692479307292e-21,4.745513383012355e-37,8.674932535330044e-46,1.0374255274751891e-45,3.583795144165984e-52,6.877919276521944e-60,2.434674078707476e-38,1.2857665667207104e-31,1.3678918581451234e-22,3.6898295717663724e-39,1.1341233736799327e-79,2.357661511293717e-77,8.840708934071268e-54,2.750370872474514e-72,5.448330645785202e-19,1.924653745864011e-72,6.602118950367027e-40,1.081602702673729e-85,1.078696396907018e-57,3.5062073723940934e-54,1.1931794569043907e-58,3.3995138656901553e-59,6.947544518425963e-55,1.3324669372815699e-85,4.703584360917828e-72,3.691474862585011e-89,3.76,0.0,0.899018110463071,0.9999999999999898,1.4267010913341143e-46,3.530963761607746e-37,7.397512364714224e-21,5.448330645786489e-19,4.7572002754703823e-51,1.1779920003021786e-49,2.7525929970589968e-37,1.3303001880028392e-19,1.733475721814246e-36,3.651304381657997e-37,1.1706246824034725e-39,1.3907307178929793e-38,7.044778674524765e-34,1.367891858144744e-22,3.75758998520781e-37,2.0900482477627468e-35,1.0192153814058013e-14
7.803482697188043e-21,0.7758280822050693,1.1806053256726317e-23,7.379005613616534e-26,5.0797250043702916e-36,2.6986089528057747e-19,0.0,0.0,1.4994576172308976e-20,1.9386970592493418e-36,7.112233809808598e-45,8.505441261179673e-45,2.9382117829744354e-51,5.638933769270152e-59,9.94643802610717e-38,5.252775960351801e-31,2.7748663408086715e-22,1.507415956739669e-38,3.7771043499598504e-78,3.8724661119140405e-76,7.248147317287582e-53,4.549969463167965e-71,1.105232788144734e-18,3.1978411560513067e-71,2.6971810130610772e-39,3.5767754991771945e-84,8.843804782755837e-57,2.899000058901234e-53,9.865438487968845e-58,2.8107838043146536e-58,5.696016749172097e-54,4.437669022659316e-84,7.725651436786523e-71,1.229415254590614e-87,3.76,0.0,0.899018110463071,0.9999999999999793,1.169695752324754e-45,1.4425139091272774e-36,1.5006382225563253e-20,1.1052327881452594e-18,3.9002402037898557e-50,9.657890131251516e-49,1.1245241539688336e-36,2.6986089528057434e-19,7.081813942814636e-36,1.4916769790353226e-36,4.782383793068097e-39,5.681588766839014e-38,2.8780219540110937e-33,2.7748663408071213e-22,1.5350981160960686e-36,8.538529058061105e-35,2.0675512022662822e-14
1.5716873601378734e-20,0.7758280822050693,2.3778388959530216e-23,1.4861940884514267e-25,2.0533060669982814e-35,5.43522648241163e-19,0.0,0.0,3.020034355831201e-20,7.836523484476826e-36,5.759671336292106e-44,6.887926853111575e-44,2.3794400801448924e-50,4.566554765581982e-58,4.0205092800119396e-37,2.123256027834262e-30,5.588815306135747e-22,6.093217771484675e-38,1.2329097687320777e-76,6.277434443305223e-75,5.869737618448885e-52,7.408129979651486e-70,2.2260322352763565e-18,5.2132887375334767e-70,1.0902436896929669e-38,1.1634645873602258e-82,7.16194240419819e-56,2.357418702529196e-52,8.022410737360085e-57,2.2856827093682073e-57,4.612782042697443e-53,1.4485287278742025e-82,1.2523613899949782e-69,4.013016154211936e-86,3.76,0.0,0.899018110463071,0.9999999999999584,9.47249946642515e-45,5.830871858823309e-36,3.0224121947261635e-20,2.2260322352784804e-18,3.1585156376249624e-49,7.821209825974412e-48,4.545507232908553e-36,5.435226482411507e-19,2.8625824241516253e-35,6.029596847888404e-36,1.9331159929138563e-38,2.2965890203346656e-37,1.1633424894232068e-32,5.588815306129476e-22,6.205112026304588e-36,3.4514099646023217e-34,4.1642228439444764e-14
3.1543655409760114e-20,0.7758280822050694,4.772306038278684e-23,2.9827811428579694e-25,8.256253407153112e-35,1.0908461541623342e-18,0.0,0.0,6.061187833031678e-20,3.151031626825627e-35,4.6358845715218335e-43,5.544002769653826e-43,1.9151803831210683e-49,3.6755605566201763e-57,1.6166290986487215e-36,8.537519103714145e-30,1.1216713236789808e-21,2.45005724050937e-37,3.984551328831434e-75,1.0109614648419615e-73,4.724475490959297e-51,1.1977299184127276e-68,4.467631129536383e-18,8.419477044478065e-69,4.3838219255920595e-38,3.753638144323707e-81,5.764554321805318e-55,1.9013435869557585e-51,6.470364891468436e-56,1.843485909673278e-56,3.712768290948508e-52,4.681393983931756e-81,2.0168894104357287e-68,1.2969374771557204e-84,3.76,0.0,0.899018110463071,0.9999999999999164,7.624291659401432e-44,2.3445679293267327e-35,6.06596013906597e-20,4.467631129544924e-18,2.5422481698751683e-48,6.295190097782331e-47,1.8277291151706536e-35,1.090846154162284e-18,1.1510318026586774e-34,2.424474373404092e-35,7.77297438611736e-38,9.234483443026897e-37,4.677748984308247e-32,1.1216713236764596e-21,2.495048254680638e-35,1.3877967669140709e-33,8.357566127129787e-14
6.319721902652288e-20,0.7758280822050694,9.561240329989542e-23,5.9759552525790435e-25,3.3111269018157647e-34,2.1854931660046764e-18,0.0,0.0,1.2143494787432108e-19,1.263704615691083e-34,3.720005410821611e-42,4.448713077041311e-42,1.5368116436262764e-48,2.9494058679595684e-56,6.483405740603069e-36,3.423927010452293e-29,2.2472509098097566e-21,9.825834762193382e-37,1.2813719932747076e-73,1.622817045261936e-72,3.791094044421093e-50,1.9330293561377695e-67,8.950828918043561e-18,1.3534069261219068e-67,1.7581086633871237e-37,1.2060783785520692e-79,4.625691804297172e-54,1.527262568556485e-50,5.197348954364863e-55,1.4807881357545218e-55,2.979262731534646e-51,1.5054660580475122e-79,3.237554177373359e-67,4.170756562396829e-83,3.76,0.0,0.899018110463071,0.9999999999998326,6.118013895542633e-43,9.402766030236206e-35,1.2153056027746114e-19,8.950828918077818e-18,2.0399940512308337e-47,5.051493596183961e-46,7.330016426708185e-35,2.1854931660044746e-18,4.6161523402352314e-34,9.723226610005312e-35,3.117310383722544e-37,3.703440882953002e-36,1.8759865601436547e-31,2.2472509097996466e-21,1.0006259438697296e-34,5.5656857425999916e-33,1.6744252692816115e-13
