Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3F(1),O2(2),H2O(3),CH4(4),CH2F(45),HF(38),C1OO1(156),CH2O2(158),CHO2(146),CHF(39),CHFO(46),S(139),CHFO2(186),CHFO2(165),CFO2(148),F(37),CH2FO(131),CH2CHF(55),O2(128),C2H4F(61),CFO(50),C2H4F(62),S(564),CFO3(1309),C2H2O(181),CH2CF(69),CH2CFO(78),CFO3(296)
0.0,0.6770886463401162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7379277223246129,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.1294918180829056e-22,0.6770886463401161,2.4497696997552286e-26,5.826186124690752e-29,2.062955837755451e-39,4.453879254741262e-22,0.0,0.0,6.638451840439358e-23,1.6651628832187341e-40,9.74408889621684e-50,1.1436640730872009e-49,7.103815280291977e-57,1.0138923951005878e-65,3.67218459416676e-42,9.361819840553044e-35,3.299022973615895e-25,6.4406153869910606e-43,5.457803021112337e-87,2.2206574925611677e-85,2.296736087208828e-59,1.270582058530052e-79,2.9040210878583984e-21,2.6712184867808957e-60,8.25627730925763e-44,4.479183548239924e-82,6.209561935959946e-64,7.339595690542296e-60,1.8837165913065437e-64,2.1710866700067305e-65,8.134055232171617e-60,6.07830435189719e-93,4.149113695176193e-79,5.615579743715593e-97,3.76,0.0,0.7379277223246129,0.9999999999999997,1.6027426392478784e-50,4.153534079420193e-41,6.640901610139095e-23,2.9040210878584917e-21,5.085822993126615e-55,1.5383370741494732e-53,1.663900669132588e-40,4.45387925474126e-22,2.3326584137258044e-39,7.244153332306018e-40,4.5812925108564976e-43,5.566844932050844e-42,2.3504310262028813e-37,3.2990229736157964e-25,2.1728337043500172e-40,4.3392727559595234e-39,3.937003936783262e-16,1.9320319700848247e-61,6.696956480355264e-61,1.744231960560003e-60,1.227497422863989e-75,2.4193806465089145e-77,2.8290552679214313e-91,1.8729350555007304e-60,9.055975268871696e-75,8.195134749614651e-62
8.762577090632135e-22,0.6770886463401161,6.859355159390845e-26,1.6313321149296133e-28,1.2460253260518063e-38,1.2470861913275533e-21,0.0,0.0,1.858766515323019e-22,1.0057583814641149e-39,1.156818233758803e-48,1.3577579875870805e-48,8.4336495007651e-56,1.2036930514633468e-64,2.2179994948766312e-41,5.654539183693681e-34,9.237264326124504e-25,3.8901319812038976e-42,3.3202479185037265e-85,4.967521984562245e-84,2.7266850827343197e-58,3.2233165760721796e-78,8.131259046003213e-21,3.1712705875062277e-59,4.98679149479152e-43,1.4083269746220835e-80,7.371991930371624e-63,1.1091597007549402e-58,2.846672512782443e-63,3.2809461757203395e-64,9.656750371635214e-59,3.6977237615431235e-91,9.281401421660314e-78,3.416231200099233e-95,3.76,0.0,0.7379277223246129,0.9999999999999989,1.9027760613150428e-49,2.5087345839697968e-40,1.859452450838946e-22,8.131259046003777e-21,6.037889057450762e-54,1.8263137744299012e-52,1.0049960199712155e-39,1.247086191327552e-21,1.4089256818904126e-38,4.375468612712786e-39,2.7671006765604052e-42,3.362374338957666e-41,1.4196603398265334e-36,9.237264326123907e-25,1.3123915574271288e-39,2.620920744599551e-38,1.1023611022982494e-15,2.4266987636765238e-60,7.950626733479349e-60,2.0763170400981386e-59,3.85944829707037e-74,5.41205886078011e-76,1.7210523773541854e-89,2.828868547936899e-59,2.5551969043660223e-73,9.729263974742328e-61
2.0028747635730594e-21,0.6770886463401161,1.5678526078966902e-25,3.7287591199155014e-28,5.999075576905565e-38,2.8504827230344076e-21,0.0,0.0,4.248609177881183e-22,4.842293664400071e-39,1.1357710017428355e-47,1.3330548436461058e-47,8.28020709071598e-55,1.181792975729026e-63,1.067871279983557e-40,2.722417209632288e-33,2.111374703114172e-24,1.8729313857289464e-41,1.4989186215754091e-83,9.814986342457087e-83,2.677075583250606e-57,6.7507011573823375e-77,1.8585734962291625e-20,3.1135722681916517e-58,2.4009254415319857e-42,3.141900009036101e-79,7.237865392554841e-62,1.1931833922207055e-57,3.0623203881552156e-62,3.529492177716917e-63,9.481054778622291e-58,1.669328625171955e-89,1.833848520358958e-76,1.5422500630116372e-93,3.76,0.0,0.7379277223246129,0.9999999999999974,1.8681568203071417e-48,1.2078477102953922e-39,4.250177030489019e-22,1.8585734962294346e-20,5.928035280822003e-53,1.79308569362753e-51,4.8386233830645536e-39,2.8504827230344008e-21,6.783370667115044e-38,2.1065997890345173e-38,1.3322398621616914e-41,1.6188385062388196e-40,6.835053424197876e-36,2.1113747031138845e-24,6.318600412245629e-39,1.2618605174330272e-37,2.51968251953384e-15,2.4408228449048152e-59,7.805972473506986e-59,2.040978869492598e-58,8.610216842795192e-73,1.0693317297865364e-74,7.769653111564898e-88,3.0426475717573717e-58,5.558504575179828e-72,9.552249064150262e-60
4.2561088725927515e-21,0.6770886463401161,3.3316867919338295e-25,7.923613130146526e-28,2.6199539146858947e-37,6.0572757864481165e-21,0.0,0.0,9.028294502997498e-22,2.1147568616877857e-38,1.0045765888439412e-46,1.1790719129068768e-46,7.323749401385887e-54,1.0452825036524417e-62,4.663674434590372e-40,1.1889511197496822e-32,4.486671244117613e-24,8.179585997128757e-41,5.659631511409866e-82,1.7465243783731436e-81,2.3678430364688045e-56,1.2370075622779407e-75,3.9494686794863596e-20,2.7539194111312955e-57,1.048547218275581e-41,5.884430998415755e-78,6.401809973497117e-61,1.096741104847708e-56,2.814800028057533e-61,3.2442113893016922e-62,8.385885582165821e-57,6.303066329218895e-88,3.263235463447833e-75,5.823242789506184e-92,3.76,0.0,0.7379277223246129,0.9999999999999946,1.652363551358542e-47,5.274988280863642e-39,9.03162618978916e-22,3.949468679487549e-20,5.243280073064422e-52,1.5859639899628404e-50,2.1131540949329417e-38,6.057275786448085e-21,2.9624761854321906e-37,9.200074732027894e-38,5.81824148883551e-41,7.069893063688393e-40,2.9850474032775536e-35,4.486671244116355e-24,2.759498804520162e-38,5.510876400068572e-37,5.3543253539879976e-15,2.182023964722491e-58,6.904294252997336e-58,1.8061911268953452e-57,1.6125983235342142e-71,1.902818760596547e-73,2.9336731794358254e-86,2.796528796384787e-57,1.0304856434436461e-70,8.448856121461517e-59
8.762577090632135e-21,0.6770886463401161,6.859355160495823e-25,1.631332115164557e-27,1.0937791858407652e-36,1.2470861913275534e-20,0.0,0.0,1.8587665153230072e-21,8.828693606825669e-38,8.444071532031272e-46,9.910809873242829e-46,6.156052660885701e-53,8.786229273150126e-62,1.946992271825944e-39,4.963636879456235e-32,9.237264326124485e-24,3.414818288267758e-40,1.9635890876652565e-80,2.9457686415086196e-80,1.990314745397759e-55,2.130837946317347e-74,8.131259045998812e-20,2.314835201147923e-56,4.377478229367152e-41,1.0163891203073812e-76,5.381107020711643e-60,9.38285105566591e-56,2.4081206857271768e-60,2.7754911459775612e-61,7.048842119327192e-56,2.1868263708066777e-86,5.5039235765728044e-74,2.0203534405564974e-90,3.76,0.0,0.7379277223246129,0.9999999999999889,1.3889111272891142e-46,2.2022037689085823e-38,1.8594524508389434e-21,8.131259046003777e-20,4.407292832803737e-51,1.3330982950605742e-49,8.822003553951979e-38,1.2470861913275402e-20,1.2367754909577988e-36,3.840850096787979e-37,2.429001289299097e-40,2.951541182958797e-39,1.2461985300926727e-34,9.237264326119238e-24,1.152036430042455e-37,2.3006824152097192e-36,1.1023611022828218e-14,1.8432988029025237e-57,5.803475334590821e-57,1.5185964419712385e-56,2.7853625790057577e-70,3.2093820279836686e-72,1.0178275087784571e-84,2.3924173357437247e-56,1.7711737694445908e-69,7.101772651857878e-58
1.7775513526710904e-20,0.6770886463401161,1.3914691899570668e-24,3.309273719879162e-27,4.4684448684237386e-36,2.5298034166930367e-20,0.0,0.0,3.7706406453695e-21,3.606809411567056e-37,6.922960011265727e-45,8.125480721862663e-45,5.047103904455634e-52,7.203481599734643e-61,7.954098718338204e-39,2.0278076247389295e-31,1.8738450490138194e-23,1.395066450489195e-39,6.539571493426819e-79,4.8384338393085535e-79,1.6317802780290398e-54,3.587043142076437e-73,1.6494839779015957e-19,1.897841754352596e-55,1.7883426902933868e-40,1.6887457274181755e-75,4.411756648371536e-59,7.75792269939546e-55,1.9910807514473058e-59,2.2948297523021222e-60,5.7790666425369075e-55,7.283044620144364e-85,9.040211004150147e-73,6.728620488677521e-89,3.76,0.0,0.7379277223246129,0.9999999999999776,1.1387132566266228e-45,8.996720957387279e-38,3.772032114558995e-21,1.6494839779036237e-19,3.6133649418625495e-50,1.0929545246935104e-48,3.604077273293264e-37,2.5298034166929832e-20,5.0526314304698364e-36,1.5691125883902445e-36,9.923262830579535e-40,1.2058008796496126e-38,5.091127619995689e-34,1.873845049011676e-23,4.70644471693709e-37,9.399038360318399e-36,2.2362182360236274e-14,1.514899298700317e-56,4.758039710525011e-56,1.2451899094267536e-55,4.6279215835774157e-69,5.271419671757495e-71,3.389790564289261e-83,1.9780687960494934e-55,2.935619983208718e-68,5.822462291022228e-57
3.5801386398868444e-20,0.6770886463401161,2.8025365385523796e-24,6.665156930967562e-27,1.8062168624513688e-35,5.095237867424004e-20,0.0,0.0,7.594388905462398e-21,1.4579300320763548e-36,5.606392506970789e-44,6.580224958901796e-44,4.087275596875073e-51,5.833566162325734e-60,3.2151738770446645e-38,8.196722637721805e-31,3.774082281816547e-23,5.6390958491516e-39,2.134625054147249e-77,7.843309755921066e-78,1.3214579759085667e-53,6.051033154504882e-72,3.3222001245019176e-19,1.5369214575441335e-54,7.22876708555724e-40,2.7530817617213184e-74,3.572754916366215e-58,6.308613898864616e-54,1.6191138000446386e-58,1.8661174431205777e-59,4.680037999562618e-54,2.3773070285598758e-83,1.4654571608780066e-71,2.1963337948991076e-87,3.76,0.0,0.7379277223246129,0.9999999999999549,9.221595183497972e-45,3.6366184561681618e-37,7.597191441999083e-21,3.322200124510116e-19,2.9261966129154074e-49,8.851029108504837e-48,1.4568264395769096e-36,5.095237867423787e-20,2.0423544088234287e-35,6.342603961789201e-36,4.011141495594743e-39,4.874039946465843e-38,2.0579151841292216e-33,3.774082281807883e-23,1.9024202041489226e-36,3.799241582934711e-35,4.503932503396287e-14,1.2282613961399819e-55,3.85318391811972e-55,1.0084480252455987e-54,7.544680208127771e-68,8.545198491723859e-70,1.1064840982084777e-81,1.6085215701592304e-54,4.779921251392873e-67,4.715180920795709e-56
7.185313214318352e-20,0.6770886463401162,5.6246712388643786e-24,1.3376923359781116e-26,7.262718582494569e-35,1.0226106768885938e-19,0.0,0.0,1.524188542564784e-20,5.862272536886544e-36,4.512512434716562e-43,5.2963375184245406e-43,3.2897949853725043e-50,4.69536155620675e-59,1.292807275107603e-37,3.2958661221178915e-30,7.574556747421947e-23,2.2674670624081007e-38,6.898739317132716e-76,1.2631408566573271e-76,1.0636243432568307e-52,1.0469429406274336e-70,6.667632417690138e-19,1.2370480981750221e-53,2.9066554518263622e-39,4.446234426862603e-73,2.875663979343881e-57,5.088125654725657e-53,1.3058739361615243e-57,1.5050913228117543e-58,3.766901736176813e-53,7.683045464543572e-82,2.3600735802198448e-70,7.09817130431201e-86,3.76,0.0,0.7379277223246129,0.9999999999999095,7.42234206430753e-44,1.4622682867961726e-36,1.524751009687921e-20,6.667632417723102e-19,2.3552576077201326e-48,7.124078248558481e-47,5.857841324586085e-36,1.0226106768885069e-19,8.212217251879567e-35,2.5503331572478786e-35,1.6128623538598872e-38,1.959830025625974e-37,8.274786444982954e-33,7.57455674738711e-23,7.649547969290772e-36,1.5276583308264631e-34,9.039361037705798e-14,9.891934889929733e-55,3.101377636770261e-54,8.117110511303234e-54,1.2184678688340872e-66,1.376177877077089e-68,3.575965407458359e-80,1.297326493994458e-53,7.714832962493401e-66,3.7951878165204975e-55
1.4395662363181367e-19,0.6770886463401162,1.1268940651973873e-23,2.680045624395524e-26,2.912674999752671e-34,2.0487844571809806e-19,0.0,0.0,3.053687846601732e-20,2.3510334838389596e-35,3.621007040724011e-42,4.2499773146604984e-42,2.639853291817492e-49,3.7677319452831326e-58,5.18473539533864e-37,1.3217897261730892e-29,1.5175505678632526e-22,9.093648693439306e-38,2.2185311771117316e-74,2.0276208185750393e-75,8.534915507421524e-52,1.9102329454893425e-69,1.3358497004016883e-18,9.926531922152119e-53,1.1656988395220419e-38,7.147192073381239e-72,2.3075392404308857e-56,4.087059230111893e-52,1.048948961996044e-56,1.2089712011617802e-57,3.022701412136631e-52,2.4707522707303276e-80,3.788440773828076e-69,2.2826655155391663e-84,3.76,0.0,0.7379277223246129,0.9999999999998188,5.95596206379727e-43,5.8643498455287e-36,3.054814740663924e-20,1.335849700414908e-18,1.889945901724127e-47,5.716624135537847e-46,2.3492614103397492e-35,2.048784457180632e-19,3.293466418406159e-34,1.0227976624932397e-34,6.468299410279117e-38,7.859794957830433e-37,3.318559463305391e-32,1.517550567849281e-22,3.0678108699910337e-35,6.126593168501824e-34,1.811021810458159e-13,7.939980611355645e-54,2.488660235635564e-53,6.513567309841359e-53,1.9586515122206166e-65,2.209070272574888e-67,1.14997688401353e-78,1.0420814264540014e-52,1.2397546380674979e-64,3.0453992101695674e-54
