Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3F(1),O2(2),H2O(3),CH4(4),CH2F(45),HF(38),C1OO1(156),CH2O2(158),CHO2(146),CHF(39),CHFO(46),S(139),CHFO2(186),CHFO2(165),CFO2(148),F(37),CH2FO(131),CH2CHF(55),O2(128),C2H4F(61),CFO(50),C2H4F(62),S(564),CFO3(1309),C2H2O(181),CH2CF(69),CH2CFO(78),CFO3(296),CHO2(145),CHO3(309),CHFO2(220)
0.0,0.8894837856696007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.8721596408222184,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.536504998899286e-23,0.8894837856696007,2.0385664035829983e-24,5.819313381218047e-26,4.193936302553496e-38,6.378721953707265e-20,0.0,0.0,1.3636487122339462e-21,6.919950940760826e-39,1.3069747685370497e-49,4.5133443414743985e-37,4.685861048952895e-55,1.7307517993154697e-61,9.757982130198318e-40,7.327834335028961e-34,9.710089321079155e-23,1.2747692485912597e-40,3.1686588307644526e-85,6.915861681501666e-79,8.1015398608740445e-56,5.080014502330204e-75,1.4019540367286033e-19,9.047306265227439e-58,3.2089527926806165e-41,9.139901291809414e-78,5.818465740522079e-59,1.5976289024628365e-56,7.365057230249197e-61,6.77524497262096e-61,1.4467381119404227e-57,2.903505580598762e-85,7.909046008062784e-75,4.2924927945879023e-94,3.76,0.0,0.8721596408222184,0.9999999999999997,2.1556942797726055e-50,1.5469543030642855e-38,1.3656872786375195e-21,1.401954036728611e-19,8.020460893945298e-55,1.449393268832122e-53,1.2445366778673332e-39,6.378721953707264e-20,6.363855795111078e-39,8.136002960485049e-40,1.1577551451199252e-41,1.3273840199180662e-40,1.1656764085910826e-35,9.710089321079095e-23,3.77325885244293e-39,4.4304857744589005e-37,4.0311282855930524e-16,7.374482204385637e-58,3.854336625170401e-38,4.3860265988205647e-57,7.319106701961056e-73,5.918145819853244e-58,7.348088843889376e-88,1.6808209946450812e-58,2.0500826215751933e-73,1.0794838938231724e-56,1.468546405497664e-39,1.2378062028381678e-80,9.392507137331198e-43
1.8302213996918e-22,0.8894837856696007,5.707985930070215e-24,1.6294077467412948e-25,2.5331375267487596e-37,1.786042147038034e-19,0.0,0.0,3.8182163942550475e-21,4.1796503682195356e-38,1.5516404452654753e-48,2.726059982251528e-36,5.563054237317029e-54,2.05474853614734e-60,5.893821206639741e-39,4.426011938357443e-33,2.718825009902163e-22,7.699606265346571e-40,1.924585608019197e-83,1.547050594705364e-77,9.618148122829665e-55,1.3595696945154386e-73,3.925471302840066e-19,1.074096199807791e-56,1.9382074867790714e-40,2.8737312045990895e-76,6.907682527147801e-58,2.4143367974019054e-55,1.1130074486352591e-59,1.0238750202624968e-59,1.7175674865018327e-56,9.129098882366963e-84,1.7692219619691306e-73,2.6113412881776375e-92,3.76,0.0,0.8721596408222184,0.9999999999999988,2.5592402489568313e-49,9.343603990508283e-38,3.823924380185059e-21,3.925471302840111e-19,9.521891173292351e-54,1.7207196887574073e-52,7.517001555800782e-39,1.7860421470380337e-19,3.8437689002473016e-38,4.914145788132928e-39,6.992841076524685e-41,8.017399480303519e-40,7.040685507890114e-35,2.718825009902127e-22,2.2790483468753217e-38,2.6760134077731756e-36,1.1287159199658475e-15,9.310228509840063e-57,2.32801932160292e-37,5.228833323951425e-56,2.3012442528035976e-71,7.026022717328337e-57,4.470201023321138e-86,2.5194235949285864e-57,6.003115327360925e-72,1.2815632787468545e-55,8.87002028920544e-39,3.891860750716907e-79,5.673074408070916e-42
4.1833631992955425e-22,0.8894837856696007,1.3046824983195926e-23,3.724360563981239e-25,1.2195966767922288e-36,4.082382050372649e-19,0.0,0.0,8.727351758297239e-21,2.0123217335732442e-37,1.5234097902895266e-47,1.312480534502242e-35,5.461839638659965e-53,2.017364297282152e-59,2.837621203461607e-38,2.1309342246263455e-32,6.214457165490656e-22,3.707028980686428e-39,8.696258965197943e-82,3.0567112748165254e-76,9.443154861834781e-54,2.9014775864099254e-72,8.972505835062897e-19,1.0545540182748767e-55,9.331634721114915e-40,6.41113623389737e-75,6.782003667152499e-57,2.5972333541560105e-54,1.1973226238071514e-58,1.1014380247090974e-58,1.6863179432866328e-55,2.0366577817200065e-82,3.4956844628888267e-72,1.178884400351466e-90,3.76,0.0,0.8721596408222184,0.9999999999999973,2.512677252518261e-48,4.498543113310941e-37,8.740398583280155e-21,8.972505835063109e-19,9.348649217984153e-53,1.6894127941504475e-51,3.6191126914613383e-38,4.082382050372646e-19,1.8506092652186167e-37,2.3659496609089915e-38,3.3667519620092468e-40,3.860032729919332e-39,3.389786996182829e-34,6.214457165490483e-22,1.0972636742900928e-37,1.2883852632126475e-35,2.5799221027781038e-15,9.384141853679843e-56,1.120841090599548e-36,5.143227018665785e-55,5.133949336733658e-70,6.898190767616489e-56,2.018062421311513e-84,2.7031780836803196e-56,1.3171568912924676e-70,1.2582464266402389e-54,4.270532947186528e-38,8.682527243894597e-78,2.7313412212202203e-41
8.889646798503029e-22,0.8894837856696007,2.772450309005247e-23,7.9142661984649905e-25,5.326299104342889e-36,8.67506185704188e-19,0.0,0.0,1.85456224863816e-20,8.788337694766212e-37,1.3474387074542236e-46,5.731947313687852e-35,4.8309353070294666e-52,1.7843358750223597e-58,1.2392637305351213e-37,9.306349605485999e-32,1.3205721476667635e-21,1.618956951686713e-38,3.284795911252271e-80,5.439254394081609e-75,8.352363534966692e-53,5.337668983363854e-71,1.906657489950818e-18,9.327410867198188e-55,4.075370046704058e-39,1.200734863253484e-73,5.998605439848568e-56,2.3873049163726625e-53,1.100545771801676e-57,1.0124113057689188e-57,1.49152912389529e-54,3.814457347806546e-81,6.220383732449331e-71,4.451243289985997e-89,3.76,0.0,0.8721596408222184,0.9999999999999944,2.222434574689759e-47,1.9646319648916413e-36,1.8573346989470414e-20,1.9066574899509112e-18,8.268774363225029e-52,1.4942664844345909e-50,1.5805616141887503e-37,8.675061857041864e-19,8.08209685979433e-37,1.0332723759815393e-37,1.470349034302827e-39,1.6857777052934603e-38,1.480409038910635e-33,1.320572147666688e-21,4.792038742599308e-37,5.626716933562795e-35,5.482334468399304e-15,8.396794002051883e-55,4.895007513966364e-36,4.5529098228580773e-54,9.615318922515114e-69,6.101371614426555e-55,7.61981971911697e-83,2.482111874062104e-55,2.450500930185003e-69,1.1129047151758316e-53,1.865053934981333e-37,1.626141261393075e-76,1.1928485569815142e-40
1.8302213996918e-21,0.889483785669601,5.707985930618599e-23,1.6294077467447936e-24,2.2236250277038177e-35,1.7860421470380343e-18,0.0,0.0,3.818216394255019e-20,3.668957988791357e-36,1.1326034228918154e-45,2.3929751698635546e-34,4.0606922112475923e-51,1.4998418172581445e-57,5.1736821254305624e-37,3.8852177644316513e-31,2.7188250099021557e-21,6.758826609813173e-38,1.1398454918324355e-78,9.17409755376233e-74,7.02066481879565e-52,9.142505259295964e-70,3.925471302839722e-18,7.840250852544593e-54,1.70138677067897e-38,2.073970874819016e-72,5.042189315284449e-55,2.0423896173625737e-52,9.415400782463777e-57,8.661391870061036e-57,1.2537201000063982e-53,6.588605035251226e-80,1.0491586358791313e-69,1.5443430947064174e-87,3.76,0.0,0.8721596408222184,0.9999999999999887,1.868090171756095e-46,8.201951714846822e-36,3.823924380185121e-20,3.9254713028401115e-18,6.950403083324464e-51,1.2560210164765748e-49,6.598533765727734e-37,1.7860421470380273e-18,3.374116342570829e-36,4.313708769648619e-37,6.138417779430543e-39,7.037790073583235e-38,6.18041631834956e-33,2.7188250099018413e-21,2.00058184356235e-36,2.3490435576181014e-34,1.1287159199628455e-14,7.096322440577791e-54,2.0435692786653063e-35,3.828495249861793e-53,1.6608072277681354e-67,5.128570477134747e-54,2.6436694366511776e-81,2.1225167295425593e-54,4.219178466550541e-68,9.354634706446677e-53,7.786233041942311e-37,2.808754636292533e-75,4.979908639077071e-40
3.712734839374795e-21,0.8894837856696007,1.157905717481348e-22,3.305370000547562e-24,9.08423378954459e-35,3.623114069705726e-18,0.0,0.0,7.745524685488691e-20,1.4988890535725312e-35,9.285767151046991e-45,9.776084377524288e-34,3.3292008114721284e-50,1.2296609384141617e-56,2.1136179613289815e-36,1.587238228304018e-30,5.515330734372926e-21,2.761201228754305e-37,3.796474683905192e-77,1.506848278017119e-72,5.755965189150844e-51,1.5128387311719868e-68,7.963098928616924e-18,6.427911336919624e-53,6.950720107055448e-38,3.445933628103158e-71,4.133891436917156e-54,1.688687231578861e-51,7.784835442939832e-56,7.1614062930644e-56,1.0278754845641684e-52,1.09473268842165e-78,1.723246210149906e-68,5.143307321025758e-86,3.76,0.0,0.8721596408222184,0.999999999999977,1.5315731880601266e-45,3.350764898609348e-35,7.757103742661391e-20,7.963098928618515e-18,5.698360373381413e-50,1.029761914900079e-48,2.6957164794527055e-36,3.623114069705698e-18,1.378436620646726e-35,1.7622907852524355e-36,2.507743954539543e-38,2.875166882484404e-37,2.5249017280643236e-32,5.515330734371642e-21,8.17302960472101e-36,9.596609406908893e-34,2.2896808662033765e-14,5.833239419413967e-53,8.348647303583756e-35,3.1394287077570556e-52,2.759456048402846e-66,4.204711932317207e-53,8.804523000240884e-80,1.754553841504343e-53,6.999172384440654e-67,7.669494715566615e-52,3.180930256158823e-36,4.666787836704837e-74,2.034455763092734e-39
7.477761718740784e-21,0.8894837856696007,2.3321199667075955e-22,6.657294508177813e-24,3.6719925424546006e-34,7.297257915041111e-18,0.0,0.0,1.5600141267955844e-19,6.058749206281041e-35,7.519854988692517e-44,3.951649611585537e-33,2.6960731324925875e-49,9.958113090407485e-56,8.543581738126807e-36,6.415870696361041e-30,1.1108342183314418e-20,1.1161217035223597e-36,1.2392825564433881e-75,2.442665993174658e-71,4.661329843649555e-50,2.4613530635928563e-67,1.603835418016889e-17,5.205489255491294e-52,2.8095921997238935e-37,5.6177415249399844e-70,3.3477324639885506e-53,1.3732124117134352e-50,6.330498894923421e-55,5.823536663897048e-55,8.324002168729564e-52,1.784775705136853e-77,2.7934563666081958e-67,1.678861177297047e-84,3.76,0.0,0.8721596408222184,0.9999999999999538,1.2403076764074911e-44,1.3544327461393152e-34,1.5623462467614386e-19,1.6038354180175323e-17,4.6146799703420234e-49,8.339278970651812e-48,1.0896518079426189e-35,7.297257915040997e-18,5.571861213718368e-35,7.123461120042927e-36,1.013670201802735e-37,1.1621884238556562e-36,1.020605648188855e-31,1.1108342183309225e-20,3.3036692417185755e-35,3.8791029588558904e-33,4.6116107586632396e-14,4.729990193107159e-52,3.374656723494417e-34,2.5426289125532987e-51,4.49860980961972e-65,3.405084737284878e-52,2.873942949418358e-78,1.4266221367284309e-52,1.1401425561736093e-65,6.210955665741571e-51,1.285782868236279e-35,7.608042010346957e-73,8.223600275048738e-39
1.5007815477472762e-20,0.8894837856696007,4.680548466709175e-22,1.336114352353717e-23,1.4764920515673228e-33,1.464554560571188e-17,0.0,0.0,3.130937443288939e-19,2.4361964084984364e-34,6.052633507496117e-43,1.5889409288715458e-32,2.1700342100956685e-48,8.015155751422504e-55,3.4353366408615376e-35,2.579793388980316e-29,2.229436508119719e-20,4.4878764342515744e-36,4.005226964947286e-74,3.933838278838277e-70,3.7518437847004e-49,3.97123856900079e-66,3.218886468326311e-17,4.189830620146705e-51,1.1297246664727316e-36,9.072667576249638e-69,2.6945463331597255e-52,1.1075455580849916e-49,5.105776696827529e-54,4.696893291541567e-54,6.699881117236072e-51,2.882692492755084e-76,4.498775361148178e-66,5.425789228872493e-83,3.76,0.0,0.8721596408222184,0.9999999999999074,9.983075223017281e-44,5.446114502109826e-34,3.1356179917522153e-19,3.2188864683288956e-17,3.7142959082285457e-48,6.712177216430476e-47,4.381442848762822e-35,1.4645545605711413e-17,2.2404208881086264e-34,2.8643123862474937e-35,4.075923298627064e-37,4.6731085373560866e-36,4.10381042349922e-31,2.2294365081176316e-20,1.3283908720216193e-34,1.5597702388413113e-32,9.255470543498171e-14,3.809536907339943e-51,1.3569346262375154e-33,2.0466240805130693e-50,7.265266858858654e-64,2.740708432205031e-51,9.288087002214976e-77,1.1505620075904106e-51,1.8406074450107176e-64,4.999117460715345e-50,5.17007636237514e-35,1.2287008169095576e-71,3.3066773613482846e-38
3.006792299493671e-20,0.8894837856696007,9.377405472908676e-22,2.676884155465131e-23,5.9213935060507124e-33,2.934212098705342e-17,0.0,0.0,6.272784076275342e-19,9.77023721355316e-34,4.8568572082153725e-42,6.372363796290906e-32,1.7413157896274515e-47,6.431657713644306e-54,1.3777236421707638e-34,1.03461253305894e-28,4.466641087696191e-20,1.799839298197966e-35,1.288033743214894e-72,6.314681651384296e-69,3.010618354353675e-48,6.380969085071921e-65,6.448988568941265e-17,3.3620752063473703e-50,4.5307011942557156e-36,1.4584048176210275e-67,2.162203735759533e-51,8.896408231685353e-49,4.10123750693981e-53,3.772800119788497e-53,5.376232652840041e-50,4.634727976576305e-75,7.221530783240741e-65,1.7448525040686086e-81,3.76,0.0,0.8721596408222184,0.9999999999998145,8.010789154351044e-43,2.184135498770554e-33,6.282161481734483e-19,6.448988568951632e-17,2.9804885481890186e-47,5.386099497991413e-46,1.7571552318825743e-34,2.934212098705155e-17,8.985089814116207e-34,1.148717376386603e-34,1.634627542885349e-36,1.8741255333164912e-35,1.645811527229663e-30,4.466641087687818e-20,5.327441534079566e-34,6.255376282043536e-32,1.8543190112828858e-13,3.0578844925653307e-50,5.4419147550565286e-33,1.6423249573075301e-49,1.1678704285106063e-62,2.199245912994006e-50,2.9869095848490343e-75,9.241698695866764e-51,2.958139343225997e-63,4.011476928796291e-49,2.0734318586150395e-34,1.975100677683866e-70,1.3261286122986595e-37
