Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3F(1),O2(2),H2O(3),CH4(4),CH2F(45),HF(38),C1OO1(156),CH2O2(158),CHO2(146),CHF(39),CHFO(46),S(139),CHFO2(186),CHFO2(165),CFO2(148),F(37),CH2FO(131),CH2CHF(55),O2(128),C2H4F(61),CFO(50),C2H4F(62),S(564),CFO3(1309),C2H2O(181),CH2CF(69),CH2CFO(78),CFO3(296),CHO2(145),CHO3(309),CHFO2(220),C2H2F(70),CF(49),CH2F2(40),CHF2(81)
0.0,0.6069221637513895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7422995212422474,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.876222458239203e-22,0.6069221637513894,2.283100384109202e-27,1.5915598729782665e-30,2.230511871769289e-39,3.330869472469616e-23,0.0,0.0,1.6817533805737436e-23,3.7354436401876473e-41,9.288748097187189e-50,1.2111974946226355e-39,9.755747436137797e-58,7.152379188232466e-68,2.2049636806957073e-43,3.3068033043390714e-35,1.7013052732611893e-26,4.622829903853035e-44,7.895910671379862e-88,2.5013225009039135e-88,4.279163200414065e-61,7.308329886347946e-82,3.690925687940058e-22,1.758642339039472e-61,3.9007310605949016e-45,3.3237325472556295e-84,1.7751462915975298e-66,1.3775396520266666e-61,2.2338095076204837e-66,1.0539996509743603e-67,5.7343392764400147e-61,8.185238923368318e-94,2.9814521873095543e-81,1.9917547697806087e-98,3.76,0.0,0.7422995212422474,0.9999999999999997,1.5287569970737152e-50,2.4634873536488216e-42,1.6819816906121505e-23,3.690925687940389e-22,4.7906065281260034e-55,1.7050950887982716e-53,2.262771293511083e-41,3.330869472469611e-23,2.1618780078236514e-39,8.472704666228524e-40,4.152104511398606e-44,4.993566538695577e-43,3.723236859528006e-38,1.701305273261052e-26,6.592132853549169e-41,4.734205034051005e-40,4.153311931446808e-16,3.552757274533655e-63,1.0332922956768154e-40,4.0519108918815535e-62,6.46875529690721e-77,6.2629190850281595e-59,6.757063397836274e-93,1.5489177033383151e-61,2.0884987821638837e-75,1.4952217953225825e-57,4.663679090283541e-42,2.831899511055233e-87,2.832546671053789e-45,1.5614046519092726e-61,2.1024123495072822e-43,7.768555560615762e-45,1.404116581009773e-63
2.205342288306977e-21,0.6069221637513895,6.392681075626454e-27,4.456367644671003e-30,1.347229170593913e-38,9.326434522914923e-23,0.0,0.0,4.7089094656064786e-23,2.2562079586733375e-40,1.1027601740978887e-48,7.315632868152529e-39,1.1582023356194932e-56,8.491304572268449e-67,1.3317980631400621e-42,1.9973091958204566e-34,4.763654765131329e-26,2.7921920022096915e-43,4.779604720490769e-86,5.595358381625701e-87,5.080222551531571e-60,1.824398053941072e-80,1.033459192623109e-21,2.0878601849076133e-60,2.356041560599262e-44,1.0450346928443098e-82,2.107453677384572e-65,2.0817379221436675e-60,3.3757329279160737e-65,1.59280427258756e-66,6.807807588990783e-60,4.9684898807848715e-92,6.669389330159054e-80,1.2116816240979015e-96,3.76,0.0,0.7422995212422474,0.9999999999999988,1.814940306925692e-49,1.4879463616038877e-41,4.7095487337140186e-23,1.033459192623309e-21,5.687408070243031e-54,2.0242888894202337e-52,1.3667140116003964e-40,9.3264345229149e-23,1.305774316725498e-38,5.117513618401962e-39,2.5078711248973256e-43,3.016114189361949e-42,2.2488350631548868e-37,4.7636547651305e-26,3.981648243542234e-40,2.8594598405668033e-39,1.1629273408022173e-15,4.425770252199069e-62,6.24108546588795e-40,4.8181276052807605e-61,2.033880165430108e-75,7.435337537724037e-58,4.1106514095863815e-91,2.340292535224324e-60,5.889874865509078e-74,1.7751273154070208e-56,2.8168621705306854e-41,8.903945167453423e-86,1.7108582976829683e-44,2.3561334098978846e-60,1.2698570591023956e-42,4.692207558611918e-44,2.1206428975537024e-62
5.04078237327309e-21,0.6069221637513895,1.4611842459143728e-26,1.0185983189383906e-29,6.486328523784038e-38,2.131756462380554e-22,0.0,0.0,1.076322163567194e-22,1.0862670105665662e-39,1.0826964782075996e-47,3.5221623153103454e-38,1.1371299211599869e-55,8.336813181800226e-66,6.412034383460946e-42,9.616184009012885e-34,1.0888353748871604e-25,1.3443230464641506e-42,2.1637849676139833e-84,1.1055485263577214e-85,4.9877926264026155e-59,4.105160352648208e-79,2.362192440280887e-21,2.0498735103842615e-59,1.1343325924209101e-43,2.33141491391002e-81,2.0691105174860354e-64,2.23943866150991e-59,3.631459440348465e-64,1.7134661527118504e-65,6.683945860622186e-59,2.2403292861603803e-90,1.3177589468165375e-78,5.4701100471044514e-95,3.76,0.0,0.7422995212422474,0.9999999999999973,1.7819191557884308e-48,7.163821224410769e-41,1.0764682819917748e-22,2.3621924402818485e-21,5.583930969344381e-53,1.9874588354999375e-51,6.580141176325765e-40,2.1317564623805427e-22,6.286741246751372e-38,2.4638625169391583e-38,1.2074319919335673e-42,1.452129149437405e-41,1.0827172787507017e-36,1.0888353748867612e-25,1.9169922338099045e-39,1.3767068239020272e-38,2.6581196361057352e-15,4.4363641603831824e-61,3.0048139958281595e-39,4.733839907793663e-60,4.53747476546323e-74,7.300058485442512e-57,1.855744539516443e-89,2.5174312367165833e-59,1.281151590651325e-72,1.742830524628163e-55,1.3561978794535935e-40,1.9864211867425319e-84,8.237047344921616e-44,2.5334292684197152e-59,6.113815112367142e-42,2.259095957027062e-43,2.280857770286677e-61
1.0711662543205315e-20,0.6069221637513894,3.105016522810933e-26,2.1645214284119437e-29,2.8327500778485777e-37,4.529982482558677e-22,0.0,0.0,2.287184597580283e-22,4.744013423038296e-39,9.5763277382648e-47,1.5382208191500593e-37,1.0057785376839707e-54,7.373816847892701e-65,2.8003038744813067e-41,4.19964019650532e-33,2.3137751716352144e-25,5.871036452271466e-42,8.179806067637928e-83,1.967264533427686e-84,4.41164609309885e-58,8.750212736099076e-78,5.019658935594729e-21,1.8130899058558287e-58,4.95392844695463e-43,4.3664821165113045e-80,1.8301048207852955e-63,2.058429951237319e-58,3.3379368710471303e-63,1.5749705987082777e-64,5.9118744204463724e-58,8.45406629461157e-89,2.3448816415377843e-77,2.065409472403776e-93,3.76,0.0,0.7422995212422474,0.9999999999999943,1.5760873137016622e-47,3.128628939134e-40,2.287495099232517e-22,5.019658935598929e-21,4.938923706574285e-52,1.7578848327404805e-50,2.8737218727144637e-39,4.529982482558628e-22,2.7455850699362412e-37,1.0760334926109236e-37,5.2731727296710455e-42,6.341829503985611e-41,4.7285108116001315e-36,2.3137751716334705e-25,8.372008723984779e-39,6.012440393244726e-38,5.64850422666655e-15,3.960100294478192e-60,1.312281215509536e-38,4.188367615485078e-59,8.498188063578345e-73,6.456819059761385e-56,7.006938283153571e-88,2.313899131516338e-58,2.3750222471914656e-71,1.541513862106108e-54,5.922872444651213e-40,3.7203470428415814e-83,3.597335951918752e-43,2.3282260841572825e-58,2.670063683874214e-41,9.866065561982e-43,2.0963442707445933e-60
2.2053422883069767e-20,0.6069221637513895,6.392681077376479e-26,4.4563676494829367e-29,1.1826173950435e-36,9.326434522914926e-22,0.0,0.0,4.708909465606446e-22,1.980532218027477e-38,8.049480481032356e-46,6.421769125303022e-37,8.454174636341513e-54,6.198137366441726e-64,1.1690717435028467e-40,1.7532671119558052e-32,4.763654765131318e-25,2.45106264196318e-41,2.83949042283614e-81,3.3180791770725685e-83,3.708254362867559e-57,1.9373383573027095e-76,1.0334591926215557e-20,1.5240113127336283e-57,2.0681676083266118e-42,7.542012007661906e-79,1.5383133739575833e-62,1.7610301606877777e-57,2.855675268827925e-62,1.3474205062701642e-63,4.9692866675485916e-57,2.9322525449848973e-87,3.954985626218988e-76,7.165864939151951e-92,3.76,0.0,0.7422995212422474,0.9999999999999883,1.324796353549485e-46,1.3061409949046022e-39,4.709548733713986e-22,1.033459192623309e-20,4.151462968181871e-51,1.477608122418488e-49,1.1997234367794248e-38,9.326434522914715e-22,1.1462277197482841e-36,4.492228014033474e-37,2.2014458121188748e-41,2.6475889786744014e-40,1.9740601829213557e-35,4.763654765124036e-25,3.4951488389313707e-38,2.5100755090537965e-37,1.162927340760329e-14,3.343050319645123e-59,5.478515751678299e-38,3.52110657097509e-58,1.4678506529461992e-71,5.427345472127413e-55,2.4310323954247534e-86,1.9795688624972617e-57,4.082046325509959e-70,1.2957352842784392e-53,2.4726826536603367e-39,6.42597433694258e-82,1.5018177567051145e-42,1.9916816577565874e-57,1.1146990277087298e-40,4.1188881582384615e-42,1.7934067685033314e-59
4.4736943562798675e-20,0.6069221637513895,1.2968010189597263e-25,9.040060100120475e-29,4.8313779400732026e-36,1.8919338603627417e-21,0.0,0.0,9.552359201658713e-22,8.091120342391937e-38,6.599450427458645e-45,2.6235022287147723e-36,6.931243146716427e-53,5.081607488683698e-63,4.776039530917051e-40,7.162668229290207e-32,9.663413952123502e-25,1.001355813970304e-40,9.459128468651504e-80,5.449955011967709e-82,3.0402509699706203e-56,4.677975770216636e-75,2.096445790742978e-20,1.2494765510637583e-56,8.449139506484164e-42,1.2531165813536004e-77,1.2612022449496371e-61,1.4560537918521587e-56,2.3611275356120413e-61,1.1140733315491476e-62,4.0741214417233675e-56,9.764209286173496e-86,6.496075769293106e-75,2.3865322117093607e-90,3.76,0.0,0.7422995212422474,0.9999999999999764,1.0861480914618818e-45,5.336012147497467e-39,9.553656002676869e-22,2.0964457907501414e-20,3.4036201626823395e-50,1.2114324120700661e-48,4.901270886856799e-38,1.891933860362656e-21,4.682714240067903e-36,1.8352217215230125e-36,8.993624457354334e-41,1.0816264864273952e-39,8.064679967208715e-35,9.66341395209375e-25,1.4278823445928946e-37,1.0254477471955451e-36,2.3590811768737224e-14,2.746544053347562e-58,2.23815244412766e-37,2.8870272983283533e-57,2.438855813349963e-70,4.4496657242296426e-54,8.096352873312944e-85,1.6367377778631057e-56,6.765686120608517e-69,1.0623220710804992e-52,1.0101715456650058e-38,1.0676852487357566e-80,6.135422190534299e-42,1.6466964861101018e-56,4.55390924552649e-40,1.6827002086516046e-41,1.4827999811224547e-58
9.010398492225648e-20,0.6069221637513894,2.6118668426397616e-25,1.8207445035377773e-28,1.952920212701419e-35,3.8105146765052406e-21,0.0,0.0,1.9239258673763014e-21,3.2705602082789217e-37,5.344406058433611e-44,1.0604615501602511e-35,5.613100405029494e-52,4.115217493887929e-62,1.930551540691718e-39,2.895265019474241e-31,1.9462932326107785e-24,4.047775708801006e-40,3.088006370238091e-78,8.834611929092364e-81,2.462074059311468e-55,1.2417266118100731e-73,4.222418986974853e-20,1.0118585059178483e-55,3.4152772786361417e-41,2.042896318270899e-76,1.0213542768363204e-60,1.1840387620230452e-55,1.920029699345933e-60,9.059459318163793e-62,3.299329172259133e-55,3.1869702065981085e-84,1.0530418758660445e-73,7.790038624033435e-89,3.76,0.0,0.7422995212422474,0.9999999999999525,8.795908847529881e-45,2.1569014255124975e-38,1.9241870540602405e-21,4.222418987003808e-20,2.7563398534249365e-49,9.810493757825655e-48,1.981179484801729e-37,3.810514676504891e-21,1.8928279659952703e-35,7.418259625100883e-36,3.6353668019671444e-40,4.372107194832917e-39,3.2598725858832902e-34,1.946293232598752e-24,5.7717287355172155e-37,4.145023749152968e-36,4.7513888488046916e-14,2.2265001775930136e-57,9.046970028951217e-37,2.338073886968418e-56,3.9759505109126164e-69,3.6034546684955285e-53,2.6427844249789786e-83,1.3309647989105042e-55,1.1016161707575405e-67,8.602959557214998e-52,4.0832749000838834e-38,1.740596431135316e-79,2.4800411010931636e-41,1.339040751513808e-55,1.8407629277861852e-39,6.801743283985917e-41,1.2057790564886512e-57
1.808380676411721e-19,0.6069221637513895,5.241998494943344e-25,3.6542215041821216e-28,7.85260630070776e-35,7.647676308790238e-21,0.0,0.0,3.861305761797068e-21,1.315077875302546e-36,4.30164294859922e-43,4.264069277507952e-35,4.5179115349957563e-51,3.3122850548805764e-61,7.762662836322527e-39,1.164173330478838e-30,3.9061969074076036e-24,1.6277017028198204e-39,9.980525129600753e-77,1.4227870156498025e-79,1.9816913985359514e-54,3.5555393365682193e-72,8.474365379394716e-20,8.144317552619147e-55,1.373267972802134e-40,3.299283076656059e-75,8.22074777811377e-60,9.549701563509666e-55,1.5485735103751048e-59,7.306782152234684e-61,2.6555871530173336e-54,1.029936543774882e-82,1.6958914777478647e-72,2.5176058735637104e-87,3.76,0.0,0.7422995212422474,0.9999999999999046,7.079712667206519e-44,8.672805768014655e-38,3.861829961645255e-21,8.474365379511145e-20,2.2185421115893114e-48,7.896338869674788e-47,7.966295306844177e-37,7.647676308788833e-21,7.610978001673924e-35,2.982849568559413e-35,1.4617650026463878e-39,1.7580050734118103e-38,1.3107804293420528e-33,3.906196907359243e-24,2.3207867395081787e-36,1.6666958190575316e-35,9.536004191483356e-14,1.7929908520987023e-56,3.6377468586210604e-36,1.881918958536881e-55,6.42117069454676e-68,2.9003738100965082e-52,8.541022593285595e-82,1.0734700629146743e-54,1.7780126341596404e-66,6.924410292227072e-51,1.6418668784055096e-37,2.8110679045580025e-78,9.972179253890743e-41,1.0799747389814718e-54,7.401626772932608e-39,2.7349510593369456e-40,9.725008068313467e-57
3.623062330790033e-19,0.6069221637513895,1.0502261819324563e-24,7.321175559842363e-28,3.149246357411719e-34,1.5321999573360234e-20,0.0,0.0,7.736065550638227e-21,5.2740504629184874e-36,3.451797558165127e-42,1.7100825155785033e-34,3.6253394792324747e-50,2.657900156065376e-60,3.113174990900407e-38,4.668855744359426e-30,7.826004257001117e-24,6.52868525747745e-39,3.2096867992475703e-75,2.2838882601052723e-78,1.5901825447598772e-53,1.0701169834197859e-70,1.6978258164058904e-19,6.535301924752785e-54,5.507418780030982e-40,5.3035013979982075e-74,6.59663236731882e-59,7.670839631334486e-54,1.243898458573426e-58,5.869204801696906e-60,2.13094144731113e-53,3.3120618791418867e-81,2.722281405200836e-71,8.09624319210968e-86,3.76,0.0,0.7422995212422474,0.9999999999998089,5.681023550605797e-43,3.4781830136925147e-37,7.737115776814923e-21,1.6978258164525831e-19,1.7802403279037036e-47,6.336314648395489e-46,3.1948886313434795e-36,1.5321999573354595e-20,3.052342587986583e-34,1.1962560881979763e-34,5.8623314549949186e-39,7.05038662812387e-38,5.256815782528553e-33,7.826004256807174e-24,9.307392822200846e-36,6.684195682344307e-35,1.9105234872107593e-13,1.4391259607164776e-55,1.45889919251152e-35,1.5101349124905046e-54,1.0321844351158946e-66,2.3273673225096745e-51,2.7466648657078508e-80,8.622690277504495e-54,2.8572183391597722e-65,5.556403175406865e-50,6.584620525132924e-37,4.51870961696398e-77,3.999324437533852e-40,8.674903981291465e-54,2.9683833817938176e-38,1.0968376984699427e-39,7.811640651155653e-56
