Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3F(1),O2(2),H2O(3),CH4(4),CH2F(45),HF(38),C1OO1(156),CH2O2(158),CHO2(146),CHF(39),CHFO(46),S(139),CHFO2(186),CHFO2(165),CFO2(148),F(37),CH2FO(131),CH2CHF(55),O2(128),C2H4F(61),CFO(50),C2H4F(62),S(564),CFO3(1309),C2H2O(181),CH2CF(69),CH2CFO(78),CFO3(296),CHO2(145),CHO3(309),CHFO2(220),C2H2F(70),CF(49),CH2F2(40),CHF2(81),S(2051),CF2(42),CF2O(48),S(2111),CHF2O(189)
0.0,0.538417866138084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5565537963377646,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7314079268788715e-21,0.538417866138084,2.029517183634679e-28,7.20980473743727e-32,1.5692649350120634e-39,2.535443394637757e-24,0.0,0.0,4.0998371264559586e-24,6.540895584771521e-42,6.057798449113793e-50,1.6794550832663652e-40,1.2413288539623464e-58,6.8258071916768e-70,1.3323389474967937e-44,9.002480392205896e-36,9.424802418455176e-28,3.571817910946455e-45,6.833519465378952e-89,5.205384820402201e-91,6.9834534679492e-63,7.475907901905528e-84,4.0903725631251347e-23,9.829836122949258e-63,2.0559766647009865e-46,2.7669774878601453e-86,6.13140238962842e-69,2.1311700163297196e-63,2.309731048413396e-68,5.5523943346823887e-70,4.040147415299025e-62,7.205970350326327e-95,2.3403749825246877e-83,5.292834896293432e-100,3.76,0.0,0.5565537963377646,0.9999999999999996,9.97534041660938e-51,1.2309366577467036e-43,4.100040078174314e-24,4.0903725631260345e-23,3.19124422949862e-55,1.2456410715889975e-53,4.915956386851136e-42,2.535443394637752e-24,1.562119281729281e-39,7.561115605829177e-40,6.396768862359492e-45,7.420858296702232e-44,5.380840783895286e-39,9.424802418453847e-28,1.9514145871482747e-41,3.8910902830540843e-41,4.3011626335007775e-16,5.644172378134077e-65,1.4334803660159077e-41,6.796380197044603e-64,2.9939674647702284e-78,2.5387751547530482e-59,1.3602686263096177e-94,7.674718649774752e-63,2.562262078245163e-76,6.983563394688559e-58,6.7969927525713806e-43,2.4996782677385455e-89,4.2436441404821765e-46,7.570518112388878e-63,1.1736069504636499e-44,6.981460627927378e-46,1.7846172148455902e-65,6.016385899013392e-81,1.412251070809272e-65,3.11991691643064e-61,6.588048599248984e-86,5.2780260629186297e-67
4.84794219526084e-21,0.5384178661380838,5.682648114351516e-28,2.018745327355209e-31,9.478360207767984e-39,7.099241504985721e-24,0.0,0.0,1.147954395407668e-23,3.9507009332019976e-41,7.191818318785174e-49,1.0143908707043028e-39,1.4737056154288047e-57,8.10359829795579e-69,8.047327242878556e-44,5.437498156890112e-35,2.6389446771674487e-27,2.1573958893846378e-44,4.128145534502542e-87,1.1644237627851531e-89,8.29075595714928e-62,2.4767289508309716e-82,1.145304317674746e-22,1.1669981445165032e-61,1.2418099054793573e-45,8.6998199444681e-85,7.27920091696675e-68,3.220624128681084e-62,3.490465560362322e-67,8.390778320014678e-69,4.7964630114440074e-61,4.38370286853474e-93,5.2353252641292454e-82,3.219889757768703e-98,3.76,0.0,0.5565537963377646,0.9999999999999988,1.1842724142594794e-49,7.43485741279009e-43,1.1480112218888068e-23,1.1453043176752895e-22,3.788645149382605e-54,1.478825080180503e-52,2.969238637515348e-41,7.099241504985689e-24,9.435200461644915e-39,4.5669138259207633e-39,3.863648392926639e-44,4.4821984111727974e-43,3.2500278334726964e-38,2.6389446771666463e-27,1.1786544106368745e-40,2.350218530964663e-40,1.204325537373577e-15,7.185200587008062e-64,8.658221410736059e-41,8.078359786543614e-63,9.413512744008682e-77,3.014033863703929e-58,8.27517786489914e-93,1.1596889276056477e-61,7.225669299050465e-75,8.290886462175028e-57,4.1053836225517526e-42,7.859388426774933e-88,2.5631612646392378e-45,1.1429835498396535e-61,7.088585980800428e-44,4.216802219268133e-45,2.6928734097257093e-64,1.6942654386225067e-79,2.0735156560661266e-64,3.703965363186447e-60,1.4740413041491873e-84,6.266072541894203e-66
1.1081010732024779e-20,0.538417866138084,1.2988909976482845e-27,4.6142750380692616e-31,4.5634224314577595e-38,1.622683772568165e-23,0.0,0.0,2.6238957609318103e-23,1.902092436051556e-40,7.060969872278603e-48,4.883855388309857e-39,1.4468929121931018e-56,7.956160862609443e-68,3.874441659317557e-43,2.617921298050103e-34,6.0318735478113106e-27,1.038711455262697e-43,1.8709905113618942e-85,2.3007051330791097e-88,8.139913362241538e-61,9.56449760163006e-81,2.6178384403980444e-22,1.1457656984908628e-60,5.97878014094989e-45,1.9408819756897345e-83,7.146762625350542e-67,3.464600472158814e-61,3.7548835707846854e-66,9.026416426767224e-68,4.7091958272756534e-60,1.9790031185919586e-91,1.0344120532372892e-80,1.4536121506117429e-96,3.76,0.0,0.5565537963377646,0.9999999999999972,1.1627256789587912e-48,3.579563800727413e-42,2.6240256500315534e-23,2.6178384404006625e-22,3.7197142742813044e-53,1.451919233013275e-51,1.4295615870822015e-40,1.6226837725681486e-23,4.5426428712688316e-38,2.1987724181750343e-38,1.860180385266397e-43,2.1579855926279806e-42,1.5647484999566635e-37,6.031873547807444e-27,5.674713619416927e-40,1.1315290543121206e-39,2.752744085394013e-15,7.266750952007231e-63,4.1685609043742214e-40,7.935630807445425e-62,2.1001029095068023e-75,2.9591963203215906e-57,3.7358108499268595e-91,1.2475009937133863e-60,1.5717081973194338e-73,8.140041492851365e-56,1.9765654924457138e-41,1.753386326494283e-86,1.234052021734222e-44,1.229200119321853e-60,3.412849011948266e-43,2.0302087506012769e-44,2.8954795358338907e-63,3.6835224283629936e-78,2.2097053305526836e-63,3.6365751577915234e-59,2.9127412011837696e-83,6.152067178929287e-65
2.3547147805552655e-20,0.538417866138084,2.7601433703536143e-27,9.805334473461734e-31,1.9929664679227547e-37,3.44820301670735e-23,0.0,0.0,5.575778491980084e-23,8.306937392659805e-40,6.245347889080645e-47,2.132907962125258e-38,1.2797603953116599e-55,7.037134182312119e-67,1.6920704633177055e-42,1.1433150098066648e-33,1.2817731289099026e-26,4.5364857500831645e-43,7.076379454458252e-84,4.093981858117183e-87,7.199661187316802e-60,3.3551501630330645e-79,5.562906685839973e-22,1.01341678493136e-59,2.6110903641696534e-44,3.6350571528115206e-82,6.321230607610585e-66,3.1845647320269176e-60,3.451384911023164e-65,8.296831816715325e-67,4.1652303792832105e-59,7.472320817893563e-90,1.8406809834343755e-79,5.4885628977269815e-95,3.76,0.0,0.5565537963377646,0.9999999999999941,1.0284176955882438e-47,1.5632895553383122e-41,5.576054506317025e-23,5.5629066858514075e-22,3.2900451516370927e-52,1.2842061191005865e-50,6.24327979908848e-40,3.4482030167072784e-23,1.983891487796271e-37,9.602616819402118e-38,8.123896456149871e-43,9.424490036263865e-42,6.833667795546123e-37,1.2817731289082139e-26,2.478296525667707e-39,4.94168465947861e-39,5.849581181328633e-15,6.51166407539466e-62,1.8205200648401626e-39,7.020663154312722e-61,3.933260326539274e-74,2.61737563342122e-56,1.4105710945215531e-89,1.146654045106662e-59,2.9136585223439694e-72,7.199774517393111e-55,8.632180795744526e-41,3.283898549371429e-85,5.389431217126414e-44,1.129712779850971e-59,1.4904808270888048e-42,8.866454997467717e-44,2.660940432548099e-62,6.827247708816936e-77,2.0235287582258483e-62,3.216509544163266e-58,5.1832993953376184e-82,5.4414337498083806e-64
4.847942195260841e-20,0.538417866138084,5.682648116880526e-27,2.018745340010413e-30,8.320242689550864e-37,7.099241504985721e-23,0.0,0.0,1.1479543954076595e-22,3.4679828390458365e-39,5.249591211194698e-46,8.90447090887103e-38,1.0757157236376945e-54,5.915135299357572e-66,7.064061099598996e-42,4.7731151039162156e-33,2.638944677167444e-26,1.8940271592468597e-42,2.4569922067465205e-82,6.905098792704735e-86,6.051749040069097e-59,1.1222208998234433e-77,1.1453043176705167e-21,8.518378706765931e-59,1.0900788276239233e-43,6.278657304626939e-81,5.313375208412429e-65,2.724462174883064e-59,2.9527324555190958e-64,7.098114307643478e-66,3.501127107751333e-58,2.592492059716155e-88,3.104577520691535e-78,1.9042374386953271e-93,3.76,0.0,0.5565537963377646,0.9999999999999879,8.644470399541368e-47,6.526426159373009e-41,1.1480112218887889e-22,1.14530431767529e-21,2.7654811908149157e-51,1.0794526222643035e-49,2.6064537453172534e-39,7.099241504985419e-23,8.282356431729401e-37,4.008903494209784e-37,3.3915668516809875e-42,3.934539068418349e-41,2.8529217836204784e-36,2.6389446771603926e-26,1.0346400140964727e-38,2.0630560680752047e-38,1.204325537277287e-14,5.506871935721319e-61,7.600312900615982e-39,5.90195951272679e-60,6.793729081074625e-73,2.2000619284833897e-55,4.893926402881762e-88,9.809812234359965e-59,5.007817477387014e-71,6.051844300831851e-54,3.60376555739433e-40,5.672118133634937e-84,2.249982966126296e-43,9.66441980638726e-59,6.222464051357996e-42,3.701570424927047e-43,2.27629823272858e-61,1.1733233196213544e-75,1.7282828778253375e-61,2.7036700811080096e-57,8.742580896555673e-81,4.5738529376752343e-63
9.834397024671992e-20,0.538417866138084,1.152765761439936e-26,4.095169147681874e-30,3.399090623319174e-36,1.4401318481542463e-22,0.0,0.0,2.3287074878269467e-22,1.4167841472438303e-38,4.3039320418509735e-45,3.6377669371508163e-37,8.819367422936518e-54,4.8495852958049535e-65,2.8858994538113987e-41,1.9499732628468213e-32,5.353287773682515e-26,7.738811232066928e-42,8.185776747638124e-81,1.1341645501803188e-84,4.9615894943250046e-58,3.669791156444618e-76,2.323331615836088e-21,6.983881522567171e-58,4.4533276948043545e-43,1.0432083176438852e-79,4.356226016463975e-64,2.2526380121678732e-58,2.441376294470267e-63,5.8688581903648644e-65,2.8704355321351577e-57,8.634075745644251e-87,5.099277902252337e-77,6.34190572240082e-92,3.76,0.0,0.5565537963377646,0.9999999999999755,7.087259110406948e-46,2.666258038145659e-40,2.328822764402931e-22,2.3233316158555885e-21,2.2673085648326245e-50,8.850004774092418e-49,1.0648273903116037e-38,1.4401318481541231e-22,3.383612848997528e-36,1.6377678846843063e-36,1.3855657233889421e-41,1.6073875900813362e-40,1.1655116371541753e-35,5.353287773653711e-26,4.226842052265855e-38,8.428257196705869e-38,2.4430603753961315e-14,4.528168076191302e-60,3.104975812004792e-38,4.839049263883418e-59,1.1287882476159882e-71,1.80374369091731e-54,1.6298818216469613e-86,8.110921136859447e-58,8.30007740276196e-70,4.961667594861873e-53,1.472255818161872e-39,9.424309237265644e-83,9.191927023451088e-43,7.990529446600382e-58,2.542079598982051e-41,1.51221229785154e-42,1.8820122007839545e-60,1.9446141338206276e-74,1.4278483254453106e-60,2.216632081358252e-56,1.4359868110193388e-79,3.749920978832041e-62
1.980730668349429e-19,0.5384178661380838,2.3217676627297067e-26,8.24801685239674e-30,1.3739667781871652e-35,2.900547243465595e-22,0.0,0.0,4.690213672665465e-22,5.726868047455371e-38,3.4854357544187437e-44,1.470443579214981e-36,7.142152397428065e-53,3.927319906483267e-64,1.1665267007827238e-40,7.88210370221674e-32,1.0781973966712618e-25,3.129034302104033e-41,2.6724472534203223e-79,1.8385296103339907e-83,4.0180238103986397e-57,1.1869953426848228e-74,4.6793862121373636e-21,5.655728326325337e-57,1.8001062568218614e-42,1.7006929019714511e-78,3.527784770917114e-63,1.8318078206976713e-57,1.9852866573117847e-62,4.772458040089637e-64,2.324553115006737e-56,2.8183052771818306e-85,8.266149224002485e-76,2.0701036545288497e-90,3.76,0.0,0.5565537963377646,0.9999999999999507,5.739446177143464e-45,1.077744128816802e-39,4.690445849431087e-22,4.679386212216187e-21,1.836125261797161e-49,7.166963316252529e-48,4.3042509806268405e-38,2.900547243465097e-22,1.367710412880032e-35,6.620119646446628e-36,5.600678189876577e-41,6.4973176365263305e-40,4.711184386652365e-35,1.0781973966596184e-25,1.7085571388820375e-37,3.4068363151469447e-37,4.9205300509538126e-14,3.6723345540790543e-59,1.2550808675042456e-37,3.918893791950358e-58,1.840209734777775e-70,1.46071840579999e-53,5.320205726810818e-85,6.595657931730472e-57,1.3514514515310788e-68,4.018087058251485e-52,5.951093410395938e-39,1.5364003035566442e-81,3.715533938934354e-42,6.497686833581733e-57,1.0275492182643559e-40,6.112603889860217e-42,1.5303913211374493e-59,3.1662340827314883e-73,1.1606558105584347e-59,1.7950861295513913e-55,2.3278087940901937e-78,3.0367832318779204e-61
3.9753126001138893e-19,0.5384178661380838,4.659771472453266e-26,1.6553712619314268e-29,5.524659997563734e-35,5.821378034088292e-22,0.0,0.0,9.413226042342262e-22,2.3027484542010193e-37,2.805381921140043e-43,5.912589123054076e-36,5.748625603941439e-52,3.1610487297685537e-63,4.690552558056527e-40,3.169359231820549e-31,2.163934635277265e-25,1.2588810938000842e-40,8.637644262980451e-78,2.9608952588082255e-82,3.2340551227796435e-56,3.818701212157338e-73,9.391495404620439e-21,4.5522221942617055e-56,7.238148087115926e-42,2.7466237475960764e-77,2.839468093969788e-62,1.477419369298139e-56,1.60120561107022e-61,3.849160347398479e-63,1.8710025785350607e-55,9.108274289000326e-84,1.3312378495385728e-74,6.690217304203085e-89,3.76,0.0,0.5565537963377646,0.9999999999999012,4.61960560379279e-44,4.333561741063506e-39,9.413692019486895e-22,9.39149540493739e-21,1.4778733532843973e-48,5.768595585938678e-47,1.7307593259980653e-37,5.821378034086289e-22,5.499503416103447e-35,2.6619209934898013e-35,2.25200806991586e-40,2.6125428440012705e-39,1.8943465213289414e-34,2.1639346352304487e-25,6.870033110099919e-37,1.369873898509922e-36,9.87546939934914e-14,2.9579346589367192e-58,5.046624967771613e-37,3.154309122441332e-57,2.971943636211916e-69,1.1757132521050354e-52,1.7193985583244954e-83,5.319633710971159e-56,2.181247316173798e-67,3.234106030175295e-51,2.392908486406349e-38,2.481290725308581e-80,1.4940079534412348e-41,5.240588396556628e-56,4.131730213383741e-40,2.4578511399040657e-41,1.2343042103086695e-58,5.110262090345906e-72,9.359332493069526e-59,1.444841486026458e-54,3.7488741656044244e-77,2.444267339109766e-60
7.964476463642809e-19,0.538417866138084,9.335779120476458e-26,3.316510558310088e-29,2.2156357648871964e-34,1.1663039615333685e-21,0.0,0.0,1.885925078169491e-21,9.235051230764323e-37,2.251142314814393e-42,2.371212816489481e-35,4.612910013415471e-51,2.5365425296168646e-62,1.8811213658050656e-39,1.2710548049446548e-30,4.335409112489204e-25,5.054372388834988e-40,2.7778579286305233e-76,4.752892630013913e-81,2.5951255623525345e-55,1.2252394424262886e-71,1.8815713789108704e-20,3.6528716219406446e-55,2.9028211170067764e-41,4.415117997104461e-76,2.2784943219515267e-61,1.1867435831087684e-55,1.2861754241081708e-60,3.0918549878765443e-62,1.5013617376913953e-54,2.929084290691785e-82,2.13693157332173e-73,2.1514736237131646e-87,3.76,0.0,0.5565537963377646,0.999999999999802,3.7069425642767596e-43,1.7379520814525637e-38,1.886018435959649e-21,1.8815713790379812e-20,1.185900298097973e-47,4.628934659925198e-46,6.941431312319108e-37,1.1663039615325654e-21,2.205546841161298e-34,1.067549375713804e-34,9.03155961519334e-40,1.0477465281523048e-38,7.597176817700559e-34,4.335409112301451e-25,2.7551905466728983e-36,5.493807024099133e-36,1.9785348085259654e-13,2.3744047876209087e-57,2.023922327894028e-36,2.53115143511262e-56,4.7773125933557715e-68,9.434358401582318e-52,5.529328082733722e-82,4.273017752273744e-55,3.505205265836576e-66,2.595166412365602e-50,9.596633284533768e-38,3.988602793629766e-79,5.991705058898513e-41,4.20951305807615e-55,1.6570086117166698e-39,9.857082371804639e-41,9.914555460588283e-58,8.212012104480956e-71,7.517215951962768e-58,1.1593942995973402e-53,6.017781190712398e-76,1.9613706049337227e-59
