Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19)
0.0,0.8756565971377127,3.76,0.0,0.6347290429793944,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.1509155003986163e-19,0.8756565971377127,3.76,0.0,0.6347290429793941,0.9999999999999999,2.0559029283611727e-42,1.5626212241135482e-50,1.4469020289870352e-33,1.523092276748033e-16,6.608364695927108e-17,1.4167892123440835e-31,1.13565623984037e-30,8.622558071526564e-17,1.33914758648304e-28,1.1356562398422025e-30
8.822563401116125e-19,0.8756565971377127,3.76,0.0,0.634729042979394,0.9999999999999998,2.440767956549023e-41,1.85514391822576e-49,8.739288255089042e-33,4.2646583748987893e-16,1.850342114859475e-16,8.557406842264308e-31,6.859363688631652e-30,2.4143162600232145e-16,8.088451422345758e-28,6.859363688652683e-30
2.0165859202551146e-18,0.8756565971377127,3.76,0.0,0.6347290429793935,0.9999999999999996,2.3963604532935228e-40,1.821391301690589e-48,4.2075911003053196e-32,9.747790571217485e-16,4.22935340539254e-16,4.120023029055658e-30,3.302488345449463e-29,5.518437165747433e-16,3.894241181474972e-27,3.302488345469793e-29
4.285245080542118e-18,0.8756565971377128,3.76,0.0,0.6347290429793924,0.9999999999999991,2.1195536830142482e-39,1.6109999831399912e-47,1.8375655768249216e-31,2.071405496392361e-15,8.987375986456816e-16,1.7993222992213493e-29,1.4422834245906974e-28,1.1726678977128283e-15,1.700717434815162e-26,1.4422834246085538e-28
8.822563401116125e-18,0.8756565971377132,3.76,0.0,0.6347290429793901,0.9999999999999981,1.781612583254597e-38,1.3541425615638846e-46,7.671474557791734e-31,4.26465837496108e-15,1.8503421148577944e-15,7.511816399747595e-29,6.021249383574367e-28,2.4143162599619623e-15,7.100160503368381e-26,6.0212493837239584e-28
1.789720004226414e-17,0.8756565971377135,3.76,0.0,0.6347290429793857,0.9999999999999962,1.460673636236147e-37,1.1102078951693316e-45,3.134047670953837e-30,8.651164132208497e-15,3.753551147279056e-15,3.068822102033821e-28,2.4598768416936018e-27,4.897612984352087e-15,2.900647238086278e-25,2.4598768418160465e-27
3.604647332456017e-17,0.8756565971377144,3.76,0.0,0.6347290429793769,0.9999999999999925,1.1828913811220952e-36,8.990751527376941e-45,1.2668321777469068e-29,1.7424175647143242e-14,7.559969212109713e-15,1.2404669584334721e-27,9.943215494384151e-27,9.864206432699772e-15,1.1724879909353469e-24,9.94321549537495e-27
7.234501988915224e-17,0.8756565971377158,3.76,0.0,0.6347290429793594,0.9999999999999848,9.520938927138418e-36,7.236539250754781e-44,5.093876469708874e-29,3.497019867877236e-14,1.517280534172357e-14,4.9878630704607835e-27,3.9981232182722147e-26,1.9797393327664876e-14,4.714522643186612e-24,3.9981232190693795e-26
1.4494211301833635e-16,0.8756565971377193,3.76,0.0,0.6347290429793243,0.9999999999999696,7.639953880635885e-35,5.806867398701801e-43,2.042872293780897e-28,7.006224474906919e-14,3.039847760076143e-14,2.0003561695136104e-26,1.6034262308229777e-25,3.966376711067402e-14,1.8907344417204456e-23,1.6034262314625256e-25
