Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31)
0.0,0.6242410275693966,3.76,0.0,0.8476201429136031,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.684628976459727e-16,0.6242410275693965,3.76,0.0,0.8476201429136029,0.9999999999999999,1.6309297903283986e-36,3.5237736563698894e-51,1.966636810176877e-35,1.4732360228609781e-16,1.4417291485702089e-16,1.0049915927800285e-27,9.832819734964381e-28,3.150687426189955e-18,1.7109541503213134e-27,2.4582714584335216e-28,1.6212684212311243e-24,2.1545225140863398e-29,4.7457659281245305e-42
1.3116961134087235e-15,0.6242410275693965,3.76,0.0,0.8476201429136028,0.9999999999999997,1.9362400251722413e-35,4.1834240947630833e-50,1.1878486333502482e-34,4.1250608640249484e-16,4.0368416160041495e-16,6.0701491812456144e-27,5.939023112695861e-27,8.821924784642465e-18,1.0334163059447107e-26,1.4847959628051083e-27,4.542010725514442e-24,1.301331579478893e-28,7.171801470627941e-41
2.9981625449342253e-15,0.6242410275693965,3.76,0.0,0.8476201429136022,0.9999999999999991,1.9010120128780398e-34,4.107310603516526e-49,5.71897984404557e-34,9.428710546409723e-16,9.227066550902287e-16,2.922515493085686e-26,2.8593839680936505e-26,2.0164399466789855e-17,4.9754546563939373e-26,7.148653429793592e-27,1.0393331918273443e-23,6.265351185519683e-28,7.715096754185757e-40
6.371095407985229e-15,0.6242410275693965,3.76,0.0,0.8476201429136011,0.9999999999999981,1.6814236203574256e-33,3.6328697501473065e-48,2.4976287489775507e-33,2.003600991140662e-15,1.9607516420819592e-15,1.276339262154712e-25,1.2487680951453257e-25,4.28493486920541e-17,2.172911757742944e-25,3.1220047818351115e-26,2.213532063994639e-23,2.7362432979293695e-27,7.091503111406898e-39
1.3116961134087237e-14,0.6242410275693966,3.76,0.0,0.847620142913599,0.999999999999996,1.413337865051484e-32,3.0536459808790877e-47,1.0427108368034048e-32,4.125060864230977e-15,4.036841616113831e-15,5.328464878836417e-25,5.213360922721643e-25,8.821924658646045e-17,9.071478786517478e-25,1.3033755539235348e-25,4.5776683422996046e-23,1.1423275715034437e-26,6.066930213928276e-38
2.6608692586291253e-14,0.6242410275693965,3.76,0.0,0.8476201429135948,0.9999999999999919,1.1587397545791407e-31,2.5035635654692454e-46,4.259813996718743e-32,8.367980610775356e-15,8.189021564371216e-15,2.176851527274777e-24,2.129828000565033e-24,1.7895904015078463e-16,3.705995027443723e-24,5.324714535564253e-25,9.368895030858216e-23,4.6667796988035384e-26,5.016255224338021e-37
5.359215549069928e-14,0.6242410275693966,3.76,0.0,0.8476201429135863,0.9999999999999836,9.383774612817045e-31,2.027450841404835e-45,1.7218849262084248e-31,1.6853820105319108e-14,1.649338146166056e-14,8.799179987548935e-24,8.609104951587962e-24,3.604386183814796e-16,1.4980224018856718e-23,2.152334844576923e-24,1.9203164904307544e-22,1.8863860293237291e-25,4.079135441443537e-36
1.0755908129951535e-13,0.6242410275693966,3.76,0.0,0.8476201429135694,0.9999999999999669,7.552877601747484e-30,1.6318690738411668e-44,6.923623558390399e-31,3.38254991002266e-14,3.310210125933755e-14,3.5381100172254374e-23,3.4616829497996885e-23,7.233977392510602e-16,6.023481855044539e-23,8.654444506411156e-24,3.9878970384833873e-22,7.585067695606412e-25,3.2899705117579037e-35
2.1549293291714746e-13,0.6242410275693966,3.76,0.0,0.8476201429135354,0.9999999999999337,6.060707676928207e-29,1.3094725653695395e-43,2.7766827146349433e-30,6.776885711332162e-14,6.631954086708469e-14,1.4189391150393703e-22,1.388289460211827e-22,1.4493158386230165e-15,2.415685359962491e-22,3.470819935742923e-23,8.52596422667918e-22,3.0419453309594995e-24,2.6426832335711205e-34
