Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16),CO(14),H2O2(13),C2H4(92),C2H3(28),C2H2(22)
0.0,0.7742018553747656,3.76,0.0,0.7194289385261373,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.576982606920477e-18,0.7742018553747656,3.76,0.0,0.7194289385261371,0.9999999999999999,1.2086715154439178e-38,3.4106094880086145e-50,8.2540116871165e-34,1.979045190847428e-16,1.4225758247849374e-16,5.769786955897384e-30,4.374294998583678e-28,5.564693660391124e-17,9.597130692865008e-28,1.365847702957865e-29,1.6654260216675588e-22,2.651984841330097e-30,1.9601365342978447e-43,1.4433624858508113e-43,5.4330172449359285e-43,1.1518075311556306e-43,2.7293218880958246e-43,8.353432356109965e-30,9.604118183080448e-60,4.95097030480281e-59,2.6130805416970077e-69
1.5615551299377338e-17,0.7742018553747657,3.76,0.0,0.7194289385261368,0.9999999999999997,1.4349378383836674e-37,4.049075588705027e-49,4.9854230575451986e-33,5.541326534403445e-16,3.983212309397216e-16,3.48495132019486e-29,2.6420741790914834e-27,1.5581142248650257e-16,5.7966669383523654e-27,8.249720126794447e-29,4.663206676437882e-22,1.6017988432819844e-29,2.9621583302365665e-42,1.7135599432642283e-42,8.210375660634643e-42,1.3674259009316638e-42,3.240269284896479e-42,5.0454731430724763e-29,2.1490281828260392e-58,1.4343815289124944e-57,1.388829134076301e-67
3.569268868429106e-17,0.7742018553747656,3.76,0.0,0.7194289385261361,0.9999999999999991,1.4088318000101776e-36,3.975406432516064e-48,2.40026659640373e-32,1.266588922163807e-15,9.104485278619338e-16,1.6778540450242212e-28,1.272044985508544e-26,3.561403942338896e-16,2.7908456052779956e-26,3.9718851215948876e-28,1.0658823249053395e-21,7.711971905366463e-29,3.186554759714601e-41,1.68238331367031e-41,8.832347475036542e-41,1.3425468581399102e-41,3.181323635149909e-41,2.429178129129848e-28,4.2466703747923416e-57,3.1231037078163203e-56,6.072936380734406e-66
7.58469634541185e-17,0.7742018553747657,3.76,0.0,0.7194289385261347,0.9999999999999981,1.2460962972335734e-35,3.5162019850380587e-47,1.0482594819803893e-31,2.6915014596597684e-15,1.9347031217053842e-15,7.327629415898721e-28,5.555354647378841e-26,7.567983376574811e-16,1.2188355977798023e-25,1.7346265841963532e-27,2.2650277446583788e-21,3.3680207348267946e-28,2.9289928174820542e-40,1.488048988724174e-40,8.118449009387812e-40,1.1874674919520627e-40,2.8138479205652618e-40,1.0608859091981303e-27,7.557174437916526e-56,5.793558278215427e-55,2.2623395763026884e-64
1.5615551299377336e-16,0.7742018553747658,3.76,0.0,0.7194289385261318,0.9999999999999961,1.0474192286423455e-34,2.955579661548718e-46,4.376276975958515e-31,5.541326534847835e-15,3.983212309388389e-15,3.059141027734934e-27,2.3192512075088753e-25,1.5581142242199341e-15,5.088398691430543e-25,7.241724534041386e-27,4.663407005084134e-21,1.4060823505769221e-27,2.5058150182789652e-39,1.2507948369769332e-39,6.945504050868758e-39,9.9813797691069e-40,2.3652099915951168e-39,4.428989834958952e-27,1.2746645526672973e-54,9.963884795441639e-54,7.798986183954888e-63
3.167726120730831e-16,0.774201855374766,3.76,0.0,0.7194289385261261,0.999999999999992,8.587376485626404e-34,2.4231628178610932e-45,1.7878519300766316e-30,1.124097668600855e-14,8.080230684738814e-15,1.2497589200098899e-26,9.47489793246522e-25,3.1607459962059197e-15,2.078776894966243e-24,2.958480769486627e-26,9.460519209613779e-21,5.744305141605558e-27,2.0718563099088063e-38,1.0254771776462281e-38,5.742677063154474e-38,8.183338178394266e-39,1.9391425577890786e-38,1.8093868618506956e-26,2.0936696095888584e-53,1.6521149262894915e-52,2.5892708101480116e-61
6.380068102317026e-16,0.7742018553747665,3.76,0.0,0.7194289385261147,0.9999999999999838,6.954280446655752e-33,1.9623401438327038e-44,7.226783281506144e-30,2.264027699146829e-14,1.6274267435377336e-14,5.0517253162667777e-26,3.829905232264846e-24,6.3660095356222105e-15,8.402748570459546e-24,1.1958652336545216e-25,1.905615835338108e-20,2.321939938218581e-26,1.6847991347044975e-37,8.304580064796256e-38,4.669849617444251e-37,6.627079414702224e-38,1.5703681249658029e-37,7.313830990782232e-26,3.393951021128058e-52,2.690659628866323e-51,8.438748191833326e-60
1.2804752065489417e-15,0.7742018553747675,3.76,0.0,0.7194289385260919,0.9999999999999674,5.597410036965688e-32,1.5794621788698112e-43,2.905857714405567e-29,4.5438877614941026e-14,3.2662340936405036e-14,2.0312764849953395e-25,1.53998804725002e-23,1.277653659623207e-14,3.3787082380631996e-23,4.808521545375428e-25,3.8253095579711393e-20,9.336418018673743e-26,1.3588515252835995e-36,6.684248530040378e-37,3.766402896057405e-36,5.334050040487856e-37,1.2639689744095778e-36,2.940859273282416e-25,5.465867629887915e-51,4.343264117250545e-50,2.7251617489329084e-58
2.5654119991834197e-15,0.774201855374769,3.76,0.0,0.7194289385260463,0.9999999999999346,4.491569083347857e-31,1.2674191062382914e-42,1.165378864184666e-28,9.103607891209954e-14,6.543848793746309e-14,8.146326843431002e-25,6.176040829048958e-23,2.5597590644560892e-14,1.3550131154810531e-22,1.928432235686793e-24,7.66696057872645e-20,3.744320926038016e-25,1.0915034219066051e-35,5.363688504953129e-36,3.0253796361760935e-35,4.2802392061294406e-36,1.0142555453082764e-35,1.1794161011595238e-24,8.773927171874976e-50,6.979945432471139e-49,8.76035379810451e-57
5.135285584452376e-15,0.7742018553747727,3.76,0.0,0.7194289385259551,0.9999999999998691,3.5987210319025454e-30,1.0154778858653858e-41,4.667593664489377e-28,1.8223048170726874e-13,1.3099078193558975e-13,3.262779540892959e-24,2.4736377238633396e-22,5.123969844965497e-14,5.427120137546461e-22,7.723787829056677e-24,1.53593169219617e-19,1.4996811727849835e-24,8.749750604661663e-35,4.297477873433218e-35,2.4252162521498557e-34,3.429399921961892e-35,8.126387115921407e-35,4.723816201770176e-24,1.406112122331258e-48,1.1192553051378257e-47,2.8097042715281806e-55
1.0275032754990288e-14,0.7742018553747801,3.76,0.0,0.7194289385257727,0.999999999999738,2.8811649809533e-29,8.130002213608179e-41,1.868253574711748e-27,3.6461928810101564e-13,2.6209536991588544e-13,1.3059618826911197e-23,9.900997272958117e-22,1.0252391289358888e-13,2.1722623751187472e-21,3.091528198689018e-23,3.078024681347182e-19,6.002631171457864e-24,7.006896311744011e-34,3.440595397673781e-34,1.9421399496556032e-33,2.74560509635536e-34,6.506051275463959e-34,1.8907575390674334e-23,2.251595707608946e-47,1.792782068726053e-46,9.001292524330015e-54
2.0554527096066112e-14,0.7742018553747946,3.76,0.0,0.7194289385254079,0.9999999999994758,2.305807585848447e-28,6.506479985556625e-40,7.475445402247922e-27,7.293969041021436e-13,5.243045458126462e-13,5.2255467158370923e-23,3.961688487012535e-21,2.0509233711643992e-13,8.691878777368184e-21,1.237014121613879e-22,6.176697540177971e-19,2.401832905743418e-23,5.60835612882842e-33,2.7535220627912684e-33,1.5544991366310187e-32,2.1973184213939836e-33,5.2068189071723075e-33,7.565492952633819e-23,3.603966792296085e-46,2.870030684689382e-45,2.8820524527751525e-52
4.1113515778217764e-14,0.7742018553748237,3.76,0.0,0.7194289385246784,0.9999999999989513,1.84499632737642e-27,5.20618429808693e-39,2.990663004700161e-26,1.458952148958936e-12,1.0487228973508453e-12,2.0905574260110642e-22,1.584933295024991e-20,4.1022916690207693e-13,3.477317311368938e-20,4.948863197411909e-22,1.24319907680579e-18,9.608884066717761e-23,4.4878197898689824e-32,2.203236130486733e-32,1.2439142781278944e-31,1.7581884247708555e-32,4.166247103125911e-32,3.026689792860808e-22,5.767349706434456e-45,4.593311420319438e-44,9.225187777648014e-51
8.223149314252106e-14,0.7742018553748814,3.76,0.0,0.7194289385232193,0.9999999999979025,1.4761370898028142e-26,4.165361704564669e-38,1.1963610206057952e-25,2.9180626900906704e-12,2.097559599405953e-12,8.36289806544906e-22,6.34024860056426e-20,8.205027518331048e-13,1.391039984235219e-19,1.9797073621853366e-21,2.5174367169517555e-18,3.843857215065493e-22,3.5907082062283257e-31,1.7627564631743701e-31,9.95257459261179e-31,1.406684034902054e-31,3.3333155530708767e-31,1.2107744324151676e-21,9.228151137550872e-44,7.350303248739836e-43,2.9524773548812794e-49
