Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16),CO(14),H2O2(13),C2H4(92),C2H3(28),C2H2(22),C2H(21),CH2(S)(24),CH2(T)(17),C1OO1(207)
0.0,0.51243776058137,3.76,0.0,0.7145744979346043,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.51243776058137,3.76,0.0,0.7145744979346043,1.0,1.5465000146120783e-38,2.985474664905988e-56,1.0123766890941773e-39,4.742639258750124e-18,4.737111812791874e-18,1.5161313132504287e-28,7.388254257266081e-30,5.527446108664575e-21,3.086096496885546e-27,6.2562470977235594e-30,9.574726580280548e-28,2.4092155817325687e-31,1.9284561544966364e-39,5.165554164752312e-47,4.865853767125168e-40,1.4314974955359589e-44,1.61335750669205e-42,1.12498320174238e-30,8.602995496442976e-66,3.0312880027751647e-64,5.793367561785915e-74,1.3386993293553984e-96,3.0839392213279404e-27,4.084623557621253e-34,5.077749329394999e-50
3.0000000000000002e-15,0.51243776058137,3.76,0.0,0.7145744979346043,1.0,1.3066347230671517e-37,2.5224212437064407e-55,5.082543961440857e-39,1.1711415312028805e-17,1.1697765905060098e-17,7.6115980054629935e-28,3.70920519337553e-29,1.364940772384911e-20,7.626270856933487e-27,3.1408914008587386e-29,2.3678736208018374e-27,1.2095245489045248e-30,9.681785149727192e-39,4.364476614607973e-46,2.4542427271286513e-39,1.2094693079988001e-43,1.3631223476099106e-41,5.647874849559136e-30,1.1035930901894691e-64,1.0646430678022132e-62,3.125991356642929e-72,1.0389355554722814e-94,7.615440453121237e-27,2.0506475043601123e-33,4.29017967488792e-49
7e-15,0.51243776058137,3.76,0.0,0.7145744979346043,1.0,2.0420112363311517e-36,3.942043114480151e-54,3.1280366750916696e-38,3.068197234364204e-17,3.064621315625001e-17,4.6845362957133614e-27,2.2828197695407722e-28,3.575919203952725e-20,2.001784162294039e-26,1.9330526769768738e-28,6.227800519717255e-27,7.443984221188294e-30,5.958631339760629e-38,6.820673561348782e-45,1.5109728919613165e-38,1.890160934906026e-42,2.1302892887952585e-40,3.4759685049587623e-29,4.6672950889548964e-63,2.4861188186477777e-61,1.9344165733989004e-70,2.1509293310888532e-92,1.9951186211036702e-26,1.2620646089969928e-32,6.704698094760748e-48
1.5e-14,0.51243776058137,3.76,0.0,0.7145744979346043,1.0,2.0185927891241513e-35,3.8968317577482726e-53,1.4846806190260512e-37,6.862308639695949e-17,6.85431076586954e-17,2.2234529284501273e-26,1.0835100864575641e-27,7.997876032282215e-20,4.493901623700142e-26,9.17497791284086e-28,1.4035521603892696e-26,3.533188116044109e-29,2.828238342408132e-37,6.742448301451575e-44,7.21378265688128e-38,1.8684839128171621e-41,2.10585689682827e-39,1.6498223035972852e-28,9.481624368813562e-62,5.288423020647642e-60,8.279053031002986e-69,1.4496301962693699e-90,4.462264517513005e-26,5.990217346184641e-32,6.627801579894219e-47
3.1e-14,0.51243776058137,3.76,0.0,0.7145744979346041,0.9999999999999999,1.7710328266146464e-34,3.418920069301853e-52,6.4201137239448515e-37,1.445053144639583e-16,1.4433689666384855e-16,9.614747332511913e-26,4.685359281535869e-27,1.684178954971665e-19,9.533349778462048e-26,3.967482112573619e-27,3.0002432906127135e-26,1.527835753045904e-28,1.2230477560802471e-36,5.915558179959344e-43,3.158341855003971e-37,1.6393332071214327e-40,1.8475921943266127e-38,7.134230206135626e-28,1.6771850534713663e-60,9.69598836678814e-59,3.049015978604096e-67,1.14226157450625e-88,9.396543289671179e-26,2.590310612188363e-31,5.8149603923409254e-46
6.300000000000001e-14,0.51243776058137,3.76,0.0,0.714574497934604,0.9999999999999998,1.4802131405147274e-33,2.8574944105773936e-51,2.665767449317478e-36,2.962697704394117e-16,2.9592447467520404e-16,3.992251782123398e-25,1.9454629081737487e-26,3.452961602768736e-19,1.9833099008831154e-25,1.6473847925891132e-26,6.334213195417148e-26,6.343904837507118e-28,5.078771302526507e-36,4.944173100026031e-42,1.3439608584663417e-36,1.3701396677451863e-39,1.5441962881870988e-37,2.9622873996011748e-27,2.8131066189505598e-59,1.6568369799107126e-57,1.0444227365109064e-65,8.074948779716934e-87,1.9265048751621862e-25,1.0755498664828764e-30,4.860076945383359e-45
1.2700000000000001e-13,0.51243776058137,3.76,0.0,0.7145744979346037,0.9999999999999994,1.2097589418803147e-32,2.335380077250306e-50,1.0859939628478562e-35,5.997986817561416e-16,5.990996307021119e-16,1.6263877316412786e-24,7.925545036839881e-26,6.990526675603638e-19,4.131600909732245e-25,6.71121688296515e-26,1.356450350888916e-25,2.5844177340366536e-27,2.0693562664523247e-35,4.040812751995918e-41,5.7405364287285906e-36,1.1197971160555543e-38,1.2620442210265554e-36,1.2067947351062046e-26,4.6053283267753075e-58,2.7379640664025276e-56,3.4558592938776756e-64,5.423269860768223e-85,3.900185134827106e-25,4.381613177783826e-30,3.97205461152642e-44
2.55e-13,0.51243776058137,3.76,0.0,0.7145744979346031,0.9999999999999989,9.780940749333056e-32,1.8881415535851977e-49,4.383478170174878e-35,1.2068565018528947e-15,1.2054499427727156e-15,6.564740424562005e-24,3.1990618805538635e-25,1.406565593023665e-18,8.78154753402929e-25,2.7089117249903963e-25,3.027448556274964e-25,1.0431720790289372e-26,8.355445414188486e-35,3.2670170186036725e-40,2.531406768767196e-35,9.053593062635083e-38,1.02035506691209e-35,4.871099202445337e-26,7.451362138169818e-57,4.451406464863028e-55,1.1243619529539812e-62,3.5542767287454245e-83,7.84746232502444e-25,1.768569526078992e-29,3.2113819270838933e-43
5.11e-13,0.51243776058137,3.76,0.0,0.7145744979346019,0.9999999999999977,7.866006840628974e-31,1.518443461875489e-48,1.7612931763713985e-34,2.4209721318995845e-15,2.4181505669810746e-15,2.6377548246220047e-23,1.2854037908332115e-24,2.821591087535689e-18,1.9494898852999075e-24,1.0884586653121076e-24,7.269205066984952e-25,4.1915279702474957e-26,3.359449257284661e-34,2.627403798498326e-39,1.189353802839056e-34,7.281055446239317e-37,8.205687033726233e-35,1.9572398042533027e-25,1.198503972353817e-55,7.179152919300751e-54,3.627748810517808e-61,2.3016354151543915e-81,1.5741683403035378e-24,7.10605025770256e-29,2.582590638435765e-42
