Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16),CO(14),H2O2(13),C2H4(92),C2H3(28),C2H2(22),C2H(21),CH2(S)(24),CH2(T)(17),C1OO1(207),C2H5O(49),CH2O2(59),CHO2(121),CO2(15),HCCO(20),CH2CO(27),C2H2O(171),C2H2O(603),CH3CO(33)
0.0,0.811203622609423,3.76,0.0,0.5298971179944137,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.866294406688833e-18,0.811203622609423,3.76,0.0,0.5298971179944134,0.9999999999999999,3.274899916786661e-39,1.1519491758208346e-49,3.269856306437427e-33,2.511739254655119e-16,1.3914219620086546e-16,1.7899283165954175e-30,3.9798109128437776e-28,1.1203172926286737e-16,4.50298350077739e-21,8.784331229904557e-30,7.506330615649899e-22,2.077413381544372e-30,6.93905763039163e-35,1.3990681912866505e-43,9.703816327218538e-37,9.846320463578338e-44,4.371437730421497e-42,3.846007580418518e-30,1.607691519079126e-59,9.48127606173505e-59,3.0106980694076754e-69,3.061860945484695e-88,4.5029828026384475e-21,7.3728040509427505e-31,2.625556678408906e-47,7.097791983081277e-49,4.6119688502729145e-46,1.1480766642472884e-40,4.822134406290206e-42,8.775007660263574e-75,8.976029904864239e-72,2.266307489004845e-85,3.748825335232639e-89,1.531372305410384e-63
5.225624338728733e-18,0.811203622609423,3.76,0.0,0.5298971179944131,0.9999999999999997,3.887980144545216e-38,1.3675940630428221e-48,1.9749932088785727e-32,7.032869913056644e-16,3.895981493623477e-16,1.0811167030472195e-29,2.4038057913404444e-27,3.1368884193257115e-16,1.2608356061383884e-20,5.305736063195301e-29,2.1017738400608662e-21,1.2547576821391368e-29,4.19119081940825e-34,1.6611089295114327e-42,5.861106704967449e-36,1.1689551654009316e-42,5.189774222523931e-41,2.3229885785664397e-29,3.597613546779262e-58,2.645869849914545e-57,1.541979996948218e-67,2.837691749945311e-86,1.2608351844624672e-20,4.453173645193142e-30,3.117060893457521e-46,8.42649864468715e-48,5.475329412454979e-45,1.3629966106452317e-39,5.724838436044497e-41,5.338368135540224e-73,4.4938125198502475e-70,2.064975087586893e-83,3.415789468101067e-87,3.425620862439511e-62
1.1944284202808531e-17,0.811203622609423,3.76,0.0,0.5298971179944122,0.9999999999999991,3.817250270900576e-37,1.3427119638127473e-47,9.50874213597553e-32,1.6075131229948933e-15,8.905100556850097e-16,5.205111542013282e-29,1.1573290134291734e-26,7.170030672581491e-16,2.881911021942564e-20,2.554483522155666e-28,4.804060467768195e-21,6.041118108825856e-29,2.0178779745581532e-33,1.6309458291995875e-41,2.821872205970334e-35,1.1476871131256338e-41,5.0953525714891524e-40,1.1184190043761806e-28,7.109425016735115e-57,5.691939105056319e-56,6.664470833126469e-66,2.4719109586638286e-84,2.8819089917545186e-20,2.1440114156497178e-29,3.060348879389851e-45,8.273186341591213e-47,5.3757108714521e-44,1.3381981438842694e-38,5.620681317551787e-40,2.409995990490664e-71,2.2705024598991367e-68,2.0844091012065872e-81,3.447936792640424e-85,6.76845222524412e-61
2.538160393096813e-17,0.8112036226094231,3.76,0.0,0.5298971179944104,0.9999999999999981,3.376317935650336e-36,1.1876135315420422e-46,4.152717505926206e-31,3.4159653864090466e-15,1.8923338683291238e-15,2.27320895934178e-28,5.054359859045022e-26,1.523631517853986e-15,6.124065468282421e-20,1.1156100667139462e-27,1.0208654006045157e-20,2.638314989699234e-28,8.812603350639444e-33,1.4425766397274463e-40,1.2323871502503131e-34,1.0151162542838234e-40,4.506782223644461e-39,4.884429627033064e-28,1.2651777449968996e-55,1.05077775585748e-54,2.4711933345125382e-64,1.8428695387342662e-82,6.12405660191785e-20,9.36346112026475e-29,2.706843944748931e-44,7.317539634467722e-46,4.754755362982714e-43,1.1836210842514002e-37,4.971430740026709e-39,9.09968755089041e-70,8.963799564443013e-67,1.65036216702792e-79,2.7299558095875037e-83,1.2044102988815924e-59
5.2256243387287323e-17,0.8112036226094235,3.76,0.0,0.5298971179944068,0.9999999999999961,2.8379999716177484e-35,9.98260741211465e-46,1.733677810748728e-30,7.032869913380134e-15,3.895981493612511e-15,9.490199909979293e-28,2.110095745749851e-25,3.1368884188243833e-15,1.2608388819888165e-19,4.657452422740003e-27,2.1017922214048264e-20,1.1014445705188758e-27,3.679088498996927e-32,1.2125819143580423e-39,5.144985612981311e-34,8.532663768448538e-40,3.788222234255019e-38,2.0391532190492747e-27,2.1339829616075268e-54,1.803157812368869e-53,8.500999003606515e-63,1.2713539918328272e-80,1.2608351804561423e-19,3.9090606858205287e-28,2.275265465891054e-43,6.150832987792666e-45,3.996658336321724e-42,9.949048071934245e-37,4.17879006047975e-38,3.1571045207131144e-68,3.1714109590405953e-65,1.1695573437137898e-77,1.9346298758959164e-81,2.031414896212763e-58
1.0600552229992571e-16,0.8112036226094239,3.76,0.0,0.5298971179943995,0.9999999999999921,2.326764361885817e-34,8.184344825557269e-45,7.082639529235835e-30,1.4266678967893444e-14,7.90327674415992e-15,3.877056310042203e-27,8.620429627624808e-25,6.363402219880073e-15,2.557709335880373e-19,1.9027212856546806e-26,4.2636783155851044e-20,4.4997604439104826e-27,1.5030277600754354e-31,9.941516262260446e-39,2.1019041857662605e-33,6.995593275541384e-39,3.1058135381500515e-37,8.330606258739321e-27,3.5051343405232074e-53,2.986655447223473e-52,2.8194866896914222e-61,8.444810289572667e-79,2.5576942139116215e-19,1.5969788300327695e-27,1.8654001451089267e-42,5.04282451768125e-44,3.276701903547265e-41,8.156830170266507e-36,3.4260294377774445e-37,1.0514476436426537e-66,1.0659749717635384e-63,7.868245872579526e-76,1.3015303594732197e-79,3.336607651343921e-57
2.135040801252025e-16,0.811203622609425,3.76,0.0,0.5298971179943851,0.9999999999999841,1.884274312970894e-33,6.627894868644525e-44,2.862916129021665e-29,2.873429707920457e-14,1.591786724517729e-14,1.567168140599083e-26,3.4845154834476044e-24,1.2816429818451027e-14,5.151473377945106e-19,7.691103672027916e-26,8.587580314264139e-20,1.8188751009078173e-26,6.07547902520316e-31,8.050912429778376e-38,8.496311086807496e-33,5.665212801603029e-38,2.515168337248926e-36,3.3673642444029767e-26,5.682022141919323e-52,4.861588378321784e-51,9.184497646374202e-60,5.505574939722436e-77,5.15141225252964e-19,6.455243688049723e-27,1.5106494829421357e-41,4.083810065344489e-43,2.6535580447851894e-40,6.60561168501118e-35,2.7744953594375783e-36,3.432100228394506e-65,3.495096715804277e-62,5.161635830036985e-74,8.538149504813652e-78,5.408792907476347e-56
4.285011957757561e-16,0.8112036226094271,3.76,0.0,0.5298971179943561,0.9999999999999681,1.5166279775107466e-32,5.334706783107679e-43,1.151165975586612e-28,5.766953331096493e-14,3.1947048246902205e-14,6.301514096687238e-26,1.4011083497549845e-23,2.572248500143125e-14,1.0339093999200954e-18,3.0925589730501865e-25,1.7235903552894958e-19,7.313616659062888e-26,2.4429238016320763e-30,6.4800806570361055e-37,3.416392289264823e-32,4.5598561155522584e-37,2.0244262648437245e-35,1.3540023522159552e-25,9.150758241874948e-51,7.8455619938308e-50,2.9652623855341042e-58,3.5562257752903363e-75,1.033884821659391e-18,2.5956250331328885e-26,1.2159022588745997e-40,3.287005667278429e-42,2.1358141901844147e-39,5.316769563686312e-34,2.233167950007853e-35,1.1091954612628023e-63,1.1320442337281676e-60,3.344301597298638e-72,5.531995991186661e-76,8.71072018458783e-55
8.584954270768632e-16,0.811203622609431,3.76,0.0,0.5298971179942983,0.999999999999936,1.2169984701040535e-31,4.28076683359312e-42,4.616690366851336e-28,1.15540005811038e-13,6.400541024911279e-14,2.5271889386492513e-25,5.619071138061394e-23,5.153459531074493e-14,2.071470539021736e-18,1.2402544768859954e-24,3.453462699523819e-19,2.933087289800115e-25,9.797220329606188e-30,5.199858999523649e-36,1.3701766168207497e-31,3.658997347692393e-36,1.6244745215438675e-34,5.43015502271414e-25,1.4689016567983344e-49,1.2606784356743977e-48,9.531022351217691e-57,2.286495187981447e-73,2.0713719692035422e-18,1.0409616802113402e-25,9.756851988870958e-40,2.6376151089988213e-41,1.7138560921269659e-38,4.2663704965802276e-33,1.7919970363781385e-34,3.567006163016555e-62,3.6444655174274306e-59,2.1535142595986253e-70,3.5622485819534964e-74,1.3982718180726224e-53
