Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16),CO(14),H2O2(13),C2H4(92),C2H3(28),C2H2(22),C2H(21),CH2(S)(24),CH2(T)(17),C1OO1(207),C2H5O(49),CH2O2(59),CHO2(121),CO2(15),HCCO(20),CH2CO(27),C2H2O(171),C2H2O(603),CH3CO(33),CHO2(125),C#CC(199)
0.0,0.7975851763899048,3.76,0.0,0.8949041319190848,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.012653058521573e-18,0.7975851763899047,3.76,0.0,0.8949041319190845,0.9999999999999999,2.0773152493380144e-38,4.638900471919074e-50,1.0947384440316062e-33,2.505248269801007e-16,1.7937325619392833e-16,7.688450585703306e-30,5.804305886568376e-28,7.115157078244669e-17,1.5183427732581726e-21,1.7911283225742342e-29,1.7325746325725306e-22,3.4615986929231595e-30,7.693702896983165e-35,2.627550876179883e-43,1.8289690445060993e-36,1.5585252020409413e-43,1.469859393128751e-41,1.35016778036935e-29,1.8159789864612608e-59,8.8443583140512e-59,5.000766856938493e-69,1.1536968753207711e-88,1.5183411898169337e-21,8.081656255952525e-31,8.532879847812446e-47,1.3172969888429077e-48,1.821244161615766e-45,4.006919004987307e-40,1.6731741937016754e-41,1.871625333008556e-74,2.2795903781889723e-71,5.507021648569462e-85,5.850812265944764e-89,2.701756012047851e-63,7.617051210149559e-55,-2.7818467367810124e-96
1.6835428563860405e-17,0.7975851763899048,3.76,0.0,0.8949041319190841,0.9999999999999994,2.466193751365405e-37,5.507302648696054e-49,6.612220199239895e-33,7.014695155493597e-16,5.02245117342912e-16,4.643824152107888e-29,3.50580075540246e-27,1.9922439818394438e-16,4.2513648921383214e-21,1.081841506966275e-28,4.851227308531631e-22,2.0908056092968622e-29,4.646996575595205e-34,3.1195791341138113e-42,1.104698136338345e-35,1.8502811197338652e-42,1.7450173224103369e-40,8.155013393400072e-29,4.06355870093219e-58,2.552799482026576e-57,2.6461562033609998e-67,1.0834324128113213e-86,4.251355328153237e-21,4.881320372747824e-30,1.0130235036438737e-45,1.5638949843660532e-47,2.1621810351444923e-44,4.757014187007706e-39,1.986392905535872e-40,1.1386059409543831e-72,1.168132956310589e-69,5.1346158417226144e-83,5.455156542568502e-87,6.043721674065468e-62,1.70390386341543e-53,3.967285515854297e-94
3.848097957453807e-17,0.797585176389905,3.76,0.0,0.8949041319190832,0.9999999999999988,2.4213258785749407e-36,5.4071024148211484e-48,3.1834993911773954e-32,1.6033588927081888e-15,1.14798883964053e-15,2.2358014278371606e-28,1.6878921516868226e-26,4.553700529593143e-16,9.717429637960366e-21,5.208601164017437e-28,1.1088606009764002e-21,1.0066328980588731e-28,2.2373288403215982e-33,3.062887342880781e-41,5.318654244958527e-35,1.8166169750976113e-41,1.713268461768823e-39,3.9262879052678373e-28,8.030059363526041e-57,5.551727536553733e-56,1.1572052012251075e-65,9.719613002579172e-85,9.717383591489135e-21,2.3501456304597228e-29,9.945925002069099e-45,1.5354413672277826e-46,2.1228420908495137e-43,4.6704646195021795e-38,1.950253398775676e-39,5.140212152167316e-71,5.821416180213369e-68,5.114150584717784e-81,5.433414576303464e-85,1.19413792199434e-60,3.366626797580492e-52,8.026511775692297e-92
8.17720815958934e-17,0.797585176389905,3.76,0.0,0.8949041319190815,0.9999999999999974,2.141636204090756e-35,4.782520881382378e-47,1.3903178197180712e-31,3.4071376471070893e-15,2.43947628423437e-15,9.76433221816114e-28,7.371468474626791e-26,9.676613623995522e-16,2.0649641161851435e-20,2.2747329717065623e-27,2.356365680948527e-21,4.3962303209657765e-28,9.771003066630414e-33,2.7091153991318473e-40,2.3228032476283057e-34,1.6067771414525884e-40,1.515366589266868e-38,1.7147130810212893e-27,1.4290001346167432e-55,1.0293971648202634e-54,4.311354914637096e-64,7.341776512695785e-83,2.064944006481408e-20,1.026370335442314e-28,8.797058335964307e-44,1.358080496862103e-45,1.8776296626067598e-42,4.130972854688547e-37,1.72497893979221e-38,1.9408463512900152e-69,2.2866111468655248e-66,4.028408688603999e-79,4.279892739469276e-83,2.124905703034156e-59,5.990732135692898e-51,1.2726675027245671e-89
1.6835428563860404e-16,0.797585176389905,3.76,0.0,0.8949041319190779,0.9999999999999949,1.8001746234766895e-34,4.019997017926627e-46,5.804303192436949e-31,7.014695156229866e-15,5.022451173416465e-15,4.076416477426042e-27,3.077442979875008e-25,1.9922439808380206e-15,4.251439233862132e-20,9.496562384624166e-27,4.851493199795275e-21,1.8353396098457042e-27,4.079201623001758e-32,2.277185127817423e-39,9.697306447291147e-34,1.3505930021544004e-39,1.2737569316216533e-37,7.158589571088174e-27,2.4102936418047754e-54,1.7700012627677263e-53,1.486337108950877e-62,5.096388809207113e-81,4.251355279807664e-20,4.284894065333086e-28,7.394458108094664e-43,1.1415484810596188e-44,1.5782606545770448e-41,3.472331240988923e-36,1.4499519237284396e-37,6.7336976072450814e-68,8.072558957773683e-65,2.848520189552589e-77,3.0263466950198974e-81,3.583967501917068e-58,1.010424411382627e-49,1.8079559354165285e-87
3.4151869372402534e-16,0.7975851763899053,3.76,0.0,0.8949041319190707,0.9999999999999897,1.4758920574116435e-33,3.2958365129965455e-45,2.3712472272904447e-30,1.4229810175775308e-14,1.0188400951758315e-14,1.6653491310959526e-26,1.257235871252186e-24,4.0414092159469286e-15,8.624520720811101e-20,3.879655607352818e-26,9.842217673097795e-21,7.49796108768161e-27,1.6664871154091706e-31,1.8669780848613532e-38,3.961715224232285e-33,1.1072977412103533e-38,1.0443028773125992e-36,2.9245174186270367e-26,3.95897517963081e-53,2.9345450291024465e-52,4.934786085921402e-61,3.3954399172246726e-79,8.624177741105237e-20,1.7505190025992342e-27,6.06242435458148e-42,9.35910402642276e-44,1.2939530906036585e-40,2.8468263616227336e-35,1.188763415968071e-36,2.2426023989326023e-66,2.710619887185238e-63,1.914395011519022e-75,2.0339063143139642e-79,5.886688589495267e-57,1.6596247169112872e-48,2.4362740587301257e-85
6.878475098948679e-16,0.797585176389906,3.76,0.0,0.8949041319190563,0.9999999999999793,1.1952157079756081e-32,2.669053987653026e-44,9.58496028856136e-30,2.866004022006577e-14,2.0520300508352652e-14,6.731607372434582e-26,5.081948402130317e-24,8.139739679092622e-15,1.7371208701088092e-19,1.5682188333430697e-25,1.9825544362131367e-20,3.03079569300374e-26,6.736208592275924e-31,1.5119289032654558e-37,1.601428348721269e-32,8.967184172813735e-38,8.457035168993998e-36,1.1821366994672384e-25,6.417715683452907e-52,4.779005921526155e-51,1.6083284204295043e-59,2.2169491623879717e-77,1.7369822322280637e-19,7.075877403470475e-27,4.909509787066059e-41,7.579244903971656e-43,1.0478761962905554e-39,2.305432858544746e-34,9.626999003167559e-36,7.3202273572345456e-65,8.883209305286897e-62,1.2552394332664841e-73,1.3336012201791656e-77,9.54261210505656e-56,2.6903218455253707e-47,3.1990819385602463e-83
1.3805051422365531e-15,0.797585176389907,3.76,0.0,0.8949041319190274,0.9999999999999587,9.620136039643882e-32,2.148287059525595e-43,3.8540702681137033e-29,5.752050032944501e-14,4.118409962118388e-14,2.7067496519291464e-25,2.043429097904071e-23,1.6336400577095538e-14,3.4866684687151064e-19,6.305739008333126e-25,3.9799708709852047e-20,1.2186695694015222e-25,2.7086008318874517e-30,1.216932566749664e-36,6.439592319460686e-32,7.217569914524254e-37,6.806957156679015e-35,4.7533196750715085e-25,1.033556256915501e-50,7.714082805177012e-50,5.1938800724101205e-58,1.4330586912324652e-75,3.486111011895258e-19,2.845178950727714e-26,3.951602792900853e-40,6.100435375770691e-42,8.434210172550954e-39,1.8556114226193014e-33,7.748782600399539e-35,2.365770728897278e-63,2.8765402558487936e-60,8.130909240744942e-72,8.638504389878843e-76,1.5368199215928177e-54,4.3326760824296715e-46,4.147261010821179e-81
2.7658204069199237e-15,0.7975851763899094,3.76,0.0,0.8949041319189697,0.9999999999999174,7.7195533818776925e-31,1.7238654043893444e-42,1.5456544686101763e-28,1.1524142063139674e-13,8.251169784541658e-14,1.08552761994939e-24,8.195064601555068e-23,3.272972225994746e-14,6.986603676125494e-19,2.528883415305628e-24,7.97780812834226e-20,4.887409644913368e-25,1.0862708678569133e-29,9.765119943572574e-36,2.5828206945948605e-31,5.791645253321396e-36,5.462153626903437e-34,1.906293786139392e-24,1.6590865230983586e-49,1.2396946636109231e-48,1.669639598691433e-56,9.21733857318032e-74,6.98436802495819e-19,1.1410438266000262e-25,3.170915906468449e-39,4.89521471179803e-41,6.767907912190145e-38,1.4890088808672823e-32,6.218128735767195e-34,7.60796242070212e-62,9.259542674225945e-59,5.235145679349728e-70,5.561965414934181e-74,2.466973756682398e-53,6.954890812584395e-45,5.342317754081781e-79
5.5364509362866646e-15,0.797585176389914,3.76,0.0,0.8949041319188542,0.9999999999998348,6.1850365793616714e-30,1.3811906190522708e-41,6.190679273164564e-28,2.3068326156807315e-13,1.6516689428816284e-13,4.347772138756968e-24,3.2823003419590847e-22,6.551636517303568e-14,1.3989834131691072e-18,1.0128724582663518e-23,1.5985500193920162e-19,1.95751280355232e-24,4.3507557515106317e-29,7.823979893050719e-35,1.034680662385439e-30,4.640363929419449e-35,4.3763684684584756e-33,7.635118312275889e-24,2.658856230200772e-48,1.9878755287400935e-47,5.3550363129654674e-55,5.913796412205677e-72,1.3980879865998913e-18,4.570125466407884e-25,2.5405970470522607e-38,3.922127948229114e-40,5.422538786264149e-37,1.1930151869393383e-31,4.982420241953408e-33,2.4405642243452734e-60,2.9718203650255026e-57,3.3605556941284267e-68,3.5703496105481233e-72,3.953710483636956e-52,1.1145915466939684e-43,6.859898529870667e-77
1.1077711995020145e-14,0.7975851763899233,3.76,0.0,0.8949041319186233,0.9999999999996695,4.951789983414086e-29,1.105793174009027e-40,2.4778844927442723e-27,4.615669447725178e-13,3.304772871507789e-13,1.74024157896896e-23,1.3137755115986238e-21,1.3108964918874968e-13,2.800973520543047e-18,4.0541297235159744e-23,3.204895452542791e-19,7.835150128188032e-24,1.7414412006266093e-28,6.263941282889483e-34,4.143061713804333e-30,3.7151125387277365e-34,3.5037537202120797e-32,3.0560370878648613e-23,4.2576018412494476e-47,3.1840961230596576e-46,1.7155643876161367e-53,3.789554691468089e-70,2.797389480774539e-18,1.829240000463471e-24,2.034031482493071e-37,3.1400859351787285e-39,4.3412907469778785e-36,9.551313357217132e-31,3.9895268610050617e-32,7.81944042933154e-59,9.523875886319067e-56,2.153971382082872e-66,2.2884416574573354e-70,6.33147226126937e-51,1.7847844715871326e-42,8.794604628572331e-75
