Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16),CO(14),H2O2(13),C2H4(92),C2H3(28),C2H2(22),C2H(21),CH2(S)(24),CH2(T)(17),C1OO1(207),C2H5O(49),CH2O2(59),CHO2(121),CO2(15),HCCO(20),CH2CO(27),C2H2O(171),C2H2O(603),CH3CO(33),CHO2(125),C#CC(199),C3H4(637)
0.0,0.7126455526297913,3.76,0.0,0.6347400369281296,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.92179016282084e-17,0.7126455526297912,3.76,0.0,0.6347400369281294,0.9999999999999998,1.4706308843147075e-37,7.095078496641727e-50,6.984187414118726e-34,2.432725143416488e-16,2.0448469001540245e-16,5.054220565011306e-29,1.2907452492358836e-27,3.878782432041837e-17,4.917539464288368e-22,6.446106435549448e-29,8.335418141201226e-23,1.03563094524653e-29,6.308665501106069e-35,6.510010085547254e-43,2.2568838288084204e-36,1.0044246259388858e-42,1.3540056454102935e-40,3.3061091929909116e-29,5.189712192573758e-59,2.6301434379487818e-58,4.306995147632234e-68,6.547859536701189e-88,4.917516145530655e-22,1.4154534988930605e-30,7.583405513108214e-46,3.316978780751973e-48,1.864413119798089e-44,3.7285436366640503e-39,1.5579008217916527e-40,1.916239833521e-73,3.341179443723585e-70,1.3818070892852014e-83,1.0123174070487728e-87,1.3209679635916516e-62,2.0529645979692202e-53,-1.0604578116442275e-94,-1.5293820567727854e-101
8.181012455898353e-17,0.7126455526297913,3.76,0.0,0.634740036928129,0.9999999999999994,1.745934705201667e-36,8.423277184518759e-49,4.2184491905605706e-33,6.811630401638686e-16,5.725571320430735e-16,3.052749217494874e-28,7.796101304730803e-27,1.086059080855941e-16,1.3769185997884195e-21,3.8934482884813447e-28,2.3339571460486007e-22,6.255210895659916e-29,3.810434070174715e-34,7.728944377903114e-42,1.3631637627920433e-35,1.192452915731273e-41,1.6074755574610102e-39,1.9968899525493296e-28,1.161326289884622e-57,7.818613268702889e-57,2.3442598981044363e-66,6.03160487170535e-86,1.3769045152587627e-21,8.549339080348793e-30,9.003019694243058e-45,3.937917219499446e-47,2.213431078240097e-43,4.426526749667993e-38,1.849542151809541e-39,1.1657435841852088e-71,1.7570444955507216e-68,1.3218035263961662e-81,9.683584287544509e-86,2.9549548047724885e-61,4.5923993793416046e-52,1.2942370853464408e-92,1.866539053853964e-99
1.8699457042053378e-16,0.7126455526297913,3.76,0.0,0.6347400369281281,0.9999999999999987,1.714169799996896e-35,8.270023472299767e-48,2.031001688675008e-32,1.5569440918373167e-15,1.308702016098203e-15,1.4697673346473564e-27,3.753487183797031e-26,2.4824207556963625e-16,3.1472781056582817e-21,1.8745277535719965e-27,5.3349480759544675e-22,3.01161476833266e-28,1.8345600854930782e-33,7.588437525802184e-41,6.563105431454977e-35,1.1707573434250053e-40,1.5782290436197847e-38,9.614165532959702e-28,2.2949488666680895e-56,1.7159208616755633e-55,1.0354716676374613e-64,5.661107989525451e-84,3.147210294710874e-21,4.11613869533304e-29,8.83921954022943e-44,3.866270494280635e-46,2.173159381925719e-42,4.345989669979006e-37,1.8158963160327882e-38,5.2627238747095246e-70,8.623912110762768e-67,1.2971865921579854e-79,9.503240332871445e-84,5.838501652736278e-60,9.073805957412761e-51,2.6477093716194934e-90,3.818519711175667e-97
3.973634621436343e-16,0.7126455526297913,3.76,0.0,0.6347400369281263,0.9999999999999972,1.5161640744653024e-34,7.314742075655628e-47,8.869917898640005e-32,3.3085061953002473e-15,2.780991784207612e-15,6.418860059099067e-27,1.6392464655159512e-25,5.275144103524834e-16,6.6881179140007144e-21,8.186555194994708e-27,1.1337570999960886e-21,1.3152512793371072e-27,8.012006800429653e-33,6.7119323636282834e-40,2.8663318371645356e-34,1.0355216111615636e-39,1.3959256935208138e-37,4.198758674831919e-27,4.084034971049981e-55,3.193199202731564e-54,3.873200736598082e-63,4.36227857410846e-82,6.6878217657779684e-21,1.797625861497923e-28,7.818192103507984e-43,3.4196724947909635e-45,1.922134193914423e-41,3.843977682530616e-36,1.6061483793507807e-37,1.987104344515429e-68,3.368022780728993e-65,1.0158657166674569e-77,7.442272606321325e-82,1.0389333073130557e-58,1.6146348132253035e-49,4.2150196373028523e-88,6.078931870928744e-95
8.181012455898352e-16,0.7126455526297913,3.76,0.0,0.6347400369281228,0.9999999999999942,1.2744273781094706e-33,6.1484814092783246e-46,3.703016061404041e-31,6.811630402690245e-15,5.725571320423027e-15,2.679747690950232e-26,6.84353130232604e-25,1.0860590791772294e-15,1.3770280717095773e-20,3.417725651790537e-26,2.33453811047447e-21,5.490915081562111e-27,3.344855894331805e-32,5.6418015281642065e-39,1.1966799040350426e-33,8.704183078734486e-39,1.1733596037044442e-36,1.752899093883864e-26,6.888559126639541e-54,5.499582076684744e-53,1.3376947040023971e-61,3.056554749017492e-80,1.3769044356563666e-20,7.504733712264574e-28,6.571665785673551e-42,2.8744408263750294e-44,1.615668481562382e-40,3.231093237824487e-35,1.3500790458924013e-36,6.894187599539272e-67,1.1861020253605543e-63,7.165279038118677e-76,5.249311854114184e-80,1.7523234184750808e-57,2.723316006989988e-48,5.998758623142137e-86,8.651570687458479e-93
1.6595768124822372e-15,0.7126455526297917,3.76,0.0,0.6347400369281158,0.9999999999999883,1.0448526080364438e-32,5.040896450279155e-45,1.5128028412721913e-30,1.3817878819326786e-14,1.1614730392840252e-14,1.0947643467131574e-25,2.795805831931068e-24,2.2031484138629274e-15,2.793653906892153e-20,1.3962524550130975e-25,4.7371258341334315e-21,2.2432178916603762e-26,1.3664834032974614e-31,4.625496880756092e-38,4.889177409933124e-33,7.136215153423793e-38,9.619910028665326e-36,7.161164754354603e-26,1.131465973667556e-52,9.125100607026896e-52,4.445111914065854e-60,2.0456547612475597e-78,2.7931488132741233e-20,3.0659282711687584e-27,5.38785560969841e-41,2.356640327184766e-43,1.3246207897233041e-39,2.6490427918931495e-34,1.1069002396273743e-35,2.2960519850269107e-65,3.97814067838987e-62,4.809919033397005e-74,3.5237656441359823e-78,2.8782310872056673e-56,4.473049444662653e-47,8.090533021235764e-84,1.1668700876892883e-90
3.3425279462670414e-15,0.7126455526297918,3.76,0.0,0.6347400369281018,0.9999999999999766,8.46148748172473e-32,4.0822485023807535e-44,6.11499058687061e-30,2.7830375660026056e-14,2.3393048537620283e-14,4.425212340790319e-25,1.1301094151245054e-23,4.437327071379147e-15,5.627678675507461e-20,5.6438757343702785e-25,9.5464040922106e-21,9.067444704283315e-26,5.523549494939289e-31,3.7458501092445103e-37,1.9765662436389794e-32,5.779092019155919e-37,7.790451048225439e-35,2.894657290033739e-25,1.8341660998399217e-51,1.4866241535406108e-50,1.4493474784992409e-58,1.3386300488167962e-76,5.625637006352217e-20,1.239296965464176e-26,4.3632364276641115e-40,1.9084685523132647e-42,1.072709268628957e-38,2.145259227352759e-33,8.964351734159985e-35,7.49469392132912e-64,1.3029870601173954e-60,3.152005540021852e-72,2.3091714988375314e-76,4.665848818354147e-55,7.250988806265867e-46,1.0628235658669729e-81,1.5329576057890303e-88
6.7084302138366495e-15,0.7126455526297925,3.76,0.0,0.6347400369280738,0.999999999999953,6.8105412965548685e-31,3.2857485215663454e-43,2.4588105195725105e-29,5.585536937112934e-14,4.694968482696263e-14,1.77935826955133e-24,4.544120228211147e-23,8.90568433899088e-15,1.12988206057059e-19,2.269377666132706e-24,1.9181371851005567e-20,3.645979093901215e-25,2.2209990572973495e-30,3.0149871225581135e-36,7.94995825769232e-32,4.65151597682252e-36,6.270430324693657e-34,1.163928964473779e-24,2.953865414221042e-50,2.400105742143264e-49,4.6814505599778687e-57,8.662626969574053e-75,1.1290611143879643e-19,4.9831564871409306e-26,3.5119304045236175e-39,1.5361017094979288e-41,8.634049297722834e-38,1.726684326863035e-32,7.215912511730603e-34,2.422154161176986e-62,4.2181500054842256e-59,2.0411629862150923e-70,1.4953636843619597e-74,7.514567041164383e-54,1.1677438858031498e-44,1.378125054820894e-79,1.9879469343789757e-86
1.3440234748975865e-14,0.7126455526297937,3.76,0.0,0.6347400369280177,0.999999999999906,5.4650304486813854e-30,2.6366059050753654e-42,9.860927501461764e-29,1.1190535691215488e-13,9.406295740477648e-14,7.136021296087688e-24,1.8223954314135964e-22,1.7842398684531533e-14,2.265347403771162e-19,9.101219894409725e-24,3.851695233598704e-20,1.4622002526261276e-24,8.907232462082081e-30,2.4193376376256347e-35,3.190111434409803e-31,3.732548549173977e-35,5.03162152986601e-33,4.667875722010365e-24,4.741569657464757e-49,3.857463034901811e-48,1.5050687607288929e-55,5.5748222658736357e-73,2.26205504244267e-19,1.9984669402809818e-25,2.818132079036883e-38,1.2326251793742772e-40,6.928203562980621e-37,1.385544303608072e-31,5.791314139524022e-33,7.789275728922926e-61,1.3576327745171304e-57,1.3140293172819428e-68,9.626625038166404e-73,1.2063704437547253e-52,1.874469870380834e-43,1.775425332549323e-77,2.561609553216776e-84
