Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16),CO(14),H2O2(13),C2H4(92),C2H3(28),C2H2(22),C2H(21),CH2(S)(24),CH2(T)(17),C1OO1(207),C2H5O(49),CH2O2(59),CHO2(121),CO2(15),HCCO(20),CH2CO(27),C2H2O(171),C2H2O(603),CH3CO(33),CHO2(125),C#CC(199),C3H4(637),CHO3(309),CH2O2(77),C3H4(718)
0.0,0.8486894733036724,3.76,0.0,0.9280796861736405,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0441449060323548e-18,0.8486894733036723,3.76,0.0,0.9280796861736401,0.9999999999999999,5.0415531816089763e-39,5.202584918518909e-50,1.944752310272685e-33,2.6918180355944995e-16,1.6020081122755165e-16,2.1943865831759783e-30,3.6139276002385692e-28,1.089809923293847e-16,3.573792423433735e-21,8.462679526569907e-30,3.7000052554399567e-22,1.8808988536390507e-30,8.533643287514913e-35,1.532714152378124e-43,1.4210114837833432e-36,1.6092486611480358e-42,3.699432551695996e-42,6.466224701869293e-30,1.134302222046195e-59,6.067070966515462e-59,1.7506386867140836e-69,8.186059955242555e-89,3.5737913426678035e-21,6.109101995655765e-31,2.6219851316695375e-47,7.384491823354462e-49,5.012068824984245e-46,9.914048404675593e-41,4.1326172840360613e-42,5.165085295898824e-75,5.525014910310778e-72,1.0410599581425625e-85,1.4951952723412229e-89,1.1218626299902052e-63,1.906198582660056e-45,-1.2317627205501628e-90,-2.94362953012219e-103,1.581574601831929e-76,3.890345872869133e-47,1.8898313220130207e-116
5.723605736890593e-18,0.8486894733036724,3.76,0.0,0.9280796861736398,0.9999999999999996,5.985354172478806e-38,6.176508824636391e-49,1.1746303952427916e-32,7.537090499699403e-16,4.485622714370742e-16,1.3254094960298777e-29,2.182812270523015e-27,3.051467785176838e-16,1.0006622284764679e-20,5.111458434354462e-29,1.036002621070623e-21,1.1360629073178342e-29,5.1543205571945925e-34,1.8197590613834316e-42,8.582911651896759e-36,1.9105000098228124e-41,4.39196817688934e-41,3.9055997199200337e-29,2.538215072718116e-58,1.7074631841068526e-57,9.040133565748834e-68,7.626574956417775e-87,1.0006615756938451e-20,3.689897603929188e-30,3.1128207511254567e-46,8.766868691940582e-48,5.950328066564151e-45,1.1769958219755846e-39,4.90624365752291e-41,3.1422129666084174e-73,2.7790633140635863e-70,9.529800965280083e-84,1.3686924025330469e-87,2.5095655756332123e-62,2.2630389538367346e-44,1.1177004563197448e-88,4.8662047235247155e-101,9.621490945591925e-75,4.6187009629868204e-46,6.4056935144367575e-114
1.308252739860707e-17,0.8486894733036724,3.76,0.0,0.9280796861736388,0.999999999999999,5.876465962481236e-37,6.064133008864556e-48,5.655339715844302e-32,1.7227635428048419e-15,1.0252851918558373e-15,6.381276180749547e-29,1.0509301461177536e-26,6.974783508759082e-16,2.287229600402745e-20,2.460947206785886e-28,2.3680114103136157e-21,5.469653862179792e-29,2.4815834849394847e-33,1.7867031798848362e-41,4.1323047641466473e-35,1.875740237288491e-40,4.312061208960764e-40,1.8803781432900509e-28,5.015828738334384e-57,3.68337182189257e-56,3.918708398674103e-66,6.683417855370173e-85,2.2872264575354148e-20,1.776526858166341e-29,3.0561858781768736e-45,8.607363665824216e-47,5.842067290784449e-44,1.1555814677037231e-38,4.8169800018098165e-40,1.4185456852868808e-71,1.4002231056878795e-68,9.593514913554742e-82,1.377843426029119e-85,4.958490636213268e-61,2.2218650571069648e-43,1.125553065164178e-86,9.817904263780105e-99,4.343601810738655e-73,4.534842411835537e-45,2.94659622979742e-111
2.780037072204003e-17,0.8486894733036726,3.76,0.0,0.9280796861736369,0.9999999999999979,5.197671464281354e-36,5.3636570050781365e-47,2.469835431536684e-31,3.6608725285303295e-15,2.1787310326922363e-15,2.7868709574030873e-28,4.58968805197621e-26,1.482141495518862e-15,4.860369942895651e-20,1.0747603003490475e-27,5.0320473815585536e-21,2.3887415397788107e-28,1.0837727148347056e-32,1.5803397544570667e-40,1.8046880354701176e-34,1.659070995191261e-39,3.8139696237602057e-39,8.212105371234055e-28,8.92600576257219e-56,6.807444167968191e-55,1.4548007458530527e-64,4.995879774084652e-83,4.8603562171683154e-20,7.758559512055752e-29,2.70316180962201e-44,7.613115681737154e-46,5.1672421994096336e-43,1.0220987042033726e-37,4.260565835778244e-39,5.3561590718228814e-70,5.522353181031604e-67,7.587956002193215e-80,1.0898003724329245e-83,8.823408932876356e-60,1.9652144680118426e-42,8.865610972656261e-85,1.5501634794331072e-96,1.64006206447834e-71,4.011327032164747e-44,9.87200397449826e-109
5.723605736890594e-17,0.8486894733036727,3.76,0.0,0.928079686173633,0.9999999999999956,4.3689575828025457e-35,4.508476952542713e-46,1.031107672647912e-30,7.53709050020404e-15,4.485622714360525e-15,1.1634637634925385e-27,1.9161044133523906e-25,3.051467784510789e-15,1.0006673022442866e-19,4.486912689259385e-27,1.0360192895084204e-20,9.97252568290863e-28,4.524537826176748e-32,1.328379122377902e-39,7.534233815680011e-34,1.3945491335972602e-38,3.2058713962939354e-38,3.4283923368051296e-27,1.5055504770806925e-54,1.1687720608169615e-53,5.007305933942244e-63,3.450865223411185e-81,1.000661572023316e-19,3.2390458579122983e-28,2.272170396500546e-43,6.399282445854054e-45,4.343378149168604e-42,8.591355176162637e-37,3.5812649524662025e-38,1.8583004688756772e-68,1.952971810996889e-65,5.374962798085921e-78,7.719650306592489e-82,1.4882100910830848e-58,1.6518811512493582e-41,6.276729592229119e-83,2.1977163021188537e-94,5.69014182158906e-70,3.3722840376635624e-43,2.8792051034927316e-106
1.1610743066263776e-16,0.8486894733036732,3.76,0.0,0.9280796861736252,0.9999999999999909,3.5819359976523067e-34,3.696321886890003e-45,4.212411275019668e-30,1.528952644444241e-14,9.099406077679062e-15,4.753129090006802e-27,7.827911736730697e-25,6.190120361318723e-15,2.029936875978288e-19,1.833050239790125e-26,2.101677820627835e-20,4.074102119843609e-27,1.8484214016891117e-31,1.0890887787536645e-38,3.077993846483777e-33,1.1433356276376346e-37,2.628367097000428e-37,1.400610135217035e-26,2.4729106702507273e-53,1.93636899906295e-52,1.661185599162377e-61,2.293593892572461e-79,2.0299134661559036e-19,1.3232559115775617e-27,1.8628625989877768e-42,5.24651836217456e-44,3.5609633811870965e-41,7.043711560190142e-36,2.9361417233124723e-37,6.188916501869445e-67,6.563009179749936e-64,3.615288914585651e-76,5.19236467509258e-80,2.4444327743192513e-57,1.3543119338941643e-40,4.222217237127834e-81,2.9585902825164e-92,1.895057886497103e-68,2.7656581783348753e-42,7.859633364393355e-104
2.338501772501014e-16,0.8486894733036743,3.76,0.0,0.9280796861736097,0.9999999999999817,2.9007448815130394e-33,2.9933774441790357e-44,1.7027239800241033e-29,3.079439833648291e-14,1.832697280424398e-14,1.9212907638781648e-26,3.164167080485402e-24,1.2467425510230905e-14,4.088511854744496e-19,7.40948216388177e-26,4.2331125965236015e-20,1.6468172022844355e-26,7.471615389754625e-31,8.819736521910406e-38,1.2441852364084173e-32,9.259028225848749e-37,2.1285198159263147e-36,5.661490104394844e-26,4.008726005730011e-52,3.152343924957712e-51,5.412020110394229e-60,1.4957542674273892e-77,4.08841722849955e-19,5.3488118935177824e-27,1.5085944779028962e-41,4.248766570053583e-43,2.8837597554354515e-40,5.704179462853311e-35,2.377770728681301e-36,2.0201654087717417e-65,2.1516569354521207e-62,2.371426067403972e-74,3.4058991254853994e-78,3.962670897668473e-56,1.0967568580908532e-39,2.769897898170429e-79,3.8830766430723746e-90,6.185804721912706e-67,2.2410881190970242e-41,2.077235090172576e-101
4.693356704250286e-16,0.8486894733036761,3.76,0.0,0.9280796861735787,0.9999999999999633,2.33477193558582e-32,2.409330820952233e-43,6.846578170815337e-29,6.180414213481898e-14,3.6782106257085176e-14,7.72542557729736e-26,1.272297665713006e-23,2.5022035789240524e-14,8.205805137469518e-19,2.9793202021796576e-25,8.496453002941274e-20,6.621779429393204e-26,3.0043041267260426e-30,7.098896526822044e-37,5.002901856855029e-32,7.452471245809352e-36,1.713217893500462e-35,2.2764602704802012e-25,6.455953113154999e-51,5.087511687621264e-50,1.7474099514294222e-58,9.663000704898673e-76,8.205424649500732e-19,2.150733679956932e-26,1.2142481566609348e-40,3.419776929965395e-42,2.3210995818343613e-39,4.591218629851228e-34,1.9138480710979812e-35,6.528825322512574e-64,6.96877605052342e-61,1.536408150464904e-72,2.2066264428434782e-76,6.3822102557593415e-55,8.827652402901746e-39,1.794744673282071e-77,5.032815385195938e-88,1.9991582227139493e-65,1.8060545254735185e-40,5.402900831816897e-99
9.403066567748833e-16,0.8486894733036798,3.76,0.0,0.9280796861735167,0.9999999999999264,1.8735074760806942e-31,1.933336628088025e-42,2.7457840155832278e-28,1.2382362978851155e-13,7.369237316161303e-14,3.0982411181718245e-25,5.102482681828583e-23,5.013125627200081e-14,1.6440965003688275e-18,1.1948406641877951e-24,1.702501723426832e-19,2.6556296282049394e-25,1.2048606784124452e-29,5.696419483830169e-36,2.006457782000738e-31,5.980138533435178e-35,1.3747494046829792e-34,9.129623853488238e-25,1.0363248206711332e-49,8.175204009797238e-49,5.616748005785964e-57,6.213345583059793e-74,1.6439439076758676e-18,8.625403534596404e-26,9.743577971591442e-40,2.744155552146631e-41,1.8625343898375434e-38,3.6841617926902446e-33,1.5357607259767145e-34,2.099572236653225e-62,2.2434515098871636e-59,9.893238101470716e-71,1.4208908686429405e-74,1.0246308536168864e-53,7.083633585912581e-38,1.1557623619600762e-75,6.482366743094986e-86,6.429077020008087e-64,1.452826834374752e-39,1.3941906545943333e-96
