Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16),CO(14),H2O2(13),C2H4(92),C2H3(28),C2H2(22),C2H(21),CH2(S)(24),CH2(T)(17),C1OO1(207),C2H5O(49),CH2O2(59),CHO2(121),CO2(15),HCCO(20),CH2CO(27),C2H2O(171),C2H2O(603),CH3CO(33),CHO2(125),C#CC(199),C3H4(637),CHO3(309),CH2O2(77),C3H4(718),C2H3O(346),C2H2O(128),CH2OH(32),H2CC(23),C3H3(635)
0.0,0.6082388469088091,3.76,0.0,0.7653900442572407,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.608238846908809,3.76,0.0,0.7653900442572404,0.9999999999999998,8.59306705933306e-36,1.3868624885460076e-50,4.1686431004553254e-35,2.257937140863128e-16,2.217481551935498e-16,3.506749866164222e-27,2.7112909936092315e-27,4.045558886458925e-18,1.0679851032290878e-23,7.67031756971731e-28,2.109048488394178e-24,6.417821703572704e-29,1.9321494183372452e-35,1.8933427682116085e-42,2.045772508670006e-36,1.6274756889644106e-39,4.3192921758267656e-39,2.9051135981449515e-28,4.938213376026235e-59,5.084205623502862e-58,1.4912547977365944e-65,1.1697014857875402e-86,1.0675791458167015e-23,1.2118379212061098e-30,2.128658578624012e-44,6.55718275292265e-48,7.302830212451923e-43,1.2150158364588362e-37,5.014195020140184e-39,1.2923544932966309e-72,1.6274968853786735e-68,8.20204989459625e-82,3.001134901944947e-86,4.014560072342058e-62,5.77498112526153e-42,-5.34400381939941e-89,4.049251809756576e-91,1.675520617632824e-73,7.817911943153308e-44,-2.3279606529036728e-95,4.6020450763035794e-89,2.291443824564609e-75,1.1850101768997814e-38,4.062022100699926e-57,3.0475285991782397e-88
2.8e-15,0.6082388469088091,3.76,0.0,0.76539004425724,0.9999999999999993,1.0201689970144158e-34,1.6464829230554256e-49,2.5178602576270923e-34,6.322223994417116e-16,6.208948345432543e-16,2.1180768924021687e-26,1.6376197562145682e-26,1.1327564860380836e-17,2.991673100355838e-23,4.632871823582054e-27,5.911843070442323e-24,3.876364193882215e-28,1.167020201134198e-34,2.2477982257262523e-41,1.2361021907486628e-35,1.9321386966308547e-38,5.127862540082159e-38,1.7546886132377303e-27,1.1054626879360876e-57,1.5671905266864514e-56,6.231015304303508e-64,8.929852512488535e-85,2.989221117589068e-23,7.319499243207384e-30,2.527167131967097e-43,7.784696159332961e-47,8.669883438742461e-42,1.4424638985585412e-36,5.953108648923653e-38,7.862021301595111e-71,9.089735846866584e-67,8.369286732973296e-80,3.1716764732912264e-84,9.061052098688678e-61,6.856054455904333e-41,3.052897593283036e-87,4.607061750856641e-89,1.0193744244953565e-71,9.290189522321493e-43,4.602751760983286e-93,4.672540504739213e-87,1.3939941590577262e-73,1.4068440067787667e-37,9.086664556100739e-56,3.467349790068581e-86
6.4e-15,0.6082388469088092,3.76,0.0,0.7653900442572392,0.9999999999999986,1.001608000179681e-33,1.6165262236181303e-48,1.212241151040553e-33,1.4450797701526533e-15,1.4191881932479232e-15,1.0197628209390256e-25,7.884434150534258e-26,2.5891576721408042e-17,6.844308339835568e-23,2.2305283664829922e-26,1.3543461445907137e-23,1.8663023787830522e-27,5.618719190819955e-34,2.206911086164902e-40,5.955810169504723e-35,1.89698429500343e-37,5.034563443706609e-37,8.448070342777803e-27,2.1849095184338747e-56,3.476585112395379e-55,2.479693103170377e-62,7.418076216262471e-83,6.832503098344033e-23,3.524021973551923e-29,2.4812378075331502e-42,7.643078731526735e-46,8.512065469199917e-41,1.4162134613058004e-35,5.845340307240352e-37,3.5492896435767615e-69,4.307191439105316e-65,7.914783584468898e-78,2.940922965525579e-82,1.822688748560898e-59,6.731308277991877e-40,3.2153078817101357e-85,4.170770164066238e-87,4.6032851581268795e-70,9.139727882592694e-42,1.1875642653949612e-90,4.43129779479094e-85,6.293127642138864e-72,1.381247628959143e-36,1.7953797607541058e-54,3.1389996294318766e-84
1.36e-14,0.6082388469088091,3.76,0.0,0.7653900442572376,0.999999999999997,8.85910938373123e-33,1.4297982952945243e-47,5.29417402433648e-33,3.070794511575112e-15,3.015774910678302e-15,4.453571915232776e-25,3.4433395010394997e-25,5.5019600096196e-17,1.4570615799449243e-22,9.741303491369359e-26,2.8910815039223015e-23,8.150631779829033e-27,2.4538591175224304e-33,1.951991538893631e-39,2.604997488866718e-34,1.6778594633843465e-36,4.45301006769743e-36,3.689494268995257e-26,3.8884674205263365e-55,6.496978337527464e-54,8.874118384181477e-61,5.43485490373669e-81,1.4519059208702984e-22,1.5390313685744558e-28,2.194715918570126e-41,6.760248063973624e-45,7.528687644331579e-40,1.2526138317906505e-34,5.1711031264916757e-36,1.3401422788244197e-67,1.6592223731203166e-63,6.10550201921001e-76,2.249768976546905e-80,3.3583215179587766e-58,5.95375412553898e-39,2.6193326931353902e-83,3.1610572309360747e-85,1.7391246214377843e-68,8.117010429738413e-41,2.0752649360808583e-88,3.422373564704157e-83,2.3761438540575995e-70,1.2216976021810516e-35,3.194788494076781e-53,2.3790859742275306e-82
2.8e-14,0.6082388469088091,3.76,0.0,0.7653900442572343,0.9999999999999938,7.446615149091342e-32,1.2018302009422776e-46,2.2102121299451473e-32,6.3222239944223334e-15,6.208948345623221e-15,1.8592784057241027e-24,1.4375264300517592e-24,1.132756454567062e-16,3.0107378639287774e-22,4.0668025355096212e-25,6.006198957069718e-23,3.40272746189245e-26,1.0244519212983592e-32,1.6407678280935574e-38,1.0908223029921192e-33,1.4103391801724987e-35,3.743016068282121e-35,1.5402912291524217e-25,6.558788188162784e-54,1.1210866549109292e-52,3.0023285512646757e-59,3.7210145023974944e-79,2.9892140024881715e-22,6.425139536055903e-28,1.844940982252373e-40,5.682448661143598e-44,6.328083683959607e-39,1.0528790032771594e-33,4.3482484947881593e-35,4.649562547403728e-66,5.808366549161845e-62,4.278068764575801e-74,1.570521735146117e-78,6.051881091598903e-57,5.004469204253643e-38,1.9471271538774927e-81,2.197974720921824e-83,6.040841578774981e-67,6.878391415907823e-40,3.080262326531038e-86,2.399306801648516e-81,8.243798365272253e-69,1.0269099705083252e-34,5.388481566899969e-52,1.6542685556661676e-80
5.68e-14,0.608238846908809,3.76,0.0,0.7653900442572278,0.9999999999999873,6.10518479145538e-31,9.853306847479852e-46,9.029427026442035e-32,1.282508296012599e-14,1.2595295215849706e-14,7.595757319363441e-24,5.872764280163684e-24,2.2978773062146383e-16,6.151749598536415e-22,1.6614216023761784e-24,1.2403020781539396e-22,1.39012449308997e-25,4.1853350970961194e-32,1.3452009053287144e-37,4.483218924170635e-33,1.156276681506791e-34,3.068738895976152e-34,6.292592253180746e-25,1.0772702765173664e-52,1.861828089694344e-51,9.877423128606825e-58,2.462845994892846e-77,6.063817603960059e-22,2.624868140800638e-27,1.5128400597898827e-39,4.6589013109793245e-43,5.187765043094162e-38,8.631836494374431e-33,3.567621113150034e-34,1.5484894132641326e-64,1.9426591676869103e-60,2.862848083882734e-72,1.0490986289977138e-76,1.121333493598494e-55,4.102933611606149e-37,1.4253808612314238e-79,1.4655766007064136e-81,2.016520182426344e-65,5.7304216833947534e-39,4.2383386094428735e-84,1.6060353496147794e-79,2.7454301465773776e-67,8.419220549910763e-34,8.850596623706679e-51,1.1030696393112734e-78
1.144e-13,0.6082388469088091,3.76,0.0,0.7653900442572148,0.9999999999999746,4.944136560093049e-30,7.97942568344996e-45,3.649830122608637e-31,2.583080089157017e-14,2.5367988957649263e-14,3.070325231855459e-23,2.373865025496423e-23,4.62811878725931e-16,1.2568409721475113e-21,6.71573232216878e-24,2.586301194508122e-22,5.61909977648277e-25,1.6918721094015981e-31,1.0893783420000081e-36,1.8338974011498337e-32,9.363754049083685e-34,2.4851251751009505e-33,2.543566396560696e-24,1.746166934066534e-51,3.0345487243580205e-50,3.2047511972152174e-56,1.602880797518028e-75,1.221297456026286e-21,1.0610047720093437e-26,1.2255354135772423e-38,3.7730392798539134e-42,4.200570809778804e-37,6.989796376950282e-32,2.8934669554795752e-33,5.054468323555662e-63,6.354355036817864e-59,1.8731624206492497e-70,6.85788254151366e-75,2.230465184262545e-54,3.3226092144063456e-36,1.0839085723431497e-77,9.572479869452777e-80,6.612726587484011e-64,4.788184243617948e-38,5.622404621294394e-82,1.0510145692562792e-77,8.960895676437321e-66,6.818090416470149e-33,1.4347186556922196e-49,7.205117115249758e-77
2.296e-13,0.6082388469088092,3.76,0.0,0.7653900442571888,0.999999999999949,3.9794706251362574e-29,6.422475351132756e-44,1.4675736838182509e-30,5.184223675460607e-14,5.0913376446634717e-14,1.2345632085238638e-22,9.5452053012565e-23,9.288600860346943e-16,2.5940276479555673e-21,2.700366885782763e-23,5.544838306579998e-22,2.259410733466943e-24,6.803689182220955e-31,8.768258087439747e-36,7.548597791835098e-32,7.536644277662588e-33,2.0002141225909938e-32,1.0227568593817314e-23,2.811639855949758e-50,4.9002273388288434e-49,1.0326173983539248e-54,1.0344824553775198e-73,2.4511087489620167e-21,4.266181962963042e-26,9.870584078225525e-38,3.0370959462855945e-41,3.3799938869691266e-36,5.625209807306694e-31,2.335858536994304e-32,1.6334786701492823e-61,2.0557645959348857e-57,1.2120046376053208e-68,4.4347646197897303e-73,4.921424416236605e-53,2.6742399623599795e-35,8.942590130952588e-76,6.188334157862362e-78,2.1568114713797253e-62,4.091406694484087e-37,7.325566351829387e-80,6.801625345467704e-76,2.895589456729426e-64,5.487771935181532e-32,2.3105654982267502e-48,4.65837754187459e-75
4.600000000000001e-13,0.6082388469088094,3.76,0.0,0.7653900442571367,0.999999999999898,3.19327357754858e-28,5.153534689082748e-43,5.8855710681880934e-30,1.038651084812687e-13,1.0200415144615097e-13,4.951142108459396e-22,3.828052994373249e-22,1.860956145051705e-15,5.483819522300586e-21,1.0829682637330953e-22,1.2528067036358779e-21,9.06121090826436e-24,2.7291818952107957e-30,7.035963258459981e-35,3.1673513159956542e-31,6.047490440053931e-32,1.6049964046617081e-31,4.1017124319604415e-23,4.511614432924318e-49,7.876454878388477e-48,3.315769702768156e-53,6.648620127485717e-72,4.910650944186557e-21,1.710872380708944e-25,7.930797770393458e-37,2.4374403938003908e-40,2.7106431754155547e-35,4.512614967295023e-30,1.8855200562684984e-31,5.252777231916741e-60,6.614712034883262e-56,7.798131363853997e-67,2.85190610963416e-71,1.2167311931096386e-51,2.1457727560335064e-34,8.22788586720417e-74,3.9798126729737857e-76,7.062624329123067e-61,3.664034537992753e-36,9.459859034518722e-78,4.377346166090796e-74,9.309099801607598e-63,4.403558643080624e-31,3.7089537090507055e-47,2.996485840485078e-73
