Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16),CO(14),H2O2(13),C2H4(92),C2H3(28),C2H2(22),C2H(21),CH2(S)(24),CH2(T)(17),C1OO1(207),C2H5O(49),CH2O2(59),CHO2(121),CO2(15),HCCO(20),CH2CO(27),C2H2O(171),C2H2O(603),CH3CO(33),CHO2(125),C#CC(199),C3H4(637),CHO3(309),CH2O2(77),C3H4(718),C2H3O(346),C2H2O(128),CH2OH(32),H2CC(23),C3H3(635),S(1002),CH2O3(747),CO2(213),C2O3(1082),C3H5(202),C2O3(290)
0.0,0.6843002282966989,3.76,0.0,1.0061906576765531,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9051267152975552e-16,0.6843002282966989,3.76,0.0,1.006190657676553,0.9999999999999997,1.7672305147449634e-36,2.5245090180352486e-50,1.5218931867361448e-34,2.68921845828087e-16,2.5492162450809145e-16,5.46369564054454e-28,1.9874674543758114e-27,1.4000221308939964e-17,7.212704865477e-23,2.509630577927004e-28,9.648708360682322e-24,2.820343042169527e-29,4.878776732604506e-35,1.5355785176364648e-42,3.340190174283132e-36,3.3800291027169163e-40,8.68144687760932e-40,1.599184810271286e-28,5.864336215221421e-59,3.861796298164936e-58,3.208766432294182e-66,5.654598930956037e-87,7.212213490249408e-23,1.3962599575214776e-30,4.596563704906282e-45,6.223385953359906e-48,1.4022961924998827e-43,2.4334420421029026e-38,1.0057458614488075e-39,5.461168778859522e-73,2.526626266347328e-69,1.0652351668418186e-82,5.922136639850134e-87,2.671995628063969e-62,9.172440368314778e-43,-4.31214525941196e-89,5.321799440470017e-91,4.455573438496648e-74,1.3790900937291717e-44,4.3345072031533105e-94,2.105719956150343e-89,1.0816862877115203e-75,1.438679981501854e-39,4.111370141099756e-57,3.363809772117807e-88,1.0245318221822977e-98,9.950278077719296e-78,7.579763819403414e-59,9.584107791253732e-110,1.8669441478316984e-94,6.271100796700836e-107
5.334354802833154e-16,0.6843002282966989,3.76,0.0,1.0061906576765525,0.9999999999999993,2.0980565913633196e-35,2.9970970397284146e-49,9.192234713609652e-34,7.529811683324041e-16,7.137805486229658e-16,3.300072153194708e-27,1.2004303417383002e-26,3.920061964266291e-17,2.0197165081186638e-22,1.515816870555858e-27,2.702210101350317e-23,1.7034871828191725e-28,2.946781755502596e-34,1.8230679911400784e-41,2.017555345108968e-35,4.012770387084049e-39,1.0306613383650102e-38,9.65907625390291e-28,1.3124478176254678e-57,1.1803856417023007e-56,1.347072018788422e-64,4.3353501597454153e-85,2.019419717481343e-22,8.433409774238603e-30,5.45704637283713e-44,7.388404418650002e-47,1.6648047587975354e-42,2.8889812882361695e-37,1.1940313158359051e-38,3.3222958571959387e-71,1.375428737419818e-67,1.061261027303736e-80,6.142203261944548e-85,5.981180149188126e-61,1.0889520149426185e-41,2.509920434202918e-87,6.0560699432052584e-89,2.7105715248772606e-72,1.6378953530744247e-43,1.1328842803809129e-91,2.0843943456894687e-87,6.580422385200292e-74,1.708000851887907e-38,9.197111124878273e-56,3.827929555297698e-86,2.108839449319032e-96,7.678079758192378e-76,1.6955635229132217e-57,1.528336685137509e-107,4.812070324932125e-92,6.682441451640077e-105
1.2192810977904353e-15,0.6843002282966989,3.76,0.0,1.0061906576765516,0.9999999999999984,2.0598846305272968e-34,2.9425675039179843e-48,4.425665185613695e-33,1.72109981339608e-15,1.6314983968539528e-15,1.5888426717290634e-26,5.779555346754433e-26,8.960141622063287e-17,4.617245134399878e-22,7.298005742930932e-27,6.179175673341006e-23,8.201557346855282e-28,1.4187491677668201e-33,1.7899117327995521e-40,9.714457216089297e-35,3.93976141477614e-38,1.0119093303521985e-37,4.6504294280652936e-27,2.593722572625369e-56,2.6120977428351306e-55,5.372771121195792e-63,3.568219267476683e-83,4.615816215240202e-22,4.06032340268571e-29,5.357773075757783e-43,7.253980482395963e-46,1.6345124710751229e-41,2.8364166214175328e-36,1.1723278463641539e-37,1.4998429713817793e-69,6.615484201548679e-66,1.017420484306375e-78,5.7556844095263665e-83,1.1833995535909613e-59,1.0691393220212861e-40,2.6097361714491015e-85,5.482596658159145e-87,1.2237238153837744e-70,1.6094501524355018e-42,2.074155994653197e-89,2.0056757130377584e-85,2.970714772992267e-72,1.67692531776904e-37,1.8172077020280156e-54,3.465450050245358e-84,3.820791376484144e-94,8.367945304102535e-74,3.3501507156440447e-56,7.004924888818054e-105,8.787974794348375e-90,1.5208353125070282e-102
2.590972332804675e-15,0.6843002282966989,3.76,0.0,1.0061906576765496,0.9999999999999966,1.8219447154073685e-33,2.6026673803368557e-47,1.9328041390260586e-32,3.6573371037436e-15,3.46693409332088e-15,6.938893251231588e-26,2.524083656134468e-25,1.9040300901866909e-16,9.814848719510412e-22,3.1872308570304715e-26,1.3142254982944119e-22,3.581835436453307e-27,6.1960555962229e-33,1.5831617007657992e-39,4.2432544463570055e-34,3.484673738300558e-37,8.950221914610142e-37,2.030964708834083e-26,4.6158295631530794e-55,4.876770950337868e-54,1.924718321655248e-61,2.6019744611036263e-81,9.808608254142327e-22,1.7732495738060028e-28,4.738912001831876e-42,6.416065703682359e-45,1.4457029437495374e-40,2.5087742197357965e-35,1.0369477407607892e-36,5.663120211386236e-68,2.56351093843812e-64,7.892915615455508e-77,4.422910218552921e-81,2.1115444516400777e-58,9.456412248620378e-40,2.0808343425153995e-83,4.1553287692711174e-85,4.6208674977660094e-69,1.4259504686303159e-41,3.1653639431777597e-87,1.5583076344921669e-83,1.121683646436428e-70,1.4832213695220586e-36,3.2336349006260345e-53,2.6265115911550185e-82,5.797781049440556e-92,6.845496188408006e-72,5.9614246444325605e-55,2.399256205860879e-102,1.3394337000478234e-87,2.5703788333605083e-100
5.334354802833154e-15,0.6843002282966989,3.76,0.0,1.0061906576765458,0.9999999999999929,1.5314543427643253e-32,2.1876983293283054e-46,8.069075802915603e-32,7.52981168531931e-15,7.137805486274548e-15,2.8968512375827425e-25,1.0537552344795082e-24,3.9200619318312655e-16,2.0220241219851578e-21,1.3306061531737539e-25,2.7105006263962475e-22,1.49534567656543e-26,2.586735615683118e-32,1.3307447558306064e-38,1.772055861249953e-33,2.929077206943026e-36,7.523198245609215e-36,8.478877862164063e-26,7.785601846211638e-54,8.411500923431954e-53,6.514974820115108e-60,1.7772964540871823e-79,2.0194188505485604e-21,7.402965144563573e-28,3.9833787460713935e-41,5.393093364125782e-44,1.2151923146813785e-39,2.108768897582812e-34,8.716793627241788e-36,1.9647984573408927e-66,8.997199617341501e-63,5.544319408676468e-75,3.093826475873498e-79,3.5808107184441726e-57,7.948677593654463e-39,1.4858720437967557e-81,2.88935425711493e-83,1.6034149022687393e-67,1.2026516096725063e-40,4.41734348321819e-85,1.095348006695426e-81,3.891629816462743e-69,1.2467367914559881e-35,5.454006306629535e-52,1.8263158700367827e-80,8.067356170386792e-90,4.926749525056326e-70,1.0054849247830259e-53,7.079379102642789e-100,1.868024714514022e-85,3.764288564477737e-98
1.0821119742890114e-14,0.6843002282966989,3.76,0.0,1.006190657676538,0.9999999999999856,1.2555787994049193e-31,1.7936065663946222e-45,3.296479932256651e-31,1.5274760851993408e-14,1.4479548272261134e-14,1.1834581687824246e-24,4.3049339216441494e-24,7.952125557855822e-16,4.107176754043584e-21,5.4359603927543625e-25,5.517687946784939e-22,6.10897411253052e-26,1.0567694751367982e-31,1.0910256539508266e-37,7.244170032692669e-33,2.401432760329453e-35,6.16796824317743e-35,3.4638982648360798e-25,1.278805584422152e-52,1.3966427985350214e-51,2.143891992304667e-58,1.1749761656338467e-77,4.096533370233968e-21,3.02435055787642e-27,3.2658763318938144e-40,4.421589581035596e-43,9.962747630877226e-39,1.7288846708899492e-33,7.147575813320067e-35,6.5435923850220885e-65,3.01283656989335e-61,3.7146264264628496e-73,2.0687245092324525e-77,5.945158947928693e-56,6.516795154410403e-38,1.0096154298683915e-79,1.9266211824768263e-81,5.341514804001912e-66,9.92655118576841e-40,5.9013180383759246e-83,7.341014491429721e-80,1.2960673561852188e-67,1.0221499160248555e-34,8.958227474043145e-51,1.2177938295303517e-78,1.0761148734427199e-87,3.3395061015399763e-68,1.6515235866009927e-52,1.9436511974540831e-97,2.494778950335398e-83,5.1492276064135204e-96
2.1794649623004033e-14,0.684300228296699,3.76,0.0,1.0061906576765225,0.9999999999999709,1.0168002514899235e-30,1.45250796743362e-44,1.3324892312964335e-30,3.0764659199432323e-14,2.916303384455131e-14,4.783726460228582e-24,1.7401230862787454e-23,1.6016252580846562e-15,8.293778545658408e-21,2.1973021778042284e-24,1.119061083998373e-21,2.4693442863832475e-25,4.2716600653689895e-31,8.835410215643445e-37,2.932044094096018e-32,1.944739755066112e-34,4.994973776215828e-34,1.4001630609439959e-24,2.0729858065938118e-51,2.2761310105709656e-50,6.956740678722808e-57,7.642569454478725e-76,8.250756287280915e-21,1.2224890264178396e-26,2.6448913712504925e-39,3.580727278486913e-42,8.067875674181421e-38,1.4000770406872131e-32,5.789947096057921e-34,2.1359330908493648e-63,9.860561957644184e-60,2.431953806078786e-71,1.3530746351904586e-75,9.843767494515843e-55,5.2774518981218505e-37,6.734203899385238e-78,1.2584370033114088e-79,1.7445214278232912e-64,8.146464298929217e-39,7.716131900544838e-81,4.806914019641037e-78,4.2305284731515074e-66,8.277631300489459e-34,1.452167419062616e-49,7.954512977445632e-77,1.4058060636167008e-85,2.1988739919494426e-66,2.677228439016618e-51,5.151495869944768e-95,3.2614701445976475e-81,6.815323264923698e-94
4.374170938323187e-14,0.6843002282966992,3.76,0.0,1.0061906576764914,0.9999999999999415,8.18409273571054e-30,1.1691029545719845e-43,5.357875258178132e-30,6.174445595067302e-14,5.853000499039969e-14,1.9235148258865498e-23,6.996958116500163e-23,3.2144505710594606e-15,1.6732168235177595e-20,8.835256007368038e-24,2.2770649601517575e-21,9.929118947494066e-25,1.717638952760777e-30,7.111505515445259e-36,1.182045867205048e-31,1.5652913075121616e-33,4.020378464569418e-33,5.629994081250441e-24,3.3383799100172687e-50,3.6753570733873494e-49,2.2417001179952163e-55,4.93097712690587e-74,1.65591776321523e-20,4.9155599374114054e-26,2.1289997104339533e-38,2.8820959580186233e-41,6.493381093417741e-37,1.1268738812151984e-31,4.6629170455934954e-33,6.902937906177881e-62,3.190947718004826e-58,1.5741217951848894e-69,8.753683683730776e-74,1.6517904983934482e-53,4.247723798243406e-36,4.5001468276302093e-76,8.136152662374602e-78,5.644209840146796e-63,6.730327233324476e-38,9.981998961946222e-79,3.1116525682787385e-76,1.3672005862475289e-64,6.662551804213625e-33,2.338669955994491e-48,5.142929329352975e-75,1.817369643541756e-83,1.4272990956386833e-64,4.311714753256208e-50,1.3417984850113992e-92,4.21887468236015e-79,8.879872033581687e-92
8.763582890368754e-14,0.6843002282966997,3.76,0.0,1.0061906576764295,0.9999999999998828,6.567218519949332e-29,9.381285679028307e-43,2.1487433355233736e-29,1.23704049678606e-13,1.172639472871685e-13,7.714150400037172e-23,2.8060929267051173e-22,6.440100830515745e-15,3.3869692009755293e-20,3.54333329969586e-23,4.6867498748735394e-21,3.982016118599448e-24,6.88868674148756e-30,5.706531700989865e-35,4.765267637639499e-31,1.2560405766481854e-32,3.226082895994605e-32,2.2578794298924875e-23,5.35847271805836e-49,5.90754061728238e-48,7.198413483181084e-54,3.168647971074325e-72,3.317592236558874e-20,1.971347621453142e-25,1.7086465808383077e-37,2.3127247759937257e-40,5.2099723565771664e-36,9.041972989361376e-31,3.7459721811998056e-32,2.2198628831257013e-60,1.0268324297004835e-56,1.0130946783383357e-67,5.632273659729547e-72,2.86492217718086e-52,3.4084849091951373e-35,3.07188198918265e-74,5.2334071747490896e-76,1.8190923979078777e-61,5.678838004482143e-37,1.2844818237711192e-76,2.0028014162522272e-74,4.3964992399611614e-63,5.346268594258838e-32,3.7540792285360206e-47,3.308222402861945e-73,2.336616044511446e-81,9.199204148607456e-63,6.9216450804736e-49,3.464898444301162e-90,5.428623804307743e-77,1.1492423666298765e-89
