Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16),CO(14),H2O2(13),C2H4(92),C2H3(28),C2H2(22),C2H(21),CH2(S)(24),CH2(T)(17),C1OO1(207),C2H5O(49),CH2O2(59),CHO2(121),CO2(15),HCCO(20),CH2CO(27),C2H2O(171),C2H2O(603),CH3CO(33),CHO2(125),C#CC(199),C3H4(637),CHO3(309),CH2O2(77),C3H4(718),C2H3O(346),C2H2O(128),CH2OH(32),H2CC(23),C3H3(635),S(1002),CH2O3(747),CO2(213),C2O3(1082),C3H5(202),C2O3(290),C3H5(167),C3H3(983),CHO2(209),C3H7(93),CH3O2(749),C3H5(201),C2O3(295),CHO3(520),CO3(1196),C2HO2(133),CO3(268),CH3O2(53),C2HO3(631),CO3(131)
0.0,0.8958389602079825,3.76,0.0,0.7178629905824268,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.37663051903087e-19,0.8958389602079825,3.76,0.0,0.7178629905824264,0.9999999999999999,8.235690403051044e-40,1.31410174641221e-49,6.65413713567203e-33,3.37536011684426e-16,1.4044698091647007e-16,5.115164073369157e-31,2.360937733482534e-28,1.9708903076652686e-16,1.2588733818867633e-20,4.370088683509033e-30,1.5012581325158034e-21,1.1781232771541332e-30,1.0092972391449218e-34,9.927413883390857e-44,9.350658750858886e-37,4.147492100486602e-43,9.334488927610002e-43,2.3025486674800908e-30,1.068478814440871e-59,7.672114374791806e-59,1.9934903130596062e-69,4.079790812660601e-88,1.2588733218926024e-20,5.421571635263144e-31,7.058947198634537e-48,4.3316302033214715e-49,1.0791594335541185e-46,2.2518401770030684e-41,9.690466426892691e-43,2.0449215403918609e-75,2.191832765461954e-72,3.669952246034753e-86,8.831833522039587e-90,6.232764459865004e-64,3.3591731764670764e-46,-1.0352818723928226e-90,3.1041859373773065e-92,4.2569074153615504e-74,7.692415495502896e-48,-4.854664384574587e-92,2.451179931397866e-91,1.9617862678668662e-77,4.707811404074418e-43,3.964125881113928e-58,1.0000545101384983e-89,6.766424317723005e-103,2.578985443673255e-85,3.993008294035341e-60,1.7993040999442384e-116,-3.5870754576158715e-96,3.421051732441773e-110,-3.6659432475074834e-95,1.345917159039175e-103,4.0148844207044114e-47,1.1214414689880187e-69,6.080325697107287e-66,-1.0279332239848376e-96,2.9007515654121535e-113,2.1385252554678436e-76,1.9406151937266303e-72,4.140627162209576e-102,1.9920889874881434e-73,4.814775904900598e-63,5.0553480120609615e-104,1.1031539710211332e-63
1.5054565453286435e-18,0.8958389602079826,3.76,0.0,0.7178629905824259,0.9999999999999997,9.777499492129077e-39,1.5601015949251224e-48,4.019098829815642e-32,9.451008327183223e-16,3.9325154656606225e-16,3.0895591001293178e-30,1.4260063910193855e-27,5.518492861436287e-16,3.524845663452191e-20,2.6395335649097724e-29,4.203523525601491e-21,7.115864593366798e-30,6.096155330595004e-34,1.1787139406279637e-42,5.647798428553163e-36,4.923902621279512e-42,1.1081928746459587e-41,1.3907393951560028e-29,2.391096523548125e-58,2.0907613276496644e-57,9.149450884834843e-68,3.41124977234453e-86,3.5248453010874597e-20,3.2746292673827145e-30,8.380382112460785e-47,5.14251137880653e-48,1.2811780772353088e-45,2.6733846554507965e-40,1.1504521985507234e-41,1.244104198694244e-73,1.0800985166337978e-70,3.312781161911325e-84,8.172372437770574e-88,1.3942475664843753e-62,3.988010393202786e-45,1.2235421983821865e-88,3.542633501570089e-90,2.5896845163690675e-72,9.132495435261038e-47,5.731857817077314e-90,2.1987326283662956e-89,1.193506182450649e-75,5.589113698360516e-42,8.868535225463627e-57,1.1413061865962652e-87,1.3967516931226773e-100,1.9900607061552932e-83,8.932199841676094e-59,2.8695334802377047e-114,4.236177679381287e-94,3.6453961436928716e-108,4.328816846274022e-93,2.7782949036217834e-101,4.766470776932843e-46,3.526722584403138e-68,1.3601530387621809e-64,1.2137329347016234e-94,3.0910775392500607e-111,1.3010506556404274e-74,8.008002922538716e-71,4.41230060857458e-100,8.220410992451206e-72,1.5138421394813917e-61,5.387037812875899e-102,2.4677113027707976e-62
3.4410435321797567e-18,0.8958389602079826,3.76,0.0,0.7178629905824246,0.9999999999999991,9.59964547454338e-38,1.5317170003435378e-47,1.9350230788580289e-31,2.160230474793834e-15,8.988606778650308e-16,1.4874897122572717e-29,6.865606928906232e-27,1.2613697968872468e-15,8.05679100326006e-20,1.2708217892699023e-28,9.608057330001827e-21,3.425982488997895e-29,2.9350363804814472e-33,1.1573258996999484e-41,2.719172363783608e-35,4.834316791030724e-41,1.0880313650757754e-40,6.695811525002502e-29,4.7252659972028196e-57,4.462155316235465e-56,3.7925975834997664e-66,2.833016505361366e-84,8.056789258629862e-20,1.576593031060176e-29,8.227908849278153e-46,5.0489481691073035e-47,1.2578682286822383e-44,2.6247449019843015e-39,1.1295208422036777e-40,5.616492043387625e-72,5.508749735919728e-69,3.362057666751353e-82,8.17360399374284e-86,2.7548020241118844e-61,3.915452248603331e-44,1.2160380371708169e-86,3.2073914926505606e-88,1.1691073787426484e-70,8.966464754457738e-46,5.696947957798093e-88,2.2397921325692316e-87,5.388044919739347e-74,5.487424970789407e-41,1.7523641492066513e-55,1.0333035467119681e-85,2.5308669567090566e-98,2.168865503368222e-81,1.764852171842181e-57,1.3152091430031438e-111,4.211309278241408e-92,8.29606905645985e-106,4.302914155689453e-91,5.0341775512236024e-99,4.679749258057992e-45,7.871368129313999e-67,2.6874699616433115e-63,1.2064010685296357e-92,7.034601723810018e-109,5.87356750127159e-73,3.1678863084799007e-69,1.004138206802822e-97,3.2519128259383644e-70,3.377298251874861e-60,1.2259659888137433e-99,4.87578167100028e-61
7.312217505881983e-18,0.8958389602079829,3.76,0.0,0.7178629905824222,0.9999999999999981,8.490792997045662e-37,1.3547863462535284e-46,8.450754160284364e-31,4.590489758975732e-15,1.9100789404621043e-15,6.49625837030121e-29,2.9983909214598037e-26,2.6804108183321378e-15,1.7120684789583854e-19,5.550012629146388e-28,2.0417137011718343e-20,1.4962165609871793e-28,1.2818075029743e-32,1.0236645128491587e-40,1.1875344797857667e-34,4.275898453195017e-40,9.62351829375301e-40,2.9242368076691166e-28,8.40906150189351e-56,8.210776116254471e-55,1.3819707595361762e-64,2.069765866963444e-82,1.7120677170325426e-19,6.885395971882567e-29,7.277492192458656e-45,4.465737482763203e-46,1.112570194773217e-43,2.3215571313890696e-38,9.990484852655583e-40,2.1206814965125217e-70,2.1822699498571086e-67,2.6674363068919166e-80,6.448735592230931e-84,4.902028989948474e-60,3.4631731656484157e-43,9.535679807623915e-85,2.430976307317679e-86,4.414327001625837e-69,7.930961710331044e-45,4.467383632130478e-86,1.77954754938334e-85,2.0344207987826006e-72,4.853565241296676e-40,3.11831225138417e-54,7.831711400770648e-84,3.840571479194152e-96,1.7742666436829104e-79,3.140460156858684e-56,4.504699836456935e-109,3.3038808036643226e-90,1.4019991161492974e-103,3.374961970819492e-89,7.639329107103093e-97,4.139185194667742e-44,1.4755157245065296e-65,4.782340636458316e-62,9.461218866025997e-91,1.188824117529029e-106,2.2177418529853474e-71,1.1305961137715777e-67,1.6969502315337406e-95,1.160584576500685e-68,6.325305621374791e-59,2.0718296007839598e-97,8.676192905909559e-60
1.5054565453286437e-17,0.8958389602079835,3.76,0.0,0.7178629905824173,0.9999999999999961,7.137029183759042e-36,1.1387795654232026e-45,3.528023507516105e-30,9.451008327463023e-15,3.932515465652797e-15,2.712059989110468e-28,1.2517691862357248e-25,5.5184928610525445e-15,3.5248484789063656e-19,2.3170210209774135e-27,4.203534466681477e-20,6.246409606483933e-28,5.351294044905616e-32,8.604607675113453e-40,4.9577266045100725e-34,3.594150289468341e-39,8.089148602276086e-39,1.2208113034704006e-27,1.418368069077217e-54,1.4068910021197089e-53,4.715780442067245e-63,1.4144846865000508e-80,3.5248452980159586e-19,2.87451727660503e-28,6.117170678415856e-44,3.7537214429964125e-45,9.35182271636275e-43,1.951408636208872e-37,8.397606034063132e-39,7.35763078051543e-69,7.732123584154799e-66,1.891978530173963e-78,4.5631128703372424e-82,8.26800285763791e-59,2.911005705527172e-42,6.737383316926762e-83,1.6903694444986505e-84,1.5315350953612887e-67,6.666830003293102e-44,3.1564291280854116e-84,1.2629666361349797e-83,7.05834704630128e-71,4.079714030748925e-39,5.259548492122424e-53,5.44574857967157e-82,5.344256773663814e-94,1.276952584649314e-77,5.296845116894541e-55,1.3291755602189746e-106,2.3364686691215226e-88,2.0528358902949e-101,2.385625736682791e-87,1.063033603815517e-94,3.4792345142872102e-43,2.5530652293075495e-64,8.066560032755126e-61,6.686190739340188e-89,1.7407207646161325e-104,7.694333277786058e-70,3.820028686494235e-66,2.4847096112047187e-93,3.921352889844148e-67,1.0925392205371215e-57,3.03361570916763e-95,1.463366725337808e-58
3.0539261348095343e-17,0.8958389602079844,3.76,0.0,0.7178629905824075,0.9999999999999921,5.851370137734108e-35,9.336403053020928e-45,1.4413127185965368e-29,1.9172045464931595e-14,7.977388516020367e-15,1.1079649967553053e-27,5.113885567752317e-25,1.119465694581585e-14,7.150413449535214e-19,9.465786900333064e-27,8.527195314366115e-20,2.5518621356376435e-27,2.1861782619579835e-31,7.054613310767182e-39,2.0253962853776704e-33,2.9467015523725335e-38,6.631973386682298e-38,4.987412515475358e-27,2.329719670926424e-53,2.328633689173979e-52,1.5579696582040496e-61,9.352715816608746e-79,7.150400454560003e-19,1.174334098749468e-27,5.015226087774037e-43,3.077527642142808e-44,7.667189039175653e-42,1.5998826711729964e-36,6.8848673199757e-38,2.4503984842774974e-67,2.6006682330309956e-64,1.273352427428048e-76,3.0677037745623286e-80,1.3580262660330174e-57,2.386618333207868e-41,4.527643093231427e-81,1.1271501429602557e-82,5.100651258341657e-66,5.466491244015321e-43,2.1211869456661713e-82,8.502461435927844e-82,2.350723685421483e-69,3.3447960421038375e-38,8.638871417313639e-52,3.6312632270735776e-80,7.129389574419649e-92,8.655600351329828e-76,8.700084151345252e-54,3.649242496458187e-104,1.5729959499115886e-86,2.8070804118475456e-99,1.6045983214196954e-85,1.4181188906483913e-92,2.8524865851368022e-42,4.2568410629491487e-63,1.3250806230992123e-59,4.495100597671942e-87,2.380343153115466e-102,2.562504485223672e-68,1.2559418189994222e-64,3.3976306083415583e-91,1.2892549768997557e-65,1.815270207001884e-56,4.148213285597716e-93,2.4035841678301095e-57
6.150865313771316e-17,0.8958389602079861,3.76,0.0,0.7178629905823881,0.999999999999984,4.73859220630932e-34,7.560861504428103e-44,5.826016448207409e-29,3.861411974184469e-14,1.6067134616700245e-14,4.4785716560731026e-27,2.0671143102801676e-24,2.2546985112632436e-14,1.4401563273724456e-18,3.826222413500629e-26,1.717459427639675e-19,1.0315034728064627e-26,8.83688236721391e-31,5.713023152371736e-38,8.187001493702248e-33,2.3863153084662233e-37,5.3707442379663964e-37,2.0159918805230113e-26,3.776612706037663e-52,3.789150345312104e-51,5.065364463200325e-60,6.083774605846829e-77,1.4401510745956944e-18,4.746846171387372e-27,4.0614600847938985e-42,2.4922616957482836e-43,6.209088085311246e-41,1.2956264216293626e-35,5.575548157821212e-37,7.998509138346477e-66,8.52977779166947e-63,8.354932327394255e-75,2.0117598704013944e-78,2.2014327395705534e-56,1.9327453715176888e-40,2.9688255921466884e-79,7.362461015355728e-81,1.6649374905019584e-64,4.427912512980985e-42,1.3908915964922886e-80,5.5795219382620766e-80,7.673152831765017e-68,2.708702544474699e-37,1.4004020592612577e-50,2.371914256922459e-78,9.315179756524446e-90,5.699235855308938e-74,1.4103211779896085e-52,9.671923916602486e-102,1.0351594691904774e-84,3.7126351409162325e-97,1.0540032395234452e-83,1.852903376416247e-90,2.3100174689788297e-41,6.988259266575052e-62,2.148485220029014e-58,2.949911955096376e-85,3.148375884179161e-100,8.364245971510652e-67,4.0736169521795184e-63,4.493691854986169e-89,4.1816672290003064e-64,2.9593484608453845e-55,5.486409147332633e-91,3.896313277653061e-56
1.234474367169488e-16,0.8958389602079899,3.76,0.0,0.7178629905823493,0.9999999999999678,3.8140316394898316e-33,6.0856395204781264e-43,2.342615584896483e-28,7.749826830357467e-14,3.224662681783893e-14,1.8008139580557988e-26,8.311775725030716e-24,4.525164143542553e-14,2.8903942453829082e-18,1.538507206925327e-25,3.446970126710316e-19,4.14763007138236e-26,3.553271769098169e-30,4.59834380475134e-37,3.2919781012588797e-32,1.920714153657444e-36,4.3228422881062143e-36,8.106214684254232e-26,6.082147414251298e-51,6.113813922043281e-50,1.633822483499481e-58,3.925315040981473e-75,2.890373124198623e-18,1.9086859555603352e-26,3.2690163676300364e-41,2.005989068163964e-42,4.997613651497237e-40,1.0428327882424717e-34,4.4876928190336216e-36,2.584979984244119e-64,2.763191281644408e-61,5.4138068169191945e-73,1.3032333594993974e-76,3.5453832240484325e-55,1.5556415685751903e-39,1.9231634101506784e-77,4.760156857085642e-79,5.380790057489242e-63,3.5655889335016603e-41,9.010054653523546e-79,3.6156409831348945e-78,2.4798303564267014e-66,2.180199443305962e-36,2.2553073631664264e-49,1.533547645117049e-76,1.2046246606236248e-87,3.6994225888348147e-72,2.2712789270494472e-51,2.5191696059748265e-99,6.75390886588096e-83,4.830246803753859e-95,6.851641604048804e-82,2.396159683758845e-88,1.8593028274068805e-40,1.1442823317465524e-60,3.4615908797113936e-57,1.9140484366388546e-83,4.096498147180999e-98,2.703053233755891e-65,1.3123698141561838e-61,5.846416046839308e-87,1.3471795518233575e-62,4.779355282168406e-54,7.137967940440598e-89,6.2748916572807866e-55
2.4732500387542004e-16,0.8958389602079972,3.76,0.0,0.7178629905822714,0.9999999999999355,3.0605203438818394e-32,4.8833430995577505e-42,9.394936214343523e-28,1.5526656545864982e-13,6.460561121923212e-14,7.222069346358234e-26,3.333393817696821e-23,9.066095403765132e-14,5.79090189409426e-18,6.170102036349627e-25,6.906115151509408e-19,1.6633851453785005e-25,1.425021092073135e-29,3.689883611101326e-36,1.3202471460613166e-31,1.5412521277649252e-35,3.468808699555941e-35,3.2509546470696474e-25,9.763215705699191e-50,9.823243511130696e-49,5.24898406741182e-57,2.5223982482404526e-73,5.790817188698642e-18,7.654684261659816e-26,2.6231796830848712e-40,1.6096799482786925e-41,4.010269224773057e-39,8.368075203567541e-34,3.601101454259688e-35,8.312908203658024e-63,8.896426712482675e-60,3.4863088964260753e-71,8.391293605035308e-75,5.691265219535471e-54,1.2483043052956662e-38,1.238290572703964e-75,3.0620144355780822e-77,1.7303813056684663e-61,2.8637600210333073e-40,5.801476955043107e-77,2.3284266081277668e-76,7.974763216276437e-65,1.7494727229559624e-35,3.6202702074482303e-48,9.864686952336142e-75,1.5498163272995134e-85,2.384374903483127e-70,3.6459061644275437e-50,6.504920486527316e-97,4.410903246288072e-81,6.233194913574002e-93,4.4424949238033445e-80,3.082827238984702e-86,1.4919731054554858e-39,1.8897998325993976e-59,5.561505215506589e-56,1.2364598126263497e-81,5.287280933460524e-96,8.69180008487686e-64,4.2137432822089556e-60,7.544489178020204e-85,4.325509418084714e-61,7.682672804483845e-53,9.2111670556208e-87,1.0072588349729859e-53
