grid,velocity,T,density,Y_N2,Y_Ne,Y_CH2F2(1),Y_C3H2F4(2),Y_OH(3),Y_O2(4),Y_H2O(5),Y_H(6),Y_O(7),Y_H2(8),Y_Ar(9),Y_He(10),Y_HO2(11),Y_H2O2(12),Y_CO(13),Y_CO2(14),Y_HCO(15),Y_C(T)(16),Y_CH(17),Y_CH2(T)(18),Y_CH3(19),Y_CH2O(20),Y_HCCO(21),Y_C2H(22),Y_C2H2(23),Y_H2CC(24),Y_CH2(S)(25),Y_CH3OH(26),Y_CH3O(27),Y_CH2CO(28),Y_C2H3(29),Y_C2H4(30),Y_CH4(31),Y_C2H6(32),Y_C2H5(33),Y_CH2OH(34),Y_CH3CO(35),Y_CH2CHO(36),Y_CH3CHO(37),Y_F(38),Y_HF(39),Y_CHF(41),Y_CHF3(42),Y_CF2(43),Y_CF3(45),Y_CH2F(46),Y_CHFO(47),Y_CF3O(48),Y_CF2O(49),Y_CF(50),Y_CHFCF2(55),Y_CH2CF2(57),Y_C2HF(58),Y_C2H3F2(64),Y_C2HF4(69),Y_CF3COF(77),Y_CH2CFO(79),Y_CHF2(82),Y_C3HF4(84),Y_C3HF4O(85),Y_C3H3F4(86),Y_S(127),Y_S(128),Y_S(129),Y_S(138),Y_S(141),Y_O2(147),Y_S(148),Y_S(150),Y_S(151),Y_CHFO2(185),Y_S(186),Y_CHFO2(353),Y_CHO2(357),Y_CFO2(358),Y_S(385),Y_CF2O2(392),Y_S(474),Y_S(475),Y_CF3O2(478),Y_CHF2O(488),Y_S(495),Y_S(499),Y_S(500),Y_S(501),Y_S(522),Y_S(564),Y_S(568),Y_S(646),Y_C2HF3(861),Y_S(1008),Y_S(1094),Y_S(1108),Y_C2HF(1177),Y_S(1179),Y_S(1289),Y_S(1290),Y_S(1317),Y_S(1336),Y_S(1514),Y_S(1547),Y_S(1623),Y_S(1932),Y_S(2178),Y_S(3369),Y_S(3986),Y_S(3997),Y_S(5345)
0.0,0.03827817735376345,298.0,1.4048844804785967,0.5677991369047807,3.932276122103053e-39,0.11217443217666286,0.14754013134370092,6.013635595281239e-15,0.17248629541232696,5.548250642575579e-11,5.761865172064152e-16,1.0878366364825104e-17,3.839766779891929e-09,3.847764874782229e-58,0.0,3.2329891131417954e-15,2.1170996198902802e-14,4.1914399506916474e-11,6.043575483989035e-12,7.509956340195069e-24,1.230392326113329e-14,2.6823768683350515e-28,0.0,1.8374750605160341e-16,1.427506689153231e-15,0.0,0.0,0.0,6.262725747896546e-15,0.0,6.661734369064168e-17,3.2732042701856924e-24,1.9665179745929795e-14,6.97835707120242e-16,3.7289969129579453e-17,1.0505221119737681e-13,0.0,2.4598294967820413e-32,0.0,1.6393264229309663e-27,2.1323067782715835e-25,3.9045297686247185e-17,6.944653740383397e-15,2.1849668866868484e-10,0.0,8.470220894223296e-14,5.982488462445466e-14,0.0,0.0,1.067642804407183e-15,2.360299549022149e-20,6.635120191766395e-14,0.0,1.7024690602146132e-14,2.5909459091907893e-14,3.514263051771684e-13,3.345539297024106e-35,6.227223122328339e-16,0.0,0.0,0.0,1.2990929205436234e-17,5.693848328542988e-24,1.7680515470857732e-14,5.183580208893873e-46,3.510449652294238e-46,0.0,2.767416021398959e-29,1.2600921564399717e-16,0.0,2.828037650230978e-29,1.024207969118227e-25,3.1163263752706493e-15,0.0,0.0,0.0,5.262368020832524e-30,0.0,3.1303751114022134e-16,0.0,1.8093769926528642e-17,1.109042500113799e-16,0.0,6.091191290861143e-22,6.8863041361992626e-15,3.732390837222951e-15,3.254029889115805e-17,2.270150294106945e-17,1.0610469369513312e-15,6.7339207594707654e-46,9.527477524656503e-47,1.2428558368134019e-18,0.0,0.0,0.0,6.269664361712787e-40,0.0,0.0,0.0,8.515435131064818e-16,2.4020062361229715e-16,1.907363035283203e-32,1.0969580689760883e-32,1.0379111661672161e-19,0.0,0.0,4.796600096070735e-18,7.914858929481114e-41,5.2163544458940345e-28,1.9816760294753814e-41,0.0
0.032,0.038278227985539114,298.0000871835808,1.4048826221955006,0.5677990427910573,3.7486232112923396e-38,0.11217444115968477,0.14754015204901322,3.545181691584902e-19,0.1724862727558043,3.6527390062735607e-09,7.75727421151376e-24,6.815752200850344e-20,6.971487427115187e-08,4.33925321992289e-57,0.0,2.1543332245976643e-13,9.008746487920475e-14,2.7897285578231917e-09,5.399565517344162e-10,6.337618467189684e-22,8.991419049624061e-23,6.031525254887262e-35,0.0,1.114458400869876e-14,1.278734955602332e-13,0.0,0.0,5.704029448206555e-16,8.503879617560922e-23,0.0,4.701907992969629e-15,3.0340961045065047e-22,4.362584751848059e-13,1.742531797957241e-23,8.811427751642822e-16,6.1743657684874266e-12,0.0,2.2901623944972266e-30,0.0,1.7207293247534921e-25,2.2595241042836388e-23,4.220647450885378e-17,1.771474125528429e-21,1.4479444745257638e-08,0.0,9.138361197385403e-12,5.792614122740244e-13,0.0,0.0,1.3751077937629875e-13,3.099503855661891e-20,9.079072693589806e-12,0.0,1.7398582384291294e-12,2.978893686585704e-12,3.5313187006276165e-11,4.651495220946343e-33,1.040579114938917e-23,1.6501877106221388e-13,0.0,3.886457072509859e-21,1.409064362016632e-19,9.980031833855952e-22,2.9400643113028283e-22,9.907242637393328e-44,6.709606770266821e-44,5.330888245338474e-13,5.9942529965354e-27,2.2675632494071526e-14,5.078965457635433e-18,5.7632370870729575e-27,2.113810813515252e-23,5.806704136835909e-13,0.0,2.033806313762476e-14,0.0,9.389058896068393e-28,0.0,6.784834257624781e-14,0.0,2.6629070619791247e-25,1.7084079904516168e-14,0.0,8.575712839847644e-20,6.495208272441096e-14,4.980243759862799e-15,6.560082137321595e-15,4.374846252549207e-15,1.1803948151075988e-13,9.49252371749092e-44,1.8210148218667373e-44,1.7817971561776478e-16,0.0,0.0,0.0,1.0738935507026443e-37,0.0,0.0,0.0,6.806144035170774e-15,5.6433058188213766e-14,4.515063987007604e-30,2.180467039007899e-30,2.3728227730253804e-17,0.0,0.0,8.826973421494269e-16,1.2362559759959728e-38,8.291504812821502e-27,3.289311245565706e-39,0.0
0.04,0.038278471052965814,298.001061719618,1.4048737012237313,0.5677986781373763,3.7328625200441063e-38,0.11217448008007247,0.14754022950373671,4.628739242294004e-18,0.17248610422299432,4.0990803703619555e-08,3.8922216793101687e-26,7.9868307601921095e-22,2.6277009714590973e-07,6.17704894357091e-57,0.0,2.5233049549638806e-12,1.1378432316171842e-12,3.162322608905503e-08,8.043594512741282e-09,2.4922658587225246e-28,2.8448746765488016e-30,0.0,1.3240403244070063e-28,1.2090773184443526e-13,1.9521319057081726e-12,1.5448315865684452e-30,0.0,8.178873202049447e-15,4.8236625632508136e-30,2.240840127693133e-30,7.130185212259837e-14,1.2693264990655825e-19,7.271481932229362e-12,1.81669730801259e-30,1.2331787136333956e-14,6.45229946525014e-11,0.0,0.0,7.558021767420775e-27,2.1266240920544283e-23,5.323153952045094e-29,9.462035754004733e-17,1.0461276981076132e-25,1.6347829245249355e-07,1.1691602717242087e-26,1.6457794042121612e-10,7.456423315276658e-12,2.4460385671269037e-24,0.0,3.1999593152480467e-12,1.2591899585039722e-19,2.011329217801358e-10,0.0,3.4101775891522735e-11,5.6232398622546505e-11,5.815223314527774e-10,9.971721634384778e-31,1.3690031387543161e-30,4.083829593084468e-12,4.5582775497621315e-14,6.55018569082704e-20,6.027497540413432e-21,4.269258597934851e-23,4.581781702501365e-24,2.129545266857886e-47,2.872387441636319e-52,1.1560046285224261e-11,5.995057952287506e-27,5.532226563994475e-13,5.079597756007574e-18,6.753582748772418e-29,2.1140274278320862e-23,2.380723308862245e-12,0.0,4.582935042347994e-13,0.0,4.044170086600369e-29,0.0,2.1880200484933145e-13,1.0531395449743585e-32,6.085260149098065e-27,2.2374471544524653e-13,0.0,1.0311963864939823e-18,1.3144003022223937e-12,3.538127348484629e-14,7.89697471729768e-14,5.231287995432935e-14,2.744532736443377e-12,2.30266528442164e-41,4.4173593821729155e-42,3.977379012046917e-15,0.0,0.0,0.0,3.089290996291222e-39,0.0,9.574092393739746e-31,2.931538989495911e-24,1.4800810462138577e-13,5.746759870809153e-14,1.933930666453954e-31,9.332686151552913e-32,9.369114825496167e-17,8.189955582198373e-41,0.0,2.4867213988078664e-15,3.2384095087108107e-37,2.1717622241226065e-25,8.616495030676332e-38,1.7210358198030265e-16
0.044,0.03827961778076227,298.0079387543813,1.404831615967523,0.5677973879597575,3.6656046136013985e-38,0.11217462736406203,0.14754049602080138,3.412079155651225e-17,0.17248507295067952,2.865878055747271e-07,3.9879838896162426e-25,5.815483217482927e-21,6.697967620163048e-07,7.565893719845665e-57,0.0,1.8417369585159814e-11,1.1046561305289271e-11,2.2324831671694176e-07,7.394105089597636e-08,9.768901615880785e-27,1.8981666027215943e-37,0.0,4.17808222024766e-27,1.53513798138048e-13,1.8017695560492203e-11,1.2641271516450569e-28,1.727007137383037e-43,7.019509839249642e-14,5.633446797257186e-37,1.812814177222878e-29,6.687456245288782e-13,1.015403923116198e-18,7.695912569300985e-11,1.8590962704515156e-32,1.0956662615447456e-13,4.2152874183516855e-10,0.0,0.0,8.87377827563464e-25,1.9076873933592234e-22,2.620663591703188e-30,6.343868793871805e-16,8.859919532450379e-25,1.149656261757187e-06,2.5935876977770574e-26,1.8201678911650467e-09,6.451644335490571e-11,1.7819172552808327e-23,1.693293346409344e-30,4.139555030010515e-11,1.439224171416764e-18,2.740210139392863e-09,0.0,4.10155454881678e-10,6.51077468338414e-10,5.892666671993575e-09,8.41886071648855e-29,5.381008864980283e-29,6.030952606390213e-11,6.612506341791456e-13,4.75368417283857e-19,4.3858986005681165e-20,3.1072583429976787e-22,3.348031605637027e-23,2.1345675566928253e-45,3.5115371805020625e-50,1.521762174904041e-10,6.000820886025366e-27,8.228382213523973e-12,5.0840311749501276e-18,4.9180869742971595e-28,2.1155060634215092e-23,1.6114941821935156e-11,0.0,6.253748615261437e-12,0.0,2.929287822621972e-28,1.297320033722479e-16,9.42702570843667e-13,1.3435576809291632e-31,4.4180235910663995e-26,1.5790359818370137e-12,3.9509432602919813e-13,7.039301775768987e-18,1.788261561163163e-11,4.900808859885804e-13,5.381894742374667e-13,3.5716863226799625e-13,3.904637424740872e-11,2.308177405113267e-39,4.4279410936859595e-40,5.42521032644694e-14,0.0,4.180190823456159e-16,0.0,2.6421186621851885e-37,0.0,7.036257307831014e-30,1.0024312859992267e-22,2.2063888600461647e-12,6.725036008083647e-14,1.4059973515014381e-30,6.787966834250865e-31,1.6279392638733715e-15,5.823767658725598e-39,2.0687918710758566e-17,3.064606919166244e-14,5.460876898271403e-36,3.6595635396273574e-24,1.4530399652723944e-36,4.421801804245767e-15
0.048,0.03828918375579934,298.07492741170523,1.4044806400180376,0.5677890206686348,3.3357868009625927e-38,0.11217549720681445,0.14754222055863464,3.518875231162975e-16,0.17247557979407085,2.5219271854280767e-06,1.2341566704627305e-23,5.981586425047079e-20,1.9494546016673456e-06,9.250553418950076e-57,0.0,1.7102256173293434e-10,1.3672832489846954e-10,1.984834568843774e-06,8.673750350578096e-07,1.1858368215953869e-24,1.3845743146350008e-44,9.274204340236923e-44,4.628581645372915e-26,2.3565330389564223e-13,2.119889429434221e-10,1.6974188071457285e-26,2.046187645941291e-41,7.647211307096132e-13,4.889901200182391e-41,2.84155667051895e-28,8.01232861323679e-12,1.4323273253671987e-17,1.0473133142605865e-09,2.226606276466341e-30,1.2426671231699604e-12,3.4524796882040736e-09,1.0072651844574458e-13,3.562010417979228e-28,1.247161250090431e-22,2.6200505758520138e-21,3.3352447415311754e-28,8.224234563016602e-15,9.745174011812127e-24,1.0179495489048885e-05,1.273474284348404e-25,2.587890253789399e-08,7.147345511681352e-10,1.83562161579058e-22,2.8106233433923663e-29,6.891766275161322e-10,2.603120264112669e-17,4.837008147485866e-08,1.7647519803779213e-14,6.3607846764766955e-09,9.706852469212772e-09,7.650754601079723e-08,1.1705948267676674e-26,8.334572981040837e-27,1.1544409183594274e-09,1.0846969528315265e-11,4.8932263080391825e-18,4.516671783055019e-19,3.2073908772628036e-21,3.140702947027612e-22,3.5521029345574324e-43,1.1988723097047828e-47,2.5894144812296525e-09,6.0574713433095265e-27,1.5879984581434896e-10,5.127425240712614e-18,5.064489125797557e-27,2.1300459286001684e-23,2.604427737837958e-10,0.0,1.104193930179821e-10,0.0,3.0213677854751325e-27,2.805841641908226e-15,9.483505665197394e-12,1.6375606228588782e-30,4.565372657384504e-25,2.0095044305996694e-11,1.0530367793897705e-11,9.056535481128766e-17,3.1628063813573143e-10,9.70547631691455e-12,6.878480038224962e-12,4.580599902232704e-12,7.200003370323614e-10,3.839789915618062e-37,7.366232875930157e-38,9.578738141019423e-13,0.0,1.5754115098765164e-14,0.0,4.210022646020325e-35,0.0,7.273064210370013e-29,2.8920174428052816e-21,4.289247846172412e-11,2.9670446547099773e-13,1.4513940193802353e-29,6.994979507360586e-30,4.705521138662481e-14,6.8124567791971926e-37,5.445239475058682e-16,6.990291671539353e-13,1.2086810224136963e-34,8.043120728549891e-23,3.217255748377998e-35,1.4089535855398314e-13
0.049,0.03830384047499951,298.1831394142957,1.4039432245526835,0.5677783577680421,3.0758115675052994e-38,0.11217624694143542,0.1475444408971588,9.996985468474676e-16,0.17246070885157772,5.90930785398481e-06,6.335351719974223e-23,1.698879180491027e-19,2.697879633358463e-06,9.578094980074764e-57,0.0,4.0954679354323846e-10,4.014904041515714e-10,4.679559001009282e-06,2.4339835995259713e-06,9.470015868387003e-24,5.416745573879993e-51,1.8314090372208596e-42,1.4602177602291238e-25,3.607876972746942e-13,5.959754583586985e-10,1.492849768282923e-25,1.5729415197242389e-40,2.044767664708354e-12,6.484207872575162e-41,1.2356093372926845e-27,2.2799789891334727e-11,5.260357055437698e-17,3.2487321529308945e-09,1.7409240631249286e-29,3.411385172538974e-12,7.756129937687922e-09,5.629190150893862e-13,4.9555780242584114e-27,1.0960306337849553e-21,9.538425982888803e-21,2.4967853921233344e-27,2.5605568089269858e-14,2.6376936735884264e-23,2.394047588973919e-05,8.686649790842567e-25,8.274397033370257e-08,1.93453386574481e-09,5.227320626525407e-22,1.006573171813163e-28,2.465898955909171e-09,1.0025203534190719e-16,1.8073854728579706e-07,6.141815087634023e-14,2.1626607924771146e-08,3.208979557909461e-08,2.2977812328682227e-07,9.336559103266456e-26,8.29447311748503e-26,4.582655632778052e-09,3.812388020990341e-11,1.3918897382520814e-17,1.2843890255287388e-18,9.155125554718103e-21,7.644999549797953e-22,3.217263203420826e-42,1.7402776548590114e-46,9.416214587528681e-09,6.150181873014067e-27,6.343060042040004e-10,5.1982785822033084e-18,1.4411512771470167e-26,2.153781251431893e-23,1.05975945004465e-09,0.0,4.126223347741616e-10,0.0,8.63993763745842e-27,1.129973082321988e-14,3.0567663824313235e-11,4.7627571464079274e-30,1.3067673528669735e-24,7.389525088617716e-11,4.7234509179093385e-11,3.0176910633324483e-16,1.183691785103736e-09,3.9704776215364046e-11,2.264060988069716e-11,1.5157179582241595e-11,2.779006029036708e-09,3.4760493839307484e-36,6.668586039593222e-37,3.5794400847055682e-12,0.0,6.494626379611902e-14,0.0,4.062267698925671e-34,0.0,2.0825685864247657e-28,1.525556908632375e-20,1.723201691246269e-10,1.2909516317143232e-12,4.1443828934071146e-29,1.9915186545321865e-29,2.614424221193967e-13,5.1672182361901196e-36,2.2056805718484016e-15,3.239665890087263e-12,5.396572684061288e-34,3.5505886682633425e-22,1.4373023727266998e-34,8.382402065950787e-13
0.05,0.03834972858924188,298.527547433601,1.402263309112765,0.5677488787578147,2.6313531897762703e-38,0.11217684786084087,0.1475505600005834,4.344386838353511e-15,0.1724143719592152,1.6143766179016886e-05,6.139484943994838e-22,7.376511011966056e-19,3.846337868986222e-06,9.742614361687953e-57,0.0,1.1410853778596606e-09,1.4538391469570368e-09,1.2884240301794128e-05,8.317265868389672e-06,1.4098548968573258e-22,2.1811275861943906e-57,1.1607991914566673e-40,8.206306054654549e-25,7.289960843946209e-13,2.0410894159419375e-09,2.51544400437896e-24,2.2822426211976506e-39,6.583006111402519e-12,4.230395179610834e-41,1.0841363104089658e-26,7.925558581404149e-11,2.952953502215083e-16,1.255065483565017e-08,2.5356930973073514e-28,1.1345934700166057e-11,2.0103819221639556e-08,2.358638442345686e-12,8.98558605924982e-26,1.8237027818931204e-20,5.4179841480060984e-20,2.760068198668819e-26,9.964353328762608e-14,8.7026075226701e-23,6.570691971316625e-05,7.52507800778433e-24,3.3165822615987643e-07,6.322901667321366e-09,2.2904570411797416e-21,4.798791257848742e-28,1.1319746401895003e-08,5.023926809688977e-16,8.739062564377759e-07,1.961854270650463e-13,9.337395411104567e-08,1.3393331562260587e-07,8.5339617743602e-07,1.111863262330597e-24,1.6658080974719235e-24,2.3805843209116207e-08,1.7122853908741816e-10,6.076417563491774e-17,5.6004567567974876e-18,4.0397630056402893e-20,2.265879413896914e-21,4.5629157607900584e-41,7.211332801244225e-45,4.407148424202752e-08,6.454462863494232e-27,3.3194205982258542e-09,5.4300365275983476e-18,6.295437675193529e-26,2.231104438181104e-23,6.313936836210405e-09,0.0,1.9950761560310455e-09,0.0,3.826994779292069e-26,5.967480988046097e-14,1.771869931819629e-10,1.789599396960779e-29,5.8188734805220735e-24,3.927564782391983e-10,2.816909681473702e-10,1.5256339288725736e-15,5.733726970082824e-09,2.1384754860501641e-10,1.1125617375622e-10,7.424810573989785e-11,1.3964058720639294e-08,4.921051809540043e-35,9.441531429237805e-36,1.730699530389564e-11,0.0,3.466277032058355e-13,0.0,7.597613428944204e-33,0.0,9.28505112486472e-28,1.164893568130582e-19,9.079593728675502e-10,9.37183354073634e-12,1.8309030084235726e-28,8.716730935014367e-29,2.007153977458546e-12,7.184498953985185e-35,1.1620901147957283e-14,2.0197791184721557e-11,3.293033176013498e-33,2.089821858765023e-21,8.786998041913231e-34,6.9512429394299164e-12
0.051000000000000004,0.03849434250620161,299.6218332756083,1.3969953460749618,0.5676665309882581,1.942997661255482e-38,0.11217215095300652,0.14756702535226462,2.9094561285327005e-14,0.17227044101294955,4.696672815528768e-05,1.06525342240317e-20,4.945117268120688e-18,5.604601088260635e-06,9.659772790964344e-57,0.0,3.3813154040707682e-09,5.619855018856686e-09,3.7796453174026566e-05,3.0345634047983223e-05,3.457013585668578e-21,1.8577763155980322e-55,2.1386142846972971e-38,9.213351824119409e-24,1.8271528304567493e-12,7.46232411867353e-09,7.069324758145698e-23,5.893003561664029e-38,2.2624946088505234e-11,0.0,1.815922569814772e-25,2.9410661670757825e-10,2.1561436997225123e-15,5.172951903182045e-08,6.178719119536681e-27,4.028701422323471e-11,5.543145657450471e-08,9.323772745993977e-12,2.4480158414048586e-24,4.893028801523572e-19,4.1908979133541655e-19,3.671831682838529e-25,4.140081962357397e-13,3.1724955377210507e-22,0.00019208005468962503,6.898175703735711e-23,1.4178474816719338e-06,2.2089019175745423e-08,1.5853396898585514e-20,2.771103577529133e-27,5.529997218609101e-08,2.67395759468636e-15,4.492125386753759e-06,6.111021158873905e-13,4.2952959560381995e-07,5.958922081683257e-07,3.3830374545995348e-06,1.5803913070238837e-23,5.682238659011425e-23,1.312493360963183e-07,8.186902925986468e-10,4.1309198986211615e-16,3.793993301640089e-17,2.839702798698406e-19,8.895456610030628e-21,8.040713015433982e-40,7.978682271227606e-43,2.1943205066273017e-07,7.519672075098053e-27,1.8432764723844245e-08,6.2331588975173296e-18,4.301133342591273e-25,2.495307688483621e-23,4.1156156351203065e-08,0.0,1.025485840755468e-08,0.0,2.707307382236453e-25,3.3441315595249623e-13,1.260681121331672e-09,8.147648915971091e-29,4.2096051122660295e-23,2.3287304956846408e-09,1.7744381168023075e-09,8.778429259565605e-15,2.9524603334215227e-08,1.22005689476597e-09,5.851452431349632e-10,3.886023462531981e-10,7.452971394083594e-08,8.606167043595107e-34,1.6518385373361003e-34,8.895939708099113e-11,0.0,1.9543683065859504e-12,0.0,2.326794042443616e-31,0.0,6.786364746016625e-27,1.107432510992158e-18,5.075579540394747e-09,7.526985091347538e-11,1.2919459394480224e-27,5.974429815873452e-28,1.6174609237555553e-11,1.6262246879558377e-33,6.481316469405692e-14,1.3301659929720683e-10,2.2981577620297347e-32,1.3011946740154387e-20,6.168783992733621e-33,6.035828124013736e-11
0.052000000000000005,0.038949623680376966,303.08040741282275,1.3806659036157676,0.567438272129175,1.0414304090624709e-38,0.11213228654568182,0.14760750065895928,2.537835167889107e-13,0.17182804861549308,0.00013886637151622685,2.693378742039921e-19,4.388865366757584e-17,8.277096933681892e-06,9.283259266752144e-57,0.0,1.029397780594668e-08,2.1910566360701156e-08,0.00011278676897919632,0.00011205540335587204,1.1207148779485897e-19,1.7235879284791293e-51,7.919982767174378e-36,1.8114148452544137e-22,5.2888662561852795e-12,2.7596275396434596e-08,2.721779265098973e-21,2.561358193548375e-36,7.880334445273843e-11,0.0,4.5579233520729916e-24,1.103599860301432e-09,1.792297267148122e-14,2.1509581480030505e-07,2.091118723730055e-25,1.4484105436163503e-10,1.5561878782980118e-07,3.6079061835226806e-11,8.871514624978622e-23,1.624265914219475e-17,4.1381847006056595e-18,6.016013210381303e-24,1.7354276691869223e-12,1.3235797904350694e-21,0.0005707340308113392,6.67750487932673e-22,6.111657027896525e-06,7.848425626559957e-08,1.5756021822697937e-19,2.4027777628766316e-26,2.715848321754803e-07,1.4277965756774247e-14,2.3188697313975604e-05,1.894097527972619e-12,1.989195601767559e-06,2.671019874109789e-06,1.3546806347089267e-05,2.725662733265232e-22,2.668979400686167e-21,7.25718331255265e-07,3.936894203458886e-09,3.7848751297549255e-15,3.432566023119202e-16,2.8649182701703884e-18,7.950544535383735e-20,1.9356252002876796e-38,1.5341439366508162e-40,1.0979096630503698e-06,1.2106527138390995e-26,1.0263680292312122e-07,9.576617845828011e-18,4.042704614586529e-24,3.546836863433883e-23,2.7097666062792703e-07,0.0,5.293496423641842e-08,0.0,2.7696085490146677e-24,1.879183726383843e-12,9.379722789439017e-09,5.239125960983442e-28,4.663836227968324e-22,1.3848269488183661e-08,1.1181104046571456e-08,5.5697516986413673e-14,1.5267269352124185e-07,6.948632811554839e-09,2.7932606545126116e-09,1.8553378844199918e-09,3.991994022540122e-07,1.9894700340727075e-32,3.8281493204609583e-33,4.5920306392497114e-10,0.0,1.1038042390673478e-11,1.9702792065508927e-30,9.395879474810556e-30,0.0,7.972225798398055e-26,1.343448907763378e-17,2.8446118610443877e-08,6.076576928142872e-10,1.3224682731941934e-26,5.594552670703664e-27,1.2994630377977075e-10,4.7311765695365684e-32,3.622967310279121e-13,8.758438115649458e-10,2.042679188681256e-31,8.107094905745681e-20,5.585231113393717e-32,5.220430057618198e-10
0.053000000000000005,0.04036357286624933,313.8366173935321,1.3323007270156253,0.5668286480060318,1.8797214657088774e-39,0.11191659480580968,0.14768342315766944,2.3162478533346364e-12,0.17050803888328628,0.00040461885923190696,7.749175583622713e-18,4.511776698836903e-16,1.225153878849135e-05,8.669180548739488e-57,0.0,3.2557620556088834e-08,8.338807815011913e-08,0.0003326726082306217,0.00040663870826757075,3.770978053602412e-18,2.392971287952377e-47,3.931208378092001e-33,4.775794325422261e-21,1.7662506985134433e-11,1.0012320642775826e-07,1.2120239625926478e-19,2.3246918058728012e-34,2.7003837968788806e-10,0.0,1.3667323206053628e-22,4.0620569593612925e-09,1.5837992068367542e-13,8.75791149866734e-07,8.479862689258954e-24,5.117164163308277e-10,4.322442342166972e-07,1.3584982131973128e-10,3.757988346310854e-21,4.641304967423136e-16,5.797093666563498e-17,1.581812247573579e-22,7.122639024354119e-12,8.809201871913877e-21,0.0016722012364389512,8.04404079853175e-21,2.580297558827363e-05,2.7750047160117253e-07,2.3565367788004707e-18,6.543103459422602e-25,1.3032857084532333e-06,7.432288019813817e-14,0.00011687949528090821,5.992799674210409e-12,9.013918622241234e-06,1.1720820131228208e-05,5.321693187825397e-05,7.584825613552375e-21,1.4472594325501334e-19,3.914944748369534e-06,1.8505704501354502e-08,4.073810092166557e-14,3.4815237294454646e-15,3.840179918985141e-17,2.0161578204402783e-18,1.1522052126612427e-36,2.986802210990458e-38,5.366326607047374e-06,5.0420162437757155e-26,5.574689797345833e-07,3.4271784978478154e-17,4.8844175063949375e-23,1.0303129314688629e-22,1.742765056510816e-06,0.0,2.6681377400833875e-07,1.7876763059803159e-31,3.834195059207562e-23,1.0299278472560139e-11,6.885850366562477e-08,8.623676271658198e-27,8.607491782342311e-21,7.729022925678624e-08,6.862924661735095e-08,4.712663494076759e-13,7.708840277759743e-07,3.811489433505291e-08,9.980625249923346e-09,6.752133066639803e-09,2.0871576235614852e-06,9.71259085575146e-31,1.903884067785686e-31,2.3145703275141124e-09,1.1897852997260505e-17,6.079950165688748e-11,1.266920006615306e-28,4.29105423772011e-28,0.0,1.930219588294585e-24,2.686767249623504e-16,1.5548652280593883e-07,4.767953478130041e-09,1.8901390383207765e-25,6.212356087580561e-26,1.0147480129379121e-09,1.3372264297092421e-30,1.9755032290085646e-12,5.6151336222601166e-09,3.563213115243471e-30,4.92043597094127e-19,1.0292843110788578e-30,4.386613879231899e-09
