grid,velocity,T,density,Y_N2,Y_Ne,Y_propane(1),Y_C3H2F4(2),Y_OH(3),Y_O2(4),Y_H2O(5),Y_H(6),Y_O(7),Y_H2(8),Y_Ar(9),Y_He(10),Y_HO2(11),Y_H2O2(12),Y_CO(13),Y_CO2(14),Y_HCO(15),Y_C(T)(16),Y_CH(17),Y_CH2(T)(18),Y_CH3(19),Y_CH2O(20),Y_HCCO(21),Y_C2H(22),Y_C2H2(23),Y_H2CC(24),Y_CH2(S)(25),Y_CH3OH(26),Y_CH3O(27),Y_CH2CO(28),Y_C2H3(29),Y_C2H4(30),Y_CH4(31),Y_C2H6(32),Y_C2H5(33),Y_CH2OH(34),Y_CH3CO(35),Y_CH2CHO(36),Y_CH3CHO(37),Y_HF(39),Y_CH3F(40),Y_CHF3(43),Y_CF2(44),Y_CF3(46),Y_CH2F(47),Y_CHFO(48),Y_CF2O(50),Y_CHFCF2(56),Y_CH2CHF(57),Y_C2HF(59),Y_CF3COF(78),Y_CH2CFO(80),Y_C3HF4(85),Y_C3HF4O(86),Y_C3H3F4(87),Y_C3H7(125),Y_C3H7(126),Y_S(132),Y_S(141),Y_O2(146),Y_S(147),Y_S(149),Y_S(150),Y_CHO2(180),Y_CH2O2(186),Y_COO(205),Y_S(216),Y_S(222),Y_S(224),Y_C3H6(373),Y_C3H6(385),Y_CH3O2(390),Y_C1OO1(688),Y_S(843),Y_S(849),Y_S(854),Y_CF3O2(855),Y_S(978),Y_C3H5(979),Y_C3H6(981),Y_S(1217),Y_S(1835),Y_S(1865),Y_S(1882),Y_S(2107),Y_C3H4(3327),Y_C3H3(4196),Y_S(4695),Y_S(6137),Y_S(6138),Y_S(6195),Y_S(7781)
0.0,0.399226450557654,298.0,1.2049899515768385,0.7207157794825031,0.0,0.06034483466443164,4.870034531441231e-38,0.0,0.21893938585305767,7.603804429721369e-22,0.0,3.5958935430726995e-22,7.557954610092963e-15,0.0,1.7081148986505054e-28,0.0,1.9231712730158624e-22,1.2858698087177756e-21,0.0,1.0963380239793706e-30,2.309378650111853e-20,2.9491454884648782e-34,0.0,1.2888945313597057e-23,0.0,0.0,0.0,0.0,1.0004448163830126e-22,0.0,0.0,1.2665468102104507e-33,0.0,0.0,0.0,6.044853136724689e-22,7.12323856307556e-24,1.4106647272099194e-22,0.0,2.0730187790837187e-38,0.0,0.0,9.32601251817501e-24,0.0,0.0,1.8089438000086313e-35,3.4611807161989114e-35,0.0,0.0,0.0,6.751639557731756e-25,0.0,3.2800751569949647e-28,1.3036065658234827e-37,2.061056646536074e-34,8.704440715724183e-38,2.023046623954312e-46,4.8257163356606315e-49,1.9393339151027802e-28,8.663286736889595e-23,1.1365864296087037e-31,4.1987976432835313e-66,3.02509119513939e-20,2.4532739193126118e-61,1.5544356540146147e-62,1.5701400287453235e-35,0.0,1.2547794840872558e-35,0.0,7.253282409108575e-25,2.6709792120802657e-53,0.0,4.3780213556684505e-49,0.0,1.839152582703312e-25,1.681055085587716e-22,0.0,3.272914093624674e-22,5.172631276097892e-29,1.2290790270868764e-37,2.73847022372229e-22,7.359920653782635e-23,2.7768920839418553e-47,3.1032588875458787e-25,4.094457742613247e-23,2.253369866410836e-40,7.217524324478755e-55,1.8180594601866042e-55,0.0,0.0,5.064369780503493e-37,3.4811283334129424e-40,1.260058113257873e-22,1.2667673211895881e-37,7.047749609526319e-37
0.008,0.39922645055942757,298.0,1.2049899515714853,0.7207157794822113,0.0,0.06034483466445336,4.871800351284313e-38,1.5515081929070736e-24,0.21893938585300013,5.606722144468642e-19,0.0,1.720861058544453e-21,3.351387954046997e-13,0.0,1.7081141246338236e-28,0.0,0.0,2.0940147260505619e-19,0.0,2.3587689323223513e-28,6.2381151881885e-27,4.389157393388634e-39,0.0,1.5276706130647962e-27,0.0,0.0,0.0,5.046478715825225e-23,5.41686897053077e-29,0.0,2.0916854964362155e-23,2.758196217539148e-31,0.0,0.0,1.6721762448738242e-22,2.9682257885206196e-20,3.007034809963597e-23,1.5564142562026463e-27,0.0,5.2443067407052814e-36,0.0,0.0,9.326012520551125e-24,0.0,0.0,1.8089841054032203e-35,7.88544642560102e-41,0.0,0.0,0.0,6.751641828187339e-25,0.0,3.2800751619881755e-28,1.3036131361541435e-37,1.090435693962697e-36,1.1786552767018171e-41,8.348035478078706e-44,3.0606046251489632e-55,5.698885086111827e-26,1.4307685202742661e-24,1.1365864295525068e-31,2.154936164438362e-63,6.4467406474721105e-18,1.1847029075917282e-58,7.600101468765075e-60,1.5701400282770637e-35,0.0,5.0370920674235465e-33,0.0,1.955245248140944e-22,5.375886144375845e-49,0.0,1.3761147766384683e-46,0.0,4.428792875091207e-23,1.6776011164036793e-22,0.0,1.4526821377263336e-19,2.2958710294952204e-26,5.08738539985707e-35,1.2250586621036267e-19,3.984377321666394e-27,8.250627556719856e-45,1.3139740880447533e-22,4.094462298733465e-23,1.2431302452016868e-37,4.111543950597964e-52,8.478380259463824e-53,0.0,0.0,1.8787177182878529e-34,1.0415172892411543e-37,1.2600576544922109e-22,4.998681434183243e-35,3.135461045766476e-34
0.016,0.3992264506380744,298.0000000000012,1.2049899513341047,0.7207157794692733,0.0,0.060344834665416354,4.871800590416813e-38,9.25392028733676e-26,0.21893938585044925,8.48159158162126e-17,0.0,9.602760089664803e-23,1.486091402131018e-11,0.0,1.7081123936254947e-28,2.349883658854308e-19,0.0,2.5392953292943353e-17,2.197843454831449e-19,4.761764398607566e-34,1.6901887736892816e-33,0.0,0.0,1.8144012833697162e-31,1.6401073963044097e-20,0.0,5.773715300230103e-49,3.5359402396368846e-20,2.937776461233845e-35,0.0,4.714060147340883e-21,2.2237323158587187e-33,1.4150270046487771e-22,0.0,9.996211470826125e-20,4.382379232487179e-18,5.258225928145272e-21,1.719756273714136e-32,0.0,2.8641262564549367e-37,0.0,5.0037154299376906e-23,9.326012525732234e-24,0.0,0.0,1.809009661687778e-35,1.798998346662738e-46,0.0,0.0,0.0,6.751644084878354e-25,0.0,3.280075172142498e-28,1.3036131369479204e-37,5.775639934749253e-39,1.597490603066669e-45,1.1384699157852781e-47,0.0,3.399140000809478e-27,8.00425883025489e-26,1.1365864294941836e-31,2.1548728674689125e-63,6.446740786892725e-18,6.609915941404484e-60,7.599000125082218e-60,1.5701400278996137e-35,0.0,8.527364303468706e-33,3.8087009710560905e-23,2.267317738298909e-22,5.265049123492348e-49,0.0,2.23820505160598e-49,2.0171686730838018e-22,9.282778288066465e-22,1.6776009907829878e-22,0.0,1.5337229255922568e-19,1.2863794122909737e-27,5.087396969896203e-35,1.2979256031059412e-19,8.273528419461379e-30,2.3012192928856756e-50,1.3141046372604712e-22,4.094466854935989e-23,1.2432993694633024e-37,5.663325889446264e-56,1.1642725403971193e-56,0.0,0.0,1.8787171149602813e-34,1.0415173913060798e-37,1.2600571957525935e-22,4.998679914614597e-35,3.1520182893985893e-34
0.02,0.3992264519557535,298.0000000000747,1.2049899473569374,0.7207157792525145,0.0,0.06034483468155006,4.871800592057554e-38,9.868359529370274e-27,0.21893938580771066,5.1264038116110235e-15,0.0,1.0239441831159059e-23,2.5821794418499607e-10,0.0,1.7081089640457372e-28,1.6305162843215026e-17,2.4754009004206043e-19,1.5664051451992564e-15,2.0889480936939567e-17,7.097611538702939e-38,9.272587041190405e-40,0.0,0.0,4.937079130346474e-35,1.3832290567919774e-18,0.0,2.9174080065870894e-55,2.711533991622075e-18,3.207535611503921e-41,0.0,3.939542805083654e-19,5.485441507583005e-35,1.4084719882663133e-20,0.0,7.967481926749099e-18,2.4926220791082873e-16,4.5257980532262815e-19,4.000253972947542e-37,0.0,2.0042319278787695e-38,0.0,4.829244763744324e-21,9.32601253389145e-24,0.0,0.0,1.8090181527387228e-35,8.25465643149546e-52,7.992726845862883e-48,0.0,0.0,6.751645133583181e-25,0.0,3.2800751927967397e-28,1.303613137145965e-37,6.148611334153173e-41,4.3459515215912346e-49,3.0980686283887986e-51,0.0,3.6308084526405587e-28,8.53530893899349e-27,1.1365864296860442e-31,2.154872863157332e-63,6.446740785694791e-18,7.043798387138297e-61,7.598999570155933e-60,1.5701400277543054e-35,0.0,8.527372636617579e-33,5.208575762849505e-20,3.384999018823553e-21,5.220703623654104e-49,0.0,3.26083994750209e-50,2.3681852984250246e-20,8.005741508089625e-20,1.677602395479418e-22,0.0,1.5380820624840115e-19,1.3838152179031323e-28,5.087396973566971e-35,1.3018702463580107e-19,8.116612982747608e-30,1.5209046561742506e-55,1.3235851653663052e-22,4.0944691341676256e-23,1.2432993931137022e-37,5.744958673955844e-58,5.439135327222379e-59,3.851451053642607e-21,0.0,1.8787167734154779e-34,1.0415172020109819e-37,1.260056966828042e-22,4.99867900583968e-35,3.1521056427768615e-34
0.022,0.39922646332516487,298.0000000022884,1.2049899130405095,0.7207157773825132,0.0,0.06034483482073557,4.871800606924193e-38,2.8464031987746493e-27,0.21893938543894204,1.572270423200624e-13,7.835784197844916e-38,2.9535284231281443e-24,2.3575936698611903e-09,0.0,1.7081049932200225e-28,5.102406964555254e-16,1.5436558223476312e-17,4.909986493857422e-14,8.655941723399919e-16,7.965835776065833e-39,0.0,0.0,0.0,2.695922572386279e-34,5.737213611731406e-17,0.0,0.0,1.0479839182043993e-16,7.050082426669897e-47,0.0,1.663267980859045e-17,5.54824884565748e-32,6.764008878424843e-19,0.0,3.2005978467801134e-16,7.198870199177064e-15,1.9700852823912693e-17,8.590613397429313e-37,0.0,1.027613148332568e-38,0.0,2.340096071474385e-19,9.3260125234742e-24,0.0,0.0,1.809021244986141e-35,3.626048450046742e-56,8.29233031229741e-48,0.0,0.0,6.751645565350953e-25,0.0,3.28007521731668e-28,1.303613140550165e-37,1.658962431106796e-42,2.372801024071784e-52,2.4595448812961908e-54,0.0,1.2689969847872095e-28,2.4717928073649167e-27,1.1365864325051788e-31,2.154872737593237e-63,6.4467407766591286e-18,1.3678129053995135e-61,7.598999384199056e-60,1.5701400318525728e-35,0.0,8.52780945602487e-33,2.4195774644016768e-18,1.6399863304639445e-19,5.201501675056927e-49,0.0,7.259837871999235e-51,1.3182680303807334e-18,3.641181533078787e-18,1.6776883693007803e-22,0.0,1.542473834811762e-19,4.103341338684411e-29,5.087396994000594e-35,1.3074082229920572e-19,1.2748274607258775e-29,5.337462381695845e-57,2.0787987069361099e-22,4.0944702853058887e-23,1.243299398718934e-37,5.592488146493224e-58,5.123945600308821e-59,2.316596489222779e-19,0.0,1.878716615645508e-34,1.041517117623414e-37,1.260056856498494e-22,4.99867858699431e-35,3.1521065722743687e-34
0.024,0.3992265979757425,298.00000009199044,1.20498950662323,0.7207157552467769,0.0,0.06034483646826571,4.871800786340727e-38,1.2831747296581323e-25,0.21893938107118466,6.3262666085318526e-12,4.0909527124863015e-35,1.33159321436584e-22,2.7205057171684244e-08,0.0,1.7080904563073022e-28,2.0955877672123975e-14,9.173444930284698e-16,2.019876098441434e-12,4.717435956704152e-14,2.0266174151988492e-36,1.217607973548954e-43,1.6560368823992601e-56,1.2702481732344356e-38,1.624946754194279e-32,3.1339749483085925e-15,1.6719356741601985e-36,4.0916082630252873e-53,5.331178452086642e-15,5.364725375356387e-50,1.5931562746255064e-45,9.253309906657974e-16,1.0018617200575574e-28,4.284471705819972e-17,4.219696300808094e-41,1.6931050228620057e-14,2.724855404997449e-13,1.1304562005964778e-15,5.83100738062734e-35,3.312636534432183e-38,4.454105109670925e-35,1.6552184722562907e-35,1.4963780104754307e-17,9.326012307734792e-24,0.0,0.0,1.8090231110274365e-35,2.4946018839507908e-56,6.746967779435134e-48,0.0,0.0,6.751646094409694e-25,0.0,3.2800753099209836e-28,1.303613187641178e-37,4.00850815772284e-43,1.3004091635744956e-55,7.694142704906185e-55,0.0,5.851850857339326e-27,1.1138230727882681e-25,1.1365864683178138e-31,2.1548720583682928e-63,6.446740721914437e-18,2.663808159318001e-62,7.598997034219083e-60,1.5701401005642178e-35,4.195332696038775e-38,8.563934630450751e-33,1.4679587669654462e-16,1.1108210492170025e-17,5.185518334873978e-49,0.0,1.832010519540232e-51,9.692041129419997e-17,2.1851414860992085e-16,1.6847953168845334e-22,0.0,1.9635846989756808e-19,1.7890211945968174e-27,5.08739721414936e-35,1.8547501359376534e-19,5.062362966490844e-28,1.3919388228088761e-55,8.254385475600509e-21,4.094471575986287e-23,1.243299462353046e-37,5.592405288854272e-58,5.123773856817651e-59,1.6803235824800733e-17,1.1094411014794398e-20,1.8787165430937093e-34,1.0415170952510455e-37,1.260056794709097e-22,4.998678396662623e-35,3.1521067364477437e-34
0.025,0.3992272137472763,298.00000146624893,1.2049876480369133,0.7207156541885211,0.0,0.06034484398927751,4.8718016058067e-38,6.688014454826418e-24,0.2189393610890803,1.0092609622830312e-10,1.105399592219589e-32,6.94039902072309e-21,1.4059323468629796e-07,1.5040529416290408e-85,1.708049779769319e-28,3.408881779949955e-13,2.1103352462500013e-14,3.29074978309663e-11,1.0049983611944201e-12,2.0059541840668136e-33,0.0,4.072579620235558e-52,1.3787229030870616e-35,4.430450920768532e-31,6.691610104636732e-14,1.751751787238512e-33,4.295227860554824e-50,1.0632208663964568e-13,1.0668014904569907e-48,1.7291599768808133e-42,2.0107531198433024e-14,6.790925765629242e-26,1.0549054406954811e-15,2.0446465603175898e-38,3.505502307322138e-13,4.103184926741009e-12,2.5306101364402405e-14,1.573916272860847e-33,3.6614641825266963e-35,1.796543175199553e-32,1.8078511123677432e-32,3.7181955119042624e-16,9.326011257056632e-24,0.0,0.0,1.8090235182627446e-35,2.4347261496160427e-56,0.0,0.0,0.0,6.7516467346173015e-25,0.0,3.2800756221772897e-28,1.3036134039128358e-37,3.748556254199622e-43,1.4787830894757278e-58,7.684901567621541e-55,0.0,2.691515302089313e-25,5.790230189767926e-24,1.1365866454114371e-31,2.1548693993961714e-63,6.446741265170981e-18,8.790414195881055e-63,7.598986675142845e-60,1.570140418712694e-35,4.5509835922020853e-35,9.688549187912368e-33,3.4665226947886757e-15,2.9212838643000344e-16,5.1789952939571944e-49,0.0,1.8967438478807974e-49,2.75637020138058e-15,5.1072958613586314e-15,1.9060420728438825e-22,0.0,1.8481860432856724e-18,9.292033492201925e-26,5.08739821126611e-35,2.3713391124252088e-18,2.02873556265395e-26,3.2545490807417164e-51,3.307568511970511e-19,4.0944728396517417e-23,1.2432997524417684e-37,5.592407456970687e-58,5.123775676140261e-59,4.709172519275243e-16,6.614494901352334e-19,1.8787170825442408e-34,1.041517529883069e-37,1.2600569792073587e-22,4.998679868527498e-35,3.1521073903306786e-34
0.025500000000000002,0.3992287827340027,298.00001233672214,1.2049829123823033,0.7207153980126659,0.0,0.060344863050808356,4.871803682801394e-38,1.1046733538542115e-22,0.21893931009351797,8.4990324503954e-10,5.618848109977817e-31,1.1463597738418783e-19,4.2765705136916714e-07,2.773413590532448e-85,1.707973462853153e-28,2.9240198637230247e-12,2.5204446337746854e-13,2.82677919677048e-10,1.115001242822972e-11,3.5032633653461005e-31,2.30556902378438e-44,1.2030637188127516e-48,2.4441301054165554e-33,1.6287731658419508e-29,7.440074897730942e-13,3.0206590676473784e-31,7.388930541704387e-48,1.1073103177438217e-12,1.1110434027118607e-47,3.0653168532299032e-40,2.2736709481806507e-13,1.1927966361250518e-23,1.3452922227122615e-14,2.675705601442098e-36,3.784205243205893e-12,3.271827447100759e-11,2.9444251394856975e-13,2.492136397977653e-32,6.865254465199347e-33,2.0324977884770607e-30,3.228913652785668e-30,4.783783890699801e-15,9.326008493566978e-24,0.0,0.0,1.8090224038973585e-35,2.421206519512062e-56,0.0,0.0,0.0,6.751648322337539e-25,0.0,3.2800762832246816e-28,1.3036139524130922e-37,3.738121002485809e-43,2.0349487763329424e-60,7.684943992045416e-55,0.0,4.317166240553903e-24,9.557728082478109e-23,1.1365872857528145e-31,2.154864752148436e-63,6.446748714908002e-18,4.5054038626210936e-63,7.598967147084319e-60,1.5701412258013814e-35,8.06794311093331e-33,2.7475146598250666e-32,4.2462732132107977e-14,3.970338989098543e-15,5.17915574293685e-49,0.0,2.68802023692302e-47,4.0411430385694294e-14,6.194424113031784e-14,5.405218811098815e-22,0.0,3.5434589020957047e-17,1.5335811637141066e-24,5.087400729757551e-35,4.767960992932003e-17,4.217363507271494e-25,6.25071016511852e-48,6.874311586527987e-18,4.0944748845205443e-23,1.24330048734285e-37,5.592419181127263e-58,5.123785356072986e-59,6.806539097165053e-15,9.20069886228982e-18,1.8787200973004909e-34,1.0415200002949294e-37,1.260057563531584e-22,4.998688186253239e-35,3.152109029461761e-34
0.026,0.39923470795511273,298.0001306049064,1.2049650286912128,0.7207144445598639,0.0,0.060344933964461694,4.87181140863025e-38,1.6395408037886404e-21,0.21893911644006644,9.006141577888804e-09,3.044147251404838e-29,1.7012700209862138e-18,1.4923621779625807e-06,4.093141676122396e-85,1.7077272660102724e-28,3.15935287307091e-11,3.851862204405429e-12,3.0589536039914124e-09,1.5780364795061398e-10,7.118993380183927e-29,9.798146338485147e-45,3.453336752356399e-45,4.961398758445916e-31,2.4578115967515767e-27,1.0553493553506962e-11,5.939426295042081e-29,1.4528681126396497e-45,1.466968115659464e-11,1.4720580000173898e-46,6.221630733541733e-38,3.282333772852927e-12,1.488558411512084e-21,2.2009230623979228e-13,4.872336647510467e-34,5.204862038817638e-11,3.272627649961063e-10,4.379078766693829e-12,9.853900379756119e-31,1.4793948130265271e-30,3.6182305082351416e-28,6.592214573733112e-28,7.898430740709116e-14,9.325997817786607e-24,0.0,0.0,1.8090094093099517e-35,2.3788696846480867e-56,0.0,0.0,0.0,6.751656170996239e-25,0.0,3.2800785343432636e-28,1.3036159985013297e-37,3.737379313441297e-43,1.3878272638151277e-60,7.685259447258313e-55,1.3354464444000995e-59,6.39644478497745e-23,1.4182118015174058e-21,1.1365935376642743e-31,2.1548710965319083e-63,6.446840401653958e-18,3.6596539031563945e-63,7.598955217833319e-60,1.5701442433452035e-35,1.6377088677319905e-30,4.084889374823917e-31,6.662404276092961e-13,6.938785499104711e-14,5.2169038898608054e-49,3.07623289830552e-52,4.603368547287417e-45,7.638433849673668e-13,9.619433893960268e-13,8.036149907361261e-21,0.0,9.817463341621624e-16,2.2759553084675367e-23,5.08741006636532e-35,1.3406169822962138e-15,1.1417309541146096e-23,1.7455467230006478e-44,1.8608099896429367e-16,4.0944817219615074e-23,1.2433032149359065e-37,5.592523418171404e-58,5.123869259695381e-59,1.2677534825703998e-13,1.615448179917009e-16,1.878746789338765e-34,1.0415425193019083e-37,1.260059814358223e-22,4.998762432270175e-35,3.152114871040129e-34
0.026499999999999996,0.39925783726280867,298.0014171935966,1.204895224158126,0.7207108735855813,0.0,0.060345199303883976,4.871840266236581e-38,2.427152848420906e-20,0.21893834667268433,9.782826227640238e-08,1.9151302129379217e-27,2.5162819936611787e-17,5.44139848853587e-06,5.180206061088403e-85,1.706862908809079e-28,3.497979802761751e-10,5.996432889126547e-11,3.391883413143767e-08,2.2778349557270463e-09,1.4739688087340504e-26,0.0,9.153152022847945e-42,1.0248674435427448e-28,4.860266644398942e-25,1.5267326868219586e-10,1.1844372207543789e-26,2.9095174558808354e-43,1.984301224292624e-10,1.9918594221197773e-45,1.284653519730179e-35,4.8312920841437314e-11,1.8571005698336535e-19,3.6642493620407915e-12,9.311073685062061e-32,7.304816873694307e-10,3.3591805521182463e-09,6.637224290717194e-11,1.0486679298726358e-28,3.2246183353397616e-28,6.558028874545994e-26,1.3656005225743611e-25,1.326916176956504e-12,9.325954579682068e-24,0.0,0.0,1.8088895509170368e-35,2.160844045794814e-56,0.0,0.0,0.0,6.751697716428661e-25,0.0,3.28008686268051e-28,1.303623647798982e-37,3.736759166033323e-43,8.533349494288793e-60,7.687727939774239e-55,1.6356489436593978e-58,9.476428112699666e-22,2.097619720102478e-20,1.1366966055047978e-31,2.155152404702548e-63,6.447877281024298e-18,2.252843787352602e-62,7.59957536105377e-60,1.570155513678754e-35,3.382644304370128e-28,8.571569174425871e-30,1.0644281786978542e-11,1.2328713053179972e-12,5.749753376942234e-49,3.772568044143279e-51,1.605454371934385e-42,1.4662764470369948e-11,1.5213520943040464e-11,1.6860418559314905e-19,0.0,2.7868887208375075e-14,3.36721600670526e-22,5.087444882601742e-35,3.845916609913725e-14,3.1281189919873e-22,5.032323169161951e-41,5.094065021094084e-15,4.0945064921399174e-23,1.2433133791427297e-37,5.593569048137708e-58,5.124701153365788e-59,2.3985040018503128e-12,2.8796423883492383e-15,1.8790132738600725e-34,1.041770632526893e-37,1.2600682919951941e-22,4.999506567867752e-35,3.152129981347247e-34
